"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","preferred_dividends","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","interest_dividends_payable","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","total_noncurrent_liabilities","total_liabilities","preferred_equity","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2013_Q2",20.01984375,"Up",104914000,-75044000,29870000,-18472000,-5261000,-13211000,11398000,-7731000,-4824000,3667000,-6511000,-2844000,2598000,-246000,-246000,-1999.99999999999,-248000,-4668000,-4916000,115633000,115633000,20278000,20278000,13152000,13152000,149063000,1535458000,1535458000,1846665000,1995728000,49907000,48031000,1876000,21708000,21708000,609452000,0,609452000,126000,1450407000,-64539000,1385799000,477000,1386276000,1995728000,-246000,13211000,2984000,-5266000,10683000,-57018000,-53472000,-7388000,85192000,-523000,-523000,-4759000,72522000,29733000,29733000,29733000,24609000,537837000,-40273000,0.28471,0.10864,-0.04686,-0.00355,-0.00246,8.19223,0.24459,0.43963,0.26949,-0.0806,-0.0806,1.72001,22.71737,-0.66025,0.12112,0.00128,-1.50285,17.15649,37.04194
"12","2013_Q3",20.79421875,"Up",126301000,-81125000,45176000,-16889000,-3324000,-13565000,28287000,-2150000,-5265000,26137000,-9559000,16578000,-1647000,14931000,14931000,-97000,14834000,-6104000,8730000,151592000,151592000,25538000,25538000,13802000,13802000,190932000,1530629000,1530629000,1826038000,2016970000,56005000,54190000,1815000,23249000,23249000,614573000,-5.82076609134674e-11,614573000,130000,1465516000,-65648000,1401498000,899000,1402397000,2016970000,14931000,13565000,1454000,-3037000,26913000,-7378000.00000001,11614000,-9842000,7430000,4812000,0,-4968000,-2568000,35959000,35959000,35959000,41852000,535319000,33084000,0.35769,0.22396,0.06912,0.00623,0.00433,3.78969,0.31067,0.43823,0.26541,0.14292,0.14266,2.06769,22.94194,0.54162,0.16112,0.00958,1.12738,9.16867,13.56549
"13","2013_Q4",22.54578125,"Up",131234000,-83016000,48218000,-18224000,-4253000,-13971000,29994000,-3120000,-5404000,26874000,-8259000,18615000,-1088000,17527000,17527000,-112000,17415000,-6100000,11315000,110042000,110042000,23500000,23500000,15930000,15930000,149472000,1603236000,1603236000,1895373000,2044845000,59812000,57916000,1896000,23474000,23474000,640133000,0,640133000,130000,1466517000,-64191000,1403367000,1345000,1404712000,2044845000,17527000,13971000,92000,5878000,37468000,-62592000,-60674000,-9869000,-2089000,17000,0,-6403000,-18344000,-41550000,-41550000,-41550000,43965000,556847000,-11661000,0.36742,0.22855,0.08622,0.00806,0.00553,-1.03058,0.2335,0.4557,0.27232,0.18494,0.18444,2.14501,22.93581,-0.1906,0.16131,0.0108,0.87221,10.16274,14.89648
"14","2014_Q1",24.7545901639344,"Up",126768000,-85013000,41755000,-19151000,-4328000,-14823000,22604000,-435999.999999999,-5567000,22168000,-10099000,12069000,-1089000,10980000,10980000,-63000,10917000,-6081000,4836000,55136000,55136000,16850000,16850000,16482000,16482000,88468000,1717611000,1717611000,2028463000,2116931000,63373000,61428000,1945000,24227000,24227000,641847000,0,641847000,130000,1541775000,-69652000,1473339000,1745000,1475084000,2116931000,10980000,14823000,-430000,7016000,32389000,-142567000,-143914000,-9870000,-1961000,74533000,0,-6083000,56619000,-54906000,-54906000,-54906000,37427000,554247000,-97035000,0.32938,0.17831,0.03815,0.00328,0.00228,-20.06514,0.13783,0.43513,0.26182,0.07709,0.07579,2.02075,23.48378,-1.54679,0.15733,0.00725,2.04094,13.33559,22.08065
"15","2014_Q2",27.202380952381,"Up",125712000,-84592000,41120000,-22035000,-6147000,-15888000,19085000,-8705000,-5461000,10380000,-8593000,1787000,2334000,4121000,4121000,-43000,4078000,-6081000,-2003000,12651441.5223759,12651441.7845011,16202512.216194,16202512.216194,15174029.5380927,15174507.5169459,44027983.2766626,1767674099.48335,1767674099.48335,2087792272.41071,2131820255.68737,71874065.7424709,69955792.0912667,1918273.65120417,27178327.9348925,27178327.9355274,650401913.544178,30457172.3291247,680859085.87331,125882.753479389,1528589271.7454,-80680258.7659812,1448857868.97737,2103300.83669331,1450961169.81406,2131820255.68737,4121000,15888000,8179000,-8840000,19348000,-7533000,-11795000,-10314000,-1372000,-632000,-632000,-6081000,-18399000,-10846000,-10846000,-10846000,34973000,0,16266000,0.3271,0.15182,-0.01593,0.00498051022440147,0.00330662139197095,-8.12082,0.0725066942428225,0.466933297262,0.271340816036074,-0.03141,-0.03141,1.97155,22.7520383414907,0.2551,0.16176,0.00962968257054542,-5.14928,13.8503433728956,22.269088034917
"16","2014_Q3",29.44484375,"Up",147454000,-90012000,57442000,-21821000,-5591000,-16230000,35621000,-1371000,-5635000,34250000,-9236000,25014000,-2121000,22893000,22893000,-220000,22673000,-6082000,16591000,38477000,38477000,23227000,23227000,15274000,15274000,76978000,1764615000,1764615000,2083606000,2160584000,81223000,79313000,1910000,31021000,31021000,660898000,3.6e+07,696898000,130000,1544801000,-84814000,1460625000,3061000,1463686000,2160584000,22893000,16230000,-505000,1158000,39776000,-58950000,-58442000,-14836000,33781000,0,0,-6092000,12853000,-5812999.99999999,-5812999.99999999,-5812999.99999999,51851000,584654000,-3819999.99999997,0.38956,0.24157,0.11252,0.01134,0.00768,-0.23025,0.11647,0.47613,0.2706,0.26019,0.25873,2.31246,22.90436,-0.05991,0.23267,0.01534,0.89422,10.53359,15.33301
"17","2014_Q4",32.896875,"Up",169676000,-99282000,70394000,-24604000,-7208000,-17396000,45790000,-3183000,-6633000,42607000,-10014000,32593000,-2154000,30439000,30439000,-274000,30165000,-6428000,23737000,119307000,119307000,30137000,30137000,17915000,17915000,167359000,1879271000,1879271000,2200748000,2368107000,90846000,88792000,2054000,33446000,33446000,721527000,0,721527000,140000,1718529000,-76910000,1642713000,3867000,1646580000,2368107000,30439000,17396000,5351000,6627000,59813000,-90373000,-90329000,-14836000,-14161000,146854000,0,-6511000,111346000,80830000,80830000,80830000,63186000,597235000,-18406000,0.41487,0.26987,0.1399,0.01442,0.01002,-0.77541,0.23195,0.4382,0.2522,0.36598,0.36325,2.61605,25.3251,-0.28378,0.22874,0.01719,0.625020000000001,7.56383,10.43739
"18","2015_Q1",37.6208196721311,"Up",155934000,-100101000,55833000,-28186000,-9376000,-18810000,27647000,-1212000,-6807000,26435000,-9035000,17400000,-1310000,16090000,16090000,-140000,15950000,-6488000,9462000,52883000,52883000,21320000,21320000,16383000,16383000,90586000,2343690000,2343690000,2679898000,2770484000,109210000,106828000,2382000,34876000,34876000,938073000,5e+07,988073000,140000,1865455000,-84163000,1781091000,1320000,1782411000,2770484000,16090000,18810000,2272000,5175000,42347000,-472591000,-471873000,-15722000,247441000,146357000,0,-14974000,363102000,-66424000,-66424000,-66424000,46457000,843987000,-419649000,0.35806,0.1773,0.06068,0.00531,0.00342,-44.35098,0.09657,0.55435,0.30464,0.13479,0.13174,2.2213,25.36985,-5.97795,0.22396,0.00959,1.66159,17.02874,28.61446
"19","2015_Q2",34.5765079365079,"Down",163435000,-107212000,56223000,-28897000,-7572000,-21325000,27326000,-12134000,-7686000,15192000,-11411000,3781000,3389000,7170000,7170000,-27000,7143000,-6488000,655000,28656000,28656000,27685000,27685000,13641000,13641000,69982000,2349874000,2349874000,2680022000,2750004000,113617000,111283000,2334000,41984000,41984000,895665000,1e+08,995665000,140000,1863524000,-106368000,1752786000,1553000,1754339000,2750004000,7170000,21325000,13608000,-12079000,30024000,-26548000,-23385000,-16991000,-3170000,-4094000,-4094000,-6611000,-30866000,-24227000,-24227000,-24227000,48651000,840064000,6635000,0.34401,0.1672,0.00401,0.00037,0.00024,10.12977,0.07813,0.56754,0.30548,0.00914,0.00904,2.28027,24.45314,0.09257,0.23706,0.0068,25.94046,16.67814,29.69363
"20","2015_Q3",32.11796875,"Down",197683000,-115993000,81690000,-31054000,-6169000,-24885000,50636000,-5315000,-8635000,45321000,-15219000,30102000,-3519000,26583000,26583000,-92000,26491000,-6487000,20004000,33212000,33212000,31615000,31615000,13463000,13463000,78290000,2672557000,2672557000,3006959000,3085249000,135019000,132520000,2499000,45088000,45088000,1017305000,3.1e+08,1327305000,140000,1865324000,-108926000,1756105000,1839000,1757944000,3085249000,26583000,24885000,3743000,5145000,60356000,-332172000,-332234000,-22347000,307611000,0,0,-8830000,276434000,4556000,4556000,4556000,75521000,1147198000,-247987000,0.41324,0.25615,0.10119,0.01138,0.00648,-12.39687,0.07696,0.75503,0.37183,0.27886,0.2762,2.75573,24.47845,-3.45698,0.31152,0.01458,1.11713,14.75068,21.99988
"21","2015_Q4",26.6178125,"Down",216321000,-123290000,93031000,-37033000,-12388000,-24645000,55998000,-7578000,-10477000,48420000,-8235000,40185000,-1937000,38248000,38248000,-129000,38119000,-6488000,31631000,38561000,38561000,37739000,37739000,14454000,14454000,90754000,2668149000,2668149000,3000210000,3090964000,151461000,148841000,2620000,46512000,46512000,1157278000,1.75e+08,1332278000,140000,1867322000,-99883000,1756515000,2171000,1758686000,3090964000,38248000,24645000,691000,4367000,67951000,-20988000,-21232000,-22349000,-12412000,0,0,-6609000,-41370000,5349000,5349000,5349000,80643000,1134305000,65959000,0.43006,0.25887,0.14622,0.01799,0.01023,2.08526,0.07842,0.75754,0.36697,0.44094,0.43658,3.01555,24.48417,0.91948,0.31155,0.01866,0.70655,13.58759,19.56756
"22","2016_Q1",21.1260655737705,"Down",193425000,-121580000,71845000,-31223000,-6206000,-25017000,40622000,-5023000,-9465000,35599000,-12082000,23517000,-523000,22994000,22994000,-79000,22915000,-6487000,16428000,26345000,26345000,25062000,25062000,9453000,9453000,60860000,2673584000,2673584000,2997611000,3058471000,144447000,141897000,2550000,47595000,47595000,1033245000,264392000,1297637000,140000,1868764000,-105765000,1758389000,2445000,1760834000,3058471000,22994000,25017000,6347000,8031000,62389000,-25500999.9999999,-23043000,-22350000,-22001000,-9.31322574615479e-10,0,-7211000.00000001,-51562000,-12216000,-12216000,-12216000,65639000,1006203000,48692000.0000001,0.37144,0.21001,0.08493,0.00933,0.00537,2.96396,0.0589,0.73694,0.32899,0.22906,0.22749,2.69696,24.51562,0.67892,0.31163,0.01353,1.36048,14.92798,24.12136
"23","2016_Q2",21.920625,"Up",196245000,-121910000,74335000,-31863000,-6802000,-25061000,42472000,-15091000,-10176000,27381000,-14236000,13145000,3492000,16637000,16637000,-58000,16579000,-10013000,6566000,28282000,28282000,31403000,31403000,10010000,10010000,69695000,2684285000,2684285000,3002318000,3072013000,161004000,156739000,4265000,51125000,51125000,1200297000,279409000,1479706000,84000,1732639000,-126871000,1589618000,2689000,1592307000,3072013000,16637000,25061000,10261000,-5502000,46457000,-35824000,-33144000,-22903000,163131000,-2496000,-2496000,-149108000,-11376000,1937000,1937000,1937000,67533000,1168168000,22715000,0.37879,0.21642,0.03346,0.00412,0.00214,3.45949,0.05806,0.92928,0.38026,0.0914,0.0908,2.73182,22.12701,0.3162,0.31882,0.0103,3.48812,16.87895,26.83853
"24","2016_Q3",24.08140625,"Up",212272000,-122305000,89967000,-32214000,-6355000,-25859000,57753000,-9130000,-10812000,48623000,27797000,76420000,-1982000,74438000,74438000,-248000,74190000,-4241000,69949000,36307000,36307000,29888000,29888000,7888000,7888000,74083000,2612933000,2612933000,2923677000,2997760000,161536000,158966000,2570000,52600000,52600000,1115209000,129425000,1244634000,134000,1855342000,-84596000,1750011000,3115000,1753126000,2997760000,74438000,25859000,-36856000,7221000,70662000,83228000,84379000,-27473000,-115767000,9.31322574615479e-10,0,-3776000,-147016000,8025000,8025000,8025000,83612000,931073000,176043000,0.42383,0.27207,0.32953,0.0399,0.02333,2.51673,0.06643,0.70995,0.31059,0.97256,0.96722,2.95138,24.3299,2.44766,0.38198,0.035,0.39276,10.70141,15.49298
"25","2016_Q4",23.5949206349206,"Down",208963000,-116926000,92037000,-32186000,-6779000,-25407000,59851000,-70898000,-9630000,-11047000,-22960000,-34007000,-1528000,-35535000,-35535000,112000,-35423000,-8474000,-43897000,46626000,46626000,31585000,31585000,57293000,7585000,135504000,2558234000,2558234000,2819925000,2955429000,168124000,164389000,3735000,53620000,53620000,1121452000,229442000,1350894000,1e+05,1775132000,-156024000,1601346000,3189000,1604535000,2955429000,-35535000,25407000,75877000,2739000,68488000,-28700000,-38396000,-27473000,98605000,0,9.31322574615479e-10,-90905000,-19773000,10319000,10319000,10319000,85258000,1029708000,60825000,0.44045,0.28642,-0.21007,-0.02736,-0.01485,-1.38563,0.12083,0.84192,0.34841,-0.61033,-0.61033,2.90537,22.26337,0.8457,0.38198,-0.00601,-0.62585,11.53067,16.42549
"26","2017_Q1",24.9922580645161,"Up",198941000,-122783000,76158000,-34088000,-7976000,-26112000,42070000,-11343000,-11002000,30727000,-12457000,18270000,152000,18422000,18422000,-64000,18358000,-4024000,14334000,33410000,33410000,27687000,27687000,7418999.99999999,7419000,68516000,2672654000,2672654000,2740743000,2809259000,151567000,149283000,2284000,52325000,52325000,1018683000,181460000,1200143000,1e+05,1777123000,-169227000,1605684000,3432000,1609116000,2809259000,18422000,26112000,3924000.00000001,5907000,54365000,223713000,285108000,-27472000,-322806000,0,0,-4445000,-354723000,-15250000,-15250000,-15250000,68182000,896791000,297650000,0.38282,0.21147,0.07205,0.00890999999999998,0.00510000000000001,20.76531,0.06726,0.74584,0.31923,0.1993,0.19652,2.76601,22.32354,4.13843,0.38196,0.01605,1.91656,12.66289,20.52249
"27","2017_Q2",27.2333333333333,"Up",182178000,-114439000,67739000,-32447000,-6151000,-26296000,35292000,-9341000,-9341000,25951000,-14697000,11254000,2835000,14089000,14089000,-55000,14034000,-4023000,10011000,31939000,31939000,29107000,29107000,118121000,7152000,179167000,2563158000,2563158000,2633272000,2812439000,150147000,146836000,3311000,54887000,54887000,974975000,303478000,1278453000,1e+05,1715971000,-185657000,1530206000,3780000,1533986000,2812439000,14089000,26296000,3259000,-6492000,37152000,-21827000,-21827000,-28029000,77328000,-62444000,-62444000,-3918000,-17063000,-1738000,-1738000,-1738000,61588000,973941000,30434000,0.37183,0.19372,0.05495,0.00653,0.00356,3.04006,0.18377,0.83342,0.3463,0.1398,0.13925,2.54399,21.36691,0.42499,0.39141,0.01459,2.79982,15.29522,26.69166
"28","2017_Q3",29.3769841269841,"Up",205717000,-121123000,84594000,-32377000,-6427000,-25950000,52217000,-9609000,-9609000,42608000,2485000,45093000,-1423000,43670000,43670000,-158000,43512000,-4024000,39488000,14337000,14337000,34821000,34821000,6705000.00000003,6705000,55863000,2478043000,2478043000,2547836000,2603699000,151737000,149809000,1928000,51258000,51258000,946753000,142495000,1089248000,1e+05,1684335000,-172590000,1510344000,4107000,1514451000,2603699000,43670000,25950000,-10002000,-3268000,56350000,177642000,177642000,-26718000,-187797000,-33418000,-33418000,-4108000,-252041000,-18049000,-18049000,-18049000,78167000,786758000,253964000,0.41122,0.25383,0.19195,0.02607,0.01517,6.43142,0.059,0.71924,0.30217,0.57089,0.56843,2.97413,21.83418,3.67166,0.38627,0.02758,0.67661,9.88168,14.79252
"29","2017_Q4",33.0044444444444,"Up",201793000,-116870000,84923000,-29677000,-4467000,-25210000,55246000,-8968000,-8968000,46278000,-14114000,32164000,-1593000,30571000,30571000,-128000,30443000,-4023000,26420000,14185000,14185000,35757000,35757000,6473000,6473000,56415000,2464186000,2464186000,2537273000,2593688000,153350000,150100000,3250000,51756000,51756000,948524000,129513000,1078037000,1e+05,1684473000,-172576000,1511229000,4422000,1515651000,2593688000,30571000,25210000,4561000,-2763000,57579000,-15920000,-13920000,-26292000,-13549000,-119000,-119000.000000007,-4083000,-44043000,-384000,-384000,-384000,80456000,773418000,63366000,0.42084,0.27378,0.13093,0.01743,0.01019,2.39841,0.05948,0.71127,0.29819,0.38393,0.38178,2.93241,21.95936,0.92082,0.38207,0.02207,0.99516,9.43662,13.74277
