"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2019_Q3",24.72734375,"Up",462218000,-216175000,246043000,-184908000,-170223000,-12920000,-1765000,61135000,-5994000,-5213000,-781000,55141000,55141000,-16239000,38902000,38902000,-414000,38488000,38488000,42966000,306399000,306399000,324588000,90740000,764693000,221035000,821709000,474761000,209564000,59446000,77938000,1042744000,1807437000,278280000,94050000,161333000,77786000,356066000,329594000,163740000,106701000,4633000,52406000,493334000,849400000,905427000,124827000,-91647000,926251000,31786000,958037000,1807437000,38902000,9799000,16229000,65146000,130076000,-5133000,-5133000,-10561000,-107746000,-1853000,-126338000,-1395000,-1395000,-516000,-1911000,70934000,407380000,147186000,0.53231,0.13226,0.08327,0.04017,0.02129,3.8242,2.14762,0.8866,0.22539,0.50899,0.50738,6.11265,12.24931,1.94648,0.13967,0.03208,0.09625,0.2744,5.13737,5.96081
"12","2019_Q4",28.22375,"Up",417166000,-199822000,217344000,-173618000,-158857000,-12746000,-2015000,43726000,-5990000,-4504000,-1486000,37736000,37736000,-7730000,30006000,30006000,-209000,29797000,29797000,54207000,273877000,273877000,348866000,88144000,765094000,222499000,833374000,482852000,210877000,63316000,76329000,1055873000,1820967000,298217000,92444000,177764000,95099000,393316000,320914000,139166000,83429000,4663000,51074000,460080000,853396000,908033000,143898000,-94650000,936463000,31108000,967571000,1820967000,30006000,11592000,2209000,11113000,54920000,-7571000,-35675000,-10534000,8769000,-1500000,-7496000,11749000,11749000,-508000,11241000,55318000,416013000,66590000,0.521,0.10482,0.07143,0.0308,0.01636,2.23479,1.94524,0.882,0.22846,0.39631,0.39442,5.54847,12.45532,0.88567,0.14011,0.02649,0.04373,0.35353,6.54048,8.27439
"13","2020_Q1",27.396935483871,"Down",368271000,-181580000,186691000,-158126000,-142997000,-13184000,-1945000,28565000,-4591000,-5013000,422000,23974000,23974000,-4356000,19618000,19618000,-1759000,17859000,17859000,34184000,215428000,215428000,398368000,94838000,742818000,231575000,842656000,480794000,214056000,70541000,77265000,1074231000,1817049000,287495000,102335000,149128000,71623000,359118000,330701000,175597000,118852000,4837000,51908000,506298000,865416000,910583000,151039000,-112028000,918440000,33193000,951633000,1817049000,19618000,11814000,-4859000,12779000,39352000,-14790000,-14790000,-10523000,-13624000,-2480000,-45570000,-21008000,-21008000,985000,-20023000,40379000,402324000,42724000,0.50694,0.07757,0.04849,0.01877,0.00983,2.3923,2.06845,0.9094,0.22142,0.23855,0.23694,4.91923,12.2682,0.57069,0.14056,0.01856,0.02793,0.58923,9.11712,12.8878
"14","2020_Q2",28.4895238095238,"Up",408741000,-207786000,200955000,-167899000,-152723000,-13220000,-1956000,33056000,-4813000,-4123000,-690000,28243000,16615000,-7640000,8975000,8975000,-97999.9999999998,8877000,8877000,55924000,309196000,309196000,364935000,99423000,829478000,226085000,832136000,478579000,209920000,68404000,75233000,1058221000,1887699000,274078000,96013000,145318000,192309000,466387000,326674000,175528000,119705000,4010000,51813000,502202000,968589000,912238000,148181000,-129659000,885654000,33456000,919110000,1887699000,8975000,10269000,1004000,-92760000,-72512000,-5741000,-5741000,-11521000,120758000,-394000,101867000,23614000,23614000,-1874000,21740000,43325000,518983000,-47536000,0.49164,0.08087,0.02172,0.00966,0.0047,-5.35496,1.77852,1.05383,0.27493,0.11908,0.1182,5.48312,11.88075,-0.63768,0.15455,0.01264,-0.02946,1.29785,10.68803,14.00832
"15","2020_Q3",33.96984375,"Up",300002000,-143545000,156457000,-143622000,-130535000,-11132000,-1955000,12835000,-8576000,-4402000,-4174000,4259000,3155000,598000,3753000,3753000,-1440000,2313000,2313000,111029000,271643000,271643000,363785000,92283000,838740000,223305000,835674000,476990000,213112000,72811000,72761000,1058979000,1897719000,267257000,76851000,156114000,198119000,465376000,322427000,176629000,122702000,4447000,49480000,499056000,964432000,916173000,138733000,-111573000,898227000,35060000,933287000,1897719000,3753000,10302000,3711000,53907000,71673000,-4614000,-4614000,-11513000,-1892000,-116000,-13521000,53538000,53538000,1567000,55105000,23137000,520546000,71832000,0.52152,0.04278,0.00771,0.00248,0.00122,31.05577,1.80228,1.03337,0.2743,0.03115,0.03089,4.04072,12.0982,0.9675,0.15507,0.00848,0.04406,4.97752,17.69966,31.90627
"16","2020_Q4",36.19828125,"Up",482932000,-230911000,252021000,-166299000,-153724000,-10611000,-1964000,85722000,-7017000,-3831000,-3186000,78705000,78187000,-14141000,64046000,64046000,-830000,63216000,63216000,112603000,268231000,268231000,318356000,87912000,787102000,219744000,832240000,475195000,215059000,67823000,74163000,1051984000,1839086000,305216000,94867000,179018000,57938000,363154000,317908000,164763000,109206000,4601000,50956000,482671000,845825000,919683000,190159000,-103227000,961509000,31752000,993261000,1839086000,64046000,10487000,7546000,85871000,167950000,-5032000,-5032000,-11516000,-146223000,-5254000,-162993000,-74999.9999999925,-74999.9999999925,1649000,1574000,96209000,375846000,191189000,0.52186,0.1775,0.1309,0.06364,0.03437,3.02438000000001,2.16741,0.85156,0.20437,0.84619,0.84193,6.46438,12.87047,2.5592,0.15415,0.04872,0.12464,0.182169999999999,2.73616,3.07089
"17","2021_Q1",41.3809836065574,"Up",420494000,-200091000,220403000,-193354000,-173621000,-13979000,-5754000,27049000,-1.2e+07,-3274000,-8726000,15049000,15092000,8145000,23237000,23237000,-1637000,21600000,21600000,151452000,201518000,201518000,357682000,89155000,799807000,222811000,843937000,473533000,215186000,80060000,75158000,1066748000,1866555000,296417000,112867000,183550000,20310000,357679000,313619000,177878000,121929000,3821000,52128000,491497000,849176000,925461000,199776000,-96182000,983949000,33430000,1017379000,1866555000,23237000,14371000,-942000,60648000,97314000,-9288000,-9288000,-11515000,-42200000,-225000,-53940000,34086000,34086000,4763000,38849000,41420000,333929000,84635000,0.52415,0.06433,0.05137,0.02123,0.01157,3.91829,2.2361,0.83467,0.1789,0.29001,0.28727,5.64568,13.21079,1.13633,0.1546,0.02166,0.05535,0.5331,4.40553,6.74616
"18","2021_Q2",46.865873015873,"Up",580885000,-270146000,310739000,-190670000,-176369000,-12329000,-1972000,120069000,-5608000,-3616000,-1992000,114461000,114461000,-27834000,86627000,86627000,-1669000,84958000,84958000,113047000,387507000,387507000,330165000,92343000,923062000,220616000,825204000,471394000,213555000,66697000,73558000,1045820000,1968882000,302026000,125865000,176161000,42196000,398797000,309524000,174484000,121811000,3797000,48876000,484008000,882805000,926885000,271967000,-98160000,1050862000,35215000,1086077000,1968882000,86627000,10363000,13277000,-140263000,-29996000,-6410000,-6410000,-12658000,17803000,-3994000,-1226000,-37632000,-37632000,-773000,-38405000,130432000,351720000,11593000,0.53494,0.2067,0.14626,0.07822,0.04315,0.13646,2.31462,0.81284,0.17864,1.13613,1.12893,7.76811,14.05305,0.15503,0.16927,0.06055,0.00719,0.14899,1.82987,1.9878
"19","2021_Q3",49.74921875,"Up",624850000,-290424000,334426000,-225246000,-210255000,-13021000,-1970000,109180000,-2087000,-1848000,-239000,107093000,107093000,-24573000,82520000,82520000,-1435000,81085000,81085000,253251000,377922000,377922000,300324000,102063000,1033560000,219379000,813753000,469438000,213541000,56649000,74125000,1033132000,2066692000,324649000,126644000,198005000,38985000,422813000,305346000,176960000,122651000,3751000,50558000,482306000,905119000,934995000,338633000,-96245000,1123170000,38403000,1161573000,2066692000,82520000,10275000,17088000,72524000,182407000,-5991000,-5991000,-12214000,-8010000,-63000,-35795000,140621000,140621000,-417000,140204000,119455000,344331000,210561000,0.53521,0.17473,0.12977,0.06981,0.03923,2.59679,2.44448,0.77922,0.16661,1.08434,1.07747,8.35605,15.02002,2.81581,0.16334,0.05544,0.12512,0.15063,0.76246,0.83422
"20","2021_Q4",51.6225,"Up",521629000,-252792000,268837000,-216351000,-199787000,-14597000,-1967000,52486000,-2086000,-1147000,-939000,50400000,50400000,-10475000,39925000,39925000,-661000,39264000,39264000,320506000,300331000,300331000,325488000,101640000,1047965000,217757000,809503000,467380000,211936000,58586000,71601000,1027260000,2075225000,361722000,138535000,223187000,18089000,442679000,301038000,155444000,102588000,4327000,48529000,456482000,899161000,941847000,365205000,-102365000,1138213000,37851000,1176064000,2075225000,39925000,10178000,6852000,70725000,127680000,-6809000,-6809000,-12186000,-25095000,-1249000,-50791000,70080000,70080000,-2825000,67255000,62664000,319127000,137055000,0.51538,0.10062,0.07527,0.03339,0.01892,3.4906,2.36732,0.76455,0.15378,0.52593,0.52149,6.98702,15.24593,1.8358,0.16323,0.03117,0.08303,0.31036,-0.02201,-0.02627
"21","2022_Q1",44.5140322580645,"Down",420566000,-216131000,204435000,-226358000,-209011000,-15388000,-1959000,-21923000,-2208000,-1098000,-1110000,-24131000,-24131000,-701000,-24832000,-24832000,-1602000,-26434000,-26434000,281677000,174435000,174435000,413314000,99750000,969176000,231761000,804899000,465341000,210431000,60814000,68313000,1036660000,2005836000,408101000,163607000,244494000,17616000,483024000,297354000,141892000,93705000,4950000,43237000,439246000,922270000,948499000,324966000,-99582000,1042844000,40722000,1083566000,2005836000,-24832000,10427000,3970000,44466000,34031000,-18387000,-18387000,-12109000,-4902000,-152000,-52514000,-36870000,-36870000,-1959000,-38829000,-11496000,314970000,15284000,0.48609,-0.05213,-0.06285,-0.0244,-0.01318,-0.57819,2.00648,0.85114,0.15703,-0.35643,-0.35092,5.67075,14.06131,0.20608,0.16327,-0.0093,0.00992,-0.45808,-2.89605,-1.51863
"22","2022_Q2",40.7670967741935,"Down",606087000,-289088000,316999000,-211630000,-195691000,-13976000,-1963000,105369000,-2603000,-1277000,-1326000,102766000,102766000,-20919000,81847000,81847000,-802000,81045000,81045000,125480835.88498,377252000,377252000,563182000,114508000,1054942000,230006000,800855000,463267000,208797000,55240000,73551000,1030861000,2085803000,348267000,187642000,160625000,114818000,535904000,293280000,144694000,93821000,4986000,45887000,437974000,973878000,943315000,392538000,-104527000,1070393000,41532000,1111925000,2085803000,81847000,10367000,11329000,-267591000,-164048000,-11686000,-11686000,-13984000,93325000,-10762000,9471000,-166263000,-166263000,-1012000,-167275000,115736000,408098000,-142622000,0.52303,0.17385,0.13372,0.07289,0.03886,-1.75979,1.96853,0.87585,0.19566,1.09255,1.09255,8.1705,14.42968,-1.92265,0.18851,0.05708,-0.08567,0.17255,-9.99608608003413,-3.80466189962152
"23","2022_Q3",47.691875,"Up",658599000,-314993000,343606000,-255059000,-239167000,-13938000,-1954000,88547000,-4238000,-2091000,-2147000,84309000,84309000,-16070000,68239000,68239000,-1785000,66454000,66454000,-181217492.345059,386260000,386260000,576480000,107483000,1070223000,229738000,796186000,461021000,204537000,53211000,77417000,1025924000,2096147000,388121000,190115000,198006000,106528000,548201000,288926000,148887000,94524000,4886000,49477000,437813000,986014000,949282000,444592000,-122700000,1071173000,38960000,1110133000,2096147000,68239000,10298000,11426000,-16560000,73403000,-8771000,-8771000,-12928000,-10805000,-5100000,-66296000,-1664000,-1664000,-3646000,-5310000,98845000,395454000,89584000,0.52172,0.13445,0.1009,0.05986,0.0317,1.34806,1.95225,0.88819,0.18866,0.91152,0.90547,9.03368,14.69275,1.22878,0.17733,0.04798,0.05415,0.19454,-23.6946282401024,-7.80932569886456
