"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","income_loss_from_affiliates","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","preferred_equity","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2014_Q1",57.6114754098361,"Up",2104400000,-1749300000,355100000,-2.1e+08,-3.9e+07,-73200000,-97800000,145100000,-31500000,-36200000,4700000,113600000,0,113600000,-17900000,95700000,95700000,-75200000,20500000,20500000,66700000,66700000,658800000,658800000,150700000,2.1e+07,20900000,897200000,4349900000,745600000,92200000,5151400000,6048600000,761800000,761800000,8600000,8e+06,770400000,2989300000,197600000,135500000,62100000,3186900000,3957300000,-1.13686837721616e-13,151600000,20500000,-5e+05,148800000,1942500000,2091300000,6048600000,95700000,73200000,4100000,-67300000,105700000,-286500000,16700000,-269800000,154100000,6300000,147100000,-1.7e+07,-1.7e+07,-1.7e+07,218300000,2989300000,-117600000,0.16874,0.06895,0.00974,0.0098,0.00339,-5.73659,1.16459,1.89227,0.49421,0.49279,0.48578,50.58654,3.57692,-2.82692,0.00388,-0.02228,13.388,20.14197
"12","2014_Q2",71.2490476190476,"Up",2294700000,-1915100000,379600000,-221200000,-3.8e+07,-79600000,-103600000,158400000,-2.9e+07,-33900000,4900000,129400000,0,129400000,-22500000,106900000,106900000,-87300000,19600000,19600000,94900000,94900000,610400000,610400000,88500000,16100000,11800000,809900000,4464300000,727300000,89200000,5245300000,6055200000,745500000,745500000,12900000,12900000,758400000,2891700000,206100000,138800000,67300000,3097800000,3856200000,0,149200000,19600000,-8e+05,144400000,2054600000,2.199e+09,6055200000,106900000,79600000,6500000,125700000,318700000,-197700000,4e+06,-193700000,-17100000,-78900000,-96800000,28200000,28200000,28200000,2.38e+08,2891700000,188500000,0.16542,0.06903,0.00854,0.00891,0.00324,9.61735,1.06791,1.75362,0.47756,0.46667,0.46556,54.63571,3.4381,4.4881,0.0037,0.03559,11.75126,17.65657
"13","2014_Q3",85.56265625,"Up",2000600000,-1616600000,3.84e+08,-233600000,-41500000,-85800000,-106300000,150400000,-31500000,-35700000,4200000,118900000,0,118900000,-15600000,103300000,103300000,-76900000,26400000,26400000,75900000,75900000,682600000,682600000,151700000,2.9e+07,2.5e+07,939200000,4623800000,713100000,90400000,5389200000,6328400000,806400000,806400000,12500000,12500000,818900000,3048200000,218300000,142700000,75600000,3266500000,4085400000,1.81898940354586e-12,149800000,26500000,-9e+05,151800000,2091200000,2.243e+09,6328400000,103300000,85800000,5800000,-89100000,105800000,-221900000,1900000,-2.2e+08,171600000,-76400000,95200000,-1.9e+07,-1.9e+07,-1.9e+07,236200000,3048200000,-59200000,0.19194,0.07518,0.0132,0.01177,0.00417,-2.24242,1.1469,1.8214,0.48167,0.62857,0.62708,47.63333,3.61429,-1.40952,0.00479,-0.01075,12.58383,19.76263
"14","2014_Q4",72.50203125,"Down",2288400000,-1880500000,407900000,-239100000,-42900000,-87700000,-108500000,168800000,-32800000,-36900000,4700000,1.36e+08,0,1.36e+08,-15500000,120500000,120500000,-89700000,30800000,30800000,78800000,78800000,698100000,698100000,251200000,2.5e+07,2.5e+07,1053100000,4693700000,693400000,86100000,5438800000,6491900000,798600000,798600000,4100000,3600000,802700000,3137200000,202200000,135500000,66700000,3339400000,4142100000,0,153800000,30800000,3e+05,159500000,2190300000,2349800000,6491900000,120500000,87700000,2100000,-115700000,94600000,-152100000,4600000,-147500000,162400000,-104800000,55800000.0000001,2900000.00000001,2900000.00000001,2900000.00000001,256500000,3137200000,4200000.00000003,0.17825,0.07376,0.01346,0.01311,0.00474,0.136359999999998,1.31195,1.76275,0.48325,0.73333,0.73159,54.48571,3.79762,0.1,0.00541,0.00074,11.92359,18.11848
"15","2015_Q1",59.232131147541,"Down",2032800000,-1580500000,452300000,-289400000,-25600000,-97900000,-165900000,162900000,-43800000,-40600000,4200000,119100000,-12400000,106700000,-14400000,92300000,92300000,-66800000,25500000,25500000,8.1e+07,8.1e+07,567300000,567300000,168900000,65300000,65300000,882500000,4824600000,696100000,104200000,5570900000,6453400000,638500000,638500000,1.88e+08,1.88e+08,826500000,2885400000,2.02e+08,138700000,63300000,3087400000,3913900000,2.91038304567337e-11,164900000,25500000,4800000,169800000,2369700000,2539500000,6453400000,92300000,97900000,24100000,28400000,242700000,-190500000,3e+05,-190200000,-219800000,279900000,-50300000,2200000,2200000,2200000,260800000,2885400000,113100000,0.2225,0.08014,0.01254,0.01004,0.00395,4.43529,1.06776,1.54121,0.44711,0.60714,0.6057,48.4,4.04286,2.69286,0.02461,0.0201,10.75307,17.21547
"16","2015_Q2",62.1450793650794,"Up",1679700000,-1258600000,421100000,-282900000,-42600000,-118600000,-121700000,138200000,-78200000,-54100000,1900000,6e+07,-9100000,50900000,-15200000,35700000,35700000,-32500000,3200000,3200000,170700000,170700000,675600000,675600000,78200000,143100000,143100000,1067600000,9.833e+09,2401800000,170900000,12557700000,13625300000,736800000,736800000,246100000,198500000,982900000,5838200000,209800000,127800000,8.2e+07,6.048e+09,7030900000,0,1532700000,3100000,5300000,1514100000,5080300000,6594400000,13625300000,35700000,118600000,33100000,83900000,271300000,-187600000,-7200000,-1769200000,1161100000,91999999.9999999,1589300000,91400000,91400000,91400000,256800000,5838200000,168300000,0.2507,0.08228,0.00191,0.00049,0.00023,52.59375,1.08617,1.06619,0.42848,0.0698700000000001,0.0697199999999999,36.67467,33.05895,3.67467,0.00025,0.01331,22.0697,41.00941
"17","2015_Q3",46.99203125,"Down",1699400000,-1.228e+09,471400000,-358800000,-49100000,-163900000,-145800000,112600000,-69900000,-67600000,-1400000,42700000,-3800000,38900000,-14900000,2.4e+07,2.4e+07,-8600000,15400000,15400000,105700000,105700000,602500000,602500000,124800000,130500000,130500000,963500000,9684300000,2447100000,153600000,12389400000,13352900000,689100000,689100000,157900000,126100000,8.47e+08,5796100000,217600000,133500000,84100000,6013700000,6860700000,-4.65661287307739e-10,1524700000,15400000,3500000,1516100000,4976100000,6492200000,13352900000,2.4e+07,163900000,58300000,-33300000,212900000,-248600000,6e+06,-242600000,142400000,-100900000,-3.7e+07,-66700000,-66700000,-66700000,276500000,5796100000,9500000,0.27739,0.06626,0.00906,0.00237,0.00115,0.61688,1.13754,1.05676,0.43407,0.27549,0.27451,30.40072,27.12165,0.16995,0.00754,0.000759999999999999,20.58011,50.53641
"18","2015_Q4",28.87203125,"Down",1632100000,-1163400000,468700000,-353300000,-44800000,-165800000,-142700000,115400000,-7e+07,-67800000,-1600000,45400000,-5e+05,44900000,-2.4e+07,20900000,20900000,-8100000.00000001,12800000,12800000,102900000,102900000,6.21e+08,6.21e+08,151100000,126100000,126100000,1001100000,9750200000,2402700000,155600000,12417100000,13418200000,688900000,688900000,173300000,139800000,862200000,5938800000,237300000,156800000,80500000,6176100000,7038300000,0,1492500000,12600000,5200000,1481800000,4898100000,6379900000,13418200000,20900000,165800000,62300000,-37700000,211300000,-189100000,-7300000,-196400000,1.54e+08,-121500000,-17700000,-2799999.99999997,-2799999.99999997,-2799999.99999997,281200000,5938800000,78400000,0.28718,0.07071,0.00784,0.00201,0.00095,6.125,1.1611,1.1032,0.44259,0.22857,0.22816,29.14464,26.46071,1.4,0.00493,0.00624,20.75356,50.57106
"19","2016_Q1",16.0954098360656,"Down",1647400000,-1187600000,459800000,-344100000,-25200000,-196200000,-122700000,115700000,-44100000,-42400000,-1400000,71600000,-318100000,-246500000,14500000,-2.32e+08,-2.32e+08,258900000,26900000,26900000,140200000,140200000,515800000,515800000,1.41e+08,1.23e+08,109500000,9.2e+08,9702700000,2329400000,102300000,1.2291e+10,1.3211e+10,650400000,650400000,224500000,224500000,874900000,5718800000,367100000,177800000,189300000,6085900000,6960800000,7.45058059692383e-09,1457500000,26900000,5700000,1461400000,4788800000,6250200000,1.3211e+10,-2.32e+08,196200000,296800000,78200000,339200000,-191900000,5e+05,-191400000,-81600000,20800000,-110500000,37300000,37300000,37300000,311900000,5718800000,183700000,0.27911,0.07023,0.01633,0.0043,0.00204,6.829,1.05155,1.11369,0.43288,0.4778,0.4778,29.2611,25.95737,3.26288,0.00631,0.01489,17.88586,48.21608
"20","2016_Q2",27.1575,"Up",1442400000,-1.011e+09,431400000,-371900000,-45300000,-193500000,-133100000,59500000,-57800000,-52900000,-4800000,1700000,7e+05,2400000,-3100000,-7e+05,-7e+05,-2000000.00000003,-2700000,-6500000,114500000,114500000,428400000,428400000,61700000,111300000,111300000,715900000,9734600000,2243800000,85700000,12233300000,12949200000,5.41e+08,5.41e+08,1.52e+08,1.52e+08,6.93e+08,4921200000,1280700000,1.117e+09,163700000,6201900000,6894900000,173600000,5321700000,-2700000,4.3e+07,5506700000,547600000,6054300000,12949200000,-7e+05,193500000,7400000.00000006,41100000,241300000,-190100000,2100000,-1.88e+08,143500000,-171100000,-7.9e+07,-25700000,-25700000,-25700000,2.53e+08,4921200000,107100000,0.29908,0.04125,-0.00451,-0.00107,-5e-04,-16.47692,1.03304,1.13884,0.38004,-0.06098,-0.06098,13.53096,50.02908,1.00469,0.00366,0.00874,18.99881,80.78487
"21","2016_Q3",30.79765625,"Up",1583600000,-1145200000,438400000,-3.72e+08,-46900000,-186100000,-1.39e+08,66400000,-75900000,-71400000,-4400000,-9500000,-3299999.99999997,-12800000,-1700000,-14500000,-14500000,-8700000,-23200000,-52600000,170900000,170900000,490100000,490100000,1.11e+08,84700000,84700000,856700000,9702500000,2190700000,71700000,12143400000,13000100000,697700000,697700000,239900000,239900000,937600000,4778300000,1267200000,1.083e+09,184200000,6045500000,6983100000,179900000,5371500000,-25900000,-41700000,5454700000,562300000,6.017e+09,13000100000,-14500000,186100000,24400000,20200000,216200000,-117600000,4e+05,-117200000,-189400000,115600000,-42600000,56400000,56400000,56400000,252500000,4778300000,156800000,0.27684,0.04193,-0.03322,-0.00874,-0.00405,-2.98099,0.91372,1.16056,0.36756,-0.3255,-0.3255,9.7995,32.64109,0.9703,0.00807,0.013,18.24713,69.38855
"22","2016_Q4",36.601746031746,"Up",1652400000,-1222700000,429700000,-378100000,-46100000,-1.84e+08,-1.48e+08,51600000,-63800000,-62700000,-2200000,-12200000,3e+05,-11900000,8700000,-3199999.99999999,-3199999.99999999,-7499999.99999999,-10700000,-39500000,141100000,141100000,547400000,547400000,150300000,137900000,59400000,976700000,9680200000,2151800000,65800000,12078900000,13055600000,710800000,710800000,2.38e+08,2.38e+08,948800000,4725900000,1318400000,1141700000,176700000,6044300000,6993100000,185600000,5377900000,-36600000,-2700000,5492400000,570100000,6062500000,13055600000,-3199999.99999999,1.84e+08,16200000,-93800000,103200000,-117300000,5e+05,-116800000,-5.5e+07,-4200000,-16200000,-29800000,-29800000,-29800000,235600000,4725900000,15800000,0.26005,0.03123,-0.0239,-0.00652,-0.00303,-0.4,1.02941,1.1535,0.36198,-0.23512,-0.23512,9.83571,31.5881,0.09405,0.01134,0.00131,19.4601,88.85271
"23","2017_Q1",42.8027419354839,"Up",2012500000,-1.544e+09,468500000,-383200000,-48900000,-194100000,-140200000,85300000,-70200000,-67200000,-2900000,15100000,-252500000,-237400000,96700000,-140700000,-140700000,-1e+07,-150700000,-179500000,73500000,73500000,674600000,674600000,137700000,1.21e+08,53200000,1006800000,9.691e+09,1932600000,68600000,11864400000,12871200000,843500000,843500000,49100000,49100000,1167600000,4.606e+09,1182400000,941200000,241200000,5788400000,6.956e+09,190800000,5506400000,-187300000,-38300000,5439400000,475800000,5915200000,12871200000,-140700000,194100000,266300000,-4.3e+07,276700000,-137100000,5e+05,-136600000,-181200000,-15100000,-207700000,-67600000,-67600000,-67600000,279400000,4.881e+09,2600000,0.2328,0.04239,-0.08919,-0.03035,-0.01395,-0.01448,0.86228,1.17595,0.37922,-0.98953,-0.98953,11.09427,28.93385,0.01433,0.00068,0.000219999999999999,17.20651,56.35991
"24","2017_Q2",37.688253968254,"Down",2112600000,-1654200000,458400000,-407900000,-48700000,-191100000,-168100000,50500000,-80800000,-6.3e+07,-12600000,-30300000,-9100000,-39400000,-71100000,-110500000,-110500000,-8800000,-119300000,-148300000,8e+07,8e+07,537700000,537700000,75500000,118900000,48300000,812100000,9963400000,2651300000,43500000,12841700000,13653800000,867200000,867200000,22200000,22200000,1424300000,4213300000,1648400000,951600000,696800000,5861700000,7.286e+09,196900000,5986200000,-250500000,-13100000,5886800000,4.81e+08,6367800000,13653800000,-110500000,191100000,140100000,9.8e+07,318700000,-144200000,-5e+05,-625500000,-2.15e+08,63200000,313300000,6500000,6500000,6500000,241600000,4748200000,266500000,0.21698,0.0239,-0.0702,-0.02329,-0.01086,-1.79703,0.57017,1.14419,0.34776,-0.7732,-0.7732,11.0146,29.6658,1.38947,0.00403,0.02088,19.32202,92.4396
"25","2017_Q3",34.687619047619,"Down",1867700000,-1420600000,447100000,-4.1e+08,-50900000,-203500000,-155600000,37100000,-63900000,-62100000,-4200000,-26800000,-8600000,-35400000,1.06e+08,70600000,70600000,-1.3e+07,57600000,28300000,98700000,98700000,550400000,550400000,197700000,68100000,66100000,914900000,10226800000,2558300000,3.7e+07,13003500000,13918400000,8.86e+08,8.86e+08,9500000.00000001,9500000,1395600000,3937500000,1446800000,852900000,593900000,5384300000,6779900000,203300000,6666600000,-192900000,21500000,6664200000,474300000,7138500000,13918400000,70600000,203500000,-78200000,-50100000,145800000,-382400000,-10700000,-483100000,-466100000,116800000,3.56e+08,18700000,18700000,18700000,240600000,4437600000,-297900000,0.23939,0.01986,0.01515,0.00396000000000001,0.00203,-10.5265,0.65556,0.94977,0.31883,0.13893,0.13805,9.16888,31.71772,-1.46244,0.01778,-0.02288,18.03367,116.95148
"26","2017_Q4",34.7993650793651,"Up",2131800000,-1.663e+09,468800000,-414300000,-49900000,-208200000,-156200000,54500000,-55800000,-56100000,2e+05,-1300000,-251200000,-252500000,97400000,-155100000,-155100000,-12500000,-167600000,-197100000,114100000,114100000,710400000,710400000,267400000,108900000,104300000,1200800000,10068800000,2506600000,35200000,12797500000,13998300000,1.024e+09,1.024e+09,80900000,80900000,1633300000,4368600000,1241200000,728500000,512700000,5609800000,7243100000,209800000,6435100000,-360500000,-43500000,6205600000,549600000,6755200000,13998300000,-155100000,208200000,175200000,-160900000,67400000,-3.4e+08,-8900000,-348900000,3.95e+08,122900000,296900000,15400000,15400000,15400000,262700000,4.897e+09,-335600000,0.21991,0.02557,-0.09246,-0.02918,-0.01408,1.70269,0.7352,1.07223,0.34983,-0.91419,-0.91419,9.88776,27.80983,-1.55659,0.00185,-0.02603,18.2067,87.75963
"27","2018_Q1",37.817868852459,"Up",2702800000,-2168300000,534500000,-4.21e+08,-53900000,-206700000,-160400000,113500000,-52800000,-52500000,-4e+05,60700000,-26300000,34400000,264800000,299200000,299200000,-15900000,283300000,253700000,137200000,137200000,827600000,827600000,204500000,100600000,100600000,1269900000,1.043e+10,2467100000,44700000,13118700000,14388600000,1186900000,1186900000,79700000,79700000,1616600000,4.703e+09,1096500000,4.79e+08,617500000,5799500000,7416100000,216500000,6.303e+09,-77200000,-29900000,6376800000,595700000,6972500000,14388600000,299200000,206700000,-181200000,82900000,407600000,-430900000,-4300000,-435200000,-223600000,406500000,50700000,23100000,23100000,23100000,320200000,5.053e+09,-292600000,0.19776,0.04199,0.09387,0.03639,0.01763,-1.15333,0.78554,1.06362,0.35118,1.17182,1.1789,12.48406,28.45404,-1.3515,0.03604,-0.0223,15.35228,43.31101
