"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","current_income_tax","income_loss_from_affiliates_net_of_taxes","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","deferred_tax_liabilities_long_term","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2013_Q4",23.22984375,"Up",433663000,-383644000,50019000,-97091000,-97091000,-47072000,-5905000,-5905000,-52977000,-52977000,-2729000,-2729000,82000,-55624000,-55624000,-406000,-56030000,-56030000,31606000,31606000,162352000,162352000,344168000,79997000,79997000,618123000,530703000,136780000,57416000,667483000,1285606000,659906000,286964000,16203000,16203000,676109000,86229000,86229000,179197000,855306000,258282000,154126000,-7701000,404707000,25593000,430300000,1285606000,-55623000,10125000,60671000,-29524000,-14351000,3158000,-7000,2521000,-11161000,588000,-10573000,-22403000,-22403000,-1628000,-24031000,-36947000,92968000,-60584000,0.11534,-0.10855,-0.1292,-0.13021,-0.04358,1.08128,0.91424,1.9877,0.07231,-2.22553,-4.87472,17.22525,16.07511,-2.40642,-0.09193,-0.0994,-1.66081,-1.30358
"12","2014_Q1",31.2109836065574,"Up",484215000,-423915000,60300000,-21073000,-21073000,39227000,-4031000,-4031000,35196000,35196000,-12155000,-12155000,249000,23290000,23290000,-2574000,20716000,20716000,97435000,97435000,154848000,154848000,316783000,77287000,77287000,646353000,507001000,136387000,57416000,643388000,1289741000,689827000,315938000,8838000,8838000,698665000,86040000,86040000,134249000,832914000,259864000,174842000,-6504000,428202000,28625000,456827000,1289741000,23290000,9924000,-5798000,57939000,85355000,24577000,99000,23452000,-43552000,123000,-43429000,65378000,65378000,451000,65829000,49151000,48209000,143822000,0.12453,0.08101,0.04278,0.04535,0.01606,6.94256,0.92513,1.82326,0.03738,0.76212,0.76212,17.81381,15.75315,5.29107,0.03505,0.24332,-1.00153,-1.2549
"13","2014_Q2",41.23,"Up",490355000,-428796000,61559000,-23337000,-23337000,38222000,-4744000,-4744000,33478000,33478000,-10522000,-10522000,41000,22997000,22997000,-7609000,15388000,15388000,81226000,81226000,174745000,174745000,328235000,70257000,70257000,654463000,494644000,133471000,57416000,628115000,1282578000,665707000,293041000,8706000,8706000,674413000,86501000,86501000,125306000,799719000,260504000,190230000,-3135000,447599000,35260000,482859000,1282578000,22997000,10897000,590000,-47939000,-13455000,7509000,-168000,6088000,-10208000,152000,-10927000,-18294000,-18294000,2085000,-16209000,49119000,38805000,19211000,0.12554,0.07795,0.03138,0.03187,0.012,1.24844,0.97042,1.65622,0.03026,0.54151,0.44652,17.25569,15.7511,0.67604,0.0253,0.03159,-0.86364,-1.10986
"14","2014_Q3",54.2771875,"Up",502216000,-444365000,57851000,-23249000,-23249000,34602000,-4099000,-4099000,30503000,30503000,-9883000,-9883000,-67000,20553000,20553000,-4966000,15587000,15587000,143929000,143929000,148810000,148810000,306394000,93621000,93621000,692754000,487132000,134589000,57416000,621721000,1314475000,691038000,319611000,14272000,14272000,705310000,84848000,84848000,111586000,816896000,252564000,205817000,-1812000,456569000,41010000,497579000,1314475000,20553000,9856000,-5407000,55273000,80275000,4633000,11000,4644000,-13306000,-1646000,-22970000,61949000,61949000,754000,62703000,44458000,26738000,114247000,0.11519,0.0689,0.03104,0.03133,0.01186,7.32963,0.9822,1.64174,0.02034,0.55076,0.45382,17.74552,16.13261,4.03685,0.02559,0.18755,-2.63599,-3.38683
"15","2014_Q4",44.839375,"Down",593285000,-496510000,96775000,-29237000,-29237000,67538000,-5437000,-5437000,62101000,62101000,-16303000,-16303000,298000,46096000,46096000,-12508000,33588000,33588000,198492000,198492000,181850000,181850000,337197000,105800000,105800000,823339000,490805000,136428000,57416000,627233000,1450572000,803609000,356541000,21153000,21153000,824762000,79526000,79526000,97608000,922370000,239124000,239405000,-2384000,476145000,52057000,528202000,1450572000,46096000,10071000,-9310000,-31937000,14920000,-7149000,-504000,-7653000,66985000,-1888000,47693000,54960000,54960000,-397000,54563000,77609000,18082000,54826000,0.16312,0.11384,0.05661,0.06359,0.02316,1.63231,0.99827,1.74624,0.01247,1.20167,0.988,21.2259,17.03499,1.9615,0.05367,0.08761,-2.3246,-2.67124
"16","2015_Q1",44.006393442623,"Down",618106000,-512071000,106035000,-6877000,-6877000,99158000,-4415000,-4415000,94743000,94743000,-35693000,-35693000,1083000,60133000,60133000,-12777000,47356000,47356000,184916000,184916000,199679000,199679000,305656000,145990000,145990000,836241000,502546000,178381000,43265000,680927000,1517168000,828380000,383289000,20603000,20603000,848983000,81383000,81383000,94464000,943447000,235763000,282559000,-6932000,511390000,62331000,573721000,1517168000,60133000,9598000,-24039000,8475000,54167000,-20985000,328000,-33157000,-6976999.99999999,-12967000,-31357000,-10347000,-10347000,-3229000,-13576000,108756000,13081000,131939000,0.17155,0.16042,0.07661,0.08254,0.03121,2.78611,0.98499,1.64444,0.00862,1.69207,1.39151,22.08547,18.27241,4.7143,0.07704,0.19746,-1.58,-1.73294
"17","2015_Q2",47.6473015873016,"Up",495058000,-406990000,88068000,-33646000,-33646000,54422000,-3141000,-3141000,51281000,51281000,-16054000,-16054000,755000,35982000,35982000,-3196000,32786000,32786000,118958000,118958000,191532000,191532000,372039000,186391000,186391000,868920000,522918000,177544000,43265000,700462000,1569382000,817812000,374509000,27067000,27067000,844879000,81808000,81808000,128335000,973214000,219062000,311175000,-10353000,519884000,76284000,596168000,1569382000,35982000,12050000,19250000,-121112000,-53830000,-29241000,-30000,-31771000,31688000,11695000,21653000,-63948000,-63948000,-2010000,-65958000,66472000,46527000,-67827000,0.17789,0.10993,0.06623,0.05499,0.02089,-2.06878,1.02845,1.63245,0.02965,1.18511,0.9725,17.89474,18.79212,-2.45173,0.04525,-0.09362,-1.08965,-1.33091
"18","2015_Q3",33.5809375,"Down",630149000,-504839000,125310000,-32778000,-32778000,92532000,-1929000,-1929000,90603000,90603000,-29372000,-29372000,-185000,61046000,61046000,-10695000,50351000,50351000,145512000,145512000,207488000,207488000,418590000,206732000,206732000,978322000,533211000,178876000,43265000,712087000,1690409000,859170000,417844000,28287000,28287000,887457000,77632000,77632000,168195000,1055652000,199893000,357523000,-15925000,541491000,93266000,634757000,1690409000,61046000,10348000,6512000,-31869000,46037000,-21596000,915000,-23896000,42054000,-1259000,7563000,29704000,29704000,-3150000,26554000,102880000,90563000,78787000,0.19886,0.14684,0.0799,0.07932,0.02979,1.56476,1.10239,1.66308,0.05357,1.86271,1.52224,23.31209,20.03222,2.91469,0.07269,0.09812,-0.53411,-0.59384
"19","2015_Q4",27.5459375,"Down",714606000,-565320000,149286000,-44875000,-44875000,104411000,-4285000,-4285000,100126000,100126000,-30783000,-30783000,982000,70325000,70325000,-27514000,42811000,42811000,122783000,122783000,214890000,214890000,426655000,222109000,222109000,986437000,543532000,197146000,43265000,740678000,1727115000,751823000,405544000,24209000,24209000,776032000,75572000,75572000,168079000,944111000,293407000,396250000,-17261000,672396000,110608000,783004000,1727115000,70325000,10860000,958000,-44793000,37350000,-20427000,58000,-44577000,180000,-9209000,-14587000,-21814000,-21814000,-915000,-22729000,115271000,92507000,80834000,0.20891,0.14611,0.05991,0.05468,0.02479,1.88816,1.27113,1.20576,0.05356,1.53742,1.29746,25.66279,24.14695,2.90289,0.04927,0.08499,-0.26265,-0.28997
"20","2016_Q1",20.814262295082,"Down",765465000,-590776000,174689000,-39162000,-39162000,135527000,-1824000,-1824000,133703000,133703000,-35951000,-35951000,204000,97956000,97956000,-31072000,66884000,66884000,172930000,172930000,196029000,196029000,445535000,221403000,221403000,1035897000,558526000,196089000,43265000,754615000,1790512000,781642000,455213000,33836000,33836000,815478000,60657000,60657000,111545000,927023000,295444000,458599000,-21205000,732838000,130651000,863489000,1790512000,97956000,11898000,-9768000,62690000,162776000,-29430000,2673000,-31287000,-43590000,-7942000,-77453000,54036000,54036000,-3889000,50147000,147425000,50888000,216636000,0.22821,0.17705,0.08738,0.07746,0.03735,3.23898,1.27029,1.07358,0.02842,2.22487,1.99499,25.46288,24.37755,7.20631,0.07313,0.22218,-0.82782,-0.9005
"21","2016_Q2",23.64296875,"Up",802389000,-617624000,184765000,-36280000,-36280000,148485000,-5436000,-5436000,143049000,143049000,-44719000,-44719000,383000,98713000,98713000,-29280000,69433000,69433000,197633000,197633000,237213000,237213000,444023000,248729000,248729000,1127598000,559837000,206080000,43265000,765917000,1893515000,709338000,384670000,42351000,42351000,751689000,63483000,63483000,227371000,979060000,280422000,522182000,-30659000,771945000,142510000,914455000,1893515000,98713000,12974000,5372000,-180550000,-63491000,25758000,-333000,23559000,111239000,-19326000,71605000,31673000,31673000,-6970000,24703000,161459000,163888000,51386000,0.23027,0.18505,0.08653,0.07593,0.03667,0.74008,1.50009,1.07065,0.08655,2.36239,2.13128,27.3005,26.26467,1.74836,0.0609,0.045,-0.209,-0.22726
"22","2016_Q3",27.08859375,"Up",669079000,-549188000,119891000,-27498000,-27498000,92393000,-1417000,-1417000,90976000,90976000,-25734000,-25734000,974000,66216000,66216000,-21348000,44868000,44868000,283541000,283541000,228072000,228072000,421243000,188852000,188852000,1121708000,545190000,203411000,43265000,748601000,1870309000,723549000,401010000,84362000,84362000,807911000,55204000,55204000,130204000,938115000,272502000,561198000,-32760000,800940000,131254000,932194000,1870309000,66216000,14868000,-11345000,143067000,212806000,26809000,2965000,26500000,-90856999.9999999,-35586000,-150956000,88350000,88350000,-2442000,85908000,107261000,7.5e+07,302871000,0.17919,0.13809,0.06706,0.04813,0.02399,6.75027,1.38841,1.00635,0.0401,1.54201,1.3803,22.99478,27.52655,10.40901,0.05303,0.28508,-1.94424,-2.25711
"23","2016_Q4",31.0361904761905,"Up",612866000,-485768000,127098000,-42969000,-42969000,84129000,-3712000,-3712000,80417000,80417000,-22449000,-22449000,1564000,59532000,59532000,-24180000,35352000,35352000,214440000,214440000,213510000,213510000,458068000,145481000,145481000,1031499000,550801000,203584000,43265000,754385000,1785884000,677460000,370652000,68158000,68158000,745618000,50390000,50390000,50390000,796008000,278880000,590725000,-29519000,840086000,149790000,989876000,1785884000,59532000,13839000,-231000,-27777000,45363000,-15567000,2906000,-16609000,-85331000,-9179000,-100549000,-71795000,-71795000,2694000,-69101000,97968000,0,77073000,0.20738,0.13727,0.05768,0.03571,0.0198,2.18016,1.38341,0.80415,0,1.2166,1.0931,21.09113,28.91066,2.65238,0.03955,0.07409,-2.18888,-2.54894
"24","2017_Q1",36.9559677419355,"Up",595190000,-475507000,119683000,-36138000,-36138000,83545000,-2937000,-2937000,80608000,80608000,-19420000,-19420000,-825000,60363000,60363000,-26803000,33560000,33560000,222679000,222679000,232517000,232517000,365805000,169211000,169211000,990212000,636256000,209306000,43265000,845562000,1835774000,671607000,369754000,95721000,95721000,767328000,51619000,51619000,51619000,818947000,282886000,618178000,-26753000,874311000,142516000,1016827000,1835774000,60363000,21664000,-10393000,70858000,142492000,-72298000,-13093000,-89158000,-2838000,-38736000,-47515000,5818999.99999999,5818999.99999999,2420000,8238999.99999999,105209000,3.72529029846191e-09,123189000,0.20108,0.14037,0.05639,0.033,0.01828,3.67071,1.29047,0.80539,0,1.15414,1.0343,20.46874,30.06778,4.2365,0.03697,0.1153,-2.11654,-2.66538
"25","2017_Q2",38.3974603174603,"Up",552314000,-439563000,112751000,-40091000,-40091000,72660000,-1724000,-1724000,70936000,70936000,-20386000,-20386000,-2584000,47966000,47966000,-23004000,24962000,24962000,233790000,233790000,237037000,237037000,402064000,111328000,111328000,984219000,632756000,200375000,43265000,833131000,1817350000,646107000,345776000,85358000,85358000,731465000,54123000,54123000,54123000,785588000,281754000,637026000,-38055000,880725000,151037000,1031762000,1817350000,47966000,15595000,12318000,-44053000,31826000,-3395000,16187000,12242000,-1750000,-16469000,-24366000,19702000,19702000,-8591000,11111000,88255000,0,61193000,0.20414,0.13156,0.0452,0.02419,0.01374,2.45145,1.34554,0.7614,0,0.85789,0.77015,18.98182,30.26858,2.10307,0.02865,0.05635,-2.64903,-3.21759
"26","2017_Q3",37.5247619047619,"Down",566282000,-447357000,118925000,-37405000,-37405000,81520000,-5673000,-5673000,75847000,75847000,-24858000,-24858000,-1988000,49001000,49001000,-14465000,34536000,34536000,545752000,545752000,295844000,295844000,381439000,107094000,107094000,1330129000,623594000,202255000,43265000,825849000,2155978000,904917000,372321000,85441000,85441000,990358000,65589000,65589000,65589000,1055947000,305992000,665442000,-29350000,942084000,157947000,1100031000,2155978000,49001000,14985000,768999.999999993,-11738000,53017000,2098999.99999999,-54000.0000000075,2044999.99999999,273031000,-17901000,249139000,304201000,304201000,7761000,311962000,96505000,0,111724000,0.21001,0.14396,0.06099,0.0314,0.01602,3.235,1.34308,0.95992,0,1.18562,1.06481,19.44049,32.34179,3.83549,0.03477,0.09585,-5.65517,-6.6947
"27","2017_Q4",42.5833333333333,"Up",439161000,-349460000,89701000,-41229000,-41229000,48472000,-7894000,-7894000,40578000,40578000,-8656000,-8656000,-681000,31241000,31241000,1582000,32823000,32823000,465413000,465413000,267830000,267830000,414012000,157872000,157872000,1305127000,646447000,222253000,43265000,868700000,2173827000,871639000,339001000,82006000,82006000,953645000,80482000,80482000,80482000,1034127000,310074000,691808000,-15661000,986221000,153479000,1139700000,2173827000,31241000,16036000,29910000,-84099000,-6912000,-32208000,-57000,-65783000,-1750000,-9583000,-17814000,-90509000,-90509000,10170000,-80339000,64508000,0,-43143000,0.20426,0.11037,0.07474,0.0288,0.0151,-1.31441,1.36857,0.90737,0,1.11833,1.00379,14.9629,33.60208,-1.46995,0.03221,-0.03536,-7.21481,-9.60169
"28","2018_Q1",43.3968852459016,"Up",611407000,-511485000,99922000,-42142000,-42142000,57780000,-8901000,-8901000,48879000,48879000,-10114000,-10114000,-6511000,32254000,32254000,-8508000,23746000,23746000,611466000,611466000,279964000,279964000,400127000,100164000,100164000,1391721000,743962000,262022000,68590000,1005984000,2397705000,973289000,415061000,129260000,129260000,1102549000,75791000,75791000,80115000,1182664000,315306000,709103000,-6279000,1018130000,196911000,1215041000,2397705000,32254000,18513000,-3557000,160463000,207673000,-28412000,-139000,-62242000,2589000,1145000,-2536999.99999997,142894000,142894000,3159000,146053000,76293000,4324000,218458000,0.16343,0.0945,0.03884,0.01954,0.0099,9.19978,1.26228,0.97335,0.0018,0.80978,0.72611,20.85005,34.72002,7.4498,0.02318,0.16867,-7.95803,-10.50782
"29","2018_Q2",40.96234375,"Down",559535000,-470221000,89314000,-27872000,-27872000,61442000,-7020000,-7020000,54422000,54422000,-18135000,-18135000,-2910000,33377000,33377000,-7124000,26253000,26253000,591406000,591406000,315393000,315393000,411371000,139830000,139830000,1.458e+09,701559000,253131000,67783000,954690000,2412690000,1000360000,441373000,120044000,120044000,1120404000,69984000,69984000,76869000,1197273000,312789000,728755000,-8987000,1032557000,182860000,1215417000,2412690000,33377000,18370000,-12167000,-79234000,-39654000,45167000,-339597.764919876,45167000,8390000,-31961000,-23890000,-18377000,-18377000,-1736000,-20113000,79812000,6885000,63880000,0.15962,0.10981,0.04692,0.0216,0.01088,2.43325,1.30132,0.98507,0.00285,0.89503,0.80294,19.07592,35.20241,2.17783,0.02056,0.04943,-7.32372,-9.51338
"30","2018_Q3",49.7236507936508,"Up",629336000,-523989000,105347000,-44477000,-44477000,60870000,-7029000,-7029000,53841000,53841000,11301000,11301000,147000,65289000,65289000,-3647000,61642000,61642000,586008000,586008000,321795000,321795000,408419000,177623000,177623000,1493845000,687882000,250328000,69011000,938210000,2432055000,1020843000,461088000,85886000,85886000,1106729000,41257000,41257000,49247000,1155976000,316073000,783495000,-4121000,1095447000,180632000,1276079000,2432055000,65289000,18084000,-24430000,-26942000,32001000,6472000.00000001,1224000,-10043000,-351000.000000002,-14996000,-28574000,-6616000,-6616000,1271000,-5345000,78954000,7990000,47183000,0.16739,0.09672,0.09795,0.04831,0.02535,0.76544,1.34978,0.90588,0.00329,2.09995,1.8845,21.43953,37.31849,1.60738,0.05649,0.0356,-7.32095,-9.49594
