"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","interest_income","foreign_exchange_gain_loss","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2019_Q4",7.03046875,"Up",1285043000,-975240000,309803000,-198759000,-154034000,-44725000,111044000,-56293000,-56394000,-56549000,155000,-616000,717000,54751000,-15484000,39267000,-14103000,25164000,25164000,25164000,25164000,108813000,105244000,594681000,594681000,467916000,111413000,3872000,1282823000,643844000,3781789000,1784937000,1677929000,318923000,4425633000,5708456000,625164000,235247000,25600000,744517000,3267646000,768408000,244062000,524346000,4036054000,4780571000,1248283000,-283159000,-36139000,927885000,927885000,5708456000,25164000,64009000,8391000,169000,97733000,-29144000,-29144000,-5e+07,-64000,-50064000,18525000,18525000,-894000,17631000,175053000,3293246000,160181000,0.24108,0.08641,0.01958,0.02712,0.00441,6.36548,1.72303,5.15212,0.57691,0.20042,0.20042,10.23466,7.39009,1.27575,0.00504,0.0321,18.19125,28.67722
"12","2020_Q1",7.435,"Up",1244415000,-956379000,288036000,-206371000,-161493000,-44878000,81665000,-54457000,-55945000,-56128000,183000,970000,518000,27208000,-16055000,11153000,-9223000,1930000.00000001,1930000.00000001,1930000.00000001,1929999.99999997,102162000,98386000,491740000,491740000,439194000,132653000,3921000,1165749000,652841000,3745756000,1740700000,1669594000,327952000,4398597000,5564346000,550516000,205629000,25600000,648544000,3156924000,823560000,291987000,531573000,3980484000,4629028000,1250048000,-281229000,-32398000,935318000,935318000,5564346000,1930000.00000001,72279000,48026000,39554000,161789000,-30083000,-30083000,-137716000,-1703000,-139419000,-7713000.00000001,-7713000.00000001,904000,-6808999.99999999,153944000,3182524000,172638000,0.23146,0.06563,0.00155000000000002,0.00206,0.00035,89.44974,1.79749,4.94915,0.57195,0.0153500000000003,0.0153500000000003,9.89783,7.43934,1.37313,0.00039,0.03494,20.00963,37.71949
"13","2020_Q2",5.10460317460317,"Down",1113811000,-882924000,230887000,-209815000,-164954000,-44861000,21072000,-59296000,-54497000,-54835000,338000,-4137000,-662000,-38224000,-521863000,-560087000,18014000,-542073000,-542073000,-542073000,-542073000,478592000,475701000,476779000,476779000,460405000,122360000,7924000,1538136000,651800000,3202493000,1704371000,1183432000,313398000,3854293000,5392429000,534624000,219300000,25600000,629531000,3612610000,802400000,234112000,568288000,4415010000,5044541000,1252514000,-823980000,-80137000,347888000,347888000,5392429000,-542073000,69769000,476902000,-6822000,-2224000,-27567000,-67424000,453595000,-327000,453268000,383620000,383620000,-2302000,381318000,90841000,3638210000,38438000,0.20729,0.01892,-0.48668,-1.55818,-0.10052,-0.07091,2.4433,14.50047,0.67469,-4.29899,-4.29899,8.83325,2.75898,0.30484,-0.1132,0.00803,34.78185,149.94391
"14","2020_Q3",7.08328125,"Up",1084936000,-830205000,254731000,-179611000,-134371000,-45240000,75120000,-49358000,-52043000,-52384000,341000,2025000,660000,25762000,-16195000.0000001,9567000,17332000,26898999.9999999,26898999.9999999,26898999.9999999,26899000.0000001,487028000,483497000,522612000,522612000,402994000,113543000,6223000,1526177000,644284000,3167384000,1665591000,1187788000,312733000,3811668000,5337845000,496578000,198936000,25600000,593472000,3578341000,787820000,221078000,566742000,4366161000,4959633000,1251104000,-797081000,-75300000,378212000,378212000,5337845000,26898999.9999999,70711000,-4874000.00000006,-23550000,69186000,-19928000,-21912000,-36405000.0000001,-140000,-42973000,4300999.99999994,4300999.99999994,1794000,6095000,145831000,3603941000,85021000,0.23479,0.06924,0.0247900000000001,0.07112,0.00504,3.16075000000002,2.57161,13.11337,0.67517,0.21389,0.21389,8.62697,3.00739,0.67605,0.00564,0.01782,21.37346,41.49245
"15","2020_Q4",8.876875,"Up",1227253000,-929751000,297502000,-182696000,-137250000,-45446000,114806000,-50402000,-51191000,-51519000,328000,812000,-23000,64404000,-10827000,53577000,-23061000,30516000,30516000,30516000,30516000,629520000,627603000,578684000,578684000,408897000,118716000,6223000,1735817000,635904000,3103260000,1623133000,1189992000,288996000,3739164000,5474981000,601243000,229353000,25600000,696251000,3567302000,791138000,244468000,546670000,4358440000,5054691000,1255129000,-766565000,-67752000,420290000,420290000,5474981000,30516000,71933000,31569000,35896000,169914000,-13502000,-13502000,-6405000,-6916000,-13321000,143091000,143091000,1015000,144106000,186739000,3592902000,232194000,0.24241,0.09355,0.02487,0.07261,0.00557,7.60893,2.49309,12.02667,0.65624,0.24391,0.24391,9.80931,3.35934,1.8559,0.00635000000000002,0.04833,15.86911,25.81208
"16","2021_Q1",12.1180327868852,"Up",1191369000,-924169000,267200000,-188072000,-142625000,-45447000,79128000,-51653000,-54515000,-54872000,357000,2368000,494000,27475000,-7746999.99999997,19728000,-17848000,1880000,1880000,1880000,1880000,676588000,674255000,554649000,554649000,431937000,127997000,6223000,1791171000,631821000,3055498000,1584604000,1194729000,274298000,3687319000,5478490000,571427000,211441000,25600000,667152000,3563429000,806104000,269792000,536312000,4369533000,5036685000,1258517000,-764685000,-51517000,441805000,441805000,5478490000,1880000,72189000,30943000,-33471000,71541000,-17285000,-17285000,-6404999.99999997,-914000.000000001,-7319000,46937000.0000001,46937000.0000001,-285000,46652000,151317000,3589029000,118409000,0.22428,0.06642,0.00157999999999999,0.00426,0.00034,62.98351,2.6848,11.40024,0.65511,0.0149799999999999,0.0149799999999999,9.49253,3.52019,0.94345,0.00039,0.02448,19.24728,36.80671
"17","2021_Q2",16.1,"Up",1267032000,-1007303000,259729000,-199370000,-153168000,-46202000,60359000,-56071000,-56382000,-56499000,117000,-26000,337000,4288000,-5151000,-863000,-792000,-1655000,-1655000,-1655000,-1655000,669244000,666717000,601476000,601476000,494092000,125662000,6223000,1890474000,628198000,3009634000,1540470000,1195983000,270770000,3637832000,5528306000,634345000,260930000,25600000,728987000,3559339000,782333000,263641000,518692000,4341672000,5070659000,1262204000,-766340000,-36267000,457647000,457647000,5528306000,-1655000,72615000,-2944000,-47985000,20031000,-20515000,-20695000,-6404000,-1055000,-7459000,-8123000,-8123000,585000,-7538000,132974000,3584939000,65266000,0.20499,0.04764,-0.00131,-0.00362,-3e-04,-39.43565,2.59329,11.07985,0.64847,-0.01319,-0.01319,10.09539,3.64642,0.52002,-0.00034,0.01353,21.92681,48.30589
"18","2021_Q3",16.2578125,"Up",1400121000,-1088393000,311728000,-210327000,-163518000,-46809000,101401000,-46713000,-47435000,-47458000,23000,229000,493000,54688000,-46825000,7863000.00000006,1064000.00000001,8927000,8927000,8927000,8833999.99999997,91673000,88978000,613193000,613193000,549736000,531549000,6224000,1786151000,568901000,2899011000,1488426000,1107758000,300649000,3467912000,5254063000,650235000,266067000,2.6e+07,820360000,3180759000,773697000,233602000,540095000,3954456000,4774816000,1267148000,-757413000,-30064000,479247000,479247000,5254063000,8927000,73286000,45353000,-159318000,-31752000,-26413000,-120616000,-408863000,-15041000,-423904000,-576272000,-576272000,-1466000,-577738000,174687000,3206759000,-12108000,0.22264,0.07242,0.00630999999999999,0.01843,0.00168,-1.37060999999999,2.17728,9.96316,0.61034,0.07019,0.0693200000000001,11.12443,3.80778,-0.0962000000000002,0.00198,-0.00271,17.83239,30.72047
"19","2021_Q4",15.5275,"Down",1444405000,-1134909000,309496000,-206801000,-206801000,-82069516.4154381,102695000,-44593000,-43731000,-41997139.1902208,2716.21004964229,-1270000,408000,58102000,808031000,866133000,-245598000,620535000,620535000,620535000,612155000,679754000,677187000,645298000,645298000,614573000,136965000,2211000,2076590000,583371000,3071134000,1438039000,1326411000,304575000,3654505000,5731095000,718959000,307153000,2.6e+07,817942000,3015795000,785303000,248544000,536759000,3801098000,4619040000,1274262000,-136878000,-24905000,1112055000,1112055000,5731095000,620535000,71055000,-811685000,-51824000,-171919000,-23640000,927040000,-166500000,-4522000,-171022000,584099000,584099000,97000,584196000,173750000,3041795000,343884000,0.21427,0.0711,0.42381,0.55047,0.10681,0.56176,2.5388,4.15361,0.53075,4.85244,4.82513,11.44954,8.81506,2.72591,0.12394,0.06962,13.59448,23.00055
"20","2022_Q1",19.8740322580645,"Up",1471579000,-1153457000,318122000,-222462000,-125985000,-96477000,95660000,-45807000,-43548000,-41941197.6665041,4319.40639522691,-2682000,423000,49853000,-21159000,28694000,9358000.00000006,38052000.0000001,38052000.0000001,38052000.0000001,38709999.9999999,394447000,394447000,757373000,757373000,748732000,86528000,86528000,1987080000,612295000,3228085000,1524635000,1358056000,345394000,3840380000,5827460000,334505000,311737000,2.6e+07,855435000,3010843000,784843000,252173000,532670000,3795686000,4651121000,1281201000,-98826000,-5612000,1176339000,1176339000,5827460000,38052000.0000001,75945000,4287000,-150531000,-32247000,-39023000,-236263000,-6500000,-8364000,-14864000,-283374000,-283374000,634000,-282740000,171605000,3036843000,-27307000,0.21618,0.06501,0.0263100000000001,0.03291,0.00664,-0.705419999999998,2.32289,3.9539,0.52113,0.30453,0.301219999999998,11.57666,9.25406,-0.21482,0.00775,-0.00546,15.39813,27.62279
"21","2022_Q2",24.3891935483871,"Up",1566838000,-1232931000,333907000,-225544000,-176536000,-49008000,108363000,-42667000,-44074000,-44106000,32000,1444000,-37000,65696000,70953000,136649000,-34366000,102283000,102283000,102283000,101526000,544336000,542035000,708340000,708340000,817715000,108890000,2211000,2179281000,625106000,3227269000,1477430000,1355161000,392623000,3852375000,6031656000,811854000,396408000,2.6e+07,895331000,3005873000,771329000,248726000,522603000,3777202000,4672533000,1288510000,3457000,67156000,1359123000,1359123000,6031656000,102283000,73932000,5240000,8651000,190106000,-33306000,-28910000,-6500000,-7e+06,-13500000,147696000,147696000,-108000,147588000,182295000,3031873000,192006000,0.21311,0.06916,0.0648,0.0747,0.01683,1.8912,2.43405,3.4379,0.50266,0.80115,0.79538,12.36408,10.72498,1.51514,0.01967,0.03719,13.64567,22.95559
"22","2022_Q3",24.566,"Up",1803801000,-1404721000,399080000,-231447000,-183399000,-48048000,167633000,-45883000,-45484000,-45571000,87000,-304000,-95000,121750000,390806000,512556000,-132497000,380059000,380059000,380059000,377278000,1121498000,1119244000,790087000,790087000,707657000,97820000,2211000,2717062000,572819000,3148574000,1399358000,1353777000,393301000,3721393000,6438455000,848031000,308449000,2.6e+07,931555000,2990092000,769959000,252769000,517190000,3760051000,4691606000,1293733000,383516000,69600000,1746849000,1746849000,6438455000,380059000,73958000,-389274000,38919000,103662000,-20830000,490053000,-13781000,-2770000,-16551000,577164000,577164000,44999.9999999999,577209000,241591000,3016092000,392177000,0.22124,0.09293,0.20916,0.21598,0.0586,1.03949,2.9167,2.68575,0.46845,2.96023,2.92359,14.15312,13.70626,3.07713,0.06819,0.07088,7.84215,11.30203
