"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"12","2018_Q3",24.1653968253968,"Up",63069000,-40995000,22074000,-49292000,-37440000,-11852000,-27218000,-6493000,-6493000,-33711000,-33711000,-33824000,-33824000,-33824000,-33824000,83207000,12306000,70901000,57002000,57002000,12324000,12837000,7225000,5612000,165370000,25313000,3678000,3678000,28991000,194361000,46824000,7689000,39135000,50132000,1174000,1174000,98130000,45057000,8922000,118268000,216398000,491893000,-513072000,-858000,-22037000,-22037000,194361000,-33824000,1819000,7638000,-11176000,-35543000,-375000,9001000,8626000,5487000,5487000,5487000,-21430000,-21430000,-21430000,-25399000,123343000,0.35,-0.43156,-0.5363,1.53487,-0.17403,1.68521,-9.81976,0.63461,-0.62003,-0.62003,1.15613,-0.40396,-0.2311,-1.58022,-1.47461
"13","2018_Q4",18.2592063492063,"Down",65280000,-41679000,23601000,-50767000,-38374000,-12393000,-27166000,-2332000,-2332000,-29498000,-29498000,-29616000,-29616000,-29616000,-29616000,165426000,34535000,130891000,60397000,60397000,12244000,10621000,6399000,4222000,248688000,24833000,3788000,3788000,28621000,277309000,50538000,9884000,40654000,50135000,1156000,1156000,101829000,45625000,8775000,118909000,220738000,600153000,-542688000,-894000,56571000,56571000,277309000,-29616000,1895000,4135000,315000,-23271000,-543000,-59990000,-60533000,7866000,7866000,104643000,20839000,20839000,20839000,-25271000,123419000,0.36153,-0.41615,-0.45368,-0.52352,-0.1068,2.44221,3.90196,0.44506,-0.48789,-0.48789,1.07542,0.93195,-0.13127,1.66226,1.54631
"14","2019_Q1",15.6662295081967,"Down",66965000,-42789000,24176000,-53903000,-41133000,-12770000,-29727000,-2128000,-2128000,-31855000,-31855000,-31841000,-31841000,-31841000,-31841000,153868000,46407000,107461000,62223000,62223000,13633000,10794000,6197000,4597000,240518000,24336000,3317000,3317000,27653000,268171000,59697000,14587000,45110000,50153000,4131000,4131000,113981000,40058000,0,122028000,236009000,607243000,-574529000,-552000,32162000,32162000,268171000,-31841000,1927000,5957000,11144000,-12813000,-2110000,23798000,21688000,3030000,3030000,3030000.00000001,11905000,11905000,11905000,-27800000,132123000,0.36102,-0.44392,-0.47549,-0.99002,-0.11873,2.11016,7.33813,0.49268,-0.51351,-0.51351,1.07998,0.51869,-0.15582,0.78219,0.73149
"15","2019_Q2",22.0639682539683,"Up",66824000,-43303000,23521000,-55267000,-43832000,-11435000,-31746000,-2271000,-2271000,-34017000,-34017000,-34091000,-34091000,-34091000,-34091000,128086000,34281000,93805000,60293000,60293000,13748000,5954000,5555000,399000,208081000,23302000,30062000,30062000,53364000,261445000,57574000,8917000,48657000,50154000,4928000,4928000,112656000,70372000,30674000,143803000,256459000,613687000,-608435000,-266000,4986000,4986000,261445000,-34091000,1920000,6218000,-5866000,-31819000,-955000,13872000,12917000,2578000,2578000,2578000,-16324000,-16324000,-16324000,-29826000,123585000,0.35198,-0.47507,-0.51016,-6.83734,-0.13039,1.84705,51.43582,0.4727,-0.54258,-0.54258,1.06355,0.07936,-0.17136,0.15091,0.14178
"16","2019_Q3",29.5675,"Up",74355000,-43825000,30530000,-59166000,-47042000,-12124000,-28636000,-1885000,-1885000,-30521000,-30521000,-32416000,-32416000,-32416000,-32416000,237981000,29928000,208053000,62974000,62974000,15236000,5776000,5721000,55000.0000000005,321967000,22039000,39320000,39320000,61359000,383326000,57625000,8319000,49306000,50146000,19154000,19154000,126925000,89802000,29275000,163313000,290238000,733144000,-640851000,795000,93088000,93088000,383326000,-66507000,3952000,14485000,12319000,-35751000,-1599000,-99396000,-100995000,8130000,8130000,115725000,-21021000,-21021000,-21021000,-24684000,123657000,0.4106,-0.38513,-0.43596,-0.34823,-0.08457,2.53667,3.11789,0.32259,-0.47494,-0.47494,1.0894,1.36387,-0.10575,4.6315,3.99232
"17","2019_Q4",36.8578125,"Up",77909000,-43880000,34029000,-69511000,-56715000,-12796000,-35482000,-1999000,-1999000,-37481000,-23093000,-23137000,-23137000,-23137000,-23137000,238309000,51609000,186700000,58905000,58905000,12514000,14009000,13954000,55000,323737000,19027000,37486000,37486000,56513000,380250000,62176000,9236000,52940000,50131000,25667000,25667000,137974000,83999000,27825000,157582000,295556000,747824000,-663988000,858000,84694000,84694000,380250000,-89644000,5921000,15122000,20211000,-48390000,-2554000,-78229000,-71108000,12563000,12563000,120158000,660000,660000,660000,-29561000,123714000,0.43678,-0.45543,-0.29697,-0.27318,-0.06085,2.34636,3.48969,0.32535,-0.32814,-0.32814,1.10494,1.20116,-0.07913,3.87656,3.22967
"18","2020_Q1",33.4204838709677,"Down",83240000,-44462000,38778000,-73589000,-58587000,-15002000,-34811000,-386000,-4538000,-35197000,-35197000,-35183000,-35183000,-35183000,-35183000,440991000,61926000,379065000,53351000,53351000,12394000,16431000,16376000,55000,523167000,23283000,36206000,36206000,59489000,582656000,73735000,8604000,65131000,50123000,56016000,56016000,179874000,50415000,26607000,124071000,303945000,976963000,-699171000,919000,278711000,278711000,582656000,65415000,-4063000,-9373000,537000,52516000,140000,-107307000,-107167000,317503000,317503000,102313000,47662000,47662000,47662000,-38874000,123779000,0.46586,-0.4182,-0.42267,-0.12623,-0.06038,2.90852,1.09054,0.21244,-0.45915,-0.45915,1.08632,3.63729,-0.07768,8.16,9.11241
"19","2020_Q2",40.145873015873,"Up",94012000,-44978000,49034000,-83906000,-65681000,-18225000,-34872000,-477000,-477000,-35349000,-35349000,-35372000,-35372000,-35372000,-35372000,405825000,74144000,331681000,61577000,61577000,14161000,15645000,15590000,55000,497208000,26718000,34713000,34713000,61431000,558639000,74715000,8369000,66346000,50087000,51840000,51840000,176642000,50189000,25037000,123070000,299712000,988207000,-734946000,5666000,258927000,258927000,558639000,-35372000,1826000,11465000,-13019000,-35100000,-7917000,51409000,43492000,3826000,3826000,3826000,12218000,12218000,12218000,-33046000,122968000,0.52157,-0.37093,-0.37625,-0.13661,-0.06332,2.81478,1.15752,0.22012,-0.45182,-0.45182,1.20086,3.30741,-0.08186,8.55949,8.11129
"20","2020_Q3",56.85390625,"Up",86472000,-46939000,39533000,-91193000,-68188000,-23005000,-51660000,-2114000,-6025000,-53774000,-59622000,-59637000,-59637000,-59637000,-59637000,571174000,77322000,493852000,58706000,58706000,18033000,15591000,15536000,55000,663504000,25925000,33832000,33832000,59757000,723261000,73115000,3450000,69665000,50053000,52392000,52392000,175560000,45958000,23425000,243434000,418994000,1093080000,-794583000,5770000,304267000,304267000,723261000,-59637000,2210000,22808000,-6361000,-40980000,-2213000,-163233000,-165446000,10044000,10044000,209604000,3178000,3178000,3178000,-49450000,247529000,0.45718,-0.59742,-0.68967,-0.196,-0.08246,3.77936,1.37706,0.34224,-0.75418,-0.75418,1.09354,3.84783,-0.09977,6.54489,6.26491
"21","2020_Q4",83.5478125,"Up",98143000,-51821000,46322000,-102099000,-75678000,-26421000,-55777000,-2520000,-4270000,-58297000,-58297000,-58322000,-58322000,-58322000,-58322000,809556000,209351000,600205000,70674000,70674000,20377000,15405000,15227000,178000,916012000,28249000,32452000,32452000,60701000,976713000,94593000,9250000,85343000,50052000,51227000,51227000,195872000,44882000,21754000,244841000,440713000,1383736000,-852906000,5170000,5.36e+08,5.36e+08,976713000,-58322000,2179000,20926000,2087000,-33130000,-1943000,-108398000,-110341000,275624000,275624000,275623000,132152000,132152000,132152000,-53598000,250011000,0.47198,-0.56832,-0.59426,-0.10881,-0.05971,4.67658,0.82223,0.25597,-0.72067,-0.72067,1.21272,6.62317,-0.07019,10.43966,10.03182
"22","2021_Q1",109.574754098361,"Up",112378000,-59882000,52496000,-126464000,-94080000,-32384000,-73968000,-2409000,-4310000,-76377000,-76377000,-76412000,-76412000,-76412000,-76412000,737274000,48668000,688606000,78565000,78565000,20031000,26793000,26606000,187000,862663000,33348000,36142000,36142000,69490000,932153000,98874000,8096000,90778000,50054000,50125000,50125000,199053000,44371000,21566000,246864000,445917000,1411295000,-929318000,4259000,486236000,486236000,932153000,-76412000,2398000,22549000,-21837000,-73302000,-7531000,-91635000,-99166000,11794000,11794000,11794000,-160674000,-160674000,-160674000,-71570000,252547000,0.46714,-0.65821,-0.67996,-0.15715,-0.08197,4.33384,0.91708,0.27093,-0.89106,-0.89106,1.31047,5.67013,-0.09757,6.77277,6.5532
"23","2021_Q2",102.296666666667,"Down",152316000,-66813000,85503000,-148520000,-108332000,-40188000,-63017000,-702000,-2073000,-63719000,-63719000,-63853000,-63853000,-63853000,-63853000,653572000,65126000,588446000,87562000,87562000,23676000,26593000,26430000,163000,791403000,40177000,61932000,61932000,102109000,893512000,107848000,4682000,103166000,50052000,9069000,9069000,166969000,74627000,50811000,354098000,521067000,1356221000,-986973000,3197000,372445000,372445000,893512000,-63853000,2549000,28676000,-42248000,-74876000,-10260000,9.7e+07,86740000,4570000,4570000,4570000,16434000,16434000,16434000,-60468000,329523000,0.56135,-0.41373,-0.41921,-0.17144,-0.07146,4.73982,1.39904,0.3688,-0.73658,-0.73658,1.75704,4.29634,-0.08222,5.35902,5.14225
"24","2021_Q3",114.62171875,"Up",142026000,-76112000,65914000,-181208000,-127456000,-53752000,-115294000,-490000,-2075000,-115784000,-115784000,-116026000,-116026000,-116026000,-116026000,580243000,62811000,517432000,100130000,100130000,28409000,31106000,30878000,228000,739888000,48884000,61184000,61184000,110068000,849956000,137292000,20307000,116985000,50049000,10647000,10647000,197988000,73081000,49519000,352858000,550846000,1399668000,-1102999000,2441000,299110000,299110000,849956000,-116026000,2713000,40173000,2577000,-70563000,-8631000,68600000,59969000,8344000.00000003,8344000.00000003,8344000.00000003,-2250000.00000003,-2250000.00000003,-2250000.00000003,-112581000,329826000,0.4641,-0.81178,-0.81693,-0.3879,-0.13651,3.73703,1.84162,0.38805,-1.33842,-1.33842,1.63834,3.45038,-0.16528,2.22433,2.17199
"25","2021_Q4",103.78078125,"Down",158116000,-81371000,76745000,-226942000,-128485000,-98457000,-150197000,-804000,-2078000,-151001000,-151001000,-151273000,-151273000,-151273000,-151273000,1023699000,95103000,928596000,110416000,110416000,28022000,29086000,28858000,228000,1191223000,59293000,60858000,60858000,120151000,1311374000,139998000,8181000,131817000,50049000,9667000,9667000,199714000,72558000,49852000,352643000,552357000,2011788000,-1254272000,1491000,759017000,759017000,1311374000,-151273000,2997000,67463000,-10248000,-91061000,-13136000,-413999000,-431406000,554759000,554759000,554759000,32292000,32292000,32292000,-147200000,330134000,0.48537,-0.94992,-0.95672,-0.1993,-0.11535,5.96464,0.72773,0.25175,-1.69722,-1.69722,1.77399,8.51573,-0.13022,4.71172,4.6177
"26","2022_Q1",60.0882258064516,"Down",173028000,-94122000,78906000,-218572000,-146761000,-71811000,-139666000,-928000,-2079000,-140594000,-140594000,-140564000,-140564000,-140564000,-140564000,914282000,84386000,829896000,122074000,122074000,26909000,29873000,29645000,228000,1093138000,65516000,77833000,77833000,143349000,1236487000,161500000,27206000,134294000,50052000,7404000,7404000,218956000,83833000,62515000,364227000,583183000,2050427000,-1394836000,-2287000,653304000,653304000,1236487000,-140564000,2995000,34987000,3846000,-98736000,-9003000,92794000,79503999.9999999,8514999.99999988,8514999.99999988,8515000.00000024,-10717000,-10717000,-10717000,-136671000,330446000,0.45603,-0.80719,-0.81238,-0.21516,-0.11368,4.9925,0.89267,0.26725,-1.3668,-1.3668,1.68246,6.3525,-0.13167,4.27184,4.18023
"27","2022_Q2",37.025,"Down",194133000,-103215000,90918000,-228048000,-147634000,-80414000,-137130000,-1286000,-2087000,-138416000,-138416000,-138595000,-138595000,-138595000,-138595000,751958000,158298000,593660000,167862000,167862000,25048000,35358000,35130000,228000,980226000,78361000,86077000,86077000,164438000,1144664000,167103000,18070000,149033000,50055000,13914000,13914000,231072000,90551000,70008000,371257000,602329000,2089660000,-1533431000,-13904000,542335000,542335000,1144664000,-138595000,3002000,40865000,-42549000,-137277000,-15885000,222918000,207033000,4156000,4156000,4156000,73912000,73912000,73912000,-134128000,330761000,0.46833,-0.70637,-0.71392,-0.25555,-0.12108,4.24208,1.11062,0.28896,-1.49739,-1.49739,2.09742,5.8593,-0.14382,3.14026,3.07152
"28","2022_Q3",47.6015625,"Up",198200000,-109237000,88963000,-232048000,-149468000,-82580000,-143085000,-1873000,-2150000,-144958000,-144958000,-145151000,-145151000,-145151000,-145151000,638651000,91298000,547353000,208312000,208312000,30465000,24127000,24041000,86000,901555000,81772000,83649000,83649000,165421000,1066976000,185523000,28192000,157331000,50086000,16009000,16009000,251618000,89756000,69035000,370776000,622394000,2139551000,-1678582000,-16397000,444582000,444582000,1066976000,-145151000,4629000,47356000,-17683000,-110849000,-7776000,42565000,34789000,8917999.99999997,8917999.99999997,8918000,-67142000,-67142000,-67142000,-138456000,331106000,0.44885,-0.72192,-0.73235,-0.32649,-0.13604,3.58303,1.39995,0.31032,-1.50293,-1.50293,2.05221,4.6032,-0.16772,2.22125,2.14939
