"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2017_Q3",7.94492063492063,"Down",143072000,-101382000,41690000,-36052000,-36052000,5638000,-3789000,-3789000,1849000,1849000,-751000,1098000,1098000,1098000,1098000,9434000,9434000,6253000,6253000,211750000,14138000,14138000,241575000,85767000,257913000,63840000,193095000,978000,343680000,585255000,125443000,90191000,35252000,182563000,29123000,10799000,18324000,219381000,401944000,143803000,39666000,183311000,183311000,585255000,1098000,4142000,-107000,8472000,13605000,-6021000,-6021000,-5806000,363000,363000,-12000,-5455000,2129000,2129000,2129000,9780000,190258000,12982000,0.29139,0.03941,0.00767,0.00599000000000001,0.00188,11.82332,1.32324,2.19269,0.32509,0.04098,0.04021,5.3395,6.84124,0.48449,0.00273,0.03224,18.48916,32.07237
"12","2017_Q4",11.9826984126984,"Up",224732000,-152795000,71937000,-47543000,-47543000,24394000,-3821000,-3821000,20573000,20573000,-424000,20149000,20149000,20149000,20149000,19126000,19126000,6388000,6388000,207538000,12277000,12277000,245329000,88043000,257851000,63612000,193095000,1144000,345894000,591223000,167969000,117513000,50456000,167969000,28542000,10102000,18440000,218921000,386890000,144690000,59815000,204333000,204333000,591223000,20149000,4263000,2770000,46170000,73352000,-7397000,-6700000,-57236000,290000,290000,-14000.0000000001,-56960000,9692000,9692000,9692000,28657000,190379000,67854000,0.3201,0.10855,0.08966,0.09861,0.03408,3.36761,1.46056,1.89343,0.32201,0.75538,0.73221,8.42513,7.66038,2.54383,0.0476,0.16032,5.97596,7.02029
"13","2018_Q1",18.0147540983607,"Up",170766000,-117870000,52896000,-41614000,-41614000,11282000,-3808000,-3808000,7474000,7474000,-619000,6855000,6855000,6855000,6855000,9016000,9016000,4389000,4389000,211472000,16250000,16250000,241127000,89208000,257606000,63383000,193095000,1128000,346814000,587941000,129992000,89958000,40034000,150998000,31834000,13030000,18804000,222337000,373335000,148130000,66670000,214606000,214606000,587941000,6855000,4610000,3892000,-43799000,-28442000,-5742000,-5574000,20886000,3042000,3042000,-22000,23906000,-10110000,-10110000,-10110000,15892000,190503000,-33030000,0.30976,0.06607,0.04014,0.03194,0.01166,-4.81838,1.59689,1.73963,0.32402,0.26371,0.26047,6.56944,8.25598,-1.27068,0.01569,-0.07559,11.42002,16.08642
"14","2018_Q2",21.0840625,"Up",161984000,-110537000,51447000,-41618000,-41618000,9829000,-4100000,-4100000,5729000,5729000,1032000,6761000,6761000,6761000,6761000,7374000,7374000,5440000,5440000,204434000,17452000,17452000,234700000,93180000,260282000,63297000,195858000,1127000,353462000,588162000,117180000,77807000,39373000,147917000,32907000,13424000,19483000,213534000,361451000,153780000,73431000,226711000,226711000,588162000,6761000,4431000,1524000,-7210000.00000001,5506000.00000001,-7064000,-11488000,-392000,5038000,5038000,-306000,4340000,-1642000,-1642000,-1642000,14260000,180627000,-1046000,0.31761,0.06068,0.04174,0.02982,0.0115,-0.154710000000001,1.5867,1.59432,0.3071,0.24493,0.23688,5.86814,8.21298,-0.03789,0.01536,-0.00238,12.14958,17.62672
"15","2018_Q3",26.4204761904762,"Up",168109000,-117191000,50918000,-42221000,-42221000,8697000,-4153000,-4153000,4544000,4544000,-10000,4534000,4534000,4534000,4534000,9406000,9406000,4445000,4445000,230089000,20090000,20090000,264030000,95014000,260141000,63140000,195858000,1143000,355155000,619185000,142973000,102764000,40209000,169093000,34362000,14637000,19725000,215130000,384223000,157571000,77965000,234962000,234962000,619185000,4534000,4573000,2448000,249000,11804000,-7943000,-7943000,-4742000,2987000,2987000,-74000,-1829000,2032000,2032000,2032000,13270000,180768000,5586000,0.30289,0.05173,0.02697,0.0193,0.00732,1.23202,1.56145,1.63526,0.29195,0.16125,0.15689,5.9787,8.35628,0.19866,0.01007,0.01241,12.91349,19.70358
"16","2018_Q4",22.9793650793651,"Down",254006000,-168343000,85663000,-56366000,-56366000,29297000,-4007000,-4011000,25290000,25290000,-6260000,19030000,19030000,19030000,19030000,50614000,50614000,8006000,8006000,225241000,14348000,14348000,298209000,97206000,260231000,62992000,195858000,1381000,357437000,655646000,184213000,122655000,61558000,184213000,35791000,15143000,20648000,216672000,400885000,158363000,96995000,254761000,254761000,655646000,19030000,4720000,1743000,48806000,74299000,-6819000,-6815000,-26254000,1000,1000,-23000,-26276000,41208000,41208000,41208000,34017000,180881000,82264000,0.33725,0.11534,0.07492,0.0747,0.02902,4.32286,1.61883,1.57357,0.27588,0.67196,0.65887,8.96914,8.9958,2.9048,0.04037,0.1745,3.82947,4.44643
"17","2019_Q1",25.2398360655738,"Up",192755000,-129349000,63406000,-46907000,-46907000,16499000,-4066000,-4067000,12433000,12433000,-3736000,8697000,8697000,8697000,8697000,16614000,16614000,8095000,8095000,240734000,11900000,11900000,277343000,98663000,260069000,62845000,195858000,1366000,358732000,636075000,151943000,104955000,46988000,151943000,38958000,17202000,21756000,219968000,371911000,159140000,105692000,264164000,264164000,636075000,8697000,5178000,3327000,-45551000,-28349000,-5699000,-5519000,-172000,111000,111000,-71000,-132000,-3.4e+07,-3.4e+07,-3.4e+07,21677000,181010000,-25837000,0.32895,0.0856,0.04512,0.03292,0.01367,-2.97079,1.82531,1.40788,0.28457,0.30703,0.30065,6.80488,9.32585,-0.91213,0.01796,-0.05337,7.58389,9.964
"18","2019_Q2",30.1219047619048,"Up",185767000,-123611000,62156000,-46095000,-46095000,16061000,-3893000,-3904000,12168000,12168000,-2447000,9721000,9721000,9721000,9721000,22739000,22739000,6552000,6552000,253895000,12889000,12889000,296075000,93733000,420793000,60769000,195858000,164166000,514526000,810601000,148323000,99471000,48852000,259154000,167288000,16155000,151133000,275752000,534906000,161372000,115413000,275695000,275695000,810601000,9721000,4802000,7442000,-23514000,-1549000,-6822000,-6822000,14854000,1267000,1267000,-1625000,14496000,6124999.99999999,6124999.99999999,6124999.99999999,20863000,108464000,-7026000,0.33459,0.08646,0.05233,0.03526,0.01199,-0.722770000000001,1.14247,1.94021,0.13381,0.34253,0.33492,6.5457,9.71441,-0.24757,0.01763,-0.01274,4.10895,5.33746
"19","2019_Q3",33.2903125,"Up",187183000,-127845000,59338000,-46404000,-46404000,12934000,-3307000,-3310000,9627000,9627000,-1947000,7680000,7680000,7680000,7680000,13219000,13219000,7388000,7388000,301737000,16247000,16247000,338591000,98127000,426100000,61074000,197502000,167524000,524227000,862818000,180536000,131220000,49316000,297124000,171903000,16367000,155536000,280545000,577669000,163207000,123093000,285149000,285149000,862818000,7680000,20070000,-5738000,-24601000,-2589000,-8653000,-12341000,4846000,655000,655000,-91000,5410000,-9520000,-9520000,-9520000,33004000,108642000,1697000,0.31701,0.0691,0.04103,0.02693,0.0089,0.22096,1.13956,2.02585,0.12592,0.26945,0.2634,6.56736,10.00453,0.05954,0.01358,0.00300000000000002,2.89126,7.37769
"20","2019_Q4",39.4865625,"Up",283997000,-186961000,97036000,-62059000,-62059000,34977000,-3118000,-3155000,31859000,31859000,-7040000,24819000,24819000,24819000,24819000,45446000,45446000,11239000,11239000,275352000,13849000,13849000,345886000,102597000,428352000,61019000,197502000,169831000,530949000,876835000,201031000,122800000,78231000,280166000,173898000,16466000,157432000,282730000,562896000,167178000,147912000,313939000,313939000,876835000,24819000,-9361000,24713000,40768000,80939000,-12075000,-11358000,-40156000,2790000,2790000,12000,-37354000,32227000,32227000,32227000,25616000,108832000,61349000,0.34168,0.12316,0.08739,0.07906,0.02831,2.47186,1.23458,1.79301,0.12412,0.8658,0.8447,9.9071,10.95162,2.14013,0.0416,0.10282,2.47447,1.81222
"21","2020_Q1",31.9027419354839,"Down",188628000,-130667000,57961000,-48265000,-48265000,9696000,-3037000,-2941000,6659000,6659000,-930000,5729000,5729000,5729000,5729000,69563000,69563000,12087000,12087000,288717000,14284000,14284000,384651000,109603000,430457000,60974000,197502000,171981000,540060000,924711000,147946000,95334000,52612000,312625000,181371000,19801000,161570000,290393000,603018000,169252000,153641000,321693000,321693000,924711000,5729000,5872000,13549000,-76634000,-51484000,-9645000,-9645000,84803000,492000,492000,-49000,85246000,24117000,24117000,24117000,15568000,238922000,-69781000,0.30728,0.0514,0.03037,0.01781,0.0062,-12.18031,1.23039,1.87451,0.25837,0.19903,0.19542,6.55322,11.1761,-2.4243,0.00772,-0.09405,10.87866,17.46689
"22","2020_Q2",19.5693650793651,"Down",147766000,-107565000,40201000,-38403000,-38403000,1798000,-2577000,-2641000,-779000,-779000,288999.999999999,-490000.000000002,-490000.000000002,-489999.999999998,-489999.999999998,83123000,83123000,10703000,10703000,261546000,13475000,13475000,368847000,109327000,425279000,60952000,197502000,166825000,534606000,903453000,130008000,80702000,49306000,294863000,176832000,20145000,156687000,286044000,580907000,171080000,153151000,322546000,322546000,903453000,-490000.000000002,5710000,10662000,7251000,23133000,-8944000,-8944000,-148000,4000,4000,-485000,-628999.999999985,13560000,13560000,13560000,7508000,109212000,5525999.99999999,0.27206,0.01217,-0.00332,-0.00152,-0.00054,-11.27755,1.25091,1.80101,0.12088,-0.017,-0.0169999999999999,5.12614,11.18941,0.1917,-0.00081,0.00908,3.47483,14.51001
"23","2020_Q3",24.26546875,"Up",184515000,-129025000,55490000,-45448000,-45448000,10042000,-2305000,-2383000,7737000,7737000,-1979000,5758000,5758000,5758000,5758000,35672000,35672000,13281000,13281000,260940000,14428000,14428000,324321000,107764000,432221000,60929000,197502000,173790000,539985000,864306000,134183000,81003000,53180000,237887000,186983000,19551000,167432000,296385000,534272000,172842000,158909000,330034000,330034000,864306000,5758000,6282000,10537000,-1819000,20758000,-5937000,-5937000,-62297000,57000,57000,-32000,-62272000,-47451000,-47451000,-47451000,16324000,109402000,10547000,0.30073,0.05442,0.03121,0.01745,0.00666,1.83171,1.36334,1.61884,0.12658,0.19951,0.19516,6.39345,11.43569,0.36545,0.00919,0.01684,4.51666,7.34216
"24","2020_Q4",37.6546875,"Up",302338000,-195529000,106809000,-65183000,-65183000,41626000,-2151000,-2303000,39475000,39475000,-9909000,29566000,29566000,29566000,29566000,76342000,76342000,13876000,13876000,246008000,15008000,15008000,351234000,109793000,431145000,60907000,197502000,172736000,540938000,892172000,197926000,103095000,94831000,234722000,185251000,18651000,166600000,294842000,529564000,175868000,188475000,362608000,362608000,892172000,29566000,5994000,9369000,67784000,112713000,-5627000,-5627000,-67942000,1544000,1544000,-18000,-66416000,40670000,40670000,40670000,47620000,109591000,119686000,0.35328,0.13768,0.09779,0.08154,0.03314,4.0481,1.49638,1.46043,0.12284,1.02262,1.00241,10.45718,12.54178,4.13967,0.04497,0.18205,0.69822,0.79876
"25","2021_Q1",58.6898360655738,"Up",258872000,-166493000,92379000,-59519000,-59519000,32860000,-2043000,-2115000,30817000,30817000,-6265000,24552000,24552000,24552000,24552000,73148000,73148000,12771000,12771000,275760000,12777000,12777000,374456000,110444000,448681000,60885000,197502000,190294000,559125000,933581000,182256000,104641000,77615000,221656000,207253000,21993000,185260000,317034000,538690000,183818000,213027000,394891000,394891000,933581000,24552000,6162000,14663000,-46059000,-682000,-7916000,-7916000,-180000,5803000,5803000,-219000,5404000,-3194000,-3194000,-3194000,39022000,109781000,-8688000,0.35685,0.12694,0.09484,0.06217,0.0263,-0.35386,1.68936,1.36415,0.11759,0.84307,0.81614,8.88922,13.55989,-0.29833,0.03449,-0.0122,0.938779999999999,1.11482
"26","2021_Q2",73.2801587301587,"Up",306327000,-189900000,116427000,-62784000,-62784000,53643000,-2459000,-2563000,51184000,51184000,-10539000,40645000,40645000,40645000,40645000,49640000,49640000,1e+07,1e+07,296762000,20055000,20055000,376457000,114573000,459465000,60867000,197502000,201096000,574038000,950495000,207562000,110876000,96686000,248828000,212476000,16102000,196374000,261790000,510618000,190635000,253672000,439877000,439877000,950495000,40645000,6170000,7558000,-8045000,46328000,-9294000,-9294000,-61682000,3616000,3616000,-2476000,-60542000,-23508000,-23508000,-23508000,59813000,49314000,53013000,0.38007,0.17512,0.13269,0.0924,0.04276,1.30429,1.51292,1.16082,0.05188,1.40494,1.37887,10.58856,15.20487,1.83246,0.05793,0.07555,-0.00545,-0.00608
"27","2021_Q3",86.1640625,"Up",312717000,-194566000,118151000,-68037000,-68037000,50114000,-1148000,-1162000,48966000,48966000,-11105000,37861000,37861000,37861000,37861000,39545000,39545000,13202000,13202000,350274000,38072000,38072000,441093000,124021000,472305000,60849000,197502000,213954000,596326000,1037419000,237489000,140530000,96959000,280481000,226282000,15363000,210919000,275681000,556162000,194326000,291533000,481257000,481257000,1037419000,37861000,6737000,11549000,-53847000,2300000,-12957000,-12957000,-190000,924000,924000,-172000,562000,-10095000,-10095000,-10095000,56851000,49399000,1152000,0.37782,0.16025,0.12107,0.07867,0.0365,0.03043,1.57263,1.15564,0.04762,1.28525,1.24904,10.61569,16.33706,0.03911,0.05002,0.00152000000000002,0.17333,0.19663
"28","2021_Q4",112.98125,"Up",485904000,-294245000,191659000,-99467000,-99467000,92192000,-1624000,-1667000,90568000,90568000,-21337000,69231000,69231000,69231000,69231000,114714000,114714000,7891000,7891000,385642000,54258000,54258000,562505000,136716000,488756000,60831000,197502000,230423000,625472000,1187977000,346630000,189229000,157401000,388371000,246327000,22682000,223645000,246327000,634698000,197179000,360764000,553279000,553279000,1187977000,69231000,6947000,19816000,45934000,141928000,-17498000,-17498000,-50213000,1014000,1014000,-62000,-49261000,75169000,75169000,75169000,99139000,0,148912000,0.39444,0.18973,0.14248,0.12513,0.05828,2.15094,1.44837,1.14716,0,2.39305,2.34864,16.79585,19.12475,5.14732,0.08658,0.18623,-1.1571,-1.24429
"29","2022_Q1",94.8664516129032,"Down",383308000,-234472000,148836000,-86447000,-86447000,62389000,-514000,-388000,61875000,61875000,-17162000,44713000,44713000,44713000,44713000,20674000,20674000,9662000,9662000,474300000,37195000,37195000,541831000,155247000,502777000,60813000,197502000,244462000,658024000,1199855000,264802000,131394000,133408000,336468000,263711000,26895000,236816000,263711000,600179000,199057000,405477000,599676000,599676000,1199855000,44713000,7498000,16534000,-170437000,-101692000,-20694000,-20694000,28330000,210000,210000,-194000,28346000,-94040000,-94040000,-94040000,69887000,28549000,-104082000,0.38829,0.16276,0.11665,0.07456,0.03727,-2.32778,1.61035,1.00084,0.02379,1.54556,1.51688,13.2495,20.72852,-3.59772,0.05013,-0.11669,0.11268,0.12622
"30","2022_Q2",85.6172580645161,"Down",365856000,-228026000,137830000,-85405000,-85405000,52425000,-998000,-725000,51427000,51427000,-12109000,39318000,39318000,39318000,39318000,16014000,16014000,9240000,9240000,534380000,57781000,57781000,617415000,177447000,526356000,60797000,197502000,268057000,703803000,1321218000,270867000,151638000,119229000,390856000,290828000,28470000,262358000,290828000,681684000,204005000,444795000,639534000,639534000,1321218000,39318000,8038000,17616000,-90740000,-25768000,-20835000,-20835000,46104000,247000,247000,-4408000,41943000,-4660000.00000006,-4660000.00000006,-4660000.00000006,60463000,74873000,-39003000,0.37673,0.14329,0.10747,0.06148,0.02976,-0.99199,1.57965,1.06591,0.05667,1.32175,1.29395,12.29892,21.8106,-1.31116,0.03911,-0.0388,0.97347,1.12273
"31","2022_Q3",67.0175,"Down",351545000,-222449000,129096000,-84946000,-84946000,44150000,-1362000,-1362000,42788000,42788000,-10734000,32054000,32054000,32054000,32054000,19686000,19686000,11059000,11059000,641021000,42978000,42978000,714744000,204267000,566934000,60782000,197502000,308650000,771201000,1485945000,287678000,171148000,116530000,481355000,330653000,28374000,302279000,330653000,812008000,206447000,476849000,673937000,673937000,1485945000,32054000,8786000,14281000,-91490000,-36369000,-31624000,-31624000,71758000,0,0,-93000,71665000,3672000,3672000,3672000,52936000,146830000,-59444000,0.36722,0.12559,0.09118,0.04756,0.02157,-1.8545,1.48486,1.20487,0.09881,1.07535,1.05743,11.79365,22.60927,-1.99423,0.02784,-0.05163,2.40184,2.87982
