"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","total_debt","gross_profit_margin","operating_margin","net_profit_margin","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share"
"25","2016_Q2",39.74109375,"Up",331413000,-191762000,139651000,-166131000,-40657000,-4913000,-120561000,-26480000,-37739000,-37739000,-64219000,-71529000,-135748000,41976000,-93772000,-93772000,-93772000,-93772000,0,0.42138,-0.0799,-0.28295,-0.56217,-0.56217,1.98685
"26","2016_Q3",39.27484375,"Down",101797000,-204489000,-102692000,-175239000,-46064000,-6785000,-122390000,-277931000,-37758000,-37758000,-315689000,-38735000,-354424000,129488000,-224936000,-224936000,-224936000,-224936000,0,-1.00879,-2.73025,-2.20965,-1.34591,-1.34591,0.6091
"27","2016_Q4",34.7580952380952,"Down",413207000,-212490000,200717000,-179456000,-41024000,-6943000,-131489000,21261000,-45967000,-45967000,-24706000,-30970000,-55676000,13705000,-41971000,-41971000,-41971000,-41971000,0,0.48575,0.05145,-0.10157,-0.23229,-0.23229,2.28692
"28","2017_Q1",30.0238709677419,"Down",253522000,-247875000,5647000,-220373000,-57027000,-13684000,-149662000,-214726000,-46749000,-46749000,-261475000,5185000,-256290000,95581000,-160709000,-160709000,-160709000,-160709000,3773517000,0.0222699999999996,-0.84697,-0.63391,-0.65633,-0.65633,1.03538
"29","2017_Q2",24.5261904761905,"Down",776655000,-268384000,508271000,-205821000,-47496000,-8504000,-149821000,302450000,-47101000,-47101000,255349000,27157000,282506000,-112395000,170111000,170111000,170111000,170111000,3738795000,0.65444,0.38943,0.21903,0.69532,0.69489,3.17453
"30","2017_Q3",18.818253968254,"Down",673111000,-288836000,384275000,-219324000,-52322000,-14498000,-152504000,164951000,-47926000,-47926000,117025000,10176000,127201000,-57651000,69550000,69550000,69550000,69550000,3848589000,0.57089,0.24506,0.10333,0.28367,0.28349,2.74541
"31","2017_Q4",17.5349206349206,"Down",482232000,-300299000,181933000,-235551000,-53035000,-22767000,-159749000,-53618000,-49179000,-49179000,-102797000,-96895000,-199692000,71992000,-127700000,-127700000,-127700000,-127700000,3981962000,0.37727,-0.11119,-0.26481,-0.52071,-0.52071,1.96634
"32","2018_Q1",14.5854098360656,"Down",679032000,-301109000,377923000,-251364000,-80553000,-7893000,-162918000,126559000,-51473000,-51473000,75086000,-202981000,-127895000,349080000,221185000,221185000,221185000,221185000,4108806000,0.55656,0.18638,0.32574,0.90172,0.89748,2.76827
"33","2018_Q2",14.7884375,"Up",742599000,-348270000,394329000,-238402000,-68417000,-7719000,-162266000,155927000,-52385000,-52385000,103542000,-11628000,91914000,-42676000,49238000,49238000,49238000,49238000,4081694000,0.53101,0.20997,0.0663,0.20039,0.19967,3.02227
"34","2018_Q3",15.7092063492063,"Up",656184000,-417885000,238299000,-216108000,-47583000,-7499000,-161026000,22191000,-53862000,-53862000,-31671000,-76683000,-108354000,28518000,-79836000,-79836000,-79836000,-79836000,4207162000,0.36316,0.03382,-0.12167,-0.32469,-0.32469,2.66872
"35","2018_Q4",14.8936507936508,"Down",811225000,-460995000,350230000,-216287000,-43722000,-8299000,-164266000,133943000,-54801000,-54801000,79142000,-6466000,72676000,-24137000,48539000,48539000,48539000,48539000,4160900000,0.43173,0.16511,0.05983,0.19695,0.19638,3.29163
"36","2019_Q1",10.6440983606557,"Down",1072637000,-572393000,500244000,-208599000,-50090000,-10600000,-147909000,291645000,-49161000,-49161000,242484000,-2075690000,-1833206000,68784000,-1764422000,-1764422000,-1764422000,-1764422000,3836861000,0.46637,0.2719,-1.64494,-7.15372,-7.20043,4.34893
"37","2019_Q2",8.54269841269841,"Down",748137000,-479497000,268640000,-193567000,-46638000,-8211000,-138718000,75073000,-51537000,-51537000,23536000,-16429000,7107000,-5688000,1419000,1419000,1419000,1419000,3790649000,0.35908,0.10035,0.0019,0.00573,0.0057,3.01941
"38","2019_Q3",4.73515625,"Down",851429000,-446206000,405223000,-200245000,-50631000,-8109000,-141505000,204978000,-51727000,-51727000,153251000,2033000.00000024,155284000,-40099000,115185000,115185000,115185000,115185000,3792455000,0.47593,0.24075,0.13528,0.464889999999999,0.462719999999999,3.43637
"39","2019_Q4",3.99859375,"Down",622445000,-418931000,203514000,-189811000,-41047000,-11013000,-137751000,13703000,-46997000,-46997000,-33294000,-41506000,-74800000,47219000,-27581000,-27581000,-27581000,-27581000,3133990000,0.32696,0.02201,-0.04431,-0.11117,-0.11104,2.50897
"40","2020_Q1",3.16854838709677,"Down",605604000,-350831000,254773000,-220979000,-42793000,-9350000,-130869000,33794000,-44024000,-44024000,-10230000,-2293949000,-2304179000,498859000,-1805320000,-1805320000,-1805320000,-1805320000,3172937000,0.42069,0.0558,-2.98102,-7.2723,-7.35631,2.43953
"41","2020_Q2",5.51761904761905,"Up",693920000,-358443000,335477000,-152317000,-42254000,-7077000,-102986000,183160000,-47518000,-47518000,135642000,59551000,195193000,-28998000,166195000,166195000,166195000,166195000,3187029000,0.48345,0.26395,0.2395,0.67499,0.671,2.81832
"42","2020_Q3",7.20703125,"Up",376546000,-346987000,29559000,-150941000,-38288000,-8027000,-104626000,-121382000,-48624000,-48624000,-170006000,-19842999.9999998,-189849000,22266000,-167583000,-167583000,-167583000,-167583000,3224467000,0.0785,-0.32236,-0.44505,-0.700550000000001,-0.70487,1.57408
"43","2020_Q4",7.306875,"Up",299345000,-341696000,-42351000,-142406000,-38153000,-8086000,-96167000,-184757000,-47999000,-47999000,-232756000,-552543000,-785299000,36509000,-748790000,-748790000,-748790000,-748790000,3087466000,-0.14148,-0.6172,-2.50143,-3.12157,-3.12157,1.24792
"44","2021_Q1",9.65770491803279,"Up",598886000,-321837000,277049000,-165352000,-40720000,-9464000,-90551000,111697000,-48526000,-48526000,63171000,-20545000,42626000.0000001,-4225000,38400999.9999999,38400999.9999999,38400999.9999999,38400999.9999999,3085608000,0.46261,0.18651,0.06412,0.15988,0.15988,2.49347
"45","2021_Q2",12.4809523809524,"Up",626032000,-364315000,261717000,-136550000,-38004000,-5538000,-88383000,125167000,-56878000,-56878000,68289000,-38449000,29840000,-2689000,27151000,27151000,27151000,27151000,3100594000,0.41806,0.19994,0.04337,0.11249,0.11249,2.59363
"46","2021_Q3",16.1221875,"Up",434722000,-371606000,63116000,-144313000,-40242000,-5028000,-90629000,-81197000,-57287000,-57287000,-138484000,-19250000,-157734000,1262000,-156472000,-156472000,-156472000,-156472000,3036657000,0.14519,-0.18678,-0.35994,-0.64557,-0.64557,1.79358
"47","2021_Q4",21.43953125,"Up",302639000,-422593000,-119954000,-155198000,-49061000,-5881000,-93116000,-275152000,-56809000,-56809000,-331961000,-47989000,-379950000,29683000,-350267000,-350267000,-350267000,-350267000,2948380000,-0.39636,-0.90918,-1.15738,-1.43952,-1.43952,1.24378
"48","2022_Q1",22.6929032258065,"Up",1566830000,-458530000,1108300000,-151132000,-42459000,-7108000,-92427000,957168000,-56362000,-56362000,900806000,9073000.00000001,909879000,-18513000,891366000,891366000,891366000,891366000,2925787000,0.70735,0.61089,0.5689,3.63574,3.63574,6.39084
"49","2022_Q2",30.4624193548387,"Up",180736000,-411198000,-230462000,-139919000,-43026000,-4699000,-85604000,-370381000,-47175000,-47175000,-417556000,-155333000,-572889000,116081000,-456808000,-456808000,-456808000,-456808000,2579217000,-1.27513,-2.04929,-2.52749,-1.87702,-1.82401,0.74264
"50","2022_Q3",30.09671875,"Down",1225143000,-458066000,767077000,-144965000,-43493000,-7506000,-86498000,622112000,-42001000,-42001000,580111000,-23925000,556186000,-103331000,452855000,452855000,452855000,452855000,2362141000,0.62611,0.507789999999999,0.36963,1.85984,1.82125,5.03155
