"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","property_plant_equipment","other_long_term_assets","intangible_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2014_Q2",1.08444444444444,"Down",2374394,-1232979,1141415,-983694,-758100,-225594,157721,-29303,-27775,128418,93936,-20188,73748,73748,73748,73748,3416465,2443065,973400,859615,859615,1703121,77159,77159,6056360,3042149,3042149,201227,111206,3243376,9299736,948904,348533,573852,198222,198222,1274043,1955269,3229312,8859041,-2788617,6070424,6070424,9299736,73748,82923,20753,379754,557178,-26480,2510,-23970,-31049,502159,502159,502159,240644,2082186,614106,0.48072,0.06643,0.03106,0.01215,0.00793,8.32709,4.75365,0.53197,0.2239,0.00509,0.00507,0.16372,0.41856,0.04234,0.00905,-5.54462,-8.45974
"12","2014_Q3",1.20109375,"Up",2537378,-1295147,1242231,-984762,-753120,-231642,257469,-49514,-27469,207955,172338,-66908,105430,105430,105430,105430,3447705,2502412,945293,1265762,1265762,1990450,131127,131127,6835044,2931834,2931834,207816,117795,3139650,9974694,1232068,636655,509389,510457,510457,1870374,1923007,3793381,8864501,-2683188,6181313,6181313,9974694,105429,81498,26302,-172746,40483.0000000001,21929,28107,50036,-31172,59347.0000000001,59347.0000000001,59347.0000000001,338967,2050856,255058,0.48957,0.10147,0.04155,0.01706,0.01057,2.41922,3.65437,0.61369,0.20561,0.00727,0.00722,0.17495,0.42621,0.01759,0.01281,-4.1209,-5.42531
"13","2014_Q4",1.1603125,"Down",2650226,-1435055,1215171,-892725,-687986,-204739,322446,-8984,-27152,313462,264671,-93425,171246,171246,171246,171246,3932267,2976334,955933,923413,923413,2046574,77757,77757,6980011,2892396,2892396,205746,115725,3098142,10078153,1311028,529201,602429,390879,390879,1830701,1890424,3721125,8868968,-2511940,6357028,6357028,10078153,171247,79448,54435,263678,568808,-52660,-10640,-63300,-31586,473922,473922,473922,401894,2019218,706337,0.45852,0.12167,0.06462,0.02694,0.01699,4.12469,3.81275,0.58536,0.20036,0.0118,0.01159,0.18267,0.43816,0.04868,0.02044,-4.76008,-5.93293
"14","2015_Q1",1.13573770491803,"Down",2716940,-1582290,1134650,-998923,-775797,-223126,135727,-15806,-21211,119921,84019,50031,134050,134050,134050,134050,3862815,3232021,630794,860296,860296,1674815,160373,160373,6558299,2959013,2959013,261849,171828,3220862,9779161,1250713,556194,565121,362846,362846,1805025,1479058,3284083,8872968,-2377890,6495078,6495078,9779161,134050,1e+05,-61689,329601,501962,-222720,325139,102419,-348694,255687,255687,255687,235727,1670524,292577,0.41762,0.04996,0.04934,0.02064,0.01371,2.1826,3.63336,0.50563,0.17082,0.00915,0.00932,0.18542,0.44326,0.01997,0.01642,-9.30013,-16.15221
"15","2015_Q2",1.09365079365079,"Down",2420699,-1272733,1147966,-1021280,-785432,-235848,126686,-5736,-14451,120950,81791,-15149,66642,66642,66642,66642,3346095,2209398,1136697,877896,877896,1791384,114887,114887,6130262,2959186,2959186,276624,186603,3235810,9366072,1034617,471373,545775,133689,133689,1362757,1428115,2790872,8886448,-2311248,6575200,6575200,9366072,66642,93283,46480,-566935,-360530,-108232,-505903,-614135,-47958,-1022623,-1022623,-1022623,219969,1622566,-440049,0.47423,0.05233,0.02753,0.01014,0.00712,-6.60318,4.49843,0.42445,0.17324,0.00453,0.00449,0.16456,0.447,-0.02992,0.00813,-7.83533,-13.60473
"16","2015_Q3",1.1590625,"Up",2633727,-1331640,1302087,-1060508,-805526,-254982,241579,-10599,-8141,230980,188565,-73540,115025,115025,115025,115025,3355747,2215709,1140038,1404596,1404596,2006204,26081,26081,6792628,2885275,2885275,270076,180055,3155351,9947979,1272142,583771,597362,400878,400878,1858850,1389036,3247886,8896316,-2196223,6700093,6700093,9947979,115025,100330,42868,-181151,77072.0000000001,-19720,-3341,-23061,-47700,6311,6311,6311,341909,1574866,214578,0.49439,0.09173,0.04367,0.01717,0.01156,1.86549,3.65421,0.48475,0.15831,0.00782,0.00773,0.179,0.45536,0.01458,0.0139,-5.20864,-7.37184
"17","2015_Q4",1.12,"Down",3835601,-1956800,1878801,-1385246,-957655,-427591,493555,-36662,19232,456893,417688,-58179,359509,359509,359509,359509,4088563,2450848,1637715,929584,929584,2152335,81640,81640,7252122,2886563,2886563,268927,178906,3155490,10407612,1640320,688065,784963,327215,327215,2139577,1354570,3494147,8907255,-1993790,6913465,6913465,10407612,359509,147729,87552,217110,811900,-306202,475564,169362,-25018,956244,956244,956244,641284,1526612,610371,0.48983,0.12868,0.09373,0.052,0.03454,1.69779,3.38951,0.50541,0.14668,0.02443,0.0238,0.2606,0.46972,0.04147,0.0426,-3.99503,-5.19081
"18","2016_Q1",1.06360655737705,"Down",2943703,-1634780,1308923,-1271823,-922234,-349589,37100,55158,-329.999999999996,92258,54408,-47855,6553,6553,6553,6553,4084044,2388355,1695689,1214713,1214713,1945383,264868,109954,7509008,2986502,2986502,174027,174027,3160529,10669537,1308993,475297,746036,201478,201478,1653859,1348068,3001927,8961778,-1224028,7667610,7667610,10669537,6552.99999999994,135186,-143643,102286,100382,-48973,-131145,-180118,-34623,-114359,-114359,-114359,172286,1319737,273454,0.44465,0.0126,0.00223000000000001,0.000849999999999997,0.000609999999999992,41.72959,4.5403,0.39151,0.12369,0.000439999999999996,0.000450000000000002,0.1988,0.51783,0.01847,0.000720000000000005,-16.04487,-74.50962
"19","2016_Q2",0.99015625,"Down",2240211,-1216809,1023402,-1119966,-816172,-303794,-96564,205097,3838,108533,65416,-9625,55791,55791,55791,55791,4367770,2717176,1650594,725462,725462,2255322,60291,60291,7408845,2905305,2905305,261987,171966,3167292,10576137,1411652,638325,718804,427385,427385,1981828,1285494,3267322,8926551,-1617736,7308815,7308815,10576137,55791,114813,35552,232912,439068,-93772,-62342.9999999999,-156115,-35507,247446,247446,247446,18249,1428285,167014,0.45683,-0.0431,0.0249,0.00763,0.00528,2.99357,3.73839,0.44704,0.13505,0.00376,0.00374,0.15103,0.49274,0.01126,0.00639,-161.0765,30.4408
"20","2016_Q3",0.98609375,"Down",2310452,-1285138,1025314,-1077121,-764504,-312617,-51807,2963,2153,-48844,-87298,-2375,-89673,-89673,-89673,-89673,3805491,2185230,1620261,1104714,1104714,2434615,52646,52646,7397466,2954841,2954841,264630,174609,3219471,10616937,1349755,574999,667807,412041,412041,1899438,1251393,3150831,8940251,-1474145,7466106,7466106,10616937,-89673,124690,18238,97162.0000000001,150417,-65908,-8549,-74457,-35580,40380,40380,40380,72883,1389035,106512,0.44377,-0.02242,-0.03881,-0.01201,-0.00845,-1.18778,3.89456,0.42202,0.13083,-0.00596,-0.00592,0.15358,0.49628,0.00708,-0.01013,-33.15528,46.64343
"21","2016_Q4",1.12619047619048,"Up",2599103,-1359704,1239399,-1149187,-841542,-307645,90212,8137,2191,98349,62342,0,62342,62342,62342,62342,4835587,2767713,2067874,1048177,1048177,1718090,240199,85285,7842053,2810244,2810244,159943,159943,2970187,10812240,1197497,380862,771852,439750,439750,1774889,1246769,3021658,8995193,-1195568,7790582,7790582,10812240,62342,126137,36604,162196,387279,-10979,-248810,-259789,-35958,91532,91532,91532,216349,1212692,367566,0.47686,0.03471,0.02399,0.008,0.00577,5.89596,4.41833,0.38786,0.11216,0.00417,0.00414,0.1739,0.52124,0.02459,0.00679,-16.74561,-40.15979
"22","2017_Q1",1.15483870967742,"Up",2485190,-1410399,1074791,-1195253,-843407,-351846,-120462,38756,10321,-81706,35872,31374,67246,67246,67246,67246,4899407,2557223,2342184,1150801,1150801,1340684,127276,127276,7518168,2749271,2749271,468497,153326,3217768,10735936,1219935,336561,868755,78902,78902,1448535,1364376,2812911,9009097,-1128322,7923025,7923025,10735936,67246,74583,42681,-132621,51889,-12178,-213857,-226035,-36344,-210490,-210490,-210490,-45878.9999999999,1176348,-222052,0.43248,-0.04847,0.02706,0.00849,0.00626,-3.30208,5.19019,0.35503,0.10957,0.0045,0.00448,0.16625,0.53002,-0.01485,0.00713,81.14952,30.9065
"23","2017_Q2",1.10952380952381,"Down",2500734,-1320217,1180517,-1159438,-850187,-309251,21079,3272,4930,24351,24351,-8482,15869,15869,15869,15869,5207687,2301203,2906484,1286871,1286871,1313621,90556,90556,7898735,2691352,2691352,464312,149141,3155664,11054399,1253984,613138,613664,347078,347078,1738704,1339297,3078001,9019566,-1112453,7976398,7976398,11054399,15869,101808,37469,202938,358084,-39704,-537265,-576969,-37135,-256020,-256020,-256020,122887,1139213,294603,0.47207,0.00843,0.00635,0.00199,0.00144,18.56469,4.54289,0.38589,0.10306,0.00106,0.00106,0.16715,0.53314,0.01969,0.00168,-33.10744,-193.01077
"24","2017_Q3",1.17064516129032,"Up",2653696,-1325188,1328508,-1238186,-930264,-307922,90322,16500,7250,106822,98238,-43593,54645,54645,54645,54645,5907014,2360289,3546725,936933,936933,1565726,98419,98419,8508092,2596485,2596485,460275,145104,3056760,11564852,1437985,601588,824591,612387,612387,2203220,1286967,3490187,9030585,-1057808,8074665,8074665,11564852,54645,98968,34620,515679,703912,-3213,-604489,-607702,-37124,59086,59086,59086,189290,1102089,745349,0.50063,0.03404,0.02059,0.00677,0.00473,13.63984,3.86166,0.43224,0.0953,0.00365,0.00366,0.17737,0.53971,0.04982,0.00574,-25.38393,-53.19773
"25","2017_Q4",1.51444444444444,"Up",2959577,-1517414,1442163,-1254125,-929801,-324324,188038,26981,10788,215019,234810,-40368,194442,194442,194442,194442,6146217,1698721,4447496,978336,978336,1503228,106435,106435,8734216,2639832,2639832,455815,140644,3095647,11829863,1444149,565046,826929,652552,652552,2251176,1247822,3498998,9040844,-863366,8330865,8330865,11829863,194442,79072,37048,32409,342971,-114810,-852421,-967231,-37308,-661568,-661568,-661568,267110,1064571,225077,0.48729,0.06354,0.0657,0.02334,0.01644,1.15755,3.87985,0.42,0.08999,0.01299,0.01271,0.1977,0.5565,0.01504,0.01998,-19.02454,-27.02457
"26","2018_Q1",1.69901639344262,"Up",2894437,-1549132,1345305,-1263127,-924316,-338811,82178,31693,22374,113871,102664,587,103251,103251,103251,103251,6422364,2016464,4405900,774778,774778,1354083,139406,139406,8690631,2555740,2555740,532963,136576,3088703,11779334,1630676,652863,893192,344098,344098,2130893,1255916,3386809,9051035,-760115,8392525,8392525,11779334,103251,119678,3634,170804,397367,-31518,-10185,-41702.9999999999,-37921,317743,317743,317743,201856,1026651,340555,0.46479,0.02839,0.03567,0.0123,0.00877,3.29832,4.0784,0.40355,0.08716,0.00689,0.00681,0.1932,0.56019,0.02273,0.01053,-26.73051,-65.65885
"27","2018_Q2",1.66546875,"Down",2700860,-1429663,1271197,-1239046,-905180,-333866,32151,26512,23992,58663,38994,-17564,21430,21430,21430,21430,5858498,1541752,4316746,973282,973282,1425455,134633,134633,8391868,2582266,2582266,527178,130791,3109444,11501312,1358107,582982,672940,346993,346993,1862826,1215631,3078457,9059935,-637080,8422855,8422855,11501312,21430,80893,75961,-552777,-374493,-101634,40093,-61541,-38678,-474712,-474712,-474712,113044,987973,-523803,0.47066,0.0119,0.00793,0.00254,0.00186,-24.44251,4.50491,0.36549,0.0859,0.00143,0.00142,0.18021,0.56199,-0.03495,0.00219,-43.08521,-151.48907
"28","2018_Q3",2.48349206349206,"Up",2817731,-1473286,1344445,-1330619,-1010721,-319898,13826,43708,26713,57534,66621,-7497,59124,59124,59124,59124,5747399,1655405,4091994,1293477,1293477,1650787,114725,114725,8806388,2551635,2551635,523060,126673,3074695,11881083,1626158,871181,746721,430828,430828,2216390,1175220,3391610,9067429,-577956,8489473,8489473,11881083,59124,91237,106090,-190066,66385,-58156,144156,86000,-38732,113653,113653,113653,105063,949240,-135662,0.47714,0.00491,0.02098,0.00696,0.00498,-2.29453,3.9733,0.39951,0.0799,0.00392,0.00388,0.18678,0.56275,-0.00899,0.00602,-45.66935,-347.03884
"29","2018_Q4",2.75377049180328,"Up",3155258,-1858970,1296288,-1246265,-921296,-324969,50023,32161,23480,82184,22825,-2566,20259,20259,20259,20259,5718231,1626881,4091350,1163316,1163316,1742885,289797,289797,8914229,2796695,2796695,522200,125813,3318895,12233124,1457128,818029,628278,964401,964401,2582631,1134378,3717009,9073812,-557697,8516115,8516115,12233124,20259,84389,77742,213867,396257,-326921,-58715,-385636,-39145,-28524,-28524,-28524,134412,910096,23924,0.41083,0.01585,0.00642,0.00238,0.00166,1.18091,3.45161,0.43647,0.0744,0.00134,0.00131,0.20808,0.56162,0.00158,0.00206,-35.77162,-96.11849
"30","2019_Q1",2.56016949152542,"Down",2935750,-1599434,1336316,-1349829,-1003796,-346033,-13513,23051,22515,9538,52994,7780,60774,60774,60774,60774,5509829,3144123,2365706,1397891,1397891,1658016,395005,395005,8960741,2784479,2784479,454958,122941,3239437,12200178,1224672,585694,632706,1149558,1149558,2537046,1078472,3615518,9081583,-496923,8584660,8584660,12200178,60774,75628,-13318,-320213,-197129,-60540.0000000001,1814476,1753936,-39565,1517242,1517242,1517242,62115,870531,-326418,0.45519,-0.0046,0.0207,0.00708,0.00498,-5.37101,3.53196,0.42116,0.07135,0.004,0.00405,0.19321,0.56499,-0.02148,0.00619,-74.68885,343.3211
"31","2019_Q2",2.36354838709677,"Down",2822428,-1517493,1304935,-1300398,-963225,-337173,4537,26979,22224,31516,31516,-6303,25213,25213,25213,25213,5702073,1922886,3779187,1332353,1332353,2378720,105013,105013,9518159,2828594,2828594,450795,118778,3279389,12797548,1641054,1013961,614518,1334306,1334306,3139770,1036595,4176365,9092893,-471710,8621183,8621183,12797548,25213,89207,25310,221956,361686,-125897.354263909,-1413481,-1542640,-40283,-1221237,-1221237,-1221237,93744,830248,353724.406755151,0.46234,0.00161,0.00893,0.00292,0.00197,-5.79495695503454,3.03148,0.48443,0.06488,0.00165,0.00164,0.18486,0.56465,0.0227995557560278,0.00257,-51.96946,-1073.79877
"32","2019_Q3",2.61140625,"Up",3345822,-1798830,1546992,-1454643,-1132946,-321697,92349,29416,17294,121765,121765,-7000,114765,114765,114765,114765,5698585,2280981,3417604,1272400,1272400,2578914,182364,182364,9732263,2919638,2919638,446877,114860,3366515,13098778,1585268,797512,773012,1584452,1584452,3335880,994433,4330313,9125410,-356945,8768465,8768465,13098778,114765,102770,50517,-41231,226821,-518316.432549694,361583,171687,-40413,358095,358095,358095,195119,789836,1622712.42000131,0.46237,0.0276,0.0343,0.01309,0.00876,-1.67323288845805,2.91745,0.49385,0.0603,0.0075,0.00745,0.21865,0.57303,0.10561601427564,0.01156,-25.15772,-53.1543300000002
"33","2019_Q4",2.514375,"Down",3672286,-1875606,1796680,-1527066,-1165637,-361429,269614,20040,12513,289654,289654,-10000,279654,279654,279654,279654,6019441,2279506,3739935,1338320,1338320,2978780,193552,193552,10530093,2899110,2899110,442470,110453,3341580,13871673,1712170,919455,767971,1953826,1953826,3833925,951822,4785747,9163217,-77291,9085926,9085926,13871673,279654,98226,55807,1301,434988,-847272.544560632,-322331,-395622,-40841,-1475,-1475,-1475,367840,748994,2425961.22324681,0.48925,0.07342,0.07615,0.03078,0.02016,2.56348762234746,2.74656,0.52672,0.05399,0.01827,0.01827,0.23993,0.59362,0.158116965657432,0.0274,-14.3281,-19.54812
"34","2020_Q1",2.24833333333333,"Down",5514083,-2849449,2664634,-1915642,-1508398,-407244,748992,21520,16523,770512,770512,-82702,687810,687810,687810,687810,7878791,3659551,4219240,929701,929701,2381891,153698,153698,11344081,3116639,3116639,282605,106291,3399244,14743325,2352751,668721,1613409,1648690,1648690,4171157,789761,4960918,9171888,610519,9782407,9782407,14743325,687810,116528,-56720,1482905,2230523,-722241,-479305,-809200,-41278,1380045,1380045,1380045,865520,707716,1708886,0.48324,0.13583,0.12474,0.07031,0.04665,2.48453000000001,2.71965,0.50713,0.048,0.04486,0.04474,0.35961,0.63797,0.11145,0.06403,-8.28528,-9.57430000000004
"35","2020_Q2",2.44349206349206,"Up",3428544,-1867811,1560733,-1376543,-965119,-411424,184190,25664,14229,209854,209854,-41926,167928,167928,167928,167928,8290401,4381947,3908454,1341617,1341617,2512222,146588,146588,12290828,3163309,3163309,278459,102145,3441768,15732596,2529232,1007517,1409167,1325694,1325694,4411138,1363026,5774164,9179985,778447,9958432,9958432,15732596,167928,109878,26097,-699652,-395749,-152402,310786,158384,959761,722396,722396,722396,294068,1667477,-516060,0.45522,0.05372,0.04898,0.01686,0.01067,-3.0731,2.78632,0.57983,0.10599,0.01091,0.01088,0.22266,0.64674,-0.03352,0.01414,-22.52174,-35.95702
"36","2020_Q3",3.35234375,"Up",3480641,-1859675,1620966,-1419638,-996122,-423516,201328,1634,-6450,202962,202962,-25199,177763,177763,177763,177763,7824212,3971611,3852601,1348648,1348648,2462048,94835,94835,11729743,3100998,3100998,274313,97999,3375311,15105054,2095774,712704,1319327,988102,988102,3809619,1151334,4960953,9187891,956210,10144101,10144101,15105054,177763,104402,25906,-694154,-386083,-137945,55853,17908,-42161.0000000002,-410336,-410336,-410336,305730,1625316,-501170,0.46571,0.05784,0.05107,0.01752,0.01177,-2.81932,3.07898,0.48905,0.1076,0.01152,0.01138,0.22566,0.65768,-0.03249,0.01479,-20.27572,-30.79003
"37","2020_Q4",4.09859375,"Up",3827142,-1896516,1930626,-1483898,-1077099,-406799,446728,6049,-4775,452777,452777,-132299,320478,320478,320478,320478,9239525,6014009,3225516,1673983,1673983,2447102,126627,126627,13487237,3006214,3006214,317044,93852,3323258,16810495,2760793,917829,1557618,1782113,1782113,5438619,896327,6334946,9198861,1276688,10475549,10475549,16810495,320478,135763,-60334,1098849,1494756,-36833,627085,590252,-42610,2042398,2042398,2042398,582491,1582705,1776806,0.50446,0.11673,0.08374,0.03059,0.01906,5.54424,2.4799,0.60474,0.09415,0.02076,0.02057,0.24786,0.67845,0.11507,0.02612,-13.14496,-17.13978
