"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","other_intangible_assets","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","net_income_2","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2017_Q3",38.4220634920635,"Down",3.59e+08,-191100000,167900000,-117400000,-109300000,-5100000,-3e+06,50500000,-8900000,-13100000,4200000,41600000,59300000,-12400000,46900000,46900000,46900000,46900000,372200000,372200000,157500000,157500000,277500000,115700000,115700000,922900000,182100000,6.23e+08,229200000,228900000,43100000,121800000,805100000,1.728e+09,167800000,167800000,87600000,2.16e+08,2.16e+08,471400000,979800000,2.1e+08,2.1e+08,1189800000,1661200000,188900000,174800000,-296900000,66800000,66800000,1.728e+09,46900000,46900000,15200000,-2.9e+07,-6e+05,32500000,11400000,11400000,-1.7e+07,42900000,-1200000,-1200000,-7e+05,2.4e+07,67900000,67900000,6600000,74500000,65700000,1067400000,88900000,0.46769,0.14067,0.13064,0.7021,0.02714,1.89552,1.95779,24.86826,0.61771,0.7589,0.74682,5.80906,1.08091,1.43851,0.27508,0.04754,0.06614,0.36247,10.58143,13.76634
"12","2017_Q4",39.4322222222222,"Up",3.72e+08,-2.14e+08,1.58e+08,-114400000,-106500000,-5100000,-2800000,43600000,-14800000,-13300000,-1500000,28800000,30500000,-5600000,24900000,24900000,24900000,24900000,404400000,404400000,173600000,173600000,301200000,101800000,101800000,9.81e+08,178200000,620800000,229600000,226400000,45300000,119500000,7.99e+08,1.78e+09,1.82e+08,1.82e+08,112300000,210900000,210900000,505200000,979200000,208600000,208600000,1187800000,1.693e+09,194800000,182400000,-290200000,8.7e+07,8.7e+07,1.78e+09,24900000,24900000,12500000,8200000,-24300000,21300000,-1100000,-1100000,-1.7e+07,23700000,0,0,-200000.000000001,6500000,26700000,26700000,5500000,32200000,56100000,1091500000,36300000,0.42473,0.1172,0.06694,0.28621,0.01399,1.45783,1.94181,19.45977,0.6132,0.40291,0.3965,6.01942,1.40777,0.58738,0.27508,0.03021,0.02617,0.68273,12.24777,15.75917
"13","2018_Q1",46.5618032786885,"Up",465100000,-251300000,213800000,-151700000,-142900000,-6e+06,-2800000,62100000,-12700000,-13400000,7e+05,49400000,49400000,-15300000,34100000,34100000,34100000,34100000,3.78e+08,3.78e+08,230200000,230200000,317100000,94900000,94900000,1020200000,176500000,626900000,2.3e+08,223800000,47700000,125400000,803400000,1823600000,219300000,219300000,108100000,254600000,254600000,5.82e+08,978500000,1.78e+08,1.78e+08,1156500000,1738500000,197300000,198700000,-310900000,85100000,85100000,1823600000,34100000,34100000,11900000,-8700000,14300000,51600000,-7700000,-7700000,-1.7e+07,-5200000,-50200000,-50200000,-1800000,-74200000,-30300000,-30300000,3900000,-26400000,7.4e+07,1086600000,95900000,0.45969,0.13352,0.07332,0.40071,0.0187,2.81232,1.75292,20.42891,0.59585,0.55537,0.55089,7.57492,1.38599,1.56189,0.27687,0.03786,0.07105,0.49853,9.57568,11.41063
"14","2018_Q2",51.0478125,"Up",573300000,-2.95e+08,278300000,-144600000,-136500000,-5300000,-2800000,133700000,-14700000,-13400000,-1300000,1.19e+08,1.19e+08,-58600000,60400000,60400000,60400000,60400000,454300000,454300000,214800000,214800000,276200000,93700000,93700000,1.039e+09,171700000,553400000,230100000,220900000,34100000,68300000,725100000,1764100000,190800000,190800000,114500000,241600000,241600000,546900000,977900000,205600000,205600000,1183500000,1730400000,199300000,180400000,-3.46e+08,33700000,33700000,1764100000,60400000,60400000,1.2e+07,5.2e+07,16600000,1.41e+08,-5500000,-5500000,-17600000,5500000,-5e+07,-5e+07,-1800000,-63900000,71600000,71600000,4700000,76300000,145700000,1092400000,215400000,0.48544,0.23321,0.10535,1.79228,0.03424,3.56623,1.8998,51.34718,0.61924,1.00332,0.98211,9.52326,0.5598,3.57807,0.29236,0.05857,0.16175,0.29139,4.37955,4.77263
"15","2018_Q3",54.9088888888889,"Up",374400000,-205900000,168500000,-133300000,-125100000,-5400000,-2800000,35200000,-17400000,-16500000,-9e+05,17800000,17800000,-1e+07,7800000,7800000,7800000,7800000,490300000,490300000,164600000,164600000,292600000,100300000,100300000,1047800000,171700000,552900000,230800000,217900000,33400000,70800000,724600000,1772400000,166800000,166800000,151400000,234100000,234100000,552300000,977300000,198100000,198100000,1175400000,1727700000,2.06e+08,190500000,-351800000,44700000,44700000,1772400000,7800000,7800000,10400000,6800000,-5400000,19600000,-5800000,-5800000,-17400000,35900000,0,0,0,18500000,32300000,32300000,3700000,3.6e+07,45600000,1128700000,44400000,0.45005,0.09402,0.02083,0.1745,0.0044,5.69231,1.89716,38.65101,0.63682,0.13065,0.12766,6.27136,0.74874,0.74372,0.29146,0.01837,0.03237,2.23077,14,18.13636
"16","2018_Q4",46.5566666666667,"Down",392800000,-216700000,176100000,-142800000,-134800000,-5200000,-2800000,33300000,-6400000,-17700000,11300000,26900000,31500000,-7700000.00000001,23800000,23800000,23800000,23800000,510900000,510900000,165600000,165600000,307800000,106600000,106600000,1090900000,166900000,5.47e+08,229800000,214400000,33800000,6.9e+07,713900000,1804800000,194400000,194400000,178600000,226300000,226300000,599300000,976700000,1.81e+08,1.81e+08,1157700000,1.757e+09,2.25e+08,196400000,-373600000,47800000,47800000,1804800000,23800000,23800000,11400000,-1.3e+07,5200000,27400000,2e+05,199999.999999985,-17300000,26199999.9999999,3.72529029846191e-09,0,-1400000,7500000.00000006,35100000,35100000,-14500000,20600000,44700000,1155300000,57800000,0.44832,0.08478,0.06059,0.49791,0.01319,2.42857,1.82029,36.75732,0.64013,0.39866,0.38762,6.57956,0.80067,0.96817,0.28978,0.02969,0.04176,0.72689,14.41611,19.35135
"17","2019_Q1",40.7170491803279,"Down",457200000,-249200000,2.08e+08,-147800000,-138200000,-6500000,-3100000,60200000,-53300000,-50800000,-2500000,6900000,6900000,-5400000,1500000,1500000,1500000,1500000,522100000,522100000,230400000,230400000,323100000,95500000,95500000,1171100000,166700000,1.841e+09,244200000,232700000,36900000,1327200000,2007700000,3178800000,228900000,228900000,251300000,2.71e+08,2.71e+08,751200000,2206800000,196300000,196300000,2403100000,3154300000,218400000,177300000,-241800000,24500000,24500000,3178800000,1500000,1500000,11300000,29900000,-2e+06,40700000,-7e+06,-45100000,-17700000,1331700000,-2e+07,-2e+07,-29800000,1264200000,1259800000,1259800000,-2400000,1257400000,71500000,2458100000,67900000,0.45494,0.13167,0.00328,0.06122,0.00047,45.26667,1.55897,128.74694,0.77328,0.02517,0.02435,7.67114,0.41107,1.13926,0.29698,0.00717,0.02535,11.8,27.07692,32.15947
"18","2019_Q2",39.7479365079365,"Down",571900000,-296400000,275500000,-154200000,-145500000,-5500000,-3200000,121300000,-31300000,-48200000,16900000,9e+07,9e+07,-19200000,70800000,70800000,70800000,70800000,607300000,607300000,2.16e+08,2.16e+08,290200000,95300000,95300000,1208800000,162600000,3044700000,2.44e+08,229300000,35100000,2536300000,3207300000,4416100000,231600000,231600000,339100000,261300000,261300000,8.32e+08,3321600000,192100000,192100000,3513700000,4345700000,208800000,226100000,-247700000,70400000,70400000,4416100000,70800000,70800000,11600000,-1400000,37900000,118900000,-4700000,-4699999.99999988,-19800000,1.227e+09,0,0,-23600000,1183600000,1297800000,1297800000,-2300000,1295500000,132900000,3660700000,185300000,0.48173,0.2121,0.1238,1.00568,0.01603,2.61723,1.45288,61.72869,0.82894,1.18593,1.16066,9.57956,1.17923,3.10385,0.33166,0.02309,0.04723,0.279659999999998,22.97517,25.1723
"19","2019_Q3",35.64046875,"Down",556400000,-362200000,194200000,-187200000,-1.66e+08,-8700000,-12500000,7e+06,-8.1e+07,-77200000,-3800000,-7.4e+07,-7.4e+07,11700000,-62300000,-73300000,-73300000,-73300000,332900000,332900000,352600000,352600000,491100000,1001800000,153600000,2178400000,363700000,3100200000,1012400000,1936800000,50200000,100800000,3463900000,5642300000,291200000,291200000,19800000,705200000,705200000,1016200000,3557100000,423700000,423700000,3980800000,4.997e+09,861200000,127900000,-227500000,645300000,645300000,5642300000,-62300000,-73300000,28400000,35100000,-107100000,-117100000,-15900000,-2870300000,-2.1e+07,9.5e+07,205300000,0,-23600000,254700000,-2732700000,-2732700000,1800000,-2730900000,35400000,3576900000,-99300000,0.34903,0.01258,-0.13174,-0.11359,-0.01299,1.35471,2.14367,7.74369,0.63394,-1.08915,-1.07478,8.26746,9.58841,-1.47548,0.31204,-0.01126,-0.02137,-0.28649,91.63842,463.42857
"20","2019_Q4",41.468125,"Up",647200000,-400900000,246300000,-185800000,-161900000,-9500000,-14400000,60500000,-51100000,-51900000,800000.000000004,9400000.00000003,9400000.00000003,-2e+05,9200000,7400000.00000003,7400000.00000003,7399999.99999997,206400000,206400000,341100000,341100000,524300000,1003600000,1.96e+08,2075400000,3.61e+08,3141300000,1062400000,1922200000,52900000,103800000,3502300000,5577700000,308400000,308400000,53100000,744100000,744100000,1105600000,3493200000,408200000,408200000,3901400000,5.007e+09,867900000,109500000,-245300000,570700000,570700000,5577700000,9200000,7400000,30800000,6e+05,-23200000,5199999.99999997,-15700000,-18200000,-24900000,-40799999.9999999,-45000000.0000001,-4.5e+07,-1e+05,-112700000,-125700000,-125700000,-8e+05,-126500000,91300000,3546300000,52600000,0.38056,0.09348,0.01143,0.01297,0.00133,7.10811,1.87717,8.77344,0.6358,0.106470000000001,0.10526,9.31223,8.21151,0.75683,0.35827,0.00714,0.01162,3.36486,36.5816,55.20496
"21","2020_Q1",41.1406451612903,"Down",7.19e+08,-431200000,287800000,-191799999,-169600000,-9099999,-13100000,96000001,-48300000,-48700000,4e+05,47700001,47700001,-7e+05,47000001,46200001,46200001,34200001,258500000,258500000,340200000,340200000,469300000,968800000,177100000,2036800000,3.62e+08,3050800000,1004800000,1958900000,22800000,64300000,3412800000,5449600000,2.99e+08,2.99e+08,33500000,736500000,736500000,1.069e+09,3461600000,375200000,204600000,3836800000,4905800000,8.71e+08,129500000,-298300000,543800000,543800000,5449600000,4.7e+07,46200000,2.2e+07,19900001,22800000,142500001,-18600000,-29100000,-25300000,-224800000,199500000,0,-1100000,-53500000,59900001,59900001,-7800000,52100001,118000001,3495100000,122900001,0.40028,0.13352,0.04757,0.06289,0.00628,3.59357,1.90533,9.02133,0.64135,0.49493,0.49067,10.40521,7.86975,1.77858,0.36614,0.01348,0.02784,0.73977,27.42881,33.71458
"22","2020_Q2",37.3342857142857,"Down",736800000,-435500000,301300000,-191600000,-168900000,-8900000,-13800000,109700000,-46800000,-46800000,-3932158.67525892,62900000,58700000,-12900000,45800000,46100000,46100000,42100000,293500000,293500000,369900000,369900000,435800000,968500000,1.63e+08,2067700000,357700000,3141400000,1022500000,1946300000,23400000,149200000,3499100000,5566800000,288900000,288900000,98200000,757800000,757800000,1144900000,3383600000,450800000,274600000,3834400000,4979300000,853300000,149100000,-273100000,587500000,587500000,5566800000,45800000,46100000,27600000,24300000,35800000,123500000,-10200000,-16200000,-26700000,-39300000,146793419.163888,-19186463.9349034,-10300000,-77400000,29899999.9999999,29899999.9999999,5100000,3.5e+07,137300000,3481800000,175800000,0.40893,0.14889,0.05714,0.07166,0.00756,4.17577,1.80601,8.4754,0.62546,0.60926,0.59972,10.66281,8.50217,2.54414,0.3864,0.01522,0.03889,0.6342,23.22141,29.06381
"23","2020_Q3",42.10265625,"Up",5.87e+08,-351400000,235600000,-161400000,-138900000,-8300000,-14200000,74200000,-52300000,-47200000,-5100000,21900000,21900000,-8200000,13700000,-117700000,-117700000,-121800000,277900000,277900000,311600000,311600000,470700000,205900000,205900000,1266100000,346600000,3139800000,1008900000,1934300000,21900000,174700000,3486400000,4752500000,280600000,280600000,277100000,335200000,335200000,892900000,3010600000,475300000,302300000,3485900000,4378800000,854600000,5800000,-307100000,373700000,373700000,4752500000,13700000,-117700000,28500000,16600000,-93100000,-37200000,-1.6e+07,291400000,-25100000,-192600000,-4.5e+07,-4.5e+07,-3e+05,-2.63e+08,-8800000,-8800000,-6800000,-15600000,102700000,3287700000,1800000,0.40136,0.12641,-0.2075,-0.32593,-0.02563,-0.01478,1.41796,11.71742,0.69178,-1.76266,-1.75504,8.49493,5.4081,0.02605,0.36324,-0.02338,0.00044,-0.20608,29.30672,40.56334
"24","2020_Q4",39.03921875,"Down",6.58e+08,-394800000,263200000,-172800000,-150100000,-8400000,-14300000,90400000,-51500000,-50800000,-7e+05,38900000,38900000,-9900000,2.9e+07,29800000,29800000,25800000,595600000,595600000,317900000,317900000,518600000,1.86e+08,1.86e+08,1618100000,344900000,3163500000,1008700000,1923400000,22800000,208600000,3508400000,5126500000,321700000,321700000,298400000,364300000,364300000,984400000,3252500000,503800000,331300000,3756300000,4740700000,859800000,10800000,-305300000,385800000,385800000,5126500000,2.9e+07,29800000,28200000,17300000,58200000,132700000,-16700000,-41700000,-24600000,253700000,0,0,-5200000,223900000,314900000,314900000,2800000,317700000,118600000,3550900000,1.7e+08,0.4,0.13739,0.03921,0.06687,0.00503,6.58915,1.64374,12.28797,0.69266,0.37664,0.37609,9.60584,5.63212,2.48175,0.35912,0.01135,0.03828,0.95349,24.91821,32.69137
"25","2021_Q1",42.8480327868852,"Up",7.63e+08,-481200000,281800000,-196500000,-172500000,-9800000,-14200000,85300000,-46400000,-50200000,3800000,38900000,-51800000,10100000,-41700000,-51500000,-51500000,-55600000,459800000,459800000,2.92e+08,2.92e+08,511300000,947800000,947800000,2210900000,352100000,3165300000,1.016e+09,1.909e+09,24300000,2.16e+08,3517400000,5728300000,378100000,378100000,846800000,423500000,423500000,1648400000,3306900000,463900000,323500000,3770800000,5419200000,859900000,-66200000,-484600000,309100000,309100000,5728300000,-41700000,-51500000,27600000,60200000,111300000,157400000,-1.6e+07,-16600000,-25200000,575100000,-7.45058059692383e-09,7.45058059692383e-09,-40300000,509600000,650400000,650400000,3800000,654200000,112900000,4153700000,198100000,0.36933,0.1118,-0.07287,-0.17988,-0.00971,-3.56295,1.34124,17.53219,0.72512,-0.81168,-0.79656,11.13869,4.51241,2.89197,0.36788,-0.00617,0.04021,-0.45324,32.71833,43.30481
