"","YQ","p","d","revenue","cost_of_revenue","cost_of_goods_services","gross_profit","operating_expenses","selling_general_administrative","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","other_investing_activities","net_cash_from_investing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2013_Q4",8.229375,"Up",30746014,-26109333,-26109333,4636681,-5050521,-2992842,-1922769,-413840,-196861,-196861,-610701,-610701,169852,-440849,-567822,-567822,-567822,815.000000000058,815.000000000058,3314,3314,827,483.999999999985,6478,5116,1231.99999999994,226.999999999985,6348,12826,3426.00000000012,1541,1885,306.000000000029,306,4287.99999999977,2662.99999999988,2180.99999999988,2663.00000000012,6950.99999999977,9440.00000000047,-24635.9999999991,21071.0000000009,5875,5875,12826.0000000005,-567822,957373,65047,225167,679765,-1545676,-1361676,906967,225056,225056,225056,543533,556,0.15081,-0.01346,-0.01847,-96.65055,-44.27117,1.51073,1.18315,0.04335,-0.07079,-0.06869,3.83319,0.000729999999999978,-62.43919,-0.000480000000000202,0.000629999999993913
"12","2014_Q1",6.68803278688525,"Down",10414000,-8640000,-8640000,1774000,-1933000,-1111000,-752000,-159000,-47000,-47000,-206000,-972000,334000,-638000,-693000,-693000,-693000,919000,919000,3431000,3431000,650000,307000,6615000,4711000,1209000,327000,5920000,12535000,2364000,1572000,792000,418000,418000,3451000,3015000,2645000,3015000,6466000,10327000,-24636000,20378000,6069000,6069000,12535000,-693000,346000,334000,67000.0000000001,54000.0000000001,-697000,-697000,747000,104000,104000,104000,187000,669000,0.17035,-0.01527,-0.06655,-0.11419,-0.05529,1.91684,1.06541,0.05337,-0.08597,-0.07988,1.2919,0.75288,-0.07106,-1.3369,1.57233
"13","2014_Q2",6.01079365079365,"Down",10067000,-8674000,-8674000,1393000,-1813000,-1015000,-753000,-420000,-43000,-43000,-463000,-463000,154000,-309000,-351000,-351000,-351000,1073,1073,3601.99999999953,3601.99999999953,880,536.999999999942,7041,5723,1257.99999999977,22,6981,14021.9999999981,4146.00000000047,2379,1766.99999999988,141,140.999999999942,4468,2296.00000000047,1765,2296,6764,11867.0000000019,-24636,20026.9999999963,7258,7258,14022,-351000,364000,-132000,776000,657000,-1365000,-1359000,856000,154000,154000,154000,-56000,181,0.13837,-0.04172,-0.03487,-48.36043,-25.03209,1.57587,0.93194,0.01291,-0.04131,-0.03885,1.18491,0.000850000000000017,-36.05547,0.01593,0.00211999999999968
"14","2014_Q3",7.46046875,"Up",10028000,-8445000,-8445000,1583000,-2077000,-1136000,-876000,-494000,-36000,-36000,-530000,-530000,180000,-350000,-397000,-397000,-397000,879,879,3875,3875,791,448,6911,5901,1450,12,7351,14262,3854,2037,1817,162,162,4266,2020,1367,2020,6286,12982,-24636,19630,7976,7976,14262,-397000,323000,-156000,-240000,-470000,-508000,-474000,750000,-194000,-194000,-194000,-171000,250,0.15786,-0.04926,-0.03959,-49.77432,-27.83621,1.62002,0.78811,0.01753,-0.04608,-0.04294,1.16402,0.00093,-38.74683,0.00368,0.00127
"15","2014_Q4",6.9528125,"Down",11186000,-9909000,-9909000,1277000,-1937000,-1163000,-681000,-660000,-34000,-34000,-694000,-694000,193000,-501000,-451000,-451000,-451000,365000,365000,3802000,3802000,679000,336000,6447000,5652000,2044000,444000,7696000,14143000,3789000,2178000,1611000,154000,154000,4318000,1540000,860000,1540000,5858000,13742000,-24636000,19179000,8285000,8285000,14143000,-451000,369000,-55000,-645000,-782000,-114000,-96000,364000,-514000,-514000,-514000,-291000,375000,0.11416,-0.059,-0.04032,-0.0544399999999996,-0.0318900000000006,1.49305,0.70706,0.02651,-0.05142,-0.04855,1.27534,0.94459,-0.0442200000000099,-0.0343600000000001,-0.0151500000000001
"16","2015_Q1",12.1227868852459,"Up",10943000,-9297000,-9297000,1646000,-1891000,-1059000,-782000,-245000,-29000,-29000,-274000,-527000,233000,-294000,-368000,-368000,-368000,2796000,2796000,3357000,3357000,559000,173000,8415000,5133000,2420000,530000,7553000,15968000,2949000,2023000,926000,340000,340000,3789000,1937000,1146000,1937000,5726000,16067000,-24636000,18811000,10242000,10242000,15968000,-368000,398000,-225000,715000,520000,-81000,-33000,1944000,2431000,2431000,2431000,153000,5e+05,0.15042,-0.02239,-0.03363,-0.03593,-0.02305,2.2209,0.55907,0.03131,-0.0425,-0.04034,1.26392,1.18295,-0.02902,-15.00654,9.37143
"17","2015_Q2",13.2720634920635,"Up",11306000,-9614000,-9614000,1692000,-1938000,-1109000,-750000,-246000,-107000,-107000,-353000,-353000,115000,-238000,-266000,-266000,-266000,1953000,1953000,3206000,3206000,798000,412000,7818000,5312000,2441000,415000,7753000,15571000,2252000,1341000,911000,466000,466000,2718000,1658000,805000,1658000,4376000,17286000,-24636000,18545000,11195000,11195000,15571000,-266000,376000,-34000,-818000,-742000,-530000,-530000,429000,-843000,-843000,-843000,130000,0,0.14966,-0.02176,-0.02353,-0.0237599999999998,-0.0170800000000004,2.87638,0.39089,0,-0.02863,-0.02696,1.21688,1.20493,-0.0206999999999988,-15.02308,7.93902
"18","2015_Q3",11.31328125,"Down",11128000,-9534000,-9534000,1594000,-2115000,-1215000,-887000,-521000,-2000,-2000,-523000,-523000,167000,-356000,-398000,-398000,-398000,2189000,2189000,2839000,2839000,1063000,679000,7535000,6014000,2623000,393000,8637000,16172000,2209000,1233000,976000,471000,471000,2680000,2109000,955000,2109000,4789000,17872000,-24636000,18147000,11383000,11383000,16172000,-398000,365000,-161000,908000,714000,-1034000,-1034000,556000,235999.999999999,235999.999999999,235999.999999999,-156000,5.82076609134674e-11,0.14324,-0.04682,-0.03577,-0.03496,-0.02461,2.81157,0.42072,0,-0.04237,-0.04022,1.18471,1.21186,-0.0295,14.03205,4.20154
"19","2015_Q4",7.1125,"Down",11905000,-10177000,-10177000,1728000,-2232000,-1152000,-1044000,-504000,-3000,-3000,-507000,-807000,277000,-530000,-570000,-570000,-570000,8592000,8592000,3678000,3678000,1204000,820000,13607000,7587000,2943000,399000,10530000,24137000,4964000,3870000,1094000,297000,297000,5261000,2042000,931000,2042000,7303000,23893000,-24636000,17577000,16834000,16834000,24137000,-570000,412000,52000,2772000,2666000,-2254000,-2254000,5991000,6403000,6403000,6403000,-92000,0,0.14515,-0.04234,-0.04788,-0.03386,-0.02362,2.58639,0.43382,-8.67361737988404e-19,-0.05651,-0.05331,1.18035,1.66905,-0.0302000000000001,93.3913,17.04762
"20","2016_Q1",5.51049180327869,"Down",13860000,-11982000,-11982000,1878000,-2535000,-1316000,-1194000,-657000,-1000,-1000,-658000,-658000,111000,-547000,-605000,-605000,-605000,5958000,5958000,3461000,3461000,1364000,872000,10963000,10020000,2988000,395000,13008000,23971000,4142000,2875000,1267000,529000,529000,4671000,2090000,924000,2090000,6761000,24874000,-24636000,16972000,17210000,17210000,23971000,-605000,464000,70000.0000000001,-590000,-660999.999999999,-2909000,-2909000,935999.999999999,-2634000,-2634000,-2634000,-193000,0,0.1355,-0.0474,-0.04365,-0.03515,-0.02524,2.34703,0.39285,0,-0.05928,-0.05617,1.35802,1.68626,-0.03135,30.87047,9.06849
"21","2016_Q2",4.65046875,"Down",14536000,-12350000,-12350000,2186000,-2963000,-1569000,-1291000,-777000,-1000,-1000,-778000,-778000,258000,-520000,-557000,-557000,-557000,3916000,3916000,3378000,3378000,1046000,834000,8553000,13097000,3269000,395000,16366000,24919000,4516000,3289000,1227000,497000,497000,5013000,2429000,1014000,2429000,7442000,25698000,-24636000,16415000,17477000,17477000,24919000,-557000,517000,-133000,916000,743000,-3564000,-3564000,779000,-2042000,-2042000,-2042000,-260000,0,0.15039,-0.05345,-0.03832,-0.03187,-0.02235,1.70616,0.42582,1.0842021724855e-19,-0.05386,-0.05085,1.40553,1.68991,-0.02798,15.06154,5.0399
"22","2016_Q3",3.79734375,"Down",15311000,-13139000,-13139000,2172000,-3075000,-1694000,-1253000,-903000,-2000,-2000,-905000,-1915000,-2892000,-4807000,-4830000,-4830000,-4830000,1747000,1747000,3245000,3245000,929000,717000,6155000,14349000,463000,463000,14812000,20967000,5062000,4132000,930000,429000,429000,5491000,2790000,1342000,2790000,8281000,25737000,-24636000,11585000,12686000,12686000,20967000,-4830000,601000,4059000,9e+05,730000,-2907000,-2893000,-6000,-2169000,-2169000,-2169000,-302000,-4.54747350886464e-13,0.14186,-0.05898,-0.31546,-0.38073,-0.23036,1.12093,0.65277,0,-0.4683,-0.44847,1.48449,1.22998,-0.3121,5.78477,1.93466
"23","2016_Q4",2.39015873015873,"Down",15262000,-13770000,-13770000,1492000,-2844000,-1885000,-1039000,-1352000,-1000,-1000,-1353000,-1188000,-3000,-1191000,-1230000,-1230000,-1230000,1266000,1266000,2726000,2726000,708000,496000,4940000,14682000,414000,414000,15096000,20036000,4962000,4116000,846000,517000,517000,5479000,3055000,1602000,3055000,8534000,25784000,-24636000,10355000,11503000,11503000,20037000,-1230000,837000,-201000,1264000,670000,-1153000,-1153000,2000,-481000,-481000,-481000,-515000,0,0.09776,-0.08859,-0.08059,-0.10693,-0.06139,0.90162,0.74189,-1.0842021724855e-19,-0.11924,-0.11924,1.47959,1.11517,-0.0845,2.45825,0.93639
"24","2017_Q1",2.34516129032258,"Down",14844000,-13096000,-13096000,1748000,-2847000,-1961000,-936000,-1099000,0,0,-1099000,-1952000,-16999.9999999995,-1969000,-2269000,-2269000,-2269000,873000,873000,2947000,2947000,624000,430000,4641000,12979000,885000,885000,13864000,18505000,5035000,3815000,1220000,464000,464000,5499000,3603000,3603000,3603000,9102000,25953000,-24636000,8086000,9403000,9403000,18505000,-2269000,767000,1312000,-7000.00000000023,-197000,-486000,-56000,91000.0000000001,-162000,-162000,-162000,-332000,1.81898940354586e-12,0.11776,-0.07404,-0.15286,-0.24131,-0.12262,0.84397,0.96799,0,-0.22036,-0.24586,1.44158,0.91318,-0.17446,2.62952,0.79436
"25","2017_Q2",2.06507936507936,"Down",15264000,-13656000,-13656000,1608000,-2801000,-1877000,-871000,-1193000,0,0,-1193000,-1405000,-5000,-1410000,-1496000,-1496000,-1496000,285000,285000,2857000,2857000,665000,471000,3999000,12306000,632000,632000,12938000,16937000,4251000,3239000,1012000,410000,410000,4661000,3518000,2043000,3518000,8179000,26804000,-24636000,6590000,8758000,8758000,16937000,-1496000,790000,141000,-903000,-1468000,-162000,-157000,806000,-819000,-819000,-819000,-403000,0,0.10535,-0.07816,-0.09801,-0.17082,-0.08833,0.85797,0.93389,0,-0.1429,-0.1429,1.45802,0.83657,-0.12186,0.7072,0.23889
"26","2017_Q3",1.78380952380952,"Down",-1018000,5351000,5351000,4333000,-5909000,-3648000,-446000,-1576000,-2000,-2000,-1578000,-7291000,-5000,-7296000,-7925000,-7925000,-7925000,1098000,1098000,2550000,2550000,458000,264000,4632000,5839000,558000,558000,6397000,11029000,5599000,4495000,1104000,248000,248000,6847000,3304000,1934000,3304000,10151000,26849000,-24636000,-1335000,878000,878000,11029000,-7925000,749000,5772000,1232000,-172000,-55000,-14999.9999999999,1e+06,813000,813000,813000,-827000,1e+06,-4.25639,1.54813,7.78487,-9.0262,-0.71856,0.6765,11.5615,0.09067,-0.74364,-0.74364,-0.09552,0.08239,-1.52933,0.1185,0.06218
"27","2017_Q4",1.62920634920635,"Down",6498000,-3756000,-3756000,2742000,-4169000,-2902000,-616000,-1427000,-37000,-37000,-1464000,-1699000,-5000,-1704000,-1962000,-1962000,-1962000,2373000,2373000,2661000,2661000,921000,727000,6898000,4427000,669000,669000,5096000,11994000,5658000,4327000,1331000,578000,578000,7236000,2907000,1532000,5665000,12901000,27026000,-24636000,-3297000,-907000,-907000,11994000,-1962000,578000,470000,-478000,-1392000,-41000,16000,2882000,1506000,1506000,1506000,-849000,3758000,0.42198,-0.21961,-0.30194,2.16318,-0.16358,0.95329,-14.22381,0.31332,-0.1841,-0.1841,0.60974,-0.0851100000000001,-0.34074,-1.63133,-0.970569999999999
"28","2018_Q1",1.54606557377049,"Down",5333000,-1866000,-1866000,3467000,-3596000,-2374000,-965000,-129000,-67000,-67000,-196000,-795000,-38000,-833000,-1108000,-1108000,-1108000,451000,451000,3436000,3436000,489000,295000,5126000,3808000,612000,373000,4420000,9546000,5430000,4165000,1265000,313000,313000,6743000,2133000,2133000,4882000,11625000,26962000,-24636000,-4405000,-2079000,-2079000,9546000,-1108000,339000,-328000,-1419000,-2516000,-315000,582000,12000,-1922000,-1922000,-1922000,210000,3749000,0.6501,-0.0241899999999999,-0.20776,0.53295,-0.11607,0.7602,-5.59163,0.39273,-0.1037,-0.1037,0.49911,-0.19457,-0.29135,15.70476,-25.56589
"29","2018_Q2",1.275625,"Down",5433000,-2086000,-2086000,3347000,-3248000,-2055000,-755000,99000,-68000,-68000,31000,-119000,-12000,-131000,-356000,-356000,-356000,3976000,3976000,2910000,2910000,690000,496000,8298000,4069000,478000,243000,4547000,12845000,4669000,3570000,1099000,336000,336000,6005000,1562000,1562000,4237000,10242000,3.2e+07,-24636000,-4761000,2603000,2603000,12845000,-356000,314000,295000,-1301000,-1048000,-363000,-370000,4943000,3525000,3525000,3525000,413000,3675000,0.61605,0.01822,-0.06553,-0.13677,-0.02772,1.38185,3.93469,0.2861,-0.0319,-0.0319,0.48687,0.23326,-0.04541,-0.728810000000006,-3.0404
"30","2018_Q3",1.37079365079365,"Up",4196000,-1056000,-1056000,3140000,-3134000,-2056000,-703000,6000.00000000001,-63000,-63000,-57000,-423000,25999.9999999999,-397000,-577000,-577000,-577000,1428000,1428000,3554000,3554000,448000,448000,6057000,1667000,471000,243000,2138000,8195000,2282000,1428000,854000,138000,138000,2420000,1054000,1054000,2513000,4933000,33236000,-24636000,-5338000,3262000,3262000,8195000,-577000,286000,475000,-2610000,-2426000,-57999.9999999999,879000,-1001000,-2548000,-2548000,-2548000,292000,1459000,0.74833,0.00142999999999999,-0.13751,-0.17689,-0.07041,2.50289,1.51226,0.17804,-0.04028,-0.04028,0.29291,0.22771,-0.09991,0.10616,5.16667
"31","2018_Q4",1.26650793650794,"Down",2665000,-299000,-299000,2366000,-2708000,-1698000,-613000,-342000,-26000,-26000,-368000,-469000,-6000,-475000,-492000,-492000,-492000,979000,979000,2421000,2421000,493000,488000,4458000,1839000,786000,568000,2625000,7083000,1576000,713000,863000,103000,103000,1679000,956000,956000,2513000,4192000,33357000,-24636000,-5830000,2891000,2891000,7083000,-492000,133000,382000,-978000,-955000,-463000,304000,202000,-449000,-449000,-449000,-209000,1557000,0.8878,-0.12833,-0.18462,-0.17018,-0.06946,2.65515,1.45002,0.21982,-0.03306,-0.03306,0.17905,0.19424,-0.09104,-2.76555,-1.69006
"32","2019_Q1",1.19524590163934,"Down",2826000,-213000,-213000,2613000,-2491000,-1788000,-688000,122000,-26000,-26000,95999.9999999999,-37000,3314000,3277000,3337000,3337000,3337000,1386000,1386000,2230000,2230000,578000,273000,4739000,1510000,4737000,1046000,6247000,10986000,1883000,774000,1109000,97000,97000,1980000,1145000,1145000,2707000,4687000,33428000,-24636000,-2493000,6299000,6299000,10986000,3337000,141000,-3380000,429000,527000,-197000,-105000,-14999.9999999995,407000,407000,407000,263000,1562000,0.92463,0.04317,1.18082,0.52977,0.30375,2.39343,0.74409,0.14218,0.22176,0.17057,0.1878,0.41859,0.37053,0.6692,1.44262
"33","2019_Q2",2.16603174603175,"Up",2991000,-159000,-159000,2832000,-2638000,-1414000,-1061000,194000,-25000,-25000,169000,158000,-50000,108000,108000,108000,108000,2006000,2006000,2296000,2296000,370000,351000,5145000,1391000,4919000,1034000,6310000,11455000,1633000,797000,836000,462000,462000,2095000,2871000,2871000,4438000,6533000,33565000,-24636000,-4007000,4922000,4922000,11455000,108000,139000,143000,2e+05,590000,-10000,-6000,36000,620000,620000,620000,333000,1567000,0.94684,0.06486,0.03611,0.02194,0.00942999999999999,2.45585,1.32731,0.1368,0.00717,0.00679,0.19855,0.32674,0.0115400000000001,-1.31832,-2.26289
"34","2019_Q3",2.6559375,"Up",3195000,-174000,-174000,3021000,-2829000,-1640000,-892000,192000,-26000,-26000,166000,361000,-129000,232000,232000,232000,232000,1906000,1906000,2318000,2318000,438000,410000,5164000,1300000,4986000,1449000,6286000,11450000,1199000,285000,914000,792000,304000,1991000,2554000,466000,4128000,6119000,33742000,-24636000,-3775000,5331000,5331000,11450000,232000,126000,-34000,-521000,-197000,-36000,1e+05,-3000,-1e+05,-1e+05,-1e+05,318000,1574000,0.94554,0.06009,0.0726099999999999,0.04352,0.02026,2.59367,1.14781,0.13747,0.01539,0.01459,0.21198,0.3537,0.02453,-1.04403,-1.72917
"35","2019_Q4",2.17953125,"Down",3070000,-382000,-382000,2688000,-2593000,-1569000,-888000,95000,-26000,-26000,69000,-254000,-9000,-263000,-263000,-263000,-263000,1932000,1932000,2124000,2124000,520000,485000,4863000,1219000,5e+06,1465000,6219000,11082000,1397000,402000,995000,841000,275000,2238000,2067000,463000,3648000,5886000,33870000,-24636000,-4038000,5196000,5196000,11082000,-263000,120000,459000,-288000,28000,-30000,-1000,-1000,26000,26000,26000,215000,1581000,0.87557,0.03094,-0.08567,-0.05062,-0.02373,2.17292,1.13279,0.14266,-0.01745,-0.01654,0.2037,0.34477,-0.02974,-1.63256,-3.69474
"36","2020_Q1",1.34903225806452,"Down",3063000,-405000,-405000,2658000,-2723000,-651000,-937000,-65000,-27000,-27000,-92000,-1066000,239000,-827000,-827000,-827000,-827000,2264000,2264000,1580000,1580000,621000,346000,4703000,5e+05,5223000,967000,5723000,10426000,1234000,4e+05,834000,1144000,312000,2378000,2030000,469000,3614000,5992000,33549000,-24632000,-4483000,4434000,4434000,10426000,-827000,81000,1868000,-884000,238000,196000,38000,56000,332000,332000,332000,16000,1584000,0.86778,-0.02122,-0.27,-0.18651,-0.07932,1.97771,1.35138,0.15193,-0.05487,-0.06577,0.20321,0.29417,-0.10276,-42.5,10.46154
