"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2013_Q2",6.3021875,"Down",44137000,-8384000,35753000,-14250000,-3639000,-3626000,21503000,-69000,25000,-94000,21434000,21434000,-14246000,7188000,7188000,7188000,7188000,102641000,102641000,584000,13557000,2677000,10880000,141284000,118622000,12223000,10874000,130845000,272129000,35190000,35190000,40125000,10750000,10750000,10750000,50875000,56671000,-23975000,188558000,221254000,221254000,272129000,7188000,3626000,7203000,-26986000,-8969000,-18372000,-19190000,-16701948.7055934,-28159000,-28159000,-28159000,25129000,0,-5983000,0.81005,0.48719,0.16286,0.03249,0.02641,-0.83236,3.5211,0.22994,0,0.12413,0.12169,0.76221,3.82085,-0.10332,0.03098,-0.02579,-4.08456,-4.77333
"12","2013_Q3",5.7584375,"Down",29118000,-7015000,22103000,-10436000,-2463000,-3431000,11667000,14000,16000,-2000.00000000001,11681000,11681000,-4559000,7122000,7122000,7122000,7122000,78708000,78708000,3970000,18378000,4099000,14279000,127283000,132720000,12220000,10871000,144940000,272223000,33219000,33219000,33219000,11135000,11135000,11135000,44354000,57503000,-25314000,195680000,227869000,227869000,272223000,7122000,3431000,5034000,-16163000,-576000,-22461000,-22153000,-1204000.00000001,-23933000,-23933000,-23933000,15098000,3.63797880709171e-12,-18967000,0.75908,0.40068,0.24459,0.03125,0.02616,-2.66316,3.83163,0.19465,0,0.123,0.12162,0.50289,3.93551,-0.32758,0.0298,-0.07936,-5.21314,-6.74621
"13","2013_Q4",5.849375,"Up",37740000,-12576000,25164000,-17060000,-1893000,-3954000,8104000,-56000,16000,-72000,8048000,8048000,-5662000,2386000,2386000,2386000,2386000,100465000,100465000,3727000,22195000,4689000,17506000,126873000,134569000,12179000,10830000,146748000,273621000,35563000,35563000,40448000,11298000,11298000,11298000,51746000,58464000,-34655000,198066000,221875000,221875000,273621000,2386000,3954000,11859000,28151000,46350000,-15305000,-15674000,-8919000,21757000,21757000,21757000,12058000,0,30566000,0.66677,0.21473,0.06322,0.01075,0.00872,12.81056,3.13669,0.23322,0,0.04215,0.04177,0.66677,3.91999,0.54003,0.01023,0.13109,-8.33181,-12.39696
"14","2014_Q1",6.55737704918033,"Up",58282000,-8640000,49642000,-13691000,-3259000,-5918000,35951000,73000,16000,57000,36024000,36024000,-9648000,26376000,26376000,26376000,26376000,130529000,130529000,516000,19447000,2339000,17108000,167464000,138524000,2179000,830000,140703000,308167000,42561000,42561000,45829000,11464000,11464000,11464000,57293000,61863000,-35431000,224442000,250874000,250874000,308167000,26376000,5918000,2983000,3318000,38595000,-10741000,-10927000,2396000,30064000,30064000,30064000,41869000,-5.82076609134674e-11,44094000,0.85176,0.61685,0.45256,0.10514,0.08559,1.67174999999999,3.65411,0.22837,-1.0842021724855e-19,0.46447,0.46311,1.02633,4.41781,0.77648,0.10054,0.16808,-3.11756,-3.63075
"15","2014_Q2",7.40650793650794,"Up",28071000,-9650000,18421000,-19071000,-3588000,-4160000,-650000,-262000,29000,-291000,-912000,-912000,-6126000,-7038000,-7038000,-7038000,-7038000,80721000,80721000,1620000,63896000,6312000,57584000,146324000,146836000,3901000,2552000,150737000,297061000,38446000,38446000,40178000,11630000,11630000,11630000,51808000,62910000,-35061000,217404000,245253000,245253000,297061000,-7038000,4160000,11944000,-32608000,-23542000,-24751000,-24544000,-1722000,-49808000,-49808000,-49808000,3510000,0,-47723000,0.65623,-0.02316,-0.25072,-0.0287,-0.02369,6.78076,3.64189,0.21124,0,-0.12378,-0.12378,0.49368,4.31327,-0.8393,-0.0274,-0.18578,-22.99744,124.18615
"16","2014_Q3",7.90109375,"Up",52101000,-4848000,47253000,-13422000,-3134000,-6995000,33831000,-108000,17000,-125000,33723000,33723000,-9009000,24714000,24714000,24714000,24714000,118567000,118567000,808000,21813000,2528000,19285000,162773000,167452000,4092000,2743000,171544000,334317000,49739000,49739000,51357000,11732000,11732000,11732000,63089000,64170000,-35061000,242118000,271227000,271227000,334316000,24714000,6995000,3408000,28984000,64101000,-26541000,-26683000,428000.000000002,37846000,37846000,37846000,40826000,4.65661287307739e-10,52278000,0.90695,0.64933,0.47435,0.09112,0.07392,2.11532,3.16944,0.23261,0,0.43395,0.42665,0.91484,4.76245,0.91794,0.08734,0.18475,-2.9042,-3.50468999999997
"17","2014_Q4",6.36703125,"Down",24487000,-7145000,17342000,-10653000,-3967000,-4289000,6689000,185000,19000,166000,6874000,6874000,-3762000,3112000,3112000,3112000,3112000,133498000,133498000,3129000,26558000,5884000,20674000,169211000,189610000,4035000,2686000,193645000,362856000,50666000,50666000,56095000,13659000,13659000,28659000,84754000,70171000,-37299000,245230000,278102000,278102000,362856000,3112000,4289000,2538000,4256000,14195000,-16812000,-16812000,17548000,14931000,14931000,14931000,10978000,1.5e+07,2184000,0.70821,0.27317,0.12709,0.01119,0.00858,0.7018,3.01651,0.30476,0.04134,0.0543,0.05371,0.42728,4.85266,0.03811,0.01014,0.00712,-10.79413,-17.71535
"18","2015_Q1",4.74475409836066,"Down",23032000,-10075000,12957000,-5091000,-1423000,-4630000,7866000,-477000,10000,-487000,7389000,-90952000,-3589000,-94541000,-98338000,-98338000,-98338000,69051000,69051000,2191000,22281000,6509000,15772000,113050000,108124000,27675000,26326000,135799000,248849000,38540000,11671000,38540000,14846000,14846000,29846000,68386000,70870000,-37299000,146892000,180463000,180463000,248849000,-94541000,4630000,99713000,-32564000,-31364000,-21389000,-33359000,276000,-64447000,-64447000,-64447000,12496000,1.5e+07,-37868000,0.56257,0.34152,-4.26962,-0.54492,-0.39517,0.38508,2.93332,0.37895,0.06028,-1.70148,-1.7501,0.39851,3.12244,-0.65521,-0.46759,-0.18006,-4.32546,-6.87147
"19","2015_Q2",2.27507936507937,"Down",18239000,-9911000,8328000,-38207000,-4873000,-5935000,-29879000,-362000,-306000,-56000,-30241000,-35640000,-3365000,-39005000,-39005000,-39005000,-39005000,46552000,46552000,1925000,43423000,5854000,37569000,111109000,107006000,22515000,21166000,129521000,240630000,61942000,61942000,66754000,15290000,15290000,30290000,97044000,73570000,-37871000,107887000,143586000,143586000,240630000,-39005000,5935000,34095000,-1626000,-601000,-27730000,-22343000,445000,-22499000,-22499000,-22499000,-23944000,1.5e+07,-49935000,0.4566,-1.63819,-2.13855,-0.27165,-0.1621,1.28022,1.66445,0.67586,0.06234,-0.67272,-0.67272,0.31457,2.47642,-0.86123,-0.22433,-0.28719,1.31774,1.05599
"20","2015_Q3",1.6034375,"Down",27137000,-8867000,18270000,-13479000,-2829000,-9299000,4791000,99000,-339000,438000,4890000.00000001,-931000,-4273000,-5204000.00000001,-5204000,-5204000,-5204000,61048000,61048000,701000,31595000,5069000,26526000,101509000,110414000,22364000,21015000,132778000,234287000,60939000,60939000,64269000,15951000,15951000,30951000,95220000,74255000,-37871000,102683000,139067000,139067000,234287000,-5203999.99999999,9299000,7259000.00000001,16200000,27554000,-13068000,-13065000,7000,14496000,14496000,14496000,14090000,1.5e+07,21495000,0.67325,0.17655,-0.19177,-0.03742,-0.02221,-4.13048,1.57944,0.68471,0.06402,-0.0892599999999999,-0.08926,0.46544,2.38522,0.36867,-0.03061,0.12643,-3.26813,-9.61135
"21","2015_Q4",1.82234375,"Up",17546000,-7859000,9687000,6194000,-1677000,-8250000,15881000,-1023000,-462000,-561000,14858000,-3130000,-2707000,-5837000,-33668000,-33668000,-33668000,40701000,40701000,1189000,24856000,5285000,19571000,73730000,95329000,26020000,24671000,121349000,195079000,57790000,57790000,57790000,16198000,16198000,31198000,88988000,74947000,-37871000,69015000,106091000,106091000,195079000,-5837000,8250000,1124000,8326000,10566000,-12080000,-30913000,0,-20347000,-20347000,-20347000,24131000,1.5e+07,23084000,0.55209,0.90511,-1.91884,-0.31735,-0.17259,-0.68564,1.27583,0.83879,0.07689,-0.57656,-0.57656,0.30047,1.81678,0.39531,-0.24523,0.16814,-1.06506,-1.61835
"22","2016_Q1",1.18803278688525,"Down",17523000,-13459000,4064000,-16641000,-2915000,-9514000,-12577000,-1575000,-218000,-1357000,-14152000,-66266000,-4242000,-70508000,-80779000,-80779000,-80779000,25357000,25357000,833000,32199000,2975000,20855000,63742000,33357000,26859000,26843000,60216000,123958000,62587000,44140000,66716000,16166000,16166000,31166000,97882000,75722000,-37882000,-11764000,26076000,26076000,123958000,-70508000,9514000,53099000,10613000,1356000,-14791000,-16689000,-11000.0000000001,-15344000,-15344000,-15344000,-3063000,1.5e+07,-2999000,0.23192,-0.71774,-4.60988,-3.09783,-0.65166,0.0371299999999992,0.95542,3.75372,0.12101,-1.38141,-1.38141,0.29966,0.44593,-0.05129,-1.41118,-0.05239,3.38133,0.823490000000001
"23","2016_Q2",1.04421875,"Down",10976000,-11253000,-277000,-13238000,-2247000,-2238000,-13515000,-230000,-488000,258000,-13745000,-13745000,-1685000,-15430000,-7624000,-7624000,-7624000,24156000,24156000,1094000,27646000,3578000,24068000,58319000,31162000,27209000,27209000,58371000,116690000,66441000,43671000,66441000,16418000,16418000,31418000,97859000,76581000,-37923000,-19827000,18831000,18831000,116690000,-15430000,2238000,120000,-5063000,-180000,-1483000,-1021000,-120511.010929363,-1201000,-1201000,-1201000,-11277000,1.5e+07,-16138000,-0.02524,-1.23132,-0.69461,-0.40486,-0.06534,2.11674,0.87776,5.1967,0.12855,-0.1303,-0.1303,0.18758,0.32183,-0.2758,-0.15172,-0.32116,0.81192,0.67747
"24","2016_Q3",0.9625,"Down",18847000,-7341000,11506000,-6891000,-4004000,-1942000,4615000,-2112000,-1470000,-642000,2503000,2503000.00000001,-3001000,-498000.000000007,-518000.000000007,-518000,-518000,13681000,13681000,865000,16733000,3630000,13103000,38642000,27080000,25935000,25935000,53015000,91657000,41354000,23579000,46354000,16632000,16632000,25976000,72330000,77338000,-37923000,-20088000,19327000,19327000,91657000,-498000,1942000,3361999.99999999,-1038000,1809000,-8965000,-12207000,-77000,-10475000,-10475000,-10475000,6557000,14344000,-445000,0.6105,0.24487,-0.0274800000000002,-0.0267999999999999,-0.00564999999999997,0.85907,0.83363,3.74243000000001,0.1565,-0.0088599999999999,-0.00886000000000001,0.32237,0.33059,-0.00761000000000001,-0.0102999999999999,-0.00885000000000002,0.10111,0.14366
"25","2016_Q4",0.85984126984127,"Down",14635000,-7162000,7473000,-3695000,-1588000,-1607000,3778000,-476000,-327000,-149000,3302000,3214000,-2198000,1016000,-14767000,-14767000,-14767000,26883000,26883000,915000,7812000,3602000,2463000,41550000,25578000,11074000,11074000,36652000,78202000,25104000,11553000,50010000,16849000,16849000,24983000,74993000,76829000,-37933000,-35687000,3209000,3209000,78202000,1016000,1607000,1363000,-2823000,-1665000,-2333000,14883000,-16000,13202000,13202000,13202000,5385000,14384000,2427000,0.51063,0.25815,-1.00902,-4.60175,-0.18883,-0.16435,0.83083,23.36959,0.18393,-0.25104,-0.25104,0.24879,0.05455,0.04126,-0.42875,0.07047,-2.32108,-3.30836
"26","2017_Q1",1.05145161290323,"Up",15326000,-11830000,3496000,-2677000,-1722000,-1139000,819000,-1810000,-328000,-1482000,-991000,-990999.999999999,-2364000,-3355000,-3641000,-3641000,-3641000,20474000,20474000,913000,10337000,4040000,4158000,38475000,28019000,14538000,14538000,42557000,81032000,29602000,19096000,55554000,18896000,18896000,25836000,81390000,76879000,-37933000,-39304000,-358000.000000002,-358000,81032000,-3355000,1139000,25999.9999999991,-343999.999999999,-3416000,4906000,-2942000,-50999.9999999999,-6409000,-6409000,-6409000,1958000,14440000,8884000,0.22811,0.05344,-0.23757,10.17039,-0.04493,-2.43999,0.69257,-227.34637,0.1782,-0.06306,-0.06306,0.26545,-0.00619999999999997,0.15387,-0.11041,0.26939,-3.08172,-7.36752
"27","2017_Q2",0.959047619047619,"Down",21266000,-7946000,13320000,-5172000,-3127000,-1869000,8148000,-519000,-403000,-116000,7629000,7629000,-3194000,4435000,4259000,4259000,4259000,24245000,24245000,1139000,6616000,3362000,839000,38496000,26683000,14818000,14818000,41501000,79997000,18707000,9745000,50165000,19135000,19135000,25756000,75921000,77054000,-37933000,-35045000,4076000,4076000,79997000,4435000,1869000,464000,-2086000,4098000,-768000,-768000,455000,3785000,3785000,3785000,10017000,14954000,10357000,0.62635,0.38315,0.20027,1.0449,0.05324,2.43179,0.76739,18.62635,0.18693,0.07272,0.0727,0.36311,0.0696,0.17684,0.11159,0.27137,-0.92752,-1.14028
"28","2017_Q3",0.79015873015873,"Down",20425000,-9866000,10559000,-4972000,-3064000,-1970000,5587000,-40000,-378000,338000,5547000,5547000,-3096000,2451000,2283000,2283000,2283000,20640000,20640000,952000,8751000,4392000,1781000,38405000,25266000,15472000,15472000,40738000,79143000,24536000,14968000,48346000,19230000,19230000,23872000,72218000,77620000,-37933000,-32762000,6925000,6925000,79143000,2451000,1970000,104000,-2585000,-1525000,-14000,50000,-2083000,-3558000,-3558000,-3558000,7557000,12975000,8054000,0.51696,0.27354,0.11177,0.329680000000001,0.02885,3.52781,0.79438,10.42859,0.16394,0.03892,0.03892,0.3482,0.11806,0.1373,0.05834,0.20583,-1.01429,-1.37193
"29","2017_Q4",0.763015873015873,"Down",18178000,-10336000,7842000,-4121000,-2463000,-1700000,3721000,-1120000,-327000,-793000,2601000,2601000,-2749000,-148000,-322000,-322000,-322000,18863000,18863000,1160000,9303000,2952000,3578000,36529000,23905000,16101000,16101000,40006000,76535000,23947000,13849000,46847000,19486000,19486000,22969000,69816000,77744000,-37941000,-33084000,6719000,6719000,76535000,-148000,1700000,1380000,-2118000,659000,-268000,-268000,-2092000,-1701000,-1701000,-1701000,5421000,10983000,5784000,0.4314,0.2047,-0.01771,-0.04792,-0.00421,-17.96273,0.77975,10.39083,0.1435,-0.00547,-0.00547,0.30904,0.11423,0.09833,-0.00866,0.15553,-1.45361,-2.11771
"30","2018_Q1",0.822950819672131,"Up",17156000,-11549000,5607000,-3112000,-1723000,-918000,2495000,2378000,-306000,2684000,4873000,4873000,-1339000,3534000,3431000,3431000,3431000,19669000,19669000,3263000,9964000,2791000,4337000,36452000,23221000,19960000,18700000,43181000,79633000,24575000,11584000,46588000,20447000,20447000,22756000,69344000,77895000,-37953000,-29653000,10289000,10289000,79633000,3534000,918000,635000,-1441000,3427000,-513000,-663000,-2095000,669000,669000,669000,3413000,8975000,2798000,0.32682,0.14543,0.19999,0.33346,0.04309,0.815510000000003,0.78243,6.73962,0.1127,0.05833,0.05833,0.29166,0.17492,0.04757,0.0864,0.07046,-3.13331,-4.28617
"31","2018_Q2",1.67984375,"Up",27645000,-10960000,16685000,-3647000,-2603000,-1124000,13038000,-285000,-354000,69000,12753000,12753000,-4042000,8711000,8659000,8659000,8659000,32205000,32205000,1279000,7763000,3767000,966000,49507000,22599000,20079000,18819000,42678000,92185000,25595000,10269000,51252000,20717000,20717000,21836000,73088000,78044000,-37953000,-20994000,19097000,19097000,92185000,8711000,1124000,391000,5432000,15067000,-423000,-423000,-2083000,12561000,12561000,12561000,14162000,6952000,23213000,0.60354,0.47162,0.31322,0.45342,0.09393,2.68079,0.96595,3.8272,0.07541,0.1471,0.1471,0.46965,0.32443,0.39436,0.18516,0.49636,-1.78315,-1.93688
"32","2018_Q3",2.57349206349206,"Up",24426000,-12817000,11609000,-5886000,-5008000,-1035000,5723000,-1254000,-30000,-1224000,4469000,4469000,-3582000,886999.999999996,544000,543999.999999996,543999.999999996,40490000,40490000,1298000,8044000,3721000,1151000,59439000,21127000,19710000,18450000,40837000,100276000,33200000,10876000,58193000,21600000,21600000,21600000,79793000,78709000,-37776000,-20450000,20483000,20483000,100276000,887000,1035000,5042000,8926000,15589000,-553000,-553000,-6638000,8398000,8398000,8398000,6758000,0,18713000,0.47527,0.2343,0.0222699999999997,0.0265599999999999,0.00542999999999998,34.3989,1.02141,3.89557,0,0.00921,0.00908999999999993,0.41336,0.34663,0.31668,0.01293,0.44467,-5.99142,-7.07496
"33","2018_Q4",1.86587301587302,"Down",25266000,-7481000,17785000,-3790000,-2811000,-1130000,13995000,-918000,111000,-1029000,13077000,16402000,62224000,78626000,78605000,78605000,78605000,33715000,33715000,2232000,8644000,3058000,2364000,44591000,34931000,82839000,14032000,117770000,162361000,26656000,7219000,47343000,15723000,15723000,15723000,63066000,78938000,-37798000,58155000,99295000,99295000,162361000,78626000,1130000,-66618000,-7688000,5384000,-12229000,-12229000,66000,-6779000,-6779000,-6779000,15125000,0,-67016000,0.70391,0.55391,3.1111,0.79163,0.48414,-0.85257,0.94187,0.63514,0,1.32138,1.29238,0.42473,1.66919,-1.12657,0.68341,-0.58266,-2.22909,-2.40907
"34","2019_Q1",2.0516393442623,"Up",27606000,-9157000,18449000,-3243000,-976000,-2307000,15206000,2380000,128000,2252000,17586000,21850000,-11346000,10504000,10424000,10424000,10424000,33360000,33360000,785000,12742000,6301000,3151000,58794000,52724000,54794000,14717000,107518000,166312000,25495000,8083000,41044000,15441000,15441000,15441000,56485000,79075000,-37827000,68579000,109827000,109827000,166312000,10504000,2307000,1947000,-13528000,1136000,-922000,-922000,-25000,189000,189000,189000,17513000,0,14409000,0.6683,0.55082,0.3776,0.0949100000000002,0.06268,1.38229,1.43246,0.514309999999999,1.73472347597681e-18,0.17504,0.17244,0.46357,1.84425,0.24196,0.0832099999999999,0.11503,-1.90487,-2.19387
