"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","other_intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","common_stock","additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_acquisitions_divestitures","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","piotroski_f_score","return_on_invested_capital","net_debt_ebit"
"11","2012_Q4",5.49435483870968,"Down",1.734e+09,-5.58e+08,1.176e+09,-9.08e+08,-5.89e+08,-2.2e+08,-9.9e+07,2.68e+08,-9.8e+07,-6.5e+07,-3.3e+07,1.7e+08,-8.34e+08,-6.64e+08,0,-6.64e+08,-6.64e+08,-6.64e+08,-6.64e+08,3.52e+08,3.52e+08,1.197e+09,1.197e+09,9.11e+08,7.13e+08,2.3e+08,3.173e+09,1.624e+09,1.2101e+10,5.724e+09,6.154e+09,2.23e+08,1.3725e+10,1.6898e+10,1.553e+09,2.28e+08,1.325e+09,3e+06,2.59e+08,2.59e+08,1.815e+09,4.252e+09,4.003e+09,1.705e+09,2.298e+09,8.255e+09,1.007e+10,1.6442e+10,1.5e+07,1.6427e+10,-8.51e+09,-1.12e+08,6.828e+09,6.828e+09,1.6898e+10,2.72e+08,-4.6e+07,-4.6e+07,-4.6e+07,0,-1.7e+07,-6.3e+07,0,-2.39e+08,1.1e+07,10000000.0000001,-2.29e+08,-2e+07,-2e+07,1e+06,-1.9e+07,4.255e+09,0.6782,0.15456,-0.38293,-0.09725,-0.03929,1.74821,1.47481,0.2518,-0.47684,-0.47684,1.24524,4.90341,6,-0.04401,14.56343
"12","2013_Q1",7.14733333333333,"Up",1.821e+09,-5.82e+08,1.239e+09,-9.79e+08,-6.4e+08,-2.38e+08,-1.01e+08,2.6e+08,-9.3e+07,-6.4e+07,-2.9e+07,1.67e+08,-1.15e+08,52000000.0000005,9e+06,6.1e+07,6.1e+07,6.1e+07,6.1e+07,2.07e+08,2.07e+08,1.217e+09,1.217e+09,8.84e+08,7.14e+08,2.81e+08,3.022e+09,1.564e+09,1.2568e+10,5.973e+09,6.289e+09,3.06e+08,1.4132e+10,1.7154e+10,1.516e+09,2.32e+08,1.284e+09,4e+06,2.52e+08,2.52e+08,1.772e+09,4.252e+09,4.26e+09,1.713e+09,2.547e+09,8.512e+09,1.0284e+10,1.6444e+10,1.5e+07,1.6429e+10,-8.449e+09,-3.3e+07,6.87e+09,6.87e+09,1.7154e+10,3.89e+08,-4.6e+07,-6.2e+07,-6.2e+07,-2.22e+08,5e+06,-2.63e+08,-1e+06,-9.9e+07,1e+06,-1.72e+08,-2.72e+08,-1.46e+08,-1.46e+08,1e+06,-1.45e+08,4.256e+09,0.6804,0.14278,0.0335000000000001,0.00888000000000005,0.00356,1.70542,1.49694,0.24811,0.0446599999999996,0.0446600000000001,1.33319,5.02965,6,0.00395999999999998,15.57308
"13","2013_Q2",8.4821875,"Up",1.761e+09,-5.78e+08,1.183e+09,-9.38e+08,-6.31e+08,-2.04e+08,-1.03e+08,2.45e+08,-1.05e+08,-6.5e+07,-4e+07,1.4e+08,-5.34e+08,-3.94e+08,4e+07,-3.54e+08,-3.54e+08,-3.54e+08,-3.54e+08,2.68e+08,2.68e+08,1.232e+09,1.232e+09,8.51e+08,7.51e+08,3.2e+08,3.102e+09,1.537e+09,1.2124e+10,5.552e+09,6.177e+09,3.95e+08,1.3661e+10,1.6763e+10,1.392e+09,2.06e+08,1.186e+09,4e+06,2.4e+08,2.4e+08,1.636e+09,4.25e+09,4.374e+09,1.71e+09,2.664e+09,8.624e+09,1.026e+10,1.6453e+10,1.6e+07,1.6437e+10,-8.803e+09,4.5e+07,6.503e+09,6.503e+09,1.6763e+10,1.87e+08,0,-5.3e+07,-5.3e+07,0,-1.1e+07,-1.1e+07,0,-9e+07,1e+07,-2.4e+07,-1.14e+08,6.2e+07,6.2e+07,-1e+06,6.1e+07,4.254e+09,0.67178,0.13913,-0.20102,-0.05444,-0.02112,1.89609,1.57773,0.25377,-0.26185,-0.26185,1.30261,4.81027,6,-0.0234,16.26939
"14","2013_Q3",10.816875,"Up",1.809e+09,-5.3e+08,1.279e+09,-9.85e+08,-6.61e+08,-2.23e+08,-1.01e+08,2.94e+08,-1.15e+08,-6.5e+07,-5e+07,1.79e+08,-2.7e+07,1.52e+08,-2.2e+07,1.3e+08,1.3e+08,1.3e+08,1.3e+08,5.3e+08,5.3e+08,1.278e+09,1.278e+09,8.42e+08,8.48e+08,3.52e+08,3.498e+09,1.524e+09,1.1974e+10,5.553e+09,6.026e+09,3.95e+08,1.3498e+10,1.6996e+10,1.616e+09,2.51e+08,1.365e+09,6.05e+08,2.56e+08,2.56e+08,2.477e+09,3.647e+09,4.269e+09,1.711e+09,2.558e+09,7.916e+09,1.0393e+10,1.6486e+10,1.6e+07,1.647e+10,-8.673e+09,8.2e+07,6.603e+09,6.603e+09,1.6996e+10,3.97e+08,-5.1e+07,-5.1e+07,-5.1e+07,0,-7e+06,-58000000.0000001,0,-9.1e+07,9e+06,1.4e+07,-7.7e+07,2.62e+08,2.62e+08,-4.65661287307739e-10,2.62e+08,4.252e+09,0.70702,0.16252,0.07186,0.01969,0.00765,1.41219,1.57398,0.25018,0.09676,0.09569,1.34648,4.91477,8,0.0086,12.65986
"15","2013_Q4",11.8146875,"Up",1.735e+09,-5.1e+08,1.225e+09,-9.76e+08,-6.58e+08,-2.17e+08,-1.01e+08,2.49e+08,-1.71e+08,-1.36e+08,-3.5e+07,7.8e+07,-1.18e+08,-4e+07,3.5e+07,-5e+06,-5e+06,-5e+06,-5e+06,5.71e+08,5.71e+08,1.238e+09,1.238e+09,8.95e+08,8.21e+08,2.85e+08,3.525e+09,1.53e+09,1.1862e+10,5.553e+09,5.936e+09,3.73e+08,1.3392e+10,1.6917e+10,1.584e+09,2.38e+08,1.346e+09,3e+06,3.15e+08,3.15e+08,1.902e+09,4.246e+09,4.206e+09,1.623e+09,2.583e+09,8.452e+09,1.0354e+10,1.6552e+10,1.6e+07,1.6536e+10,-8.678e+09,5.6e+07,6.563e+09,6.563e+09,1.6917e+10,2.51e+08,-5.7e+07,-5.7e+07,-5.7e+07,0,-1.6e+07,-7.3e+07,-1e+07,-3.5e+07,4e+07,-9.3e+07,-1.38e+08,4e+07,4e+07,1e+06,4.1e+07,4.249e+09,0.70605,0.14352,-0.00288,-0.00076,-3e-04,1.85331,1.57763,0.25117,-0.00373,-0.00373,1.29449,4.89666,8,-0.00033,14.77108
"16","2014_Q1",13.1255737704918,"Up",1.838e+09,-5.56e+08,1.282e+09,-1.046e+09,-7.24e+08,-2.17e+08,-1.05e+08,2.36e+08,-9.2e+07,-5.8e+07,-3.4e+07,1.44e+08,-8.5e+07,5.9e+07,4.9e+07,1.08e+08,1.08e+08,1.08e+08,1.08e+08,2.17e+08,2.17e+08,1.307e+09,1.307e+09,8.97e+08,5.9e+08,3.02e+08,3.011e+09,1.546e+09,1.2014e+10,5.693e+09,5.95e+09,3.71e+08,1.356e+10,1.6571e+10,1.594e+09,2.46e+08,1.348e+09,3e+06,2.27e+08,2.27e+08,1.824e+09,4.237e+09,3.971e+09,1.402e+09,2.569e+09,8.208e+09,1.0032e+10,1.6595e+10,1.6e+07,1.6579e+10,-8.57e+09,1.06e+08,6.539e+09,6.539e+09,1.6571e+10,2.75e+08,-8.4e+07,-8.4e+07,-8.4e+07,-2.44e+08,-5e+06,-3.33e+08,1.86264514923096e-09,-2.1e+08,1.5e+07,-8.5e+07,-2.95e+08,-3.53e+08,-3.53e+08,-1e+06,-3.54e+08,4.24e+09,0.6975,0.1284,0.05876,0.01652,0.00652,1.65077,1.53418,0.25587,0.08126,0.08219,1.38289,4.91987,7,0.00732,17.04661
"17","2014_Q2",13.0028571428571,"Down",1.774e+09,-5.37e+08,1.237e+09,-9.66e+08,-6.66e+08,-1.91e+08,-1.09e+08,2.71e+08,-9.1e+07,-5.4e+07,-3.7e+07,1.8e+08,-3.4e+07,1.46e+08,-1.3e+07,1.33e+08,1.33e+08,1.33e+08,1.33e+08,1.91e+08,1.91e+08,1.217e+09,1.217e+09,9.26e+08,6.02e+08,3.23e+08,2.936e+09,1.539e+09,1.186e+10,5.697e+09,5.802e+09,3.61e+08,1.3399e+10,1.6335e+10,1.516e+09,2.41e+08,1.275e+09,4e+06,1.99e+08,1.99e+08,1.719e+09,4.245e+09,3.837e+09,1.439e+09,2.398e+09,8.082e+09,9.801e+09,1.6615e+10,1.6e+07,1.6599e+10,-8.436e+09,7.2e+07,6.534e+09,6.534e+09,1.6335e+10,1.98e+08,-5.9e+07,-5.9e+07,-5.9e+07,-8e+06,-1e+07,-7.7e+07,0,-1.01e+08,2.4e+07,-4.7e+07,-1.48e+08,-2.7e+07,-2.7e+07,1e+06,-2.6e+07,4.249e+09,0.69729,0.15276,0.07497,0.02036,0.00814,1.70797,1.5,0.26012,0.10063,0.09858,1.34221,4.94363,7,0.0091,14.97417
"18","2014_Q3",12.5928125,"Down",1.873e+09,-5.63e+08,1.31e+09,-1.058e+09,-7.43e+08,-2.06e+08,-1.09e+08,2.52e+08,-6e+07,-5.4e+07,-6e+06,1.92e+08,-2.96e+08,-1.04e+08,1.08e+08,3999999.99999999,3999999.99999999,3999999.99999999,4000000.00000001,3.57e+08,3.57e+08,1.287e+09,1.287e+09,9.49e+08,6.21e+08,3.01e+08,3.214e+09,1.534e+09,1.1729e+10,5.735e+09,5.659e+09,3.35e+08,1.3263e+10,1.6477e+10,1.518e+09,2.41e+08,1.277e+09,3000000.00000001,2.52e+08,2.52e+08,1.773e+09,4.252e+09,3.908e+09,1.302e+09,2.606e+09,8.16e+09,9.933e+09,1.6651e+10,1.6e+07,1.6635e+10,-8.432e+09,4.2e+07,6.544e+09,6.544e+09,1.6477e+10,2.85e+08,-6.5e+07,-6.5e+07,-6.5e+07,-6.4e+07,5e+06,-1.24e+08,-9.31322574615479e-10,9e+06,9e+06,-3e+06,6e+06,1.67e+08,1.67e+08,-999999.999999999,1.66e+08,4.255e+09,0.69941,0.13454,0.00214000000000002,0.000609999999999996,0.000240000000000002,1.81275,1.51788,0.25824,0.00302,0.00297,1.41551,4.94559,6,0.000269999999999999,15.46825
"19","2014_Q4",12.78390625,"Up",1.846e+09,-5.51e+08,1.295e+09,-1.062e+09,-7.41e+08,-2.12e+08,-1.09e+08,2.33e+08,-8.1e+07,-5.3e+07,-2.8e+07,1.52e+08,-1.49e+08,3e+06,4e+07,4.3e+07,4.3e+07,4.3e+07,4.3e+07,2.46e+08,2.46e+08,1.233e+09,1.233e+09,9.89e+08,7.07e+08,4.04e+08,3.175e+09,1.522e+09,1.2021e+10,5.901e+09,5.732e+09,3.88e+08,1.3543e+10,1.6718e+10,1.522e+09,2.34e+08,1.288e+09,3e+06,2.95e+08,2.95e+08,1.82e+09,4.249e+09,3.948e+09,1.224e+09,2.724e+09,8.197e+09,1.0017e+10,1.6697e+10,1.6e+07,1.6681e+10,-8.389e+09,1.1e+08,6.701e+09,6.701e+09,1.6718e+10,3.46e+08,-5.6e+07,-5.6e+07,-5.6e+07,-4.15e+08,-2e+06,-4.73e+08,0,1.9e+07,1.9e+07,-1e+06,1.8e+07,-1.09e+08,-1.09e+08,-2e+06,-1.11e+08,4.252e+09,0.70152,0.12622,0.02329,0.00642,0.00257,1.74451,1.49485,0.25434,0.03244,0.03191,1.39268,5.05545,5,0.00289,17.19313
"20","2015_Q1",15.8040983606557,"Up",1.887e+09,-5.59e+08,1.328e+09,-1.071e+09,-7.52e+08,-2.08e+08,-1.11e+08,2.57e+08,-8.7e+07,-5.5e+07,-3.2e+07,1.7e+08,-7.24e+08,-5.54e+08,2.55e+08,-2.99e+08,-2.99e+08,-2.99e+08,-2.99e+08,5.87e+08,5.87e+08,1.183e+09,1.183e+09,9.46e+08,8.9e+08,4.43e+08,3.606e+09,1.507e+09,1.1911e+10,5.898e+09,5.606e+09,4.07e+08,1.3418e+10,1.7024e+10,2.212e+09,2.62e+08,1.95e+09,4.03e+08,2.31e+08,2.31e+08,2.846e+09,3.841e+09,3.88e+09,1.214e+09,2.666e+09,7.721e+09,1.0567e+10,1.6719e+10,1.6e+07,1.6703e+10,-8.689e+09,1.44e+08,6.457e+09,6.457e+09,1.7024e+10,4.4e+08,-7.9e+07,-7.9e+07,-7.9e+07,12999999.9999999,-5e+06,-7.1e+07,0,8e+06,8e+06,-3.4e+07,-2.6e+07,3.43e+08,3.43e+08,-2e+06,3.41e+08,4.244e+09,0.70376,0.1362,-0.15845,-0.04631,-0.01756,1.26704,1.63652,0.2493,-0.22535,-0.23817,1.42222,4.8666,6,-0.02051,14.22957
"21","2015_Q2",17.8703174603175,"Up",1.768e+09,-5.2e+08,1.248e+09,-9.73e+08,-6.68e+08,-1.92e+08,-1.13e+08,2.75e+08,-9.2e+07,-6e+07,-3.2e+07,1.83e+08,-2.34e+08,-5.1e+07,5e+07,-1e+06,-1e+06,-1e+06,-1e+06,2.42e+08,2.42e+08,1.161e+09,1.161e+09,9.58e+08,8.28e+08,4.89e+08,3.189e+09,1.458e+09,1.1825e+10,5.896e+09,5.499e+09,4.3e+08,1.3283e+10,1.6472e+10,1.74e+09,2.28e+08,1.512e+09,4.23e+08,3e+08,3e+08,2.463e+09,3.845e+09,3.663e+09,9.63e+08,2.7e+09,7.508e+09,9.971e+09,1.6766e+10,1.6e+07,1.675e+10,-8.69e+09,1.42e+08,6.501e+09,6.501e+09,1.6472e+10,-1.97e+08,-4.6e+07,-4.6e+07,-4.6e+07,561323604.754571,-5e+06,-5.1e+07,0,5.4e+07,5.4e+07,-1.48e+08,-9.4e+07,-3.42e+08,-3.42e+08,-3e+06,-3.45e+08,4.268e+09,0.70588,0.15554,-0.00057,-0.00015,-6e-05,1.29476,1.53376,0.25911,-0.00075,-0.00075,1.32564,4.87441,4,-7e-05,14.64
"22","2015_Q3",17.09296875,"Down",1.843e+09,-5.4e+08,1.303e+09,-1.035e+09,-6.99e+08,-2.2e+08,-1.16e+08,2.68e+08,-1.33e+08,-1.07e+08,-2.6e+07,1.35e+08,-30000000.0000001,1.05e+08,-2999999.99999997,1.02e+08,1.02e+08,1.02e+08,1.02e+08,9.03e+08,9.03e+08,1.195e+09,1.195e+09,9.68e+08,7.07e+08,3.91e+08,3.773e+09,1.451e+09,1.1899e+10,5.93e+09,5.442e+09,5.27e+08,1.335e+10,1.7123e+10,1.592e+09,1.91e+08,1.401e+09,4.3e+07,3.02e+08,3.02e+08,1.937e+09,5.069e+09,3.537e+09,8.99e+08,2.638e+09,8.606e+09,1.0543e+10,1.678e+10,1.6e+07,1.6764e+10,-8.587e+09,1.04e+08,6.58e+09,6.58e+09,1.7123e+10,6e+07,-4.6e+07,-4.6e+07,-4.6e+07,-6.3e+07,-1.37e+08,-2.46e+08,8.31e+08,1.6e+07,1.6e+07,-1e+06,8.46e+08,6.6e+08,6.6e+08,1e+06,6.61e+08,5.112e+09,0.707,0.14542,0.05534,0.0155,0.00596,1.94786,1.60228,0.29855,0.07605,0.0749,1.37404,4.90569,5,0.0067,15.70522
"23","2015_Q4",17.91875,"Up",1.888e+09,-5.4e+08,1.348e+09,-1.08e+09,-7.28e+08,-2.2e+08,-1.32e+08,2.68e+08,-8.4e+07,-5.8e+07,-2.6e+07,1.84e+08,-5.5e+08,-3.66e+08,1.68e+08,-1.98e+08,-1.98e+08,-1.98e+08,-1.98e+08,3.5e+08,3.5e+08,1.274e+09,1.274e+09,1.086e+09,7.52e+08,3.85e+08,3.462e+09,1.479e+09,1.3274e+10,6.468e+09,6.228e+09,5.78e+08,1.4753e+10,1.8215e+10,1.815e+09,2.1e+08,1.605e+09,6.3e+07,3.6e+08,3.6e+08,2.238e+09,5.796e+09,3.771e+09,7.7e+08,3.001e+09,9.567e+09,1.1805e+10,1.6831e+10,1.6e+07,1.6815e+10,-8.785e+09,8.1e+07,6.41e+09,6.41e+09,1.8215e+10,4.08e+08,-7e+07,-7e+07,-7e+07,-1.579e+09,-7e+07,-1.719e+09,7.49e+08,2.7e+07,2.7e+07,-1.5e+07,7.61e+08,-5.5e+08,-5.5e+08,-3e+06,-5.53e+08,5.859e+09,0.71398,0.14195,-0.10487,-0.03089,-0.01087,1.54692,1.84165,0.32166,-0.14732,-0.14732,1.40476,4.76935,4,-0.01234,20.55597
"24","2016_Q1",17.5659016393443,"Down",1.978e+09,-5.73e+08,1.405e+09,-1.156e+09,-7.78e+08,-2.44e+08,-1.34e+08,2.49e+08,-1.28e+08,-5.9e+07,-6.9e+07,1.21e+08,-4.59e+08,-3.38e+08,1.96e+08,-1.42e+08,-1.42e+08,-1.42e+08,-1.42e+08,3.19e+08,3.19e+08,1.275e+09,1.275e+09,1.016e+09,8.61e+08,3.65e+08,3.471e+09,1.49e+09,1.3172e+10,6.473e+09,6.194e+09,5.05e+08,1.4662e+10,1.8133e+10,2.179e+09,2.09e+08,1.97e+09,2999999.99999999,2.48e+08,2.48e+08,2.43e+09,5.674e+09,3.709e+09,7.35e+08,2.974e+09,9.383e+09,1.1813e+10,1.6876e+10,1.6e+07,1.686e+10,-8.927e+09,8.8e+07,6.32e+09,6.32e+09,1.8133e+10,4.2e+08,-8.5e+07,-8.5e+07,-8.5e+07,-92000000.0000005,7e+06,-1.7e+08,-1.95e+08,1.7e+07,1.7e+07,-5.8e+07,-2.36e+08,1.4e+07,1.4e+07,999999.999999999,15000000.0000002,5.677e+09,0.71031,0.12588,-0.07179,-0.02247,-0.00783,1.4284,1.86915,0.31308,-0.10551,-0.10715,1.46976,4.69609,6,-0.00904,21.51807
"25","2016_Q2",21.63359375,"Up",1.964e+09,-5.73e+08,1.391e+09,-1.062e+09,-7.16e+08,-2.1e+08,-1.36e+08,3.29e+08,-8.4e+07,-5.9e+07,-2.5e+07,2.45e+08,-1.7e+07,2.28e+08,-2.6e+07,2.02e+08,2.02e+08,2.02e+08,2.02e+08,3.38e+08,3.38e+08,1.291e+09,1.291e+09,1.022e+09,5.13e+08,4.37e+08,3.164e+09,1.464e+09,1.309e+10,6.477e+09,6.062e+09,5.51e+08,1.4554e+10,1.7718e+10,2.024e+09,2.32e+08,1.792e+09,2.53e+08,3.31e+08,3.31e+08,2.608e+09,5.424e+09,3.229e+09,2.95e+08,2.934e+09,8.653e+09,1.1261e+10,1.6864e+10,1.6e+07,1.6848e+10,-8.725e+09,3.5e+07,6.457e+09,6.457e+09,1.7718e+10,1.16e+08,-3e+07,-6e+07,-6e+07,397872568.128394,-1.8e+07,-4.8e+07,0,2.7e+07,2.7e+07,-7.8e+07,-5.1e+07,1.7e+07,1.7e+07,2e+06,1.9e+07,5.677e+09,0.70825,0.16752,0.10285,0.03128,0.0114,1.21319,1.744,0.32041,0.14959,0.14746,1.45438,4.78155,5,0.01315,16.22796
"26","2016_Q3",23.855625,"Up",2.126e+09,-6.38e+08,1.488e+09,-1.137e+09,-7.81e+08,-2.21e+08,-1.35e+08,3.51e+08,-8.3e+07,-5.9e+07,-2.4e+07,2.68e+08,-6.65e+08,-3.97e+08,1.9e+08,-2.07e+08,-2.07e+08,-2.07e+08,-2.07e+08,4.38e+08,4.38e+08,1.387e+09,1.387e+09,9.81e+08,5.24e+08,4.46e+08,3.33e+09,1.487e+09,1.3021e+10,6.475e+09,5.93e+09,6.16e+08,1.4508e+10,1.7838e+10,2.52e+09,2.84e+08,2.236e+09,2.54e+08,4.08e+08,4.08e+08,3.182e+09,5.173e+09,3.263e+09,2.4e+07,3.239e+09,8.436e+09,1.1618e+10,1.6941e+10,1.8e+07,1.6923e+10,-8.934e+09,-7e+07,6.22e+09,6.22e+09,1.7838e+10,4.21e+08,-7.9e+07,-7.8e+07,-7.8e+07,-9.5367431640625e-07,-2.3e+07,-1.02e+08,-2.5e+08,4.6e+07,4.6e+07,-1.3e+07,-2.17e+08,1.02e+08,1.02e+08,-2e+06,1e+08,5.427e+09,0.69991,0.1651,-0.09737,-0.03328,-0.0116,1.04651,1.86785,0.30424,-0.1525,-0.1525,1.56623,4.58229,5,-0.01388,14.21368
"27","2016_Q4",21.8193650793651,"Down",2.105e+09,-5.94e+08,1.511e+09,-1.141e+09,-7.71e+08,-2.33e+08,-1.37e+08,3.7e+08,-1.11e+08,-5.7e+07,-5.4e+07,2.59e+08,-2e+06,2.57e+08,-2.9e+07,2.28e+08,2.28e+08,2.28e+08,2.28e+08,2.37e+08,2.37e+08,1.385e+09,1.385e+09,9.98e+08,5.61e+08,4.77e+08,3.181e+09,1.5e+09,1.3016e+10,6.498e+09,5.838e+09,6.8e+08,1.4516e+10,1.7697e+10,2.397e+09,2.98e+08,2.099e+09,2.54e+08,3.65e+08,3.65e+08,3.016e+09,5.171e+09,3.028e+09,2.6e+07,3.002e+09,8.199e+09,1.1215e+10,1.7004e+10,1.9e+07,1.6985e+10,-8.706e+09,-9.9e+07,6.482e+09,6.482e+09,1.7697e+10,-3.1e+07,-7.1e+07,-7.1e+07,-7.1e+07,-7e+07,-6.4e+07,-2.05e+08,0,3.5e+07,3.5e+07,-1e+06,3.4e+07,-2.02e+08,-2.02e+08,1e+06,-2.01e+08,5.425e+09,0.71781,0.17577,0.10831,0.03517,0.01288,1.05471,1.73018,0.30655,0.16757,0.16525,1.54711,4.76407,5,0.01527,14.02162
"28","2017_Q1",24.3159677419355,"Up",2.191e+09,-6.19e+08,1.572e+09,-1.224e+09,-8.31e+08,-2.56e+08,-1.37e+08,3.48e+08,-7.1e+07,-5.8e+07,-1.3e+07,2.77e+08,-1.88e+08,8.9e+07,3.5e+07,1.24e+08,1.24e+08,1.24e+08,1.24e+08,1.96e+08,1.96e+08,1.472e+09,1.472e+09,9.55e+08,6.16e+08,5.41e+08,3.239e+09,1.63e+09,1.3227e+10,6.678e+09,5.883e+09,6.66e+08,1.4857e+10,1.8096e+10,2.759e+09,4.47e+08,2.312e+09,6.4e+07,7.64e+08,7.64e+08,3.587e+09,5.42e+09,2.356e+09,1.8e+07,2.338e+09,7.776e+09,1.1363e+10,1.703e+10,1.6e+07,1.7014e+10,-8.581e+09,1e+06,6.733e+09,6.733e+09,1.8096e+10,6.76e+08,-1.67e+08,-1.67e+08,-1.67e+08,-3.38e+08,-2.7e+07,-5.32e+08,6e+07,3e+06,3000000.00000001,-3.5e+07,2.8e+07,1.72e+08,1.72e+08,-3e+06,1.69e+08,5.484e+09,0.71748,0.15883,0.0566,0.01842,0.00685,0.90298,1.68766,0.30305,0.09104,0.08846,1.60866,4.94347,7,0.00851,15.1954
"29","2017_Q2",26.5398412698413,"Up",2.16e+09,-6.5e+08,1.51e+09,-1.172e+09,-7.94e+08,-2.35e+08,-1.43e+08,3.38e+08,-7.6e+07,-5.7e+07,-1.9e+07,2.62e+08,4.3e+07,3.05e+08,-1.5e+07,2.9e+08,2.9e+08,2.9e+08,2.9e+08,1.56e+08,1.56e+08,1.429e+09,1.429e+09,9.71e+08,4.7e+08,4.05e+08,3.026e+09,1.652e+09,1.3265e+10,6.68e+09,5.743e+09,8.42e+08,1.4917e+10,1.7943e+10,2.674e+09,3.76e+08,2.298e+09,5e+06,8.11e+08,8.11e+08,3.49e+09,5.509e+09,1.891e+09,1.9e+07,1.872e+09,7.4e+09,1.089e+10,1.7031e+10,1.6e+07,1.7015e+10,-8.215e+09,-4.6e+07,7.053e+09,7.053e+09,1.7943e+10,-7e+06,-1.12e+08,-1.12e+08,-1.12e+08,0,-2.8e+07,-1.4e+08,3.1e+07,3.3e+07,3.3e+07,-7.9e+07,-1.5e+07,-1.62e+08,-1.62e+08,1e+06,-1.61e+08,5.514e+09,0.69907,0.15648,0.13426,0.04112,0.01616,0.86705,1.54402,0.30731,0.21239,0.2086,1.58195,5.16552,3,0.02006,15.85207
"30","2017_Q3",27.6165079365079,"Up",2.258e+09,-6.32e+08,1.626e+09,-1.202e+09,-8.15e+08,-2.45e+08,-1.42e+08,4.24e+08,-1.51e+08,-5.8e+07,-9.3e+07,2.73e+08,-1.82e+08,9.1e+07,5.5e+07,1.46e+08,1.46e+08,1.46e+08,1.46e+08,1.95e+08,1.95e+08,1.444e+09,1.444e+09,1.023e+09,5.6e+08,4.85e+08,3.222e+09,1.651e+09,1.3509e+10,6.871e+09,5.921e+09,7.17e+08,1.516e+10,1.8382e+10,2.614e+09,3.76e+08,2.238e+09,1.018e+09,6.68e+08,6.68e+08,4.3e+09,4.817e+09,2.03e+09,5.8e+07,1.972e+09,6.847e+09,1.1147e+10,1.7073e+10,1.6e+07,1.7057e+10,-8.068e+09,-5.3e+07,7.235e+09,7.235e+09,1.8382e+10,2.97e+08,-6.8e+07,-6.8e+07,-6.8e+07,-3.92e+08,-1.9e+07,-4.79e+08,3.22e+08,1.1e+07,1.1e+07,-1e+06,3.32e+08,1.5e+08,1.5e+08,1e+06,1.51e+08,5.835e+09,0.72011,0.18778,0.06466,0.02018,0.00794,0.7493,1.5407,0.31743,0.10658,0.10495,1.64842,5.28179,7,0.00967,13.30189
"31","2017_Q4",27.5811111111111,"Down",2.222e+09,-6.37e+08,1.585e+09,-1.192e+09,-7.99e+08,-2.54e+08,-1.39e+08,3.93e+08,-8.4e+07,-5.7e+07,-2.7e+07,3.09e+08,1e+06,3.1e+08,-2.7e+07,2.83e+08,2.83e+08,2.83e+08,2.83e+08,2.1e+08,2.1e+08,1.47e+09,1.47e+09,1.077e+09,7.21e+08,6.45e+08,3.478e+09,1.678e+09,1.348e+10,6.882e+09,5.783e+09,8.15e+08,1.5158e+10,1.8636e+10,2.922e+09,3.71e+08,2.551e+09,1.266e+09,6.4e+08,6.4e+08,4.828e+09,4.416e+09,1.804e+09,6.6e+07,1.738e+09,6.22e+09,1.1048e+10,1.7141e+10,1.6e+07,1.7125e+10,-7.785e+09,-5.1e+07,7.588e+09,7.588e+09,1.8636e+10,4.52e+08,-6e+07,-6e+07,-6e+07,0,-4.2e+07,-1.02e+08,-1.6e+08,3.5e+07,3.5e+07,-1.4e+07,-1.39e+08,2.11e+08,2.11e+08,1e+06,2.12e+08,5.682e+09,0.71332,0.17687,0.12736,0.0373,0.01519,0.72038,1.45598,0.30489,0.20627,0.203,1.61953,5.53061,6,0.01877,13.92366
