"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2013_Q2",0.59265625,"Down",49763000,-43964000,5799000,-6212000,-6212000,-413000,-492000,-614000,122000,-905000,-905000,-93000,-998000,1937000,1937000,1937000,5530000,5530000,27411000,27411000,5600000,4877000,38541000,2260000,6664000,2806000,3023000,8924000,47465000,14763000,10430000,4333000,8140000,8140000,22903000,168000,23071000,38778000,-11952000,24394000,24394000,47465000,1937000,511000,44000,6340000,8832000,-20000,-20000,-1958000,-6587000,-6587000,287000,287000,287000,98000,168000,6511000,0.11653,-0.0083,0.03892,0.0794,0.04081,3.36138,1.68279,0.94577,0.00354,0.07163,0.07134,1.84028,0.90211,0.24078,0.07886,0.26508,-54.71429,12.98305
"12","2013_Q3",1.09140625,"Up",50648000,-45136000,5512000,-6367000,-6367000,-855000,-633000,-422000,-211000,-1488000,-1488000,-99000,-1587000,-1587000,-1587000,-1587000,784000,784000,41914000,41914000,4325000,3325000,47023000,2333000,10018000,2806000,5852000,12351000,59374000,13961000,5785000,8176000,4988000,4511000,33637000,0,33637000,38598000,-10429000,25737000,25737000,59374000,-1587000,475000,-2650000,85999.9999999991,-3676000,-54000,-54000,8989000,-5554000,-5554000,-241000,-241000,-241000,-380000,14688000,-249000,0.10883,-0.01688,-0.03133,-0.06166,-0.02673,0.1569,1.39795,1.30695,0.24738,-0.05869,-0.05869,1.87301,0.95178,-0.00920999999999997,-0.03926,-0.00616,-36.58947,-16.26199
"13","2013_Q4",1.33703125,"Up",43298000,-38094000,5204000,-5203000,-5203000,1000,-503000,-510000,7000,-502000,-15000,-35000,-50000,-50000,-50000,-50000,1309000,1309000,26561000,26561000,4407000,3615000,32277000,3093000,10713000,2806000,6793000,13806000,46083000,10663000,7755000,2908000,6917000,6501000,19884000,506000,20390000,38604000,-10479000,25693000,25693000,46083000,-50000,477000,-724000,268000,-29000,-1583000,0,14236000,-13682000,-13682000,525000,525000,525000,478000,2810000,-802000,0.12019,2e-05,-0.00115,-0.00195,-0.00108,16.04,1.62326,0.7936,0.06098,-0.00185,-0.00185,1.59872,0.94868,-0.02961,-0.00175,-0.02814,3.14017,1501
"14","2014_Q1",1.53901639344262,"Up",25254000,-20467000,4787000,-4298000,-4298000,489000,-160000,-496000,336000,329000,563000,-201000,362000,-3289000,-3289000,-3289000,3955000,3955000,26846000,26846000,5752000,4703000,36553000,2655000,6593000,2806000,3787000,9248000,45801000,11946000,9070000,2876000,11032000,11032000,22978000,340000,23318000,38683000,-13768000,22483000,22483000,45801000,-3289000,606000,3498000,3989000,4804000,821000,-762000,-1122000,-1036000,-1036000,2646000,2646000,2646000,1095000,339999.999999998,6106000,0.18955,0.01936,-0.13024,-0.14629,-0.07181,-1.85649,1.59078,1.03714,0.00742,-0.12182,-0.12232,0.93537,0.83273,0.22616,-0.14411,0.26754,-3.30137000000001,-7.39264000000003
"15","2014_Q2",2.67555555555556,"Up",26898000,-20814000,6084000,-4119000,-4119000,1965000,-73000,-32000,-41000,1892000,1892000,-75000,1817000,1817000,1817000,1817000,4149310.32928352,4149310.32928352,30556403.5999015,30556403.5999015,6460772.15934788,5473314.11404019,41166486.0885329,2479282.72930746,5788327.68706847,2812882.05331376,2701792.79931798,8267610.41637593,49434096.5049088,13289492.6546388,10060320.3673699,3229172.28726887,12026401.474647,12117030.6920578,25950277.2414905,337125.878106449,26287403.119597,38805174.7579757,-13228117.8448677,23146693.3853118,23146693.3853118,49434096.5049088,1817000,598000,92000,-452000,2055000,-60000,-60000,-60000,-420000,-420000,1575000,1575000,1575000,2563000,0,2126000,0.22619,0.07305,0.06755,-0.0870659650855237,-0.0425356478576395,1.17006,1.58897110218068,1.1235554516503,0.0135381254488581,0.06709,0.06686,0.99317,0.845381061135027,0.0785,-0.0846892431766766,0.113684594721872,-7.47382666737849,-475.82633222668
"16","2014_Q3",2.81359375,"Up",27170000,-21380000,5790000,-4246000,-4246000,1544000,153000,-11000,164000,1697000,1697000,-106000,1591000,1591000,1591000,1591000,4060000,4060000,31056000,31056000,6375000,5826000,41491000,2472000,7057000,2806000,3561000,9529000,51020000,12239000,8833000,3406000,12209000,12209000,24448000,431000,24879000,38934000,-10361000,26141000,26141000,51020000,1591000,588000,82000,-3552000,-1291000,-654000,-654000,-654000,475000,475000,-1470000,-1470000,-1470000,2132000,431000,-1968000,0.2131,0.05683,0.05856,0.0608599999999999,0.03118,-1.23696,1.69711,0.95172,0.00845,0.05746,0.0574,0.98129,0.94413,-0.07108,0.05988,-0.07406,-1.70216,-2.35039000000049
"17","2014_Q4",1.88,"Down",26926000,-20844000,6082000,-4e+06,-4e+06,2082000,-41000,-36000,-5000,2041000,2041000,-231000,1810000,1810000,1810000,1810000,5741000,5741000,30546000,30546000,5941000,5692000,42228000,2170000,7357000,2805000,4552000,9527000,51755000,9583000,5109000,4474000,13831000,13831000,23414000,286000,23700000,39038000,-8551000,28055000,28055000,51755000,1810000,611000,106000,-136000,2391000,527000,527000,527000,-1094000,-1237000,1681000,1681000,1681000,2693000,286000,3315000,0.22588,0.07732,0.06722,0.06452,0.03497,1.83149,1.80354,0.84477,0.00553,0.06527,0.06527,0.97097,1.01168,0.11954,0.06387,0.11697,-2.02562,-2.62008
"18","2015_Q1",1.78049180327869,"Down",26906000,-21414000,5492000,-4203000,-4203000,1289000,-256000,-9000,-247000,1033000,1033000,-220000,813000,813000,813000,813000,6213000,6213000,30026000,30026000,6609000,5711000,42848000,2074000,6734000,2806000,3928000,8808000,51656000,9492000,5855000,3637000,12916000,12916000,22408000,216000,22624000,39131000,-7737000,29032000,29032000,51656000,813000,529000,164000,-894000.000000001,612000,-251000,-251000,195000,-333000,-335000,472000,472000,472000,1818000,216000,893000,0.20412,0.04791,0.03022,0.028,0.01574,1.0984,1.91217,0.77928,0.00418,0.02879,0.02892,0.95283,1.02812,0.03162,0.0278,0.03053,-3.29868,-4.65244
"19","2015_Q2",1.52920634920635,"Down",23102000,-18980000,4122000,-4004000,-4004000,118000,597000,-22000,619000,715000,715000,-92000,623000,623000,623000,623000,6029000,6029000,27506000,27506000,9650000,8906000,43185000,2051000,3647000,2806000,841000,5698000,48883000,8260000,4198000,4062000,10520000,10520000,18780000,324000,19104000,39256000,-7115000,29779000,29779000,48883000,623000,436000,125000,-1884000,-7e+05,-313000,-313000,670000,-150000,-154000,-184000,-184000,-184000,554000,324000,-1551000,0.17843,0.00511,0.02697,0.02092,0.01274,-2.48957,2.29952,0.64153,0.00663,0.02234,0.02234,0.82856,1.06804,-0.05563,0.0207,-0.05152,-10.29783,-48.34746
"20","2015_Q3",1.13421875,"Down",21053000,-16444000,4609000,-3555000,-3555000,1054000,-18000,-44000,26000,1036000,1036000,-60000.0000000001,976000,976000,976000,976000,9315000,9315000,27310000,27310000,5167000,4593000,41792000,2247000,3603000,2806000,797000,5850000,47642000,6395000,3312000,3083000,9951000,9951000,16346000,416000,16762000,39380000,-6138000,30880000,30880000,47642000,976000,348000,124000,-2709000,-1261000,-336000,-336000,4764000,-214000,-217000,3286000,3286000,3286000,1402000,416000,-1583000,0.21892,0.05006,0.04636,0.03161,0.02049,-1.62193,2.55671,0.54281,0.00873,0.03484,0.03484,0.75144,1.10219,-0.0565,0.03119,-0.05058,-6.34736,-8.44307
"21","2015_Q4",1.0578125,"Down",18210000,-14437000,3773000,-3350000,-3350000,423000,-36000,-32000,-4000,387000,387000,-67000,320000,320000,320000,320000,11878000,11878000,24615000,24615000,2770000,2386000,39263000,2319000,3581000,2806000,775000,5900000,45163000,6217000,2720000,3497000,7233000,7233000,13450000,4e+05,13850000,37142000,-5818000,31313000,31313000,45163000,320000,326000,125000,2139000,2910000,-224000,-224000,-224000,-112000,-123000,2563000,2563000,2563000,749000,4e+05,2731000,0.20719,0.02323,0.01757,0.01022,0.00709,8.53438,2.91918,0.44231,0.00886,0.01139,0.01139,0.64797,1.11422,0.09718,0.01009,0.08612,-15.32443,-27.13475
"22","2016_Q1",0.947049180327869,"Down",17240000,-13476000,3764000,-3259000,-3259000,505000,-321000,455000,-776000,184000,184000,8433000,8617000,8617000,8617000,8617000,7806000,7806000,24097000,24097000,5521000,4213000,37424000,2145000,12631000,2806000,688000,14776000,52200000,6268000,3182000,3086000,5602000,5602000,11870000,318000,12188000,37213000,2799000,40012000,40012000,52200000,8617000,346000,-9013000,-3746000,-3796000,-132000,-132000,-131999.999999999,-101000,-144000,-4072000,-4072000,-4072000,851000,318000,-11460000,0.21833,0.02929,0.49983,0.21536,0.16508,-1.32993,3.15282,0.30461,0.00609,0.30676,0.30677,0.61374,1.42442,-0.40797,0.21366,-0.28416,-8.79906,-14.82772
"23","2016_Q2",1.20765625,"Up",14812000,-13139000,1673000,-3390000,-3390000,-1717000,-30000,-36000,6000,-1747000,-1747000,998000,-749000,-749000,-749000,-749000,11785000,11785000,19326000,19326000,4619000,4619000,35730000,1899000,13679000,2806000,692000,15578000,51308000,6367000,2946000,3421000,5493000,5493000,11860000,316000,12176000,37082000,2050000,39132000,39132000,51308000,-749000,321000,-922000,5722000,4372000,-45000,-45000,-45000,-95000,-348000,3979000,3979000,3979000,-1396000,316000,3283000,0.11295,-0.11592,-0.05057,-0.01914,-0.0146,-4.38318,3.01265,0.31115,0.00616,-0.0268,-0.0268,0.52995,1.40007,0.11746,-0.01899,0.08322,8.21562,6.67967
"24","2016_Q3",1.37875,"Up",13842000,-11989000,1853000,-3313000,-3313000,-1460000,-48000,-49000,1000,-1508000,-1508000,-95000,-1603000,-1603000,-1603000,-1603000,14739000,14739000,14274000,14274000,4520000,4520000,33533000,1670000,13548000,2806000,542000,15218000,48751000,6078000,3627000,2451000,5065000,5065000,11143000,185000,11328000,36976000,447000,37423000,37423000,48751000,-1603000,298000,102000.000000001,4495000,3292000,-39000,-39000,-10000,-82000,-328000,2954000,2954000,2954000,-1162000,185000,3389000,0.13387,-0.10548,-0.11581,-0.04283,-0.03288,-2.11416,3.00933,0.3027,0.00379,-0.05762,-0.0576200000000001,0.49759,1.34528,0.12183,-0.04262,0.09011,12.52496,9.96849
"25","2016_Q4",1.53825396825397,"Up",15968000,-12087000,3881000,-3511000,-3511000,370000,-34000,-44000,10000,336000,336000,153000,489000,489000,489000,489000,16145000,16145000,13071000,13071000,2747000,2747000,31963000,1451000,13800000,2806000,620000,15251000,47214000,6102000,3458000,2644000,3559000,3559000,9661000,137000,9798000,36480000,936000,37416000,37416000,47214000,489000,249000,-49000,1405000,2094000,0,0,1000,-68000,-689000,1406000,1406000,1406000,619000,137000,1871000,0.24305,0.02317,0.03062,0.01307,0.01036,3.82618,3.30846,0.26187,0.0029,0.01765,0.01765,0.57644,1.35071,0.06754,0.01302,0.04982,-25.86107,-43.26486
"26","2017_Q1",2.35032258064516,"Up",14602000,-11897000,2705000,-3136000,-3136000,-431000,-19000,171000,-190000,-450000,-450000,-29000,-479000,-479000,-479000,-479000,15687000,15687000,10455000,10455000,3674000,2434000,29816000,1194000,13426000,2806000,412000,14620000,44436000,4975000,2876000,2099000,2641000,2641000,7616000,14000,7630000,36349000,457000,36806000,36806000,44436000,-479000,275000,281000,-270000,-193000,20000,20000,105000,-117000,-370000,-458000,-458000,-458000,-156000,14000,-377000,0.18525,-0.02952,-0.0328,-0.01301,-0.01078,0.787059999999999,3.91492,0.2073,0.00032,-0.01765,-0.01765,0.53797,1.356,-0.01389,-0.01301,-0.01024,100.46795,36.36427
"27","2017_Q2",1.40619047619048,"Down",12473000,-10742000,1731000,-3406000,-3406000,-1675000,-62000,-65000,3000,-1737000,-1737000,859000,-878000,-878000,-878000,-878000,14373000,14373000,7981000,7981000,4418000,3429000,26772000,1363000,14207000,2806000,345000,15570000,42342000,3740000,1900000,1840000,2570000,2570000,6310000,29000,6339000,36424000,-421000,36003000,36003000,42342000,-878000,269000,-773000,509000,-873000,-408000,-408000,-398000,-43000,-43000,-1314000,-1314000,-1314000,-1406000,29000,-2164000,0.13878,-0.13429,-0.07039,-0.02439,-0.02074,2.46469,4.24279,0.17607,0.00068,-0.03229,-0.03229,0.45877,1.32422,-0.07959,-0.02437,-0.06006,10.20199,8.56358
"28","2017_Q3",1.24714285714286,"Down",15966000,-13453000,2513000,-3057000,-3057000,-544000,41000,-11000,52000,-503000,-503000,-392000,-895000,-895000,-895000,-895000,11172000,11172000,11464000,11464000,5071000,4418000,27707000,1231000,13757000,2806000,262000,14988000,42695000,4092000,2166000,1926000,3419000,3419000,7511000,63000,7574000,36436000,-1315000,35121000,35121000,42695000,-894000,274000,584000,-2931000,-2967000,-112000,-112000,-82000.0000000001,-61000,-152000,-3201000,-3201000,-3201000,-270000,63000,-2921000,0.1574,-0.03407,-0.05606,-0.02548,-0.02096,3.26369,3.68886,0.21565,0.00148,-0.03298,-0.03298,0.58837,1.29426,-0.10764,-0.02544,-0.08302,41.14444,20.42096
"29","2017_Q4",0.972222222222222,"Down",12897000,-11276000,1621000,-3040000,-3040000,-1419000,-17000,-19000,2000,-1436000,-1436000,-10717000,-12153000,-12153000,-12153000,-12153000,10898000,10898000,10579000,10579000,4627000,4099000,26104000,1084000,3057000,2806000,251000,4141000,30245000,3885000,2174000,1711000,3056000,3056000,6941000,2000,6943000,36771000,-13469000,23302000,23302000,30245000,-12154000,248000,10910000,840000,-156000,-70000,-70000,-65000,-53000,-53000,-274000,-274000,-274000,-1171000,2000,10316000,0.12569,-0.11003,-0.94231,-0.52154,-0.40182,-0.84884,3.76084,0.29796,7e-05,-0.44278,-0.44278,0.46989,0.84898,0.37585,-0.5215,0.44267,9.30487,7.67865
"30","2018_Q1",0.838032786885246,"Down",14429000,-13856000,573000,-3078000,-3078000,-2505000,10000,171000,-161000,-2495000,-2495000,163000,-2332000,-2332000,-2332000,-2332000,9648000,9648000,9114000,9114000,6267000,5273000,25029000,1027000,3196000,2806000,390000,4223000,29252000,5781000,3742000,2039000,2402000,2402000,8183000,7.27595761418343e-12,8183000,36870000,-15801000,21069000,21069000,29252000,-2332000,179000,98999.9999999981,946000,-1108000,-123000,-123000,-119000,-23000,-23000,-1250000,-1250000,-1250000,-2326000,0,-1666000,0.03971,-0.17361,-0.16162,-0.11068,-0.07972,0.71441,3.05866,0.38839,2.43945488809238e-19,-0.0843800000000001,-0.0843800000000001,0.52209,0.76235,-0.06028,-0.11068,-0.07907,4.14789,3.8515
"31","2018_Q2",1.0175,"Up",13188000,-11775000,1413000,-2582000,-2582000,-1169000,-14000,-9000,-5000,-1183000,-1183000,-17000,-1200000,-1200000,-1200000,-1200000,6767000,6767000,9588000,9588000,5307000,4677000,21662000,880000,3177000,2806000,371000,4057000,25719000,4936000,3372000,1564000,838000,838000,5774000,0,5774000,36946000,-17001000,19945000,19945000,25719000,-1200000,156000,76000,-1863000,-2831000,-8000,-8000,-4000,-46000,-46000,-2881000,-2881000,-2881000,-1013000,0,-2867000,0.10714,-0.08864,-0.09099,-0.06017,-0.04666,2.38917,3.75165,0.2895,0,-0.04361,-0.04361,0.47932,0.7249,-0.1042,-0.06017,-0.14375,6.68016,5.78871
"32","2018_Q3",1.13031746031746,"Up",13871000,-11619000,2252000,-2869000,-2869000,-617000,-378000,-5000,-373000,-995000,-995000,3000.00000000047,-992000,-992000,-992000,-992000,5444000,5444000,9959000,9959000,7595000,6993000,22998000,803000,3177000,2806000,371000,3980000,26978000,6718000,4611000,2107000,1261000,1261000,7979000,-1.81898940354586e-12,7979000,36992000,-17993000,18999000,18999000,26978000,-992000,133000,45999.9999999995,-435000,-1248000,-57000,-57000,-47000,-28000,-28000,-1323000,-1323000,-1323000,-484000,1.81898940354586e-12,-979000,0.16235,-0.04448,-0.07152,-0.05221,-0.03677,0.9869,2.88232,0.41997,-5.42101086242752e-20,-0.03606,-0.03606,0.50422,0.69062,-0.03559,-0.05221,-0.05153,11.24793,8.82334
"33","2018_Q4",0.849047619047619,"Down",14255000,-11961000,2294000,-2484000,-2484000,-190000,11000,0,11000,-179000,-179000,-17000,-196000,-196000,-196000,-196000,5252000,5252000,10493000,10493000,4606000,4291000,20351000,732000,3177000,2806000,371000,3909000,24260000,4883000,3297000,1586000,526000,526000,5409000,0,5409000,37040000,-18189000,18851000,18851000,24260000,-196000,97000,47000,-133000,-185000,-24000,-24000,-19000,12000,12000,-192000,-192000,-192000,-93000,0,-233000,0.16093,-0.01333,-0.01375,-0.0104,-0.00808,1.18878,3.76243,0.28693,0,-0.00712,-0.00712,0.51819,0.68527,-0.00847,-0.0104,-0.01236,56.47312,27.64211
