"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","income_loss_from_affiliates","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","common_stock","additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2013_Q2",20.28921875,"Up",282618000,-80433000,202185000,-122515000,-63188000,-30597000,-28730000,79670000,-38292000,-37697000,-1052000,457000,41378000,-16014000,25364000,-8849000,16515000,16870000,127000,16997000,16997000,25825000,25825000,196898000,196898000,70209000,9936000,44559000,292932000,431542000,2010054000,710668000,1067330000,232056000,2441596000,2734528000,184888000,176252000,46366000,77962000,68802000,309216000,2203577000,319022000,89334000,2522599000,2831815000,609052000,817000,608235000,-708748000,-5032000,-104728000,7441000,-97287000,2734528000,16870000,14659000,21862000,-3689000,49702000,6830000,-20014000,-14942000,-12048000,-11909000,-7843000,-31800000,2960000,2960000,2960000,94329000,2249943000,106319000,0.7154,0.2819,0.06014,-0.17471,0.00622,6.25516,0.94734,-29.10785,0.82279,0.20935,0.20712,3.4809,-1.2899,1.30949,0.14839,0.01175,0.04301,0.70883,23.57831,27.91663
"12","2013_Q3",22.0375,"Up",314154000,-85694000,228460000,-124798000,-64744000,-30662000,-29392000,103662000,-45387000,-45465000,-404000,482000,58275000,-35665000,22610000,-9654000,12956000,18059000,-233000,17826000,17826000,550812000,550812000,210802000,210802000,45307000,11788000,33519000,806921000,454814000,2081658000,743158000,1105005000,233495000,2536472000,3343393000,141069000,138613000,19094000,66125000,55379000,226288000,2407680000,323417000,82374000,2731097000,2957385000,1089636000,997000,1088639000,-705846000,-5071000,378719000,7289000,386008000,3343393000,18059000,15168000,20276000,-49835000,3667999.99999999,9512000,-23402000,-111694000,-14924000,193437000,-17900000,633013000,524987000,524987000,524987000,118830000,2426774000,88161000,0.72722,0.32997,0.05674,0.04618,0.00533,4.94564,3.5659,7.66146,0.72584,0.19359,0.19044,3.41164,4.1128,0.95741,0.16207,0.01044,0.02811,0.8372,15.78694,18.09691
"13","2013_Q4",26.44,"Up",338644000,-98939000,239705000,-148775000,-82224000,-34576000,-31975000,90930000,-37808000,-39867000,1571000,488000,53122000,-18082000,35040000,-4489000,30551000,36651000,-309000,36342000,36342000,228994000,228994000,250054000,250054000,108534000,14780000,87854000,587582000,513382000,2516709000,917888000,1297638000,301183000,3030091000,3617673000,216877000,215191000,16622000,107212000,102171000,340711000,2436386000,424338000,121424000,2860724000,3201435000,1098100000,1002000,1097098000,-684470000,-5109000,408521000,7717000,416238000,3617673000,36651000,17281000,4255000,39082000,97269000,-17126000,-6897000,-430106000,-14966000,30110000,-4125000,11019000,-321818000,-321818000,-321818000,108211000,2453008000,134656000,0.70784,0.26851,0.10732,0.08731,0.01005,3.70524,1.72458,7.69136,0.67806,0.36535,0.36255,3.40438,4.10685,1.35369,0.15045,0.01558,0.04088,0.41181,20.55257,24.45853
"14","2014_Q1",23.4459016393443,"Down",427715000,-121580000,306135000,-175636000,-94264000,-45539000,-35833000,130499000,-38604000,-39908000,506000,798000,91895000,-69401000,22494000,-18257000,4237000,4237000,-1934000,2303000,2303000,280104000,280104000,308974000,308974000,108793000,30781000,78012000,697871000,596071000,2853530000,1228784000,1380082000,244664000,3449601000,4147472000,198678000,196174000,46346000,98357000,93300000,343381000,2966402000,431985000,120944000,3398387000,3741768000,1095922000,1004000,1094918000,-696996000,-2553000,396373000,9334000,405707000,4147475000,4237000,23446000,57904000,-75649000,9937999.99999997,7134000,21237000,-494499000,-14829000,556895000,-6908000,535671000,51110000,51110000,51110000,153945000,3012748000,103687000,0.71575,0.30511,0.00537999999999998,0.00568000000000002,0.00056,45.02258,2.03235,9.22283,0.72641,0.02301,0.02315,4.27369,3.96052,1.03603,0.14817,0.00445,0.02693,6.43899,17.75078,20.93996
"15","2014_Q2",23.1020634920635,"Down",412648000,-127039000,285609000,-183132000,-97760000,-49106000,-36266000,102477000,-38523000,-39538000,98000,917000,63954000,-21477000,42477000,-14820000,27657000,27657000,-499000,27158000,27158000,317811000,317811000,285260000,285260000,182684000,25136000,59639000,785755000,574091000,2750267000,1175215000,1336748000,238304000,3324358000,4110113000,252454000,233336000,52696000,82396000,72052000,387546000,2964443000,415757000,114819000,3380200000,3767746000,1019842000,973000,1018869000,-684534000,-2514000,332794000,9573000,342367000,4110113000,27657000,24378000,25970000,58255000,136260000,-11907000,12095000,-1966000,-14696000,-511000,991000,-96587000,37707000,37707000,37707000,126855000,3017139000,188023000,0.69214,0.24834,0.06581,0.07932,0.00661,6.9233,2.02751,11.00499,0.73408,0.27481,0.27294,4.17558,3.36754,1.9026,0.14871,0.01109,0.0498,0.54113,21.27885,26.34082
"16","2014_Q3",24.468125,"Up",455136000,-134303000,320833000,-188266000,-98415000,-50241000,-38027000,132567000,-38364000,-40121000,742000,1015000,94203000,-29528000,64675000,-23074000,41601000,41601000,-266000,41335000,41335000,395546000,395546000,300272000,300272000,67187000,25186000,42001000,763005000,636112000,2782845000,1202466000,1341998000,238381000,3418957000,4181962000,216862000,197363000,56034000,63788000,53062000,336684000,3038768000,436337000,114392000,3475105000,3811789000,1022434000,974000,1021460000,-657787000,-1869000,362778000,7395000,370173000,4181962000,41601000,25252000,28995000,-52124000,43724000,-14680000,-10647000,-29340000,-14588000,82121000,-4182000,63351000,77735000,77735000,77735000,157819000,3094802000,114089000,0.70492,0.29127,0.09082,0.11166,0.00988,2.76011,2.26623,10.29732,0.74004,0.42537,0.42237,4.68372,3.73328,1.17407,0.15012,0.01433,0.02924,0.35292,17.10349,20.36145
"17","2014_Q4",21.8615625,"Down",494956000,-150263000,344693000,-218266000,-112521000,-59820000,-43541000,126427000,-45371000,-47950000,1928000,651000,81056000,-24764000,56292000,-7524000,48768000,48768000,-427000,48341000,48341000,99350000,99350000,327618000,327618000,187156000,32473000,113835000,614124000,712677000,3967455000,1777964000,1820042000,369449000,4680132000,5294256000,292652000,282650000,43130000,127245000,120976000,463027000,3729495000,747291000,154425000,4476786000,4939813000,1002912000,965000,1001947000,-625484000,-2693000,374735000,-20292000,354443000,5294256000,48768000,25342000,21323000,82980000,178413000,51636000,-93973000,-1115556000,-16038000,693463000,-10411000,640947000,-296196000,-296196000,-296196000,151769000,3772625000,293909000,0.69641,0.25543,0.09767,0.13639,0.00913,6.07991,1.32632,13.93683,0.71259,0.49757,0.4938,5.09455,3.85712,3.02519,0.16508,0.01321,0.0603,0.33177,24.20307,29.05451
"18","2015_Q1",21.9396721311475,"Up",613818000,-167082000,446736000,-2.43e+08,-126019000,-69620000,-44410000,203736000,-45293000,-47253000,-455000,2415000,158443000,-9340000,149103000,-52014000,97089000,97089000,-1644000,95445000,95445000,17682000,17682000,383503000,383503000,124980000,27842000,93824000,526165000,752538000,4131625000,1953338000,1964553000,213734000,4884163000,5410328000,260848000,260848000,113116000,113353000,107547000,487317000,3754822000,762846000,153914000,4517668000,5004985000,980157000,955000,979202000,-545820000,-6455000,427882000,-22539000,405343000,5410328000,97089000,28319000,41346000,-92551999.9999999,74202000,70168000,93095000,-250494000,-15781000,142883000,-7759000,94623999.9999999,-81667999.9999999,-81667999.9999999,-81667999.9999999,232055000,3867938000,261685000,0.7278,0.33192,0.15549,0.23547,0.01764,2.74174,1.07972,12.34753,0.71492,1.00148,0.99407,6.44063,4.48965,2.74579,0.16559,0.02209,0.05196,0.16534,16.592,18.89826
"19","2015_Q2",24.502380952381,"Up",504775000,-171571000,333204000,-231267000,-118279000,-65169000,-45304000,101937000,-43284000,-46648000,3146000,218000,58653000,-17390000,41263000,-16427000,24836000,24836000,-554000,24282000,24282000,57843000,57843000,368696000,368696000,107238000,33213000,74025000,533777000,742397000,4141305000,1953126000,1951074000,237105000,4883702000,5417479000,271486000,245055000,58826000,100867000,86410000,431179000,3831823000,742037000,150792000,4573860000,5005039000,980868000,954000,979914000,-537253000,-6371000,437244000,-24804000,412440000,5417479000,24836000,25189000,38079000,25748000,113852000,-23648000,-1170000,-27913000,-15715000,-17189000,-5071000,-45778000,40161000,40161000,40161000,127126000,3890649000,145653000,0.6601,0.20195,0.0481,0.05887,0.00448,5.99839,1.23795,12.13519,0.71817,0.25525,0.25354,5.3061,4.59623,1.53108,0.16519,0.00793,0.02887,0.64719,30.14966,37.59975
"20","2015_Q3",22.50234375,"Down",554167000,-181810000,372357000,-231665000,-117408000,-64718000,-45302000,140692000,-44607000,-47664000,2007000,1050000,96085000,-26352000,69733000,-23334000,46399000,46399000,-612000,45787000,45787000,64579000,64579000,384570000,384570000,94650000,41661000,52989000,543799000,741854000,4095328000,1923834000,1951302000,220192000,4837182000,5380981000,254930000,236239000,61935000,80016000,65192000,396881000,3808085000,729756000,144873000,4537841000,4934722000,982561000,954000,981607000,-507215000,-6287000,469059000,-22800000,446259000,5380981000,46399000,25273000,39680000,-44957000,66395000,-23414000,-3851999.99999999,-61980000,-15749000,21562000,-3492000,2321000,6736000,6736000,6736000,165965000,3870020000,120928000,0.67192,0.25388,0.08262,0.1026,0.00851,2.6411,1.37018,11.05798,0.7192,0.48042,0.4767,5.81455,4.92156,1.26883,0.16524,0.01219,0.02396,0.34396,22.92918,27.04803
"21","2015_Q4",26.1153125,"Up",548404000,-187173000,361231000,-238775000,-122086000,-65490000,-46396000,122456000,-48362000,-48566000,252000,-48000,74094000,-22850000,51244000,-7210000,44034000,44034000,-779000,43255000,43255000,119389000,119389000,387110000,387110000,165750000,35951000,129799000,672249000,746662000,4061536000,1896867000,1951428000,213241000,4808198000,5480447000,275765000,272470000,67222000,148933000,133373000,491920000,3804877000,732389000,148776000,4537266000,5029186000,962656000,947000,961709000,-479600000,-6277000,476779000,-25518000,451261000,5480447000,44034000,25476000,42084000,21880000,133474000,-1764000,-15103000,-37640000,-15640000,4000,-4368000,-41024000,54810000,54810000,54810000,147932000,3872099000,175258000,0.6587,0.2233,0.07887,0.09585,0.00789,4.05174,1.36658,11.14474,0.70653,0.45531,0.45202,5.77255,5.01862,1.84478,0.16463,0.01165,0.03467,0.36158,25.3678,30.64537
"22","2016_Q1",25.3270491803279,"Down",611790000,-192645000,419145000,-268012000,-138201000,-69510000,-59420000,151133000,-52690000,-48569000,-4441000,320000,98443000,-26890000,71553000,-10723000,60830000,60830000,-2630000,58200000,58200000,149972000,149972000,424608000,424608000,127183000,26903000,99457000,701763000,717137000,4013415000,1884035000,1931093000,198287000,4730552000,5432315000,251313000,251313000,164184000,119506000,111426000,535003000,3669160000,728474000,143402000,4397634000,4932637000,963673000,947000,962726000,-437029000,-834000,525810000,-26132000,499678000,5432315000,60830000,27495000,58391000,-57510000,89206000,-18945000,-1689000,-23778000,-15629000,-16637000,-2579000,-34845000,30583000,30583000,30583000,178628000,3833344000,112896000,0.68511,0.24703,0.09513,0.11648,0.01071,1.93979,1.3117,9.87163,0.70566,0.6154,0.61007,6.46904,5.55989,1.19376,0.16526,0.01459,0.0223,0.26854,20.62035,24.37173
"23","2016_Q2",25.9625,"Up",578889000,-215877000,363012000,-256408000,-136350000,-67800000,-51157000,106604000,-48530000,-49415000,423000,462000,58074000,-20265000,37809000,-12180000,25629000,25629000,-1489000,24140000,24140000,141524000,141524000,417060000,417060000,123948000,52093000,71855000,682532000,723762000,4340904000,2028519000,2081936000,230449000,5064666000,5747198000,270919000,261888000,168388000,98399000,89141000,537706000,3998674000,690920000,139402000,4689594000,5227300000,974613000,950000,973663000,-426731000,-834000,547048000,-27150000,519898000,5747198000,25629000,24035000,55580000,28771000,134015000,-25851000,-24252000,-454636000,-15675000,337620000,-9772000,312173000,-8448000,-8448000,-8448000,130639000,4167062000,145739000,0.62708,0.18415,0.0417,0.04643,0.0042,6.03724,1.26934,10.05447,0.72506,0.25491,0.25247,6.11281,5.77658,1.53894,0.16552,0.0074,0.0271,0.64934,30.81421,37.7616
"24","2016_Q3",24.1765625,"Down",666534000,-243620000,422914000,-264592000,-142767000,-70034000,-50582000,158322000,-51869000,-53916000,943000,1104000,106453000,-29248000,77205000,-26605000,50600000,50600000,-1181000,49419000,49419000,103727000,103727000,489884000,489884000,84408000,38949000,45459000,678019000,727806000,4373852000,2133511000,2017382000,222959000,5101658000,5779677000,280492000,271926000,175044000,76204000,66993000,531740000,3984262000,720781000,133492000,4705043000,5236783000,965764000,946000,964818000,-394418000,-834000,570512000,-27618000,542894000,5779677000,50600000,24409000,52972000,-52338000,75643000,-23935000,-9465000,-73814000,-17106000,-9640000,-1633000,-39626000,-37797000,-37797000,-37797000,182731000,4159306000,133063000,0.6345,0.23753,0.07414,0.09103,0.00855,2.69255,1.27509,9.64605,0.71964,0.52006,0.51514,7.01423,6.00375,1.40028,0.18001,0.01227,0.02454,0.34614,22.19426,25.61602
"25","2016_Q4",25.0014285714286,"Up",693835000,-242880000,450955000,-273091000,-145724000,-73693000,-52929000,177864000,-51276000,-53488000,1423000,789000,126588000,-47569000,79019000,-26986000,52033000,52033000,-1188000,50845000,50845000,104545000,104545000,519662000,519662000,165883000,37909000,118740000,790090000,713088000,4363010000,2136451000,1989578000,236981000,5076098000,5866188000,291213000,291213000,165238000,143294000,135152000,599745000,4022437000,757340000,144379000,4779777000,5379522000,877809000,914000,876895000,-360459000,-834000,516516000,-29850000,486666000,5866188000,52033000,25886000,72703000,-30020000,120602000,-2419000,-11525000,-29077000,-16886000,29345000,-13249000,-90707000,818000,818000,818000,203750000,4187675000,198297000,0.64995,0.25635,0.07328,0.10448,0.00867,3.90003,1.31738,11.05383,0.71387,0.5412,0.53653,7.38531,5.49789,2.11071,0.17974,0.01247,0.03651,0.33211,20.0399,22.95647
"26","2017_Q1",31.0903225806452,"Up",797691000,-250712000,546979000,-275991000,-150304000,-70797000,-53860000,270988000,-54589000,-54324000,-1054000,789000,216399000,-37542000,178857000,-56357000,122500000,122500000,-1603000,120897000,120897000,259984000,259984000,513954000,513954000,131150000,41849000,83801000,905088000,717576000,4340504000,2100709000,1990746000,249049000,5058080000,5963168000,352036000,328545000,171131000,113306000,113306000,636473000,4014932000,753827000,144510000,4768759000,5405232000,844594000,903000,843691000,-255804000,-807000,587983000,-30047000,557936000,5963168000,122500000,24199000,55007000,59800000,261506000,-25864000,-5588000,-48476000,-16242000,-3628000,-2602000,-57591000,155439000,155439000,155439000,295187000,4186063000,385480000,0.6857,0.33972,0.15156,0.21669,0.02027,3.1885,1.42204,9.68791,0.70199,1.33451,1.32246,8.80522,6.49038,4.25507,0.17929,0.02494,0.07011,0.13435,13.30031,14.48802
