"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","preferred_dividends","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_short_term_liabilities","deferred_tax_liabilities_short_term","total_current_liabilities","long_term_debt","total_noncurrent_liabilities","total_liabilities","preferred_equity","share_capital_additional_paid_in_capital","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","dividends_per_share","return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2019_Q4",44.0375,"Up",57052000,-7525000,49527000,-23874000,-4742000,-12018000,-7114000,25653000,-10325000,-10325000,15328000,15328000,15328000,15328000,-3102000,12226000,-3210000,9016000,52269000,52269000,55207000,55207000,107476000,1498540000,2052369000,-553829000,40748000,40748000,1539288000,1646764000,39741000,39741000,46858000,27224000,1026661000,74666000,74666000,1101327000,2.9e+08,401626000,-215677000,475949000,69488000,545437000,1646764000,15328000,12018000,1159000,-10239000,18266000,-30939000,-30939000,-30939000,-36456000,-15134000,-32201000,112710000,-4178000,61197000,43007000,43007000,43007000,37671000,1014728000,0.8681,0.44964,0.15803,0.01653,0.00547,0.10468,2.01916,0.6162,0.39059,0.38995,2.4716,8.05567,0.65563,0.01548,1.67857,25.54907,37.51838
"12","2020_Q1",37.9795161290323,"Down",56582000,-7305000,49277000,-24151000,-6097000,-11148000,-6906000,25126000,-9649000,-9649000,15477000,15041000,15041000,15041000,-2223000,12818000,-6354000,6464000,13905000,13905000,52311000,52311000,66216000,1518123000,2081597000,-563474000,34001000,34001000,1552124000,1618340000,35199000,35199000,48597000,29306000,1100293000,74691000,74691000,1174984000,1.85e+08,411158000,-221177000,374981000,68375000,443356000,1618340000,15041000,11148000,1422000,5674000,33285000,-22115000,-22115000,-22115000,-30608000,-120773000,77818000,-99600000,101514000,-41041000,-38364000,-38364000,-38364000,36274000,1091188000,0.8709,0.44406,0.11424,0.01458,0.00399,0.06018,2.6502,0.67426,0.27868,0.27822,2.43941,8.1906,5.20685,0.08292,18.68394,29.69849,42.87523
"13","2020_Q2",27.2590476190476,"Down",56943000,-7036000,49907000,-23484000,-5050000,-11281000,-7153000,26423000,-9594000,-9594000,16829000,16829000,16829000,16829000,-3565000,13264000,-2798000,10466000,31935000,31935000,49994000,49994000,81929000,1526895000,2099807000,-572912000,36016000,36016000,1562911000,1644840000,35122000,35122000,44036000,24686000,1123518000,74716000,74716000,1198234000,1.85e+08,416195000,-223075000,378120000,68486000,446606000,1644840000,16829000,11281000,930000,-2990000,26050000,-13072000,-13072000,-13072000,-21588000,-13925000,27510000,5344000,-5361000,13568000,18030000,18030000,18030000,37704000,1119076000,0.87644,0.46403,0.1838,0.02343,0.00636,0.07292,2.68298,0.68036,0.44928,0.4492,2.44443,8.29019,0.59777,0.01558,1.3305,28.83357,41.14374
"14","2020_Q3",25.3065625,"Down",53220000,-6410000,46810000,-24583000,-4632000,-12600000,-7351000,22227000,-12019000,-12019000,10208000,10208000,10208000,10208000,-1880000,8328000,-2798000,5530000,66457000,66457000,57926000,57926000,124383000,1527068000,2111070000,-584002000,35185000,35185000,1562253000,1686636000,30311000,30311000,43472000,24114000,1173609000,74741000,74741000,1248350000,1.85e+08,417026000,-229918000,372108000,66178000,438286000,1686636000,10208000,12600000,2981000,-10090000,15699000,-15092000,-15092000,-15092000,-17339000,-14014000,29197000,-328000,21307000,36162000,34522000,34522000,34522000,34827000,1174567000,0.87956,0.41764,0.10391,0.01262,0.00328,0.10598,2.84825,0.6964,0.23694,0.23694,2.2803,8.01697,0.600449999999999,0.01212,2.53418,31.81756,49.85423
"15","2020_Q4",26.19703125,"Up",56760000,-7416000,49344000,-25343000,-4108000,-13712000,-7523000,24001000,-12398000,-12398000,11603000,11603000,11603000,11603000,-2236000,9367000,-2798000,6569000,54305000,54305000,65701000,65701000,120006000,1521696000,2117481000,-595785000,39672000,39672000,1561368000,1681374000,27874000,27874000,46100000,26727000,1174991000,74766000,74766000,1249757000,1.85e+08,417738000,-235720000,367018000,64599000,431617000,1681374000,11603000,13712000,2555000,-12849000,15021000,-6534000,-6534000,-6534000,-9436000,-14023000,-5038000,1538000,-214000,-17737000,-12152000,-12152000,-12152000,37713000,1175783000,0.86934,0.42285,0.11573,0.01522,0.00391,0.10213,2.89552,0.6993,0.28129,0.2813,2.43052,7.7942,0.60048,0.01281,2.13472,29.73717,46.7263
"16","2021_Q1",32.0345901639344,"Up",58284000,-7995000,50289000,-26383000,-5317000,-13533000,-7533000,23906000,-12508000,-12508000,11398000,11676000,11676000,11676000,-2253000,9423000,-2800000,6623000,26856000,26856000,64917000,64917000,91773000,1517090000,2124796000,-607706000,36709000,36709000,1553799000,1645572000,43832000,24384000,23293000,23293000,894728000,323311000,323311000,1218039000,1.85e+08,420860000,-241535000,364325000,63208000,427533000,1645572000,11676000,13533000,1476000,-5072000,21613000,-1986000,-2362000,-2362000,-7805000,-18615000,7660000,3387000,-33689000,-41257000,-27449000,-27449000,-27449000,37439000,1150914000,0.86283,0.41016,0.11363,0.01549,0.00402,0.10257,2.84899,0.6994,0.28259,0.28258,2.48684,7.65136,0.79426,0.01599,2.81066,30.02372,47.01991
"17","2021_Q2",39.6896825396825,"Up",58724000,-8686000,50038000,-25255000,-4678000,-12748000,-7829000,24783000,-11988000,-11988000,12795000,12795000,12795000,12795000,-2533000,10262000,-2798000,7464000,14554000,14554000,62645000,62645000,77199000,1602520000,2220504000,-617984000,54537000,54537000,1657057000,1734256000,46974000,27464000,24812000,24812000,1032605000,178364000,197789000,1230394000,1.85e+08,503323000,-246559000,441764000,62098000,503862000,1734256000,12795000,12748000,1939000,7296000,34778000,-4450000,-4450000,-4450000,-18918000,-15236000,-12134000,3415000,-4207000,-28162000,-12302000,-12302000,-12302000,37531000,1139183000,0.85209,0.42203,0.1271,0.01481,0.0043,0.07476,2.44193,0.65687,0.31705,0.31705,2.49444,10.90663,0.64718,0.01365,2.04126,29.96534,45.37905
"18","2021_Q3",41.74890625,"Up",60005000,-7524000,52481000,-24704000,-4929000,-12637000,-7138000,27777000,-11658000,-11658000,16119000,16119000,16119000,16119000,-3373000,12746000,-2799000,9947000,14857000,14857000,59743000,59743000,74600000,1628244000,2256662000,-628418000,34136000,34136000,1662380000,1736980000,50187000,29688000,24781000,24781000,1024002000,183525000,183525000,1207527000,1.85e+08,506883000,-249612000,442271000,87182000,529453000,1736980000,16119000,12637000,726000,2393000,31875000,-3208000,-3208000,-3208000,-8598000,-15286000,-9463000,3565000,-1790000,-22974000,303000,303000,303000,40414000,1132559000,0.87461,0.46291,0.16577,0.01879,0.00573,0.07285,2.28071,0.65203,0.42252,0.42252,2.54885,10.92817,0.64931,0.01518,1.53674,27.65631,40.2384
"19","2021_Q4",46.57796875,"Up",60256000,-7751742.878735,53684635.114939,-32457000,-4626000,-12467000,-15364000,27799000,-10914000,-10914000,16885000,16885000,16885000,16885000,-3747000,13138000,-2798000,10340000,11917000,11917000,61855000,61855000,73772000,1627121000,2266362000,-639241000,38607000,38607000,1665728000,1739500000,47742000,27199000,26216000,26216000,868544000,341349000,341349000,1209893000,1.85e+08,510074000,-252309000,442765000,86842000,529607000,1739500000,16885000,12467000,571000,-7557000,22366000,-9664000,-1718532.91221354,-1718532.91221354,-11272000,-15799000,8857000,3512000,-10604000,-14034000,-2940000,-2940000,-2940000,40266000,1135935000,0.874486535927975,0.46135,0.1716,0.01952,0.00594,0.0849399999999999,2.28451,0.65302,0.43778,0.43775,2.55117,10.91346,0.66891,0.01569,1.52795,27.91482,40.43376
"20","2022_Q1",46.4008064516129,"Down",60240000,-9011336.37737682,53324849.6185976,-16855000,-6019000,-12420000,1584000,26714000,-10864000,-10864000,15850000,15850000,15850000,15850000,-3607000,12243000,-2799000,9444000,14594000,14594000,58659000,58659000,73253000,1634013000,2284126000,-650113000,39495000,39495000,1673508000,1746761000,47230000,25558000,25188000,25740037.8847918,72418000,1143856000,1143856000,1216274000,1.85e+08,436847000,-216798000,405049000,125438000,530487000,1746761000,15850000,12420000,848000,243999.999999998,29362000,-10903000,-3906957.30777225,-3906957.30777225,-17084000,-15835000,7516000,6331000,-7613000,-9601000,2677000,2677000,2677000,39134000,1143856000,0.855815341045075,0.44346,0.15677,0.0178,0.00541,1.01153,2.29275,0.65484,0.39496,0.3948,2.51934,9.20284,0.66225,0.0151,1.67673,28.85629,42.27229
"21","2022_Q2",47.1827419354839,"Up",62144000,-9538000,52606000,-24513000,-4768000,-12327000,-7418000,28093000,-10602000,-10602000,17491000,17491000,17491000,17491000,-4126000,13365000,-2798000,10567000,12313000,12313000,56357000,56357000,68670000,1645884000,2306739000,-660855000,40998000,40998000,1686882000,1755552000,61371000,39649000,23867000,23867000,990463000,234630000,234630000,1225093000,1.85e+08,480040000,-259506000,405534000,124925000,530459000,1755552000,17491000,12327000,788000,9404000,40010000,-12927000,-12927000,-12927000,-16868000,-16382000,-4473000,3910000,-8478000,-25423000,-2281000,-2281000,-2281000,40420000,1139855000,0.84652,0.45206,0.17004,0.01992,0.00602,0.0693300000000001,2.3095,0.64929,0.44243,0.44217,2.60191,9.23355,0.6859,0.01613,1.5503,27.89565,40.13605
"22","2022_Q3",44.66953125,"Down",60293000,-7641000,52652000,-25198000,-5665000,-12377000,-7156000,27454000,-10457000,-10457000,16997000,16997000,16997000,16997000,-3981000,13016000,-2799000,10217000,11167000,11167000,55543000,55543000,66710000,1673812000,2345566000,-671754000,41964000,41964000,1715776000,1782486000,64439000,42002000,22751000,22751000,87190000,1165265000,1165265000,1252455000,1.85e+08,484386000,-263444000,405942000,124089000,530031000,1782486000,16997000,12377000,1109000,-4009000,26474000,-31973000,-31973000,-31973000,-35046000,-16423000,24942000,4393000,-5486000,7426000,-1146000,-1146000,-1146000,39831000,1165265000,0.87327,0.45534,0.16946,0.01928,0.00573,0.76511,2.36298,0.65373,0.42778,0.42753,2.52441,9.25063,0.68762,0.01571,1.60742,28.97487,42.03752
