"","YQ","p","d","revenue","sales_services_revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2013_Q4",1.2375,"Up",258000,258000,-67000,191000,-1768000,-1330000,-285000,-1577000,13000,-2000,-2000,-1564000,-1534000,-1534000,-1534000,-1534000,-1534000,410000,410000,29000,29000,781000,110000,110000,1330000,171000,2004000,2004000,2175000,3505000,1259000,848000,411000,1539000,2599000,68918000,-68012000,906000,906000,3505000,-1534000,78000,258000,387000,-811000,-61000,-61000,362000,-510000,-510000,-510000,-1499000,231000,0.74031,-6.1124,-5.94574,-1.69316,-0.43766,0.8642,2.86865,0.06591,-0.13666,-0.13666,0.02298,0.08071,-0.69822,0.11941,0.11351
"12","2014_Q1",1.3116393442623,"Up",189000,189000,-410000,-221000,-1388000,-1061000,-190000,-1609000,3000.00000000001,-2000,-2000,-1606000,-2159000,-2159000,-2159000,-2159000,-2159000,32000,32000,18000,18000,365000,71000,71000,486000,146000,1430000,1430000,1576000,2062000,1734000,1134000,6e+05,2153000,3053000,69180000,-70171000,-991000,-991000,2062000,-2159000,75000,1147000,553000,-384000,-28000,-28000,33999.9999999998,-378000,-378000,-378000,-1534000,368000,-1.16931,-8.51323,-11.42328,2.17861,-1.04704,0.22573,-3.08073,0.17847,-0.17383,-0.17383,0.01522,-0.07979,-7.79422,-0.21904,-0.20883
"13","2014_Q2",1.13857142857143,"Down",115000,115000,-36000,79000,-1227000,-925000,-213000,-1148000,46000,-3000,-3000,-1102000,-3844000,-3844000,-3844000,-3844000,-3844000,1068000,1068000,31000,31000,430000,231000,231000,1760000,127000,1399000,1399000,1526000,3286000,998000,771000,227000,2332000,3075000,74226000,-74015000,211000,211000,3286000,-3844000,73000,1562000,-37000,-2246000,-23000,-23000,3305000,1036000,1036000,1036000,-1075000,503000,0.68696,-9.98261,-33.42609,-18.21801,-1.16981,0.75472,14.57346,0.15307,-0.18569,-0.18569,0.00556,0.01019,-2.6383,0.52558,0.49216
"14","2014_Q3",1.03328125,"Down",41000,41000,-20000,21000,-2864000,-1243000,-289000,-2843000,13000,-2000,-2000,-2830000,-2482000,-2482000,-2482000,-2482000,-2482000,236000,236000,9000,9000,429000,221000,221000,895000,115000,1403000,1403000,1518000,2413000,783000,629000,154000,1513000,1523000,77387000,-76497000,890000,890000,2413000,-2482000,67000,944000,-296000,-1767000,-59000,-59000,994000.000000001,-832000,-832000,-832000,-2776000,-5.82076609134674e-11,0.5122,-69.34146,-60.53659,-2.78876,-1.0286,0.59154,1.71124,0,-0.09934,-0.09934,0.00164,0.03562,-2.75778,0.08501,0.08301
"15","2014_Q4",0.8365625,"Down",261000,261000,-89000,172000,-2356000,-1338000,-248000,-2184000,132000,-2000,-2000,-2052000,-2049000,-2049000,-2049000,-2049000,-2049000,416000,416000,34000,34000,387000,194000,194000,1031000,42000,1378000,1378000,1420000,2451000,634000,529000,105000,1156000,1156000,79841000,-78546000,1295000,1295000,2451000,-2049000,56000,933000,-306000,-1366000,48000,48000,1498000,180000,180000,180000,-2128000,0,0.659,-8.36782,-7.85057,-1.58224000000001,-0.83599,0.89187,0.892660000000003,0,-0.07383,-0.07383,0.0094,0.04666,-1.58224,0.19549,0.19048
"16","2015_Q1",0.648688524590164,"Down",133000,133000,-199000,-66000,-2599000,-1550000,-282000,-2665000,-11000.0000000001,-3000,-3000,-2676000,-2675000,-2675000,-2675000,-2675000,-2675000,86000,86000,47000,47000,249000,96000,96000,478000,36000,1345000,1345000,1381000,1859000,1497000,1096000,401000,1829000,1842000,81238000,-81221000,17000,17000,1859000,-2675000,52000,1174000,502000,-947000,-12000,-12000,629000,-330000,-330000,-330000,-2613000,-1.45519152283669e-11,-0.49624,-20.03759,-20.11278,-157.35294,-1.43895,0.26134,108.35294,0,-0.09225,-0.09225,0.00459,0.00059,-89.16667,0.03291,0.03227
"17","2015_Q2",0.631746031746032,"Down",117000,117000,-45000,72000,-1871000,-1192000,-176000,-1799000,-3000,-2000,-2000,-1802000,-1934000,-1934000,-1934000,-1934000,-1934000,5331000,5331000,47000,47000,231000,154000,154000,5763000,28000,1305000,1305000,1333000,7096000,664000,510000,154000,875000,887000,89364000,-83155000,6209000,6209000,7096000,-1934000,51000,577000,-938000,-2244000,-4000,-4000,7493000,5245000,5245000,5245000,-1748000,0,0.61538,-15.37607,-16.52991,-0.311480000000017,-0.27255,6.58629,0.142859999999999,8.67361737988404e-19,-0.05223,-0.05223,0.00316,0.16768,-0.310879999999997,3.04977,2.96331
"18","2015_Q3",0.69453125,"Up",273000,273000,-111000,162000,-2029000,-1332000,-215000,-1867000,-4999.99999999999,-3000,-3000,-1872000,-1736000,-1736000,-1736000,-1736000,-1736000,3908000,3908000,40000,40000,186000,75000,75000,4209000,90000,1262000,1262000,1352000,5561000,709000,510000,199000,817000,828000,89624000,-84891000,4733000,4733000,5561000,-1736000,52000,425000,-2000,-1261000,-70000,-70000,-92000.0000000009,-1423000,-1423000,-1423000,-1815000,-9.09494701772928e-13,0.59341,-6.83883,-6.35897,-0.36679,-0.31217,5.15177,0.17494,0,-0.04356,-0.04356,0.00685,0.11877,-0.36594,2.15317,2.0932
"19","2015_Q4",0.80453125,"Up",109000,109000,-65000,44000,-2144000,-1207000,-171000,-2100000,8000,-2000,-2000,-2092000,-2091000,-2091000,-2091000,-2091000,-2091000,2530000,2530000,86000,86000,207000,33000,33000,2856000,97000,1227000,1227000,1324000,4180000,693000,533000,160000,763000,773000,90389000,-86982000,3407000,3407000,4180000,-2091000,51000,806000,-121000,-1355000,-23000,-23000,0,-1378000,-1378000,-1378000,-2049000,0,0.40367,-19.26606,-19.18349,-0.613739999999998,-0.50024,3.74312,0.226889999999998,-1.0842021724855e-19,-0.05127,-0.05127,0.00267,0.08354,-0.611940000000002,1.23475,1.20476
"20","2016_Q1",1.20131147540984,"Up",230000,230000,-64000,166000,-2040000,-1181000,-228000,-1874000,8000,-1000,-1000,-1866000,-1866000,-1866000,-1866000,-1866000,-1866000,1321000,1321000,189000,189000,207000,262000,187000,1979000,90000,1192000,1192000,1282000,3261000,806000,560000,246000,869000,878000,91231000,-88848000,2383000,2383000,3261000,-1866000,52000,609000,2000,-1203000,-10000,-10000,4000.00000000047,-1209000,-1209000,-1209000,-1822000,0,0.72174,-8.14783,-8.11304,-0.78305,-0.57222,2.27733,0.36844,0,-0.04515,-0.04515,0.00556,0.05766,-0.7801,0.72503,0.70491
"21","2016_Q2",1.11578125,"Down",186000,186000,-54000,132000,-1994000,-1086000,-236000,-1862000,7000,-2000,-2000,-1855000,-2820000,-2820000,-2820000,-2820000,-2820000,6055000,6055000,93000,93000,219000,225000,150000,6592000,83000,1152000,1152000,1235000,7827000,561000,384000,177000,7584000,7592000,91903000,-91668000,235000,235000,7827000,-2820000,51000,1674000,-167000,-1262000,-4000,-4000,6e+06,4734000,4734000,4734000,-1811000,0,0.70968,-10.01075,-15.16129,-12,-0.36029,0.8692,32.30638,0,-0.06555,-0.06555,0.00432,0.00546000000000001,-11.60494,3.34346,3.25188
"22","2016_Q3",1.0134375,"Down",176000,176000,-48000,128000,-2387000,-1386000,-238000,-2259000,6000,-3000,-3000,-2253000,-10902000,-10902000,-10902000,-10902000,-10902000,6706000,6706000,106000,106000,237000,163000,88000,7212000,231000,1110000,1110000,1341000,8553000,783000,582000,201000,18450000,18457000,92666000,-102570000,-9904000,-9904000,8553000,-10902000,52000,9474000,185000,-1191000,-158000,-158000,2e+06,651000,651000,651000,-2207000,0,0.72727,-12.83523,-61.94318,1.10077,-1.27464,0.39089,-1.86359,0,-0.18579,-0.18579,0.003,-0.16878,1.10155,3.03851,2.96857
"23","2016_Q4",1.00984126984127,"Down",403000,403000,-116000,287000,-1776000,-1385000,-205000,-1489000,13000,-3000,-3000,-1476000,30000,30000,30000,30000,30000,5405000,5405000,68000,68000,320000,387000,312000,6180000,407000,1021000,1021000,1428000,7608000,696000,522000,174000,10542000,10547000,99601000,-102540000,-2939000,-2939000,7608000,30000,51000,-1208000,-139000,-1266000,-186000,-186000,151000,-1301000,-1301000,-1301000,-1438000,0,0.71216,-3.69479,0.07444,-0.0102099999999978,0.00394000000000005,0.58623,-3.58864,0,0.00049,0.00049,0.00658,-0.04795,-0.0102200000000017,3.75869,3.62995
"24","2017_Q1",0.90241935483871,"Down",524000,524000,-223000,301000,-1748000,-1219000,-248000,-1447000,8000,-2000,-2000,-1439000,-679000,-679000,-679000,-679000,-679000,5194000,5194000,263000,263000,350000,335000,260000,6142000,440000,980000,980000,1420000,7562000,695000,479000,216000,2536000,2539000,108242000,-103219000,5023000,5023000,7562000,-679000,65000,-425000.000000002,-233000,-1272000,-57000,-57000,1118000,-211000,-211000,-211000,-1382000,0,0.57443,-2.76145,-1.29580000000001,-0.13518,-0.08979,2.42192,0.50547,0,-0.01055,-0.01055,0.00815,0.07808,-0.1351,3.75832,3.5895
"25","2017_Q2",1.0415873015873,"Up",531000,531000,-265000,266000,-1863000,-1337000,-248000,-1597000,13000,-1000,-1000,-1584000,-1743000,-1743000,-1743000,-1743000,-1743000,4064000,4064000,146000,146000,348000,406000,331000,4964000,495000,943000,943000,1438000,6402000,847000,654000,193000,2842000,2845000,108519000,-104962000,3557000,3557000,6402000,-1743000,65000,365000,266000,-1047000,-83000,-83000,0,-1130000,-1130000,-1130000,-1532000,0,0.50094,-3.00753,-3.28249,-0.49002,-0.27226,1.74666,0.79983,3.3881317890172e-21,-0.02689,-0.02689,0.00819,0.05487,-0.48961,2.65274,2.54477
"26","2017_Q3",1.14492063492063,"Up",447000,447000,-134000,313000,-1717000,-1333000,-214000,-1404000,9000,-2000,-2000,-1395000,-936000,-936000,-936000,-936000,-936000,3893000,3893000,142000,142000,340000,264000,189000,4639000,568000,901000,901000,1469000,6108000,669000,424000,245000,2192000,2205000,109801000,-105898000,3903000,3903000,6108000,-936000,69000,-147000,-161000,-1175000,-1e+05,-1e+05,1104000,-171000,-171000,-171000,-1335000,2.8421709430404e-14,0.70022,-3.14094,-2.09396,-0.23982,-0.15324,2.11633,0.56495,0,-0.01471,-0.01471,0.00703,0.06135,-0.23902,2.9161,2.77279
"27","2017_Q4",1.03079365079365,"Down",338000,338000,-132000,206000,-1799000,-1302000,-222000,-1593000,2000,-1000,-1000,-1591000,-1738000,-1738000,-1738000,-1738000,-1738000,2714000,2714000,185000,185000,348000,229000,154000,3476000,574000,858000,858000,1432000,4908000,768000,574000,194000,2433000,2445000,110099000,-107636000,2463000,2463000,4908000,-1738000,70000,455000,42000,-1171000,-33000,-33000,25000,-1179000,-1179000,-1179000,-1523000,0,0.60947,-4.71302,-5.14201,-0.70564,-0.35412,1.42869,0.99269,5.42101086242752e-20,-0.02771,-0.02771,0.00539,0.03927,-0.70222,1.78201,1.7037
"28","2018_Q1",0.828688524590164,"Down",515000,515000,-229000,286000,-1700000,-1258000,-95000,-1414000,-2000,-1000,-1000,-1416000,-1846000,-1846000,-1846000,-1846000,-1846000,1640000,1640000,297000,297000,273000,249000,174000,2459000,548000,822000,822000,1370000,3829000,675000,426000,249000,2528000,2539000,110772000,-109482000,1290000,1290000,3829000,-1846000,72000,810000,-205000,-1169000,-10000,-10000,105000,-1074000,-1074000,-1074000,-1342000,4.54747350886464e-13,0.55534,-2.74563,-3.58447,-1.43101,-0.48211,0.97271,1.96822,0,-0.02939,-0.02939,0.0082,0.02054,-1.41891,1.22206,1.15983
"29","2018_Q2",0.67953125,"Down",464000,464000,-146000,318000,-2245000,-1445000,-144000,-1927000,5000,-1000,-1000,-1922000,-2339000,-2339000,-2339000,-2339000,-2339000,3229000,3229000,143000,143000,274000,250000,175000,3896000,530000,781000,781000,1311000,5207000,637000,425000,212000,637000,647000,116381000,-111821000,4560000,4560000,5207000,-2339000,71000,1123000,114000,-1031000,-12000,-12000,2632000,1589000,1589000,1589000,-1856000,0,0.68534,-4.15302,-5.04095,-0.51294,-0.4492,6.11617,0.14189,0,-0.036,-0.036,0.00714,0.07019,-0.51182,1.73976,1.67566
"30","2018_Q3",0.603650793650794,"Down",411000,411000,-161000,250000,-2278000,-1418000,-120000,-2028000,1000,-1000,-1000,-2027000,-2027000,-2027000,-2027000,-2027000,-2027000,2129000,2129000,146000,146000,267000,179000,104000,2721000,515000,737000,737000,1252000,3973000,682000,449000,233000,682000,699000,117122000,-113848000,3274000,3274000,3973000,-2027000,71000,838000,30000.0000000001,-1088000,-12000,-12000,0,-1100000,-1100000,-1100000,-1957000,-7.27595761418343e-12,0.60827,-4.93431,-4.93187,-0.61912,-0.51019,3.98974,0.2135,0,-0.02981,-0.02981,0.00604,0.04815,-0.61592,1.08789,1.0498
"31","2018_Q4",0.503492063492064,"Down",390000,390000,-166000,224000,-1935000,-1239000,-117000,-1711000,19000,-1000,-1000,-1692000,-1692000,-1692000,-1692000,-1692000,-1692000,1018000,1018000,192000,192000,275000,127000,52000,1612000,487000,701000,701000,1188000,2800000,623000,486000,137000,623000,638000,117702000,-115540000,2162000,2162000,2800000,-1692000,71000,587000,-70000,-1104000,-7000,-7000,0,-1111000,-1111000,-1111000,-1640000,0,0.57436,-4.38718,-4.33846,-0.78261,-0.60429,2.58748,0.2951,6.93889390390723e-18,-0.02487,-0.02487,0.00573,0.03178,-0.77722,0.62073,0.59497
"32","2019_Q1",0.448032786885246,"Down",509000,509000,-290000,219000,-1595000,-1133000,-78000,-1376000,-8000,-5000,-5000,-1384000,-1384000,-1384000,-1384000,-1384000,-1384000,851000,851000,275000,275000,197000,133000,58000,1456000,461000,658000,658000,1119000,2575000,778000,608000,170000,1281000,1294000,118205000,-116924000,1281000,1281000,2575000,-1384000,72000,558000,90000,-664000,-3000,-3000,5e+05,-167000,-167000,-167000,-1304000,503000,0.43026,-2.70334,-2.71906,-1.08041,-0.53748,1.13661,1.01015,0.19534,-0.02031,-0.02031,0.00747,0.0188,-0.77017,0.26687,0.25291
"33","2019_Q2",0.428253968253968,"Down",590000,590000,-203000,387000,-2950000,-1109000,-97000,-2563000,-3000,-3000,-3000,-2566000,-2566000,-2566000,-2566000,-2566000,-2566000,776000,776000,353000,353000,209000,146000,71000,1484000,443000,613000,613000,1056000,2540000,572000,420000,152000,572000,584000,121446000,-119490000,1956000,1956000,2540000,-2566000,71000,1732000,-297000,-1060000,-8000,-8000,993000,-75000,-75000,-75000,-2492000,0,0.65593,-4.34407,-4.34915,-1.31186,-1.01024,2.59441,0.29857,0,-0.03614,-0.03614,0.00831,0.02755,-1.30386,0.3114,0.30277
"34","2019_Q3",0.3040625,"Down",394000,394000,-160000,234000,-1526000,-1002000,-67000,-1292000,-4000,-1000,-1000,-1296000,-1296000,-1296000,-1296000,-1296000,-1296000,335000,335000,129000,129000,205000,124000,49000,793000,416000,568000,568000,984000,1777000,650000,525000,125000,650000,660000,121903000,-120786000,1117000,1117000,1777000,-1296000,72000,495000,288000,-441000,-9.09494701772928e-13,-9.09494701772928e-13,0,-441000,-441000,-441000,-1220000,5.82076609134674e-11,0.59391,-3.27919,-3.28934,-1.16025,-0.72932,1.22,0.59087,0,-0.01809,-0.01809,0.0055,0.0156,-1.14996,0.27459,0.25929
"35","2019_Q4",0.27109375,"Down",312000,312000,-117000,195000,-1107000,-886000,-85000,-912000,-1000,-1000,-1000,-913000,-1873000,-1873000,-1873000,-1873000,-1873000,340000,340000,134000,134000,195000,103000,28000,772000,388000,550000,550000,938000,1710000,523000,386000,137000,523000,530000,123839000,-122659000,1180000,1180000,1710000,-1873000,48000,1102000,-110000,-833000,-2000,-2000,840000,5000,5000,5000,-864000,0,0.625,-2.92308,-6.00321,-1.58729,-1.09532,1.4761,0.44915,-6.93889390390723e-18,-0.02547,-0.02547,0.00424,0.01604,-1.57793,0.39352,0.37281
"36","2020_Q1",0.454193548387097,"Up",613000,613000,-248000,365000,-1187000,-3419000,-105000,-822000,3000,-1000,-1000,-819000,-819000,-819000,-819000,-819000,-819000,398000,398000,373000,373000,177000,93000,18000,1041000,362000,529000,529000,891000,1932000,738000,553000,185000,738000,742000,124668000,-123478000,1190000,1190000,1932000,-819000,50000,119000,-6000,-656000,-3000,-3000,717000,58000,58000,58000,-772000,0,0.59543,-1.34095,-1.33605,-0.68824,-0.42391,1.41057,0.62353,0,-0.01087,-0.01087,0.00814,0.01579,-0.68593,0.51554,0.48418
"37","2020_Q2",1.04079365079365,"Up",398000,398000,-156000,242000,-1372000,-1290000,-82000,-1130000,5000,-2000,-2000,-1125000,-1125000,-1125000,-1125000,-1125000,-1125000,904000,904000,220000,220000,162000,105000,30000,1391000,333000,506000,506000,839000,2230000,877000,749000,128000,877000,877000,125956000,-124603000,1353000,1353000,2230000,-1125000,52000,462000,287000,-324000,-33524.4812701507,-33524.4812701507,830000,506000,506000,506000,-1078000,0,0.60804,-2.8392,-2.82663,-0.83149,-0.50448,1.58609,0.64819,0,-0.01442,-0.01442,0.0051,0.01735,-0.83149,0.83859,0.8
"38","2020_Q3",1.5021875,"Up",349000,349000,-142000,207000,-870000,-810000,-60000,-663000,-3000,-1000,-1000,-666000,-666000,-666000,-666000,-666000,-666000,246000,246000,156000,156000,141000,90000,15000,633000,351000,484000,484000,835000,1468000,692000,589000,103000,692000,692000,126045000,-125269000,776000,776000,1468000,-666000,48000,88999.9999999999,-85000,-614000,-44000,-44000,0,-658000,-658000,-658000,-615000,0,0.59312,-1.89971,-1.90831,-0.85825,-0.45368,0.91474,0.89175,0,-0.00833,-0.00833,0.00436,0.0097,-0.85825,0.4,0.37104
"39","2020_Q4",1.18171875,"Down",2221000,2221000,-972000,1249000,-775000,-690000,-85000,474000,-1000,-1000,-1000,473000,473000,473000,473000,473000,473000,2022000,2022000,1607000,1607000,282000,85000,10000,3996000,328000,462000,462000,790000,4786000,1491000,1286000,205000,1491000,1491000,128091000,-124796000,3295000,3295000,4786000,473000,45000,46000,-788000,-224000,0,0,2e+06,1776000,1776000,1776000,519000,0,0.56236,0.21342,0.21297,0.14355,0.09883,2.68008,0.4525,0,0.00564,0.00564,0.02647,0.03927,0.14355,-3.89595,-4.26582
