"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","income_loss_from_affiliates","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","income_taxes_receivable","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","deferred_tax_assets_long_term","investments_in_affiliates","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","pension_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",43.2932258064516,"Up",129134000,-86158000,42976000,-30881000,-26072000,-4809000,12095000,688000,-1104000,1773000,19000,12783000,11017000,48107000,59124000,58976000,58976000,58976000,91101000,91101000,97964000,97964000,70072000,30850000,6473000,16759000,289987000,146943000,274369000,155828000,68633000,20524000,29384000,426312000,716299000,62903000,16581000,671000,45651000,6471000,6471000,87716000,115611000,46545000,18918000,50148000,211708000,299424000,80318000,395721000,-59164000,416875000,416875000,716299000,59124000,7094000,-49507000,-5446000,11221000,-5698000,-5698000,-5698000,-5698000,-14250000,4499000,4499000,-9935000,-4412000,-4412000,-273000,-4685000,19189000,114439000,-40062000,0.3328,0.09366,0.4567,0.14147,0.08233,-0.67929,3.30598,0.71826,0.15976,3.57756,3.46426,7.83344,25.28821,-2.43022,5,0.09116,-0.06193,1.21622,1.92956
"12","2013_Q1",48.7256666666667,"Up",124177000,-81465000,42712000,-31754000,-27049000,-4705000,10958000,-278000,-938000,1008000,-348000,10680000,6547000,-1368000.00000001,5179000.00000001,5063000,5063000,5063000,114863000,114863000,83227000,83227000,73178000,35668000,9993000,17704000,306936000,149017000,299071000,105041000,71439000,21171000,48132000,453088000,760024000,54384000,16730000,3135000,34519000,8198000,8198000,84505000,156925000,65942000,17545000,73438000,241367000,325872000,91176000,400784000,-57808000,434152000,434152000,760024000,5179000.00000001,6475000,5198000,7681000,24517000,-6484000,-7309000,-7309000,-6484000,-8277000,9477000,9477000,1203000,19236000,19236000,4526000,23762000,17433000,106365000,19998000,0.34396,0.08825,0.04077,0.01166,0.00665999999999999,3.94983,3.63216,0.75059,0.13995,0.30357,0.29342,7.44557,26.03147,1.19907,7,0.00726,0.02867,-0.48747,-0.77551
"13","2013_Q2",45.60390625,"Down",125979000,-84690000,41289000,-30475000,-25206000,-5269000,10814000,-965000,-905000,529000,-589000,9849000,9849000,-2873000,6976000,7096000,7096000,7096000,126414000,126414000,83945000,83945000,69544000,30185000,7040000,16127000,310088000,150157000,289197000,102045000,70454000,18490000,47887000,444354000,754442000,56432000,16423000,3748000,36261000,8195000,8195000,87562000,150078000,59442000,16494000,74142000,230509000,318071000,94669000,407880000,-66178000,436371000,436371000,754442000,6976000,6571000,5738000,-61000,19950000,-7632000,-7706000,-7706000,-7632000,-2758000,3810000,3810000,47000,12365000,12365000,-814000,11551000,17385000,103366000,12565000,0.32775,0.08584,0.05633,0.01626,0.00941,1.77072,3.54135,0.7289,0.13701,0.41564,0.40151,7.37908,25.55994,0.73598,8,0.01029,0.01822,-1.32574,-2.13131
"14","2013_Q3",54.77046875,"Up",132453000,-88023000,44430000,-31797000,-25547000,-6250000,12633000,-245000,-830000,762000,-177000,12388000,7863000,-2279000,5584000,5566000,5566000,5566000,137015000,137015000,92376000,92376000,66733000,30065000,7346000,15645000,326189000,148669000,278524000,1.03e+08,59150000,19022000,47782000,432320000,758509000,55109000,17753000,1921000,35435000,8195000,8195000,87308000,124087000,34008000,15820000,74259000,200821000,288129000,100897000,413446000,-43963000,470380000,470380000,758509000,5584000,6456000,3281000,-4825000,10618000,-2830000,-2831000,-2831000,-2830000,-2772000,4671000,4671000,1899000,9687000,9687000,914000,10601000,19089000,100738000,13713000,0.33544,0.09538,0.04202,0.01183,0.00734,2.46371,3.73607,0.61255,0.13281,0.32535,0.31626,7.74229,27.49518,0.80157,7,0.00801,0.01973,-1.90041,-2.87161
"15","2013_Q4",60.23,"Up",142820000,-91634000,51186000,-30946000,-25582000,-5364000,20240000,772000,-881000,1754000,-101000,21012000,19781000,-6209000,13572000,13572000,13572000,13572000,158608000,158608000,100941000,100941000,65783000,31435000,7520000,16161000,356767000,148332000,282916000,106887000,57380000,20908000,47851000,436375000,793142000,61160000,21674000,2661000,36825000,8195000,8195000,86439000,119673000,27508000,17229000,74936000,191794000,278233000,120471000,427018000,-32580000,514909000,514909000,793142000,13572000,6590000,2916000,-8542000,14536000,-2983000,-3012000,-3012000,-2983000,-11841000,18299000,18299000,6274000,17827000,17827000,3766000,21593000,26830000,89205000,21514000,0.3584,0.14172,0.09503,0.02636,0.01711,1.58518,4.12738,0.54035,0.11247,0.78702,0.75978,8.2819,29.85875,1.24756,7,0.01875,0.02972,-2.58677,-3.429
"16","2014_Q1",60.5909836065574,"Up",136230000,-84598000,51632000,-34826000,-30063000,-4763000,16806000,42999.9999999999,-865000,1281000,-373000,16849000,12229000,-157999.999999999,12071000,12071000,12071000,12071000,191884000,191884000,89661000,89661000,66889000,29273000,7097000,14905000,377707000,146931000,281389000,108671000,44854000,18463000,57248000,428827000,806534000,64149000,17534000,4078000,42537000,7542000,7542000,90040000,93797000,5435000,16077000,72285000,160967000,251007000,128432000,438545000,-11450000,555527000,555527000,806534000,12071000,6734000,1146000,12960000,32911000,-3407000,-3310000,-3310000,-3534000,-3835000,6380000,6380000,2437000,31814000,31814000,1462000,33276000,23540000,85519000,33251000,0.37901,0.12336,0.08861,0.02173,0.01497,2.75462,4.19488,0.45184,0.10603,0.69505,0.67299,7.84419,31.98753,1.91461,8,0.01643,0.04525,-4.51848,-6.32899
"17","2014_Q2",61.7804761904762,"Up",146640000,-92721000,53919000,-32462000,-27599000,-4863000,21457000,-962000,-748000,977000,-1191000,20495000,20495000,-5915000,14580000,14580000,14580000,14580000,216458000,216458000,99054000,99054000,64291000,27765000,4629000,16260000,407568000,144208000,280045000,108558000,45550000,18125000,57155000,424760000,832328000,66622000,21369000,6830000,38423000,7542000,7542000,93764000,94565000,5435000,16468000,72662000,156670000,250434000,140377000,453125000,-11608000,581894000,581894000,832328000,14580000,6469000,568000,-3833000,17784000,-2212000,-2233000,-2233000,-2212000,-3826000,10874000,10874000,6361000,21933000,21933000,2641000,24574000,27926000,81705000,27796000,0.3677,0.14632,0.09943,0.02506,0.01752,1.90645,4.34674,0.43038,0.09816,0.81222,0.78601,8.16898,32.41597,1.54845,8,0.01923,0.03666,-4.82536,-6.28014
"18","2014_Q3",60.45125,"Down",153495000,-96357000,57138000,-40918000,-34498000,-6420000,16220000,265000,-720000,1062000,-76999.9999999998,16485000,16485000,-5583000,10902000,10902000,10902000,10902000,218692000,218692000,107191000,107191000,63323000,29430000,4245000,17396000,418636000,146796000,275568000,108632000,40847000,19223000,56945000,422871000,841507000,69411000,23907000,2917000,42587000,7542000,7542000,97795000,89443000,10543114.4745553,16204000,73239000,146403000,244198000,146157000,464027000,-12875000,597309000,597309000,841507000,10902000,6696000,6018000,-11727000,11889000,-8032000,-8104000,-8104000,-8032000,-3825000,3522000,3522000,-863000,2994000,2994000,-760000,2234000,22916000,77802000,8740000,0.37225,0.10567,0.07103,0.01825,0.01296,0.80169,4.28075,0.40883,0.09246,0.60036,0.58335,8.45276,32.89299,0.4813,8,0.01426,0.01143,-6.14811,-8.68619
"19","2014_Q4",66.70171875,"Up",163052000,-98505000,64547000,-36158000,-30182000,-5976000,28389000,148000,-699000,953000,-106000,28537000,28537000,-8149000,20388000,20388000,20388000,20388000,227973000,227973000,115793000,115793000,65003000,29298000,5212000,15705000,438067000,146596000,265724000,101676000,41940000,20153000,56678000,412827000,850894000,85492000,24454000,9438000,51600000,7542000,7542000,121311000,88747000,14041563.6870145,14999000,73748000,132603000,253914000,148946000,484415000,-36381000,596980000,596980000,850894000,20388000,6693000,-2833000,3546000,27794000,-8442000,-8451000,-8451000,-8442000,-5060000,1893000,1893000,-3347000,16005000,16005000,-6724000,9281000,35082000,72133000,38335000,0.39587,0.17411,0.12504,0.03415,0.02396,1.88027,3.61111,0.42533,0.08477,1.1166,1.0883,8.92995,32.69511,2.09951,7,0.0269,0.05058,-4.44216,-5.48945
"20","2015_Q1",78.5940983606557,"Up",147724000,-88575000,59149000,-38584000,-32965000,-5619000,20565000,532000,-779000,1131000,180000,21097000,15707000,-8165000,7542000,7542000,7542000,7542000,237375000,237375000,99065000,99065000,76806000,24928000,4586000,13875000,438174000,150420000,251841000,98227000,44051000,17214000,54009000,402261000,840435000,77871000,20020000,6103000,51748000,6827000,6827000,120445000,101667000,17652000,14647000,69368000,132709000,253154000,155629000,496746000,-65094000,587281000,587281000,840435000,7542000,6410000,15210000,-1422000,27740000,-1e+07,-9967000,-9967000,-9833999.99999999,-5085999.99999999,4917000,4917000,-284000.000000004,17622000,17622000,-8220000,9402000,26975000,66789000,23718000,0.4004,0.13921,0.05105,0.01284,0.00897,3.14479,3.63796,0.43106,0.07947,0.41124,0.40074,8.05487,32.02237,1.29326,6,0.00998,0.03138,-6.32386,-8.29497
"21","2015_Q2",73.9638095238095,"Down",165051000,-102626000,62425000,-42255000,-36147000,-6108000,20170000,-216000,-1006000,919000,-129000,19954000,19954000,-6311000,13643000,13643000,13643000,13643000,199858000,199858000,118356000,118356000,82239000,34713000,5429000,17835000,435166000,179630000,370266000,175009000,40918000,17057000,54708000,549896000,985062000,88571000,29954000,8402000,50215000,6827000,6827000,138560000,130646000,19650000,37725000,73271000,273431000,411991000,160604000,505055000,-92588000,573071000,573071000,985062000,13643000,7973000,2738000,-11445000,12909000,-8486000,-8486000,-8486000,-164264000,119935000,5635000,5635000,123312000,-28043000,-28043000,-9474000,-37517000,28143000,185947000,14523000,0.37822,0.1222,0.08266,0.02381,0.01385,1.0645,3.14063,0.71892,0.18877,0.73842,0.71995,8.93326,31.01705,0.78605,3,0.01534,0.01632,-0.4943,-0.68969
"22","2015_Q3",56.26875,"Down",163098000,-102437000,60661000,-40079000,-33026000,-7053000,20582000,-1429000,-1304000,392000,-517000,19153000,19153000,-5599000,13554000,13554000,13554000,13554000,209762000,209762000,110788000,110788000,87032000,33554000,5153000,17690000,441136000,181531000,345063000,178617000,15799000,17228000,52450000,526594000,967730000,77453000,24924000,7569000,44960000,6827000,6827000,87720000,97427000,13150000,10055000,74222000,280121000,367841000,165173000,518595000,-83879000,599889000,599889000,967730000,13554000,8531000,3786000,-16367000,9504000,-5787000,-5788000,-5788000,-5787000,-66000,1225000,1225000,1074999.99999999,4792000,4792000,5112000,9904000,29113000,186134000,12558000,0.37193,0.12619,0.0831,0.02259,0.01401,0.92652,5.02891,0.61318,0.19234,0.72769,0.71127,8.75647,32.20708,0.67422,4,0.01534,0.01421,-0.811599999999999,-1.14799
"23","2015_Q4",52.41734375,"Down",160366000,-100694000,59672000,-36475000,-29190000,-7285000,23197000,-1007000,-1125000,876000,-758000,22190000,22190000,-9645000,12545000,12545000,12545000,12545000,192606000,192606000,107126000,107126000,85536000,39211000,5614000,15250000,424479000,180145000,339345000,177604000,13362000,17938000,52461000,519490000,943969000,76375000,24352000,10049000,41974000,8570000,8570000,88326000,97525000,13150000,9889000,74486000,279516000,367842000,130767000,531049000,-85689000,576127000,576127000,943969000,12545000,8705000,-4063000,5961000,23148000,-7309000,-7300000,-7300000,-7256000,-755000,-32590000,406000,-33701000,-17809000,-17809000,653000,-17156000,31902000,185372000,40199000,0.3721,0.14465,0.07823,0.02177,0.01329,3.20438,4.80582,0.63847,0.19638,0.68065,0.67269,8.70088,31.25859,2.18105,5,0.0146,0.0468,-0.22676,-0.31185
"24","2016_Q1",50.3685245901639,"Down",152928000,-100324000,52604000,-40298000,-33100000,-7198000,12306000,-7430000,-1045000,703000,-7088000,4876000,4876000,1702000,6578000,6578000,6578000,6578000,204586000,204586000,101428000,101428000,91824000,30827000,5058000,16204000,428665000,178661000,323029000,175453000,8594000,15348000,48615000,501690000,930355000,67153000,22251000,3599000,41303000,8245000,8245000,78648000,88019000,12623000,9455000,65941000,267125000,345773000,129974000,543066000,-88458000,584582000,584582000,930355000,6578000,8845000,19371000,-6433000,28361000,-3255000,-3263000,-3263000,-2990000,-754999.999999996,-6569000,428000,-7659000,17712000,17712000,-5732000,11980000,21151000,182356000,9761000,0.34398,0.08047,0.04301,0.01125,0.00707,1.48389,5.45042,0.59149,0.19601,0.36644,0.36413,8.51919,32.56543,0.54376,5,0.00769,0.01142,-1.05101,-1.80644
"25","2016_Q2",61.563125,"Up",160566000,-100058000,60508000,-36409000,-29860000,-6549000,24099000,-1054000,-1121000,613000,-546000,23045000,23045000,-8117000,14928000,14928000,14928000,14928000,229203000,229203000,107866000,107866000,90500000,22749000,4711000,18038000,450318000,177337000,334730000,178876000,17164000,16593000,48510000,512067000,962385000,72681000,23170000,8419000,41092000,8245000,8245000,84235000,89490000,14808000,9495000,65187000,267862000,352097000,129785000,557994000,-77491000,610288000,610288000,962385000,14928000,8973000,3341000,-1055000,26187000,-4813000,-4813000,-4813000,-4813000,-757000,-1006000,991000,-2938000,18436000,18436000,6181000,24617000,33072000,181681000,35321000,0.37684,0.15009,0.09297,0.02446,0.01551,2.36609,5.34597,0.57694,0.18878,0.8309,0.81959,8.93721,33.96905,1.96599,6,0.01694,0.04007,-1.43693,-1.97195
"26","2016_Q3",60.69984375,"Down",157490000,-97291000,60199000,-41442000,-34369000,-7073000,18757000,-217000,-1115000,708000,190000,18540000,18540000,-13163000,5377000,5377000,5377000,5377000,247397000,247397000,109310000,109310000,88257000,23134000,4171000,18963000,468098000,174808000,327295000,177067000,14820000,16653000,48442000,502103000,970201000,76640000,26751000,5438000,44451000,8245000,8245000,88538000,91230000,14808000,14982000,61440000,268470000,357008000,133001000,563371000,-83179000,613193000,613193000,970201000,5377000,9339000,7032000,3369000,25117000,-5179000,-5179000,-5179000,-5179000,-759000.000000007,-506000,1494000,-1290999.99999999,18647000,18647000,-453000.000000002,18194000,28096000,180893000,39449000,0.38224,0.1191,0.03414,0.00877,0.00554,7.33662,5.28697,0.58221,0.18645,0.29862,0.29457,8.74653,34.05493,2.19088,7,0.00607,0.04456,-2.36703,-3.54556
"27","2016_Q4",67.7177777777778,"Up",165258000,-103329000,61929000,-38783000,-31489000,-7294000,23146000,764000,-811000,899000,676000,23910000,23910000,-7845000,16065000,16065000,16065000,16065000,173516000,173516000,112049000,112049000,86274000,21121000,3511000,17610000,392960000,172889000,325232000,178329000,13384000,17935000,47664000,498121000,891081000,82280000,28321000,9607000,44352000,8245000,8245000,94178000,90716000,14808000,14334000,61574000,167060000,261238000,132144000,579436000,-81737000,629843000,629843000,891081000,16065000,9323000,7547000,9984000,42919000,-4934000,-4934000,-4934000,-4934000,-101064000,-3567000,431000,-104718000,-66733000,-66733000,-7148000,-73881000,32469000,79997000,45364000,0.37474,0.14006,0.09721,0.02551,0.01803,2.82378,4.17252,0.41477,0.08978,0.8926,0.88352,9.18202,34.99517,2.5205,8,0.02007,0.05667,-2.88026,-4.0404
"28","2017_Q1",81.7537096774194,"Up",1.73e+08,-106151000,66849000,-51220000,-43554000,-7666000,15629000,1890000,-883000,1926000,847000,17519000,16785000,-4872000,11913000,11913000,11913000,11913000,227767000,227767000,119604000,119604000,91130000,19900000,3020000,16009000,458401000,176916000,421183000,208431000,14634000,16183000,45259000,598099000,1056500000,90083000,28379000,10921000,50783000,7099000,7099000,101185000,78659000,8501000,13883000,56275000,319529000,420714000,136699000,591349000,-92262000,635786000,635786000,1056500000,11913000,10212000,-6330000,6949000,22744000,-3210000,-3210000,-3210000,-136878000,164820000,2085000,2085000,166816000,52682000,52682000,1569000,54251000,25841000,244873000,34452000,0.38641,0.09034,0.06886,0.01874,0.01128,2.89197,4.53033,0.66172,0.23178,0.66205,0.65309,9.61432,35.33322,1.91464,6,0.01242,0.03591,0.66197,1.0945
