"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","selling_marketing","general_administrative","depreciation_amortization","provision_for_doubtful_accounts","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebit"
"11","2013_Q2",1.52765625,"Down",14701000,-4278000,10423000,-9771000,-7439000,-2408000,-5031000,-672000,-1660000,652000,-562000,-874000,312000,90000,90000,-39000,51000,51000,51000,51000,472000,472000,9570000,9570000,1378000,2818000,832000,14238000,16653000,16653000,45335000,24871000,2709000,61988000,76226000,3056000,3056000,3872000,4182000,4182000,11110000,24594000,24594000,35704000,89202000,-48680000,40522000,40522000,76226000,28466000,0.709,0.04435,0.00347,0.00126,0.00067,1.28155,0.8811,0.37344,0.00234,0.00229,0.67428,1.85859,0.00074,42.93558
"12","2013_Q3",1.4709375,"Down",14662000,-4332000,10330000,-9469000,-7490000,-2482000,-5008000,-652000,-1327000,861000,-9e+05,-924000,24000,-39000,-39000,144000,105000,105000,105000,105000,102000,102000,9440000,9440000,1379000,2699000,713000,13620000,17958000,17958000,44173000,24221000,2263000,62131000,75751000,3833000,3833000,3124000,2782000,2782000,9739000,25204000,25204000,34943000,89383000,-48575000,40808000,40808000,75751000,28328000,0.70454,0.05872,0.00716,0.00257,0.00139,1.3985,0.85628,0.37396,0.0048,0.0048,0.67069,1.86669,0.00152,32.78281
"13","2013_Q4",1.750625,"Up",15740000,-4400000,11340000,-9417000,-6974000,-2391000,-4583000,-648000,-1795000,1923000,-845000,-838000,-7000,1078000,1078000,-429000,649000,649000,649000,649000,908000,908000,9291000,9291000,1343000,2611000,625000,14153000,18749000,18749000,43490000,24075000,2156000,62239000,76392000,4329000,4329000,3239000,2824000,2824000,10392000,24380000,24380000,34772000,89546000,-47926000,41620000,41620000,76392000,27619000,0.72046,0.12217,0.04123,0.01559,0.0085,1.36191,0.83546,0.36154,0.02965,0.02946,0.71899,1.90118,0.00937,13.89028
"14","2014_Q1",2.57606557377049,"Up",17177000,-5591000,11586000,-9126000,-6728000,-2377000,-4351000,-646000,-1752000,2460000,-889000,-861000,-28000,1571000,1571000,-707000,864000,864000,864000,864000,1138000,1138000,10697000,10697000,1234000,2814000,518000,15883000,18974000,18974000,42516000,24182000,2034000,61490000,77373000,4736000,4736000,5118000,3187000,3187000,13041000,21609000,21609000,34650000,89785000,-47062000,42723000,42723000,77373000,26727000,0.67451,0.14321,0.0503,0.02022,0.01117,1.21793,0.81104,0.34543,0.03942,0.03898,0.78369,1.94921,0.01244,10.40203
"15","2014_Q2",2.75492063492063,"Up",17242000,-5166000,12076000,-10300000,-7564000,-2655000,-4909000,-629000,-2107000,1776000,-844000,-827000,-17000,932000,932000,-349000,583000,583000,583000,583000,496000,496000,12099000,12099000,1398000,3010000,714000,17003000,19275000,19275000,41972000,24075000,1899000,61247000,78250000,5153000,5153000,5305000,2479000,2479000,12937000,21864000,21864000,34801000,89927000,-46478000,43449000,43449000,78250000,27169000,0.70038,0.103,0.03381,0.01342,0.00745,1.31429,0.80096,0.34721,0.02653,0.02596,0.7847,1.9774,0.00826,15.01858
"16","2014_Q3",2.8265625,"Up",16372000,-4449000,11923000,-9585000,-7522000,-2624000,-4898000,-625000,-1438000,2338000,-736000,-776000,40000,1602000,1602000,-716000,886000,886000,886000,886000,1041000,1041000,10768000,10768000,1485000,3008000,712000,16302000,20017000,20017000,41416000,24287000,1753000,61433000,77735000,4101000,4101000,3871000,2573000,2573000,10545000,22829000,22829000,33374000,89953000,-45592000,44361000,44361000,77735000,26700000,0.72826,0.1428,0.05412,0.01997,0.0114,1.54595,0.75233,0.34347,0.04001,0.03993,0.73924,2.00302,0.01247,10.97476
"17","2014_Q4",3.17796875,"Up",16613000,-4883000,11730000,-9287000,-7399000,-2483000,-4916000,-622000,-1266000,2443000,-749000,-752000,3000.00000000001,1694000,1694000,-842000,852000,852000,852000,852000,1902000,1902000,11505000,11505000,1589000,2917000,621000,17913000,22397000,22397000,40714000,24461000,1557000,63111000,81024000,4570000,4570000,4238000,3303000,3303000,12111000,23631000,23631000,35742000,90022000,-44740000,45282000,45282000,81024000,27869000,0.70607,0.14705,0.05129,0.01882,0.01052,1.47907,0.78932,0.34396,0.03837,0.03795,0.74818,2.0393,0.01165,10.62914
"18","2015_Q1",2.70459016393443,"Down",16260000,-4635000,11625000,-8851000,-7248000,-1983000,-5265000,-640000,-963000,2774000,-792000,-779000,-13000,1982000,1982000,-946000,1036000,1036000,1036000,1036000,515000,515000,10300000,10300000,1758000,2885000,633000,15458000,24520000,24520000,40235000,25073000,1406000,64755000,80213000,5215000,5215000,6452000,3062000,3062000,14729000,19032000,19032000,33761000,90157000,-43705000,46452000,46452000,80213000,25484000,0.71494,0.1706,0.06371,0.0223,0.01292,1.04949,0.72679,0.3177,0.04647,0.04482,0.7294,2.08376,0.0144,9.00108
"19","2015_Q2",3.12587301587302,"Up",16552000,-4636000,11916000,-10537000,-8712000,-2737000,-5975000,-631000,-1194000,1379000,-653000,-672000,19000,726000,-873000,354000,-519000,-519000,-519000,-519000,3224000,3224000,11498000,11498000,1979000,3381000,1129000,20082000,27036000,27036000,40348000,25852000,353000,67384000,87466000,5367000,5367000,5537000,2157000,2157000,13061000,28080000,28080000,41141000,90444000,-44119000,46325000,46325000,87466000,33617000,0.71991,0.08331,-0.03136,-0.0112,-0.00593,1.53755,0.88809,0.38434,-0.02326,-0.02326,0.74195,2.07654,-0.00649,22.03988
"20","2015_Q3",2.95515625,"Down",16936000,-5316000,11620000,-10537000,-8681000,-2687000,-5994000,-713000,-1143000,1083000,-387000,-387000,0,696000,696000,-55000,641000,641000,641000,641000,791000,791000,12304000,12304000,1898000,3296000,1044000,18289000,29069000,29069000,44421000,26584000,374000,73490000,91779000,6306000,6306000,6744000,3188000,3188000,16238000,28033000,28033000,44271000,90844000,-43336000,47508000,47508000,91779000,34777000,0.68611,0.06395,0.03785,0.01349,0.00698,1.12631,0.93186,0.37892,0.02864,0.02765,0.75668,2.12261,0.00779,31.38135
"21","2015_Q4",2.8646875,"Down",18311000,-5434000,12877000,-10547000,-8338000,-2655000,-5683000,-756000,-1453000,2330000,-385000,-338000,-47000,1945000,1945000,-807000,1138000,1138000,1138000,1138000,989000,989000,13584000,13584000,1907000,3076000,824000,19556000,29184000,29184000,45037000,30726000,367000,74221000,93777000,5526000,5526000,5266000,4018000,4018000,14810000,29969000,29969000,44779000,90966000,-41968000,48998000,48998000,93777000,35235000,0.70324,0.12725,0.06215,0.02323,0.01214,1.32046,0.91389,0.37573,0.05069,0.04987,0.81564,2.18254,0.01351,14.69785
"22","2016_Q1",3.15754098360656,"Up",18742000,-5555000,13187000,-10699000,-8471000,-2345000,-6126000,-784000,-1444000,2488000,-267000,-308000,41000,2221000,2221000,-696000,1525000,1525000,1525000,1525000,818000,818000,12622000,12622000,1916000,3604000,861000,18960000,32484000,32484000,43913000,31534000,251000,76397000,95357000,6586000,6586000,5029000,3641000,3641000,15256000,29781000,29781000,45037000,91240000,-40920000,50320000,50320000,95357000,34810000,0.70361,0.13275,0.08137,0.03031,0.01599,1.24279,0.89501,0.36505,0.06772,0.06612,0.83232,2.23468,0.01791,13.66238
"23","2016_Q2",3.14609375,"Down",18294000,-5737000,12557000,-12143000,-9484000,-2815000,-6669000,-912000,-1747000,414000,-285000,-305000,20000,129000,129000,-88000,41000,41000,41000,41000,569000,569000,13025000,13025000,2622000,3830000,1087000,20046000,34533000,34533000,44173000,31833000,260000,78706000,98752000,8014000,8014000,5177000,2462000,2462000,15653000,32433000,32433000,48086000,91545000,-40879000,50666000,50666000,98752000,37610000,0.6864,0.02263,0.00224,0.00081,0.00042,1.28065,0.94908,0.38085,0.00182,0.00178,0.81132,2.24697,0.00046,89.47101
"24","2016_Q3",2.83328125,"Down",18123000,-6980000,11143000,-10705000,-8716000,-2324000,-6392000,-922000,-1067000,438000,-320000,-327000,7000,118000,118000,35000,153000,153000,153000,153000,805000,805000,13675000,13675000,2096000,3950000,1207000,20526000,33565000,33565000,44193000,31855000,222000,77758000,98284000,5346000,5346000,5939000,2560000,2560000,13845000,33482000,33482000,47327000,91683000,-40726000,50957000,50957000,98284000,39421000,0.61485,0.02417,0.00843999999999999,0.003,0.00156,1.48256,0.92876,0.40109,0.00676,0.00662,0.80118,2.2527,0.00169,88.16438
"25","2016_Q4",2.24746031746032,"Down",17226000,-6837000,10389000,-9813000,-7757000,-2490000,-5267000,-958000,-1098000,576000,-390000,-384000,-6000,186000,186000,-130000,56000,56000,56000,56000,1072000,1072000,12216000,12216000,2065000,4003000,1260000,19356000,33422000,33422000,44310000,31814000,474000,77732000,97088000,4676000,4676000,7283000,2692000,2692000,14651000,31458000,31458000,46109000,91649000,-40670000,50979000,50979000,97088000,38741000,0.6031,0.03344,0.00325,0.0011,0.00058,1.32114,0.90447,0.39903,0.00247,0.00243,0.75974,2.24838,0.00062,65.39757
"26","2017_Q1",2.27435483870968,"Up",16854000,-6203000,10651000,-11105000,-8329000,-2028000,-6301000,-1057000,-1719000,-454000,-343000,-328000,-15000,-797000,-797000,325000,-472000,-472000,-472000,-472000,3398000,3398000,11581000,11581000,2166000,3624000,949000,20769000,31675000,31675000,43900000,31239000,225000,75575000,96344000,5315000,5315000,8252000,2872000,2872000,16439000,29216000,29216000,45655000,91831000,-41142000,50689000,50689000,96344000,37468000,0.63196,-0.02694,-0.02801,-0.00931,-0.0049,1.2634,0.90069,0.3889,-0.02086,-0.02217,0.7448,2.24,-0.00535,-75.04405
"27","2017_Q2",1.80269841269841,"Down",17654000,-7005000,10649000,-12618000,-9351000,-2886000,-6465000,-1411000,-1856000,-1969000,-365000,-328000,-37000,-2334000,-2334000,856000,-1478000,-1478000,-1478000,-1478000,194000,194000,12079000,12079000,2135000,1304000,1304000,15712000,30181000,30181000,4.6e+07,29633000,171000,76181000,91893000,4902000,4902000,33084000,2127000,2127000,40113000,2146000,2146000,42259000,92038000,-42404000,49634000,49634000,91893000,35230000,0.60321,-0.11153,-0.08372,-0.02978,-0.01608,0.39169,0.85141,0.38338,-0.06517,-0.06517,0.77838,2.18839,-0.01742,-17.7938
"28","2017_Q3",1.89793650793651,"Up",16942000,-6601000,10341000,-11433000,-8720000,-2295000,-6425000,-1387000,-1326000,-1092000,-399000,-333000,-66000,-1491000,-1491000,385000,-1106000,-1106000,-1106000,-1106000,76000,76000,11547000,11547000,1962000,1314000,1314000,14899000,28819000,28819000,44992000,28293000,61000,73811000,88710000,5247000,5247000,3253000,2494000,2494000,10994000,29018000,29018000,40012000,92208000,-43510000,48698000,48698000,88710000,32271000,0.61038,-0.06446,-0.06528,-0.02271,-0.01247,1.35519,0.82164,0.36378,-0.04864,-0.04864,0.74502,2.14148,-0.01366,-29.4826
"29","2017_Q4",2.16888888888889,"Up",17588000,-6547000,11041000,-10481000,-7823000,-2262000,-5561000,-1384000,-1274000,560000,-362000,-354000,-8000,198000,198000,-327000,-129000,-129000,-129000,-129000,803000,803000,10971000,10971000,1873000,1121000,1121000,14768000,27212000,27212000,43355000,26951000,70000,70567000,85335000,4093000,4093000,3433000,2427000,2427000,9953000,26636000,26636000,36589000,92385000,-43639000,48746000,48746000,85335000,30069000,0.62776,0.03184,-0.00733,-0.00265,-0.00151,1.48377,0.75061,0.35236,-0.00567,-0.00567,0.77288,2.14207,-0.00164,52.26071
"30","2018_Q1",2.34852459016393,"Up",18893000,-7563000,11330000,-11648000,-9085000,-2336000,-6749000,-1378000,-1185000,-318000,-319000,-317000,-2000,-637000,-1630000,-16364000,-17994000,-17994000,-17994000,-17994000,3469000,3469000,11385000,11385000,1764000,1049000,1049000,17667000,26569000,26569000,24645000,24514000,131000,51214000,68881000,5516000,5516000,3544000,3414000,3414000,12474000,25392000,25454000,37928000,92586000,-61633000,30953000,30953000,68881000,28936000,0.59969,-0.01683,-0.95242,-0.58133,-0.26123,1.41631,1.22534,0.42009,-0.78986,-0.78986,0.82932,1.35871,-0.30015,-80.08491
"31","2018_Q2",2.949375,"Up",16483000,-6410000,10073000,-9485000,-8298000,-2301000,-5997000,-1187000,0,588000,-326000,-315000,-11000,262000,262000,-58000,204000,204000,204000,204000,1530000,1530000,11087000,11087000,2063000,1114000,1114000,15794000,25708000,25708000,23463000,23327000,136000,49171000,64965000,5545000,5545000,3428000,1935000,1935000,10908000,22739000,22825000,33733000,92661000,-61429000,31232000,31232000,64965000,26167000,0.61111,0.03567,0.01238,0.00653,0.00314,1.44793,1.08008,0.40279,0.00895,0.00893,0.72296,1.36987,0.00355,41.89966
"32","2018_Q3",3.26571428571429,"Up",16415000,-6862000,9553000,-9757000,-8592000,-2326000,-6266000,-1165000,0,-204000,-295000,-296000,1000,-499000,-499000,-6000.00000000373,-505000,-505000,-505000,-505000,2361000,2361000,9892000,9892000,1991000,1634000,1634000,15878000,25340000,25340000,22299000,22162000,137000,47639000,63517000,5985000,5985000,3275000,2407000,2407000,11667000,22133000,22195000,33862000,91589000,-61934000,29655000,29655000,63517000,25408000,0.58197,-0.01243,-0.03076,-0.01703,-0.00795000000000002,1.36093,1.14186,0.40002,-0.02224,-0.02224,0.72302,1.30619,-0.00916,-112.97549
"33","2018_Q4",3.30111111111111,"Up",16677000,-7129000,9548000,-9643000,-8483000,-2323000,-6160000,-1160000,0,-95000,-379000,-370000,-9000,-474000,-474000,-45000,-519000,-519000,-519000,-519000,3882000,3882000,10043000,10043000,1985000,1303000,1303000,17213000,25640000,25640000,21139000,21002000,137000,46779000,63992000,7059000,7059000,4876000,2727000,2727000,14662000,28661000,28723000,43385000,83060000,-62453000,20607000,20607000,63992000,33537000,0.57253,-0.0057,-0.03112,-0.02519,-0.00811,1.17399,2.10535,0.52408,-0.02511,-0.02511,0.80672,0.99682,-0.00957,-312.15789
"34","2019_Q1",3.97967213114754,"Up",17563000,-7719000,9844000,-9718000,-8581000,-2157000,-6424000,-1137000,0,126000,-457000,-439000,-18000,-331000,-331000,56000,-275000,-275000,-275000,-275000,4318000,4318000,9593000,9593000,2254000,1372000,1372000,17537000,26534000,26534000,20002000,19865000,137000,46536000,64073000,7091000,7091000,4903000,2796000,2796000,14790000,28842000,28842000,43632000,83169000,-62728000,20441000,20441000,64073000,33745000,0.5605,0.00717,-0.01566,-0.01345,-0.00429,1.18573,2.13453,0.52666,-0.01411,-0.01415,0.90089,1.04852,-0.00508,233.54762
"35","2019_Q2",4.64126984126984,"Up",18193000,-7852000,10341000,-10761000,-9636000,-2602000,-7034000,-1125000,9681.53612098039,-420000,-481000,-460000,-21000,-901000,-901000,-59000,-960000,-960000,-960000,-960000,1900000,1900000,10475000,10475000,2553000,1470000,1470000,16398000,29287000,29287000,21560000,18740000,2820000,50847000,67245000,9672000,9672000,5337000,3466000,3466000,18475000,27519000,29027000,47502000,83431000,-63688000,19743000,19743000,67245000,32856000,0.56841,-0.02309,-0.05277,-0.04862,-0.01428,0.88758,2.40602,0.4886,-0.04903,-0.04903,0.92916,1.00832,-0.01774,-73.70476
"36","2019_Q3",4.83578125,"Up",19723000,-8367000,11356000,-10385000,-9261000,-2476000,-6785000,-1124000,33844.2972366726,971000,-527000,-488000,-39000,444000,444000,-63000,381000,381000,381000,381000,1702000,1702000,11218000,11218000,2742000,1368000,1368000,17030000,32339000,32339000,22992000,17616000,5376000,55331000,72361000,10206000,10206000,6084000,4244000,4244000,20534000,27478000,31575000,52109000,83559000,-63307000,20252000,20252000,72361000,33562000,0.57577,0.04923,0.01932,0.01881,0.00527,0.82936,2.57303,0.46381,0.01933,0.01933,1.0007,1.02754,0.00658,32.81153
"37","2019_Q4",7.36296875,"Up",21489000,-9251000,12238000,-10575000,-9528000,-2402000,-7126000,-1077000,30000,1663000,-499000,-488000,-11000,1164000,1164000,-29000,1135000,1135000,1135000,1135000,3157000,3157000,11462000,11462000,2768000,1605000,1605000,18992000,37165000,37165000,21738000,16539000,5199000,58903000,77895000,10669000,10669000,7009000,4136000,4136000,21814000,30342000,34362000,56176000,83891000,-62172000,21719000,21719000,77895000,37351000,0.5695,0.07739,0.05282,0.05226,0.01457,0.87063,2.58649,0.4795,0.05737,0.05107,1.08623,1.09786,0.01799,20.56164
"38","2020_Q1",9.02629032258064,"Up",21710000,-8763000,12947000,-11636000,-10493000,-2452000,-8041000,-1076000,-67000,1311000,-494000,-468000,-26000,817000,817000,-12000,805000,805000,805000,805000,2647000,2647000,12097000,12097000,2899000,1662000,1662000,19305000,38568000,38568000,21351000,15463000,5888000,59919000,79224000,7962000,7962000,8082000,5803000,5803000,21847000,30295000,35043000,56890000,83701000,-61367000,22334000,22334000,79224000,38377000,0.59636,0.06039,0.03708,0.03604,0.01016,0.88365,2.54724,0.48441,0.04055,0.03685,1.09349,1.12492,0.0123,27.254
"39","2020_Q2",11.4904761904762,"Up",21553000,-8890000,12663000,-12630000,-11270000,-2618000,-8652000,-1075000,-285000,33000,-422000,-403000,-19000,-389000,-389000,-29000,-418000,-418000,-418000,-418000,305000,305000,13985000,13985000,4232000,2002000,2002000,20524000,42228000,42228000,19926000,14388000,5538000,62154000,82678000,12795000,12795000,7295000,3708000,3708000,23798000,32325000,36860000,60658000,83805000,-61785000,22020000,22020000,82678000,39620000,0.58753,0.00153,-0.01939,-0.01898,-0.00506,0.86243,2.75468,0.47921,-0.02099,-0.02099,1.08207,1.10552,-0.00632,1191.36364
"40","2020_Q3",12.99109375,"Up",25999000,-10021000,15978000,-11472000,-10159000,-2449000,-7710000,-1075000,-238000,4506000,-341000,-332000,-9000,4165000,4165000,-25000.0000000001,4140000,4140000,4140000,4140000,482000,482000,16613000,16613000,4262000,1457000,1457000,22814000,42683000,42683000,18472000,13313000,5159000,61155000,83969000,7841000,7841000,7526000,4750000,4750000,20117000,33342000,37650000,57767000,83847000,-57645000,26202000,26202000,83969000,40868000,0.61456,0.17331,0.15924,0.158,0.0493,1.13407,2.20468,0.4867,0.20615,0.17785,1.2946,1.30471,0.058,8.96271999999976
"41","2020_Q4",15.0659375,"Up",25125000,-10003000,15122000,-11869000,-10783000,-2196000,-8587000,-1075000,-11000,3253000,-275000,-283000,8000,2978000,2978000,-38000,2940000,2940000,2940000,2940000,1939000,1939000,13927000,13927000,3973000,1587000,1587000,21426000,41755000,41755000,17127000,12238000,4889000,58882000,80308000,6936000,6936000,7759000,5009000,5009000,19704000,27034000,31215000,50919000,84094000,-54705000,29389000,29389000,80308000,34793000,0.60187,0.12947,0.11701,0.10004,0.03661,1.08739,1.73259,0.43324,0.14569,0.13538,1.24502,1.45632,0.04301,10.0996
"42","2021_Q1",18.7304918032787,"Up",24711000,-9715000,14996000,-13961000,-12644000,-2398000,-10246000,-1060000,-257000,1035000,-246000,-237000,-9000,789000,789000,9881000,10670000,10670000,10670000,10670000,9648000,9648000,14720000,14720000,3001000,2402000,2402000,29771000,41510000,41510000,25710000,11177000,4566000,67220000,96991000,6779000,6779000,9423000,6795000,6795000,22997000,29378000,33242000,56239000,84787000,-44035000,40752000,40752000,96991000,38801000,0.60686,0.04188,0.43179,0.26183,0.11001,1.29456,1.38003,0.40005,0.527,0.48596,1.22051,2.01279,0.12791,28.16715
