"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","selling_marketing","general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_income","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","deferred_revenue_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","other_investing_activities","net_cash_from_investing_activities","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"14","2013_Q3",83.7771875,"Up",141863000,-18156000,123707000,-97287000,-82445000,-67147000,-15298000,-13344000,-1498000,26420000,213000,213000,213000,26633000,26633000,-9279000,17354000,17354000,17354000,17354000,485149000,462167000,86785000,86785000,34852000,606786000,50919000,30606000,6845000,81525000,688311000,58970000,4129000,54841000,157103000,157103000,216073000,41320000,34117000,7203000,41320000,257393000,439093000,-7114000,-1061000,430918000,430918000,688311000,17354000,1544000,5010000,574000,24482000,-1274000,-1274000,-1274000,-38139000,-39413000,6613000,8558000,15171000,240000,240000,3109000,3349000,27964000,0,36543000,0.87202,0.18624,0.12233,0.04027,0.02521,2.10574,2.80825,0.59731,0,0.36993,0.34863,3.02402,9.18567,0.77897,5,0.03675,0.07738,-17.34906,-18.36294
"15","2013_Q4",78.26765625,"Down",153250000,-18498000,134752000,-107029000,-91888000,-73367000,-18521000,-13597000,-1544000,27723000,220000,220000,220000,27943000,27943000,-10352000,17591000,17591000,17591000,17591000,500511000,475533000,106208000,106208000,29794000,636513000,68682000,29946000,6688000,98628000,735141000,65862000,3017000,62845000,156985000,156985000,222847000,42963000,35850000,7113000,42963000,265810000,460316000,10477000,-1462000,469331000,469331000,735141000,17591000,1577000,11749000,-755000,30162000,-1348000,-1348000,-1348000,-21603000,-22951000,3705000,3270000,6975000,14186000,14186000,-820000,13366000,29300000,0,37549000,0.8793,0.1809,0.11479,0.03748,0.02393,2.13456,2.85628,0.56636,0,0.37183,0.35213,3.23934,9.92054,0.7937,6,0.03434,0.0733,-17.08229,-18.054
"16","2014_Q1",69.1826229508197,"Down",156819000,-19869000,136950000,-112070000,-95148000,-75589000,-19559000,-15342000,-1580000,24880000,215000,215000,215000,25095000,25095000,-9438000,15657000,15657000,15657000,15657000,482709000,457733000,118527000,118527000,29295000,630531000,88901000,35952000,7215000,124853000,755384000,77384000,1218000,76166000,166143000,166143000,243527000,49279000,43432000,5847000,49279000,292806000,481554000,-18059000,-917000,462578000,462578000,755384000,15657000,1613000,369000,22280000,39919000,-982000,-982000,-982000,-18733000,-19715000,-45790000,8224000,-37566000,-17362000,-17362000,-438000,-17800000,26493000,0,57229000,0.8733,0.15865,0.09984,0.03385,0.02073,3.65517,2.58916,0.63299,0,0.33213,0.31601,3.32659,9.81265,1.214,4,0.03059,0.11181,-18.22025,-19.40149
"17","2014_Q2",53.8296825396825,"Down",152643000,-20927000,131716000,-113502000,-96816000,-80311000,-16505000,-15040000,-1646000,18214000,195000,195000,195000,18409000,18409000,-5680000,12729000,12729000,12729000,12729000,398517000,373543000,100925000,100925000,28885000,528327000,105115000,37291000,8131000,142406000,670733000,62229000,1417000,60812000,171782000,171782000,234011000,46376000,42110000,4266000,46376000,280387000,486401000,-95879000,-176000,390346000,390346000,670733000,12729000,1670000,11303000,9742000,35444000,-1372000,-1372000,-1372000,-18158000,-19530000,-102908000,1708000,-101200000,-85286000,-85286000,1096000,-84190000,19884000,0,33934000,0.8629,0.11932,0.08339,0.03261,0.01898,2.66588,2.2577,0.7183,0,0.27631,0.26588,3.3135,8.47344,0.73662,4,0.02915,0.0777,-20.04209,-21.87971
"18","2014_Q3",51.5125,"Down",151144000,-20286000,130858000,-119954000,-102439000,-83697000,-18742000,-15835000,-1680000,10904000,-23000,-23000,195000,10881000,10881000,-4385000,6496000,6496000,6496000,6496000,414543000,364574000,101081000,101081000,34775000,550399000,121186000,36796000,7869000,157982000,708381000,66622000,1325000,65297000,171971000,171971000,238593000,51099000,46829000,4270000,51099000,289692000,510410000,-89383000,-2338000,418689000,418689000,708381000,6496000,1776000,14332000,9578000,32182000,-1084000,-1084000,-1084000,-42261000,-43345000,8340000,504000,8844000.00000001,-2319000.00000003,-2319000.00000003,-6650000,-8969000,12680000,0,25559000,0.86578,0.07214,0.04298,0.01552,0.00917,3.93458,2.30685,0.6919,0,0.14298,0.13764,3.32674,9.21553,0.56256,4,0.01383,0.05441,-32.69267,-38.01752
"19","2014_Q4",48.05046875,"Down",153021000,-19941000,133080000,-128183000,-109028000,-85925000,-23103000,-16468000,-2687000,4897000,-26000,-26000,202000,4871000,4871000,-1798000,3073000,3073000,3073000,3073000,364902000,314946000,114249000,114249000,35284000,514435000,134847000,34126000,7605000,168973000,683408000,72627000,1206000,71421000,172504000,172504000,245131000,52955000,49872000,3083000,52955000,298086000,519023000,-128854000,-4847000,385322000,385322000,683408000,3073000,2786000,17448000,-3068000,20239000,-1286000,-1286000,-1286000,-14869000,-16155000,-48500000,747000,-47753000,-43669000,-43669000,-5959000,-49628000,7683000,0,5127000,0.86968,0.032,0.02008,0.00798,0.0045,1.6684,2.09861,0.7736,0,0.06779,0.06527,3.37571,8.50038,0.1131,4,0.00701,0.0117,-47.49473,-74.51542
"20","2015_Q1",46.0722950819672,"Down",150735000,-20914000,129821000,-125052000,-105760000,-86047000,-19713000,-16800000,-2492000,4769000,-38000,-38000,181000,4731000,4731000,-1379000,3352000,3352000,3352000,3352000,387609000,337673000,117716000,117716000,20084000,525409000,140208000,47849000,6804000,188057000,713466000,73617000,860000,72757000,184312000,184312000,257929000,48527000,45423000,3104000,48527000,306456000,540016000,-125502000,-7504000,407010000,407010000,713466000,3352000,2814000,16595000,13221000,35982000,-2042000,-2042000,-2042000,-8969000,-11011000,-12057000,18526000,6469000,31440000,31440000,-8713000,22727000,7583000,0,20141000,0.86125,0.03164,0.02224,0.00824,0.0047,6.00865,2.03703,0.75294,0,0.07445,0.07173,3.34773,9.03944,0.44732,4,0.00736,0.04421,-51.11552,-81.27679
"21","2015_Q2",45.3050793650794,"Down",139123000,-20547000,118576000,-124831000,-105591000,-85782000,-19809000,-16778000,-2462000,-6255000,-43000,-43000,181000,-6298000,-6298000,4998000,-1300000,-1300000,-1300000,-1300000,411353000,350469000,93135000,93135000,40101000,544589000,139243000,33720000,7633000,172963000,717552000,58454000,520000,57934000,184495000,184495000,242949000,50407000,47184000,3223000,50407000,293356000,557738000,-126802000,-6740000,424196000,424196000,717552000,-1300000,2857000,11990000,8350000,21897000,-1678000,-1678000,-1678000,-13059000,-14737000,1714000,1785000,3499000,10659000,10659000,2137000,12796000,-3398000,0,-1724000,0.85231,-0.04496,-0.00934,-0.00306,-0.00181,1.32615,2.24158,0.69156,0,-0.02871,-0.02871,3.07217,9.36725,-0.03807,3,-0.00274,-0.00363,121.05739,65.76387
"22","2015_Q3",37.33515625,"Down",140742000,-20939000,119803000,-124357000,-105748000,-85842000,-19906000,-16135000,-2474000,-4554000,-35000,-35000,199000,-4589000,-4589000,-4647000,-9236000,-9236000,-9236000,-9236000,400010000,327204000,86367000,86367000,37633000,524010000,138064000,34790000,6992000,172854000,696864000,64165000,1178000,62987000,179635000,179635000,243800000,48709000,44812000,3897000,48709000,292509000,575683000,-162144000,-9184000,404355000,404355000,696864000,-9236000,2859000,7873000,8076000,9572000,-1437000,-1437000,-1437000,-11922000,-13359000,-18728000,4114000,-14614000,-18401000,-18401000,-4864000,-23265000,-1695000,0,9591000,0.85122,-0.03236,-0.06562,-0.02284,-0.01325,-1.03844,2.14934,0.7234,0,-0.20327,-0.20327,3.09752,8.89925,0.21108,3,-0.02039,0.02117,235.9941,87.83707
"23","2015_Q4",39.08390625,"Up",155696000,-20429000,135267000,-131758000,-111395000,-91393000,-20002000,-17963000,-2400000,3509000,-27000,-27000,207000,3482000,3482000,1396000,4878000,4878000,4878000,4878000,401106000,316396000,114591000,114591000,17052000,532749000,137210000,56028000,6913000,197814000,730563000,70742000,762000,69980000,184439000,184439000,255181000,49815000,45924000,3891000,49815000,304996000,593925000,-158678000,-9680000,425567000,425567000,730563000,4878000,2793000,13510000,-5416000,15765000,-1892000,-1892000,-1892000,-11904000,-18372000,-7788000,364000,-7424000,-10031000,-10031000,-777000,-10808000,6302000,0,-2402000,0.86879,0.02254,0.03133,0.01146,0.00668,-0.49241,2.08773,0.71668,0,0.10769,0.10769,3.43738,9.39545,-0.05303,6,0.01026,-0.00505,-63.64741,-114.30778
"24","2016_Q1",37.0088524590164,"Down",158206000,-20797000,137409000,-125999000,-105313000,-86182000,-19131000,-18411000,-2275000,11410000,-49000,34000,275000,11361000,11361000,-3983000,7378000,7378000,7378000,7378000,387179000,288107000,113429000,113429000,16769000,517377000,135904000,56713000,6737000,197196000,714573000,69987000,309000,69678000,194977000,194977000,264964000,53341000,49889000,3452000,53341000,318305000,603439000,-197962000,-9209000,396268000,396268000,714573000,7378000,2670000,26671000,460000,37179000,-1273000,-1273000,-1273000,-14362000,-15721000,-66675000,15244000,-51431000,-29973000,-29973000,1684000,-28289000,14080000,0,17250000,0.86854,0.07212,0.04664,0.01862,0.01033,2.33803,1.95263,0.80326,0,0.16536,0.14774,3.54571,8.88115,0.38661,6,0.01641,0.03837,-27.49851,-33.9333
"25","2016_Q2",44.105625,"Up",151774000,-20995000,130779000,-134007000,-112669000,-92731000,-19938000,-19228000,-2110000,-3228000,-77000,9000,255000,-3305000,-3305000,695000,-2610000,-2610000,-2610000,-2610000,410180000,302247000,100686000,100686000,19803000,530669000,134423000,60720000,6288000,199636000,730305000,66738000,164000,66574000,193803000,193803000,260541000,58204000,54111000,4093000,58204000,318745000,621851000,-200006000,-10285000,411560000,411560000,730305000,-2610000,2502000,16886000,7269000,24047000,-1033000,-1033000,-1033000,-8861000,-9894000,-81092548.8728424,1842000,1842000,15995000,15995000,-1855000,14140000,-726000,0,4815000,0.86167,-0.02127,-0.0172,-0.00634,-0.00357,-1.84483,2.0368,0.77448,0,-0.05899,-0.05899,3.43039,9.30205,0.10883,5,-0.00556,0.01025,564.98623,127.06939
"26","2016_Q3",50.2578125,"Up",159438000,-21657000,137781000,-137839000,-115509000,-94195000,-21314000,-20221000,-2109000,-58000,-127000,31000,276000,-185000,-184999.999999998,131000,-54000,-54000,-54000,-54000,439626000,321794000,105676000,105676000,20672000,565974000,133051000,63115000,6083000,200501000,766475000,71685000,104000,71581000,193182000,193182000,264867000,63068000,59243000,3825000,63068000,327935000,649836000,-200568000,-10728000,438540000,438540000,766475000,-54000,2502000,19044000,-1253000,20239000,-1047000,-1047000,-1047000,-9899000,-10946000,-50836912.3195572,10812000,10812000,20105000,20105000,-558000,19547000,2444000,0,13000,0.86417,-0.000360000000000003,-0.000340000000000014,-0.000119999999999997,-6.99999999999984e-05,-0.24074,2.13682,0.74779,0,-0.00121000000000003,-0.00121,3.57564,9.83494,0.000289999999999971,6,-0.00011,3.00000000000005e-05,-179.87971,7579.75862
"27","2016_Q4",53.6269841269841,"Up",167061000,-21166000,145895000,-142053000,-118663000,-97053000,-21610000,-21227000,-2163000,3842000,-221000,79000,312000,3621000,3621000,-1662000,1959000,1959000,1959000,1959000,437159000,316412000,115851000,115851000,15754000,568764000,132862000,64055000,6099000,200952000,769716000,76114000,143000,75971000,191052000,191052000,267166000,67360000,63763000,3597000,67360000,334526000,671162000,-221976000,-13996000,435190000,435190000,769716000,1959000,2569000,19377000,2863000,26768000,-2405000,-2405000,-2405000,-2915000,-5320000,-24997000,6393000,-18604000,2844000,2844000,-8226000,-5382000,6411000,0,8531000,0.8733,0.023,0.01173,0.0045,0.00255,4.35477,2.12888,0.76869,0,0.04344,0.04344,3.70415,9.64923,0.18915,7,0.0039,0.01698,-68.18889,-113.78423
"28","2017_Q1",51.0390322580645,"Down",166732000,-21374000,145358000,-147156000,-126021000,-99954000,-26067000,-18882000,-2253000,-1798000,-327000,87000,320000,-2125000,-2125000,2322000,197000,197000,197000,197000,450184000,329491000,140084000,140084000,15791000,606059000,132319000,87879000,37651000,223819000,829878000,78818000,117000,78701000,209099000,209099000,287917000,75029000,70803000,4226000,75029000,362946000,694924000,-215677000,-12315000,466932000,466932000,829878000,197000,2659000,17934000,8195000,28985000,-1939000,-1939000,-1939000,54000,-1885000,-25001000,8516000,-16485000,10615000,10615000,2464000,13079000,861000,0,4795000,0.87181,-0.01078,0.00118,0.00042,0.00024,24.3401,2.10498,0.7773,0,0.00439,0.00439,3.7163,10.40749,0.10688,6,0.00036,0.00885,-522.86179,250.38042
"29","2017_Q2",54.7288888888889,"Up",165972000,-21661000,144311000,-148672000,-123760000,-99909000,-23851000,-22545000,-2367000,-4361000,240000,201000,433000,-4121000,-4121000,3837000,-284000,-284000,-284000,-284000,480988000,349522000,131357000,131357000,24496000,636841000,131209000,89101000,37700000,223970000,860811000,69677000,446000,69231000,217539000,217539000,287216000,78598000,75004000,3594000,78598000,365814000,720493000,-216232000,-9264000,494997000,494997000,860811000,-284000,2772000,22796000,-5351000,19933000,-1474000,-1474000,-1474000,-10773000,-12247000,1711063.70866124,5570000,5570000,13256000,13256000,6775000,20031000,-1589000,0,-12251000,0.86949,-0.02628,-0.00171,-0.00057,-0.00033,43.13732,2.21729,0.73902,0,-0.00629,-0.00629,3.67781,10.96873,-0.27147,5,-5e-04,-0.02136,302.69855,110.29305
"30","2017_Q3",59.7115873015873,"Up",168140000,-23267000,144873000,-149528000,-124215000,-100595000,-23620000,-22925000,-2388000,-4655000,143000,305000,539000,-4512000,-4512000,3502000,-1010000,-1010000,-1010000,-1010000,494589000,363331000,129699000,129699000,28943000,653231000,129712000,91504000,38636000,224714000,877945000,63337000,182000,63155000,216757000,216757000,280094000,82568000,78922000,3646000,82568000,362662000,7.5e+08,-227022000,-7695000,515283000,515283000,877945000,-1010000,2795000,22262000,-14362000,9685000,-1160000,-1160000,-1160000,208000,-952000,-11259000,11165000,-93999.9999999963,8639000,8639000,5170000,13809000,-1860000,0,-20884000,0.86162,-0.02769,-0.00601000000000001,-0.00195999999999999,-0.00115,20.67723,2.33218,0.70381,0,-0.0221499999999999,-0.02215,3.68728,11.30007,-0.45798,3,-0.00169,-0.03493,265.90806,106.24898
