"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2013_Q4",3.305,"Down",7221000,-5673000,1548000,-1864000,-1792000,-72000,-316000,-20000,-76000,56000,-336000,1000,-335000,0,-335000,-593000,88000,-505000,-505000,2457000,2347000,110000,6512000,6512000,1677000,1916000,468000,1448000,12562000,15059000,4053000,4053000,19894000,32456000,5234000,1922000,461000,2851000,131000,8384000,3175000,381000,12000.0000000001,3556000,11940000,13285000,1622000,3704000,18611000,1905000,20516000,32456000,-586000,613000,239000,192000,458000,-602000,-1000,-603000,-573000,-573000,-718000,-718000,275000,-443000,297000,3306000,-113000,0.21437,-0.04376,-0.06993,-0.02461,-0.01556,0.22376,1.49833,0.58198,0.10186,-0.15202,-0.15202,2.17369,5.60235,-0.03402,-0.02087,-0.00467000000000001,2.85859,-2.68671
"12","2014_Q1",3.2372131147541,"Down",8516000,-6819000,1697000,-1670000,-1606000,-64000,27000,71000,-61000,132000,98000,50000,148000,164000,312000,119000,-73000,46000,46000,2897000,2793000,104000,8728000,8728000,2463000,2490000,358000,2132000,16578000,14744000,3931000,3728000,19466000,36044000,7655000,4136000,459000,3060000,105000,12394000,2841000,203000,12000,3044000,15438000,13287000,1668000,3680000,18635000,1971000,20606000,36044000,119000,612000,-109000,-1235000,-613000,-415000,999.999999999993,-414000,1418000,1418000,391000,391000,54000,445000,639000,2946000,-1175000,0.19927,0.00317,0.0054,0.00223,0.00128,-25.54348,1.33758,0.7492,0.08173,0.01385,0.01385,2.56352,5.60957,-0.3537,0.00194,-0.04946,0.07668,1.81481
"13","2014_Q2",3.25349206349206,"Up",9497000,-7406000,2091000,-2091000,-2039000,-52000,0,96000,-68000,164000,96000,-13000,83000,43000,126000,84000,-101000,-17000,-17000,2624000,2521000,103000,8996000,8996000,1952000,1946000,408000,1538000,15518000,14410000,4312000,4312000,19517000,35035000,7679000,4208000,469000,3002000,92000,11493000,2623000,164000,37000,2787000,14280000,13535000,1651000,3602000,18788000,1967000,20755000,35035000,84000,602000,50000,477000,1213000,-456000,15220.3976851581,-456000,-1088000,-954000,-197000,-197000,-75000,-272000,602000,2715000,580000,0.22017,0,-0.00179,-0.000820000000000004,-0.000490000000000001,-34.11765,1.35021,0.68803,0.07749,-0.005,-0.005,2.79406,5.52751,0.17064,-0.000719999999999999,0.02454,0.15116,-0.323343359223955
"14","2014_Q3",4.00390625,"Up",9339000,-7352000,1987000,-2095000,-2046000,-49000,-108000,-271000,-66000,-205000,-379000,2000.00000000001,-377000,39000,-338000,-368000,3000,-365000,-365000,2674000,2574000,1e+05,9223000,9223000,1314000,1597000,445000,1152000,14808000,15045000,4843000,4843000,19888000,34696000,7349000,4342000,468000,2539000,84000,11486000,2443000,203000,38000,2646000,14132000,13829000,1286000,3639000,18754000,1810000,20564000,34696000,-368000,596000,436000,324000,988000,-1234000,12412.2392870047,-1234000,155000,283000,37000,37000,16000,52999.9999999998,488000,2527000,-461000,0.21276,-0.01156,-0.03908,-0.01775,-0.01052,1.26301,1.28922,0.68722,0.07283,-0.10091,-0.10091,2.58197,5.18496,-0.12745,-0.01223,-0.01979,-0.30123,1.36111
"15","2014_Q4",3.354375,"Down",8039000,-6072000,1967000,-1946000,-1897000,-49000,21000,15000,-62000,77000,36000,0,36000,184000,220000,254000,-97000,157000,157000,2650000,2549000,101000,8163000,8163000,1823000,1526000,294000,1232000,14162000,14809000,5225000,5225000,20034000,34196000,7047000,3591000,273000,3183000,67000,10588000,2830000,195000,38000,3025000,13613000,13846000,1443000,3399000,18688000,1895000,20583000,34196000,254000,6e+05,169000,-70000,953000,-576000,-7.27595761418343e-12,-576000,-355000,-348000,29000,29000,-54000,-25000,621000,2897000,-209000,0.24468,0.00261,0.01953,0.00763,0.00459,-1.33121,1.33755,0.66137,0.08472,0.04456,0.04456,2.28186,5.30457,-0.05932,0.00672,-0.00883,0.39775,11.7619
"16","2015_Q1",2.87704918032787,"Down",9387000,-7133000,2254000,-2159000,-2113000,-46000,95000,60000,-67000,127000,155000,1000,156000,78000,234000,231000,51000,282000,282000,3040000,2938000,102000,8625000,8625000,1106000,516000,205000,311000,13287000,15306000,5997000,5609000,21303000,34590000,6422000,3162000,214000,3046000,81000,10718000,2798000,241000,39000,3039000,13757000,13854000,1725000,3522000,19101000,1732000,20833000,34590000,231000,496000,51000,-73000,705000,-793000,0,-793000,668000,438000,350000,350000,37000,387000,591000,2879000,-353000,0.24012,0.01012,0.03004,0.01354,0.00815,-1.25177,1.23969,0.66035,0.08323,0.08027,0.07711,2.67208,5.43723,-0.10048,0.02138,-0.01474,-0.27242,-1.69474
"17","2015_Q2",3.00634920634921,"Up",8093000,-6296000,1797000,-1916000,-1869000,-47000,-119000,-18000,-64000,46000,-137000,-15000,-152000,46000,-106000,-80000,-56000,-136000,-136000,2261000,2157000,104000,7850000,7850000,1494000,673000,260000,413000,12278000,15078000,5979000,5597000,21057000,33335000,6145000,3244000,216000,2685000,71000,9556000,2689000,168000,39000,2857000,12413000,13863000,1589000,3625000,19077000,1845000,20922000,33335000,-80000,623000,40000,-117000,466000,-467000,0,-467000,-950000,-950000,-951000,-951000,171000,-780000,504000,2760000,-126000,0.22204,-0.0147,-0.0168,-0.0065,-0.00408,0.92647,1.28485,0.5933,0.0828,-0.03871,-0.03871,2.30373,5.4304,-0.03587,-0.0057,-0.00528,0.99008,-4.19328
"18","2015_Q3",2.7321875,"Down",8897000,-6454000,2443000,-1912000,-1865000,-47000,531000,-50000,-58000,8000,481000,-83000,398000,-132000,266000,260000,-154000,106000,106000,2512000,2409000,103000,8232000,8232000,1450000,668000,263000,405000,12862000,14299000,5709000,5341000,20008000,32870000,6591000,3332000,267000,2992000,79000,9537000,2469000,167000,38000,2636000,12173000,13952000,1695000,3170000,18817000,1880000,20697000,32870000,260000,566000,181000,324000,1331000,-416000,0,-416000,-434000,-434000,481000,481000,-230000,251000,1097000,2548000,1137000,0.27459,0.05968,0.01191,0.00512,0.00322,10.72642,1.34864,0.58815,0.07752,0.03017,0.03017,2.53259,5.35639,0.32365,0.00453,0.04856,0.03282,0.0678000000000001
"19","2015_Q4",2.7109375,"Down",8543000,-6055000,2488000,-2016000,-1972000,-44000,472000,-49000,-52000,3000,423000,0,423000,-170000,253000,240000,-41000,199000,199000,2477000,2373000,104000,8361000,8361000,1410000,586000,302000,284000,12834000,13877000,4999000,4639000,18876000,31710000,6393000,2387000,241000,3765000,146000,8527000,2392000,203000,39000,2595000,11122000,13960000,1891000,2896000,18747000,1841000,20588000,31710000,240000,553000,57000,-255000,595000,-562000,636000,74000,-570000,-573000,96000,96000,-132000,-36000,1025000,2538000,378000,0.29123,0.05525,0.02329,0.00967,0.00628,1.8995,1.5051,0.54022,0.08004,0.05665,0.05473,2.43182,5.33646,0.1076,0.00866,0.0162,0.05951,0.12924
"20","2016_Q1",2.79655737704918,"Up",8399000,-6202000,2197000,-1903000,-1859000,-44000,294000,235000,-71000,306000,529000,127000,656000,-251000,405000,404000,-52000,352000,352000,3812000,3711000,101000,7875000,7875000,1141000,731000,244000,389000,13559000,14062000,4416000,3963000,18478000,32037000,6150000,2770000,296000,3084000,197000,8271000,2673000,371000,38000,3044000,11315000,13969000,2246000,2771000,18986000,1736000,20722000,32037000,404000,498000,-45000,841000,1698000,-811000,528000,-283000,273000,270000,1685000,1685000,-347000,1338000,792000,2870000,1073000,0.26158,0.035,0.04191,0.01699,0.01099,3.0483,1.63934,0.54604,0.08958,0.1002,0.10191,2.39083,5.4045,0.30544,0.01481,0.04478,-1.18939,-3.20408
"21","2016_Q2",3.4725,"Up",7930000,-5752000,2178000,-1879000,-1833000,-46000,299000,155000,-53000,208000,454000,0,454000,-67000,387000,377000,-118000,259000,259000,4093000,4001000,92000,7644000,7644000,1201000,721000,287000,351000,13659000,12666000,4155000,3722000,16821000,30480000,5890000,2980000,250000,2660000,169000,8274000,2204000,324000,32000,2528000,10802000,13973000,2505000,1716000,18194000,1484000,19678000,30480000,377000,484000,-20000,-153000,688000,-235000,38000,-197000,271000,271000,762000,762000,-472000,290000,783000,2373000,462000,0.27465,0.0377,0.03266,0.01316,0.0085,1.78378,1.65083,0.54894,0.07785,0.07373,0.07356,2.25733,5.17905,0.13151,0.01158,0.02065,-2.19668,-5.75251
"22","2016_Q3",3.4975,"Up",8354000,-6239000,2115000,-1791000,-1740000,-51000,324000,-33000,-51000,18000,291000,4000,295000,-86000,209000,215000,-25000,190000,190000,4463000,4370000,93000,7302000,7302000,1709000,654000,269000,299000,14128000,12246000,4116000,3703000,16362000,30490000,5921000,3042000,232000,2647000,206000,7918000,2296000,310000,37000,2606000,10524000,14024000,2695000,1649000,18368000,1598000,19966000,30490000,215000,453000,92000,-99000.0000000001,661000,-24000,25000,1000,-570000,-570000,92000,92000,277000,369000,777000,2502000,740000,0.25317,0.03878,0.02274,0.00952,0.00623,3.89474,1.78429,0.5271,0.08206,0.05408,0.05384,2.37802,5.22858,0.21065,0.00834,0.03249,-2.52381,-6.05247
"23","2016_Q4",3.33571428571429,"Down",9355000,-7223000,2132000,-1809000,-1758000,-51000,323000,-144000,-47000,-97000,179000,0,179000,-15000,164000,163000,-13000,150000,150000,3640000,3545000,95000,8970000,8970000,1414000,754000,294000,366000,14778000,12715000,4597000,4191000,17312000,32090000,6750000,4074000,214000,2462000,224000,8669000,2319000,267000,39000,2586000,11255000,14068000,2845000,2270000,19183000,1652000,20835000,32090000,163000,438000,-74000,-530000,-3000,-418000,-1.45519152283669e-11,-418000,-316000,-433000,-854000,-854000,29000,-825000,761000,2543000,-172000,0.2279,0.03453,0.01603,0.0072,0.00467,-1.14667,1.70469,0.5402,0.07925,0.04095,0.04082,2.55392,5.23696,-0.04696,0.01129,-0.00727,-1.44152,-3.39628
"24","2017_Q1",3.70854838709677,"Up",8815000,-6471000,2344000,-1846000,-1794000,-52000,498000,-136000,-53000,-83000,362000,12000,374000,-69000,305000,306000,-126000,180000,180000,4102000,3807000,295000,8826000,8826000,1460000,952000,264000,596000,15340000,12623000,4256000,3855000,16879000,32219000,5793000,2921000,230000,2642000,235000,8861000,2228000,259000,43000,2487000,11348000,14070000,3025000,2162000,19257000,1614000,20871000,32219000,306000,463000,92000,-1193000,-332000,-765000,-201000,-966000,1031000,967000,-331000,-331000,593000,262000,961000,2463000,-928000,0.26591,0.05649,0.02042,0.00862,0.00559,-5.15556,1.73118,0.54372,0.07645,0.05352,0.05271,2.62117,5.72614,-0.27594,0.01034,-0.03933,-1.70552,-3.29116
"25","2017_Q2",4.69047619047619,"Up",8971000,-6613000,2358000,-1981000,-1928000,-53000,377000,52000,-58000,110000,429000,0,429000,-83000,346000,347000,-44000,303000,303000,4918000,4216000,702000,8109000,8109000,1179000,756000,313000,354000,14962000,12341000,4228000,3827000,16569000,31531000,6194000,3311000,202000,2681000,226000,8246000,2060000,289000,43000,2349000,10595000,14071000,3328000,1944000,19343000,1593000,20936000,31531000,347000,464000,136000,1519000,2466000,-361000,-421000,-782000,-1169000,-1169000,515000,515000,-106000,409000,841000,2286000,2082000,0.26285,0.04202,0.03378,0.01447,0.00961,6.87129,1.81446,0.50607,0.0725,0.08625,0.08466,2.55366,5.50612,0.59266,0.01289,0.08855,-3.12961,-6.98143
"26","2017_Q3",4.61238095238095,"Down",9104000,-6810000,2294000,-2008000,-1956000,-52000,286000,155000,-48000,203000,441000,-8000,433000,-67000,366000,362000,-52000,310000,310000,4994000,4336000,658000,7577000,7577000,1666000,761000,363000,316000,14998000,11524000,4174000,3803000,15698000,30696000,6615000,3730000,204000,2681000,209000,8478000,1852000,279000,42000,2131000,10609000,14071000,3638000,918000,18627000,1460000,20087000,30696000,362000,452000,-10000,401000,1205000,-320000,0,-320000,-189000,-306000,579000,579000,-459000,120000,738000,2061000,886000,0.25198,0.03141,0.03405,0.01543,0.0101,2.85806,1.76905,0.52815,0.06714,0.08824,0.08794,2.59152,5.30231,0.25221,0.01904,0.03951,-3.97425,-10.25524
"27","2017_Q4",6.40095238095238,"Up",9825000,-7378000,2447000,-1932000,-1881000,-51000,515000,2000,-43000,45000,517000,-30000,487000,-106000,381000,380000,-30000,350000,350000,4545000,4009000,536000,8350000,8350000,2172000,712000,308000,321000,15779000,11915000,3841000,3465000,15756000,31535000,6166000,3379000,213000,2574000,196000,8668000,1794000,322000,43000,2116000,10784000,14125000,3988000,1276000,19389000,1362000,20751000,31535000,380000,442000,161000,-1641000,-658000,-703000,488000,-215000,490000,430000,-443000,-443000,116000,-327000,957000,1990000,-1281000,0.24906,0.05242,0.03562,0.01687,0.0111,-3.66,1.82037,0.51969,0.0631,0.09879,0.0965,2.77307,5.47248,-0.36156,0.01778,-0.05554,-2.6698,-4.96117
"28","2018_Q1",6.05885245901639,"Down",10638000,-8275000,2363000,-2005000,-1953000,-52000,358000,103000,-53000,156000,461000,-9000,452000,-85000,367000,366000,-13000,353000,353000,5559000,4772000,787000,9009000,9009000,1756000,713000,226000,401000,17037000,12507000,3954000,3579000,16461000,33498000,6505000,3229000,233000,3043000,228000,9549000,2083000,339000,44000,2422000,11971000,14127000,4341000,1633000,20101000,1426000,21527000,33498000,366000,478000,59000,37000.0000000002,940000,-815000,-230000,-1045000,696000,696000,591000,591000,172000,763000,836000,2311000,143000,0.22213,0.03365,0.03318,0.0164,0.01054,0.405100000000001,1.78417,0.55609,0.06899,0.1002,0.09181,3.01959,5.70565,0.04059,0.0146,0.00591,-3.88517,-9.07263
"29","2018_Q2",5.07734375,"Down",10945000,-8185000,2760000,-2202000,-2018000,-184000,558000,1e+05,-58000,158000,658000,-11000,647000,-42000,605000,602000,-27000,575000,575000,4231000,3188000,1043000,10172000,10172000,2482000,725000,336000,302000,17610000,12758000,4338000,3906000,17096000,34706000,7504000,3766000,255000,3483000,214000,9642000,2141000,369000,45000,2510000,12152000,14179000,4916000,2007000,21102000,1452000,22554000,34706000,602000,5e+05,6000,-1178000,-70000,-529000,73000,-456000,-923000,-925000,-1451000,-1451000,152000,-1299000,1058000,2355000,-607000,0.25217,0.05098,0.05254,0.02549,0.01657,-1.05565,1.82638,0.5388,0.06786,0.16275,0.15655,3.09793,5.97283,-0.17181,0.02283,-0.02401,-1.77316,-3.36201
"30","2018_Q3",4.45126984126984,"Down",10552000,-7757000,2795000,-2097000,-1979000,-118000,698000,-10000,-52000,42000,688000,1.81898940354586e-12,688000,-13000,675000,673000,0,673000,673000,5701000,5059000,642000,9493000,9493000,2972000,919000,280000,548000,19085000,13602000,4102000,3667000,17704000,36789000,7619000,3342000,292000,3985000,250000,10414000,2265000,374000,46000,2639000,13053000,14221000,5589000,2508000,22318000,1418000,23736000,36789000,673000,519000,55000,296000,1543000,-978000,263000,-715000,617000,537000,1365000,1365000,281000,1646000,1217000,2515000,548000,0.26488,0.06615,0.06378,0.02835,0.01829,0.81426,1.83263,0.54992,0.06836,0.18889,0.17404,2.96155,6.26382,0.1538,0.02982,0.02058,-2.61791,-4.56447
"31","2018_Q4",3.87936507936508,"Down",10104000,-7872000,2232000,-2029000,-1954000,-75000,203000,47000,-64000,111000,250000,31000,281000,-980000,-699000,-705000,-34000,-739000,-739000,6054000,5376000,678000,8617000,8617000,2369000,707000,219000,392000,17747000,14112000,4529000,4076000,18641000,36388000,7864000,2099000,1117000,4648000,260000,9811000,2207000,447000,43000,2654000,12465000,14269000,4850000,3248000,22367000,1556000,23923000,36388000,-705000,575000,188000,1591000,1649000,-501000,-133000,-634000,-1075000,-1067000,-52000,-52000,309000,257000,778000,2467000,2848000,0.2209,0.02009,-0.07314,-0.03089,-0.02031,-3.85386,1.80889,0.52105,0.0678,-0.20741,-0.19478,2.83581,6.27758,0.79933,-0.02746,0.10612,-4.61054,-17.66995
