"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","selling_marketing","general_administrative","research_development","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","deferred_revenue_long_term","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",24.5090322580645,"Up",55316000,-25710000,29606000,-25987000,-18491000,-12831000,-5660000,-7496000,3619000,119000,119000,3738000,4000,-1336000,-1332000,-1332000,-1332000,-1332000,118334000,118272000,62000,46193000,46193000,15036000,15036000,179563000,17675000,190767000,84576000,99850000,6341000,208442000,388005000,20646000,8093000,12553000,40360000,40360000,61006000,12751000,8583000,1959000,2209000,12751000,73757000,433895000,-19787000,-94560000,-5300000,314248000,314248000,388005000,-1332000,1429000,9728000,-825000,9e+06,-1534000,0,-25969000,3539000,3539000,2844000,-14125000,-14125000,1065000,-13060000,5048000,0,4025000,0.53522,0.06542,-0.02408,-0.00424,-0.00343,-3.02177,2.94337,0.23471,0,-0.03865,-0.03741,1.60522,9.11921,0.1168,-0.00407,0.01231,-23.44176,-32.69798
"12","2013_Q1",27.658,"Up",61398000,-27678000,33720000,-29716000,-20389000,-14399000,-5990000,-9327000,4004000,7000,-423000,4011000,-691000,-477000,-1168000,-1168000,-1168000,-1168000,124862000,124801000,61000,45344000,45344000,14985000,8212000,185671000,19756000,186944000,78967000,98974000,9003000,206700000,392371000,26011000,8841000,17170000,41304000,41304000,67315000,10870000,7072000,1641000,2157000,10870000,78185000,438769000,-22291000,-95728000,-6564000,314186000,314186000,392371000,-1168000,1510000,5299000,6440000,12081000,-3659000,0,-3659000,-2038000,466000,-1163000,7259000,7259000,-730000,6529000,5514000,0,8772000,0.5492,0.06521,-0.01902,-0.00372,-0.00298,-7.51027000000002,2.75824,0.24885,0,-0.03362,-0.03296,1.76726,9.04341,0.25249,-0.00359,0.02699,-22.64454,-31.18432
"13","2013_Q2",26.69453125,"Down",61689000,-28211000,33478000,-29340000,-21034000,-14473000,-6561000,-8306000,4138000,46000,46000,4184000,-128000,146000,18000,18000,18000,18000,107135000,107073000,62000,45940000,45940000,16403000,9083000,169933000,20352000,218217000,98859000,110894000,8464000,238569000,408502000,26169000,8873000,17296000,43638000,43638000,69807000,17164000,7933000,6883000,2348000,17164000,86971000,443970000,-22558000,-95710000,-4171000,321531000,321531000,408502000,18000,1713000,7420000,888000,10039000,-1782000,0,-30035000,690000,1623000,744000,-19252000,-19252000,1524000,-17728000,5851000,0,4811000,0.54269,0.06708,0.00029,6e-05,4e-05,267.27778,2.43433,0.27049,0,0.00052,0.00051,1.76714,9.21055,0.13782,5e-05,0.0142,-18.31055,-25.89053
"14","2013_Q3",28.5075,"Up",63609000,-30372000,33237000,-30848000,-22422000,-15955000,-6467000,-8426000,2389000,-585000,-585000,1804000,-8314000,1274000,-7040000,-7040000,-7040000,-7040000,280891000,280829000,62000,48916000,48916000,16555000,7528000,346816000,22461000,268985000,94583000,112180000,14405000,291446000,638262000,26526000,9733000,16793000,45762000,45762000,72288000,81990000,8365000,6574000,67051000,215731000,288019000,478775000,-22558000,-102750000,-3224000,350243000,350243000,638262000,-7040000,1728000,12955000,1888000,9531000,-3391000,-1.16415321826935e-10,-5040000,1285000,1285000,168793000,173284000,173284000,472000,173756000,4117000,133741000,1340000,0.52252,0.03756,-0.11068,-0.0201,-0.01103,-0.190339999999992,4.7977,0.82234,0.20954,-0.19952,-0.20366,1.80272,9.92612,0.03798,-0.01244,0.00237,-35.74205,-61.59481
"15","2013_Q4",32.3553125,"Up",64444000,-30267000,34177000,-31223000,-22769000,-16215000,-6554000,-8454000,2954000,-3134000,-3134000,-180000,-4860000,1301000,-3559000,-3559000,-3559000,-3559000,284036000,283973000,63000,46978000,46978000,14322000,7301000,345701000,22865000,212337000,87754000,109055000,15528000,235202000,580903000,26285000,8752000,17533000,46312000,46312000,72597000,16631000,7572000,5813000,3246000,152771000,225368000,493976000,-21888000,-106309000,-10244000,355535000,355535000,580903000,-3559000,1752000,9782000,2802000,10777000,-2428000,0,-5849000,2116000,2116000,1720000,6648000,6648000,-3504000,3144000,4706000,136140000,3779000,0.53034,0.04584,-0.05523,-0.01001,-0.00613,-1.06182,4.76192,0.63388,0.23436,-0.09985,-0.09985,1.80804,9.97489,0.10602,-0.007,0.00743,-31.42711,-50.06635
"16","2014_Q1",34.7973770491803,"Up",65032000,-30436000,34596000,-31464000,-23676000,-16182000,-7494000,-7788000,3132000,-3249000,3672000,-117000,-4991000,1177000,-3814000,-3814000,-3814000,-3814000,293077000,283552000,9525000,44430000,44430000,15243000,8479000,352750000,23631000,209141000,82872000,109196000,17073000,232772000,585522000,25003000,8933000,16070000,47184000,47184000,72187000,18004000,9104000,5457000,3443000.00000001,156586000,228773000,499220000,-21888000,-110123000,-10460000,356749000,356749000,585522000,-3814000,1668000,9418000,3957000,11229000,-2449000,-12477000,-11926000,632000,633000,724000,26999.9999999702,26999.9999999702,-448000,-421000,4800000,138582000,5131000,0.53198,0.04816,-0.05865,-0.01069,-0.00651,-1.34531,4.88661,0.64127,0.23668,-0.10612,-0.10612,1.80951,9.92651,0.14277,-0.00743,0.01,-32.18646,-49.32791
"17","2014_Q2",30.7185714285714,"Down",67249000,-29455000,37794000,-33135000,-24728000,-16242000,-8486000,-8407000,4659000,-4040000,-4040000,619000,-5086000,-962000,-6048000,-6048000,-6048000,-6048000,196180000,173588000,22592000,49936000,49936000,19926000,11638000,266042000,28509000,348005000,164593000,169591000,13821000,376514000,642556000,37470000,12625000,24845000,51139000,51139000,88609000,45512000,9111000,22532000,13869000,186579000,275188000,505244000,-21168000,-116171000,-537000,367368000,367368000,642556000,-6048000,1832000,12964000,-207000,8541000,-3318000,-13129000,-125365000,1596000,1596000,1712000,-115112000,-115112000,5148000,-109964000,6491000,141067000,3928000,0.562,0.06928,-0.08993,-0.01646,-0.00941,-0.64947,3.00243,0.74908,0.21954,-0.16701,-0.16701,1.85699,10.14436,0.10847,-0.01092,0.00709,-8.49068,-11.82936
"18","2014_Q3",28.0603125,"Down",73405000,-32404000,41001000,-35419000,-26148000,-18024000,-8124000,-9271000,5582000,-3391000,-3391000,2191000,-5983000,-1282000,-7265000,-7265000,-7265000,-7265000,205598000,181928000,23670000,52174000,52174000,17562000,10464000,275334000,28652000,343084000,155270000,175203000,12611000,371736000,647070000,35084000,10957000,24127000,49353000,49353000,84437000,47962000,12950000,20584000,14428000,191560000,275997000,512377000,-21168000,-123436000,3300000,371073000,371073000,647070000,-7265000,2106000,16059000,-518000,10382000,-2129000,-1176000,-4505000,1259000,1259000,1598000,7475000,7475000,865000,8339999.99999999,7688000,143598000,6323000,0.55856,0.07604,-0.09897,-0.01958,-0.01123,-0.87034,3.26082,0.74378,0.22192,-0.19813,-0.19813,2.00188,10.1198,0.17244,-0.01291,0.01124,-8.06452,-11.10713
"19","2014_Q4",25.74421875,"Down",78252000,-33591000,44661000,-38836000,-28151000,-19433000,-8718000,-10685000,5825000,-3573000,-3573000,2252000,-2532000,-1778000,-4310000,-4310000,-4310000,-4310000,224788000,202344000,22444000,59563000,59563000,17019000,12095000,301370000,30982000,344473000,148727000,181750000,13996000,375455000,676825000,39090000,11427000,27663000,64784000,64784000,103874000,46423000,12156000,19433000,14834000,192596000,296470000,523929000,-20579000,-127746000,4751000,380355000,380355000,676825000,-4310000,2010000,13540000,10188000,21428000,-3562000,1143000,-3624000,2011000,2011000,2172000,19976000,19976000,440000,20416000,7835000,146173000,16239000,0.57073,0.07444,-0.05508,-0.01133,-0.00637,-3.76775,2.9013,0.77946,0.21597,-0.11624,-0.11624,2.11036,10.25769,0.43794,-0.00752,0.02834,-10.03382,-13.49614
"20","2015_Q1",25.9572131147541,"Up",81679000,-35218000,46461000,-38763000,-27401000,-19008000,-8393000,-11362000,7698000,-3540000,10015000,4158000,-3421000,1940000,-1481000,-1481000,-1481000,-1481000,191478000,167673000,23805000,61064000,61064000,28238000,14334000,280780000,35901000,383662000,163504000,208991000,11167000,419563000,700343000,41825000,16283000,25542000,66571000,66571000,108396000,55726000,15997000,23537000,16192000,204521000,312917000,530416000,-20579000,-129227000,6816000,387426000,387426000,700343000,-1481000,2302000,12225000,-1176000,11870000,-3530000,-1441000,-47139000,239000,239000,183000,-35086000,-35086000,415000,-34671000,1e+07,148795000,3354000,0.56882,0.09425,-0.01813,-0.00382,-0.00211,-2.26469,2.59032,0.80768,0.21246,-0.03963,-0.03963,2.18545,10.36619,0.08974,-0.0025,0.00567,-4.2683,-5.54469
"21","2015_Q2",27.5674603174603,"Up",81343000,-34313000,47030000,-39160000,-27479000,-19202000,-8277000,-11681000,7870000,-3647000,-3647000,4223000,-2961000,-307000,-3268000,-3268000,-3268000,-3268000,196578000,171578000,2.5e+07,52571000,52571000,25450000,12122000,274599000,37303000,362754000,150840000,201320000,10594000,400057000,674656000,35702000,10549000,25153000,58230000,58230000,93932000,51299000,15445000,22286000,13568000,202763000,296695000,537462000,-19953000,-132495000,-7053000,377961000,377961000,674656000,-3268000,2509000,15389000,259000,14889000,-5897000,-1330000,-7912000,1307000,1307000,1358000,8335000,8335000,-4430000,3905000,10379000,151464000,5048000,0.57817,0.09675,-0.04018,-0.00865,-0.00484,-1.54468,2.92338,0.78499,0.22451,-0.08681,-0.08681,2.16068,10.0396,0.13409,-0.00563,0.00869,-4.34666,-5.7324
"22","2015_Q3",26.698125,"Down",82225000,-34113000,48112000,-39378000,-28348000,-19545000,-8803000,-11030000,8734000,-3587000,-3587000,5147000,-1853000,-109000,-1962000,-1962000,-1962000,-1962000,187283000,163498000,23785000,56589000,56589000,25340000,10888000,269212000,39276000,351442000,142141000,199292000,10009000,390718000,659930000,32844000,11158000,21686000,57948000,57948000,90792000,51079000,16040000,21691000,13348000,205259000,296051000,543801000,-30230000,-134457000,-15235000,363879000,363879000,659930000,-1962000,2508000,15156000,-4161000,11541000,-4665000,1092000,-7083000,-10013000,264000,-9994000,-5535999.99999999,-5535999.99999999,-2544000,-8080000,11242000,154180000,2525000,0.58513,0.10622,-0.02386,-0.00539,-0.00297,-1.28695,2.96515,0.8136,0.23363,-0.05196,-0.05196,2.17763,9.63688,0.0668699999999999,-0.00345,0.00444,-2.94458,-3.79013
"23","2015_Q4",28.2440625,"Up",81951000,-34913000,47038000,-41846000,-29130000,-20248000,-8882000,-12716000,5192000,-4600000,-4600000,592000,-7410000,-420000,-7830000,-7830000,-7830000,-7830000,140327000,116403000,23924000,64214000,64214000,31488000,13845000,236029000,41737000,411001000,190129000,209572000,11300000,452738000,688767000,37822000,13657000,24165000,70644000,70644000,108466000,63524000,16750000,31629000,15145000,220469000,328935000,552222000,-31738000,-142287000,-18365000,359832000,359832000,688767000,-7830000,2714000,17349000,12031000,24264000,-5067000,-208000,-69097000,-210000,2125000,-228000,-45061000,-45061000,-2034000,-47095000,7906000,156945000,15290000,0.57398,0.06335,-0.09554,-0.02176,-0.01137,-1.95275,2.17606,0.91413,0.22786,-0.20735,-0.20735,2.17014,9.52869,0.40489,-0.01349,0.02635,2.10195,3.20069
"24","2016_Q1",28.5886885245902,"Up",85370000,-36102000,49268000,-41444000,-29686000,-21156000,-8530000,-11758000,7824000,-3719000,10547000,4105000,-4092000,-17528000,-21620000,-21620000,-21620000,-21620000,144388000,121163000,23225000,65140000,65140000,19713000,14325000,229241000,47579000,411664000,185290000,215360000,11014000,459243000,688484000,36059000,11623000,24436000,70383000,70383000,106442000,73744000,17624000,35542000,20578000,233504000,339946000,560123000,-34167000,-163907000,-13511000,348538000,348538000,688484000,-21620000,2776000,34341000,-3491000,12006000,-7668000,608000,-7059999.99999999,-2034000,395000,-1953000,2993000,2993000,1767000,4759999.99999999,10600000,159760000,16969000,0.57711,0.09165,-0.25325,-0.06203,-0.0314,-0.78488,2.15367,0.97535,0.23205,-0.56813,-0.56813,2.24333,9.1588,0.44591,-0.03715,0.02915,1.45019,1.96472
"25","2016_Q2",26.15765625,"Down",82881000,-35335000,47546000,-40238000,-28978000,-20155000,-8823000,-11260000,7308000,-3671000,-3671000,3637000,-3642000,-611000,-4253000,-4253000,-4253000,-4253000,128296000,104137000,24159000,60584000,60584000,20150000,14234000,209030000,50008000,397371000,175847000,209714000,11810000,447379000,656409000,34094000,11259000,22835000,62527000,62527000,96621000,71658000,18127000,34203000,19328000,234284000,330905000,568054000,-54418000,-168160000,-19972000,325504000,325504000,656409000,-4253000,3077000,17555000,-5453000,10926000,-5830000,-1e+06,-6830000,-19919000,1435000,-19892000,-15796000,-15796000,-1230000,-17026000,10385000,162626000,-287000,0.57367,0.08817,-0.05131,-0.01307,-0.00648,0.06748,2.1634,1.01659,0.24775,-0.11191,-0.11191,2.18085,8.56499,-0.00755,-0.0076,-0.00051,3.30573,4.69759
"26","2016_Q3",21.9284375,"Down",86048000,-36107000,49941000,-43467000,-31702000,-22280000,-9422000,-11765000,6474000,-3856000,-3856000,2618000,-4597000,-642000,-5239000,-5239000,-5239000,-5239000,129794000,106019000,23775000,62199000,62199000,18932000,13679000,210925000,53507000,391526000,168478000,206837000,16211000,445033000,655958000,35035000,10801000,24234000,63011000,63011000,98046000,70468000,19187000,32101000,19180000,236010000,334056000,576231000,-57002000,-173399000,-23928000,321902000,321902000,655958000,-5239000,3248000,17394000,948000,16351000,-6954000,-3274000,-11491000,-2328000,256000,-2279000,2581000,2581000,-699000,1882000,9722000,165542000,4358000,0.58039,0.07524,-0.06088,-0.01628,-0.00799,-0.83184,2.15129,1.03776,0.25237,-0.13869,-0.13869,2.27797,8.52179,0.11537,-0.00939,0.00781000000000001,3.67702,5.52178
"27","2016_Q4",23.761746031746,"Up",86233000,-37219000,49014000,-42143000,-30209000,-20419000,-9790000,-11934000,6871000,-3882000,-3882000,2989000,-4237000,7000,-4230000,-4230000,-4230000,-4230000,148820000,115433000,33387000,61444000,61444000,21081000,15607000,231345000,58156000,389059000,162751000,207613000,18695000,447215000,678560000,35250000,12203000,23047000,74775000,74775000,110025000,71314000,20486000,31429000,19399000,239826000,349851000,584291000,-55807000,-177629000,-22146000,328709000,328709000,678560000,-4230000,3464000,16699000,9456000,25389000,-7985000,-10124000,-18109000,1570000,1570000,1628000,8908000,8908000,506000,9414000,10335000,168512000,11799000,0.56839,0.07968,-0.04905,-0.01287,-0.00623,-2.78936,2.10266,1.06432,0.24834,-0.11103,-0.11103,2.26339,8.62776,0.30969,-0.00744,0.02075,1.90537,2.86596
"28","2017_Q1",25.1935483870968,"Up",88112000,-38439000,49673000,-44899000,-32503000,-21214000,-11289000,-12396000,4774000,-3903000,11103000,871000,-6387000,461000,-5926000,-5926000,-5926000,-5926000,132383000,97174000,35209000,61773000,61773000,22385000,16141000,216541000,51029000,383640000,164930000,202028000,16682000,434669000,651210000,37730000,10218000,27512000,74332000,74332000,112062000,74504000,19086000,28147000,27271000,244361000,356423000,591842000,-75832000,-183555000,-37668000,294787000,294787000,651210000,-5926000,3700000,18421000,-1439000,14756000,-6940000,-1889000,-9329000,-19758000,266000,-19892000,-14465000,-14465000,-3794000,-18259000,8474000,169857000,-365999.999999998,0.56375,0.05418,-0.06726,-0.0201,-0.0091,0.0617599999999996,1.93233,1.20909,0.26083,-0.15615,-0.15615,2.32173,7.76757,-0.00963999999999998,-0.01099,-0.00068,4.42223,7.84959999999999
