"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","deferred_revenue_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"21","2015_Q4",15.94,"Down",20780000,-6180000,14600000,-37837000,-10226000,-27611000,-23237000,-1223000,-1301000,-24460000,-24460000,-24460000,-24460000,-24460000,-24460000,123718000,71514000,8392000,8392000,11101000,9879000,9879000,153090000,2686000,5644000,158734000,23363000,4437000,18926000,5789000,5789000,44851000,47990000,44244000,3746000,82084000,126935000,518775000,-486976000,31799000,31799000,158734000,-24460000,402000,6061000,1012000,-16985000,-336000,20293000,437000,437000,437000,3745000,3745000,3745000,-22835000,49793000,0.7026,-1.11824,-1.17709,-0.76921,-0.15409,3.4133,3.99179,0.31369,-0.19272,-0.19272,0.16372,0.25054,-0.18876,3.23735,3.18135
"22","2016_Q1",9.40983606557377,"Down",52227000,-8427000,43800000,-38335000,-10589000,-27746000,5464999.99999999,-1147000,-1302000,4318000,4317999.99999999,4318000.00000001,4318000.00000001,4318000.00000001,4318000.00000001,108339000,43292000,32410000,32410000,9489000,21534000,21534000,171772000,3943000,10017000,181789000,31291000,4499000,26792000,9304000,9304000,62457000,48362000,43919000,4443000,76333000,138790000,525756000,-482658000,42999000,42999000,181789000,4318000.00000001,459000,172000,-20146000,-15197000,-1634000,-14756000,1731000,1731000,1731000,-28222000,-28222000,-28222000,5923999.99999999,49833000,0.83865,0.10464,0.0826799999999996,0.10042,0.02375,2.75024,3.22775,0.27413,0.03362,0.03596,0.40659,0.33475,0.03058,-9.8761,-10.70558
"23","2016_Q2",9.868125,"Up",42499000,-7762000,34737000,-50906000,-10806000,-40100000,-16169000,-3647000,-3876000,-19816000,-19816000,-19816000,-19816000,-19816000,-19816000,238638000,69093000,25543000,25543000,10345000,22509000,22509000,297035000,4440000,12061000,309096000,28002000,6211000,21791000,8804000,8804000,64223000,46801000,42895000,3906000,215401000,279624000,531519000,-502135000,29472000,29472000,309096000,-19816000,489000,7380000,-1076000,-13023000,-1099000,-105622000,285000,285000,144446000,25801000,25801000,25801000,-15680000,196017000,0.81736,-0.38046,-0.46627,-0.67237,-0.06411,4.62506,9.48779,0.63416,-0.15528,-0.15815,0.33303,0.23094,-0.07278,2.71818,2.63597
"24","2016_Q3",10.2190625,"Up",33336000,-8308000,25028000,-46751000,-11221000,-35530000,-21723000,-4852000,-5249000,-26575000,-26575000,-26875000,-26875000,-26875000,-26875000,229990000,61233000,23227000,23227000,10755000,20372000,20372000,284344000,4682000,11783000,296127000,27501000,3650000,23851000,8096000,8096000,38885000,42472000,41872000,6e+05,247322000,286207000,538714000,-529010000,9920000,9920000,296127000,-26875000,623000,9105000,4302000,-12845000,-1167000,-435000,826000,826000,5420000,-7860000,-7860000,-7860000,-21100000,208138000,0.75078,-0.65164,-0.80619,-2.70917,-0.09075,7.31243,28.85151,0.70287,-0.21003,-0.21003,0.26052,0.07753,-0.10316,1.03564,1.00594
"25","2016_Q4",10.9528571428571,"Up",31853000,-9134000,22719000,-45462000,-11599000,-33863000,-22743000,-4919000,-5253000,-27662000,-27662000,-28946000,-28946000,-28946000,-28946000,221052000,61207000,17679000,17679000,12852000,21022000,21022000,272605000,4407000,9893000,282498000,30374000,4641000,25733000,9892000,9892000,52660000,42027000,40849000,1178000,241830000,294490000,545880000,-557955000,-11992000,-11992000,282498000,-28946000,654000,6094000,13450000,-8748000,-424000,8246000,511000,511000,476000,-26000,-26000,-26000,-22089000,212197000,0.71325,-0.714,-0.90874,2.41378,-0.10246,5.1767,-24.5572,0.75115,-0.22587,-0.22806,0.24855,-0.09357,-0.1195,0.40088,0.38935
"26","2017_Q1",12.6401612903226,"Up",39003000,-8002000,31001000,-53576000,-12227000,-41349000,-22575000,-5233000,-5599000,-27808000,-27808000,-27386000,-27386000,-27386000,-27386000,204981000,66764000,15680000,15680000,14623000,21248000,21248000,256532000,4264000,4983000,261515000,32399000,3578000,28821000,4793000,4793000,54585000,40183000,39825000,358000,239411000,293996000,552867000,-585342000,-32481000,-32481000,261515000,-27386000,644000,9972000,1003000,-15767000,-447000,21045000,242999.999999998,242999.999999998,279000,5557000,5557000,5557000,-21931000,216621000,0.79484,-0.5788,-0.70215,0.84314,-0.10472,4.69968,-9.05131999999999,0.82833,-0.21374,-0.20798,0.3044,-0.2535,-0.12208,-0.53076,-0.51561
"27","2017_Q2",13.355873015873,"Up",29568000,-7544000,22024000,-49550000,-12615000,-36935000,-27526000,-5161000,-5448000,-32687000,-32687000,-32897000,-32897000,-32897000,-32897000,178985000,45188000,12452000,12452000,14290000,16627000,16627000,222354000,3741000,4413000,226767000,28014000,3079000,24935000,4093000,4093000,61708000,39128000,38802000,326000,223558000,285266000,559789000,-618239000,-58499000,-58499000,226767000,-32897000,602000,6986000,2850000,-22459000,-99000,4265000,-393000,-393000,-3382000,-21576000,-21576000,-21576000,-26924000,214031000,0.74486,-0.93094,-1.11259,0.56235,-0.14507,3.60333,-4.87643,0.94384,-0.25578,-0.25578,0.2299,-0.45484,-0.169,-1.30166,-1.2732
"28","2017_Q3",13.5446031746032,"Up",33750000,-7788000,25962000,-51440000,-13101000,-38339000,-25478000,-5105000,-5540000,-30583000,-30583000,-30763000,-30763000,-30763000,-30763000,297533000,114745000,14473000,14473000,15172000,13656000,13656000,340834000,3330000,3952000,344786000,32584000,5650000,26934000,4516000,4516000,82615000,38489000,37779000,710000,204006000,286621000,707228000,-649002000,58165000,58165000,344786000,-30763000,570000,8157000,5040000,-16996000,-230000,-49292000,139249000,139249000,135845000,69557000,69557000,69557000,-24908000,211032000,0.76924,-0.7549,-0.9115,-0.52889,-0.08922,4.12557,4.92772,0.61207,-0.22955,-0.22955,0.25184,0.43403,-0.09998,3.47282,3.39513
"29","2017_Q4",18.3842857142857,"Up",63731000,-8332000,55399000,-47322000,-13329000,-33993000,8077000,-4748000,-5538000,3329000,3329000,2749000,2749000,2749000,2749000,316922000,164397000,14695000,14695000,9331000,12397000,12397000,353345000,3232000,3804000,357149000,36522000,4152000,32370000,4093000,4093000,102048000,37295000,36755000,540000,182712000,284760000,718695000,-646253000,72389000,72389000,357149000,2749000,496000,6130000,10884000,20259000,-161000,30283000,3705000,3705000,-890000,49652000,49652000,49652000,8573000,206850000,0.86926,0.12674,0.04313,0.03798,0.0077,3.46254,3.93375,0.57917,0.01947,0.01919,0.45138,0.51271,0.00868,-12.83938,-13.62783
"30","2018_Q1",19.3655737704918,"Up",189564000,-7488000,182076000,-56147000,-14771000,-41376000,125929000,-4378000,-5458000,121551000,121551000,123882000,123882000,123882000,123882000,469214000,168740000,22133000,22133000,5146000,13879000,13879000,510372000,3520000,9573000,519945000,47549000,7948000,39601000,6568000,6568000,131328000,55111000,54297000,814000,180251000,311579000,731187000,-522371000,208366000,208366000,519945000,123882000,493000,4201000,24673000,153249000,-860000,-148988000,5088999.99999999,5089000,82000,4343000,4343000,4343000,126422000,202351000,0.9605,0.66431,0.65351,0.59454,0.23826,3.88624,1.49534,0.38918,0.87328,0.82364,1.33629,1.46884,0.26594,-2.11089,-2.11915
