"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","selling_marketing","general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_income","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","total_current_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2013_Q2",9.34296875,"Up",10177862,-5027164,5150698,-3331669,-1776141,-505437,-1270704,-235756,-1319772,1819029,11664,11664,11664,1830693,1830693,-584154,1246539,1246539,1179307,1179307,5372448,5372448,3413367,3413367,4174348,1301715,657967,14261878,6628690,2580146,800476,1046944,732726,9208836,23470714,3978025,1246141,2063052,475179,4453204,859385,5312589,7904580,9152568,17057148,18158125,23470714,1179307,235756,173493,-776550,812006,-55195,-58803,-113998,-647256,50752,50752,50752,2054785,0,1807194,0.50607,0.17872,0.11587,0.06495,0.05025,1.53242,3.20261,0.29257,0,0.19415,0.18684,1.67555,2.80807,0.29751,0.09711,0.09503,-2.6146,-2.95347
"12","2013_Q3",9.5071875,"Up",8663161,-3700926,4962235,-3370495,-1670836,-462721,-1208115,-235997,-1463662,1591740,15324,15324,15324,1607064,1607064,-510568,1096496,1096496,1027784,1027784,4138645,4138645,3442083,3442083,5183894,1710403,1015556,14475025,6742222,2599393,815193,1046944,737256,9341615,23816640,3759356,1482191,1604420,447439,4206795,822139,5028934,8093606,9507609,17601215,18787706,23816640,1027784,235997,236129,-1525455,-25545,-350609,-252190,-602799,-605459,-1233803,-1233803,-1233803,1827737,-5.82076609134674e-11,462241,0.5728,0.18374,0.11864,0.05471,0.04315,0.449749999999993,3.44087,0.26767,1.73472347597681e-18,0.16856,0.15848,1.42082,2.88673,0.0758099999999999,0.08652,0.02357,-2.26435,-2.60008
"13","2013_Q4",9.42421875,"Down",9279994,-5061615,4218379,-3213996,-1702047,-555833,-1146214,-198466,-1313483,1004383,16702,16702,16702,1021085,1021085,-406886,614199,614199,699174,699174,3407316,3407316,4447414,4447414,4677494,1841260,923431,14373484,7251058,2617658,814659,1050284,752715,9868716,24242200,3896851,1401157,1822949,442986,4339837,934573,5274410,8260270,9534037,17794307,18967790,24242200,750143,198466,327748,-482071,794286,-704027,-148843,-852870,-672745,-731329,-731329,-731329,1202849,0,423637,0.45457,0.10823,0.07534,0.03686,0.02884,0.60591,3.31199,0.27807,0,0.11432,0.10789,1.51737,2.90953,0.06927,0.06893,0.02129,-2.8327,-3.39245
"14","2014_Q1",8.93655737704918,"Down",11063790,-5823706,5240084,-3633702,-2008079,-629775,-1378304,-356556,-1269067,1606382,-8427,-8427,40906,1597955,830322,-653052,177270,177270,1486179,1486179,5859729,5859729,5198223,5198223,4410763,1373499,673738,16842214,8488198,9822627,6081431,3063473,677723,18310825,35153039,6051391,1971530,3404439,1798781,7958195,7342466,15300661,9105929,10344794,19450723,19852378,35153039,177270,356556,527875,3021469,4083170,-7082920,-563004,-7645924,6015167,2452413,2452413,2452413,1962938,6400000,-1445461,0.47362,0.14519,0.13433,0.07486,0.04228,-0.972599999999999,2.11634,0.77072,0.18206,0.24313,0.2297,1.80998,3.18204,-0.23647,0.07907,-0.05294,0.27524,0.336330000000001
"15","2014_Q2",9.12174603174603,"Up",10322206,-4833471,5488735,-4017424,-2057500,-646067,-1411433,-374412,-1585512,1471311,-48824,-48824,12509,1422487,1297936,-360664,937272,937272,711334,711334,9794973,9794973,3967871,3967871,4217089,1331352,716629,19311285,8334194,11953317,6999501,4216444,737372,20287511,39598796,6547404,2274765,3590549,1779148,8732490,7050238,15782728,10811945,10374037,21185982,23816068,39598796,937272,374412,275347,2091040,3678071,-119193,-47447,-166640,423813,3935244,3935244,3935244,1845723,6400000,4178234,0.53174,0.14254,0.06891,0.02987,0.01796,5.8738,2.21143,0.66269,0.16162,0.11549,0.10963,1.67593,3.43979,0.67839,0.04434,0.13361,-1.83937,-2.30745
"16","2014_Q3",9.97484375,"Up",9457448,-3867671,5589777,-3575975,-1758860,-583792,-1175068,-365127,-1451988,2013802,-46777,-46777,14557,1967025,1382364,-453001,929363,929363,877356,877356,8396786,8396786,4095952,4095952,5234623,1708068,787871,19435429,7068653,12147110,6907571,4130444,1109095,19215763,38651192,5954169,1961335,3310435,1562901,8223763,6755581,14979344,10394654,10568995,20963649,23671848,38651192,929363,365127,262144,-1521264,35370,246170.000000001,-369540,-123370,-1310187,-1398187,-1398187,-1398187,2378929,6400000,1556836,0.59104,0.21293,0.09277,0.03706,0.0227,1.77446,2.36333,0.63279,0.16558,0.14169,0.13624,1.52737,3.38562,0.25143,0.05009,0.05,-0.83936,-0.991550000000001
"17","2014_Q4",9.7871875,"Down",10561562,-5527876,5033686,-3480064,-1839031,-608536,-1230495,-357865,-1283168,1553622,-44458,-44458,16208,1509164,1509164,-554500,954664,954664,962378,962378,7860305,7860305,4826180,4826180,5045790,1365959,622903,19098234,6853888,11918327,6815641,4130444,972242,18772215,37870449,6215050,2020961,3522188,1342275,8567642,6394282,14961924,9303432,10859472,20162904,22908525,37870449,954664,357865,-181291,-358606,772632,-41798,628013,586215,-1895328,-536481,-536481,-536481,1911487,6400000,2065583,0.4766,0.1471,0.09112,0.04201,0.02541,2.14633,2.22911,0.65312,0.169,0.15616,0.15082,1.71375,3.2717,0.33517,0.05426,0.06814,-0.76396,-0.93994
"18","2015_Q1",11.0568852459016,"Up",11167160,-6380591,4786569,-3052861,-1650539,-635632,-1014907,50732,-1453054,1733708,-44467,-44467,15388,1689241,1590977,-669530,921447,921447,1386772,1386772,7157371,7157371,4291470,4291470,4785376,1423670,677768,17657887,6797536,9682790,5879888,2977473,825429,16480326,34138213,6127243,1675746,3729961,951241,8287372,6112986,14400358,7343476,11524708,18868184,19737855,34138213,921447,343044,906191,-785240,1385442,-181748,95701,-86047,-2002329,-702934,-702934,-702934,2076752,6292367,1779294,0.42863,0.15525,0.12418,0.07026,0.04062,1.28305,2.1307,0.72958,0.18432,0.2287,0.21858,1.84161,3.1116,0.29343,0.07608,0.06575,-0.41652,-0.49893
"19","2015_Q2",10.5355555555556,"Down",10364022,-5163890,5200132,-3789221,-1964471,-635591,-1328880,-364850,-1459900,1410911,-45252,-45252,13638,1365659,1365659,-432300,933359,933359,762959,762959,8368298,8368298,3488663,3488663,3868711,1357588,720145,17083260,6663152,9545743,5797936,2977473,770334,16208895,33292155,6225327,1512058,3999431,820681,8264533,5773712,14038245,7613673,11573830,18153144,19253910,33292155,933359,364850,337226,1729811,3365246,-200386,91042,-109344,-2044975,1210927,1210927,1210927,1775761,5993428,3737486,0.50175,0.13614,0.07362,0.03963,0.02292,4.89867,2.06706,0.72911,0.18003,0.12759,0.12276,1.73324,3.03587,0.62504,0.05656,0.1424,-1.33738,-1.68322
"20","2015_Q3",9.9625,"Down",9274554,-4081484,5193070,-3495521,-1737712,-603444,-1134268,-355813,-1401996,1697549,-42584,-42584,13397,1654965,1654965,-414745,1240220,1240220,779796,779796,5910595,5910595,3428440,3428440,4546247,1534977,789911,15420259,6467257,9647519,5737036,2977473,933010,16114776,31535035,5981369,1809007,3469918,733130,7944739,5493484,13438223,7084375,11651181,16535622,18096812,31535035,1240220,355813,485992,-1478839,603186,-138140,-66806,-204946,-2855943,-2457703,-2457703,-2457703,2053362,5693549,851128,0.55993,0.18303,0.08408,0.04309,0.02473,1.09148,1.94094,0.74257,0.18055,0.13186,0.12733,1.56825,2.79604,0.14392,0.06018,0.03429,-0.1057,-0.12786
"21","2015_Q4",8.87421875,"Down",9807313,-5503684,4303629,-3051864,-1681426,-593793,-1087633,-42817,-1327621,1251765,-38774,-38774,13779,1212991,1212991,-439355,773636,773636,440801,440801,5153920,5153920,4107459,4107459,5071320,1176704,656965,15509403,6564819,9459550,5663112,2977473,818965,16024369,31533772,6293805,1851747,3741330,604238,8140109,5220702,13360811,7231729,11391255,16278936,18172961,31533772,773636,343548,-250089,-230517,636578,-317441,73487,-243954,-1149299,-756675,-756675,-756675,1595313,5390807,1486710,0.43882,0.12764,0.04495,0.02426,0.01398,3.37275,1.90531,0.7352,0.17095,0.07546,0.07318,1.67899,2.78693,0.25452,0.04641,0.06035,0.14849,0.18924
"22","2016_Q1",8.45262295081967,"Down",11011006,-6117424,4893582,-3214079,-1746774,-633641,-1113133,-252430,-1214875,1679503,-41245,-41245,7931,1638258,-688484,1547800,859316,859316,2442351,2442351,6194948,6194948,3799691,3799691,4840108,604107,604107,15438854,6010303,8866568,5572405,1046944,825564,14876871,30315725,3412791,1663245,1048818,3338893,8005691,3831126,11836817,5346029,13132879,18478908,18478908,30315725,859316,356090,968607,-937.999999999767,2183075,-146695,11050,-135645,-1006402,1041028,1041028,1041028,2035593,5085133,340160,0.44443,0.15253,0.22181,0.13217,0.08056,0.139279999999999,1.92848,0.64056,0.16774,0.41823,0.40573,1.88551,3.16431,0.05825,0.13338,0.01444,-0.5452,-0.6608
"23","2016_Q2",8.30375,"Down",9376199,-4801929,4574270,-3331600,-1894187,-654129,-1240058,-222751,-1214662,1242670,-36082,-36082,11697,1206588,1146588,-414754,731834,731834,731834,731834,6102152,6102152,3066125,3066125,4940126,678830,678830,14787233,6389603,9001760,5740679,1046944,773401,15391363,30178596,6444593,1723471,4022113,424290,8134531,3509831,11644362,5513803,13165704,18534234,18534234,30178596,731834,325224,118247,720109,1895414,-905382,72827,-832555,-1155655,-92796,-92796,-92796,1567894,4775479,1797375,0.48786,0.13253,0.07805,0.03949,0.02425,2.45599,1.81783,0.62826,0.15824,0.12541,0.12162,1.60675,3.17611,0.30801,0.06146,0.07711,-0.84615,-1.0676
"24","2016_Q3",8.72859375,"Up",8601962,-4027464,4574498,-3020069,-1644159,-663010,-981149,-213957,-1161953,1554429,-32963,-32963,11300,1521466,1521466,-546653,974813,974813,974813,974813,4876787,4876787,3535585,3535585,5513207,864478,599855,14790057,6497754,8612354,5656806,1046944,691170,15110108,29900165,6225582,1875842,3647215,497244,8000641,3186086,11186727,5627029,13437993,18713438,18713438,29900165,974813,317683,516380,-1550737,258139,-265631,33152,-232479,-1251025,-1225365,-1225365,-1225365,1872112,4463901,602397,0.5318,0.18071,0.11332,0.05209,0.0326,0.61796,1.84861,0.59779,0.14929,0.16723,0.16271,1.4757,3.21036,0.10334,0.07222,0.02599,-0.22055,-0.26562
"25","2016_Q4",8.66412698412698,"Down",9955239,-5544155,4411084,-2795730,-1522431,-641976,-880455,-201512,-1071787,1615354,-31299,-31299,9543,1584055,1584055,-572256,1011799,1011799,1011799,1011799,4596453,4596453,4391560,4391560,5454965,877960,593033,15320938,6464991,8336719,5562899,1046944,542352,14801710,30122648,3581228,1734944,1143759,3236916,8108243,2859240,10967483,5759482,13747267,19155165,19155165,30122648,1011799,319725,253839,-741865,843498,-150832,44087,-106745,-1017087,-280334,-280334,-280334,1935079,4149339,1614638,0.44309,0.16226,0.10163,0.05282,0.03359,1.59581,1.88955,0.57256,0.13775,0.17283,0.16897,1.70053,3.27203,0.27581,0.07356,0.06928,-0.23106,-0.27679
"26","2017_Q1",9.53951612903226,"Up",10362977,-6362191,4000786,-2828755,-1602786,-699306,-903480,-202838,-1023131,1172031,-28435,-28435,9032,1143596,1143596,-411926,731670,731670,731670,731670,5779195,5779195,3855823,3855823,4975779,540023,492160,15150820,6457931,7809605,5458379,1046944,445408,14267536,29418356,3385002,1820470,862007,3372756,8060259,2529240,10589499,5545211,13283646,18828857,18828857,29418356,731670,326077,233961,1032255,2323963,-190529,69430,-121099,-1020122,1182742,1182742,1182742,1498108,3831741,2751760,0.38607,0.1131,0.0706,0.03886,0.02487,3.76093,1.87969,0.56241,0.13025,0.12498,0.12239,1.77019,3.21631,0.47005,0.06329,0.12143,-1.29994,-1.66161
"27","2017_Q2",10.3531746031746,"Up",9346447,-5014965,4331482,-3037608,-1755058,-626352,-1128706,-194934,-1087616,1293874,-27971,-27971,7218,1265903,1265903,-452231,813672,813672,813672,813672,7641457,7641457,2737412,2737412,4835964,536804,536804,15751637,6353573,7725386,5356341,1046944,362587,14078959,29830596,3774364,1887040,1184799,3471902,8560879,2195297,10756176,5679626,13394794,19074420,19074420,29830596,813672,320550,95688,1679398,2909308,-97184,74493,-22691,-1024355,1862262,1862262,1862262,1614424,3509910,3648869,0.46344,0.13843,0.08706,0.04266,0.02728,4.48445,1.83996,0.56391,0.11766,0.13899,0.13612,1.59649,3.25815,0.62327,0.06713,0.16157,-2.55915,-3.19316
"28","2017_Q3",10.132380952381,"Down",8266691,-3852471,4414220,-2913002,-1542678,-566031,-976647,-194990,-1175334,1501218,-25875,-25875,6213,1475343,1475343,-547059,928284,928284,928284,928284,5744297,5744297,2959011,2959011,6148649,730869,557559,15582826,6384937,7487052,5245739,1046944,397482,13871989,29454815,3340390,1685326,946652,3443892,8111533,1858926,9970459,5869691,13614665,19484356,19484356,29454815,928284,322871,411151,-2382964,-720658,-204888,54645,-150243,-1026259,-1897160,-1897160,-1897160,1824089,3186177,-216704,0.53398,0.1816,0.11229,0.04764,0.03152,-0.23345,1.92107,0.51172,0.10817,0.15796,0.15519,1.40668,3.31551,-0.03687,0.07194,-0.00956000000000001,-1.40241,-1.70403
"29","2017_Q4",10.2647619047619,"Up",9961572,-6040004,3921568,-2722107,-1420248,-593033,-827215,-201939,-1099920,1199461,-22265,-22265,6396,1177196,1177196,-426140,751056,751056,751056,751056,4066918,4066918,4991026,4991026,5687275,421537,416482,15166756,6314812,7851649,5135138,1046944,365946,14166461,29333217,3408971,1492837,1207722,3404131,8153112,1519310,9672422,6003486,13657309,19660795,19660795,29333217,751056,336291,-301743,-1326596,-540992,-161297,60179,-101118,-1035269,-1677379,-1677379,-1677379,1535752,2859320,473999,0.39367,0.12041,0.0754,0.0382,0.0256,0.63111,1.86024,0.49196,0.09748,0.12723,0.12556,1.6875,3.33055,0.0803,0.06481,0.02105,-0.78632,-1.00678
"30","2018_Q1",10.9437704918033,"Up",10499985,-6269271,4230714,-3004398,-1676059,-704067,-971992,-204358,-1123981,1226316,-20555,-20555,4751,1205761,1205761,-734865,470896,470896,470896,470896,6072984,6072984,3897334,3897334,4842474,758576,415713,15571368,6166240,7203027,5021304,1046944,299316,13369267,28940635,3325682,1647991,969039,3529041,8207616,1176416,9384032,6137050,13419553,19556603,19556603,28940635,470896,339543,841376,1458139,3109954,-98021,32556,-65465,-1038423,2006066,2006066,2006066,1565859,2529309,3660842,0.40293,0.11679,0.04485,0.02408,0.01627,7.7742,1.89719,0.47984,0.0874,0.07977,0.07873,1.77873,3.31294,0.62016,0.0534,0.16575,-2.26309,-2.88969
"31","2018_Q2",10.43046875,"Down",8366085,-4665242,3700843,-2859419,-1502697,-588250,-914447,-301000,-1055722,841424,-18062,-18062,4577,823362,765174,-188230,576944,576944,576944,576944,6302887,6302887,3201929,3201929,5219447,677121,569704,15401384,6003097,6733614,4810017,1046944,288791,12736711,28138095,3260425,1424877,1126896,1054108,5680006,1951459,7631465,6292857,14213773,20506630,20506630,28138095,576944,437505,209955,149847,1374251,-130072,28332,-101740,-1042608,229903,229903,229903,1278929,2195354,1486934,0.44236,0.10058,0.06896,0.02813,0.0205,2.57726,2.71151,0.37215,0.07802,0.0977,0.09643,1.41668,3.47251,0.25179,0.05396,0.06241,-3.2117,-4.88164
"32","2018_Q3",9.57888888888889,"Down",7800088,-3883884,3916204,-2756991,-1378600,-565212,-813388,-296737,-1081654,1159213,-14791,-14791,4627,1144422,1025629,-274814,750815,750815,750815,750815,5173235,5173235,3458476,3458476,6009845,622680,537502,15264236,5855990,6409988,4598731,1046944,269758,12265978,27530214,2897449,1351295,832315,980248,5256298,1605389,6861687,6417778,14250749,20668527,20668527,27530214,750815,434949,301843,-1473429,14177.9999999998,-112360,13563,-98797,-1045033,-1129652,-1129652,-1129652,1594162,1858973,283187,0.50207,0.14862,0.09626,0.03633,0.02727,0.37717,2.90399,0.33199,0.06752,0.12676,0.12549,1.31684,3.48933,0.04781,0.0617,0.01197,-2.079,-2.85906
"33","2018_Q4",8.10333333333333,"Down",8949747,-5700352,3249395,-2571021,-1380092,-519176,-860916,-281815,-909114,678374,-11274,-11274,4758,667100,667100,-141739,525361,525361,525361,525361,4211939,4211939,4902276,4902276,5677946,539717,514647,15331878,5886321,6348960,4387445,1046944,286874,12235281,27567159,3355088,1504321,1136928,993446,5740388,1243795,6984183,6520705,14062271,20582976,20582976,27567159,525361,421787,47571,-684095,310624,-242322,23845,-218477,-1053443,-961296,-961296,-961296,1100161,1519369,315483,0.36307,0.0758,0.0587,0.02552,0.01906,0.60051,2.67088,0.33932,0.05512,0.08832,0.08781,1.50456,3.46025,0.05304,0.05337,0.01359,-2.44743,-3.96915
"34","2019_Q1",8.33819672131148,"Up",9429527,-6350073,3079454,-2525532,-1382029,-538162,-843867,-274321,-869182,553922,-6164,-6164,6534,547758,497758,-112079,385679,385679,385679,385679,5384027,5384027,3993262,3993262,4270357,618489,428288,14266135,5786139,6169867,4177257,1046944,338245,11956006,26222141,2560960,897074,948947,998383,4735831,1096478,5832309,6656822,13733010,20389832,20389832,26222141,385679,415558,466393,1048337,2315967,-115534,28376,-87158,-1056721,1172088,1172088,1172088,969480,1176488,2014362,0.32658,0.05874,0.0409,0.01892,0.01471,5.2229,3.01238,0.28604,0.04487,0.06484,0.06447,1.58518,3.4277,0.33863,0.04852,0.08888,-4.34,-7.59591
