"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","misc_short_term_assets","total_current_assets","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","cash_from_repurchase_of_equity","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2016_Q3",2.14453125,"Up",20447000,-5754000,14693000,-1627000,-425000,-1202000,13066000,16000,16000,13082000,13082000,-4852000,8230000,8230000,8230000,8230000,36472000,35369000,38000,38000,39485000,3187000,1313000,3187000,42672000,1831000,147000,1684000,1831000,1831000,61584000,-20751000,40841000,40841000,42672000,8230000,297000,4554000,1550000,14631000,0,0,14630000,14630000,14630000,13363000,0,0.71859,0.63902,0.4025,0.20151,0.19287,21.56472,0.04483,0,0.35321,0.33405,0.87753,1.75278,0.20151,-2.72933,-2.79137
"12","2016_Q4",2.34380952380952,"Up",34326000,-16943000,17383000,-1299000,-428000,-871000,16084000,24000,24000,16108000,16108000,-5276000,10832000,10832000,10832000,10832000,58859000,57759000,19999.9999999999,20000,60293000,1680000,1265000,1680000,61973000,10114000,462000,9652000,10114000,10114000,61773000,-9918000,51859000,51859000,61973000,10832000,49000,1648000,9862000,22391000,0,-1.45519152283669e-11,22390000,22390000,22390000,16133000,-2.77555756156289e-17,0.50641,0.46857,0.31556,0.20887,0.17479,5.96134,0.19503,0,0.46448,0.42987,1.4719,2.22372,0.20887,-3.64836,-3.65948
"13","2017_Q1",3.18129032258065,"Up",5125000,-1611000,3514000,-2987000,-1526000,-1461000,527000,11000,11000,538000,538000,-197000,341000,341000,341000,341000,51983000,50918000,1278000,83000,56140000,1457000,1250000,1457000,57597000,4725000,171000,4554000,4725000,4725000,62605000,-9702000,52872000,52872000,57597000,341000,53000,484000,-8112000,-7234000,436000,431000,-6841000,-6841000,-6841000,580000,0,0.68566,0.10283,0.06654,0.00645,0.00592,11.88148,0.08937,0,0.01457,0.0134,0.21896,2.2589,0.00645,-89.62586,-98.63947
"14","2017_Q2",3.61380952380952,"Up",6221000,-1792000,4429000,-1176000,-484000,-692000,3253000,9000,9000,3262000,3262000,-994000,2268000,2268000,2268000,2268000,49064000,4.8e+07,298000,57000,56382000,1368000,1200000,1368000,57750000,2562000,245000,2317000,2562000,2562000,63908000,-8688000,55188000,55188000,57750000,2268000,50000,276000,-5371000,-2777000,1068000,-141000,-2918000,-2918000,-2918000,3303000,0,0.71194,0.52291,0.36457,0.0411,0.03927,22.00703,0.04642,6.61744490042422e-24,0.09403,0.08612,0.25793,2.28817,0.063,-14.85437,-15.08269
"15","2017_Q3",3.2252380952381,"Down",4862000,-1583000,3279000,-942000,-440000,-502000,2337000,25000,25000,2362000,2362000,-818000,1544000,1544000,1544000,1544000,52961000,51895000,44000,44000,57402000,1326000,1158000,1326000,58728000,2794000,156000,2638000,2794000,2794000,64146000,-8182000,55934000,55934000,58728000,1544000,50000,237000,3114000,4945000,-981000,-1042000,3895000,3895000,3895000,2387000,0,0.67441,0.48067,0.31756,0.0276,0.02629,20.54474,0.04995,0,0.06357,0.05784,0.20019,2.30307,0.02769,-22.18726,-22.66196
"16","2017_Q4",2.71222222222222,"Down",3237000,-964000,2273000,-1255000,-434000,-821000,1018000,55000,55000,1073000,1073000,-425000,648000,648000,648000,648000,53329000,52265000,318000,18000,57217000,1318000,1150000,1318000,58535000,3116000,70000,3046000,3116000,3116000,64382000,-8931000,55419000,55419000,58535000,648000,50000,237000,834000,1769000,-150000,-1357000,370000,370000,370000,1068000,-3.5527136788005e-15,0.70219,0.31449,0.20019,0.01169,0.01107,18.36232,0.05623,0,0.02683,0.02454,0.13404,2.2948,0.03347,-49.93352,-52.38605
"17","2018_Q1",2.13245901639344,"Down",2131000,-631000,1500000,-2094000,-897000,-1197000,-594000,126000,126000,-468000,-468000,141000,-327000,-327000,-327000,-327000,51101000,51101000,208000,83000,51884000,2356000,2188000,5410000,57294000,2882000,244000,2638000,2882000,2882000,64673000,-10219000,54412000,54412000,57294000,-327000,56000,238000,2870000,2837000,-908000,-907000,836000,836000,836000,-538000,0,0.70389,-0.27874,-0.15345,-0.00601,-0.00571,18.00278,0.05297,0,-0.0136,-0.01251,0.08866,2.26375,-0.00603,94.98327,86.02862
"18","2018_Q2",2.3659375,"Up",19463000,-7259000,12204000,-1321000,-507000,-814000,10883000,143000,143000,11026000,11026000,-2425000,8601000,8601000,8601000,8601000,56678000,56678000,61000,61000,57163000,2313000,2145000,15103000,72266000,10648000,429000,10219000,10648000,10648000,64928000,-3243000,61618000,61618000,72266000,8601000,70000,226000,8025000,16922000,-369000,-1557000,5577000,5577000,5577000,10953000,1.13686837721616e-13,0.62704,0.55916,0.44192,0.13959,0.11902,5.36843,0.17281,-1.6940658945086e-21,0.36128,0.33583,0.81753,2.58823,0.15887,-5.17466,-5.20794000000001
"19","2018_Q3",2.33809523809524,"Down",471000,-133000,338000,-1342000,-462000,-880000,-1004000,203000,203000,-801000,-801000,237000,-564000,-564000,-564000,-564000,32959000,32959000,44000,44000,33451000,2270000,2102000,29267000,62718000,2384000,234000,2150000,2384000,2384000,65152000,-4742000,60334000,60334000,62718000,-564000,69000,225000,-8273000,-8543000,-884000,-934000,-23719000,-23719000,-23719000,-935000,0,0.71762,-2.13163,-1.19745,-0.00935,-0.00899,14.03146,0.03951,0,-0.02378,-0.02204,0.01986,2.54431,-0.00935,35.25027,32.82769
"20","2018_Q4",2.2252380952381,"Down",1798000,-596000,1202000,-1033000,-491000,-542000,169000,244000,244000,412999.999999998,412999.999999998,-167000,246000.000000001,246000.000000001,246000.000000001,246000.000000001,27193000,27193000,18000,18000,29072000,2251000,2083000,31863000,60935000,2196000,159000,2037000,2196000,2196000,65272000,-6452000,58739000,58739000,60935000,246000.000000001,70000,120000,-1525000,-1089000,-252000,-2004000,-5766000.00000001,-5766000.00000001,-5766000.00000001,238999.999999998,-9.09494701772928e-13,0.66852,0.0939899999999994,0.13682,0.00419,0.00404,13.23862,0.03739,1.35525271560688e-20,0.01034,0.00977,0.0756,2.46981,0.02559,-113.77824,-160.90533
"21","2019_Q1",2.16262295081967,"Down",374000,-84000,290000,-1171000,-795000,-376000,-881000,286000,286000,-595000,-624000,47000,-577000,-577000,-577000,-577000,54991000,23763000,112000,112000,55547000,2178000,2010000,4719000,60266000,2061000,67000,1994000,2061000,2061000,65388000,-7102000,58205000,58205000,60266000,-577000,81000,241000,1058000,803000,-73000,-2613000,-763000,-763000,-763000,-8e+05,0,0.7754,-2.35561,-1.54278,-0.00991,-0.00957,26.95148,0.03541,0,-0.02429,-0.02304,0.01575,2.45053,-0.00993,68.73875,62.41884
"22","2019_Q2",2.10031746031746,"Down",606000,-146000,460000,-993000,-488000,-505000,-533000,301000,301000,-232000,-209000,65000,-240000,-240000,-240000,-240000,52487000,21650000,83000,83000,53344000,2308000,2075000,4753000,58097000,998000,395000,603000,1086000,1094000,65532000,-8558000,57003000,57003000,58097000,-240000,54000,-169000,-1060000,-1415000,-1000,-1192000,-2113000,-2113000,-2113000,-479000,96000,0.75908,-0.87954,-0.39604,-0.00421,-0.00413,49.11971,0.01919,0.00165,-0.01011,-0.01011,0.02552,2.40055,0.01666,109.37578,98.29456
"23","2019_Q3",2.13859375,"Up",599000,-175000,424000,-940000,-488000,-452000,-516000,301000,301000,-215000,-193000,38000,-208000,-208000,-208000,-208000,51039000,18923000,58000,58000,51738000,2238000,1967000,5630000,57368000,921000,2e+05,721000,985000,985000,65765000,-9464000,56383000,56383000,57368000,-208000,87000,311000,-117000,73000,-225000,-1591000,-2727000,-2727000,-2727000,-429000,64000,0.70785,-0.86144,-0.34725,-0.00369,-0.00363,52.52589,0.01747,0.00112,-0.0087,-0.0087,0.02505,2.35765,-0.00368,118.82284,98.78876
"24","2019_Q4",1.95765625,"Down",520000,-138000,382000,-958000,-466000,-492000,-576000,270000,270000,-306000,-345000,130000,-411000,-411000,-411000,-411000,48020000,16737000,524000,524000,48544000,2109000,1905000,6805000,55349000,585000,245000,340000,638000,638000,65919000,-11310000,54711000,54711000,55349000,-411000,71000,651000,-357000,-46000,-75000.0000000001,-2945000,-2186000,-2186000,-2186000,-505000,53000,0.73462,-1.10769,-0.79038,-0.00751,-0.00743,76.08777,0.01166,0.00096,-0.01702,-0.01702,0.02154,2.26592,0.01508,94.98416,83.27604
"25","2020_Q1",2.01564516129032,"Up",1312000,-423000,889000,-1618000,-725000,-893000,-729000,278000,278000,-451000,-420000,-254000,-933000,-933000,-933000,-933000,48317000,22587000,441000,441000,48758000,1881000,1881000,6318000,55076000,1528000,421000,1107000,1528000,1569000,66064000,-12636000,53507000,53507000,55076000,-933000,73000,668000,975000,783000,-364000,2109000,5850000,5850000,5850000,-656000,41000,0.67759,-0.55564,-0.71113,-0.01744,-0.01694,31.90969,0.02932,0.00074,-0.0387,-0.0387,0.05442,2.21936,-0.01765,73.59146,66.22222
"26","2020_Q2",2.04746031746032,"Up",161000,-32000,129000,-1029000,-486000,-543000,-9e+05,178000,178000,-722000,-1044000,-83995.7884620295,-1337000,-1337000,-1337000,-1337000,45003000,26594000,219000,219000,45222000,1785000,1785000,5929000,51151000,458000,214000,244000,467000,467000,66135000,-15347000,50684000,50684000,51151000,-1337000,72000,617000,-890000,-1538000,-154000,-1365000,4007000,4007000,4007000,-828000,9000,0.80124,-5.59006,-8.30435,-0.02638,-0.02614,96.83512,0.00921,0.00018,-0.05564,-0.05564,0.0067,2.10924,-0.00249,54.34058,49.99333
"27","2020_Q3",2.03296875,"Down",55000,-20000,35000,-740000,-459000,-281000,-705000,120000,120000,-585000,-379000,1.16415321826935e-10,-584000,-584000,-584000,-584000,44735000,20972000,179000,179000,44914000,1735000,1735000,5673000,50587000,325000,38000,287000,325000,325000,66220000,-16029000,50262000,50262000,50587000,-584000,72000,78000,-101000,-535000,-98000,-98000,-5622000,-5622000,-5622000,-633000,0,0.63636,-12.81818,-10.61818,-0.01162,-0.01154,138.19692,0.00647,0,-0.02439,-0.02439,0.0023,2.09898,-0.01162,70.67141,63.4539
"28","2020_Q4",2.804375,"Up",4150000,-1593000,2557000,-897000,-473000,-208000,1660000,105000,105000,1765000,1833000,0,1687000,1687000,1687000,1687000,45492000,24221000,30000,30000.0000000002,45522000,1674000,1674000,5467000,50989000,344000,70000,274000,344000,344000,66305000,-15664000,50645000,50645000,50989000,1687000,72000,222000,199000,2180000,0,-1354000,3249000,3249000,3249000,1732000,0,0.61614,0.399999999999997,0.406510000000001,0.03331,0.03309,132.3314,0.00679,0,0.07029,0.07029,0.17291,2.1101,0.05789,-26.26559,-27.40482
"29","2021_Q1",3.26540983606557,"Up",37000,-8000,29000,-2497000,-744000,-1677000,-2468000,119000,119000,-2349000,-2286000,954000,-1475000,-1475000,-1475000,-1475000,44871000,25505000,120000,120000,44991000,2553000,21000,6203000,51194000,2032000,597000,1435000,2032000,2032000,66365000,-17193000,49162000,49162000,51194000,-1475000,76000,-829000,1618000,-610000,-1000,-68000,1284000,1284000,1284000,-2392000,0,0.78378,-66.7027,-39.86486,-0.03,-0.02881,22.14124,0.04133,0,-0.06128,-0.06128,0.00154,2.04256,-0.0297,18.75878,18.18112
"30","2021_Q2",3.1831746031746,"Down",18692000,-5420000,13272000,-1001000,-513000,-414000,12271000,50000,50000,12321000,12275000,-2614000,9451000,9451000,9451000,9451000,41271000,24122000,18780000,18780000,60051000,1525000,13000,5965000,66016000,7780000,363000,7417000,7780000,8549000,66424000,-8958000,57467000,57467000,66016000,9451000,74000,2016000,-12916000,-1375000,-154329.280788984,-1206000,-1383000,-1383000,-1383000,12345000,0,0.71004,0.656480000000002,0.505620000000008,0.16446,0.14316,7.71863999999998,0.14876,0,0.39203,0.38393,0.77535,2.38374,0.183,-3.34312999999998,-3.36330000000001
"31","2021_Q3",2.9390625,"Down",0,0,0,-901000,-461000,-367000,-901000,68000,68000,-833000,-779000,232000,-783000,-783000,-783000,-783000,53775000,39050000,58000,58000,53833000,1511000,13000,5715000,59548000,2222000,397000,1825000,2222000,2939000,66483000,-9872000,56609000,56609000,59548000,-783000,73000,191000,13164000,12645000,-131000,-131000,14928000,14928000,14928000,-828000,0,0.627030133597546,24.6350719059211,15.1167716123342,-0.01383,-0.01315,24.22727,0.05192,0,-0.03248,-0.03115,0,2.34849,-0.01366,64.94565,59.68368
"32","2021_Q4",2.73984375,"Down",1.7e+07,-6610000,10390000,-1353000,-558000,-721000,9037000,67000,67000,9104000,9064000,-2289000,6589000,6589000,6589000,6589000,60840000,43173000,25999.9999999963,26000,60866000,1457000,13000,5475000,66341000,3615000,399000,3216000,3615000,4295000,66548000,-4496000,62046000,62046000,66341000,6589000,74000,251000,1417000,8331000,0,-1204000,4123000,4123000,4123000,9111000,2.27373675443232e-13,0.61118,0.531590000000006,0.387589999999981,0.1062,0.09932,16.83707,0.06922,-3.3881317890172e-21,0.2723,0.2738,0.70256,2.56418,0.12424,-6.67764,-6.73231999999999
"33","2022_Q1",2.53967741935484,"Down",337000,-117000,220000,-1041000,-731000,-236000,-821000,142000,142000,-679000,-820000,211000,-976000,-976000,-976000,-976000,59623000,44497000,150000,140000,59773000,1397000,13000,5048000,64821000,4108000,459000,697000,4108000,4662000,66599000,-6428000,60159000,60159000,64821000,-976000,74000,435000,365000,-102000,-946000,-960000,1324000,1324000,1324000,-747000,0,0.65282,-2.4362,-2.89614,-0.01622,-0.01506,14.55039,0.07749,0,-0.04129,-0.04392,0.01426,2.54524,-0.01608,79.8166,72.62241
"34","2022_Q2",2.40258064516129,"Down",-129849237.569328,48078760.5847114,-81770476.9846168,-897000,-517000,-305000,-896999.999999998,80000,80000,-816999.999999998,-1331000,452000,-1312000,-1312000,-1312000,-1312000,56535000,42459000,111000,111000,56646000,1846000,13000,5064000,61710000,4011000,490000,3521000,4011000,4113000,66654000,-9042000,57597000,57597000,61710000,-1312000,75000,546000,-58000,-749000,-1563829.16273141,-1302000,-2038000,-2038000,-2038000,-822000,3.63797880709171e-12,0.776720213756074,55.3817670494738,28.3046505797347,-0.02278,-0.02126,14.12266,0.07141,5.42101086242752e-20,-0.05482,-0.05395,-5.36881415107336,2.40646,-0.00211000000000003,68.77737,63.02676
"35","2022_Q3",2.27,"Down",-442913712.707984,163110281.754134,-279803430.95385,-834000,-423000,-335000,-834000,131000,131000,-703000,-1279000,102000,-1532000,-1532000,-1532000,-1532000,52125000,25532000,239000,239000,52364000,1964000,207000,4827000,57191000,1007000,527000,480000,1073000,1201000,66831000,-10825000,55990000,55990000,57191000,-1532000,76000,739000,-3142000,-3859000,-247000,-252000,-16927000,-16927000,-16927000,-758000,194000,1.01626064126822,206.243631148421,112.592351739204,-0.02736,-0.02679,48.80149,0.02145,0.00339,-0.06401,-0.06299,-18.3154324532201,2.33931,-0.02718,68.51055,62.26739
