"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"18","2015_Q1",17.3906557377049,"Up",26061000,-9549000,16512000,-8752000,-4970000,-3782000,7760000,201000,7961000,7961000,-2210000,5751000,5751000,5751000,5751000,115464000,115464000,37725000,37725000,6231000,2888000,159420000,8832000,9186000,1161000,18018000,177438000,8648000,803000,7845000,3740000,3740000,12388000,3227000,3227000,3227000,15615000,248739000,-34048000,-52187000,-681000,161823000,161823000,177438000,5751000,551000,3012000,-8466000,848000.000000004,-534000,-684000,-684000,-534000,163000,163000,-933000,-619000.000000002,-619000.000000002,-38000,-657000,8311000,8.67361737988404e-19,1521000,0.63359,0.29776,0.22067,0.03554,0.03241,0.264479999999999,12.86891,0.09649,0,0.18534,0.18068,0.83989,5.21522,0.04902,0.03484,0.00921999999999999,-13.89291,-14.87938
"19","2015_Q2",17.1928571428571,"Down",26817000,-8804000,18013000,-8544000,-4456000,-4088000,9469000,51000,9520000,9520000,-3553000,5967000,5967000,5967000,5967000,131880000,131880000,29193000,29193000,6218000,2901000,167291000,9895000,9091000,1448000,18986000,186277000,6811000,1235000,5576000,5265000,5265000,12076000,2924000,2924000,2924000,1.5e+07,256581000,-37655000,-46220000,-1429000,171277000,171277000,186277000,5967000,605000,2615000,6432000,15619000,-1145000,-1145000,-1145000,-1145000,203000,3808000,1957000,16431000,16431000,-15000,16416000,10074000,0,18914000,0.6717,0.3531,0.22251,0.03484,0.03203,3.16977,13.85318,0.08758,0,0.19042,0.18479,0.85579,5.46582,0.60359,0.03425,0.10858,-13.09113,-13.92755
"20","2015_Q3",12.56640625,"Down",23210000,-9888000,13322000,-9653000,-5216000,-4437000,3669000,52000,3721000,3721000,-1572000,2149000,2149000,2149000,2149000,131699000,131699000,30946000,30946000,7997000,5003000,170642000,10356000,10811000,3460000,21167000,191809000,8495000,1898000,6597000,5647000,5647000,14142000,2886000,2886000,2886000,17028000,260806000,-40671000,-44071000,-1283000,174781000,174781000,191809000,2149000,632000,1808000,-3415000,1174000,-1243000,-1243000,-1243000,-1243000,-330000,1636000,-104000,-173000.000000004,-173000.000000004,-8000,-181000.000000004,4301000,5.42101086242752e-20,1215000,0.57398,0.15808,0.09259,0.0123,0.0112,0.56538,12.06633,0.09742,1.61558713389263e-27,0.06817,0.06633,0.73631,5.54473,0.0385400000000001,0.0121,0.00684,-30.62055,-35.89507
"21","2015_Q4",10.83921875,"Down",23878000,-10251000,13627000,-10926000,-5664000,-5173000,2701000,63000,2764000,2764000,-1270000,1494000,1494000,1494000,1494000,126259000,126259000,31550000,31550000,7532000,4727000,165341000,11362000,15357000,2882000,26719000,192060000,8638000,1453000,7185000,5173000,5024000,13811000,2971000,2971000,2971000,16782000,263910000,-44718000,-42577000,-1337000,175278000,175278000,192060000,1494000,682000,3822000,-718000,5280000,-1644000,-1644000,-1644000,-6796000,-3208000,834000,-3874000,-5390000,-5390000,-50000,-5440000,3383000,0,2291000,0.57069,0.11312,0.06257,0.00852,0.00778,1.53347,11.97169,0.09575,0,0.0474,0.04653,0.75765,5.56156,0.07269,0.00838,0.01285,-37.32161,-46.74528
"22","2016_Q1",10.953606557377,"Up",24072000,-10080000,13992000,-10590000,-5085000,-5398000,3402000,15000,3417000,3417000,-620000,2797000,2797000,2797000,2797000,126158000,126158000,33438000,33438000,3655000,3655000,163251000,11325000,17193000,1651000,28518000,191769000,8487000,1293000,7194000,5969000,4702000,14456000,3006000,3006000,3006000,17462000,266013000,-50383000,-39780000,-1543000,174307000,174307000,191769000,2797000,727000,3878000,861000,8263000,-1152000,-1152000,-752000,-1152000,-4772000,140000,-7209000,-98000,-98000,-2999.99999999999,-101000,4129000,0,4458000,0.58126,0.14133,0.11619,0.01605,0.01459,1.59385,11.29296,0.10018,0,0.0893,0.08779,0.76853,5.565,0.14233,0.01577,0.02514,-30.55413,-37.08348
"23","2016_Q2",13.5928125,"Up",25081000,-10206000,14875000,-11552000,-5124000,-6311000,3323000,-236000,3087000,3087000,-1026000,2061000,2061000,2061000,2061000,129398000,129398000,29323000,29323000,3479000,3479000,162200000,13236000,22781000,7565000,36017000,198217000,8158000,2016000,6142000,6472000,6358000,14630000,2932000,2932000,2932000,17562000,269949000,-50392000,-37718000,-1184000,180655000,180655000,198217000,2061000,765000,3474000,-2303000,3997000,-1780000,-1780000,-1780000,-1780000,959000,959000,950000,3167000,3167000,73000,3240000,4088000,0,1031000,0.59308,0.13249,0.08217,0.01141,0.0104,0.50024,11.08681,0.09721,0,0.06613,0.06491,0.8047,5.79617,0.03308,0.01123,0.00562,-31.65313,-38.94011
"24","2016_Q3",16.29140625,"Up",26688000,-10654000,16034000,-12271000,-5094000,-7060000,3763000,-51000,3712000,3712000,-1579000,2133000,2133000,2133000,2133000,122222000,122222000,34786000,34786000,4728000,4728000,161736000,16076000,24421000,9497000,40497000,202233000,10543000,2469000,8074000,6052000,5740000,16595000,2922000,2922000,2922000,19517000,272891000,-53301000,-35504000,-1370000,182716000,182716000,202233000,2133000,859000,2905000,-7130000,-1233000,-3271000,-3271000,-3271000,-3271000,-1572000,271000,-2638000,-7142000,-7142000,-34000,-7176000,4622000,0,-4200000,0.60079,0.141,0.07992,0.01167,0.01055,-1.96906,9.74607,0.10682,0,0.0682,0.06645,0.85331,5.84205,-0.13429,0.01149,-0.02262,-26.44353,-32.47994
"25","2016_Q4",20.914126984127,"Up",27259000,-11452000,15807000,-12671000,-5548000,-7017000,3136000,-102000,3034000,3034000,-1050000,1984000,1984000,1984000,1984000,118534000,118534000,44023000,44023000,5163000,5163000,167720000,18192000,24240000,9413000,42432000,210152000,9214000,947000,8267000,8472000,8399000,17686000,3516000,3516000,3516000,21202000,277503000,-53726000,-33614000,-1213000,188950000,188950000,210152000,1984000,960000,3210000,-7089000,-935000,-3809000,-3809000,-3809000,-3809000,1121000,1460000,1035000,-3709000,-3709000,21000,-3688000,4096000,0,-5752000,0.57988,0.11504,0.07278,0.0105,0.00944,-2.89919,9.48321,0.11221,0,0.06316,0.0609,0.86776,6.01503,-0.18311,0.01031,-0.02989,-28.93896,-37.79783
"26","2017_Q1",22.2782258064516,"Up",28433000,-12136000,16297000,-13553000,-6290000,-7171000,2744000,379000,3123000,3123000,-198000,2925000,2925000,2925000,2925000,116787000,116787000,48157000,48157000,5335000,5335000,170279000,19341000,32709000,12631000,52050000,222329000,10245000,2206000,8039000,8277000,8189000,18522000,5004000,5004000,5004000,23526000,281428000,-54882000,-25752000,-1991000,198803000,198803000,222329000,2925000,1e+06,2395000,-6149000,171000,-2422000,-2422000,-2422000,-2422000,1839000,1839000,683000,-1568000,-1568000,-179000,-1747000,3744000,0,-4629000,0.57317,0.09651,0.10287,0.01471,0.01316,-1.58256,9.19334,0.11834,0,0.09246,0.08786,0.89878,6.28427,-0.14633,0.01435,-0.02271,-31.19311,-42.56086
"27","2017_Q2",18.5580952380952,"Down",24289000,-11431000,12858000,-13273000,-5899000,-7282000,-415000,-230000,-645000,-645000,1162000,517000,517000,517000,517000,114926000,114926000,50088000,50088000,6741000,6741000,171755000,20798000,35066000,14615000,55864000,227619000,9337000,2436000,6901000,9977000,9777000,19314000,5049000,5049000,5049000,24363000,285935000,-55726000,-25235000,-1718000,203256000,203256000,227619000,517000,1091000,2584000,-4608000,-416000,-2313000,-2313000,-2313000,-2313000,1626000,1626000,782000,-1947000,-1947000,86000,-1861000,676000,0,-7407000,0.52938,-0.01709,0.02129,0.00254,0.00227,-14.32689,8.89277,0.11986,0,0.01616,0.01539,0.75924,6.35354,-0.23153,0.00248,-0.03556,-170.00888,276.93012
"28","2017_Q3",16.124126984127,"Down",24289000,-11379000,12910000,-13563000,-6196000,-7275000,-653000,28000.0000000001,-625000,-625000,814000,189000,189000,189000,189000,109007000,109007000,54029000,54029000,8813000,8813000,171849000,23068000,32140000,12263000,55208000,227057000,10208000,2270000,7938000,9322000,8933000,19530000,5427000,5427000,5427000,24957000,289961000,-61532000,-25046000,-1283000,202100000,202100000,227057000,189000,1195000,3549000,-3536000,1397000,-2651000,-2651000,-2651000,-2651000,-3678000,1092000,-4713000,-5967000,-5967000,48000,-5919000,542000,0,-6459000,0.53152,-0.02688,0.00778000000000001,0.000940000000000001,0.000830000000000001,-34.1746,8.79923,0.12349,0,0.00589,0.00566,0.75641,6.29379,-0.20115,0.00091,-0.03112,-201.11993,166.93262
"29","2017_Q4",16.0630158730159,"Down",26516000,-12430000,14086000,-13662000,-5680000,-7875000,424000,-103000,321000,321000,270000,591000,591000,591000,591000,100750000,100750000,52954000,52954000,6580000,6580000,160284000,23604000,38082000,11312000,61686000,221970000,10494000,2608000,7886000,7913000,7624000,18407000,5266000,5266000,5266000,23673000,294364000,-70739000,-24455000,-873000,198297000,198297000,221970000,591000,1263000,-169000,3595000,5280000,-1978000,-1978000,-1978000,-5819000,-7196000,1452000,-7756000,-8295000,-8295000,38000,-8257000,1687000,0,3034000,0.53123,0.01599,0.02229,0.00298,0.00266,5.13367,8.70777,0.11938,0,0.01842,0.01793,0.82661,6.18171,0.09458,0.0029,0.0149,-59.7214,-237.61792
"30","2018_Q1",13.2908196721311,"Down",26777000,-12281000,14496000,-13662000,-5909000,-7646000,834000,41000,875000,875000,-3509000,-2634000,-2634000,-2634000,-2634000,101267000,101267000,57564000,57564000,5069000,5069000,163900000,25386000,34890000,10545000,60276000,224176000,11656000,2536000,9120000,7981000,7981000,19637000,6171000,6171000,6171000,25808000,297955000,-71793000,-27089000,-705000,198368000,198368000,224176000,-2634000,1240000,6364000,-686000,4284000,-3313000,-3313000,-3313000,-3313000,516999.999999999,517000,-537000,434000,434000,83000,517000,2074000,0,1584000,0.54136,0.03115,-0.09837,-0.01328,-0.01175,-0.601369999999998,8.34649,0.1301,0,-0.08238,-0.0934,0.83751,6.20443,0.04954,-0.01288,0.00773999999999999,-48.8269,-121.42326
"31","2018_Q2",11.94125,"Down",24737000,-11482000,13255000,-13729000,-6375000,-7245000,-474000,-331000,-805000,-805000,381000,-424000,-424000,-424000,-424000,98522000,98522000,58436000,58436000,9654000,9654000,166612000,26536000,33392000,9752000,59928000,226540000,10061000,2588000,7473000,8474000,8474000,18535000,5946000,5946000,5946000,24481000,301872000,-76473000,-23160000,-180000,202059000,202059000,226540000,-424000,1261000,3287000,-872000,3252000,-2447000,-2447000,-2447000,-2447000,-3077000,1046000,-3634000,-2829000,-2829000,84000,-2745000,787000,0,-2913000,0.53584,-0.01916,-0.01714,-0.0021,-0.00187,6.87028,8.98905,0.12116,0,-0.01318,-0.01318,0.76899,6.28137,-0.09056,-0.00204,-0.014,-125.18679,207.85232
"32","2018_Q3",10.0647619047619,"Down",21119000,-10917000,10202000,-13127000,-5919000,-7100000,-2925000,390000,-2535000,-2535000,439000,-2096000,-2096000,-2096000,-2096000,100916000,100916000,53919000,53919000,8660000,8660000,163495000,28095000,34182000,8943000,62277000,225772000,10433000,2495000,7938000,9369000,9369000,19802000,5646000,5646000,5646000,25448000,304953000,-78422000,-25256000,-951000,200324000,200324000,225772000,-2096000,1270000,1261000,6032000,6467000,-2363000,-2363000,-2363000,-2363000,-747999.999999999,377000,-1567000,2537000,2537000,-143000,2394000,-1655000,0,1575000,0.48307,-0.1385,-0.09925,-0.01046,-0.00928,-0.75143,8.25649,0.12703,0,-0.06558,-0.06558,0.66075,6.26757,0.04928,-0.01018,0.00765,60.97644,34.5012
