"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","net_income_2","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2013_Q2",1.0425,"Up",58789000,-55516000,3273000,-8780000,-8779000,-1000,-5507000,-54000,853469.491145025,-54000,-5561000,81000,-5480000,-111000,-5591000,-3212000,-150945.170002286,-3212000,-3212000,13844000,13844000,18565000,18565000,44656000,77065000,66198000,144525000,60085000,24175000,210723000,287788000,41368000,14524000,29264000,29264000,70686000,127069000,12142000,948000,139211000,209897000,98676000,-378000,-26410000,-8789000,63099000,14792000,77891000,287788000,-3212000,-3212000,6600000,1204000,-5976000,-1384000,-6512000,294878.180436837,-6909000,-80000,-788999.999999999,-869000,-9162000,-9162000,-191000,-9353000,1093000,127123000,-11284000,0.05567,-0.09367,-0.05464,-0.04124,-0.01116,3.51308,1.09024,2.69475,0.44172,-0.23093,-0.23093,4.22669,4.53656,-0.81127,-0.01479,-0.05196,103.64044,-20.57
"12","2013_Q3",1.04125,"Down",58621000,-55436000,3185000,-14677000,-14677000,0,-11492000,-59000,-5000.00000000093,-54000,-11551000,14578000,3027000,-107000,2920000,137358000,-1.16415321826935e-10,137358000,137358000,171178000,171178000,2977603.69554471,2977603.69554471,226266000,397444000,684000,1459000,45743285.937179,1459000,2143000,399587000,7643000,1491000,67559000,67559000,201454000,56333992.7764626,203000,203000,203000,201657000,99389000,-378000,110948000,-12029000,197930000,13492350.328653,197930000,399587000,137358000,137358000,5347000,-148581000,-1691000,-7567000,-3437000,222000,166354000,-43000.0000000075,-876000,-720000,158067000,158067000,-733000,157334000,-6145000,126252000,-11166000,0.05433,-0.19604,2.34315,0.69397,0.34375,-0.0812899999999996,1.97288,1.01883,0.31596,9.83095,9.51496,4.19561,14.16619,-0.79917,0.42344,-0.03442,7.31097999999997,3.90933
"13","2013_Q4",0.875625,"Down",61077000,-58752000,2325000,-6294000,-6293000,-1000,-3969000,-79000,-3000,-76000,-4048000,-125000,-4173000,3308000,-865000,-6705000,0,-6705000,-6705000,15538000,15538000,51000.0000000075,51000.0000000075,87221000,102810000,683000,6257000,22448799.4043643,6257000,6940000,109750000,7783000,3806000,31729000,31729000,39512000,-42308815.491704,184000,184000,184000,39696000,100598000,-378000,-16318000,-13848000,70054000,12035780.3323622,70054000,109750000,-6705000,-6705000,14000,5960000,-4991000,-5722000,-2076000,203000,99217000,-127885000,-1663000,-248390000,-154895000,-154895000,-745000,-155640000,-3955000,0,-14330000,0.03807,-0.06498,-0.10978,-0.09571,-0.06109,2.13721,2.60199,0.56665,0,-0.47631,-0.47631,4.33878,4.97649,-1.01797,1.61,-0.20402,3.9287,3.91484
"14","2014_Q1",1.01213114754098,"Up",52199000,-50611000,1588000,-16973000,-4943000,-12030000,-15385000,-630000,-2.91038304567337e-11,-630000,-16015000,-2413000,-18428000,4352000,-14076000,-15835000,0,-15835000,-15835000,8997000,8997000,18980000,18980000,46923000,74900000,2962000,9818000,3378000,6440000,12780000,87680000,14421000,7404000,17279000,17279000,31700000,-113374020.148102,1571000,1571000,1571000,33271000,98612000,-378000,-29773000,-14052000,54409000,14317035.1717448,54409000,87680000,-15835000,-15835000,12003000,4505000.00000001,-6315000,-5642000,-543000,49999.9999999999,-517999.999999985,-28000,-108000,-123000,-6283000.00000006,-6283000.00000006,-258000,-6541000.00000006,-3382000,0,-14592000,0.03042,-0.29474,-0.30336,-0.29104,-0.1806,0.9215,2.36278,0.6115,0,-1.11279,-1.1503,3.66824,3.82354,-1.02544,-0.28287,-0.26066,2.66026,0.584790000000003
"15","2014_Q2",1.07650793650794,"Up",43354000,-41107000,2247000,-6414000,-6204000,-210000,-4167000,-50000,-1000,-49000,-4217000,46000,-4171000,-9000,-4180000,-4947000,0,-4947000,-4947000,13041000,13041000,16371000,16371000,39330000,68742000,2846000,9030000,3378000,5630000,11876000,80618000,11437000,5977000,16246000,16246000,27683000,-101376216.536333,718000,718000,718000,28401000,101741000,-378000,-34720000,-14426000,52217000,24230860.0074183,52217000,80618000,-4947000,-4947000,210000,1016000,5824000,2103000,-9000,-5712981.98083808,-9000,48316912.934598,-550000,2341000,4435000,4435000,-391000,4044000,-3957000,0,1867000,0.05183,-0.09612,-0.11411,-0.09474,-0.06136,-0.3774,2.48318,0.5439,0,-0.33812,-0.33812,2.96316,3.56893,0.12761,-0.09345,0.03527,3.29568,3.12959
"16","2014_Q3",1.11125,"Up",96586000,-82860000,13726000,-13840000,-13496000,-344000,-114000,-468000,-1012000,544000,-582000,-141000,-723000,-2154000,-2877000,-2850000,-1059000,-3909000,-4109000,41588000,40831000,138043000,138043000,72814000,269435000,83226000,39094000,27911000,6568000,122320000,391755000,83040000,31081000,72292000,72292000,192113000,49169999.9999998,8827000,1028000,57997000,250110000,119745000,-378000,-38281000,-14188000,95973000,45672000,141645000,391755000,-2502000,-2502000,828000.000000002,3218000,5423000,6967000,-574000,-11168555.5100073,-90778000,65709000,-854000,111407000,27596000,27596000,194000,27790000,714000,85951000,7717000,0.14211,-0.00118,-0.04254,-0.02901,-0.01049,-1.87807,1.40248,1.76575,0.2194,-0.24306,-0.24306,5.71346,3.95729,0.45649,-0.0173800000000001,0.03264,62.13305,-389.14912
"17","2014_Q4",1.8078125,"Up",183289000,-161495000,21794000,-24377000,-23456000,-921000,-2583000,-2553000,-2103000,29000,-5136000,-7579000,-12715000,-4307000,-17022000,-16465000,-931000,-17396000,-18400000,114992000,111739000,170516000,170516000,54162000,363564000,239562000,79395000,35513000,22721000,366307000,729871000,121470000,64779000,68372000,68372000,212250000,290394000,60261000,1726000,350655000,562905000,174296000,-378000,-54160000,-15862000,103896000,63070000,166966000,729871000,-14948000,-14948000,3033000,7059000,7544000,2688000,215000,-6978000,-97824000,132122000,16026000,168064000,72928000,72928000,-2020000,70908000,450000,312802000,12516000,0.11891,-0.01409,-0.10039,-0.1102,-0.02521,-0.68022,1.7129,3.37138,0.42857,-0.78727,-0.78727,7.84225,4.44532,0.53551,-0.03268,0.02318,439.57778,-76.58149
"18","2015_Q1",2.33,"Up",224209000,-188880000,35329000,-42327000,-37083000,-5244000,-6998000,-5524000,-9231000,178000,-12522000,-4424000,-16946000,29339000,12393000,12430000,-569000,11861000,11016000,113095000,107978000,152279000,152279000,28098000,308447000,233022000,120128000,30540000,42710000,403716000,712163000,147602000,147602000,41959000,41959000,189561000,335531000,38827000,1617000,374358000,563919000,141972000,-378000,-44164000,-18243000,119032000,29212000,148244000,712163000,10565000,10565000,6998000,-16175000,-7402000,-6014000,-1745000,5193000,39709000,28320000,-65405000,-37672000,-3977000,-3977000,216000,-3760999.99999999,0,335531000,-38486000,0.15757,-0.03121,0.04913,0.07431,0.01547,-3.49365,1.62716,3.80399,0.47114,0.45885,0.45885,9.33893,3.29836,-1.60305,0.02276,-0.07364,335.253778011687,-31.7856499999999
"19","2015_Q2",2.96746031746032,"Up",201808000,-172456000,29352000,-28767000,-23512000,-5255000,585000,-11615000,-8700000,-227000,-11030000,-473000,-11503000,6014000,-5489000,-5498000,261000,-5237000,-6325000,140640000,128872000,195878000,195878000,67179000,420759000,224815000,98652000,27990000,25397000,382294000,803053000,136997000,63066000,57052000,57052000,232860000,376549000,36386000,8002000,412935000,645795000,202231000,-378000,-46941000,-20301000,134611000,22647000,157258000,803053000,-5498000,-5498000,7130000,8928000,-59519000,-48959000,-2126000,-893000,-20773000,77613000,-1136000,90509000,20777000,20777000,117000,20894000,7715000,415360000,-59944000,0.14545,0.0029,-0.03134,-0.04022,-0.00788,9.47731,1.80692,4.1066,0.51723,-0.26195,-0.26195,8.35782,5.57488,-2.48256,-0.01039,-0.09843,35.60855,469.60684
"20","2015_Q3",2.0559375,"Down",280982000,-245498000,35484000,-31954000,-26476000,-5478000,3530000,-11040000,-10125000,-2344000,-7510000,-498000,-8008000,-2678000,-10686000,-10697000,-204000,-10901000,-11990000,81206000,68941000,214027000,214027000,69617000,382646000,235862000,104251000,29649000,25617000,411906000,794552000,156265000,70862000,67447000,67447000,236464000,374321000,36255000,7754000,410576000,647040000,150563000,-378000,-58157000,-20139000,124902000,22610000,147512000,794552000,-10697000,-10697000,7410000,-13778000,18133000,1067999.99999999,-9786000,172000,-28202000,-28991000,-223000,-31251000,-58385000,-58385000,-1546000,-59931000,10940000,387073000,21965000,0.12629,0.01256,-0.04267,-0.08128,-0.01509,-1.83194,1.6182,4.38636,0.48716,-0.46994,-0.46994,11.01286,2.81763,0.8609,-0.01743,0.03848,27.95859,86.64788
"21","2015_Q4",1.80625,"Down",277467000,-241474000,35993000,-34865000,-27830000,-7035000,1128000,-7504000,-10383000,1193000,-6376000,-18000,-6394000,-1504000,-7898000,-7922000,-65000,-7987000,-9022000,84691000,81066000,187474000,187474000,73151000,359724000,221842000,106307000,30665000,25397000,405303000,765027000,149075000,70465000,56734000,56734000,219263000,374404000,35815000,8151000,410219000,629482000,151688000,-378000,-62727000,-28273000,113713000,21832000,135545000,765027000,-7922000,-7922000,8963000,1192000,14507000,16740000,1634000,-6000.00000000047,2568000,-2132000,-17000.0000000019,-3966000,15342000,15342000,-3217000,12125000,10091000,387858000,27736000,0.12972,0.00407,-0.03252,-0.06656,-0.01179,-3.07426,1.64061,4.64408,0.50699,-0.35253,-0.35253,10.84194,2.3566,1.08378,-0.01288,0.0496,30.04331,268.76507
"22","2016_Q1",1.05688524590164,"Down",360549000,-323195000,37354000,-41884000,-30709000,-7028000,-4530000,-17177000,-9809000,-5442000,-21707000,989000,-20718000,9050000,-11668000,-11645000,205000,-11440000,-12513000,1440147000,158624000,210853000,210853000,577172000,2240292000,214466000,214907000,61178000,71809000,502220000,2742512000,225389000,225389000,1924752000,1873991000,2150141000,371876000,47230000,17793000,419106000,2569247000,262131000,-378000,-79729000,-35375000,146649000,26616000,173265000,2742512000,-11645000,-11645000,8952000,23030000,-17100000,3237000,-6012000,727000,27493000,-11735000,6993000,47401000,78131000,78131000,-573000,77558000,4422000,371876000,-27740000,0.1036,-0.01256,-0.03471,-0.07222,-0.00456,2.21689,1.04193,14.82842,0.1356,-0.40791,-0.40791,11.75346,4.78058,-0.90429,-0.01803,-0.04683,-241.58096,235.82141
"23","2016_Q2",1.111875,"Up",331744000,-274550000,57194000,-76459000,-35597000,-5955000,-19265000,-14616000,-10326000,-714000,-33881000,0,-33881000,2539000,-31342000,-31342000,880000,-30462000,-31531000,1463288000,137700000,192607000,192607000,575814000,2242345000,241848000,215257000,83766000,49707000,522619000,2764964000,193137000,193137000,1948661000,1897531000,2141798000,394242000,58217000,16986000,452459000,2594257000,264422000,-378000,-110191000,-14935000,138918000,31789000,170707000,2764964000,-31342000,-31342000,7884000,14646000,25637000,16825000,-6041000,172000,-35127000,-796000,-2364000,-4174000,-22476000,-22476000,1552000,-20924000,-11381000,394242000,5676000,0.1724,-0.05807,-0.09505,-0.18471,-0.0114,-0.18001,1.04695,15.19713,0.14258,-0.89419,-0.89419,9.40797,3.9396,0.16097,-0.04897,0.00911,93.93252,55.49162
"24","2016_Q3",1.2678125,"Up",359293000,-284483000,74810000,-68816000,-34994000,-6246000,5994000,-4671000,-10569000,-496000,1323000,192000,1515000,-224000,1291000,1291000,644000,1935000,891000.000000004,1511034000,134510000,221295000,221295000,571194000,2314639000,243497000,202409000,83931000,40507000,530686000,2845325000,212438000,212438000,1974371000,1924672000,2186809000,394489000,42829000,9896000,437318000,2624127000,270368000,-378000,-108256000,27577000,189311000,31887000,221198000,2845325000,1291000,1291000,5993000,-5787000,27897000,29394000,1601000,-1000,-30638000,-438000,1381000,-61999.9999999925,-1306000,-1306000.00000001,-1884000,-3190000.00000001,11987000,394489000,41709000,0.20821,0.01668,0.00248000000000001,0.00403000000000003,0.000310000000000001,46.81145,1.05846,11.86325,0.13864,0.0250900000000002,0.025,10.1158,5.33,1.17431,0.00288000000000001,0.06334,-93.14633,-186.27711
"25","2016_Q4",1.36238095238095,"Up",413084000,-333860000,79224000,-72371000,-36902000,-5962000,6853000,-14967000,-10719000,-4583000,-8114000,1381000,-6733000,1334000,-5399000,-5399000,841000,-4558000,-7506000,1509504000,121321000,272738000,272738000,558441000,2349656000,244176000,206128000,86025000,37404000,538341000,2887997000,232149000,232149000,1991504000,1942992000,2223653000,396688000,45593000,12042000,442281000,2665934000,270539000,-1262000,-112814000,37221000,193684000,28379000,222063000,2887997000,-5399000,-5399000,5725000,6462000,1972000,8760000,-10838000,-654000,-14307000,1465000,-7104000,-6627000,-12174000,-12174000,-1015000,-13189000,12578000,396688000,2378000,0.19179,0.01659,-0.01817,-0.0338,-0.0026,-0.31681,1.05666,12.0053,0.13736,-0.20493,-0.20493,11.27813,5.28801,0.06492,-0.00981,0.00358,-88.47321,-162.38377
"26","2017_Q1",2.34693548387097,"Up",453979000,-361107000,92872000,-87954000,-45407000,-6337000,4918000,-1146000,-11786000,2993000,3772000,-10473000,-6701000,-55249000,-61950000,-61950000,535000,-61415000,-67254000,1445848000,115371000,267598000,267598000,524201000,2237647000,286458000,213730000,98086000,74814000,597629000,2835276000,251733000,251733000,1947448000,1899835000,2199181000,428496000,108175000,92871000,536671000,2735852000,241527000,-1387000,-174278000,-21647000,73674000,25750000,99424000,2835276000,-61950000,-61950000,9298000,59379000,17394000,24121000,-4922000,-117000,-60128000,33569000,-2713000,29663000,-6344000,-6344000,347000,-5997000,14216000,428496000,81937000,0.20457,0.01083,-0.14814,-0.67644,-0.02372,-1.21832,1.01749,27.51702,0.15113,-1.6154,-1.62027,10.90431,1.06202,1.96808,-0.10385,0.12881,-71.56387,-206.86295
"27","2017_Q2",2.19047619047619,"Down",390568000,-314414000,76154000,-75182000,-39856000,-7397000,972000,-11332000,-14115000,-4910000,-10360000,-231000,-10591000,-5291000,-15882000,-15882000,1386000,-14496000,-15079000,1481449000,127003000,228058000,228058000,524845000,2234352000,284304000,217196000,98086000,80288000,622010000,2856362000,236157000,236157000,1961339000,1914830000,2197496000,445620000,114345000,98795000,559965000,2757461000,243740000,-1968000,-188774000,-8546000,73931000,24970000,98901000,2856362000,-15882000,-15882000,8637000,-2815000,42836000,32776000,-9252000,151000,-28772000,12991000,-5182000,6487000,10491000,10491000,1138000,11629000,9609000,445620000,48484000,0.19498,0.00249,-0.03861,-0.15247,-0.00528,-3.21533,1.01677,27.88102,0.15601,-0.35947,-0.35947,9.31077,1.05969,1.15581,-0.02088,0.07359,-107.79779,-1065.6677
"28","2017_Q3",2.03555555555556,"Down",378652000,-308664000,69988000,-81183000,-41707000,-7295000,-11195000,-11494000,-12073000,-3424000,-22689000,231000,-22458000,1985000,-20473000,-20473000,2562000,-17911000,-18704000,1525816000,143130000,250460000,250460000,527796000,2304072000,282691000,223924000,97499000,88816000,637238000,2941310000,258094000,258094000,1975229000,1929844000,2233323000,494723000,113475000,97988000,608198000,2841521000,247210000,-1969000,-206685000,12678000,77500000,22289000,99789000,2941310000,-20473000,-20473000,8597000,2841000,-6824999.99999999,-15860000,-7385000,222000,-9774000.00000001,47292000,-4222000,42580000,16946000,16946000,-819000,16127000,-2598000,494723000,-18793000,0.18483,-0.02957,-0.0494,-0.18744,-0.00636,1.00476,1.03168,28.47529,0.1682,-0.43813,-0.43813,8.8696,1.20011,-0.44021,-0.02509,-0.02654,396.87952,92.1029900000003
"29","2017_Q4",2.05555555555556,"Up",406409000,-324673000,81736000,-71171000,-45356000,-7896000,10565000,-12029000,-13222000,222000,-1464000,6001000,4537000,-12861000,-8324000,-8324000,2357000,-5967000,-6670000,1516474000,130791000,265082000,265082000,530679000,2312235000,282065000,241118000,96990000,107911000,659109000,2971344000,295096000,295096000,1972634000,1928621000,2267730000,496592000,97307000,83265000,593899000,2861629000,248278000,-1981000,-212652000,29384000,89310000,20405000,109715000,2971344000,-8324000,-8324000,9189000,7585000,11892000,20342000,-7077000,-2121000,-28416000,40000,-2735000,-3646000,-11720000,-11720000,-468000,-12188000,19754000,496592000,37430000,0.20112,0.026,-0.01641,-0.06079,-0.00224,-5.61169,1.01963,26.08239,0.16713,-0.15507,-0.15507,9.44852,1.46535,0.8702,-0.00877,0.0532,-51.6291400000001,-96.53403
