"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2013_Q3",24.3796875,"Up",1.453e+09,-1.289e+09,1.64e+08,-1.04e+08,-1.04e+08,6e+07,-1.2e+07,-1.2e+07,2.3283064365387e-10,4.8e+07,-1e+06,6e+06,5e+06,4.2e+07,4.2e+07,4.2e+07,4.62e+08,4.62e+08,1.999e+09,1.999e+09,3.65e+08,3.5e+08,2.826e+09,2.8e+08,2.415e+09,1.28e+08,7.9e+07,2.695e+09,5.521e+09,1.666e+09,1.666e+09,2999999.99999999,1.669e+09,1.332e+09,1.75e+08,1.75e+08,1.507e+09,3.176e+09,2.165e+09,1.82e+08,-2e+06,2.345e+09,2.345e+09,5.521e+09,5e+06,2.5e+07,6.1e+07,4.3e+07,1.34e+08,2.8e+07,2.7e+07,-3.83e+08,-1e+06,3e+06,4e+06,-1e+06,4e+07,-3.41e+08,-1.8e+08,-1e+08,-1e+08,8.5e+07,1.335e+09,1.5e+08,0.11287,0.04129,0.02891,0.01791,0.00761,3.57143,1.69323,1.35437,0.2418,0.5,0.5,17.29762,27.91667,1.78571,4.55952,0.11025,0.03891,9.11905,10.27059,14.55
"12","2014_Q2",23.0739682539683,"Down",1.312e+09,-1.141e+09,1.71e+08,-8.4e+07,-8.4e+07,8.7e+07,-1.8e+07,-2e+07,2e+06,6.9e+07,6.9e+07,-2.4e+07,4.5e+07,3.7e+07,3.7e+07,3.7e+07,1.83e+08,1.83e+08,1.098e+09,1.098e+09,2.9e+08,2.8e+08,1.571e+09,4.8e+08,1.918e+09,8.8e+07,1.12e+08,2.398e+09,3.969e+09,9.93e+08,9.93e+08,3e+06,1.004e+09,1.33e+09,2.3e+08,2.3e+08,1.56e+09,2.564e+09,1.411e+09,0,-6e+06,1.405e+09,1.405e+09,3.969e+09,4.5e+07,1.8e+07,1e+07,-8.2e+07,-9000000.00000003,-1e+07,-9999999.99999999,-2.4e+07,0,-2.1e+08,2e+06,-2.12e+08,1e+06,-2.33e+08,-2.52e+08,-2.47e+08,-2.47e+08,1.05e+08,1.333e+09,3.7e+07,0.13034,0.06631,0.0282,0.02633,0.00932,1,1.56474,1.82491,0.33585,0.48052,0.47436,17.03896,18.24675,0.48052,0.31169,0.02055,0.01247,0.64865,10.95238,13.21839
"13","2014_Q3",22.66375,"Down",1.306e+09,-1.119e+09,1.87e+08,-8.7e+07,-8.7e+07,1e+08,-2e+07,-1.9e+07,-1e+06,8e+07,-4.3e+08,-9e+06,-4.39e+08,-4.38e+08,-4.38e+08,-4.38e+08,3.58e+08,3.58e+08,1.094e+09,1.094e+09,2.61e+08,2.36e+08,1.713e+09,3.72e+08,1.396e+09,5.9e+07,1.11e+08,1.768e+09,3.481e+09,9.78e+08,9.78e+08,3e+06,9.91e+08,1.329e+09,2.04e+08,2.04e+08,1.533e+09,2.524e+09,1.426e+09,-4.63e+08,-6e+06,9.57e+08,9.57e+08,3.481e+09,-4.39e+08,1.6e+07,5.28e+08,1.9e+07,1.24e+08,-1.2e+07,6.8e+07,-2.4e+07,-1000000.00000001,2e+06,2e+06,0,0,-2.3e+07,1.69e+08,1.75e+08,1.75e+08,1.16e+08,1.332e+09,1.32e+08,0.14319,0.07657,-0.33538,-0.45768,-0.12583,-0.30137,1.72856,2.63741,0.38265,-6,-6.08333,17.89041,13.10959,1.80822,0.32877,-0.16606,0.05295,-0.0547899999999988,8.39655,9.74
"14","2014_Q4",24.285625,"Up",1.276e+09,-1.115e+09,1.61e+08,-7.2e+07,-6.9e+07,8.9e+07,-1.8e+07,-1.8e+07,0,7.1e+07,54000000.0000001,-1.6e+07,3.8e+07,3.4e+07,34000000.0000001,34000000.0000001,4.18e+08,4.18e+08,1.021e+09,1.021e+09,2.36e+08,2.28e+08,1.675e+09,3.6e+08,1.363e+09,3.9e+07,9.9e+07,1.723e+09,3.398e+09,9.91e+08,9.91e+08,2e+06,1.001e+09,1.227e+09,1.94e+08,1.94e+08,1.421e+09,2.422e+09,1.435e+09,-4.53e+08,-6e+06,9.76e+08,9.76e+08,3.398e+09,38000000.0000001,1.6e+07,29000000.0000001,9.6e+07,1.79e+08,-4e+06,-4e+06,-2.4e+07,-1.03e+08,1000000.00000003,2e+06,-999999.99999997,0,-1.26e+08,4.9e+07,6e+07,6e+07,1.05e+08,1.229e+09,2.13e+08,0.12618,0.06975,0.02665,0.03484,0.01001,6.26471,1.67333,2.48156,0.36168,0.45333,0.45333,17.01333,13.01333,2.84,0.32,0.02418,0.08879,0.70588,7.72381,9.11236
"15","2015_Q1",27.1768852459016,"Up",7.96e+08,-6.94e+08,1.02e+08,-4.1e+07,-4e+07,6.1e+07,-9e+06,-1.3e+07,4e+06,5.2e+07,5.1e+07,-1.8e+07,3.3e+07,3.3e+07,3.3e+07,3.3e+07,416366822.087473,416366822.087473,970673332.106766,970673332.106766,227458704.539772,228272828.505234,1614498858.73375,374481786.166984,1381018872.6912,-235936175.370846,100202410.478733,1755500658.85819,3369999517.59193,981686522.490301,979563172.753924,1790063.77129302,989136629.471216,1176365761.06319,179209723.66328,179644822.692171,1355575484.72647,2344712114.19768,1445265096.48667,-409682381.015629,-9364511.39107749,1026218204.07997,1026223070.83562,3370935185.0333,3.3e+07,8e+06,4e+06,4.6e+07,9.1e+07,-3e+06,-3e+06,-3.72529029846191e-09,-5e+07,1e+06,1e+06,0,0,-4.9e+07,3.9e+07,4.1e+07,4.1e+07,6.9e+07,0,1.3e+08,0.12814,0.07663,0.04146,0.190834913974147,0.0535834415656856,3.93939,1.63383273566901,2.27103784543439,0.348904072100893,0.46479,0.46479,11.21127,13.7992197932043,1.83099,5.55111512312578e-17,0.0830704125689418,0.0228549891867484,0,8.39822954173185,9.85369029658477
"16","2015_Q2",26.5260317460317,"Down",1.246e+09,-1.093e+09,1.53e+08,-7.5e+07,-7.5e+07,7.8e+07,-1.5e+07,-1.4e+07,-1e+06,6.3e+07,2.3e+07,-3.72529029846191e-09,2.3e+07,4.1e+07,4.1e+07,4.1e+07,3.77e+08,3.77e+08,9.77e+08,9.77e+08,2.97e+08,2.97e+08,1.651e+09,3.08e+08,1.35e+09,34999999.9999999,9.5e+07,1.658e+09,3.309e+09,9.82e+08,9.82e+08,2e+06,9.87e+08,1.156e+09,1.66e+08,1.66e+08,1.322e+09,2.309e+09,1.431e+09,-4.19e+08,-1.2e+07,1e+09,1e+09,3.309e+09,2.3e+07,1.2e+07,4.5e+07,-1.22e+08,-4.2e+07,-3e+06,-2e+06,-2.4e+07,-2.9e+07,-5000000.00000001,1e+06,-6e+06,1e+06,-5.7e+07,-1.01e+08,-8.2e+07,-8.2e+07,9e+07,1.158e+09,-3.5e+07,0.12279,0.0626,0.03291,0.0409999999999999,0.01239,-0.853659999999999,1.67275,2.309,0.34995,0.56164,0.54667,17.06849,13.69863,-0.47945,0.32877,0.02797,-0.01506,0.58537,8.67778,10.01282
"17","2015_Q3",26.7046875,"Up",1.257e+09,-1.113e+09,1.44e+08,-5.1e+07,-5.1e+07,9.3e+07,-1.2e+07,-1.4e+07,2e+06,8.1e+07,5.2e+07,-1.5e+07,3.7e+07,3.7e+07,3.7e+07,3.7e+07,3.65e+08,3.65e+08,9.29e+08,9.29e+08,3.98e+08,3.98e+08,1.692e+09,1.78e+08,1.341e+09,1.239e+09,8.8e+07,1.519e+09,3.211e+09,9.89e+08,9.89e+08,2e+06,9.93e+08,1.127e+09,1.69e+08,1.69e+08,1.296e+09,2.289e+09,1.336e+09,-4.06e+08,-1.1e+07,9.19e+08,9.19e+08,3.208e+09,3.7e+07,1.2e+07,3.7e+07,6.5e+07,1.51e+08,0,-1.4e+07,-2.4e+07,-1.8e+07,-1.07e+08,2e+06,-1.09e+08,2.3283064365387e-10,-1.49e+08,-1.2e+07,-1.2e+07,-1.2e+07,1.05e+08,1.129e+09,1.85e+08,0.11456,0.07399,0.02944,0.04026,0.01152,5,1.70393,2.49075,0.3516,0.50685,0.5,17.21918,12.58904,2.53425,0.32877,0.02748,0.08333,0.64865,7.27619,8.21505
"18","2015_Q4",34.0265625,"Up",1.302e+09,-1.138e+09,1.64e+08,-6.4e+07,-5.4e+07,1e+08,-1.4e+07,-1.4e+07,0,8.6e+07,8e+07,-3.1e+07,4.9e+07,4.9e+07,4.9e+07,4.9e+07,6.35e+08,6.35e+08,8.44e+08,8.44e+08,2.5e+08,2.5e+08,1.729e+09,1.78e+08,1.395e+09,1.233e+09,1.55e+08,1.573e+09,3.302e+09,1.038e+09,1.038e+09,3e+06,1.042e+09,1.142e+09,1.64e+08,1.64e+08,1.306e+09,2.348e+09,1.345e+09,-3.8e+08,-1.1e+07,9.54e+08,9.54e+08,3.302e+09,4.9e+07,1.1e+07,2.2e+07,1.87e+08,2.69e+08,-3e+06,2.4e+07,-2.3e+07,-2e+06,0,1e+06,-1e+06,2e+06,-2.3e+07,2.7e+08,2.7e+08,2.7e+08,1.11e+08,1.145e+09,3.26e+08,0.12596,0.0768,0.03763,0.05136,0.01484,6.65306,1.65931,2.46122,0.34676,0.68056,0.67123,18.08333,13.25,4.52778,0.31944,0.03182,0.14406,0.46939,4.59459,5.1
"19","2016_Q1",30.9745901639344,"Down",9.07e+08,-8.02e+08,1.05e+08,-1.9e+07,-2.1e+07,8.6e+07,7.6e+07,-7e+06,8.3e+07,1.62e+08,2e+08,-6.6e+07,1.34e+08,1.15e+08,1.15e+08,1.15e+08,6.56e+08,6.56e+08,9.21e+08,9.21e+08,2.16e+08,2.16e+08,1.793e+09,1.42e+08,1.435e+09,2.5e+07,1.95e+08,1.577e+09,3.37e+09,1.037e+09,1.035e+09,2e+06,1.04e+09,1.079e+09,1.83e+08,1.49e+08,1.262e+09,2.302e+09,1.353e+09,-2.77e+08,-8e+06,1.068e+09,1.068e+09,3.37e+09,1.34e+08,6e+06,-1.17e+08,-1.9e+07,4e+06,5.8e+07,6.2e+07,-2.2e+07,1e+07,0,2e+06,-2e+06,-1e+07,-2.2e+07,4.4e+07,2.4e+07,2.4e+07,9.2e+07,1.081e+09,1.97e+08,0.11577,0.09482,0.12679,0.10768,0.03412,1.71304,1.72404,2.15543,0.32077,1.55405,1.55405,12.25676,14.43243,2.66216,0.2973,0.05875,0.08448,0.1913,4.61957,4.94186
"20","2016_Q2",32.34140625,"Up",1.312e+09,-1.154e+09,1.58e+08,-6e+07,-6e+07,9.8e+07,-1.1e+07,-1.1e+07,0,8.7e+07,7.8e+07,-2.5e+07,5.3e+07,5.3e+07,5.3e+07,5.3e+07,6.09e+08,6.09e+08,8.74e+08,8.74e+08,3.2e+08,2.25e+08,1.803e+09,1.36e+08,1.452e+09,1.231e+09,2.14e+08,1.588e+09,3.391e+09,9.23e+08,9.23e+08,2e+06,1.005e+09,1.089e+09,1.95e+08,1.95e+08,1.284e+09,2.289e+09,1.359e+09,-2.51e+08,-6e+06,1.102e+09,1.102e+09,3.391e+09,5.3e+07,8e+06,1e+07,-8.5e+07,-1.4e+07,-1000000.00000001,-1e+06,-2.3e+07,-1e+06,-7e+06,2e+06,-9e+06,-29391120.2714986,-3.1e+07,-4.6e+07,-4.7e+07,-4.7e+07,1.06e+08,1.091e+09,4.5e+07,0.12043,0.0747,0.0404,0.04809,0.01563,0.849059999999999,1.79403,2.07713,0.32173,0.73611,0.71622,18.22222,15.30556,0.625,0.31944,0.03183,0.01884,0.43396,4.54717,4.91837
"21","2016_Q3",34.71484375,"Up",1.288e+09,-1.141e+09,1.47e+08,-5.6e+07,-5.6e+07,9.1e+07,-1.5e+07,-1.3e+07,-2000000.00000001,7.6e+07,6e+07,-1.9e+07,4.1e+07,4.1e+07,4.1e+07,4.1e+07,6.7e+08,6.7e+08,9.24e+08,9.24e+08,2.23e+08,2.23e+08,1.817e+09,1.31e+08,1.453e+09,1.228e+09,2.18e+08,1.584e+09,3.401e+09,9.89e+08,9.89e+08,1e+06,9.9e+08,1.092e+09,1.95e+08,1.95e+08,1.287e+09,2.277e+09,1.358e+09,-2.3e+08,-4e+06,1.124e+09,1.124e+09,3.401e+09,4.1e+07,9e+06,3e+06,1.9e+07,7.2e+07,-3e+06,1.9e+07,-2.3e+07,-999999.99999997,-6e+06,4e+06,-1e+07,-41113738.7588265,-3e+07,6.1e+07,6.1e+07,6.1e+07,1e+08,1.093e+09,1.35e+08,0.11413,0.07065,0.03183,0.03648,0.01206,3.29268,1.83535,2.0258,0.32138,0.56164,0.55405,17.64384,15.39726,1.84932,0.31507,0.02653,0.05597,0.56098,4.23,4.64835
