"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","general_administrative","research_development","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","deferred_revenue_long_term","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"17","2015_Q2",21.7944444444444,"Down",43679000,-15001000,28678000,-40401000,-28791000,-10598000,-11610000,-11723000,-2397000,-2397000,-14120000,-14120000,-110000,-14230000,-14230000,-14230000,-14230000,154147000,141660000,58232000,58232000,8043000,7943000,220422000,15175000,39692000,1659000,54867000,275289000,19535000,8130000,11405000,54411000,54411000,73946000,3181000,2240000,115067000,189013000,138472000,-13938000,-33453000,86276000,86276000,275289000,-14230000,2395000,22122000,-11721000,-1434000,-1228000,-1228000,-1110000,-13715000,638000,638000,-4727000,-4196000,-19345000,-19345000,-19359000,-9328000,111886000,-22167000,0.65656,-0.26839,-0.32579,-0.16494,-0.05169,1.55777,2.98085,2.19079,0.40643,-0.48443,-0.48443,1.48694,2.93706,-0.75462,-0.07068,-0.1101,4.53055,3.60496000000012
"18","2015_Q3",21.73890625,"Down",41689000,-15730000,25959000,-38827000,-27540000,-9562000,-11287000,-12868000,-2430000,-2430000,-15298000,-15298000,-369999.999999998,-15668000,-15668000,-15668000,-15668000,157028000,145831000,60213000,60213000,7363000,7263000,224604000,15785000,39134000,1520000,54919000,279523000,23393000,9350000,14043000,58830000,58830000,82223000,5419000,4384000,118780000,201003000,145597000,-13938000,-49121000,78520000,78520000,279523000,-15668000,2376000,6598000,10105000,3411000,-855000,-855000,-740000,432000,511000,511000,-408999.999999998,50000,3893000,3893000,4171000.00000003,-10492000,113361000,-872000,0.62268,-0.30867,-0.37583,-0.19954,-0.05605,0.0556499999999995,2.73164,2.5599,0.40555,-0.52995,-0.52995,1.41008,2.65584,-0.0294899999999998,-0.07941,-0.00442,4.16193,3.39346
"19","2015_Q4",23.2065625,"Up",40866000,-15266000,25600000,-41466000,-29265000,-9626000,-12201000,-15866000,-2386000,-2386000,-18252000,-18252000,70000,-18182000,-18182000,-18182000,-18182000,157445000,134948000,50490000,50490000,9016000,8916000,216951000,16338000,37866000,1699000,54204000,271155000,21146000,6770000,14376000,63113000,63113000,84259000,4949000,3935000,119796000,204055000,152112000,-13938000,-67303000,67100000,67100000,271155000,-18182000,3152000,17890000,1967000,4827000,-3006000,-3006000,-3006000,-14282000,123000,123000,-1542000,-1472000,-10927000,-10927000,-10883000,-12714000,114847000,-13823000,0.62644,-0.38824,-0.44492,-0.27097,-0.06705,0.76026,2.57481,3.04106,0.42355,-0.61322,-0.61322,1.37828,2.26307,-0.46621,-0.09728,-0.07396,3.35048,2.68485999999995
"20","2016_Q1",12.8837704918033,"Down",42012000,-15413000,26599000,-38749000,-27067000,-8731000,-11682000,-12150000,-2362000,-2362000,-14512000,-17402000,-329000,-17731000,-17731000,-17731000,-17731000,164270000,161770000,39115000,39115000,7540000,7540000,210925000,15777000,36509000,1873000,52286000,263211000,25690000,8273000,17417000,60664000,60664000,86354000,5583000,4665000,121443000,207797000,158708000,-13938000,-85034000,55414000,55414000,263211000,-17731000,2472000,22507000,1480000,8728000,-1938000,-1938000,-1938000,18141000,273000,273000,-158000,64000,26933000,26933000,26822000,-9678000,115860000,-9807000,0.63313,-0.2892,-0.42205,-0.31997,-0.06736,0.5531,2.44256,3.7499,0.44018,-0.59656,-0.59656,1.4135,1.86441,-0.32996,-0.10026,-0.05545,5.00207,3.98436
"21","2016_Q2",13.3409375,"Up",37928000,-15711000,22217000,-40191000,-27059000,-9041000,-13132000,-17974000,-2345000,-2345000,-20319000,-20319000,-158000,-20477000,-20477000,-20477000,-20477000,153651000,118700000,37985000,37985000,6203000,6203000,197839000,15278000,37266000,2705000,52544000,250383000,21886000,6679000,15207000,69755000,69755000,91641000,4559000,3621000,121987000,213628000,159765000,-13938000,-105511000,36755000,36755000,250383000,-20477000,2465000,8140000,7108000,-2764000,-3522000,-3522000,-3522000,-35968000,470000,470000,-4797000,-4365000,-43097000,-43097000,-43070000,-15509000,117428000,-11765000,0.58577,-0.4739,-0.53989,-0.55712,-0.08178,0.57455,2.15885,5.81222,0.46899,-0.67746,-0.67746,1.25481,1.21601,-0.38923,-0.129,-0.07411,2.33561,2.01530000000001
"22","2016_Q3",19.178125,"Up",37038000,-16048000,20990000,-39040000,-25682000,-9616000,-13358000,-18050000,-2372000,-2372000,-20422000,-20422000,-105000,-20527000,-20527000,-20527000,-20527000,145105000,103151000,36770000,36770000,7456000,7456000,189331000,15490000,36108000,2699000,51598000,240929000,20447000,4718000,15729000,68762000,68762000,89209000,10998000,10288000,130024000,219233000,165606000,-13938000,-126038000,21696000,21696000,240929000,-20527000,2508000,8662000,2749000,-6608000,-1889000,-1889000,-1817000,-8871000,14000,14000,-42000,-81000,-15560000,-15560000,-15549000,-15542000,119026000,-14577000,0.56672,-0.48734,-0.55421,-0.94612,-0.0852,0.71014,2.12233,10.10477,0.49403,-0.67679,-0.67679,1.22117,0.71533,-0.48061,-0.1353,-0.09608,1.67797,1.44482
"23","2016_Q4",22.8579365079365,"Up",38384000,-15642000,22742000,-35858000,-22894000,-9253000,-12964000,-13116000,-2365000,-2365000,-15481000,-15481000,-227000,-15708000,-15708000,-15708000,-15708000,146160000,95208000,26443000,26443000,6710000,6710000,179313000,15456000,36191000,3359000,51647000,230960000,22432000,3406000,19026000,67275000,67275000,89707000,10626000,9939000,131273000,220980000,169430000,-13938000,-141746000,9980000,9980000,230960000,-15708000,2423000,15166000,332000,2213000,-1682000,-1682000,-1185000,-10688000,1026000,1026000,-405000,516000,-7959000,-7959000,-7943000,-10693000,120647000,-11816000,0.59249,-0.3417,-0.40923,-1.57395,-0.06801,0.75223,1.99887,22.14228,0.52237,-0.51557,-0.51557,1.25985,0.32757,-0.38783,-0.1112,-0.08365,2.38595,1.94518
"24","2017_Q1",22.5920967741935,"Down",39926000,-15952000,23974000,-40232000,-26882000,-10627000,-13350000,-16258000,-2275000,-2275000,-18533000,-18533000,20000,-18513000,-18513000,-18513000,-18513000,134035000,118039000,33285000,33285000,6337000,6337000,173657000,15238000,38759000,6013000,53997000,227654000,28372000,2744000,25628000,68349000,68349000,96721000,12028000,11389000,134327000,231048000,175713000,-13938000,-160259000,-3394000,-3394000,227654000,-18513000,2111000,841000,8375000,-7186000,-2821000,-2821000,-717000,30123000,468999.999999999,468999.999999999,-223000,245999.999999999,23183000,23183000,22831000,-14147000,122299000,-8613000,0.60046,-0.4072,-0.46368,5.45463,-0.08132,0.46524,1.79544,-68.07543,0.53721,-0.60585,-0.60585,1.30661,-0.11107,-0.28187,-0.14139,-0.06578,0.82958,0.72186
"25","2017_Q2",26.121746031746,"Up",40129000,-16609000,23520000,-41188000,-26881000,-10408000,-14307000,-17668000,-2362000,-2362000,-20030000,-20030000,-177000,-20207000,-20207000,-20207000,-20207000,117868000,111868000,32744000,32744000,6805000,6805000,157417000,14789000,38521000,6202000,53310000,210727000,21127000,6253000,14874000,73307000,73307000,94434000,12189000,11561000,136163000,230597000,179197000,-13938000,-180466000,-19870000,-19870000,210727000,-20207000,2033000,8413000,-2432000,-12193000,-1056000,-1056000,-484000,8927000,2974000,2974000,-5790000,-2866000,-6132000,-6132000,-6171000,-15635000,123974000,-18946000,0.58611,-0.44028,-0.50355,1.01696,-0.09589,0.9376,1.66695,-11.60528,0.58832,-0.64976,-0.64976,1.29036,-0.63893,-0.60922,-0.17376,-0.16292,-0.39053,-0.3456
"26","2017_Q3",26.622380952381,"Up",40406000,-16086000,24320000,-41030000,-26954000,-9782000,-14076000,-16710000,-2654000,-2654000,-19364000,-19364000,-149000,-19513000,-19513000,-19513000,-19513000,203969000,197969000,33258000,33258000,7011000,7011000,244238000,14614000,39130000,6378000,53744000,297982000,25460000,5300000,20160000,71348000,71348000,96808000,14169000,13514000,221637000,318445000,196998000,-13938000,-199979000,-20463000,-20463000,297982000,-19513000,1972000,7361000,1064000,-9116000,-947000,-947000,-211000,-947000,96578000,96578000,-89000.0000000009,96384000,86321000,86321000,86101000,-14738000,207468000,-14472000,0.60189,-0.41355,-0.48292,0.95357,-0.06548,0.74166,2.52291,-15.56199,0.69624,-0.61721,-0.61721,1.27806,-0.64726,-0.45776,-0.097,-0.07194,-0.23741,-0.2094
"27","2017_Q4",25.0687301587302,"Down",41937000,-17724000,24213000,-41350000,-27304000,-10324000,-14046000,-17137000,-3747000,-3747000,-20884000,-21497000,271000,-21226000,-21226000,-21226000,-21226000,157359000,157359000,34641000,34641000,12123000,12123000,204123000,14471000,74035000,6754000,88506000,292629000,25208000,4203000,21005000,73092000,73092000,98300000,19428000,18672000,229740000,328040000,202941000,-13938000,-221205000,-35411000,-35411000,292629000,-21226000,3042000,7660000,1985000,-8539000,-1303000,-1303000,-540000,-29424000,1830000,1830000,-4187000,-2357000,-40320000,-40320000,-40610000,-14095000,210312000,-13684000,0.57737,-0.40864,-0.50614,0.59942,-0.07254,0.64468,2.07653,-9.26379,0.7187,-0.66608,-0.66608,1.316,-1.11121,-0.42941,-0.10923,-0.07042,-3.75686,-3.08998
"28","2018_Q1",30.8491803278689,"Up",46344000,-18147000,28197000,-40905000,-27313000,-9822000,-13592000,-12708000,-4071000,-4071000,-16779000,-16886000,-94000,-16980000,-16980000,-16980000,-16980000,160505000,160505000,32484000,32484000,9067000,5930000,202056000,14007000,72620000,7233000,86627000,288683000,26421000,2976000,23445000,75604000,75604000,102025000,20434000,19591000,233637000,335662000,207960000,-13938000,-238185000,-46979000,-46979000,288683000,-16980000,3484000,10187000,7844000,4535000,-902000,-902000,-51000,-902000,-16000,-16000,-437000,-507000,3126000,3126000,3146000,-9224000,213203000,-2188000,0.60843,-0.27421,-0.36639,0.36144,-0.05882,0.12886,1.98046,-7.14494,0.73854,-0.53184,-0.53184,1.45156,-1.47145,-0.06853,-0.09097,-0.01172,-5.71314,-4.14684
"29","2018_Q2",34.2425,"Up",47910000,-19521000,28389000,-43041000,-28257000,-10689000,-14784000,-14652000,-3977000,-3977000,-18629000,-18724000,-132000,-18856000,-18856000,-18856000,-18856000,148146000,148146000,29031000,29031000,9998000,7294000,187175000,14799000,78495000,14674000,93294000,280469000,17465000,3606000,13859000,83682000,83682000,101147000,18330000,17477000,234461000,335608000,208405000,-13938000,-247317000,-55139000,-55139000,280469000,-18856000,3364000,12366000,-1606000,-4732000,-2094000,-2094000,-778000,-2094000,1709000,1709000,-7255000,-5604000,-12430000,-12430000,-12359000,-11288000,216131000,-14856000,0.59255,-0.30582,-0.39357,0.34197,-0.06723,0.78787,1.85052,-6.08658,0.77061,-0.58237,-0.58237,1.47971,-1.70298,-0.45883,-0.10515,-0.08285,-6.02277,-4.63998
"30","2018_Q3",37.5609523809524,"Up",47426000,-18724000,28702000,-41695000,-28735000,-10145000,-12960000,-12993000,-3982000,-3982000,-16975000,-16975000,131000,-16844000,-16844000,-16844000,-16844000,141867000,141867000,39349000,39349000,8571000,5518000,189787000,14856000,76797000,15433000,91653000,281440000,25945000,4725000,21220000,89270000,89270000,115215000,15776000,14957000,234884000,350099000,212518000,-13938000,-264161000,-68659000,-68659000,281440000,-16844000,3256000,-2141000,12151000,-3578000,-1577000,-1577000,-409000,-1577000,326000,326000,-1713000,-1384000,-6539000,-6539000,-6279000,-9737000,219108000,706000.000000002,0.6052,-0.27396,-0.35516,0.24533,-0.05985,-0.04191,1.64724,-5.0991,0.77852,-0.5159,-0.5159,1.45256,-2.10288,0.02162,-0.10133,0.00425,-7.93273,-5.94482
