"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","other_intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_payables_accruals","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",7.05903225806452,"Down",347900000,-176800000,171100000,-107700000,-107700000,63400000,-4400000,-4800000,4e+05,5.9e+07,5.9e+07,-6.1e+07,-2e+06,-2e+06,-2e+06,-2e+06,151743000,151743000,161521000,161521000,87123000,40825000,26143000,441212000,176807000,295501000,216126000,63820000,15555000,472308000,913520000,192377000,85781000,18109000,88487000,234240000,649500000,42233000,18360000,23873000,691733000,925973000,-12453000,913520000,-2e+06,9300000,41600000,18200000,67100000,-17800000,-17800000,-17800000,0,-2e+07,-3.2e+07,5e+05,5e+05,0,-2e+05,-31700000,15400000,15400000,2100000,17500000,72700000,649500000,134100000,0.49181,0.18224,-0.00575,0.160600000000001,-0.00219,-67.05,1.88359,-74.35742,0.71099,-0.0084,-0.00822,1.46176,0.56345,-0.00294,0.19741,6.84673,7.85106
"12","2013_Q1",9.75116666666667,"Up",341100000,-170500000,170600000,-119300000,-119300000,51300000,-6500000,-5800000,-7e+05,44800000,44800000,-21300000,23500000,23500000,23500000,23500000,179300000,179300000,136300000,136300000,9.3e+07,4.19e+08,41400000,827600000,1.86e+08,305900000,216100000,63100000,16300000,491900000,1319500000,189200000,85800000,15500000,87900000,215700000,1.025e+09,56500000,31400000,25100000,1081500000,1297200000,22300000,1319500000,23500000,9400000,5500000,-2099999.99999999,36300000,-12100000,-12100000,-12100000,0,-12700000.0000001,500000.00000006,8e+05,8e+05,0,-1700000,-400000.00000006,23200000,23200000,4400000,27600000,60700000,1.025e+09,67800000,0.50015,0.1504,0.06889,1.05381,0.01781,2.88510999999998,3.83681,58.1704,0.77681,0.09841,0.09663,1.42839,0.28392,0.02129,0.06142,13.93245,16.48538
"13","2013_Q2",11.11359375,"Up",390100000,-201700000,188400000,-145100000,-145100000,43300000,-29200000,-27900000,-1500000,14100000,15100000,-2600000,12500000,12500000,12500000,12500000,91500000,91500000,3.25e+08,3.25e+08,170900000,172900000,46900000,760300000,433500000,1633100000,764900000,770400000,87900000,2066600000,2826900000,376300000,157500000,21400000,197400000,412900000,1961700000,424900000,331100000,93800000,2386600000,2799500000,27400000,2826900000,12500000,11200000,-37400000,14200000,5e+05,-5600000,-5600000,-5600000,99999.9999999999,-1.271e+09,1225900000,4200000,4200000,0,-44600000,1185500000,-8.5e+07,-8.5e+07,-2800000,-87800000,54500000,1997900000,65700000,0.48295,0.111,0.03204,0.4562,0.00442,5.256,1.84137,102.17153,0.70675,0.05208,0.05106,1.62542,0.27375,0.0051,0.02681,34.97982,44.02771
"14","2013_Q3",10.150625,"Down",660600000,-405700000,254900000,-216100000,-216100000,38800000,-36200000,-35700000,-1600000,2600000,6700000,-8800000,-2100000,-2100000,-1600000,-1600000,101400000,101400000,331600000,331600000,179600000,86600000,50800000,699200000,415100000,1.602e+09,747900000,7.64e+08,80300000,2017100000,2716300000,361200000,150100000,18400000,192700000,401100000,1903300000,374300000,291900000,82400000,2277600000,2678700000,37600000,2716300000,-1600000,20200000,-2900000,-32400000,-16700000,-13700000,-13700000,-13700000,2e+06,80900000,-58700000,1300000,1300000,9.31322574615479e-10,7e+05,-56699999.9999998,7500000,7499999.99999999,2400000,9900000,5.9e+07,1942700000,21700000,0.38586,0.05873,-0.00242,-0.04255,-0.00059,-13.5625,1.74321,71.24202,0.7152,-0.00662,-0.00647,2.73427,0.08982,-0.00068,0.00922,31.20847,47.45619
"15","2013_Q4",11.2309375,"Up",735500000,-436800000,298700000,-222800000,-222800000,75900000,-24300000,-24600000,-9e+05,51600000,55700000,-15500000,40200000,40200000,40200000,40200000,126600000,126600000,349300000,349300000,182800000,91900000,52700000,750600000,411600000,1599300000,756400000,758200000,7.5e+07,2010900000,2761500000,435100000,181700000,3.3e+07,220400000,475300000,1820400000,372400000,287200000,85200000,2192800000,2668100000,93400000,2761500000,39700000,21100000,3500000,5.2e+07,116300000,-9100000,-9100000,-9100000,-1200000,-10300000,-83700000,5e+05,5e+05,0,-4e+05,-83600000,22400000,22400000,2800000,25200000,9.7e+07,1860100000,155400000,0.40612,0.1032,0.05466,0.43041,0.01456,3.86567,1.57921,28.56638,0.67358,0.16612,0.16315,3.03926,0.64215,0.01728,0.06681,17.87113,22.83926
"16","2014_Q1",12.1444262295082,"Up",678100000,-405200000,272900000,-205200000,-205200000,67700000,-21700000,-22600000,-1e+06,4.6e+07,50500000,-22200000,28300000,28300000,27500000,27500000,8.1e+07,8.1e+07,349200000,349200000,199200000,98100000,53700000,727500000,411600000,1590800000,759600000,750100000,70200000,2002400000,2729900000,401100000,191200000,1500000,208400000,441500000,1796900000,361400000,286100000,75300000,2158300000,2599800000,130100000,2729900000,28300000,22100000,1.6e+07,-72700000,-6300000.00000003,-11600000,-11600000,-11600000,-1e+06,-12600000.0000001,-24200000,-4300000,2700000,-7e+06,1400000,-27100000,-4.6e+07,-4.6e+07,4e+05,-45600000,89800000,1836500000,27700000,0.40245,0.09984,0.04055,0.21138,0.01007,1.00727,1.64779,19.98309,0.67274,0.11401,0.11125,2.81136,0.11484,0.01181,0.0119,19.549,25.93058
"17","2014_Q2",13.1055555555556,"Up",701900000,-432400000,269500000,-213300000,-213300000,56200000,-21500000,-22200000,-1e+06,34700000,39200000,-11500000,27700000,27700000,27400000,27400000,79700000,79700000,368400000,368400000,222700000,102400000,59400000,773200000,402400000,1595800000,764400000,743700000,76900000,1998200000,2771400000,4e+08,200800000,3800000,195400000,446500000,1799700000,361900000,279900000,8.2e+07,2161600000,2608100000,163300000,2771400000,27700000,19900000,6200000,-55400000,-1600000,-7800000,-7800000,-7800000,-8e+05,-8600000,8e+06,-5e+05,1700000,-2200000,1e+06,8500000,-1700000,-1700000,4e+05,-1300000,76100000,1845300000,24400000,0.38396,0.08007,0.03904,0.16779,0.00989,0.89051,1.73169,15.97122,0.66584,0.11285,0.11066,2.89086,0.10049,0.01156,0.01029,23.20105,31.41637
"18","2014_Q3",14.319375,"Up",7.15e+08,-446700000,268300000,-224700000,-224700000,43600000,-20400000,-2.3e+07,5e+05,23200000,7400000,-9800000,-2400000,-2400000,-2200000,-2200000,121500000,121500000,376200000,376200000,2.2e+08,100300000,54900000,8.18e+08,366400000,1567500000,741500000,743500000,71500000,1933900000,2751900000,457500000,235200000,17300000,2.05e+08,511200000,1723200000,3.5e+08,268400000,81600000,2073200000,2584400000,167500000,2751900000,-2400000,20200000,9900000,46300000,7.4e+07,-9100000,-9100000,-9100000,-1300000,35900000,-70600000,1800000,1800000,0,7e+05,-68100000,41800000,41800000,0,41800000,63800000,1.776e+09,110800000,0.37524,0.06098,-0.00308000000000001,-0.01313,-8e-04,-50.36364,1.60016,15.42925,0.64537,-0.00904999999999999,-0.00905000000000002,2.93997,0.45559,-0.00096,0.04831,25.9326,37.94725
"19","2014_Q4",13.34625,"Down",827400000,-508900000,318500000,-237600000,-237600000,80900000,-22600000,-25300000,9e+05,58300000,59900000,-22400000,37500000,37500000,37100000,37100000,81800000,81800000,402400000,402400000,207300000,100300000,53100000,791800000,358100000,1549800000,738400000,736200000,64600000,1907900000,2699700000,501900000,249300000,19100000,233500000,562900000,1586600000,364600000,261900000,102700000,1951200000,2514100000,185600000,2699700000,37500000,17600000,7300000,46100000,108500000,-13400000,-13400000,-13400000,4100000,-20600000,-130600000,4e+05,4e+05,0,3e+05,-129900000,-4.2e+07,-4.2e+07,2300000,-39700000,98500000,1646800000,153600000,0.38494,0.09778,0.04484,0.19989,0.01374,4.14016,1.40664,13.5458,0.60999,0.1523,0.14936,3.39655,0.63054,0.01689,0.06991,15.88832,19.34487
"20","2015_Q1",13.5396721311475,"Up",745500000,-451400000,294100000,-224900000,-224900000,69200000,-5400000,-21400000,13300000,63800000,68400000,-21200000,47200000,47200000,46600000,46600000,62500000,62500000,385800000,385800000,217200000,56500000,56500000,7.22e+08,355600000,1505100000,736500000,727100000,30800000,1860700000,2582700000,471700000,226400000,1.2e+07,233300000,538100000,1498300000,3.31e+08,216700000,114300000,1829300000,2367400000,215300000,2582700000,47200000,18600000,7900000,-29400000,44300000,-17200000,-17200000,-17200000,1e+05,-17100000,-46200000,4e+05,4e+05,-5.82076609134674e-11,-2800000,-48600000,-21400000,-21400000,2100000,-19300000,87800000,1564700000,62400000,0.3945,0.09282,0.06251,0.21644,0.01804,1.33905999999999,1.34176,10.99582,0.60584,0.19161,0.18318,3.06538,0.25658,0.02207,0.02956,17.10934,21.70809
"21","2015_Q2",14.9122222222222,"Up",739500000,-460800000,278700000,-231500000,-231500000,47200000,-16100000,-20400000,1300000,31100000,35300000,-10300000,2.5e+07,2.5e+07,23400000,23400000,4.5e+07,4.5e+07,390100000,390100000,226900000,109700000,55900000,771700000,353100000,1530300000,718300000,715600000,87700000,1883400000,2655100000,465800000,236600000,9200000,2.2e+08,536100000,1532500000,377200000,259900000,117300000,1909700000,2445800000,209300000,2655100000,2.5e+07,17800000,1e+06,-50200000,-6400000,-15400000,-15400000,-15400000,-4.65661287307739e-10,-15400000,-9e+05,5e+05,1600000,-1100000,2e+05,-2e+05,-2.2e+07,-2.2e+07,4500000,-17500000,6.5e+07,1602600000,9700000,0.37688,0.06383,0.03164,0.1118,0.00881,0.41453,1.43947,11.68562,0.60359,0.09606,0.09405,3.03571,0.03982,0.01069,0.00443,23.96308,33
"22","2015_Q3",17.9525,"Up",764400000,-466900000,297500000,-253700000,-253700000,43800000,-19300000,-20500000,-2200000,24500000,29300000,-8300000,2.1e+07,2.1e+07,21200000,21200000,35400000,35400000,424700000,424700000,231800000,121700000,61900000,813600000,358600000,1544700000,7.22e+08,712300000,101200000,1903300000,2716900000,5.09e+08,261500000,0,247500000,575200000,1.51e+09,364400000,249300000,115100000,1874400000,2449600000,267300000,2716900000,2.1e+07,18800000,4800000,-37100000,7499999.99999999,-18600000,-18600000,-18600000,0,-11500000,-27600000,8800000,8900000,-99999.9999999991,13300000,-5500000,-9500000,-9500000,-1e+05,-9600000,62600000,1.576e+09,15200000,0.38919,0.0573,0.02773,0.07931,0.0078,0.716979999999999,1.41446,9.16423,0.58007,0.08646,0.08494,3.11746,0.06199,0.0096,0.00688,24.61022,35.17352
"23","2015_Q4",18.5915625,"Up",8.8e+08,-520400000,359600000,-255400000,-255400000,104200000,-4.3e+07,-33200000,-11800000,61200000,65900000,-2.5e+07,40900000,40900000,40200000,40200000,71800000,71800000,454700000,454700000,213100000,114700000,63500000,854300000,360500000,1524600000,712700000,702300000,100300000,1885100000,2739400000,581300000,272300000,17700000,291300000,755300000,1312500000,3.58e+08,242400000,115600000,1670500000,2425800000,313600000,2739400000,40900000,18300000,17300000,55600000,132100000,-17100000,-17100000,-17100000,-759802.152830404,-17300000,-90500000,11100000,11200000,-1e+05,-2300000,-81700000,33100000,33100000,3300000,36400000,122500000,1486300000,1.86e+08,0.40864,0.11841,0.04568,0.12819,0.01467,4.62687,1.13107,7.73533,0.54256,0.16184,0.15978,3.54267,0.74879,0.01863,0.08619,11.54694,13.57486
"24","2016_Q1",14.4813114754098,"Down",770700000,-457300000,313400000,-232300000,-232300000,81100000,-25100000,-28400000,-199999.999999998,5.6e+07,60600000,-81800000,-21200000,-21200000,-20300000,-20300000,153900000,153900000,379400000,379400000,199200000,76600000,76600000,809100000,361700000,1484700000,709400000,695400000,67700000,1846400000,2655500000,531500000,266300000,11200000,2.54e+08,7.13e+08,1273300000,366600000,195400000,171200000,1639900000,2352900000,302600000,2655500000,-12200000,16500000,15800000,80900000,1.01e+08,-14800000,-14800000,-14800000,-1e+06,-15500000,-5800000,3700000,3700000,-3.72529029846191e-09,-1200000,-3300000,82200000,82200000,-100000.000000001,82100000,97600000,1454800000,245500000,0.40664,0.10523,-0.02634,-0.06709,-0.00764,-12.0936,1.13478,7.77561,0.54784,-0.0812,-0.0806800000000001,3.0828,0.982,-0.00956,0.11558,13.32889,16.04069
"25","2016_Q2",14.42453125,"Down",7.21e+08,-4.3e+08,2.91e+08,-221800000,-221800000,69200000,-17600000,-21400000,1e+06,51600000,56300000,-17300000,3.9e+07,3.9e+07,39600000,39600000,37100000,37100000,384700000,384700000,214400000,72700000,72700000,708900000,364900000,1.503e+09,717700000,696100000,76200000,1867900000,2576800000,476200000,215500000,13900000,246800000,655100000,1293700000,363800000,194100000,169700000,1657500000,2312600000,264200000,2576800000,3.9e+07,17600000,7400000,-82800000,-18800000,-12600000,-12600000,-12600000,-2e+05,-12800000,14500000,-9.9e+07,3e+06,-1.02e+08,1600000,-82900000,-114500000,-114500000,-2300000,-116800000,86800000,1472600000,8700000,0.40361,0.09598,0.05492,0.14989,0.01537,0.2197,1.08212,8.75322,0.57148,0.15968,0.15815,2.90726,0.03508,0.01885,0.00414000000000002,16.53802,20.74422
"26","2016_Q3",17.43953125,"Up",804400000,-467500000,336900000,-244700000,-244700000,92200000,-20400000,-23100000,-7e+05,71800000,29200000,-9200000.00000001,2e+07,2e+07,21300000,21300000,137900000,137900000,4.14e+08,4.14e+08,225600000,71400000,71400000,848900000,362200000,1508300000,719600000,691900000,84300000,1870500000,2719400000,518300000,253500000,1100000,263700000,668500000,1526600000,356300000,194600000,161700000,1882900000,2551400000,1.68e+08,2719400000,2e+07,18400000,54100000,-21800000,70700000,-11700000,-11700000,-11700000,2e+05,-11500000,166800000,-112300000,3e+06,-115300000,-12200000,42300000,101500000,101500000,-7e+05,100800000,110600000,1676800000,86300000,0.41882,0.11462,0.02648,0.12679,0.00783,4.05164,1.26986,15.1869,0.61661,0.08846,0.08758,3.34053,0.35839,0.00968,0.03921,13.9141,16.69089
"27","2016_Q4",14.601746031746,"Down",832400000,-470300000,362100000,-239200000,-239200000,122900000,-18400000,-20500000,-3e+05,104500000,110300000,-33700000,76600000,76600000,77800000,77800000,8.9e+07,8.9e+07,404300000,404300000,214300000,61700000,61700000,769300000,365100000,1611800000,719700000,686300000,180400000,1976900000,2746200000,546100000,237900000,23100000,285100000,612200000,1.619e+09,354400000,192200000,162200000,1973400000,2585600000,160600000,2746200000,76600000,18300000,-6500000,-30500000,57900000,-17600000,-17600000,-17600000,0,-17600000,7300000,-93200000,9200000,-102400000,2300000,-83600000,-43300000,-43300000,-5600000,-48900000,141200000,1685100000,126800000,0.43501,0.14765,0.09346,0.48443,0.02833,1.62982,1.25662,16.09963,0.61361,0.33419,0.33078,3.5756,0.54467,0.03536,0.05763,11.30382,12.98698
"28","2017_Q1",12.5672580645161,"Down",771100000,-453600000,317500000,-224200000,-224200000,93300000,-21700000,-26600000,2e+05,71600000,7.6e+07,-26600000,49400000,49400000,51900000,51900000,65700000,65700000,341600000,341600000,196500000,63900000,63900000,667700000,422200000,1608900000,722500000,678700000,185200000,2031100000,2698800000,490800000,2.35e+08,5800000,2.5e+08,561100000,1817800000,354200000,174600000,179600000,2.172e+09,2733100000,-34300000,2698800000,49400000,1.9e+07,-12300000,-399999.999999993,55700000,-20300000,-20500000,-20500000,-2e+05,-20500000,153400000,-214800000,5e+05,-215300000,5e+05,-60900000,-25700000,-25700000,2400000,-23300000,112300000,1888100000,118200000,0.41175,0.121,0.06731,-1.51312,0.01923,2.27746,1.18998,-79.68222,0.69961,0.23336,0.22763,3.46718,0.53147,0.02351,0.05353,16.22796,19.53269
"29","2017_Q2",11.5261904761905,"Down",722100000,-435500000,286600000,-220200000,-220200000,66400000,-10200000,-22100000,9200000,56200000,46600000,-14600000,3.2e+07,3.2e+07,33900000,33900000,42500000,42500000,344100000,344100000,192200000,6.2e+07,6.2e+07,640800000,420100000,1619400000,724200000,675400000,195800000,2039500000,2680300000,483800000,228700000,15500000,239600000,550700000,1789800000,351100000,170200000,180900000,2140900000,2691600000,-11300000,2680300000,3.2e+07,19600000,-7e+06,22600000,67200000,-12900000,-12900000,-12900000,9e+05,-1.2e+07,-28900000,-43700000,1e+05,-43800000,-3400000,-7.6e+07,-20800000,-20800000,-2400000,-23200000,8.6e+07,1856700000,110300000,0.3969,0.09195,0.04695,-3,0.01265,3.25369,1.16361,-238.19469,0.69272,0.15724,0.15522,3.34926,0.5116,0.01543,0.05022,21.09535,27.32229
