"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2018_Q2",55.40640625,"Up",299879000,-23919000,275960000,-287297000,-193364000,-93933000,-11337000,-4627000,-7073000,2446000,-15964000,-27000,-15991000,-18591000,-18591000,-18591000,-18591000,822986000,397393000,425593000,54558000,54558000,44703000,44703000,922247000,114828000,2307062000,307919000,1931076000,68067000,2421890000,3344137000,82974000,5194000,77780000,37723000,37723000,120697000,65375000,65375000,454999000,575696000,3340407000,-570512000,-1454000,2768441000,2768441000,3344137000,-18591000,26906000,48744000,-32407000,24652000,-16889000,-15343000,-32232000,52906000,52906000,52878000,45298000,45298000,45298000,15569000,389624000,0.92024,-0.03781,-0.062,-0.00672,-0.00556,7.64101,0.20795,0.11651,-0.0971,-0.0971,1.56624,14.45933,-0.00577,-27.83493,38.22546
"12","2018_Q3",52.1465079365079,"Down",325246000,-25527000,299719000,-308682000,-208306000,-100376000,-8963000,-4098000,-7187000,3089000,-13061000,-631999.99999997,-13693000,-3093000,-3093000,-3093000,-3093000,899586000,431045000,468541000,64083000,64083000,38169000,38169000,1007504000,118242000,2300427000,299228000,1931076000,70123000,2418669000,3426173000,84706000,5928000,78778000,38542000,38542000,123248000,54824000,54824000,449244000,572492000,3428561000,-573605000,-1275000,2853681000,2853681000,3426173000,-3093000,26020000,42003000,4841000,69771000,-19100000,-42360000,-82831000,46750000,46750000,46712000,33652000,33652000,33652000,17057000,394420000,0.92151,-0.02756,-0.00951000000000002,-0.00108,-0.000900000000000002,8.17461,0.20062,0.11512,-0.01593,-0.01593,1.67519,14.69795,-0.000939999999999999,-29.61635,56.36126
"13","2018_Q4",35.508253968254,"Down",343094000,-36672000,306422000,-304791000,-199477000,-105314000,1631000,-4895000,-12668000,7773000,-3264000,-11928000,-15192000,-492000,-492000,-492000,-492000,1643033000,643792000,999241000,66337000,66337000,38904000,38904000,1791531000,124281000,2286645000,290887000,1931076000,64682000,2410926000,4202457000,89991000,5846000,84145000,38525000,38525000,153190000,39910000,39910000,730248000,883438000,3894777000,-574097000,-1661000,3319019000,3319019000,4202457000,-492000,23375000,55146000,-69909000,8120000,-16672000,-529460000,-526761000,14967000,14967000,734591000,215950000,215950000,215950000,25006000,715012000,0.89311,0.00475,-0.00143,-0.00015,-0.00012,11.69483,0.26617,0.17014,-0.00243,-0.00243,1.69499,16.39702,-0.00012,-37.11193,-568.98896
"14","2019_Q1",35.6731147540984,"Up",365335000,-67472000,297863000,-324822000,-213627000,-111195000,-26959000,-8365000,-14327000,5962000,-35324000,-70760000,-106084000,-97682000,-97682000,-97682000,-97682000,1554925000,651058000,903867000,66083000,66083000,96476000,61067000,1880313000,135172000,2275631000,215904000,1984907000,74820000,2410803000,4291116000,101960000,7471000,94489000,68838000,35820000,287498000,37419000,37419000,736439000,1023937000,3939863000,-671779000,-905000,3267179000,3267179000,4291116000,-97682000,23090000,113947000,-138048000,-98693000,-25874000,98197000,19185000,5451000,5451000,95956000,16448000,16448000,16448000,-3869000,815720000,0.81531,-0.07379,-0.26738,-0.0299,-0.02276,6.54026,0.3134,0.1901,-0.47944,-0.47944,1.79313,16.03594,-0.02371,191.05841,27.4196000000001
"15","2019_Q2",39.8280952380952,"Up",454104000,-151348000,302756000,-365131000,-257361000,-107770000,-62375000,-7298000,-16466000,9168000,-69673000,-352000,-70025000,-67525000,-67525000,-67525000,-67525000,1517470000,736507000,780963000,70605000,70605000,126356000,69292000,2039585000,142146000,2357835000,207933000,1984907000,164995000,2499981000,4539566000,101220000,7708000,93512000,83657000,36105000,430905000,117669000,117669000,825529000,1256434000,4022218000,-739304000,197000,3283132000,3283132000,4539566000,-67525000,20525000,85749000,-184263000,-145514000,-17471000,125775000,108304000,13564000,13564000,137869000,100659000,100659000,100659000,-41850000,953888000,0.66671,-0.13736,-0.1487,-0.02057,-0.01487,4.73326,0.38269,0.21013,-0.33017,-0.33017,2.22041,16.05323,-0.01551,13.46671,9.03538
"16","2019_Q3",39.850625,"Up",599578000,-271221000,328357000,-390602000,-270272000,-120330000,-62245000,-9439000,-18897000,9458000,-71684000,-292999.999999993,-71977000,-71977000,-71977000,-71977000,-71977000,1439727000,766698000,673029000,82261000,82261000,144597000,62062000,2219408000,145932000,2460580000,202824000,1984907000,272849000,2606512000,4825920000,108549000,8028000,100521000,85931000,37080000,604279000,226716000,226716000,943535000,1547814000,4088470000,-811281000,896000,3278106000,3278106000,4825920000,-71977000,21203000,68647000,-246182000,-228309000,-21128000,110646000,89518000,19433000,19433000,185269000,46477999.9999999,46477999.9999999,46477999.9999999,-41042000,1126618000,0.54765,-0.10381,-0.12005,-0.02196,-0.01491,3.67282,0.47217,0.23345,-0.34981,-0.34981,2.91397,15.9316,-0.01554,7.62898999999998,5.03027000000003
"17","2019_Q4",37.25328125,"Down",745208000,-399835000,345373000,-393814000,-269840000,-123974000,-48441000,-17503000,-26502000,8999000,-65944000,-5000,-65949000,-64649000,-64649000,-64649000,-64649000,2323597000,1791918000,531679000,77674000,77674000,178179000,66413000,3458803000,154251000,2462934000,197527000,1984907000,280500000,2617185000,6075988000,119318000,9717000,109601000,90008000,41955000,907606000,237785000,237785000,1716504000,2624110000,4327003000,-875930000,784000,3451878000,3451878000,6075988000,-64649000,22160000,69385000,-323355000,-296459000,-21664000,142758000,121094000,8017000,8017000,1231707000,1056342000,1056342000,1056342000,-26281000,2176999000,0.46346,-0.065,-0.08675,-0.01873,-0.01064,3.81091,0.7602,0.3583,-0.31228,-0.31228,3.59962,16.6737,-0.01102,5.5781,3.02632
"18","2020_Q1",46.1912903225806,"Up",943947000,-721695000,222252000,-296026000,-297177000,1151000.00000001,-73774000,-27894000,-39927000,12033000,-101668000,0,-101668000,-101210000,-101210000,-101210000,-101210000,2422252000,1141263000,1280989000,67005000,67005000,184270000,58117000,3510154000,170489000,2451330000,190567000,1984907000,275856000,2621819000,6131973000,131590000,8343000,123247000,57339000,39747000,920517000,232633000,232633000,1776035000,2696552000,4412221000,-977140000,340000,3435421000,3435421000,6131973000,-101210000,23579000,85027000,50712000,58108000,-26372000,-748598000,-774970000,24451000,24451000,80849000.0000002,-636013000,-636013000,-636013000,-50195000,2274990000,0.23545,-0.07815,-0.10722,-0.02946,-0.01651,3.81324,0.78493,0.371,-0.48607,-0.48607,4.53337,16.49884,-0.01703,2.9338,1.99612
"19","2020_Q2",49.6385714285714,"Up",1125821000,-761672000,364149000,-431851000,-296933000,-134918000,-67702000,-27999000,-37592000,9593000,-95701000,-76800000,-172501000,-163273000,-163273000,-163273000,-163273000,2560968000,1567710000,993258000,71782000,71782000,150911000,57635000,3317650000,188032000,2366058000,112274000,1984907000,268877000,2554090000,5871740000,139554000,17819000,121735000,55637000,35347000,671475000,218555000,218555000,1784504000,2455979000,4551866000,-1140413000,4286000,3415761000,3415761000,5871740000,-163273000,29026000,151265000,284972000,301990000,-37469000,291810000,254341000,92202000,92202000,-163102000,393229000,393229000,393229000,-38676000,2042233000,0.32345,-0.06014,-0.14503,-0.0478,-0.02781,4.94084,0.71901,0.34781,-0.775,-0.775,5.3439,16.21339,-0.02876,13.41232,7.66203
"20","2020_Q3",78.1,"Up",768352000,-518209000,250143000,-312828000,-249758000,-63070000,-62685000,-27475000,-37590000,10115000,-90160000,6390999.99999999,-83769000,-84448000,-84448000,-84448000,-84448000,3536641000,2045474000,1491167000,66878000,66878000,165014000,56373000,3903934000,195747000,2350107000,106990000,1984907000,258210000,2545854000,6449788000,123473000,14307000,109166000,67303000,44514000,387445000,2039285000,2039285000,2039285000,2426730000,5246371000,-1224861000,1525000,4023058000,4023058000,6449788000,-84448000,26173000,83313000,365592000,390630000,-28592000,-500383000,-518975000,92782000,92782000,583301000,454956000,454956000,454956000,-36512000,196669000,0.32556,-0.08158,-0.10991,-0.02099,-0.01309,10.0761,0.60321,0.03049,-0.38479,-0.38479,3.50101,18.33102,-0.01349,91.47601,53.28184
"21","2020_Q4",110.6059375,"Up",656692000,-243773000,412919000,-336472000,-241698000,-94774000,76447000,-36452000,-39470000,3018000,39995000,0,39995000,39570000,39570000,39570000,39570000,3790170000,1904785000,1885385000,79642000,79642000,243031000,73604000,4306126000,198243000,2339206000,100649000,1984907000,253650000,2537449000,6843575000,148727000,19352000,129375000,77460000,49153000,466168000,2074052000,2074052000,2074052000,2540220000,5488185000,-1185291000,461000,4303355000,4303355000,6843575000,39570000,26778000,94092000,-102902000,57538000,-23585000,-395764000,-419349000,186242000,186242000,231605000,-130206000,-130206000,-130206000,103225000,239981000,0.62879,0.11641,0.06026,0.0092,0.00578,9.23728,0.59029,0.03507,0.17217,0.17217,2.85733,18.72432,0.00598,-34.39272,-46.43987
"22","2021_Q1",148.376557377049,"Up",-926865000,1268654000,341789000,-101849000,-70611000,-31238000,239940000,-21074000,-23348000,2274000,218866000,-5591000,213275000,213151000,46151000,46151000,46151000,3921238000,1703130000,2218108000,69940000,69940000,482409000,75846000,4964880000,196152000,2325528000,94767000,1984907000,245854000,2521680000,7486560000,161127000,18974000,142153000,77305000,48995000,908641000,222580000,222580000,1836103000,2744744000,5880907000,-1139255000,164000,4741816000,4741816000,7486560000,46151000,29023000,104330000,-506662000,-327158000,-19354000,-334663000,-354017000,72774000,72774000,511196000,-169979000,-169979000,-169979000,268963000,2283732000,-0.36876,-0.25887,-0.04979,0.00973,0.00616,5.46407,0.57884,0.30504,0.19603,0.19603,-3.93699,20.14151,0.00637,-6.08821999999999,-6.82464999999998
"23","2021_Q2",121.690476190476,"Down",1.218e+09,-7.11e+08,5.07e+08,-4.18e+08,-2.98e+08,-1.2e+08,8.9e+07,-3.8e+07,-4e+07,2e+06,5.1e+07,-2e+06,4.9e+07,5.2e+07,5.2e+07,5.2e+07,5.2e+07,4695813000,3401762000,1294051000,82461000,82461000,502909000,107877000,5753580000,190234000,2312088000,87711000,1984907000,239470000,2502322000,8255902000,188580000,17044000,171536000,82657000,54192000,933412000,215247000,215247000,1812452000,2745864000,6596875000,-1087291000,454000,5510038000,5510038000,8255902000,5.2e+07,2.9e+07,1.13e+08,4.7e+07,2.41e+08,-1.6e+07,9.2e+08,9.04e+08,6.1e+07,6.1e+07,5.98e+08,1.743e+09,1.743e+09,1.743e+09,1.18e+08,2259380000,0.41626,0.07307,0.04269,0.00944,0.0063,6.16403,0.49834,0.27367,0.21379,0.2005,5.00752,22.65324,0.00651,-20.64774,-27.37565
"24","2021_Q3",101.1528125,"Down",1.31e+09,-7.72e+08,5.38e+08,-4.72e+08,-3.43e+08,-1.29e+08,6.6e+07,-3.8e+07,-3.9e+07,1e+06,2.8e+07,-5e+06,2.3e+07,1e+07,1e+07,1e+07,1e+07,4594031000,3713156000,880875000,101927000,101927000,420161000,107687000,6285720000,189950000,2299751000,81362000,1984907000,233482000,2489701000,8775421000,247080000,15640000,231440000,81510000,53547000,1646517000,208302000,208302000,1484789000,3131306000,6721460000,-1077650000,305000,5644115000,5644115000,8775421000,1e+07,2.9e+07,1.32e+08,-5.7e+08,-3.99e+08,-1.9e+07,4.1e+08,3.91e+08,5.6e+08,5.6e+08,3.4e+08,3.32e+08,3.32e+08,3.32e+08,9.5e+07,2594414000,0.41069,0.0503800000000001,0.00762999999999999,0.00177,0.00114,3.81759,0.55479,0.29565,0.04111,0.03856,5.38576,23.20447,0.00118,-21.0486,-30.29723
"25","2021_Q4",72.0621875,"Down",5.5e+08,-8.2e+07,4.68e+08,-4.1e+08,-3.09e+08,-1.01e+08,5.8e+07,-2.7e+07,-2.9e+07,2e+06,3.1e+07,-1.8e+07,1.3e+07,1.8e+07,-3.29e+08,-3.29e+08,-3.29e+08,3215449000,2195366000,1020083000,161080000,161080000,696165000,143756000,7830901000,202450000,2804288000,195038000,2374801000,234449000,3006738000,10837639000,352296000,30891000,321405000,83637000,54200000,3110268000,190147000,190147000,1956385000,5066653000,7176659000,-1405824000,151000,5770986000,5770986000,10837639000,-3.29e+08,3e+07,4.39e+08,-2.944e+09,-2.804e+09,-3.4e+07,-1.43e+08,-6.74e+08,-5.23e+08,-5.23e+08,2.15e+09,-1.328e+09,-1.328e+09,-1.328e+09,8.8e+07,4440573000,0.85091,0.10545,-0.59818,-0.05701,-0.03036,2.51776,0.87795,0.40974,-1.2949,-1.2949,2.16472,22.7138,-0.03163,13.92186,21.12283
"26","2022_Q1",53.7640322580645,"Down",-9.46e+08,1.242e+09,2.96e+08,-2.5e+08,-1.79e+08,-7.1e+07,4.6e+07,-1.8e+07,-2e+07,2e+06,2.8e+07,-1.2e+07,1.6e+07,2.2e+07,-2.61e+08,-2.61e+08,-2.61e+08,2.829e+09,2.315e+09,5.14e+08,7.7e+07,7.7e+07,4.774e+09,1.4e+08,7.68e+09,2.15e+08,2.8e+09,1.76e+08,2.374e+09,1.68e+08,3.015e+09,1.0695e+10,1.61e+08,1.1e+07,1.5e+08,3.608e+09,5.1e+07,3.882e+09,1.53e+08,1.53e+08,1.472e+09,5.354e+09,7.001e+09,-1.667e+09,7e+06,5.341e+09,5.341e+09,1.0695e+10,-2.61e+08,4.2e+07,2.91e+08,-2.87e+08,-2.15e+08,-3.6e+07,5.03e+08,4.67e+08,-2.73e+08,2.9e+07,6e+07,3.12e+08,3.12e+08,3.12e+08,8.8e+07,1.432e+09,-0.3129,-0.04863,0.2759,-0.04887,-0.0244,1.97836,1.00243,0.13389,-1.02726,-1.02726,-3.72332,21.02143,-0.03768,-15.875,-30.36957
"27","2022_Q2",40.1695161290323,"Down",4.257e+09,-3.622e+09,6.35e+08,-5.4e+08,-4.26e+08,-1.14e+08,9.5e+07,-3.6e+07,-4.4e+07,8e+06,5.9e+07,-5.2e+07,7e+06,1.6e+07,1.6e+07,1.6e+07,1.6e+07,3.626e+09,2.594e+09,1.032e+09,9.9e+07,9.9e+07,5.71e+08,3.86e+08,4.79e+09,2.34e+08,2.796e+09,1.65e+08,2.374e+09,2.57e+08,3.03e+09,7.82e+09,2.45e+08,2.4e+07,2.21e+08,7.9e+07,5.6e+07,4.12e+08,1.6e+08,1.6e+08,2.606e+09,3.018e+09,6.298e+09,-1.495e+09,-1e+06,4.802e+09,4.802e+09,7.82e+09,1.6e+07,4.3e+07,1.44e+08,3.189e+09,3.392e+09,-3.8e+07,-5.25e+08,-5.63e+08,-3.12e+08,3.6e+07,-2.981e+09,-1.52e+08,-1.52e+08,-1.52e+08,1.38e+08,2.534e+09,0.14917,0.02232,0.00376,0.00333,0.00205,11.62621,0.62849,0.32404,0.06438,0.0635,17.12789,19.32068,0.00213,-7.91304,-11.49474
"28","2022_Q3",34.7209375,"Down",1.009e+09,-5.66e+08,4.43e+08,-4.24e+08,-3.05e+08,-1.19e+08,1.9e+07,3e+06,-9e+06,1.2e+07,2.2e+07,-8000000.00000001,1.4e+07,8e+06,8e+06,8e+06,8e+06,3.543e+09,2.181e+09,1.362e+09,7.4e+07,7.4e+07,203999999.999999,1.41e+08,3.844e+09,2.46e+08,2.693e+09,1.53e+08,2.374e+09,1.66e+08,2.939e+09,6.783e+09,1.69e+08,1.6e+07,1.53e+08,79999999.9999995,5.2e+07,3.04e+08,1.55e+08,1.55e+08,1.812e+09,2.116e+09,6.167e+09,-1.487e+09,-1.3e+07,4.667e+09,4.667e+09,6.783e+09,8e+06,4.4e+07,1.21e+08,6.9e+08,8.63e+08,-3.3e+07,-3.38e+08,-3.71e+08,-2.43e+08,6e+06,-9.95e+08,-5.03e+08,-5.03e+08,-5.03e+08,6.3e+07,1.712e+09,0.43905,0.01883,0.00793000000000001,0.00171,0.00118,12.64474,0.4534,0.2524,0.03279,0.03263,4.13623,19.1316,0.00122,-29.06349,-96.36842
