"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","interest_income","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","interest_dividends_payable","short_term_debt","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2016_Q3",11.74359375,"Up",112432000,-70029000,42403000,-25615000,-9838000,-11263000,-4514000,16788000,-10524000,-10587000,-10637000,50000,6264000,-2816000,3448000,-1156000,2292000,2292000,-104000,2188000,1210000,130014000,130014000,25394000,17296000,1407000,46170000,5474000,40696000,202985000,1019958000,102638000,2.3e+07,72637000,1132340000,1335325000,63248000,58286000,4962000,776025000,839288000,69910000,69910000,69910000,909198000,408340000,-104971000,369366000,56761000,426127000,1335325000,2292000,11263000,209000,7336000,21100000,-3590000,-3590000,-3590000,39226000,-4177000,-2109000,4436000,-26555000,33771000,33771000,33771000,28051000,776025000,32953000,0.37714,0.14932,0.01076,0.00284,0.00091,27.23388,0.24185,2.13363,0.58115,0.04294,0.04263,3.99006,10.76617,1.16946,0.14824,0.00423,0.02591,3.45207,23.02987,38.48052
"12","2016_Q4",10.5801587301587,"Down",99651000,-64939000,34712000,-18948000,-2653000,-11175000,-5120000,15764000,-9823000,-9745000,-9795000,50000,5941000,14877000,20818000,504000,21322000,21322000,-4464000,16858000,15864000,128625000,128625000,25625000,17527000,1401000,45732000,4495000,41237000,201383000,1018889000,34570000,22920000,8638000,1062745000,1264128000,55999000,51123000,4876000,766030000,822029000,9832000,9832000,9832000,831861000,399773000,-90662000,375071000,57196000,432267000,1264128000,21322000,11175000,-17998000,-825000,13674000,73064000,-9668000,-9668000,73064000,-4702000,-67031000,-2799000,-89051000,-2313000.00000001,-2313000.00000001,-2313000.00000001,26939000,766030000,98674000,0.34834,0.15819,0.1592,0.0367,0.01255,6.21999,0.24498,1.92441,0.60598,0.61497,0.40055,3.86298,11.98271,3.82511,0.18227,0.01702,0.08168,0.29639,23.66105,40.43422
"13","2017_Q1",9.99935483870968,"Down",93977000,-62204000,31773000,-15289000,2128000,-11555000,-5862000,16484000,-9857000,-9780000,-9815000,35000,6627000,-5230000,1397000,-552000,845000,845000,-441000,404000,-590000,126790000,126790000,26292000,18194000,1479000,42544000,3669000,38875000,197105000,1014532000,36953000,22846000,12958000,1059892000,1256997000,49829000,44791000,5038000,764616000,814445000,13615000,13615000,13615000,828060000,402050000,-93254000,374756000,54181000,428937000,1256997000,845000,11555000,4227000,-4937000,11690000,-6808000,-6808000,-6808000,-6117000,-4595000,-1985000,-4067000,-10651000,-5078000,-5078000,-5078000,28039000,764616000,16846000,0.33809,0.1754,-0.00628,-0.00138,-0.00047,-28.55254,0.24201,1.93049,0.60829,-0.02355,-0.02006,3.75052,12.3237,0.6723,0.18338,0.00332,0.01395,-7.78814,22.74782,38.69364
"14","2017_Q2",8.33761904761905,"Down",97296000,-63934000,33362000,-20919000,-3874000,-11971000,-5074000,12443000,-8247000,-8090000,-8202000,112000,4196000,-4963000,-766999.999999998,478000,-289000.000000002,-289000.000000002,276000,-13000,-1686000,161314000,161314000,33010000,24912000,1790000,43174000,6471000,36703000,239288000,1157260000,42776000,22760000,19602000,1211534000,1450822000,60964000,52939000,8025000,856161000,917131000,9563000,9563000,9563000,926694000,467852000,-91246000,480927000,43201000,524128000,1450822000,-289000.000000002,11971000,-607000,-6521000,4554000,-163301000,-163301000,-163301000,-161012000,-4625000,97726000,29161000,188906000,32448000,32448000,32448000,24414000,856161000,-145886000,0.34289,0.12789,-0.01733,-0.00322,-0.00116,86.52788,0.26091,1.76807,0.59012,-0.0612200000000001,-0.0612199999999999,3.53294,13.67504,-5.2973,0.16794,0.00211,-0.10497,-2.74318,28.46101,55.8424
"15","2017_Q3",8.14015873015873,"Down",116092000,-73106000,42986000,-20370000,-1531000,-13469000,-5370000,22616000,-9879000,-9766000,-9931000,165000,12737000,-11872000,865000,-479000,386000,386000,-1271000,-885000,-2592000,129675000,129675000,26705000,18607000,1780000,41392000,5764000,35628000,199552000,1252479000,36992000,22684000,14090000,1299406000,1498958000,62960000,54604000,8356000,907002000,969963000,11589000,11589000,11589000,981552000,468185000,-99060000,475254000,42152000,517406000,1498958000,386000,13469000,3859000,8336000,26050000,-102105000,-102105000,-102105000,-102105000,-7433000,50316000,859000,43430000,-32625000,-32625000,-32625000,36085000,907002000,-57205000,0.37028,0.19481,-0.02233,-0.00501,-0.00173,22.06983,0.20573,1.89706,0.60509,-0.08149,-0.08149,3.64978,11.60481,-1.79845,0.23368,0.00337,-0.03984,-2.86767,21.54155,34.37067
"16","2017_Q4",8.05603174603175,"Down",108119000,-74535000,33584000,-20932000,-1602000,-14133000,-5197000,12652000,-10434000,-10412000,-10610000,198000,2218000,-2102000,116000,-333000,-217000,-217000,-783000,-1e+06,-2707000,126771000,126771000,28591000,20493000,1739000,55884000,4493000,51391000,212985000,1231135000,36034000,22615000,12661000,1278979000,1491964000,68511000,59912000,8599000,906820000,975331000,9172000,9172000,9172000,984503000,467779000,-106941000,466961000,40500000,507461000,1491964000,-217000,14133000,-495999.999999998,2600000,16020000,-11031000,-11031000,-11031000,-11031000,-7521000,-927000,-2544000,-11077000,-6087999.99999999,-6087999.99999999,-6087999.99999999,26785000,906820000,18687000,0.31062,0.11702,-0.02504,-0.00533,-0.00181,-6.90321,0.21837,1.94006,0.6078,-0.08507,-0.08507,3.39761,11.33924,0.58723,0.23635,0.00338,0.01313,-2.77835,29.12261,61.6542
"17","2018_Q1",8.00459016393443,"Down",92556000,-60021000,32535000,-19524000,-1139000,-12689000,-5696000,13011000,-10064000,-9979000,-10194000,215000,2947000,24641000,27588000,856000,28444000,28444000,-3524000,24920000,23212000,137522000,137522000,22432000,14334000,1425000,60315000,3670000,56645000,221694000,1145842000,38159000,22545000,15020000,1202125000,1423819000,64949000,56803000,8146000,820959000,885908000,8609000,8609000,8609000,894517000,470112000,-88807000,487428000,41874000,529302000,1423819000,28444000,12689000,-26386000,9237000,23984000,88288000,-14806000,-14806000,100206000,-7522000,-87843000,-41826000,-97228000,26962000,26962000,26962000,25700000,820959000,122369000,0.35152,0.14057,0.25079,0.04385,0.0163,5.2718,0.25024,1.68999,0.57659,0.75554,0.48709,3.01266,12.41133,3.98306,0.24484,0.02262,0.09005,0.32406,26.59288,52.52763
"18","2018_Q2",9.12890625,"Up",102489000,-63819000,38670000,-18638000,-28000,-13006000,-5604000,20032000,-10045000,-9979000,-10179000,2e+05,9987000,-5144999.99999999,4842000,-572000,4270000,4270000,-250000,4020000,2313000,95223000,95223000,27790000,19692000,1429000,84097000,5943000,78154000,208539000,1148303000,47498000,22476000,22021000,1214453000,1422992000,65842000,57468000,8374000,821053000,886895000,7734000,7734000,7734000,894629000,472545000,-91769000,486899000,41464000,528363000,1422992000,4270000,13006000,2827000,-16154000,3949000,-20236000,-20236000,-20236000,-22236000,-7518000,-714000,-141000,-8447000,-26734000,-26734000,-26734000,33038000,821053000,-2779999.99999999,0.37731,0.19546,0.02257,0.00438,0.00163,-1.2019,0.23513,1.69321,0.57699,0.0722899999999999,0.073,3.2031,11.90044,-0.0868799999999998,0.23496,0.00724,-0.00205000000000001,3.25032,21.96955,36.23353
"19","2018_Q3",9.93222222222222,"Up",121118000,-72208000,48910000,-22094000,-1206000,-14811000,-6077000,26816000,-12573000,-12448000,-12678000,230000,14243000,-187000,14056000,-1202000,12854000,12854000,-1324000,11530000,9822000,169235000,169235000,22338000,22338000,1898000,87898000,4325000,83573000,281369000,1278083000,44846000,27994000,13910000,1335557000,1616926000,72548000,63976000,8572000,985205000,1057753000,24984000,24984000,24984000,1082737000,473270000,-87777000,491616000,42573000,534189000,1616926000,12854000,14811000,-2349000,9396000,34712000,-124726000,-190062000,-190062000,-100063000,-7604000,176402000,-9595000,159074000,93723000,93723000,93723000,41627000,985205000,-72501000,0.40382,0.2214,0.08109,0.01839,0.00607,-7.38149,0.26601,2.02688,0.60931,0.3038,0.30073,3.74629,11.92366,-2.24252,0.2352,0.01128,-0.04695,0.77418,19.60194,30.42848
"20","2018_Q4",8.93111111111111,"Down",108846000,-68816000,40030000,-23074000,-1765000,-14474000,-6835000,16956000,-12689000,-12544000,-13084000,540000,4267000,-4153000,114000,-740000,-626000,-626000,-1243000,-1869000,-3576000,163825000,163825000,23715000,23715000,1836000,81326000,5966000,75360000,270702000,1283392000,40963000,27836000,10446000,1339141000,1609843000,76281000,67441000,8840000,985716000,1062005000,22524000,22524000,22524000,1084529000,474368000,-99238000,481253000,44061000,525314000,1609843000,-626000,14474000,1212000,-836000.000000004,14224000,-19186000,-19186000,-19186000,-19186000,-7539000,-492000.00000003,-538999.999999996,-8570999.99999994,-13533000,-13533000,-13533000,31430000,985716000,12148000,0.36777,0.15578,-0.03285,-0.00681,-0.00222,-3.39709,0.2549,2.06453,0.61231,-0.11393,-0.1138,3.46775,11.95134,0.38703,0.24019,0.00258,0.00792000000000001,-2.10822,26.14989,48.47199
"21","2019_Q1",10.2247540983607,"Up",98945000,-67789000,31156000,-23841000,-1238000,-15092000,-7511000,7315000,-13231000,-13080000,-13712000,632000,-5916000,-8079000,-13995000,82000,-13913000,-13913000,1552000,-12361000,-14444000,182578000,182578000,12739000,12739000,1862000,80319000,4409000,75910000,277498000,1299901000,48974000,27678000,18758000,1358989000,1636487000,72630000,64116000,8514000,985873000,1058727000,34667000,34667000,34667000,1093394000,512870000,-115410000,503599000,39494000,543093000,1636487000,-13913000,15092000,9848000,6821000,17848000,-33040000,-33040000,-33040000,-25339000,-7667000,-747000,-2240000,27181000,19690000,19690000,19690000,22407000,985873000,-3894000,0.31488,0.07393,-0.14598,-0.0266,-0.00883,0.26959,0.26211,2.01327,0.60243,-0.45052,-0.45123,3.08615,12.39699,-0.12146,0.23914,-0.00433,-0.00249,-0.53081,35.85018,109.81476
"22","2019_Q2",10.9633333333333,"Up",128513000,-82503000,46010000,-25272000,-1126000,-16686000,-7460000,20738000,-13998000,-13831000,-14193000,362000,6740000,-7135000,-395000,-927000,-1322000,-1322000,341000,-981000,-3513000,73802000,73802000,23314000,23314000,2358000,93584000,7275000,86309000,193058000,1442476000,115364000,5303000,107374000,1568661000,1761719000,85951000,76777000,9174000,1046749000,1132700000,94670000,94670000,94670000,1227370000,515067000,-132575000,488631000,45718000,534349000,1761719000,-1322000,16686000,2779000,-18759000,-616000.000000004,-148739000,-148739000,-148739000,-148895000,-7979000,61914000,-2599000,51134000,-98377000,-98377000,-98377000,37424000,1046749000,-129147000,0.35802,0.16137,-0.02734,-0.00657,-0.00199,36.7626,0.17044,2.29694,0.59416,-0.10939,-0.10939,4.00165,11.91007,-4.02139,0.24845,0.00267,-0.07707,-2.27128,25.99794,46.91614
"23","2019_Q3",8.515,"Down",118516000,-76728000,41788000,-24612000,-932000,-18474000,-5206000,17176000,-13958000,-13768000,-14055000,287000,3218000,-8430000,-5212000,-411000,-5623000,-5623000,1113000,-4510000,-7042000,80360000,80360000,19266000,19266000,2321000,78310000,8246000,70064000,180257000,1460415000,113572000,5208000,105632000,1580182000,1760439000,94876000,85542000,9334000,1047681000,1142557000,95954000,95954000,95954000,1238511000,517029000,-137775000,485393000,36535000,521928000,1760439000,-5623000,18474000,8251000,11993000,33095000,-34299000,-35719000,-35719000,-34299000,-8477000,0,-6000,-8483000,-9687000,-9687000,-9687000,35650000,1047681000,13755000,0.35259,0.14493,-0.05942,-0.01349,-0.004,-1.95328,0.15777,2.37295,0.59512,-0.21794,-0.21794,3.66798,11.73761,0.42571,0.26236,0.00086,0.00826,-1.20378,27.13383,56.31818
"24","2019_Q4",8.99859375,"Up",118884000,-79147000,39737000,-26096000,-1575000,-16831000,-7690000,13641000,-13559000,-13397000,-13646000,249000,81999.9999999991,-8881000,-8799000,-155000,-8954000,-8954000,-434000,-9388000,-11921000,82583000,82583000,19657000,19657000,2350000,63743000,6376000,57367000,168333000,1471603000,121905000,5114000,114069000,1598232000,1766565000,107447000,97945000,9502000,1057467000,1164914000,97614000,97614000,97614000,1262528000,518633000,-155024000,469748000,34289000,504037000,1766565000,-8954000,16831000,6761000,1849000,16487000,-26595000,-35475000,-35475000,-26771000,-8475000,10500000,-2033000,-190000.000000007,-10474000,-10474000,-10474000,30472000,1057467000,5881000,0.33425,0.11474,-0.10027,-0.02365,-0.00675,-0.493330000000001,0.1445,2.50483,0.5986,-0.36849,-0.36849,3.67482,11.2395,0.18179,0.26197,-0.00208,0.00354,-0.71093,31.99278,71.46719
"25","2020_Q1",6.50338709677419,"Down",121701000,-85234000,36467000,-27552000,-1802000,-18121000,-7629000,8915000,-26051000,-12424000,-12613000,189000,-17136000,34502000,17366000,-271000,17095000,17095000,-1845000,15250000,12705000,71995000,71995000,19053000,19053000,2794000,63380000,4992000,58388000,157222000,1481422000,120303000,5019000,112803000,1601725000,1758947000,104062000,94919000,9143000,1058486000,1162548000,84655000,84655000,84655000,1247203000,519880000,-150629000,476187000,35557000,511744000,1758947000,17095000,18772000,-22076000,3505000,17296000,-28077000,-28077000,-28077000,-16460000,-8478000,0,-2570000,-10403000,-9567000,-9567000,-9567000,27687000,1058486000,3386000,0.29964,0.07325,0.1044,0.02483,0.00722,0.26651,0.13524,2.43716,0.60177,0.39238,0.39238,3.75864,11.40403,0.10457,0.26184,0.0128,0.00205,0.6673,35.63012,110.65519
"26","2020_Q2",2.84936507936508,"Down",117520000,-87748000,29772000,-27930000,-1932000,-18338000,-7660000,1842000,-11946000,-11768000,-11897000,129000,-10104000,-3913000.00000001,-14017000,-1370000,-15387000,-15387000,2457000,-12930000,-15485000,141793000,141793000,13834000,13834000,2718000,52021000,6603000,45418000,210366000,1469182000,122967000,4924000,115508000,1592149000,1802515000,90648000,87440000,3208000,1134488000,1225136000,83881000,83881000,83881000,1309017000,524676000,-166108000,465936000,27562000,493498000,1802515000,-15387000,18338000,3947000,-7763000,-864999.999999996,-7509000,-7509000,-7509000,-6587000,-8490000,7.5e+07,-2676000,64280000,56828000,56828000,56828000,20180000,1134488000,6278000,0.25334,0.01567,-0.13176,-0.03138,-0.00859,-0.40542,0.17171,2.65253,0.62939,-0.47684,-0.47684,3.6189,11.04169,0.19332,0.26144,-0.00409,0.00367,-0.54827,49.19202,538.92237
"27","2020_Q3",2.4878125,"Down",12895000,-20539000,-7644000,-27310000,-1513000,-18553000,-7244000,-34954000,-17491000,-17387000,-17411000,24000,-52445000,-8107000,-60552000,4447000,-56105000,-56105000,8174000,-47931000,-50486000,102568000,102568000,7747000,7747000,2611000,46802000,5338000,41464000,159728000,1448180000,114069000,4830000,106638000,1562249000,1721977000,73029000,69821000,3208000,1123313000,1196342000,84085000,84085000,84085000,1280427000,526181000,-212431000,421118000,20432000,441550000,1721977000,-56105000,18553000,4388000,10743000,-22421000,-4785000,-4785000,-4785000,-3205000,-2555000,-1e+07,-4996000,-17553000,-43179000,-43179000,-43179000,-16401000,1123313000,-14890000,-0.59279,-2.71066,-3.91516,-0.11434,-0.02932,0.29493,0.13351,2.89985,0.65234,-1.53444,-1.53444,0.39192,9.53589,-0.45256,0.07765,-0.02907,-0.00903,-0.0506099999999998,-62.23675,-29.20252
