"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","selling_marketing","general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","income_taxes_receivable","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2013_Q2",7.53828125,"Up",29985022,-23505094,6479928,-5949517,-4545718,-2847086,-1698632,-1133830,-269969,530411,-99362,-99362,431049,-234638,196411,-119832,76579,76579,76579,76579,4286319,4286319,4961583,4961583,52541885,51627632,830631,62098591,1675546,53312260,16146218,18873127,12322678,54987806,117086397,5622638,2599091,464261,2559286,61910825,60811631,75633463,21436198,16203387,21436198,97069661,37591681,-17433264,20016736,20016736,117086397,76579,442951,453915,-556993,416452,-446705,-446705,4400000,-6499107,-2099107,-2129360,-2129360,-2129360,973362,8100000,89496,0.21611,0.01769,0.00255,0.00383,0.00065,1.16868,0.82105,4.84943,0.06918,0.00759,0.00691,2.97386,1.98522,0.00888,0.00155,0.00181,3.91805,7.19005
"12","2013_Q3",8.333125,"Up",31173357,-24464580,6708777,-5667372,-4645283,-2946586,-1698697,-748137,-273952,1041405,-93428,-93428,947977,-146639,801338,-213708,587630,587630,587630,587630,6465126,6465126,5627555,5627555,52042620,51414144,628476,64322725,1784875,52992770,15870402,18873127,12242246,54777645,119100370,6263070,2444529,259317,3559224,63268348,61671972,77031418,21354587,16176287,21354587,98386005,37962621,-16845634,20714365,20714365,119100370,587630,461218,345097,1577143,2971088,-471966,-471966,-6e+05,279685,-320315,2178807,2178807,2178807,1502623,7500000,2821508,0.21521,0.03341,0.01885,0.02837,0.00493,4.8015,0.83502,4.74965,0.06297,0.05829,0.05308,3.09234,2.05483,0.27989,0.01185,0.05692,0.688709999999999,0.99373
"13","2013_Q4",11.23375,"Up",35637085,-25637664,9999421,-6355416,-4868087,-2998419,-1869668,-1215327,-272002,3644005,-78966,-78966,3565039,28068,3593107,-999747,2593360,2593360,2593360,2593360,11549948,11549948,4869466,4869466,51284918,50043085,311470,68042442,1833258,52160828,15630479,18873127,12031926,53994086,122036528,7239095,2631198,923280,3684617,60572087,60261222,74711182,21168426,16010426,21168426,95879608,40317482,-14252274,26156920,26156920,122036528,2593360,448255,-1180560,1803134,3664189,-171442,-171442,-6e+05,1136061,1592075,5084822,5084822,5084822,4092260,6900000,6723699,0.28059,0.10225,0.07277,0.09915,0.02125,2.59266,0.91074,3.66555,0.05654,0.24022,0.22729,3.30098,2.42286,0.6228,0.04783,0.124,-1.13628,-1.27605
"14","2014_Q1",13.2227868852459,"Up",33139440,-24900685,8238755,-6942807,-5605854,-3348945,-2256909,-1061309,-275644,1295948,-83101,-83101,1212847,-3900,1208947,-286052,922895,922895,922895,922895,12418888,12418888,5305403,5305403,50076045,48518630,475889,68110022,1757836,51484971,15403228,18873127,11838579,53242807,121352829,7772330,2361481,1024004,4386845,59371763,58880665,73444093,20991518,15850018,20991518,94435611,40491578,-13329379,26917218,26917218,121352829,922895,450906,45458.0000000005,233119,1652378,-255514,-255514,-6e+05,37919,-527924,868940,868940,868940,1746854,6300000,2010511,0.24861,0.03911,0.02785,0.03429,0.00761,2.17848,0.92737,3.50837,0.05191,0.08457,0.07978,3.03657,2.46643,0.18422,0.01702,0.03709,-3.5028,-4.72155
"15","2014_Q2",13.8263492063492,"Up",34402394,-25643257,8759137,-7154806,-5789574,-4021774,-1767800,-1089898,-275334,1604331,-73833,-73833,1530498,-802059,728439,-251600,476839,476839,476839,476839,13537252,13537252,6568324,6568324,53365484,50507189,1210117,73980493,1873124,51079910,14931888,18873127,12032539,52953034,126933527,8645461,4317717,311131,4016613,62167313,61261362,76496107,21315258,16190258,21315258,97811365,42435150,-12852540,29122162,29122162,126933527,476839,458308,-913386,-60580,-38819,-68745,-68745,-616667,828795,1225928,1118364,1118364,1118364,2062639,5683333,2184914,0.25461,0.04663,0.01386,0.01637,0.00376,4.58208,0.96711,3.35866,0.04477,0.04324,0.04097,3.11939,2.64061,0.19811,0.0085,0.03893,-3.8077,-4.89545
"16","2014_Q3",15.18109375,"Up",35588001,-26054664,9533337,-7027860,-5648760,-3762441,-1886319,-1107532,-271568,2505477,-69348,-69348,2436129,-423002,2013127,-665945,1347182,1347182,1347182,1347182,14164518,14164518,6919130,6919130,53196903,51314803,631632,74761691,1693720,51157794,14379154,18873127,12090838,52851514,127613205,7628671,3185060,194303,4249308,62156459,62097382,75143463,21353982,16245482,21353982,96497445,42651289,-11505358,31115760,31115760,127613205,1347182,445531,415422,-1073370,1134765,-313281,-313281,-325000,130782,-194218,627266,627266,627266,2951008,5358333,2230302,0.26788,0.0704,0.03785,0.0433,0.01056,1.65553,0.99492,3.10124,0.04199,0.12008,0.11485,3.17209,2.77346,0.1988,0.0233,0.03857,-2.98413,-3.51477
"17","2014_Q4",16.59203125,"Up",38874183,-27297409,11576774,-8106402,-6899351,-3593486,-3305865,-1041136,-165915,3470372,-63498,-63498,3406874,428012,3834886,-1143981,2690905,2690905,2690905,2690905,13589246,13589246,6914690,6914690,52708692,50307334,526534,73603654,1742305,50615481,14261216,18873127,11911238,52357786,125961440,9196061,3574165,179007,5442889,62014363,61252310,71210424,21107563,16015563,21107563,92317987,42867895,-8814453,33643453,33643453,125961440,2690905,337934,487689,1497433,5013961,-216794,-216794,-5358333,-755618,-5372439,-575272,-575272,-575272,3808306,0,6232926,0.2978,0.08927,0.06922,0.07998,0.02136,2.31629,1.03361,2.74401,0,0.23769,0.22828,3.43376,2.97173,0.55055,0.04915,0.11384,-3.56832,-3.91579
"18","2015_Q1",18.703606557377,"Up",37644132,-28119977,9524155,-6534375,-5356991,-2857967,-2499024,-1067149,-110235,2989780,-51,-51,2989729,-137856,2851873,-992703,1859170,1859170,1859170,1859170,8271377,8271377,6789685,6789685,59010343,48312150,997,74465179,1609787,49720900,14202585,18873127,11764765,51330687,125795866,8461150,3579920,473480,4407750,59957293,59957293,68418443,21735030,15831874,21735030,90153473,43220117,-6955283,35642393,35642393,125795866,1859170,280949,2028823,487229,4656171,-112836,-8311836,-9.31322574615479e-10,93107.9999999991,-1662204,-5317869,-5317869,-5317869,3270729,0,4637825,0.25301,0.07942,0.04939,0.05216,0.01478,2.49457,1.08838,2.52939,3.46944695195361e-18,0.16432,0.15803,3.32702,3.15011,0.4099,0.0324,0.08083,-2.52891,-2.76655
"19","2015_Q2",22.6530158730159,"Up",40467833,-28247036,12220797,-7493869,-6267197,-3799175,-2468022,-1114195,-112477,4726928,-24775,-24775,4702153,-316517,4385636,-1551693,2833943,2833943,2833943,2833943,13678191,13678191,7119785,7119785,54235102,51192847,1772,75607197,5346070,52743992,14886625,21055143,11735134,58090062,133697259,9643935,3883370,1136023,4624542,64100086,61955501,77244021,22448166,17415989,22448166,99692187,36293645,-4121340,31005072,34005072,133697259,2833943,316043,548562,-348149,3350399,-191762,6020577,3500000,-7464162,-3964162,5406814,5406814,5406814,5042971,3500000,6054753,0.30199,0.11681,0.07003,0.08334,0.0212,2.13651,0.97881,2.93169,0.02618,0.25433,0.24473,3.6318,2.78256,0.54339,0.04727,0.10099,-2.01829,-2.15324
"20","2015_Q3",26.04140625,"Up",42889220,-30036971,12852249,-8906724,-7598429,-4847963,-2750466,-1189276,-119019,3945525,-57402,-57402,3888123,-63032,3825091,-1540096,2284995,2284995,2284995,2284995,15300762,15300762,8208238,8208238,56144624,52600459,227759,80273037,6156918,52867235,14768934,21005143,11676068,59024153,139297190,11038924,3777159,1483258,5778507,64957941,63548191,79496865,22565748,17400626,22565748,102062613,36904246,-1848495,34222427,37234577,139297190,2284995,410480,-36504.0000000001,252684,2911655,-1149020,-1099020,4.65661287307739e-10,-190064,-190064.000000001,1622571,1622571,1622571,4356005,3500000,4999765,0.29966,0.09199,0.05328,0.06137,0.0164,2.18809,1.00976,2.74107,0.02513,0.20684,0.19945,3.88238,3.09786,0.45258,0.0361,0.07898,-2.70908,-2.99092
"21","2015_Q4",24.43375,"Down",43628068,-30452403,13175665,-7731562,-6509194,-3901277,-2607917,-1101581,-120787,5444103,-78959,-78959,5365144,-371287,4993857,-1834400,3159457,3159457,3159457,3159457,11898360,11898360,7946089,7946089,55521781,51738468,15611,76108690,6472226,52223913,14678989,21005143,11387867,58696139,134804829,12555877,3965083,2423520,6167274,65813298,63792525,81869175,22248541,17097993,22248541,104117716,27557331,1298763,27662764,30687113,134804829,3159457,456485,515419,2964160,7095521,-710342,-710342,0,-9787581,-9787581,-3402402,-3402402,-3402402,5900588,3500000,9988806,0.302,0.12478,0.07242,0.10296,0.02344,3.16156,0.92964,3.39288,0.02596,0.28762,0.27781,3.97165,2.51826,0.90932,0.05598,0.17699,-1.42331,-1.54265
"22","2016_Q1",20.9413114754098,"Down",44701658,-30892560,13809098,-8910528,-7681505,-4845961,-2835544,-1097793,-131230,4898570,87983,2111,4986553,-248180,4738373,-1643038,3095335,3095335,3095335,3095335,7723253,7723253,7171388,7171388,52068746,49775831,2292915,67867162,7126676,54136841,14469677,21005143,11040929,61263517,129130679,10931174,4166135,444053,6320986,63829848,61783299,78261022,21503634,16626943,21503634,99764656,23057028,4381849,26329425,29366023,129130679,3095335,484014,3372461,-3532357,3419453,-916236,-916236,0,-5371343,-6678324,-4175107,-4175107,-4175107,5382584,3500000,2577029,0.30892,0.10958,0.06924,0.10541,0.02397,0.83255,0.86719,3.39728,0.0271,0.2893,0.2806,4.17797,2.46084,0.24086,0.05693,0.0474,-0.78461,-0.86214
"23","2016_Q2",23.75078125,"Up",44746089,-30397933,14348156,-8176608,-6869983,-4465056,-2404927,-1176360,-130265,6171548,82648,-46172,6254196,89772,6343968,-1905730,4438238,4438238,4438238,4438238,10010849,10010849,8061898,8061898,58288273,50602164,1529003,77503882,7357131,53490256,14371943,21005143,11265440,60847387,138351269,11298471,4510071,906595,5881805,63306350,62766227,83886071,21713235,16853044,21713235,105599306,21121210,8807789,29703067,32751963,138351269,4438238,488550,204005,483841,5614634,-6910882,-6910882,5781250,-2160721,3583844,2287596,2287596,2287596,6660098,9281250,2138787,0.32066,0.13792,0.09919,0.13551,0.03208,0.4819,0.92392,3.22421,0.06708,0.4158,0.40862,4.19205,2.78274,0.20037,0.06962,0.03355,-0.10955,-0.11822
"24","2016_Q3",28.1065625,"Up",47203914,-31559388,15644526,-9509217,-8156726,-5230118,-2926608,-998651,-353840,6135309,8293,-120527,6143602,4817,6148419,-2077633,4070786,4070786,4070786,4070786,5879482,5879482,9982919,9982919,56312133,54778661,1326355,73459226,7939984,58959495,20317568,21005143,11296936,66899479,140358705,9493333,3312273,667773,5513287,67824480,67509456,86380313,21639774,16796621,21639774,108020087,16530448,12866227,29277374,32338618,140358705,4070786,716292,868657,-3097639,2558096,660312.000000002,-1171425,-352250,-4962769,-5518038,-4131367,-4131367,-4131367,6851601,9062500,6491907,0.33142,0.12997,0.08624,0.12588,0.029,1.59476,0.85042,3.34028,0.06457,0.38616,0.37925,4.47784,2.7773,0.61583,0.06457,0.10298,0.46457,0.5188
"25","2016_Q4",32.3719047619048,"Up",49064326,-32426453,16637873,-9373582,-7645662,-5479445,-2166217,-1270107,-457813,7264291,-5022,-135169,7259269,-25341,7233928,-2492649,4741279,4741279,4741279,4741279,10498296,10498296,11606638,11606638,57486259,55742951,1743308,81093626,9617147,57637168,20091795,21005143,11184655,67254315,148347941,10431424,4036804,1447970,4946650,68454732,68348109,80819266,21392036,16564844,29939844,110759110,16966291,17595108,34515189,37588831,148347941,4741279,749980,1271510,-1493646,5269123,-3997505,-2165768,1543620,50905,1515459,4618814,4618814,4618814,8014271,10480918,5015769,0.3391,0.14806,0.09663,0.12614,0.03196,1.05789,1.00339,2.9466,0.07065,0.45446,0.44649,4.70291,3.30835,0.48077,0.06826,0.07221,-0.00217,-0.00239
"26","2017_Q1",45.8540322580645,"Up",48804603,-32381524,16423079,-11003978,-9487174,-5580133,-3907041,-1049701,-467103,5419101,-19548,-147970,5399553,-12944,5386609,-2569758,2816851,2816851,2816851,2816851,15105075,15105075,10925622,10925622,56040631,55647292,220451,83282117,13450438,57680817,19973793,21005143,10993156,71131255,154413372,13961698,4786645,1548121,7626932,68234555,68213701,84429363,21065135,16237943,29080833,113510196,17318421,20399511,37817086,40903176,154413372,2816851,822035,-201148,5629217,9066955,-4199401,-4199401,-254978.000000004,38718.0000000005,-260775,4606779,4606779,4606779,6241136,10248808,10240710,0.33651,0.11104,0.05772,0.06887,0.01824,3.63552,0.98641,2.77509,0.06637,0.26953,0.26474,4.66987,3.61853,0.97988,0.03901,0.1418,-0.778109999999999,-0.89614
"27","2017_Q2",57.7214285714286,"Up",69568062,-52624417,16943645,-13917932,-10676665,-7219322,-3457343,-1694141,-1547126,3025713,-739096,-867993,2286617,34425,2321042,125449,2446491,2446491,2446491,2446491,15032821,15032821,13354774,13354774,131392332,128161275,2874532,160819720,18403439,172492933,62503033,85526787,24463113,190896372,351716092,18835527,7246007,777971,10811549,148536952,148516098,185662332,52798422,32631882,124973029,310635361,16943876,22833503,39982142,41080731,351716092,2446491,2517635,462306,-3024515,2401917,-3692893,-81930353,80148547,19869,79456182,-72254,-72254,-72254,5543348,90464460,-1299509,0.24355,0.04349,0.03517,0.05955,0.00696,-0.53117,0.86619,7.56158,0.25721,0.23356,0.22702,6.64157,3.81704,-0.12406,0.01327,-0.00705,13.6076,24.9302
"28","2017_Q3",54.2968253968254,"Down",84222938,-62876583,21346355,-14303068,-10732335,-7447678,-3284657,-1797859,-1772874,7043287,-744904,-970007,6298383,24575,6322958,-1083449,5239509,5239509,5239509,5239509,15145979,15145979,14260465,14260465,127199578,124441566,2184634,158912456,20405942,171938546,60432167,87486243,24020136,192344488,351256944,16444262,6635890,860452,8947920,150390959,150370068,185125074,52225613,32575021,119895386,305020460,16732802,28062438,45125346,46236484,351256944,5239509,2943365,-3946306,3895515,8132083,-2909107,-2909646.99999999,-4584547.00000001,85131,-5109182,113254,113254,113254,9986652,85959626,12056509,0.25345,0.08363,0.06221,0.11332,0.01492,2.30108,0.85841,6.59696,0.24472,0.49766,0.48545,7.99973,4.28613,1.14516,0.02841,0.06537,7.09083,10.05406
"29","2017_Q4",60.7460317460317,"Up",85009000,-64514000,20495000,-14577000,-10766000,-7384000,-3382000,-1910000,-1901000,5918000,-707000,-865000,5211000,54000,5265000,-1823000,3442000,3442000,3442000,3442000,12547059,12547059,13726565,13726565,122725137,121385289,780185,151947933,22232870,171839506,60562113,87486243,23791150,194072376,346020309,17069674,5946691,1239754,9883229,147296389,147275442,182655916,50405473,32206929,113542702,296198618,16886814,31489104,48697953,49821691,346020309,3442000,3223000,-1477000,2092000,7280000,-5243000,-5242000,-4589000,68000,-4637000,-2599000,-2599000,-2599000,9141000,81427082,7813000,0.24109,0.06962,0.04049,0.06909,0.00995,2.2699,0.83188,5.94517,0.23532,0.32581,0.31914,8.04681,4.60967,0.73957,0.01895,0.04301,7.53528,11.63907
"30","2018_Q1",56.2519672131148,"Down",90620741,-64885112,25735629,-14628337,-10841885,-7371984,-3469901,-1855720,-1930732,11107292,-815500,-864156,10291792,-126024,10165768,1032826,11198594,11198594,11198594,11198594,18049000,18049000,12376000,12376000,120492000,117488000,3004000,153861000,24620000,172169000,58414000,90054000,23701000,196789000,350650000,15839000,7026000,1226000,7587000,144431000,144410000,178560000,52109000,32275000,110743000,289303000,17535000,42676000,60211000,61347000,350650000,11198594,3443758,484342,-1044054,14082640,-4032236,-4032696,-4572791,48587,-4547855,5502089,5502089,5502089,14551050,76924000,8441934,0.28399,0.12257,0.12358,0.18255,0.03194,0.75384,0.86168,4.71585,0.21938,1.05824,1.03503,8.56347,5.68981,0.79774,0.05882,0.04434,4.0461,5.30057
"31","2018_Q2",62.15234375,"Up",95795691,-73176482,22619209,-16923690,-12896199,-8364787,-4531412,-2094689,-1932802,5695519,-772002,-895962,4923517,3093,4926610,-1182918,3743692,3743692,3743692,3743692,16587886,16587886,12685140,12685140,112376524,109729946,2625063,144547933,28688762,168124256,56047310,90053483,22018875,196813018,341360951,18725905,9343179,984707,8398019,135205255,135184207,172221013,49603310,29486925,103730430,275951443,17973244,47418839,65409508,65409508,341360951,3743692,3562977,387714,1878400,9572783,-5118226,-6318226,-4575968,7201,-4715835,-1461278,-1461278,-1461278,9258496,72416973,7201588,0.23612,0.05945,0.03908,0.05723,0.01097,1.92366,0.83932,4.21883,0.21214,0.35355,0.34688,9.04696,6.17728,0.68012,0.01997,0.03842,6.03004,9.80228
