"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","selling_marketing","general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","net_income_2","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",15.9432258064516,"Up",92870000,-68534000,24336000,-20602000,-14463000,-9180000,-5283000,-2410000,-3729000,3734000,-5196000,-5196000,-1462000,-1462000,-936000,-2398000,-2398000,-2398000,-2398000,150417000,96407000,35243000,35243000,5788000,4514000,1274000,191448000,6587000,392690000,137959000,230980000,4382000,399277000,590725000,49326000,36954000,12372000,62510000,50354000,2205000,121958000,184468000,1386745000,-980196000,406257000,406257000,590725000,-2398000,-2398000,6171000,4803000,-975000,7601000,-2282000,-2282000,-2282000,-51002000,-504000,2728000,2728000,1748000,3972000,-39429000,-39429000,-39429000,9905000,73837000,7584000,0.26204,0.04021,-0.02582,-0.0059,-0.00406,-3.16264,3.06268,0.45407,0.12499,-0.05919,-0.05703,2.29218,10.02708,0.18719,-0.00452,0.0143,-7.73145,-20.50884
"12","2013_Q1",15.511,"Down",97470000,-73637000,23833000,-20064000,-13865000,-8152000,-5713000,-2538000,-3661000,3769000,1004000,1004000,4773000,4773000,-953000,3820000,3820000,3820000,3820000,162288000,68278000,34932000,34932000,14853000,10911000,3942000,212073000,7533000,365687000,132815000,230290000,2582000,373220000,585293000,50967000,37687000,13280000,67688000,32877000,2225000,102155000,169843000,1392102000,-976376000,415450000,415450000,585293000,3820000,3820000,6061000,-2881000,2871000,9871000,-976000,-976000,-976000,-41062000,1.49011611938477e-08,1287000,1287000,1775000,3062000,-28129000,-28129000,-28129000,9830000,73868000,12678000,0.24452,0.03867,0.03919,0.00919,0.00653,3.31885,3.1331,0.40882,0.12621,0.09365,0.09007,2.38944,10.1846,0.3108,0.00732,0.02428,-8.99491,-23.4598
"13","2013_Q2",16.98671875,"Up",165338000,-76987000,88351000,-51092000,-44868000,-38484000,-6384000,-2538000,-3686000,37259000,-1005000,-1005000,36254000,36254000,-12646000,23608000,23608000,23608000,23608000,401677000,264635000,41256000,41256000,12068000,7842000,4226000,455001000,9269000,369251000,127706000,230290000,11255000,378520000,833521000,61483000,41043000,20440000,80116000,36362000,2283000,282352000,362468000,1424013000,-952768000,471053000,471053000,833521000,23608000,23608000,6112000,-21670000,23749000,31799000,-1543000,-1543000,-1543000,-48715000,195213000,754000,754000,17306000,213273000,196357000,196357000,196357000,43371000,252938000,78223000,0.53437,0.22535,0.14279,0.05012,0.02832,3.31341,5.67928,0.76948,0.30346,0.57706,0.53298,4.04141,11.51409,1.91203,0.03105,0.10288,-3.42946,-3.99203
"14","2013_Q3",20.819375,"Up",117181000,-69352000,47829000,-27452000,-21252000,-14695000,-6557000,-2508000,-3692000,20377000,-6304000,-6304000,14073000,14073000,-5667000,8406000,8406000,8406000,8406000,415493000,217434000,35524000,35524000,11308000,7185000,4123000,462325000,8565000,363490000,122611000,230290000,10589000,372055000,834380000,52850000,35048000,17802000,66415000,33359000,1916000,277246000,343661000,1435113000,-944362000,490719000,490719000,834380000,8406000,8406000,6085000,-5781000,8667000,17377000,-504000,-504000,-504000,-62371000,-10395000,-1e+05,951000,8288000,-2207000.00000003,-47201000,-47201000.0000001,-47201000,26462000,243887000,40292000,0.40816,0.17389,0.07174,0.01713,0.01007,4.79324,6.96115,0.70032,0.2923,0.20477,0.20492,2.85452,11.95389,0.98151,0.01095,0.05247,-6.485,-8.42155
"15","2013_Q4",26.99921875,"Up",124121000,-83557000,40564000,-34437000,-26651000,-18230000,-8421000,-2905000,-4881000,6127000,-13118000,-13118000,-6991000,-6991000,510000,-6481000,-6481000,-6481000,-6481000,248382000,97821000,46896000,46896000,15871000,6928000,8943000,337726000,15165000,534603000,185421000,343139000,6043000,549768000,887494000,77140000,50862000,26278000,97830000,60185000,2022000,306030000,403860000,1434475000,-950843000,483634000,483634000,887494000,-6481000,-6481000,7216000,19338000,-2564000,17509000,-1019000,-1019000,-1019000,-132671000,-28000,-1414000,1060000,-3009000,-4451000,-119613000,-119613000,-119613000,13343000,245845000,9250000,0.32681,0.04936,-0.05222,-0.0134,-0.0073,-1.42725,3.45217,0.83505,0.27701,-0.15737,-0.14961,3.01396,11.74382,0.22461,-0.00821,0.01171,-0.19014,-0.41407
"16","2014_Q1",23.1254098360656,"Down",-315427000,215902000,-99525000,32284000,29253000,31237000,-1984000,4702000,-1671000,-67241000,-9141000,-9141000,-76382000,-76382000,25188000,-51194000,-1134000,-1134000,-1134000,333705000,130225000,48081000,48081000,18066000,9774000,8292000,428678000,16108000,533244000,178064000,348957000,6223000,549352000,978030000,92377000,61268000,31109000,289373000,61394000,2719000,174587000,463960000,1466047000,-951977000,514070000,514070000,978030000,-51194000,-1134000,2560000,24586000,-14626000,-38674000,714000,714000,714000,122549000,6e+06,4265000,10746000,-20677000,-10412000,73463000,22122000,22122000,-64681000,302679000,-103781000,0.31552,0.21317,0.00359999999999999,-0.00221,-0.00116,91.51764,1.4814,0.90252,0.30948,-0.02722,-0.02504,-7.57146,12.33965,-2.49114,-0.00129,-0.11818,0.47968,0.46141
"17","2014_Q2",18.8307936507937,"Down",216183000,-96322000,119861000,-75245000,-64468000,-55836000,-8632000,-4135000,-6642000,44616000,-4069000,-4069000,40547000,40547000,-14560000,25987000,25987000,25987000,25987000,336390000,142756000,47026000,47026000,14946000,10364000,4582000,427875000,16110000,525403000,170595000,348957000,5851000,541513000,969388000,84188000,56001000,28187000,98739000,52980000,2732000,304655000,403394000,1491970000,-925990000,565994000,565994000,969388000,25987000,25987000,8864000,-27486000,19230000,26595000,-1247000,-1247000,-1247000,7533000,-4.4e+07,751000,751000,21652000,-21597000,12531000,12531000,12531000,53480000,259585000,86023000,0.55444,0.20638,0.12021,0.04591,0.02681,3.31023,4.33339,0.71272,0.26778,0.61636,0.5837,5.12744,13.42427,2.0403,0.02958,0.09791,-1.43614,-1.72147
"18","2014_Q3",16.531875,"Down",141569000,-79370000,62199000,-44425000,-32712000,-22287000,-10425000,-4817000,-6896000,17774000,-3724000,-3724000,14050000,14050000,-5313000,8737000.00000001,8737000,8737000,8737000,278620000,69764000,35680000,35680000,12571000,8656000,3915000,357435000,16330000,557952000,188323000,364054000,5575000,574282000,931717000,66971000,43257000,23714000,80763000,44001000,2669000,284590000,365353000,1481527000,-917253000,566364000,566364000,931717000,8737000.00000001,8737000,9056000,-14081000,4943000,8654999.99999999,-1612000,-1612000,-1612000,-56326000,-1.2e+07,-24125000,1660000,10804000,-25321000,-72992000,-72992000,-72992000,26830000,248501000,35474000,0.43935,0.12555,0.06172,0.01543,0.00937999999999999,4.0602,4.42573,0.64509,0.26671,0.21018,0.20279,3.40556,13.62434,0.85336,0.01017,0.0413,-1.12259,-1.69455
"19","2014_Q4",14.70609375,"Down",114855000,-75359000,39496000,-40820000,-27647000,-18152000,-9495000,-5970000,-7203000,-1324000,-3208000,-3208000,-4532000,-4532000,2294000,-2238000,-2238000,-2238000,-2238000,280394000,60194000,31806000,31806000,13110000,8967000,4143000,353069000,16347000,549658000,180330000,364054000,5274000,566005000,919074000,61585000,42886000,18699000,76447000,46282000,2610000,285797000,362244000,1476152000,-919491000,556830000,556830000,919074000,-2238000,-2238000,9378000,11814000,-3046000,15908000,-1388000,-1388000,-1388000,-15528000,-2e+06,-2726000,1412000,-5224000,-9950000,-9570000,-9570000,-9570000,8054000,247432000,1326000,0.34388,-0.01153,-0.01949,-0.00402,-0.00244,-0.59249,4.61848,0.65055,0.26922,-0.05454,-0.0529,2.79895,13.56964,0.03231,-0.00263,0.00156,-4.09262,24.89577
"20","2015_Q1",13.9460655737705,"Down",-368888000,237721000,-131167000,74704000,56841000,53604000,3237000,11164000,6699000,-56463000,-2488000,-2488000,-58951000,-58951000,20921000,-38030000,-68033000,-68033000,-68033000,293588000,41968000,292000,292000,80609000,6466000,1890000,374489000,6542000,484744000,92119000,188541000,1377000,491286000,865775000,7646000,419000,7227000,75058000,78689000,56492000,311692000,386750000,1467662000,-987524000,479025000,479025000,865775000,-38030000,-68033000,-5134000,30616000,-18482000,-31030000,2210000,2210000,2210000,10318000,38556000,-4444000,4283000,-23709000,10403000,-10309000,-7950000,-7950000,-61597000,233003000,-98790000,0.35557,0.15306,0.18443,-0.14202,-0.07858,1.45209,4.98933,0.80737,0.26913,-1.66678,-1.90702,-9.03761,11.73592,-2.42032,-0.08604,-0.12494,0.98357,1.073
"21","2015_Q2",15.4039682539683,"Up",81068000,-3999000,77069000,-44791000,-40164000,-33018000,-7146000,-1090000,-3537000,32278000,-2995000,-2995000,29283000,29283000,-9868000,19415000,23100000,23100000,23100000,311440000,61854000,32522000,32522000,12300000,10896000,1404000,390277000,16011000,470818000,161635000,304658000,4525000,486829000,877106000,68431000,40432000,27999000,75527000,32726000,3258000,273783000,349310000,1493365000,-964424000,527796000,527796000,877106000,19415000,23100000,5586000,-32754000,35940000,28187000,-259000,-259000,-259000,4151000,-2.5e+07,-2221000,2224000,21646000,-5575000,26763000,18134000,18134000,37864000,241057000,83413000,0.95067,0.39816,0.28495,0.04377,0.02634,3.61095,5.16738,0.66183,0.27483,0.56359,0.55133,1.9779,12.87716,2.03511,0.02882,0.10406,-1.85884,-2.18053
"22","2015_Q3",14.33578125,"Down",30899999.9999999,-3235999.99999997,27664000,-20017000,-15346000,-7693000.00000001,-7653000,-1130000,-3541000,7647000.00000001,-3034000,-3034000,4613000,4612999.99999999,-2202000,2410999.99999999,4251000.00000001,4251000,4251000,296887000,59498000,26688000,26688000,13575000,12529000,1046000,371584000,15595000,462550000,153654000,304658000,4238000,478145000,849729000,55665000,31274000,24391000,61739000,29283000,3195000,246358000,308097000,1501797000,-960173000,541632000,541632000,849729000,2410999.99999999,4251000.00000003,5586000,-5549000,-835000,1613000,-366000,-366000,-366000,10540000,-26940000,-599000,477000,4985000.00000001,-22554000,-10401000,-4334000,-4334000.00000001,13233000,217075000,14234000,0.89528,0.24748,0.13757,0.00785,0.005,3.34839,6.01863,0.56883,0.25546,0.10389,0.10137,0.755149999999999,13.23669,0.34786,0.00539000000000002,0.01806,-6.03129,-10.43703
"23","2015_Q4",11.03578125,"Down",2875000,-3081000,-206000,-15848000,-11008000,-2113000,-8895000,-1251000,-3589000,-16054000,-3080000,-3080000,-19134000,-19134000,6926000,-12208000,-10611000,-10611000,-10611000,292343000,59638000,23157000,23157000,11998000,10768000,1230000,361171000,15089000,460214000,147253000,308827000,4134000,475303000,836474000,52488000,33570000,18918000,59051000,23631000,6225000,241681000,300732000,1506597000,-970784000,535742000,535742000,836474000,-12208000,-10611000,5691000,-4584000,2247000,-8854000,-241000,-241000,-241000,797000,0,-681000,866000,808000,127000,-7930000,-4456000,-4462000,-10363000,218050000,-15283000,-0.07165,-5.584,-3.69078,-0.01981,-0.01269,1.4403,6.11626,0.56134,0.26068,-0.25912,-0.25326,0.07021,13.08283,-0.37321,-0.01365,-0.01966,7.16906,4.62769
"24","2016_Q1",7.03065573770492,"Down",2865000,-3397000,-531999.999999996,-28146000,-22899000,-3030000,-19869000,-1636000,-3611000,-28678000,-3433000,-3433000,-32111000,-32111000,9767000,-22344000,-56814000,-56814000,-56814000,66774000,55473000,7884000,7884000,266017000,10062000,44292000,340675000,11308000,947565000,396295000,548959000,2311000,958873000,1299548000,17695000,4689000,13006000,166104000,116354000,10932000,656122000,822226000,1490409000,-1027598000,462284000,477322000,1299548000,-22344000,-56814000,5727000,45960000,-25981000,3362000,-646000,-646000,-646000,-348005000,378270000,-632000,35000.0000000002,-28984000,348654000,4011000,7685000,7674000,-22951000,571399000,-59345000,-0.18569,-10.00977,-19.83037,-0.11903,-0.04372,1.04455,2.05097,1.72258,0.43969,-1.38638,-1.49106,0.06991,11.28072,-1.44815,-0.04876,-0.05094,-21.98706,-17.59624
"25","2016_Q2",7.86515625,"Up",165765000,-56143000,109622000,-70176000,-56590000,-43837000,-12753000,-4295000,-9291000,39446000,-7514000,-7514000,31932000,31932000,-11643000,20289000,22811000,22667000,22667000,79597000,67955000,10840000,10840000,227604000,7320000,23009000,318041000,11093000,940602000,387359000,551027000,2216000,951695000,1269736000,26969000,9906000,17063000,127221000,111859000,10490000,617531000,744752000,1514927000,-1004931000,509802000,524984000,1269736000,20289000,22811000,10105000,-2646000,40973000,68721000,-677000,-677000,-677000,-1080000,-60667000,1650000,1650000,-329000,-59346000,8295000,12611000,12611000,49551000,508872000,101490000,0.66131,0.23796,0.13674,0.04318,0.01785,4.47743,2.49991,1.41862,0.40077,0.55056,0.54475,4.02626,12.38255,2.46508,0.01978,0.08858,8.6633,10.8826
"26","2016_Q3",11.10875,"Up",120108000,-53095000,67013000,-44659000,-31421000,-19913000,-11508000,-3959000,-9279000,22354000,-10916000,-10916000,11438000,11438000,-5793000,5644999.99999999,-14330000,-14445000,-14445000,82094000,74273000,6474000,6474000,184223000,5192000,21780000,272791000,10923000,932171000,378994000,551030000,2147000,943094000,1215885000,15480000,3198000,12282000,98127000,103182000,10976000,591326000,689453000,1530705000,-1019376000,511135000,526432000,1215885000,5644999.99999999,-14330000,9492000,2318999.99999999,4708999.99999999,22165000,-851000,-851000,-851000,1105000,-20000000.0000001,53999.9999999998,54000.0000000005,-571999.999999996,-20518000.0000001,2752000,4664000,4657000,31846000,491344000,41497000,0.55794,0.18612,-0.120269999999999,-0.02744,-0.01188,-2.87276,2.77998,1.30967,0.4041,-0.34887,-0.34151,2.90081,12.34477,1.00222,-0.01289,0.03702,12.85091,18.30769
"27","2016_Q4",13.4895238095238,"Up",83237000,-56289000,26948000,-37456000,-23603000,-11965000,-11638000,-4588000,-9265000,-10508000,-11453000,-11453000,-21961000,-21961000,8537000,-13424000,-53952000,-54119000,-54119000,75657000,71165000,7076000,7076000,97242000,4059000,22751000,179975000,10711000,923602000,370640000,549582000,3380000,934313000,1114288000,17286000,5840000,11446000,82546000,117948000,11233000,564773000,647319000,1525271000,-1073495000,451505000,466969000,1114288000,-13424000,-53952000,9483000,3412000,-1820000,-2349000,-1120000,-1120000,-1120000,2200000,-4.5e+07,839000,839000,-546000,-44707000,-44856000,-4495000,-4503000,-1025000,450025000,-12502000,0.32375,-0.12624,-0.65018,-0.11589,-0.04857,0.23101,2.1803,1.38621,0.40387,-1.29981,-1.25627,1.99916,10.8441,-0.30027,-0.05229,-0.01208,-365.23707,-35.62695
"28","2017_Q1",15.6620967741935,"Up",86801000,-57649000,29152000,-39457000,-25142000,-13645000,-11497000,-4938000,-9377000,-10305000,-9898000,-9898000,-20203000,-24073000,10184000,-13889000,-19029000,-19261000,-19261000,58814000,51713000,10209000,10209000,28824000,6321000,22503000,97847000,10836000,913976000,362178000,548741000,3057000,924812000,1022659000,23064000,4536000,18528000,54367000,123180000,10205000,535577000,589944000,1510156000,-1092756000,417019000,432715000,1022659000,-13889000,-19029000,9608000,755000,959000,-2567000,-1164000,-1164000,-1164000,-3785000,-38200000,1075000,1075000,-305000,-37430000,-43782000,-17716000,-17727000,-696999.999999996,414957000,-11086000,0.33585,-0.11872,-0.2219,-0.04451,-0.01883,0.57557,1.79975,1.36335,0.40576,-0.46119,-0.49401,2.07837,9.98513,-0.26544,-0.01984,-0.01142,-510.96557,-34.56021
"29","2017_Q2",19.7928571428571,"Up",182375000,-59740000,122635000,-76457000,-62481000,-48998000,-13483000,-4748000,-9228000,46178000,-9708000,-9708000,36470000,34181000,-3471000,30710000,30710000,30584000,30584000,74769000,74609000,11448000,11448000,26454000,6800000,19654000,112671000,8990000,905522000,353847000,548778000,2897000,914512000,1027183000,33110000,7223000,25887000,59494000,68793000,8546000,446407000,505901000,1516425000,-1010628000,505460000,521282000,1027183000,30710000,30710000,9470000,6210000,6510000,52900000,-1165000,-1165000,-1165000,5767000,-3.8e+07,4896000,4896000,-3155000,-36259000,22408000,22408000,22413000,55648000,380174000,64464000,0.67243,0.2532,0.1677,0.05867,0.02977,2.10777,1.89382,0.97049,0.37011,0.72569,0.67324,4.32732,11.99336,1.52958,0.03152,0.06644,5.48816,6.61365
