"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","foreign_exchange_gain_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2013_Q2",8.330625,"Up",2036929000,-1918495000,118434000,-44476000,-44476000,73958000,-16976000,-24605000,7624000,5000,56982000,56982000,-2754000,54228000,54228000,354000,54582000,54582000,43560000,43560000,390421000,972358000,153403000,64436000,3814000,1559742000,1181518000,177075000,36831000,42789000,1358593000,2918335000,582219000,290533000,291686000,15888000,702622000,1126477000,115053000,115053000,1241530000,1944152000,1645141000,-615129000,-58101000,971911000,2272000,974183000,2918335000,54228000,37790000,-8230000,-63149000,20639000,-24118000,-24118000,-22505000,-22505000,-25984000,-25984000,1364000,-24620000,111748000,1142365000,27235000,0.05814,0.03631,0.0268,0.05603,0.0187,0.49897,2.21989,1.99567,0.39144,0.21089,0.21078,7.86997,3.75512,0.10523,0.02446,0.0122,9.83288,14.85715
"12","2013_Q3",12.30671875,"Up",2184119000,-1901611000,282508000,-44579000,-44579000,237929000,-31254000,-22258000,-9713000,717000,206675000,206675000,-15884000,190791000,190791000,-86000,190705000,190705000,78231000,78231000,390461000,952191000,164276000,71166000,3892000,1585159000,1166985000,171770000,35395000,38941000,1338755000,2923914000,628645000,327185000,301460000,393000,733524000,911939000,87031000,87031000,998970000,1732494000,1646196000,-424424000,-32710000,1189062000,2358000,1191420000,2923914000,190791000,38149000,10575000,50773000,290288000,-21968000,-21968000,-230146000,-230146000,38174000,38174000,-3503000,34671000,276078000,912332000,320767000,0.12935,0.10894,0.08731,0.16007,0.06522,1.68201,2.16102,1.45414,0.31202,0.73681,0.73587,8.43856,4.59406,1.23932,0.08705,0.14642,3.02125,3.50567
"13","2013_Q4",11.69625,"Down",2142815000,-1906242000,236573000,-47455000,-47455000,189118000,-22516000,-19842000,-2682000,8000,166602000,166602000,-5578000,161024000,161024000,-107000,160917000,160917000,330316000,330316000,407002000,911086000,169248000,72825000,4454000,1817652000,1159358000,132411000,33960000,38831000,1291769000,3109421000,678022000,370034000,307988000,396000.000000015,759267000,912019000,84566000,84566000,996585000,1755852000,1647008000,-263507000,-32397000,1351104000,2465000,1353569000,3109421000,161024000,37914000,7094000,79757000,285789000,-26877000,-26877000,-5038000,-5038000,253874000,253874000,-1789000,252085000,227032000,912415000,285490000,0.1104,0.08826,0.0751,0.11888,0.05175,1.77414,2.39396,1.2972,0.29344,0.62172,0.62037,8.27898,5.22012,1.10302,0.06846,0.12146,2.56395,3.07797
"14","2014_Q1",12.8513114754098,"Up",2047285000,-1839361000,207924000,-50066000,-50066000,157858000,-14177000,-18176000,356000,3643000,143681000,143681000,-11000,143670000,143670000,-319000,143351000,143351000,605108000,508206000,376678000,808832000,138364000,61848000,2388000,1928982000,1151811000,91609000,32525000,40163000,1243420000,3172402000,657649000,370360000,287289000,410234000,1083398000,501999000,94403000,80459000,596402000,1679800000,1655709000,-120156000,-45735000,1489818000,2784000,1492602000,3172402000,143670000,36670000,-856000,102333000,281817000,-11923000,-108825000,-296000.00000003,7475000,180467000,180467000,-2577000,177890000,194528000,912233000,284949000,0.10156,0.07711,0.07002,0.09604,0.04519,1.98777,1.78049,1.12542,0.28755,0.55384,0.55248,7.9098,5.75599,1.10092,0.05736,0.11401,1.57882,1.94558
"15","2014_Q2",17.7322222222222,"Up",2018065000,-1802959000,215106000,-46914000,-46914000,168192000,-17993000,-18662000,-337000,1006000,150199000,150199000,-52012000,98187000,98187000,-70000,98117000,98117000,551980000,514975000,373609000,793516000,104845000,72914000,3220000,1823950000,1165434000,81033000,31089000,33895000,1246467000,3070417000,663619000,381745000,281874000,205357000,884471000,502077000,97880000,87428000,599957000,1484428000,1656731000,-22039000,-51557000,1583135000,2854000,1585989000,3070417000,98187000,38260000,2594000,56660000,195701000,-46249000,13701000,-204913000,-204913000,4489000,4489000,2280000,6769000,206452000,707434000,268875000,0.10659,0.08334,0.04862,0.06186,0.03196,2.74035,2.06219,0.93596,0.2304,0.37894,0.37818,7.79407,6.11431,1.03844,0.04103,0.11244,0.75298,0.92427
"16","2014_Q3",22.541875,"Up",2186816000,-1837341000,349475000,-49045000,-49045000,300430000,-10758000,-13570000,1819000,993000,289672000,289672000,-99227000,190445000,190445000,-85000,190360000,190360000,527412000,527412000,404866000,837333000,94084000,82066000,4376000,1863695000,1173868000,148862000,29654000,31664000,1322730000,3186425000,803803000,387466000,416337000,257000,819682000,502039000,90205000,90205000,592244000,1411926000,1658086000,168321000,-55179000,1771228000,3271000,1774499000,3186425000,190445000,38261000,-81872000,73656000,220490000,-40208000,-3208000,-205252000,-204920000,12362000,12362000,75000.0000000009,12437000,338691000,502296000,471366000,0.15981,0.13738,0.08705,0.10728,0.05974,2.47618,2.27368,0.79568,0.15764,0.73505,0.73336,8.44405,6.83933,1.82011,0.08042,0.19914,-0.07416,-0.0836
"17","2014_Q4",23.61234375,"Up",2268048000,-1817783000,450265000,-44764000,-44764000,405501000,-16005000,-10201000,-6414000,610000,389496000,389496000,-133693000,255803000,255803000,181000,255984000,255984000,868597000,868597000,413402000,817892000,81279000,77393000,240000,2181170000,1180414000,144198000,28219000,30766000,1324612000,3505782000,869054000,383779000,485275000,260000,884384000,502115000,88490000,88490000,590605000,1474989000,1659213000,424305000,-55815000,2027703000,3090000,2030793000,3505782000,255803000,36219000,10929000,83266000,386217000,-36470000,-36470000,-34000,-34000,349713000,349713000,-8528000,341185000,441720000,502375000,622209000,0.19853,0.17879,0.11287,0.12605,0.07302,2.43066,2.46632,0.72631,0.1433,0.98836,0.98637,8.75698,7.829,2.40236,0.09764,0.23733,-0.82908,-0.90313
"18","2015_Q1",24.1391803278689,"Up",2110436000,-1731287000,379149000,-50157000,-50157000,328992000,-55968000,-34838000,-23047000,1917000,273024000,273024000,-106021000,167003000,167003000,184000,167187000,167187000,576143000,576143000,378890000,790305000,112396000,95439000,5250000,1857734000,1182795000,51189000,26783000,24406000,1233984000,3091718000,719295000,399486000,319809000,262000,719557000,3980000,171380000,97208000,175360000,894917000,1664944000,591492000,-62541000,2193895000,2906000,2196801000,3091718000,167003000,43084000,191185000,-136988000,264284000,-37408000,-37408000,-496186000,-495728000,-268852000,-268852000,-23602000,-292454000,372076000,4242000,303701000,0.17965,0.15589,0.07922,0.0761,0.05408,1.81653,2.58177,0.40737,0.00137,0.64552,0.64466,8.1485,8.47074,1.1726,0.07047,0.12801,-1.53705,-1.73834
"19","2015_Q2",22.2709523809524,"Down",2052919000,-1675799000,377120000,-49507000,-49507000,327613000,-11926000,-3365000,-8974000,413000,315687000,315687000,-111494000,204193000,204193000,22000,204215000,204215000,478037000,478037000,364991000,788722000,121886000,84997000,4719000,1753636000,1181408000,56836000,25348000,31488000,1238244000,2991880000,729578000,412342000,317236000,133000.000000001,756189000,1150441000,176183000,102275000,1326624000,2082813000,1673575000,-702763000,-64629000,906183000,2884000,909067000,2991880000,204193000,36152000,9582000,46159000,296086000,-31724000,-31724000,1137469000,-353167000,-88805000,-88805000,-9301000,-98106000,363765000,1150574000,489694000,0.1837,0.15958,0.09948,0.22464,0.06826,2.39793,2.31904,2.29115,0.38457,0.78649,0.78566,7.90639,3.48998,1.88596,0.76155,0.21902,1.84882,2.05284
"20","2015_Q3",19.32609375,"Down",2053876000,-1621856000,432020000,-53647000,-53647000,378373000,-7645000,-10237000,-2059000,4651000,370728000,370728000,-129104000,241624000,241624000,-135000,241489000,241489000,574194000,574194000,348011000,787113000,194401000,88204000,1115000,1903719000,1189121000,54401000,23912000,30489000,1243522000,3147241000,793089000,469135000,323954000,117000,818565000,1000420000,168303000,87467000,1168723000,1987288000,1674046000,-461274000,-55838000,1156934000,3019000,1159953000,3147241000,241624000,38918000,-9612999.99999997,21088000,292017000,-53855000,-53855000,-151306000,-151306000,86856000,86856000,9301000,96157000,417291000,1000537000,513628000,0.21034,0.18422,0.11758,0.20819,0.07673,2.12692,2.32568,1.71325,0.31791,0.92993,0.92917,7.90911,4.45514,1.97789,0.1037,0.22056,1.02169,1.12678
"21","2015_Q4",18.4153125,"Down",2112529000,-1827985000,284544000,-53412000,-53412000,231132000,-20884000,-10182000,-12773000,2071000,210248000,210248000,-73153000,137095000,137095000,-33000,137062000,137062000,396719000,396719000,369681000,841273000,148525000,96857000,2581000,1756198000,1347239000,238421000,32177000,31813000,1585660000,3341858000,859760000,524025000,335735000,5971000,906099000,1000398000,192693000,103104000,1193091000,2099190000,1675098000,-324400000,-66002000,1239616000,3052000,1242668000,3341858000,137095000,41415000,-10055000,99756000,268211000,-30716000,-404248000,3642000,-41438000,-177475000,-177475000,9392968.1198163,-177475000,272547000,1006369000,414740000,0.13469,0.10941,0.06488,0.1103,0.04101,3.02593,1.9382,1.68926,0.30114,0.52863,0.52817,8.14767,4.78099,1.59958,0.05613,0.16985,2.23686,2.63767
"22","2016_Q1",20.8890163934426,"Up",2533348000,-2328308000,205040000,-81026000,-81026000,124014000,-19353000,-18937000,-2342000,1926000,104661000,104661000,-24601000,80060000,80060000,-16912000,63148000,63148000,439638000,439638000,348994000,801357000,156235000,75602000,2668000,1746224000,1352529000,219690000,47453000,15672000,1572219000,3318443000,818148000,482954000,335194000,28812000,846960000,985509000,224164000,92282000,1209673000,2056633000,1678271000,-261252000,-58930000,1258856000,2954000,1261810000,3318443000,80060000,57332000,27374000,-700000.000000015,164066000,-59357000,-59356999.9999999,16419000,-39094000,65615000.0000001,65615000.0000001,-4264000,61350999.9999999,181346000,1014321000,145890000,0.08094,0.04895,0.02493,0.05005,0.01903,2.31029,2.06175,1.62991,0.30566,0.24749,0.24728,9.92886,4.93379,0.57178,0.02526,0.05835,3.16899,4.63402
"23","2016_Q2",24.13859375,"Up",1962937000,-1725375000,237562000,-48788000,-48788000,188774000,-8159000,-11340000,235000,2946000,180615000,180615000,-62604000,118011000,118011000,360000,118371000,118371000,574888000,574888000,347401000,778528000,113025000,76210000,6155000,1813842000,1350890000,222018000,44458000,15982000,1572908000,3386750000,773665000,471952000,301713000,21665000,795330000,986400000,233831000,101076000,1220231000,2015561000,1679151000,-142881000,-65785000,1368595000,2594000,1371189000,3386750000,118011000,42391000,536000,24556000,185494000,-36464000,-36464000,-3492000,-6149000,142881000,142881000,-21323848.4525253,142881000,231165000,1008065000,281861000,0.12102,0.09617,0.0603,0.08633,0.03495,2.38117,2.28062,1.46994,0.29765,0.46455,0.46393,7.70362,5.3711,1.10617,0.0453,0.10787,1.87389,2.29469
"24","2016_Q3",23.198125,"Down",2028315000,-1742184000,286131000,-49520000,-49520000,236611000,-5171000,-10865000,4744000,950000,231440000,231440000,-78398000,153042000,153042000,-156000,152886000,152886000,41047000,41047000,343255000,832565000,192124000,95420000,1797000,1408991000,1414895000,184064000,42503000,15954000,1598959000,3007950000,824532000,466783000,357749000,90000,824622000,1117979000,246656000,101780000,1364635000,2189257000,1680140000,-689910000,-67726000,815943000,2750000,818693000,3007950000,153042000,46292000,-6122000,-89722000,103490000,-49417000,-49417000,109041000,-595545000,-541472000,-541472000,-32539118.3360104,-541472000,282903000,1118069000,222162000,0.14107,0.11665,0.07538,0.18674,0.05083,1.45312,1.70865,2.67409,0.3717,0.6006,0.59968,7.96811,3.20538,0.87275,0.39058,0.10175,3.80704,4.55187
"25","2016_Q4",19.5252380952381,"Down",3516429000,-3165009000,351420000,-131757000,-131757000,219663000,-34054000,-34275000,-3210000,3431000,185609000,185609000,-61977000,123632000,123632000,-24975000,98657000,98657000,85994000.0000001,85994000,350810000,796808000,136283000,75686000,3491000,1369895000,1450352000,182042000,40548000,15887000,1632394000,3002289000,844237000,494076000,350161000,92000.0000000019,844329000,1004840000,236313000,91890000,1241153000,2085482000,1683602000,-591253000,-65848000,906935000,9872000,916807000,3002289000,123632000,85445000,3863000,50059000,262999000,-122177000,-122177000,-120063000,-141685000,-863000,-863000,-28937000,-29800000,305108000,1004932000,294967000,0.09994,0.06247,0.02806,0.10761,0.03286,2.98982,1.62247,2.27472,0.33472,0.38771,0.38701,13.81918,3.56416,1.15919,0.05304,0.13668,3.01184,4.1834
"26","2017_Q1",20.2367741935484,"Up",2370883000,-2142013000,228870000,-81836000,-81836000,147034000,-20662000,-16855000,-5824000,2017000,126372000,126372000,-40940000,85432000,85432000,-14814000,70618000,70618000,292544000,292544000,445553000,975608000,96180000,81932000,8989000,1809885000,1833985000,1378072000,471591000,19260000,3212057000,5021942000,1169445000,790378000,379067000,15712000,1185157000,1396124000,354529000,102722000,1750653000,2935810000,3407620000,-782785000,-329858000,2077860000,8272000,2086132000,5021942000,85432000,57580000,-4881000,105248000,243379000,-119527000,-119527000,11785000.0000001,-84840000,39012000,39012000,-9650000,29362000.0000001,204614000,1411836000,231275000,0.09653,0.06202,0.02979,0.03385,0.01406,3.27501,1.52713,1.4073,0.28113,0.28151,0.2808,9.45121,8.28311,0.92195,0.01809,0.06003,5.47026,7.61247
"27","2017_Q2",23.7825396825397,"Up",2479340000,-2222805000,256535000,-89811000,-89811000,166724000,-16592000,-18744000,-691000,2843000,150132000,150132000,-49394000,100738000,100738000,-6817000,93921000,93921000,30762000,30761999.9999999,367351000,924169000,97053000,77587000,7697000,1419335000,1709843000,361167000,121880000,16509000,2071010000,3490345000,916697000,575781000,340916000,96000.0000000037,916793000,1346990000,247211000,88717000,1594201000,2510994000,1690799000,-426714000,-62921000,969406000,9945000,979351000,3490345000,100738000,62672000,16503000,-113618000,66295000,-121458000,-481156000,333380000,318739000,-96122000,-96122000,2182000,-93940000,229396000,1347086000,43714000,0.10347,0.06725,0.03788,0.0959,0.02691,0.46543,1.54815,2.56394,0.38595,0.37766,0.3773,9.96952,3.89802,0.17578,0.03649,0.01699,5.73822,7.89523
"28","2017_Q3",26.307619047619,"Up",2752286000,-2277605000,474681000,-96346000,-96346000,378335000,-17888000,-21463000,2303000,1272000,360447000,360447000,-115256000,245191000,245191000,-11550000,233641000,233641000,303937000,303937000,406586000,967577000,110171000,66572000,24398000,1788271000,1721948000,346783000,153855000,17484000,2068731000,3857002000,942079000,519820000,422259000,40098000,982177000,1404264000,260464000,89422000,1664728000,2646905000,1691286000,-193073000,-66735000,1199720000,10377000,1210097000,3857002000,245191000,69941000,19671000,-67549000,267254000,-75065000,-75065000.0000001,90639000,90638999.9999999,282828000,282828000,7091000,289919000,448276000,1444362000,420918000,0.17247,0.13746,0.08489,0.19308,0.06058,1.80156,1.82072,2.18735,0.37448,0.93925,0.93842,11.06433,4.82294,1.69211,0.08015,0.1444,2.54402,3.01433
"29","2017_Q4",32.6546031746032,"Up",2793885000,-2315291000,478594000,-106348000,-106348000,372246000,-20537000,-22508000,888000,1083000,351709000,351709000,-113396000,238313000,238313000,-5633000,232680000,232680000,401789000,401789000,624802000,1196201000,127864000,102914000,5811000,2350656000,2076347000,1636282000,620693000,20007000,3712629000,6063285000,1358527000,743528000,614999000,61811000,1420338000,2548575000,384136000,98098000,2932711000,4353049000,1928988000,39606000,-36517000,1700319000,9917000,1710236000,6063285000,238313000,72012000,3241000,-28624000,284942000,-59256000,-358078000,-19547000,-19547000,-92683000,-92683000,5811000,-86872000,444258000,2610386000,469774000,0.1713,0.13324,0.08328,0.13605,0.03838,2.01897,1.655,2.54529,0.43052,0.93539,0.9345,11.23156,6.83537,1.88852,0.04946,0.09985,4.97143,5.93317
