"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","selling_marketing","general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","deferred_revenue_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2015_Q1",60.4355737704918,"Down",248162000,-43751000,204411000,-374398000,-273243000,-205472000,-67771000,-101155000,-169987000,1255000,580000,675000,-168732000,-168732000,-2007000,-170739000,-170739000,-170739000,-170739000,897453000,897453000,83348000,83348000,12019000,12019000,992820000,15505000,32006000,642000,47511000,1040331000,58698000,2079000,56619000,149156000,149156000,207854000,47569000,43165000,4404000,47569000,255423000,954557000,-169707000,58000,784908000,784908000,1040331000,-170739000,7994000,177255000,50051000,64561000,-6685000,-628937000,6345000,6345000,3060000,8882000,-555494000,-555494000,-556094000,-161993000,0,-116620000,0.8237,-0.68498,-0.68801,-0.21753,-0.16412,0.68303,4.77653,0.32542,0,-1.57976,-1.57976,2.29612,7.26235,-1.07903,-0.2051,-0.14009,5.54007,5.27954
"12","2015_Q2",67.2952380952381,"Up",85907000,-14187000,71720000,-121823000,-92081000,-71078000,-21003000,-29742000,-50103000,-90000,130000,-220000,-50193000,-50193000,-562000,-50755000,-50755000,-50755000,-50755000,826992000,667747000,52113000,52113000,11297000,11297000,890402000,18003000,31586000,1125000,141227000,1031629000,49384000,2234000,47150000,153538000,153538000,202922000,44937000,40474000,4463000,44937000,247859000,1004139000,-220462000,93000,783770000,783770000,1031629000,-50755000,2651000,42475000,24540000,18911000,-4238000,-255121000,5836000,5836000,479000.000000001,6315000,-229895000,-229895000,-229706000,-47452000,-2.8421709430404e-14,-26588000,0.83486,-0.58322,-0.59081,-0.06476,-0.0492,0.52385,4.3879,0.31624,0,-0.43273,-0.43273,0.73243,6.68233,-0.22669,-0.06125,-0.03208,17.42797,16.50584
"13","2015_Q3",65.32546875,"Down",101547000,-15071000,86476000,-146833000,-112654000,-79978000,-32676000,-34179000,-60357000,109000,163000,-54000,-60248000,-60248000,-534000,-60782000,-60782000,-60782000,-60782000,837615000,645398000,69838000,69838000,9465000,9465000,916918000,33852000,34256000,2217000,164698000,1081616000,61023000,2636000,58387000,164278000,164278000,225301000,61514000,42717000,18797000,61514000,286815000,1076003000,-281244000,42000,794801000,794801000,1081616000,-60782000,2887000,59029000,8202000,9336000,-2908000,-43478000,11937000,11937000,389000,11803000,-22339000,-22339000,-22349000,-57470000,0,-51642000,0.85159,-0.59438,-0.59856,-0.07647,-0.0562,0.84963,4.06975,0.36086,0,-0.51072,-0.51072,0.85325,6.67833,-0.43392,-0.07098,-0.06031,14.57482,13.87768
"14","2015_Q4",57.31125,"Down",116029000,-17580000,98449000,-146700000,-107166000,-85720000,-21446000,-39534000,-48251000,147000,199000,-51999.9999999999,-48104000,-48104000,-447000,-48551000,-48551000,-48551000,-48551000,796388000,329553000,82550000,82550000,13495000,13495000,892433000,43236000,32616000,2e+06,236775000,1129208000,74772000,2830000,71942000,180131000,180131000,254903000,76411000,49146000,27265000,76411000,331314000,1127894000,-329795000,-205000,797894000,797894000,1129208000,-48551000,3430000,48032000,21294000,24205000,-4054000,-343378000,3387000,3387000,240000,3627000,-315546000,-315546000,-315845000,-44821000,2.8421709430404e-14,-27134000,0.84849,-0.41585,-0.41844,-0.06085,-0.043,0.55888,3.50107,0.41524,0,-0.40348,-0.40348,0.96425,6.63083,-0.22549,-0.05553,-0.03103,17.76819,16.50511
"15","2016_Q1",45.0008196721312,"Down",147392000,-21540000,125852000,-182951000,-135616000,-107695000,-27921000,-47335000,-57099000,804000,262000,542000,-56295000,-56295000,-733000,-57028000,-57028000,-57028000,-57028000,1009039000,424541000,181665000,181665000,26565000,26565000,1217269000,134995000,183075000,10275000,319570000,1536839000,150645000,4868000,145777000,347121000,347121000,497766000,179659000,102382000,77277000,179659000,677425000,1528779000,-665595000,-3770000,859414000,859414000,1536839000,-118684000,10523000,132039000,79292000,103170000,-40132000,488487000,13451000,13451000,-234000,13740000,605397000,605397000,605126000,-46576000,0,-6683000,0.85386,-0.3874,-0.38691,-0.06636,-0.03711,0.11719,2.44546,0.78824,0,-0.46566,-0.46566,1.20352,7.01751,-0.05457,-0.05488,-0.00643,21.66436,17.67175
"16","2016_Q2",52.78265625,"Up",185952000,-39500000,146452000,-244595000,-177224000,-145151000,-32073000,-67371000,-98143000,-1528000,-403000,-1125000,-99671000,-99671000,-1225000,-100896000,-100896000,-100896000,-100896000,865143000,413507000,81341000,81341000,19961000,19961000,966445000,62315000,33312000,4957000,273550000,1239995000,78332000,3964000,74368000,249372000,249372000,327704000,98197000,55931000,42266000,98197000,425901000,1272950000,-458009000,-847000,814094000,814094000,1239995000,-100896000,6461000,90430000,39694000,35689000,-3709000,-13376000,1664000,1664000,-21039000,-19375000,2938000,2938000,3704000,-91682000,-4.54747350886464e-13,-54472000,0.78758,-0.52779,-0.54259,-0.12394,-0.08137,0.53988,2.94914,0.52316,0,-0.8101,-0.8101,1.49301,6.53639,-0.43736,-0.1106,-0.05971,9.43635,8.81513
"17","2016_Q3",59.899375,"Up",212753000,-44616000,168137000,-251764000,-184540000,-150228000,-34312000,-67224000,-83627000,-1860000,-797000,-1063000,-85487000,-85487000,-1110000,-86597000,-86597000,-86597000,-86597000,855374000,326200000,99694000,99694000,22312000,22312000,977380000,77013000,187062000,6899000,335760000,1313140000,94992000,4116000,90876000,263157000,263157000,358149000,117404000,58093000,59311000,117404000,475553000,1353049000,-513298000,-2164000,837587000,837587000,1313140000,-86597000,8174000,88525000,8247000,18349000,-10541000,-30627000,19122000,19122000,-24756000,-5634000,-17912000,-17912000,-18296000,-75453000,0,-76637000,0.79029,-0.39307,-0.40703,-0.10339,-0.06595,0.88498,2.72898,0.56777,0,-0.68391,-0.68391,1.68023,6.61491,-0.60525,-0.09068,-0.08025,11.33651,10.22844
"18","2016_Q4",57.5774603174603,"Down",244789000,-48674000,196115000,-287068000,-201409000,-167330000,-34079000,-85659000,-90953000,-1171000,-823000,-348000,-92124000,-92124000,-1367000,-93491000,-93491000,-93491000,-93491000,948531000,501691000,125657000,125657000,20721000,20721000,1094909000,100264000,182439000,5440000,284203000,1379112000,119963000,4205000,115758000,282547000,282547000,402510000,135656000,66341000,69315000,135656000,538166000,1429516000,-586272000,-2298000,840946000,840946000,1379112000,-93491000,8279000,105741000,24743000,45272000,-12969000,-64224000,1752000,1752000,-27009000,-25257000,-44209000,-44209000,-44356000,-82674000,0,-69533000,0.80116,-0.37156,-0.38192,-0.11117,-0.06779,0.74374,2.7202,0.63995,0,-0.7283,-0.7283,1.90693,6.55106,-0.54167,-0.09573,-0.0712,11.47315,10.4288
"19","2017_Q1",59.8387096774194,"Up",24941000,18668000,43609000,-58809000,-63754000,-42639000,-21115000,4945000,-15200000,5838000,3821000,2017000,-9362000,-9362000,11574000,2212000,2212000,2212000,2212000,1083442000,421346000,238281000,238281000,38650000,38650000,1360373000,166395000,186778000,24423000,358173000,1718546000,188666000,7503000,181163000,478707000,478707000,667373000,246012000,146752000,99260000,246012000,913385000,1828958000,-1020784000,-3013000,805161000,805161000,1718546000,2212000,-3423000,-3121000,60644000,56312000,-24113000,-45263000,12073000,12073000,73678000,85751000,96800000,96800000,96174000,-18623000,0,6334000,1.74849,-0.60944,0.08869,0.00275,0.00129,2.86347,2.0384,1.13441,0,0.01736,0.01736,0.1957,6.31761,0.0497,0.0021,0.00603,58.17763,71.27908
"20","2017_Q2",62.2047619047619,"Up",226768000,-58163000,168605000,-281255000,-209957000,-173461000,-36496000,-71298000,-112650000,-1136000,-527999.999999999,-608000,-113786000,-113786000,-1338000,-115124000,-115124000,-115124000,-115124000,1022491000,428245000,98607000,98607000,30599000,30599000,1151697000,144655000,186012000,14866000,332167000,1483864000,110248000,4885000,105363000,354888000,354888000,465136000,185678000,95889000,89789000,185678000,650814000,1600774000,-766491000,-1233000,833050000,833050000,1483864000,-115124000,9103000,100690000,46689000,41358000,-5605000,34987000,1487000,1487000,-32462000,-31292000,45053000,45053000,45081000,-103547000,1.16415321826935e-10,-61125000,0.74351,-0.49676,-0.50767,-0.1382,-0.07758,0.53095,2.47604,0.78124,-2.71050543121376e-20,-0.87551,-0.87551,1.72455,6.33527,-0.46485,-0.11301,-0.06,9.87466000000001,9.07671
"21","2017_Q3",62.6049206349206,"Up",280224000,-59876000,220348000,-297550000,-225776000,-186637000,-39139000,-71774000,-77202000,-1038000,-164000,-874000,-78240000,-78240000,-353000,-78593000,-78593000,-78593000,-78593000,1020609000,409949000,131262000,131262000,26882000,26882000,1178753000,151953000,181885000,13833000,338838000,1517591000,130615000,5429000,125186000,367834000,367834000,498449000,190001000,99525000,90476000,190001000,688450000,1684003000,-853088000,-1774000,829141000,829141000,1517591000,-78593000,10813000,101861000,-10893000,23188000,-2908000,-63155000,19768000,19768000,-26647000,-7364000,-47331000,-47331000,-46617000,-66389000,0,-79837000,0.78633,-0.2755,-0.28046,-0.09479,-0.05179,1.01583,2.36484,0.83032,0,-0.59074,-0.59074,2.1063,6.23222,-0.60009,-0.07712,-0.07834,15.37316,13.21998
"22","2017_Q4",73.3706349206349,"Up",342489000,-64167000,278322000,-308203000,-234123000,-198266000,-35857000,-74080000,-29881000,-19000,270000,-289000,-29900000,-29900000,232000,-29668000,-29668000,-29668000,-29668000,1026999000,365593000,172489000,172489000,29743000,29743000,1229231000,159823000,180910000,15845000,345733000,1574964000,168628000,6395000,162233000,385519000,385519000,554147000,206646000,113636000,93010000,206646000,760793000,1763760000,-946579000,-3010000,814171000,814171000,1574964000,-29668000,10123000,89296000,-17464000,52287000,-5418000,-49007000,501000.000000007,500999.999999996,-29542000,-29538000,-26258000,-26258000,-26496000,-19758000,0,-42872000,0.81265,-0.08725,-0.08662,-0.03644,-0.01884,1.44506,2.21824,0.93444,0,-0.22029,-0.22029,2.54304,6.04536,-0.31833,-0.02906,-0.042,51.97889,34.36963
"23","2018_Q1",95.4572131147541,"Up",421307000,-74203000,347104000,-381666000,-297704000,-250053000,-47651000,-83962000,-34562000,-1258000,571000,-1829000,-35820000,-35820000,102000,-35718000,-35718000,-35718000,-35718000,1165150000,545947000,396413000,396413000,122472000,70021000,1684035000,160880000,289155000,79631000,455410000,2139445000,241036000,11040000,229996000,489913000,489913000,730949000,277175000,178792000,98383000,277175000,1008124000,2087036000,-955871000,156000,1131321000,1131321000,2139445000,-35718000,10902000,56862000,114025000,146071000,-6572000,38670000,16463000,16463000,-49179000,-33225000,151516000,151516000,152633000,-23660000,0,83691000,0.82387,-0.08204,-0.08478,-0.03157,-0.01669,-2.3431,2.3039,0.8911,0,-0.26181,-0.22289,3.08813,8.29244,0.61344,-0.02536,0.05942,49.24556,33.71188
"24","2018_Q2",108.6771875,"Up",311639000,-77970000,233669000,-355135000,-268778000,-218036000,-50742000,-86357000,-121466000,979000,1114000,-135000,-120487000,-120487000,1988000,-118499000,-118499000,-118499000,-118499000,950147000,481826000,207913000,207913000,142617000,90072000,1300677000,155674000,584181000,82763000,749605000,2050282000,186159000,9898000,176261000,472313000,472313000,658472000,273270000,176076000,97194000,273270000,931742000,2195044000,-1074966000,-1538000,1118540000,1118540000,2050282000,-118499000,11416000,109994000,73576000,76487000,-2296000,-139591000,1113000,1113000.00000001,-779000,-255000,-63359000.0000001,-63359000.0000001,-64121000.0000001,-110050000,-1.49011611938477e-08,-40758000,0.74981,-0.38977,-0.38024,-0.10594,-0.0578,0.34395,1.9753,0.833,-3.46944695195361e-18,-0.8255,-0.8255,2.17097,7.7921,-0.28393,-0.08514,-0.02928,8.63378,7.82233
"25","2018_Q3",110.804920634921,"Up",388303000,-83748000,304555000,-408413000,-301674000,-243830000,-57844000,-106739000,-103858000,1170000,1506000,-336000,-102688000,-102688000,-811000,-103499000,-103499000,-103499000,-103499000,891583000,419681000,247827000,247827000,123256000,65837000,1262666000,156409000,722692000,113439000,888851000,2151517000,246736000,14470000,232266000,494610000,494610000,741346000,263335000,166976000,96359000,263335000,1004681000,2328031000,-1178465000,-2730000,1146836000,1146836000,2151517000,-103499000,12751000,121885000,2387000,33524000,-5562000,-119007000,24442000,24442000,0,23813000,-61670000,-61670000,-62145000,-91107000,0,-93471000,0.78432,-0.26747,-0.26654,-0.09025,-0.04811,0.90311,1.70321,0.87605,0,-0.71364,-0.71364,2.6774,7.90758,-0.64449,-0.07339,-0.06628,9.78611,8.58463
"26","2018_Q4",101.161904761905,"Down",480983000,-89225000,391758000,-441764000,-324042000,-264223000,-59819000,-117722000,-50006000,-3885000,-3699000,-186000,-53891000,-53891000,-1814000,-55705000,-55705000,-55705000,-55705000,2671498000,1868116000,303316000,303316000,133254000,69762000,3108068000,156502000,761357000,159231000,1031606000,4139674000,304809000,18669000,286140000,504587000,504587000,809396000,293466000,197992000,95474000,1908411000,2717807000,2660620000,-1234170000,-4583000,1421867000,1421867000,4139674000,-55705000,13779000,137270000,-36269000,59075000,-7319000,-441746000,341000.000000004,340999.999999996,-274275000,1831647000,1448976000,1448976000,1448435000,-36227000,1614945000,-78001000,0.81449,-0.10397,-0.11581,-0.03918,-0.01346,1.40025,3.83998,1.91144,0.39011,-0.38052,-0.38052,3.2856,9.7128,-0.53283,-0.01673,-0.02342,29.16479,21.12852
"27","2019_Q1",124.830983606557,"Up",622085000,-93733000,528352000,-504195000,-373044000,-303861000,-69183000,-131151000,24157000,-10282000,-9426000,-856000,13875000,13875000,-11749000,2126000,2126000,2126000,2126000,2757385000,1876165000,469658000,469658000,151420000,73197000,3378463000,158276000,852916000,257906000,1121780000,4500243000,372120000,20418000,351702000,673018000,673018000,1045138000,300174000,204929000,95245000,1934648000,2979786000,2755007000,-1232044000,-2506000,1520457000,1520457000,4500243000,2126000,14484000,169860000,-59102000,127368000,-7983000,-78934000,22399000,22399000,-65112000,-41780000,6654000,6654000,8049000,38641000,1634474000,-16695000,0.84932,0.03883,0.00342,0.0014,0.00047,-7.85278,3.23255,1.9598,0.3632,0.01438,0.01438,4.20729,10.28315,-0.11291,0.00062,-0.00483,-29.06009,-46.48388
"28","2019_Q2",127.025555555556,"Up",424850000,-95823000,329027000,-474013000,-344723000,-278961000,-65762000,-129290000,-144986000,-7210000,-6671000,-539000,-152196000,-152196000,-3233000,-155429000,-155429000,-155429000,-155429000,2675444000,1835229000,285300000,285300000,154078000,79102000,3114822000,89615000,1056148000,468263000,1291922000,4406744000,341836000,23407000,318429000,631732000,631732000,973568000,353671000,173999000,179672000,2007150000,2980718000,2809423000,-1380232000,-3165000,1426026000,1426026000,4406744000,-155429000,13415000,169221000,7822000.00000003,35029000,-14900000,-6275000.00000006,360000.000000007,359999.999999996,-69007000,-68647000,-39893000,-39893000,-40936000,-131571000,1653479000,-135416000,0.77445,-0.34126,-0.36584,-0.10899,-0.03527,0.871240000000001,3.19939,2.09023,0.37522,-1.04273,-1.04273,2.85019,9.56679,-0.90847,-0.04527,-0.03944,7.76740000000001,7.04872
"29","2019_Q3",124.87515625,"Down",516558000,-98308000,418250000,-505147000,-371037000,-298773000,-72264000,-134110000,-86897000,-8343000,-7689000,-654000,-95240000,-95240000,-5632000,-100872000,-100872000,-100872000,-100872000,2575869000,1672005000,408908000,408908000,160649000,83033000,3145426000,94869000,1153266000,572461000,1342144000,4487570000,381845000,25924000,355921000,645370000,645370000,1027215000,352946000,160888000,192058000,2026515000,3053730000,2918428000,-1481104000,-3484000,1433840000,1433840000,4487570000,-100872000,13726000,164003000,-205828000,-128971000,-11534000,-19537000,34678000,34678000,-48686000,-14008000,-162516000,-162516000,-163224000,-73171000,1673569000,-284901000,0.80969,-0.16822,-0.19528,-0.07035,-0.02248,2.82438,3.06209,2.12976,0.37293,-0.67075,-0.67075,3.43488,9.5344,-1.89446,-0.02915,-0.08233,12.33139,10.38356
