"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","interest_dividends_payable","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","dividends_per_share","return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2018_Q3",20.914126984127,"Up",34676000,-8428000,-3204000,-5224000,21462000,-4648000,-4878000,230000,16814000,27693000,-67000,27626000,27626000,-182000,27444000,27444000,88371000,88371000,88371000,984811000,1590218000,-605407000,49692000,49692000,1034503000,1122874000,17278000,17278000,13407000,13407000,30685000,516449000,516449000,547134000,510241000,45418000,12185000,567844000,575740000,1122874000,27626000,5224000,-9501000,-4112000,19237000,-72000,-1297000,-16854000,34609000,34609000,-112000,17643000,35583000,35583000,35583000,26686000,516449000,0.61893,0.79144,0.04767,0.02444,2.87994,0.95031,0.45993,0.44443,0.44328,0.56154,9.19563,0.27293,0.04056,0.61412,16.0413,19.94586
"12","2018_Q4",21.6501587301587,"Up",36121000,-8968000,-3225000,-5743000,22439000,-4770000,-4934000,164000,17669000,17669000,-64000,17605000,17605000,-111000,17494000,17494000,26890000,26890000,26890000,1153027000,1763862000,-610835000,56261000,43712000,1209288000,1236178000,18519000,18519000,15677000,15677000,34196000,516904000,516904000,551100000,620223000,44393000,12566000,677182000,685078000,1236178000,17605000,5743000,1222000,258000,24828000,36000,-178247000,-17278000,12696000,12696000,-114000,91660000,-61759000,-61759000,-61759000,28182000,516904000,0.62122,0.48432,0.02554,0.01415,0.78635,0.80443,0.41815,0.26771,0.26677,0.55275,10.36273,0.2644,0.02893,0.98765,17.38748,21.8376
"13","2019_Q1",22.884262295082,"Up",38035000,-11113000,-3108000,-7572000,22278000,-5263000,-5292000,29000,17015000,21407000,-73000,21334000,21334000,-129000,21205000,21205000,92041000,92041000,92041000,1190697000,1805281000,-614584000,60360000,41362000,1251057000,1343098000,19580000,19580000,8662000,8662000,28242000,615892000,615892000,644134000,639123000,46018000,5956000,691097000,698964000,1343098000,21334000,7572000,-2766000,-11072000,15068000,167000,-46402000,-18519000,18228000,18228000,-1992000,97686000,66352000,66352000,66352000,29850000,615892000,0.58572,0.55751,0.03034,0.01579,3.25901,0.92156,0.45856,0.31288,0.30888,0.5612,10.19708,0.27325,0.03021,0.87333,17.54945,23.51427
"14","2019_Q2",23.8865079365079,"Up",39601000,-10615000,-3946000,-6361000,24003000,-6334000,-6747000,413000,17669000,17669000,-68000,17601000,17601000,-98000,17503000,17503000,81013000,81013000,81013000,1201355000,1819613000,-618258000,67189000,44725000,1268544000,1349557000,19626000,19626000,24309000,24309000,43935000,616404000,616404000,660339000,637124000,43895000,2341000,683360000,689218000,1349557000,17601000,6361000,1727000,7220000,32909000,86000,-20259000,-19580000,660000,660000,-5959000,-24879000,-12229000,-12229000,-12229000,30364000,616404000,0.60612,0.44198,0.0254,0.01297,1.84393,0.9581,0.45675,0.25663,0.25569,0.58063,10.01951,0.28708,0.0284,1.11867,17.63243,22.30517
"15","2019_Q3",23.51703125,"Down",39568000,-10366000,-3431000,-6518000,24248000,-6251000,-6557000,306000,17997000,17997000,-61000,17936000,17936000,-68000,17868000,17868000,39289000,39289000,39289000,1235445000,1859500000,-624055000,70237000,43984000,1305682000,1344971000,19641000,19641000,25743000,25743000,45384000,616916000,616916000,662300000,638995000,42122000,-4149000,676968000,682671000,1344971000,17936000,6518000,1289000,-4606000,21137000,119000,-44134000,-19626000,992000,992000,-93000,-18727000,-41724000,-41724000,-41724000,30766000,616916000,0.61282,0.45158,0.02617,0.01329,0.8657,0.97016,0.45868,0.2616,0.26085,0.5793,9.91126,0.28734,0.02885,1.09839,18.77485,23.82163
"16","2019_Q4",23.82609375,"Up",40183000,-10388000,-3389000,-6653000,24990000,-6512000,-6665000,153000,18478000,18478000,-69000,18409000,18409000,-78000,18331000,18331000,29789000,29789000,29789000,1235582000,1865458000,-629876000,82409000,46421000,1317991000,1347780000,19641000,19641000,32200000,32200000,51841000,617428000,617428000,669269000,639797000,40812000,-7780000,672829000,678511000,1347780000,18409000,6653000,1364000,824000,27250000,-487000,-17025000,-19641000,-1.86264514923096e-09,-1.86264514923096e-09,-84000.0000000005,-19725000,-9500000,-9500000,-9500000,31643000,617428000,0.6219,0.45619,0.02702,0.0136,0.57462,0.98638,0.45811,0.26832,0.26748,0.58819,9.84869,0.2875,0.0293,1.07146,18.5709,23.51497
"17","2020_Q1",23.2854838709677,"Down",40881000,-10456000,-3168000,-6780000,25535000,-6475000,-6547000,72000,19060000,19060000,-67000,18993000,18993000,-79000,18914000,18914000,5083000,5083000,5083000,1332104000,1967734000,-635630000,108883000,49515000,1440987000,1446070000,21325000,21325000,28064000,28064000,49389000,669940000,669940000,719329000,686188000,38401000,-3539000,721050000,726741000,1446070000,18993000,6780000,1430000,-3826000,23377000,-1917000,-125935000,-19641000,45581000,45581000,-88000,77852000,-24706000,-24706000,-24706000,32315000,669940000,0.62462,0.46266,0.02603,0.01308,0.10292,0.9898,0.46328,0.27451,0.27395,0.59333,10.46504,0.28506,0.0276,1.03844,20.57425,26.03709
"18","2020_Q2",18.7963492063492,"Down",42429000,-11531000,-3842000,-7054000,26396000,-6999000,-7003000,4000,19397000,19397000,-61000,19336000,19336000,-71000,19265000,19265000,90491000,90491000,90491000,1358871000,2000268000,-641397000,113865000,51292000,1472736000,1563227000,21417000,21417000,43379000,43379000,64796000,796452000,796452000,861248000,689608000,36246000,-27803000,698051000,701979000,1563227000,19336000,7054000,1528000,-10803000,17115000,-37223000,-37223000,-21328000,4288000,4288000,-3444000,105516000,85408000,85408000,85408000,33450000,796452000,0.62212,0.45405,0.02744,0.01232,1.39655,1.22689,0.50949,0.27501,0.2742,0.60567,9.96464,0.30446,0.02709,1.10709,21.10496,26.745
"19","2020_Q3",21.94421875,"Up",40929000,-11878000,-3718000,-7094000,25741000,-7157000,-7319000,162000,18584000,18584000,-64000,18520000,18520000,-54000,18466000,18466000,5098000,5098000,5098000,1382040000,2029163000,-647123000,125017000,58619000,1507057000,1512155000,21420000,21420000,46007000,46007000,67427000,747296000,747296000,814723000,690396000,33292000,-30168000,693520000,697432000,1512155000,18520000,7094000,1533000,-7594000,19553000,-33767000,-33767000,-21417000,0,0,-1262000,-71179000,-85393000,-85393000,-85393000,32835000,747296000,0.62892,0.45117,0.02648,0.01221,0.07561,1.16818,0.49419,0.26297,0.2626,0.58285,9.87608,0.30499,0.02761,1.15981,22.60387,28.8333
"20","2020_Q4",25.15015625,"Up",42969000,-23902000,-3743000,-7522000,26879000,-7408000,-7410000,2000,19471000,19471000,-67000,19404000,19404000,-55000,19349000,19349000,17735000,17735000,17735000,1418315000,2071164000,-652849000,137575000,58116000,1555890000,1573625000,22163000,22163000,49976000,49976000,72139000,743335000,743335000,815474000,752575000,30477000,-28811000,754241000,758151000,1573625000,19404000,7522000,1823000,-21000,28728000,-51416000,-51416000,-21421000,61311000,61311000,-65000,35325000,12637000,12637000,12637000,34401000,743335000,0.62554,0.4503,0.02552,0.0123,0.24584,1.07561,0.47237,0.27246,0.271,0.60507,10.62085,0.30164,0.02715,1.10709,21.09241,26.99505
"21","2021_Q1",25.0154098360656,"Down",44617000,-676000,-7251000,-7763000,27859000,-7497000,-7499000,2000,20362000,20362000,-55000,20307000,20307000,-55000,20252000,20252000,11064000,11064000,11064000,1497522000,2155143000,-657621000,159593000,62540000,1657115000,1668179000,24058000,24058000,45742000,45742000,69800000,753878000,753878000,823678000,840463000,26672000,-25695000,841440000,844501000,1668179000,20307000,7763000,-6668000,4660000,26062000,123866000,-106667000,-22162000,86147000,86147000,-51000,73934000,-6671000,-6671000,-6671000,35622000,753878000,0.6244,0.45391,0.02398,0.01214,0.15851,0.97534,0.45192,0.27383,0.27198,0.60327,11.37708,0.29965,0.02654,1.09431,20.85268,26.66334
"22","2021_Q2",25.9503174603175,"Up",46746000,-18860000,-4763000,-8236000,27886000,-7632000,-7633000,1000,20254000,20685000,-63000,20622000,20622000,-43000,20579000,20579000,11483000,11483000,15475000,1520800000,2181211000,-660411000,161002000,62400000,1681802000,1697277000,24147000,24147000,42835000,42835000,66982000,778394000,778394000,845376000,843466000,23071000,-17706000,848831000,851901000,1697277000,20622000,8236000,1989000,1002000,31849000,-32893000,-32893000,-24091000,4659000,4659000,-3105000,1463000,418999.999999993,418999.999999993,418999.999999993,36122000,778394000,0.59654,0.44023,0.02416,0.01212,0.23103,0.99234,0.45861,0.27088,0.27031,0.61532,11.17326,0.31711,0.0274,1.17066,21.23113,27.50165
"23","2021_Q3",25.99484375,"Up",49272000,-20644000,-4465000,-8388000,28628000,-8377000,-8384000,7000,20251000,20251000,-71000,20180000,20180000,-42000,20138000,20138000,27096000,27096000,27096000,1563850000,2233494000,-669644000,162344000,63970000,1726194000,1753290000,24157000,24157000,39104000,39104000,63261000,840706000,840706000,903967000,844342000,19052000,-17134000,846260000,849323000,1753290000,20180000,8388000,2314000,-3853000,27029000,-48641000,-48641000,-24147000,0,0,-4628000,37225000,15613000,15613000,15613000,37016000,840706000,0.58102,0.40871,0.02371,0.01149,0.42832,1.06434,0.4795,0.26508,0.26452,0.64857,11.13941,0.31785,0.0262,1.19908,21.97995,28.42008
"24","2021_Q4",26.68328125,"Up",50706000,-21092000,-4262000,-8831000,29614000,-8309000,-8311000,2000,21305000,21305000,-97000,21208000,21208000,-44000,21164000,21164000,7809000,7809000,7809000,1661436000,2337263000,-675827000,168865000,64799000,1830301000,1838110000,24508000,24508000,42395000,42395000,66903000,894154000,894154000,961057000,873182000,15708000,-14052000,874838000,877053000,1838110000,21208000,8831000,-3926000,9056000,35169000,-110376000,-110376000,-24157000,27140000,27140000,-63000,55920000,-19287000,-19287000,-19287000,38445000,894154000,0.58403,0.41739,0.02413,0.01151,0.11672,1.09578,0.48645,0.27813,0.27766,0.66636,11.49679,0.31746,0.02559,1.14142,23.05488,29.92993
"25","2022_Q1",25.5441935483871,"Down",52654000,3080000,-9200000,-9371000,31171000,-8201000,-8227000,26000,22970000,22970000,765000,23735000,23735000,-35000,23700000,23700000,6300000,6300000,6300000,1721975000,2404405000,-682430000,174705000,66999000,1896680000,1902980000,26655000,26655000,18828000,11311000,45483000,877591000,893605000,939088000,958745000,12753000,-9824000,961674000,963892000,1902980000,23735000,9371000,-820000,-3917000,28369000,192039000,-73007000,-24508000,84707000,84707000,-70000,43129000,-1509000,-1509000,-1509000,40542000,877591000,0.592,0.45011,0.02459,0.01245,0.13851,0.97427,0.46117,0.30892,0.30869,0.68631,12.53484,0.31945,0.02595,1.03409,21.49107,27.95197
"26","2022_Q2",26.1835483870968,"Up",54397000,-23705000,-5269000,-9704000,30692000,-8318000,-8375000,57000,22374000,22374000,-88000.0000000001,22286000,22286000,-31000,22255000,22255000,58109000,58109000,58109000,1754537000,2443735000,-689198000,185663000,68809000,1940200000,1998309000,26668000,26668000,30237000,30237000,56905000,966024000,966024000,1022929000,959245000,8340000,5563000,973148000,975380000,1998309000,22286000,9704000,2498000,320000.000000002,34808000,-43271000,-43271000,-26655000,102793488.06741,102793488.06741,-2073000,60272000,51809000,51809000,51809000,40396000,966024000,0.56422,0.40912,0.02282,0.01114,1.02116,1.04875,0.48342,0.29187,0.29145,0.7134,12.76249,0.34957,0.02519,1.19771,22.47537,29.58149
"27","2022_Q3",26.7265625,"Up",55425000,-23865000,-4698000,-10128000,31560000,-9002000,-9031000,29000,22558000,28314000,-144000,28170000,28170000,-40000,28130000,28130000,17714000,17714000,17714000,1791528000,2485383000,-693855000,201475000,75803000,1993003000,2010717000,26730000,26730000,25946000,25946000,52676000,966493000,966493000,1019169000,964615000,9740000,14945000,989300000,991548000,2010717000,28170000,10128000,-3639000,-4276000,30383000,-44481000,-44481000,-26669000,4353999.99999997,4353999.99999997,-82000,-22397000,-36495000,-36495000,-36495000,41688000,966493000,0.56942,0.50753,0.02837,0.01399,0.33628,1.02786,0.48067,0.35033,0.34947,0.69027,12.32085,0.33214,0.02799,0.94806,22.75904,30.06271
