"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","income_loss_from_affiliates","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","intangible_assets","investments_in_affiliates","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accrued_taxes","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","dividends_per_share","return_on_invested_capital","dividend_payout_ratio","net_debt_ebit"
"11","2012_Q4",3.25193548387097,"Up",272783000,-203749000,69034000,-25841000,-25841000,43193000,-12691000,-25906000,12874000,341000,30502000,732000,31234000,-13302000,17932000,17932000,17932000,17932000,217256000,217256000,11567000,11567000,106439000,111921000,71218000,447183000,56909000,35694000,345855000,107511000,123877000,52649000,438458000,885641000,39684000,6730000,15628000,148884000,119628000,204196000,515015000,269378000,45097000,81187000,143094000,784393000,988589000,8701000,-88373000,-10419000,-102948000,-102948000,885641000,39416000,-860000,3831000,10795000,13766000,-34280000,-10533000,44000,-44674000,8508000,8508000,8508000,530643000,0.25307,0.15834,0.06574,-0.17419,0.02025,2.18997,-9.6028,0.59916,0.1494,0.14873,2.27272,-0.85772,0.28561,0.0749,1.91167,7.2555
"12","2013_Q1",3.27216666666667,"Up",288550000,-216646000,71904000,-34538000,-34538000,37366000,-22317000,-31435000,8795000,323000,15049000,13488000,28537000,-12052000,16485000,16485000,16485000,16485000,405855000,405855000,11247000,11247000,100392000,121562000,78174000,639056000,57153000,36094000,354428000,0,119219000,173197000,447675000,1086731000,79751000,6269000,36778000,78630000,51331000,195159000,586946000,383878000,45860000,109532000,228486000,970824000,1165983000,8989000,-65116000,-10268000,-79252000,-79252000,1086731000,18533000,-2971000,-6139000,-23068000,-32178000,-36722000,249515000,-11160000,202244000,188599000,188599000,188599000,623724000,0.24919,0.1295,0.05713,-0.20801,0.01517,3.27454,-14.71235,0.57395,0.13498,0.13541,2.36274,-0.64894,0.30069,0.05731,2.2276,5.83067
"13","2013_Q2",3.4359375,"Up",246169000,-177177000,68992000,-25896000,-25896000,43096000,-32086000,-33376000,481000,809000,11010000,-13026000,-2016000,335000,-1681000,-1681000,-1681000,-1681000,351902000,351902000,10416000,10416000,98502000,141980000,90884000,602800000,58181000,23734000,382054000,107511000,142336000,67696000,463969000,1066769000,54486000,6330000,17624000,108455000,77261000,180565000,627996000,366503000,46019000,110983000,209501000,994499000,1175064000,8989000,-101977000,-4354000,-110199000,-108295000,1066769000,-9917000,-3557000,1582000,-9032000,-11007000,-35749000,14167000,-11447000,-33029000,-53953000,-53953000,-53953000,645620000,0.28026,0.17507,-0.00683,0.01552,-0.00158,3.33841,-10.85058,0.60521,-0.01376,-0.01376,2.015,-0.90203,0.29262,0.03769,-21.26651,6.81544
"14","2013_Q3",3.64890625,"Up",256226000,-186445000,69781000,-25541000,-25541000,44240000,-23811000,-32086000,6804000,1471000,20429000,3099000.00000001,23528000,-10017000,13511000,13511000,13511000,13511000,281713000,281713000,12495000,12495000,96761000,189250000,140602000,580219000,58067000,27963000,403294000,107511000,166078000,61778000,489324000,1069543000,56391000,6423000,33906000,105076000,73046000,195373000,638352000,365320000,46377000,112444000,206499000,1003672000,1199045000,8994000,-123554000,-3232000,-130649000,-129502000,1069543000,15107000,-2425000,-53760000,-10811000,-66996000,-35769000,17685000,-216000,-18300000,-70189000,-70189000,-70189000,672258000,0.27234,0.17266,0.05273,-0.10433,0.01263,2.9698,-9.25889,0.62855,0.11059,0.11033,2.09723,-1.06937,0.29277,0.05427,2.6474,8.82787
"15","2013_Q4",3.8509375,"Up",277941000,-200835000,77106000,-26478000,-26478000,50628000,-21223000,-33583000,9489000,2871000,29405000,-85265000,-55860000,18969000,-36891000,-36891000,-36891000,-36891000,260461000,260461000,11931000,11931000,95006000,219079000,155363000,586477000,58035000,29665000,446778000,107511000,199624000,60040000,534478000,1120955000,45787000,5739000,23911000,200082000,163254000,269780000,647178000,396573000,46511000,120949000,229113000,1043751000,1313531000,9448000,-195444000,5123000,-193730000,-192576000,1120955000,50054000,-2693000,-7278000,-15234000,-25205000,-35784000,-10791000,-54000,-46101000,-21252000,-21252000,-21252000,671089000,0.27742,0.18215,-0.13273,0.19157,-0.03291,2.17391,-6.82084,0.59868,-0.3018,-0.30252,2.27378,-1.58487,0.29274,-0.00127,-0.96999,8.11069
"16","2014_Q1",4.57229508196721,"Up",299585000,-202574000,97011000,-35683000,-35683000,61328000,-27529000,-33102000,6151000,-578000,33799000,61269000,95068000,-32959000,62109000,62109000,62361000,62361000,234466000,234466000,12159000,12159000,93496000,248190000,197711000,588311000,100169000,29383000,546398000,275108000,128202000,65534000,675950000,1264261000,7362000,6423000,151577000,246171000,200437000,405110000,540766000,339994000,47917000,137650000,154427000,880760000,1285870000,9748000,-114787000,22860000,-95036000,-21609000,1264261000,825000,-4552000,6996000,72385000,7213000,-37409000,15119000,-11759000,-34033000,-25995000,-25995000,-25995000,692343000,0.32382,0.20471,0.20816,-2.88588,0.04933,1.45223,-59.50622,0.54763,0.50319,0.49807,2.41733,-0.76684,0.30185,0.09871,0.59988,7.46604
"17","2014_Q2",5.09460317460317,"Up",347236000,-239037000,108199000,-63977000,-63977000,44222000,-31775000,-35453000,1552000,2126000,12447000,-5976000,6471000,-2942000,3529000,3529000,2580000,2580000,381476000,381476000,13181000,13181000,110030000,262191000,211607000,766878000,81090000,34621000,576656000,161063000,150966000,178740000,692367000,1459245000,68792000,3145000,132791000,142832000,92378000,344415000,690826000,436579000,48232000,151986000,236361000,1127405000,1471820000,9972000,-112234000,28168000,-86951000,-12575000,1459245000,-39084000,-6424000,-2754000,-997000,-10175000,-40865000,243615000,-7866000,196269000,147010000,147010000,147010000,823617000,0.3116,0.12735,0.00743,-0.205169999999999,0.00176999999999999,2.22661,-117.04334,0.56441,0.02035,0.02032,2.73904,-0.68588,0.32235,0.03482,15.83915,9.99821
"18","2014_Q3",5.561875,"Up",406613000,-279282000,127331000,-67023000,-67023000,60308000,-42416000,-44183000,-1808000,3575000,17892000,1240000,19132000,-6101000,13031000,13031000,7925000.00000001,7925000.00000001,506423000,506423000,15753000,15753000,108257000,309887000,268854000,940320000,80332000,45081000,576929000,161736000,144298000,178520000,702342000,1642662000,81050000,3156000,141808000,157454000,106021000,380312000,853669000,439794000,48564000,153481000,237749000,1293463000,1673775000,10043000,-134385000,29679000,-107520000,-31113000,1642662000,93079000,-3716000,-64820000,-8081000,-76867000,-40098000,153702000,-6889000,108735000,124947000,124947000,124947000,995477000,0.31315,0.14832,0.01949,-0.25472,0.00482,2.4725,-53.79664,0.60601,0.06112,0.06105,3.13578,-0.82919,0.30923,0.0342,5.05968,8.10927
"19","2014_Q4",5.754375,"Up",419876000,-287236000,132640000,-69431000,-69431000,63209000,-38310000,-44034000,3258000,2466000,24899000,6770000,31669000,-11964000,19705000,19705000,14879000,14879000,380416000,380416000,13607000,13607000,100874000,411241000,370889000,906138000,86622000,46216000,604407000,268141000,164924000,72861000,737245000,1643383000,53550000,3174000,101158000,189912000,132149000,344620000,857107000,449523000,48608000,165726000,235189000,1306630000,1651250000,10912000,-126739000,38694000,-89990000,-7867000,1643383000,46049000,-10602000,-82543000,-15620000,-108765000,-41088000,-21676000,-1529000,-63291000,-126007000,-126007000,-126007000,958265000,0.3159,0.15054,0.03544,-1.89132,0.00905,2.62938,-209.89577,0.58311,0.11295,0.11283,3.18741,-0.68314,0.31191,0.03998,2.76148,9.14188
"20","2015_Q1",6.08459016393443,"Up",417590000,-291505000,126085000,-78911000,-78911000,47174000,-35954000,-37321000,138000.000000001,1229000,11220000,13787000,25007000,-12158000,12849000,12849000,11472000,11472000,326365000,326365000,23328000,23328000,90323000,311381000,308099000,751397000,94755000,52723000,524379000,269972000,163460000,65915000,671857000,1423254000,2674000,1743000,52640000,157110000,157110000,212424000,860711000,370799000,49314000,95904000,225581000,1231510000,1443934000,11450000,-97009000,-1343000,-99759000,-20680000,1423254000,7332000,-2658000,-7804000,-13665000,-24627000,-45277000,13014000,-5237000,-36756000,-54051000,-54051000,-54051000,913351000,0.30193,0.11297,0.02747,-0.55474,0.00806,3.53725,-69.82273,0.64173,0.08356,0.08363,3.04158,-0.72661,0.32978,0.04492,3.94674,12.443
"21","2015_Q2",6.22984126984127,"Up",360760000,-242018000,118742000,-74181000,-74181000,44561000,-29471000,-31746000,338000,1937000,15090000,19258000,34348000,-12867000,21481000,21481000,21221000,21221000,270572000,270572000,18092000,18092000,99058000,433279000,398421000,821001000,92885000,45159000,591878000,268521000,170780000,77149000,729922000,1550923000,2684000,1753000,20864000,220150000,161551000,243698000,868133000,412746000,49504000,147132000,216110000,1280879000,1524577000,11680000,-88421000,36539000,-53059000,26346000,1550923000,7828000,-3153000,5720000,-15355000,-12788000,-46350000,-4981000,-310999.999999999,-50833000,-55793000,-55793000,-55793000,888997000,0.32914,0.12352,0.05882,0.80547,0.01368,3.36893,57.8674900000001,0.57321,0.14923,0.14897,2.53694,-0.37312,0.32594,0.05088,2.18416,13.87817
"22","2015_Q3",6.891875,"Up",416173000,-279204000,136969000,-79916000,-79916000,57053000,-31829000,-31761000,-1889000,1821000,25224000,5398000,30622000,-11178000,19444000,19444000,17607000,17607000,238323000,238323000,18022000,18022000,98576000,390137000,390137000,745058000,102491000,46219000,569075000,2.67e+08,199026000,76414000,717785000,1462843000,4654000,3723000,6074000,219948000,191626000,230676000,872999000,360834000,49705000,98180000,212949000,1233833000,1464509000,11683000,-115570000,33758000,-82986000,-1666000,1462843000,76057000,-2223000,-11035000,-32964000,-46222000,-46428000,-16136000,70000,-62084000,-32249000,-32249000,-32249000,879073000,0.32912,0.13709,0.04231,-10.56843,0.01204,3.22989,-879.05702,0.60093,0.1228,0.12259,2.9027,-0.57881,0.32382,0.05171,2.63691,11.23079
"23","2015_Q4",7.26015625,"Up",449934000,-295917000,154017000,-79352000,-79352000,74665000,-32659000,-32898000,-1103000,1342000,42006000,-12202000,29804000,-13694000,16110000,16110000,12466000,12466000,246347000,246347000,20112000,20112000,90695000,329034000,329034000,686188000,99330000,53648000,559635000,265480000,194052000,72663000,712613000,1398801000,1117000,186000,7957000,219716000,212395000,228790000,879690000,347148000,49913000,96497000,200738000,1226838000,1455628000,12259000,-163914000,9868000,-141787000,-56827000,1398801000,56133000,-2480000,-8329000,7737000,-3072000,-46652000,1704000,-191000,-45037000,8024000,8024000,8024000,887647000,0.34231,0.16595,0.02771,-0.21937,0.00891,2.9992,-25.61508,0.63458,0.0869,0.0868,3.13635,-0.98835,0.3252,0.05019,3.74234,8.58903
"24","2016_Q1",7.0283606557377,"Down",430330000,-292588000,137742000,-86772000,-86772000,50970000,-23004000,-24286000,-27000,1309000,27966000,-15035000,12931000,-3494000,9437000,9437000,7904000,7904000,240368000,240368000,23889000,23889000,86516000,232966000,230125000,583739000,98950000,217168000,380758000,263959000,62726000,33423000,696876000,1280615000,1011000,96000,8919000,206362000,206362000,216292000,856108000,330376000,55055000,79429000,195892000,1186484000,1402776000,12379000,-210113000,-8313000,-206047000,-122161000,1280615000,4461000,-3117000,64004000,-21168000,39719000,-48721000,280000,-1838000,-50159000,-5979000,-5979000,-5979000,865027000,0.32008,0.11844,0.01837,-0.0647,0.00617,2.69885,-11.48301,0.67548,0.05507,0.05527,2.99842,-1.43568,0.33947,0.05276,6.16409,12.25542
"25","2016_Q2",6.753125,"Down",380800000,-236422000,144378000,-79828000,-79828000,64550000,-31344000,-30720000,-1671000,1047000,33206000,2550000,35756000,-14363000,21393000,21393000,19338000,19338000,209048000,209048000,20449000,20449000,92451000,204697000,200076000,526645000,96974000,59488000,545682000,263413000,225033000,36260000,702144000,1228789000,914000,0,25927000,164476000,164476000,191317000,864554000,326778000,55171000,85069000,186538000,1191332000,1382649000,12379000,-238180000,-8270000,-234071000,-153860000,1228789000,-4936000,-3915000,24574000,-8862000,11797000,-48876000,16425000,-5730000,-38181000,-31320000,-31320000,-31320000,890481000,0.37914,0.16951,0.05078,-0.12569,0.01574,2.75273,-8.98641,0.72468,0.13476,0.13454,2.65363,-1.63114,0.3406,0.06415,2.52746,10.55667
"26","2016_Q3",7.13859375,"Up",438273000,-283631000,154642000,-83922000,-83922000,70720000,-34699000,-36369000,1089000,581000,36021000,10319000,46340000,-19003000,27337000,27337000,24015000,24015000,474738000,474738000,25076000,25076000,92735000,210672000,210454000,803221000,95232000,206139000,374908000,262866000,59369000,31371000,676279000,1479500000,914000,0,16615000,200874000,200874000,218403000,1110731000,325802000,55308000,87914000,182580000,1436533000,1654936000,12384000,-261370000,-8539000,-257525000,-175436000,1479500000,83761000,-3695000,-8094000,17320000,5531000,-48970000,233412000,-8044000,176398000,265690000,265690000,265690000,1127346000,0.35284,0.16136,0.05479,-0.13689,0.01623,3.6777,-9.43327,0.76198,0.16734,0.16701,3.05396,-1.79448,0.34123,0.05712,2.03914,9.22805
"27","2016_Q4",7.23380952380952,"Up",459104000,-303442000,155662000,-86298000,-86298000,69364000,-37563000,-37365000,-1526000,1328000,31801000,7222000,39023000,-13316000,25707000,25707000,23175000,23175000,445874000,445874000,23371000,23371000,87622000,226858000,219571000,783725000,101517000,211825000,367663000,261919000,54005000,30111000,681005000,1464730000,914000,-5.82076609134674e-11,16280000,200163000,200163000,217357000,1121433000,324537000,55451000,89557000,179529000,1445970000,1663327000,12784000,-287060000,-6856000,-281132000,-198597000,1464730000,42618000,-11502000,-12346000,3799000,-20049000,-49424000,-733000,-1674000,-51433000,-28864000,-28864000,-28864000,1137713000,0.33906,0.15109,0.05048,-0.11669,0.01582,3.6057,-8.37539,0.77674,0.16136,0.16109,3.19661,-1.95744,0.34412,0.05745,2.13264,9.97404
"28","2017_Q1",7.62209677419355,"Up",412772000,-273849000,138923000,-90519000,-90519000,48404000,-37398000,-38528000,-646000,1776000,11006000,-5696000,5310000,-2481000,2829000,2829000,4599000,4599000,393530000,393530000,18801000,18801000,89834000,203298000,187188000,705463000,104088000,221258000,373226000,261918000,53197000,35838000,698572000,1404035000,937000,0,39508000,155703000,155703000,196148000,1132943000,328216000,58958000,93085000,176173000,1461159000,1657307000,12774000,-333529000,-11245000,-3.32e+08,-253272000,1404035000,-23807000,-7534000,19016000,-9053000,2179000,-51677000,22831000,-1870000,-30716000,-52344000,-52344000,-52344000,1172451000,0.33656,0.11727,0.01114,-0.01816,0.00328,3.59659,-6.54359,0.83506,0.03201,0.03194,2.87254,-2.31044,0.35963,0.04511,11.23657,16.09208
"29","2017_Q2",7.6047619047619,"Down",415208000,-275923000,139285000,-84279000,-84279000,55006000,-46002000,-46221000,-1061000,1280000,9004000,-16011000,-7007000,2782000,-4225000,-4225000,-4227000,-4227000,356687000,356687000,14490000,14490000,86961000,202314000,182972000,660452000,103985000,227249000,395386000,261553000,73796000,37460000,726620000,1387072000,937000,6711352.84025323,10996000,179155000,179155000,191088000,1143771000,316483000,59168000,92859000,164456000,1460254000,1651342000,12943000,-344854000,-11121000,-343032000,-264270000,1387072000,27896000,-4586000,-15950000,-881000,-21417000,-52358000,-14046000,-19200000,-42374000,-35895000,-35895000,-35895000,1154767000,0.33546,0.13248,-0.01018,0.016,-0.00305,3.45627,-6.24869,0.83252,-0.02908,-0.02908,2.85639,-2.35986,0.36019,0.03988,-12.38656,14.50896
"30","2017_Q3",7.64587301587302,"Up",471989000,-314894000,157095000,-82693000,-82693000,74402000,-47352000,-46691000,-1459000,798000,27050000,23323000,50373000,-18827000,31546000,31546000,26811000,26811000,410409000,410409000,25479000,25479000,87979000,192656000,184478000,716523000,104669000,201356000,397738000,261189000,75171000,38496000,703763000,1420286000,937000,14079827.620675,20941000,219235000,219235000,241113000,1158877000,304817000,59384000,85176000,160257000,1463694000,1704807000,12893000,-368140000,-12606000,-367853000,-284521000,1420286000,89715000,-3685000,-2296000,15956000,9974999.99999999,-52392000,9421000,-165000,-43136000,56554000,56554000,56554000,1179818000,0.33284,0.15764,0.0568,-0.09423,0.01888,2.97173,-5.99185,0.83069,0.18355,0.18303,3.23126,-2.51834,0.35868,0.066,1.95412,10.34124
"31","2017_Q4",8.34873015873016,"Up",484625000,-338116000,146509000,-82682000,-82682000,63827000,-42163000,-43234000,-303000,1374000,21664000,5286000,26950000,-6472000,20478000,20478000,19264000,19264000,396060000,396060000,18055000,18055000,84587000,201230000,201230000,699932000,107336000,210089000,392547000,268179000,74476000,26706000,709972000,1409904000,13100000,12163000,8432000,246670000,246670000,268202000,1175910000,283966000,59600000,71783000,152583000,1459876000,1728078000,13518000,-404276000,-11962000,-402720000,-318174000,1409904000,88832000,-6912000,-7930000,-12919000,-34330000,-53675000,-13303000,-1.86264514923096e-09,-66978000,-12476000,-12476000,-12476000,1184342000,0.30231,0.1317,0.03975,-0.06055,0.01366,2.60972,-5.43124,0.84002,0.13171,0.13159,3.31342,-2.75343,0.36698,0.06342,2.78629,12.35029
