"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2014_Q2",7.54079365079365,"Down",976000,-9492000,-3385000,-6107000,-9079000,-219000,-219000,-9298000,-10093000,-10093000,-10093000,-10093000,-10093000,29949000,29949000,657000,626000,626000,31232000,2359000,57024000,248000,59383000,90615000,2638000,1174000,1464000,5251000,15897000,106000,26214000,31465000,102104000,-42954000,59150000,59150000,90615000,-10093000,774000,2210000,-2015000,-9124000,-94000,-94000,-94000,46992556.864232,46992392.5289881,7500000,-1718000,-1718000,-1718000,-8305000,12003000,-9.30225,-10.34119,-0.17063,-0.11138,5.94782,0.53195,0.13246,-0.43786,-0.43786,0.04234,2.56605,-0.11594,2.16087,1.97665
"12","2014_Q3",5.37015625,"Down",775000,-7670000,-2361000,-5309000,-7405000,-463000,-463000,-7868000,-8454000,-8454000,-8454000,-8454000,-8454000,50155000,50155000,576000,705000,705000,51436000,2349000,56535000,345000,58884000,110320000,3351000,1267000,2084000,6910000,15944000,105000,25386000,32296000,129432000,-51408000,78024000,78024000,110320000,-8454000,793000,749000,524000,-6388000,-104000,-104000,-104000,26698000,26698000,26698000,20206000,20206000,20206000,-6612000,12050000,-9.55484000000001,-10.90839,-0.10835,-0.07663,7.4437,0.41392,0.10923,-0.33361,-0.33361,0.03058,3.07896,-0.07974,5.76301,5.14585
"13","2014_Q4",5.06609375,"Down",1276000,-7503000,-1854000,-5649000,-6754000,-474000,-474000,-7228000,-7605000,-7605000,-7605000,-7605000,-7605000,44269000,44269000,986000,586000,586000,45841000,2360000,55928000,324000,58288000,104129000,4074000,1489000,2585000,8704000,15989000,102000,24435000,33139000,130003000,-59013000,70990000,70990000,104129000,-7605000,805000,749000,455000,-5596000,-235000,-235000,-235000,-55000,-55000,-55000,-5886000,-5886000,-5886000,-5949000,12101000,-5.2931,-5.96003,-0.10713,-0.07303,5.26666,0.46681,0.11621,-0.26653,-0.26653,0.04472,2.488,-0.07676,5.4073,4.76281
"14","2015_Q1",11.5693442622951,"Up",798000,-9514000,-2387000,-7127000,-9159000,-461000,-461000,-9620000,-10207000,-8505000,-8505000,-8505000,-8505000,71902000,71902000,732000,1281000,1281000,73915000,2277000,55349000,26951000,67626000,141541000,4348000,1656000,2692000,9557000,14441000,10912000,23271000,32828000,176231000,-67518000,108713000,108713000,141541000,-8505000,812000,-777000,814000,-7656000,-158000,-158000,-10158000,45447000,45447000,45447000,27633000,27633000,27633000,-8347000,12146000,-11.47744,-10.65789,-0.07823,-0.06009,7.73412,0.30197,0.08581,-0.28549,-0.28549,0.02679,3.64919,-0.06286,7.15898,6.52429
"15","2015_Q2",12.8484126984127,"Up",977000,-10059000,-2219000,-7840000,-9591000,-439000,-439000,-10030000,-10616000,-10438000,-10438000,-10438000,-10438000,60501000,60501000,784000,879000,879000,62164000,2540000,55053000,622000,69093000,131257000,3925000,1886000,2039000,9404000,14197000,1033000,21853000,31257000,177956000,-77956000,1e+08,1e+08,131257000,-10438000,823000,1358000,-590000,-8847000,-343000,-343000,-1843000,289000,289000,-711000,-11401000,-11401000,-11401000,-8768000,12193000,-9.81679,-10.68373,-0.10438,-0.07952,6.61038,0.31257,0.09289,-0.28829,-0.28829,0.02698,2.76197,-0.08259,5.50958,5.03681
"16","2015_Q3",15.9284375,"Up",1173000,-11043000,-3072000,-7971000,-10184000,-442000,-442000,-10626000,-10975000,-10958000,-10958000,-10958000,-10958000,51699000,51699000,898000,1210000,1210000,53807000,2824000,54685000,38080000,79009000,132816000,4801000,2474000,2327000,10361000,24333000,21849000,31201000,41562000,180168000,-88914000,91254000,91254000,132816000,-10958000,604000,1479000,10170000,1295000,-157000,-157000,-10157000,817999.999999993,818000,59999.9999999925,-8802000,-8802000,-8801999.99999999,-9580000,11481000,-8.68201,-9.34186,-0.12008,-0.08251,5.19322,0.45545,0.08644,-0.30175,-0.30175,0.0323,2.51285,-0.08624,4.19812,3.94914
"17","2015_Q4",8.434375,"Down",1103000,-36023000,-4711000,-31312000,-35524000,-395000,-395000,-35919000,33244000,-2079000,-2079000,-939000,-939000,123453000,59067000,622000,731000,731000,124806000,3813000,25176000,527000,200489000,325295000,6517000,1619000,4898000,26067000,146797000,501000,152443000,178510000,181656000,-89853000,146189000,146785000,325295000,-2079000,410000,-19673000,2987000,-18355000,-1450000,-1450000,26309000,571000,571000,-586000,7368000,7368000,7368000,-35114000,10368000,-32.20671,-0.85131,-0.0064,-0.00289,4.78789,1.21613,0.03187,-0.02516,-0.02516,0.02955,3.91634,-0.00309,3.22051,3.18334
"18","2016_Q1",5.8127868852459,"Down",1337000,-18363000,-10130000,-8233000,-17549000,-352000,-352000,-17901000,-21372000,-26599000,-26599000,-23476000,-23476000,136404000,39038000,903000,3711000,1996000,141018000,7246000,25128000,590000.000000004,202501000,343519000,7627000,1339000,6288000,30873000,167314000,7061000,171708000,202581000,184902000,-113329000,145152000,140938000,343519000,-26599000,533000,7668999.99999999,2235000,-16162000,-1757000,-1757000,-1757000,20999.9999999981,21000,-2110000,-20029000,-20029000,-20029000,-17016000,9229000,-13.12565,-17.55871,-0.16657,-0.06834,4.56768,1.43738,0.02687,-0.62127,-0.62127,0.03538,3.84132,-0.07394,7.47385,7.24685
"19","2016_Q2",6.39109375,"Up",988000,-25272000,-4495000,-20777000,-24643000,-294000,-294000,-24937000,-16788000,-17287000,-17287000,-15650000,-15650000,66996000,20813000,1146000,3590000,1875000,71732000,7436000,24983000,556000,202047000,273779000,10561000,3139000,7422000,28427000,153276000,7329000,156389000,184816000,189843000,-131719000,94814000,88963000,273779000,-17287000,545000,-3488000,44000,-20186000,-596000,-596000,-596000,3761000,3761000,2557000,-18225000,-18225000,-18225000,-24098000,8062000,-24.94231,-15.84008,-0.17592,-0.05716,2.52338,2.07745,0.02945,-0.41222,-0.41222,0.02602,2.49741,-0.06252,2.4456,2.39151
"20","2016_Q3",6.733125,"Up",902000,-46851000,-4220000,-42631000,-46244000,-228000,-228000,-46472000,-44939000,-44469000,-44469000,-43305000,-43305000,133125000,98179000,867000,12271000,556000,146263000,9203000,24840000,524000,205141000,351404000,43016000,4423000,38593000,61027000,153348000,7414000,155149000,216176000,336959000,-176668000,142243000,135228000,351404000,-44469000,556000,26156000,5581000,-12176000,-1634000,-1634000,-1634000,92403000,92403000,91176000,77366000,77366000,77366000,-45688000,6868000,-51.26829,-48.00998,-0.32024,-0.12323,2.39669,1.5986,0.01954,-0.93133,-0.93133,0.0194,3.05912,-0.14658,2.76346,2.73024
"21","2016_Q4",6.00761904761905,"Down",2243000,29238000,-5267000,34505000,31063000,-210000,-210000,30853000,15225000,15743000,15743000,15890000,15890000,67721000,66480000,526000,3589000,1062000,71836000,10083000,25718000,1513000,207222000,279058000,8685000,1377000,7308000,36043000,170063000,7404000,170521000,206564000,336620000,-162299000,79656000,72494000,279058000,15743000,122000,-58698000,20783000,-22050000,-1458000,-1458000,-2808000,-5872000,9767000,-7124000,-31982000,-31982000,-31982000,31185000,5646000,13.84886,7.08426,0.21919,0.05694,1.99306,2.84939,0.02023,0.24006,0.23885,0.03389,1.20339,0.06402,-1.99054,-1.99836
"22","2017_Q1",5.01403225806452,"Down",4019000,-68509000,-10237000,-58272000,-64229000,-606000,-606000,-64835000,-18766000,-17924000,-17924000,-17858000,-17858000,83504000,82398000,1696000,4454000,3165000,89654000,12707000,110223000,3909000,311932000,401586000,16588000,8282000,8306000,76085000,191892000,4278000,238999000,315084000,303871000,-174252000,80037000,86502000,401586000,-17924000,1662000,648000.000000015,-902000,-16516000,-3172000,-3172000,-12414000,18218000,2579000.00000001,45131000,16201000,16201000,16201000,-62567000,47316000,-15.98134,-4.44338999999999,-0.20645,-0.04447,1.17834,3.64251,0.11782,-0.35165,-0.35397,0.07914,1.57603,-0.05483,0.578389999999999,0.563419999999999
"23","2017_Q2",1.95079365079365,"Down",4874000,-26770000,-11887000,-14883000,-22960000,-1384000,-1384000,-24344000,-24551000,-23803000,-23803000,-23064000,-23064000,35184000,33919000,2338000,4571000,3272000,42093000,16958000,98123000,3751000,303135000,345228000,20766000,11607000,9159000,71833000,185206000,4482000,211289000,283122000,304616000,-197316000,57780000,62106000,345228000,-23803000,1454000,460000,-25000,-21914000,-4161000,-4161000,-4161000,30000,30000,-22482000,-48557000,-48557000,-48479000,-21506000,26083000,-4.71071,-4.73205,-0.37137,-0.06681,0.58598,4.55869,0.07555,-0.45325,-0.45325,0.09578,1.13548,-0.08436,0.42318,0.39639
"24","2017_Q3",1.83428571428571,"Down",4665000,-20271000,-9092000,-11179000,-16422000,-968000,-968000,-17390000,-15035000,-14739000,-14739000,-14187000,-14187000,54337000,53681000,2376000,3882000,2414000,60595000,18044000,114177000,3549000,324173000,384768000,19043000,9641000,9402000,79283000,182748000,5053000,209289000,288572000,353171000,-211503000,92422000,96196000,384768000,-14739000,1734000,-1554000,-5191000,-19750000,-2622000,-2622000,-6179000,45598000,45598000,45598000,19669000,19669000,19762000,-14688000,26541000,-3.52026,-3.04116,-0.14748,-0.03687,0.76429,2.99983,0.06898,-0.2018,-0.2018,0.06636,1.31464,-0.04644,1.89243,1.69261
"25","2017_Q4",2.60412698412698,"Up",121910000,-27922000,-10215000,-17707000,92903000,-1473000,-1473000,91430000,95459000,1452000,1452000,-2062000,-2062000,39211000,38323000,1693000,3804000,2279000,44708000,18969000,113413000,3440000,404056000,448764000,21583000,12984000,8599000,83351000,238549000,5757000,263124000,346475000,357907000,-213565000,95001000,102289000,448764000,1452000,2083000,-25162000,8963000,-12664000,-2588000,-2588000,-4588000,2046000,2046000,2046000,-15206000,-15206000,-15358000,94986000,26982000,0.76206,-0.01691,-0.02016,-0.00459,0.53638,3.38722,0.06013,-0.02682,-0.02682,1.58557,1.23559,-0.00561,-0.12875,-0.13163
"26","2018_Q1",7.11426229508197,"Up",20407000,-45003000,-7138000,-37865000,-25576000,-914000,-914000,-26490000,-40558000,48199000,48199000,48445000,48445000,20870000,20429000,2211000,6619000,4904000,29700000,19345000,112561000,3250000,401913000,431613000,21670000,9911000,11759000,78955000,140837000,6015000,146048000,225003000,413910000,-165120000,199568000,206610000,431613000,48199000,1867000,-73733000,-21185000,-44852000,-1601000,-1601000,-1601000,10254000,10254000,28513000,-17940000,-17940000,-17894000,-23709000,5211000,-1.2533,2.37394,0.23448,0.11224,0.37616,1.08902,0.01207,0.59888,0.58054,0.25227,2.46706,0.13737,0.66047,0.61225
"27","2018_Q2",6.80234375,"Down",6246000,-24593000,-9961000,-14632000,-19658000,-1048000,-1048000,-20706000,-33574000,-33548000,-33548000,-32574000,-32574000,24696000,24252000,3912000,7961000,6190000,36569000,19494000,111731000,3081000,400310000,436879000,22350000,9014000,13336000,51524000,138981000,5974000,144482000,196006000,480701000,-196784000,234805000,240873000,436879000,-33548000,2005000,14133000,-6553000,-23963000,-448000,-448000,-448000,49113000,49113000,28233000,3822000,3822000,3823000,-17653000,7095000,-3.14729,-5.21518,-0.13523,-0.07456,0.70975,0.81373,0.01624,-0.38349,-0.38349,0.07353,2.76433,-0.08418,0.99705,0.89536
"28","2018_Q3",5.54301587301587,"Down",3913000,-28961000,-11039000,-17922000,-26275000,-45003000,-45003000,-71278000,-74079000,-74807000,-74807000,-73862000,-73862000,47107000,46784000,2204000,5435000,5002000,54746000,19893000,110902000,2914000,397775000,452521000,20838000,9941000,10897000,39399000,137454000,5926000,153657000,193056000,574328000,-270646000,254371000,259465000,452521000,-74807000,1926000,48119000,2640000,-22122000,-2364000,-2364000,-2364000,9322000,9322000,47171000,22685000,22685000,22532000,-24349000,17714000,-6.7148,-18.87605,-0.28467,-0.16322,1.38953,0.74405,0.03915,-0.73448,-0.73448,0.03891,2.52947,-0.17814,1.20715,1.11867
"29","2018_Q4",3.26539682539683,"Down",4105000,-49150000,-20102000,-29048000,-47222000,-2464000,-2464000,-49686000,-50382000,-50454000,-50454000,-47328000,-47328000,135738000,135441000,2278000,7229000,6805000,145245000,21467000,155171000,47740000,442719000,587964000,38309000,17203000,21106000,82410000,136459000,5860000,281994000,364404000,588951000,-317974000,221592000,223560000,587964000,-50454000,2261000,13024000,14465000,-20704000,-2936000,-2936000,-12936000,13349000,13349000,167299000,133659000,133659000,133657000,-44961000,173766000,-11.50353,-11.52935,-0.2117,-0.08049,1.76247,1.63001,0.29554,-0.40444,-0.40444,0.03508,1.89361,-0.08866,-0.8458,-0.8053
"30","2019_Q1",2.62360655737705,"Down",6929000,-37897000,-22536000,-15361000,-33313000,-8195000,-8195000,-41508000,-55746000,-53717000,-53717000,-49776000,-49776000,159035000,158738000,3833000,13798000,3680000,179564000,24384000,155151000,50570000,444523000,624087000,37456000,13817000,23639000,61621000,131830000,6140000,354966000,416587000,626671000,-367750000,209472000,207500000,624087000,-53717000,3302000,9845000,-4408000,-44978000,-5447000,-5447000,-5447000,12035000,12035000,83295000,32870000,32870000,32889000,-30011000,233286000,-4.80776,-7.18372,-0.23988,-0.07976,2.91401,2.00765,0.3738,-0.40775,-0.40775,0.05676,1.71593,-0.08693,-2.47413,-2.22889
"31","2019_Q2",3.59873015873016,"Up",6143000,-50706000,-25122000,-25584000,-46871000,-8546000,-8546000,-55417000,-145810000,-146529000,-146529000,-108071000,-108071000,91362000,90971000,7409000,15240000,5455000,118579000,28900000,197904000,93789000,490895000,609474000,48401000,14652000,33749000,74082000,187617000,48385000,417279000,491361000,657128000,-475821000,131943000,118113000,609474000,-146529000,3471000,99981000,-1232000,-44309000,-5228000,-5228000,-22268000,81000,81000,-1097000,-67674000,-67674000,-67617000,-43400000,238340000,-7.62999,-17.59254,-0.91498,-0.17732,1.60065,4.16009,0.39106,-0.88379,-0.88379,0.05024,1.07901,-0.19863,-3.38659,-3.1358
"32","2019_Q3",2.33046875,"Down",6477000,-52531000,-27772000,-24759000,-49335000,-9215000,-9215000,-58550000,-70654000,-71845000,-71845000,-56762000,-56762000,61701000,61385000,9786000,15388000,5493000,93506000,30829000,200191000,97068000,493537000,587043000,54769000,24886000,29883000,111989000,196849000,52834000,420438000,532427000,665528000,-532583000,83529000,54616000,587043000,-71845000,2463000,21911000,636999.999999999,-46834000,-2260000,-2260000,-2260000,1125000,1125000,19503000,-29591000,-29591000,-29586000,-46872000,255846000,-7.61695,-8.76363,-1.03929,-0.09669,0.83496,9.74855,0.43582,-0.46318,-0.42365,0.05285,0.6816,-0.11189,-4.14203,-3.93524
"33","2019_Q4",2.38390625,"Up",5778000,-52910000,-25234000,-27676000,-52358000,-9480000,-9277000,-61838000,-74002000,-75212000,-75212000,-64415000,-64415000,34743000,34649000,11560000,16930000,7122000,67568000,30338000,200721000,98124000,493307000,560875000,59893000,26750000,33143000,112713000,207123000,54206000,441493000,554206000,692486000,-596998000,45895000,6669000,560875000,-75212000,2314000,21922000,5145000,-45831000,-2094000,-2094000,-3256000,23352000,23352000,22569000,-26518000,-26518000,-26736000,-50044000,260247000,-9.06161,-11.14832,-9.65887,-0.11485,0.59947,83.10181,0.464,-0.49213,-0.45837,0.04414,0.35064,-0.13589,-4.50611,-4.30696
"34","2020_Q1",2.88032258064516,"Up",13034000,-58230000,-25429000,-28860000,-46618000,-8340000,-8010000,-54958000,-69110000,-69426000,-69426000,-62820000,-62820000,22521000,22521000,14454000,27251000,11750000,67588000,29888000,197915000,96309000,490044000,557632000,62272000,27630000,34642000,115206000,210582000,52150000,409670000,524876000,788140000,-659818000,78588000,32756000,557632000,-69426000,2741000,27762000,2901000,-36022000,-1860000,-1860000,-10389000,31990000,31990000,37910000,-8501000,-8501000,-8621999.99999999,-43877000,235349000,-3.57665,-4.8197,-1.91782,-0.11265,0.58667,16.02381,0.42205,-0.40475,-0.38013,0.08398,0.50634,-0.13123,-4.85056,-4.56536
"35","2020_Q2",3.8284126984127,"Up",7721000,-48445000,-26299000,-21154000,-43163000,-7012000,-6806000,-50175000,-69456000,-69180000,-69180000,-65195000,-65195000,21897000,21897000,10023000,14674000,14674000,49632000,28470000,196767000,96153000,486921000,536553000,58734000,28986000,29748000,90148000,212221000,52643000,395179000,485327000,875735000,-725013000,101043000,51226000,536553000,-69180000,3058000,28041000,-469000,-38550000,-21000,-21000,-21000,83530000,83530000,24722000,-13849000,-13849000,-13822000,-40105000,199543000,-5.59034,-8.44385,-1.27269,-0.12151,0.55056,9.47423,0.3719,-0.35702,-0.35702,0.04228,0.55333,-0.14081,-4.42952,-4.1157
"36","2020_Q3",9.151875,"Up",9007000,-49605000,-24463000,-24150000,-42847000,-8171000,-8295000,-51018000,-86912000,-84993000,-84993000,-77740000,-77740000,24388000,24388000,13801000,14365000,14365000,55001000,27523000,193558000,93936000,478067000,533068000,64225000,26605000,37620000,91341000,214485000,51749000,361512000,452853000,989727000,-802753000,137285000,80215000,533068000,-84993000,2595000,41806000,3067000,-37525000,-949000,-949000,-3261000,108470000,108470000,43240000,2454000,2454000,2441000,-40252000,166178000,-4.75708,-8.63106,-0.96915,-0.14584,0.60215,5.64549,0.31174,-0.35832,-0.35832,0.04152,0.63278,-0.16868,-3.52256,-3.30922
"37","2020_Q4",8.031875,"Down",11753000,-57302000,-24265000,-32003000,-48220000,-2295000,-2563000,-50515000,-86965000,-87110000,-87110000,-84024000,-84024000,75176000,75176000,14768000,13900000,13900000,105988000,29454000,210223000,91958000,496097000,602085000,65341000,22849000,42492000,92125000,215217000,51785000,364676000,456801000,1141236000,-886776000,205440000,145284000,602085000,-87110000,3137000,46343000,-4962000,-42592000,-2870000,-2870000,-25227000,118819000,118819000,117853000,50034000,50034000,50788000,-45083000,167988000,-4.10278,-7.14915,-0.57834,-0.13956,1.15048,3.14419,0.27901,-0.33398,-0.31009,0.04672,0.81658,-0.15899,-2.05869,-1.92476
"38","2021_Q1",10.5591803278689,"Up",11505000,-76220000,-41152000,-34033000,-67296000,-3245000,-2493000,-70541000,-67247000,-73127000,-73127000,-71502000,-71502000,56464000,56464000,15506000,12433000,8712000,86234000,31861000,161330000,44101000,449588000,535822000,64763000,24706000,40057000,96480000,206353000,50850000,298611000,395091000,1172374000,-958279000,165151000,140731000,535822000,-73127000,2217000,23878000,6163000,-40869000,-2688000,-2688000,-11414000,105397000,105397000,-11576000,-63859000,-63859000,-63712000,-65079000,115466000,-5.84928,-6.21486,-0.50808,-0.13344,0.8938,2.80742,0.21549,-0.26666,-0.28743,0.04291,0.61591,-0.15458,-0.90662,-0.87675
