"","YQ","p","d","revenue","operating_expenses","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_revenue_long_term","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital"
"11","2018_Q1",48.5090163934426,"Up",267500000,-193600000,-52300000,-141300000,73900000,-8200000,-12700000,4500000,65700000,-4600000,61100000,86100000,147200000,147200000,147200000,147200000,201800000,201800000,78900000,44600000,34300000,280700000,179900000,3195300000,2306800000,240100000,3375200000,3655900000,116900000,6.5e+07,51900000,55100000,59600000,59600000,231600000,1.379e+09,336500000,100700000,224600000,11200000,1715500000,1947100000,1593600000,201400000,3900000,1708800000,1708800000,3655900000,147200000,52300000,-77500000,-10700000,111300000,-22100000,-16200000,-38300000,-111100000,-1800000,-2.03e+08,-1.3e+08,-1.3e+08,-1.3e+08,126200000,1434100000,7300000,0.27626,0.55028,0.08614,0.04026,0.04959,1.212,1.13945,0.39227,0.97098,0.62585,1.76451,11.27177,0.04815,0.04231,0.0021
"12","2018_Q2",50.29453125,"Up",270300000,-200800000,-51400000,-149400000,69500000,-1.3e+07,-12800000,-2e+05,56500000,-1300000,55200000,-12500000,42700000,42700000,42700000,42700000,169500000,169500000,82500000,55400000,27100000,2.52e+08,182600000,3200300000,2306800000,2.65e+08,3382900000,3634900000,92400000,59400000,3.3e+07,55100000,50600000,50600000,198100000,1447500000,362700000,115700000,235300000,11700000,1810200000,2008300000,1560100000,255300000,8300000,1626600000,1626600000,3634900000,42700000,51400000,13600000,-8800000,98900000,-10100000,-14600000,-24700000,67600000,-6600000,-80500000,-6300000.00000003,-6300000.00000003,-6300000.00000003,120900000,1502600000,114500000,0.25712,0.15797,0.02625,0.01175,2.6815,1.27208,1.23466,0.41338,0.28696,0.28619,1.81653,10.93145,0.76949,0.01223,0.03279
"13","2018_Q3",53.6269841269841,"Up",276600000,-2.09e+08,-53600000,-155400000,67600000,-19300000,-13100000,-6200000,48300000,-1200000,47100000,-7100000,4e+07,4e+07,4e+07,4e+07,158500000,158500000,97800000,67400000,30400000,256300000,179100000,3225400000,2.31e+09,296900000,3404500000,3660800000,103400000,57900000,45500000,41600000,50100000,50100000,195100000,1422800000,361700000,113700000,235800000,12200000,1784500000,1979600000,1555500000,295300000,10900000,1681200000,1681200000,3660800000,4e+07,53600000,17300000,2e+05,111100000,-4400000,-22900000,-33300000,-70400000,-5900000,-76300000,1500000,1500000,1500000,121200000,1464400000,124100000,0.2444,0.14461,0.02379,0.01093,3.1025,1.31369,1.17749,0.40002,0.27192,0.27082,1.88035,11.42896,0.84364,0.0114,0.03538
"14","2018_Q4",46.9201587301587,"Down",281700000,-211400000,-5.4e+07,-157400000,70300000,-13200000,-13200000,0,57100000,-3300000,53800000,-10800000,4.3e+07,4.3e+07,4.3e+07,4.3e+07,170300000,170300000,9e+07,61200000,28800000,260300000,176100000,3206800000,2.31e+09,299800000,3382900000,3643200000,96600000,43900000,52700000,4.7e+07,48300000,48300000,191900000,1.351e+09,360700000,112900000,2.35e+08,12800000,1711700000,1903600000,1567600000,338300000,13700000,1739600000,1739600000,3643200000,4.3e+07,5.4e+07,12200000,-13800000,95400000,-5600000,-16100000,-21700000,-67300000,-9e+05,-68200000,5500000,5500000,5500000,124300000,1.398e+09,115700000,0.24956,0.15264,0.02472,0.0118,2.6907,1.35644,1.09427,0.38373,0.29212,0.29093,1.91372,11.81793,0.78601,0.01229,0.03307
"15","2019_Q1",50.4601639344262,"Up",285400000,-221200000,-5.8e+07,-163200000,64200000,-13300000,-12600000,-7e+05,50900000,-8e+05,50100000,-7300000,42800000,42800000,42800000,42800000,172300000,172300000,93800000,67300000,26500000,266100000,177100000,3210200000,2329700000,286900000,3387300000,3653400000,133600000,67800000,65800000,52500000,52900000,52900000,2.39e+08,1284200000,343700000,106800000,220900000,1.6e+07,1627900000,1866900000,1585800000,381100000,3e+05,1786500000,1786500000,3653400000,42800000,5.8e+07,9200000,20100000,130100000,-8.3e+07,5.6e+07,-64400000,-62300000,0,-62300000,3400000,3400000,3400000,122200000,1336700000,66600000,0.22495,0.14996,0.02396,0.01172,1.55607,1.11339,1.045,0.36588,0.29056,0.28899,1.93754,12.12831,0.45214,0.01235,0.01921
"16","2019_Q2",56.8546031746032,"Up",283100000,-216900000,-56900000,-1.6e+08,66200000,-15300000,-1.5e+07,-3e+05,50900000,-9e+05,5e+07,-10700000,39300000,39300000,39300000,39300000,172800000,172800000,89200000,73200000,1.6e+07,2.62e+08,172100000,3582300000,2329700000,299300000,3754400000,4016400000,108200000,72100000,36100000,52600000,5.1e+07,5.1e+07,211800000,1615800000,367500000,107700000,221500000,38300000,1983300000,2195100000,1554600000,419400000,-5600000,1821300000,1821300000,4016400000,39300000,56900000,1.7e+07,-49100000,64100000,-3800000,-18900000,-397700000,336200000,-10900000,325300000,-8300000,-8300000,-8300000,123100000,1668400000,80900000,0.23384,0.13882,0.02158,0.00978,2.05852,1.23702,1.20524,0.4154,0.26644,0.26518,1.91932,12.3478,0.54847,0.01019,0.02097
"17","2019_Q3",61.9915625,"Up",294900000,-216900000,-57500000,-159400000,7.8e+07,-17200000,-16700000,-5e+05,60800000,-1e+06,59800000,-14500000,31900000,31900000,31900000,31900000,171900000,171900000,99500000,81100000,18400000,271400000,164100000,3549800000,2329700000,301400000,3713900000,3985300000,103100000,54800000,48300000,60400000,45200000,45200000,208700000,1572600000,364200000,103200000,210500000,50500000,1936800000,2145500000,1567300000,451300000,-17900000,1839800000,1839800000,3985300000,31900000,57500000,24200000,-49600000,6.4e+07,-1e+06,-21700000,-22700000,-30800000,-1300000,-4.4e+07,-2700000,-2700000,-2700000,135500000,1.633e+09,99400000,0.2645,0.10817,0.01734,0.008,3.11599,1.30043,1.16616,0.40976,0.21598,0.21467,1.99661,12.45633,0.67299,0.00831,0.02591
"18","2019_Q4",61.9153125,"Down",299100000,-223500000,-59600000,-163900000,75600000,-16600000,-16500000,-1e+05,5.9e+07,-4e+05,58600000,-9400000,24700000,24700000,24700000,24700000,180600000,180600000,91100000,75100000,1.6e+07,271700000,161800000,3.57e+09,2361400000,302800000,3731800000,4003500000,91100000,41900000,49200000,62900000,47300000,47300000,201300000,1570500000,363900000,96400000,204200000,63300000,1934400000,2135700000,1.582e+09,477100000,-26400000,1867800000,1867800000,4003500000,24700000,59600000,44500000,-35500000,93300000,-6500000,-16600000,-93499999.9999999,4999999.99999994,-4300000,7e+05,499999.999999999,499999.999999999,499999.999999999,135200000,1633400000,102600000,0.25276,0.08258,0.01322,0.00617,4.15385,1.34973,1.14343,0.40799,0.16734,0.16644,2.02642,12.65447,0.69512,0.00639,0.02655
"19","2020_Q1",65.4761290322581,"Up",300100000,-224900000,-62200000,-162700000,75200000,-15800000,-15300000,-5e+05,59400000,-3100000,56300000,-7300000,12900000,12900000,12900000,12900000,175100000,175100000,80400000,64800000,15600000,255500000,176900000,3530400000,2361400000,318100000,3707300000,3962800000,130800000,65300000,65500000,79100000,50900000,50900000,260800000,1465100000,338400000,9.8e+07,185300000,55100000,1803500000,2064300000,1586800000,490600000,-20200000,1898500000,1898500000,3962800000,12900000,62200000,38300000,43500000,156900000,-11100000,-418600000,-37100000,-114200000,0,-114200000,5600000,5600000,5600000,137400000,1544200000,177100000,0.25058,0.04299,0.00679,0.00326,13.72868,0.97968,1.08733,0.38967,0.08716,0.08646,2.0277,12.8277,1.19662,0.00341,0.04684
"20","2020_Q2",70.8844444444444,"Up",290700000,-220100000,-57700000,-162400000,70600000,-15500000,-14700000,-799999.999999999,55100000,-2400000,52700000,-8199999,50100001,50100001,50100001,50100001,180800000,180800000,140100000,73200000,66900000,320900000,170500000,3589400000,2386900000,314600000,3759900000,4080800000,105100000,62900000,42200000,84100000,52500000,52500000,241700000,1551500000,3.68e+08,106100000,1.81e+08,80900000,1919500000,2161200000,1562700000,5.4e+08,-4.1e+07,1919600000,1919600000,4080800000,50100000,57700000,6900000,-54200000,60500000,-3500000,-18200000.0000001,-87100000,98200000.0000001,-20500000,77700000,51100000,51100000,51100000,128300000,1635600000,78799999,0.24286,0.17234,0.0261,0.01228,1.57285,1.32768,1.12586,0.4008,0.33851,0.33692,1.96419,12.97027,0.53243,0.01277,0.02009
"21","2020_Q3",78.7484375,"Up",293100000,-214100000,-58600000,-155500000,7.9e+07,5800000,-1.3e+07,18800000,84800000,-2500000,82300000,-17200001,39099999,39099999,39099999,39099999,172700000,172700000,3.08e+08,79500000,228500000,480700000,169500000,3.542e+09,2385800000,330500000,3711500000,4192200000,134900000,75200000,59700000,8e+07,47300000,47300000,262200000,1115800000,3.61e+08,101500000,171500000,8.8e+07,1476800000,1.739e+09,2055900000,582300000,-41900000,2453200000,2453200000,4192200000,39100000,58600000,3.6e+07,1100000,134800000,-9100000,-11600000,-20700000,-431600000,-5400000,47600000,161700000,161700000,161700000,137600000,1195800000,146800001,0.26953,0.1334,0.01594,0.00933,3.75448,1.83333,0.70887,0.28524,0.26206,0.26084,1.96448,16.44236,0.98391,0.00975,0.03661
"22","2020_Q4",90.77203125,"Up",312600000,-231200000,-6.4e+07,-167200000,81400000,-15600000,-14700000,-900000.000000007,65800000,-21900000,43900000,-15900000,114600000,114600000,127800000,127800000,192800000,192800000,112400000,81200000,31200000,305200000,168900000,5680200000,3617600000,344200000,5849100000,6154300000,141100000,72100000,6.9e+07,76500000,49600000,49600000,267200000,2226700000,500100000,97200000,310200000,92700000,2726800000,2.994e+09,2049600000,709700000,-33100000,2582300000,3160300000,6154300000,114600000,6.4e+07,-78200000,-29800000,70600000,-70100000,38200000,-1950700000,1112300000,570800000,1683100000,-1.97e+08,-1.97e+08,-1.97e+08,145400000,2303200000,61400000,0.2604,0.40883,0.04044,0.02077,0.48044,1.14222,0.94738,0.37424,0.82186,0.81661,2.01029,16.60643,0.39486,0.02143,0.0103
"23","2021_Q1",80.4885245901639,"Down",342100000,-274900000,-90400000,-184500000,67200000,-21200001,-20500000,-700001,45999999,-4600000,41399999,-3e+05,41999998,41999998,47099998,47099998,182200000,182200000,70400000,70400000,-35193886.6731988,287300000,163100000,5640100000,3613400000,863900000,5803200000,6090500000,167400000,88100000,79300000,7.3e+07,50900000,50900000,291300000,2121900000,471600000,92700000,2.84e+08,94900000,2593500000,2884800000,2053699999,757400000,-38800000,2627699999,3205699999,6090499999,4.2e+07,90400000,-9599999,26700000,149500001,58800000,-189300000,-30700000,-105900000,-9400000,-115300000,3500001,3500001,3500001,157600000,2194900000,243400000,0.19643,0.13768,0.01469,0.00773,5.16773,0.98627,0.8999,0.36038,0.30328,0.30096,2.20283,16.92015,1.56729,0.00802,0.04145
"24","2021_Q2",73.8873015873016,"Down",349700000,-2.74e+08,-87800000,-186200000,75700000,-23500000,-20300000,-3200000,52200000,-7900000,44300000,-5200000,45500000,45500000,54100000,54100000,182500000,182500000,128500000,83500000,44999999.9999999,3.11e+08,161200000,5658700000,3631500000,390600000,5819900000,6130900000,145400000,86900000,58500000,17400000,60200000,60200000,2.23e+08,2241500000,473700000,89800000,283900000,1e+08,2715200000,2938200000,2.017e+09,8.12e+08,-37800000,2614700000,3192700000,6130900000,45500000,87800000,4699999.99999999,-60600000,77400000,-5200000,-24700000,-59900000,70900000,-31500000,-7300000,10200000,10200000,10200000,163500000,2258900000,102900000,0.21647,0.1547,0.01694,0.00882,1.90203,1.39462,0.92029,0.36845,0.34769,0.34702,2.24743,16.80398,0.66131,0.00913,0.01737
"25","2021_Q3",76.83546875,"Up",361300000,-287400000,-90400000,-1.97e+08,73900000,-21900000,-20900000,-1e+06,5.2e+07,-4300000,47700000,-10500000,32200000,32200000,39700000,39700000,183600000,183600000,185500000,86300000,99200000,369100000,157500000,5639300000,3649600000,392800000,5796800000,6165900000,164800000,73800000,9.1e+07,1.9e+07,68700000,68700000,252500000,2216300000,454900000,82700000,282100000,90100000,2671200000,2923700000,2.021e+09,852400000,-32600000,2664200000,3242200000,6165900000,32200000,90400000,1.7e+07,-17800000,121800000,-6300000,-21900000,-56500000,-1.9e+07,-2500000,-21500000,43800000,43800000,43800000,164300000,2235300000,150700000,0.20454,0.10988,0.01224,0.00644,3.79597,1.46178,0.90176,0.36253,0.25514,0.25465,2.32198,17.12211,0.96851,0.00669,0.0254
"26","2021_Q4",74.62171875,"Down",3.78e+08,-296600000,-93600000,-2.03e+08,81400000,-22700000,-21600000,-1100000,58700000,1300000,6e+07,-15300000,46300000,46300000,53400000,53400000,186200000,186200000,88600000,88600000,58285862.1063347,352900000,153900000,5860299999,3815700000,404300000,6014199999,6367099999,172700000,79900000,92800000,26200000,62300000,62300000,261200000,2449800000,4.56e+08,79100000,290700000,86200000,2905800000,3.167e+09,1653200000,906600000,-31700000,2.253e+09,3200100000,6367100000,46300000,93600000,7100000,-14800000,132200000,-6300000,-20500000,-2.81e+08,2.39e+08,-799999.999999996,138200000,-10600000,-10600000,-10600000,1.75e+08,2.476e+09,169200000,0.21534,0.14127,0.01669,0.00839,3.16854,1.35107,0.98966,0.38887,0.34407,0.34187,2.43557,14.51675,1.09021,0.00871,0.02759
"27","2022_Q1",65.9162903225807,"Down",386200000,-300900000,-93200000,-207700000,85300000,-21900000,-20800000,-1100000,63400000,-2400000,6.1e+07,-4700000,55900000,55900000,60700000,60700000,191800000,191800000,83200000,8.3e+07,200000.000000015,352100000,154500000,5844300000,3817300000,923300000,5998800000,6350900000,167700000,64500000,91400000,32500000,64600000,64600000,264800000,2362600000,444300000,81500000,284100000,78700000,2806900000,3071700000,1410900000,968200000,-17500000,2090400000,3279200000,6350900000,55900000,93200000,-3e+05,-30300000,118500000,-10700000,-21600000,-32400000,-8.1e+07,-6100000,-87100000,-1e+06,-1e+06,-1e+06,178500000,2395100000,142200000,0.22087,0.15717,0.01851,0.00956,2.34267,1.32968,0.93672,0.37713,0.39111,0.3886,2.4884,13.46907,0.91624,0.00992,0.02324
"28","2022_Q2",67.3029032258064,"Up",387200000,-299400000,-91500000,-207900000,87800000,-22300000,-21100000,-1200000,65500000,-7600000,57900000,1100000,362100000,362100000,364600000,364600000,194300000,194300000,85200000,85100000,1e+05,307100000,151100000,5484800000,3817300000,921100000,5635900000,5.943e+09,264300000,55400000,6.9e+07,33500000,68100000,68100000,365900000,2697200000,388700000,74200000,251200000,63300000,3085900000,3451800000,1364800000,1327400000,-7e+06,2.451e+09,2491200000,5.943e+09,362100000,91500000,-427300000,58800000,85100000,-6600000,-20800000,-27400000,337800000,-4.45e+08,-107200000,-49500000,-49500000,-49500000,179300000,2730700000,230400000,0.22676,0.94163,0.14636,0.06135,0.63193,0.8393,1.3856,0.45948,2.366,2.34319,2.51265,15.90526,1.49513,0.06498,0.04107
"29","2022_Q3",65.8640625,"Down",394500000,-309300000,-92500000,-216800000,85200000,-2.5e+07,-22600000,-2400000,60200000,-8200000,5.2e+07,-11600000,40300000,40300000,40300000,40300000,203200000,203200000,103800000,97700000,6100000,3.45e+08,146600000,5436900000,3817100000,908800000,5583500000,5928500000,1.82e+08,59800000,75400000,33600000,68800000,68800000,284400000,2736700000,359900000,6.2e+07,241300000,56600000,3096600000,3.381e+09,1367800000,1368200000,-5500000,2500100000,2547500000,5928500000,40300000,92500000,4900000,-1.33e+08,4700000,-5200000,-26900000,-32100000,38500000,-7e+05,37800000,10400000,10400000,10400000,177700000,2770300000,51100000,0.21597,0.10215,0.01582,0.0068,1.26799,1.21308,1.32718,0.46729,0.26084,0.259,2.5534,16.18188,0.33074,0.0071,0.009
