"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","income_taxes_receivable","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",14.7112903225806,"Down",379467000,-274237000,105230000,-82294000,-77634000,-4660000,22936000,409000,-266000,23345000,23345000,-8998000,14347000,14347000,14347000,14347000,119341000,119341000,183101000,183101000,8808000,8376000,432000,311250000,63671000,223722000,17358000,48139000,154548000,287393000,598643000,65567000,22057000,43510000,51983000,51983000,117550000,156553000,156553000,156553000,274103000,1000,321526000,3013000,324540000,324540000,598643000,14347000,4660000,5135000,-18931000,5211000,-4395000,-7845000,-12240000,-3899000,268000,664000,128000,-3503000,-10532000,-10532000,427000,-10105000,27596000,0,13268000,0.27731,0.06044,0.03781,0.04421,0.02397,0.92479,2.64781,0.84459,-4.33680868994202e-19,0.36307,0.36288,9.60287,8.21288,0.33576,0.02982,0.02758,-4.32458,-5.20321999999999
"12","2013_Q1",18.7108333333333,"Up",344615000,-250231000,94384000,-83950000,-79217000,-4733000,10434000,484000,-230000,10918000,10918000,-3503000,7415000,7415000,7415000,7415000,129513000,129513000,167292000,167292000,14914000,8541000,6373000,311719000,63618000,226406000,16554000,48079000,159211000,290024000,601743000,62394000,27292000,35102000,51162000,51162000,113556000,154513000,154513000,154513000,268069000,1000,330855000,2818000,333674000,333674000,601743000,7415000,4734000,6988000,218000,19355000,-3896000,-4827000,-8723000,-561000.000000002,357999.999999999,358000,-91000,-294000,10338000,10338000,-166000,10172000,15168000,1.86264514923096e-09,14993000,0.27388,0.03028,0.02152,0.02222,0.01232,2.02198,2.74507,0.80339,0,0.18748,0.18572,8.7134,8.43676,0.37909,0.01519,0.03071,-8.53857,-12.41259
"13","2013_Q2",21.5709375,"Up",346498000,-259859000,86639000,-93591000,-88432000,-5159000,-6952000,477000,-233000,-6475000,-6475000,5399000,-1076000,-1076000,-1076000,-1076000,110800000,110800000,191896000,191896000,17470000,8482000,8988000,320166000,63717000,270165000,25722000,70613000,168271000,333882000,654048000,68283000,27041000,41242000,55658000,55658000,123941000,162842000,162842000,194198000,318139000,1000,333392000,2516000,335909000,335909000,654048000,-1076000,5159000,1139000,875000,6097000,-3952000,-1726000,-58926000,33603000,2266000,2266000,-1531000,34338000,-18491000,-18491000,-222000,-18713000,-1793000,31356000,-10269000,0.25004,-0.02006,-0.00311,-0.0032,-0.00165,9.54368,2.58321,0.9471,0.04794,-0.02705,-0.02705,8.70948,8.44332,-0.25812,-0.00203,-0.01937,44.30786,11.4275
"14","2013_Q3",24.96859375,"Up",422310000,-310437000,111873000,-94542000,-89339000,-5203000,17331000,275000,-336000,17606000,17606000,-5069000,12537000,12537000,12537000,12537000,136004000,136004000,199315000,199315000,14604000,7609000,6995000,349923000,62594000,263171000,26042000,74629000,158208000,325765000,675688000,72194000,25250000,46944000,55078000,55078000,127272000,164135000,164135000,194924000,322196000,1000,351229000,2262000,353492000,353492000,675688000,12538000,5203000,8154000,-7879000,18016000,-3248000,9517000,-15271000,-718000.000000007,3757000,3757000,-173000,2866000.00000001,5611000,5611000,-322000,5289000,22534000,30789000,16476000,0.26491,0.04104,0.02969,0.03547,0.01855,1.31419,2.74941,0.91147,0.04557,0.31233,0.30794,10.52093,8.80648,0.41046,0.02286,0.03004,-4.66917,-6.07091
"15","2013_Q4",24.95453125,"Down",451169000,-327641000,123528000,-95538000,-90767000,-4771000,27990000,416000,-350000,28406000,28406000,-9454000,18952000,18952000,18952000,18952000,138886000,109544000,213193000,213193000,12671000,12158000,513000,364750000,61290000,272473000,24829000,74629000,168838000,333763000,698513000,77235000,25932000,51303000,50138000,50138000,127373000,164082000,164082000,194304000,321677000,1000,374493000,2342000,376836000,376836000,698513000,18950000,4771000,5439000,-7996000,21164000,-3150000,-4967000,-23296000,-7e+06,2708000,2708000,-229000,-4521000,-6653000,-6653000,109000,-6544000,32761000,30222000,31069000,0.2738,0.06204,0.04201,0.05029,0.02713,1.63935,2.86364,0.85363,0.04327,0.46991,0.46578,11.18666,9.34358,0.77035,0.03318,0.0544,-3.31687000000001,-3.88224
"16","2014_Q1",26.8250819672131,"Up",448952000,-328689000,120263000,-99049000,-93710000,-5339000,21214000,186000,-329000,21400000,21400000,-6889000,14511000,14511000,14511000,14511000,136748000,122003000,199519000,199519000,12551000,9491000,3060000,348818000,62113000,308530000,31505000,82239000,190573000,370643000,719461000,68944000,29850000,39094000,52465000,52465000,121409000,175036000,175036000,204692000,326101000,1000,391326000,2033000,393360000,393360000,719461000,14512000,5339000,4015000,16925000,40791000,-2653000,-16776000,-27772000,-566000,405000,405000,-154000,-315000,12704000,12704000,-246000,12458000,26553000,29656000,47714000,0.26787,0.04725,0.03232,0.03689,0.02017,3.28813,2.87308,0.82901,0.04122,0.3591,0.35546,11.1102,9.73447,1.18078,0.02426,0.07978,-4.03314,-5.04818
"17","2014_Q2",27.3838095238095,"Up",396063000,-296504000,99559000,-97143000,-91982000,-5161000,2416000,344000,-263000,2760000,2760000,-1104000,1656000,1656000,1656000,1656000,160595000,128818000,186084000,186084000,9771000,9305000,466000,356450000,60889000,304356000,29982000,82239000,186421000,365245000,721695000,67385000,26913000,40472000,51301000,51301000,118686000,177124000,177124000,206213000,324899000,1000,394959000,1836000,396796000,396796000,721695000,1656000,5161000,4495000,12183000,23495000,-2091000,2724000,-14974000,-567000,602000,602000,-1501000,-1466000,7055000,7055000,-240000,6815000,7577000,29089000,18773000,0.25137,0.0061,0.00418,0.00417000000000001,0.00229,11.33635,3.0033,0.81881,0.04031,0.04082,0.0405,9.76198,9.78005,0.46271,0.00275,0.03113,-17.35595,-54.43129
"18","2014_Q3",27.68765625,"Up",453227000,-333644000,119583000,-101601000,-96354000,-5247000,17982000,450000,-322000,18432000,18432000,-2350000,16082000,16082000,16082000,16082000,167846000,162849000,208413000,208413000,9378000,8696000,682000,385637000,62123000,298995000,28463000,82239000,181295000,361118000,746755000,73845000,29247000,44598000,51430000,51430000,125275000,176592000,176592000,205114000,330389000,1000,413790000,2575000,416366000,416366000,746755000,16083000,5247000,2636000,-18539000,5427000,-4022000,5289000,27992000,-566000,747000,747000,105000,286000.000000004,33705000,33705000,326000,34031000,23229000,28522000,3018000,0.26385,0.03968,0.03548,0.03862,0.02154,0.187659999999997,3.07832,0.79351,0.03819,0.39476,0.39254,11.12514,10.22033,0.07408,0.02588,0.00486,-5.99785,-7.74797
"19","2014_Q4",23.72875,"Down",633365000,-473766000,159599000,-130037000,-120318000,-9719000,29562000,-409000,-1140000,29153000,29153000,-8243000,20910000,20910000,20910000,20910000,30990000,29244000,310926000,310926000,25456000,17522000,7934000,367372000,72283000,561072000,142069000,232293000,186710000,633355000,1000727000,117446000,47697000,69749000,60512000,60512000,177958000,207853000,188532000,382803000,560761000,1000,438557000,1408000,439966000,439966000,1000727000,20911000,9718000,17319000,-16967000,30981000,-4100000,-5601000,-309931000,146427000,324000,324000,-383000,146368000,-132582000,-132582000,-1023000,-133605000,39280000,174950000,26456000,0.25199,0.04667,0.03301,0.04753,0.02089,1.26523,2.06437,1.27456,0.17482,0.51259,0.50953,15.52632,10.78533,0.64854,0.02541,0.03215,3.66497,4.86977
"20","2015_Q1",22.4740983606557,"Down",691390000,-533152000,158238000,-126470000,-117123000,-9347000,31768000,-269000,-1431000,31499000,31499000,-4472000,27027000,27027000,27027000,27027000,21166000,19666000,359903000,359903000,29294000,18778000,10516000,410363000,66836000,589472000,136560000,241855000,211057000,656308000,1066671000,119948000,50256000,69692000,67282000,67282000,187230000,210724000,190956000,410107000,597337000,1000,468462000,871000,469334000,469334000,1066671000,27025000,9348000,11977000,-60728000,-12378000,-6705000,-17165000,-21523999.9999999,24433000,518000,518000,-357000,24594000,-9308000,-9308000,-270000,-9578000.00000003,41116000,199383000,-21845000,0.22887,0.04595,0.03909,0.05759,0.02534,-0.80827,2.19176,1.27273,0.18692,0.66191,0.64649,16.93255,11.49427,-0.535,0.03073,-0.02484,4.33449,5.60995
"21","2015_Q2",28.1695238095238,"Up",573315000,-443479000,129836000,-122113000,-111593000,-10520000,7723000,-534000,-1166000,7189000,7189000,-1473000,5716000,5716000,5716000,5716000,17779000,17779000,290746000,290746000,26241000,15803000,10438000,334766000,66291000,586414000,131409000,241855000,213150000,652705000,987471000,119462000,53769000,65693000,64366000,64366000,183828000,217384000,195658000,328201000,512029000,1000,475815000,-374000,475442000,475442000,987471000,5716000,10520000,4519000,75005000,95760000,-3458000,-3927000,-5885000,-88566000,411000,411000,-2161000,-90316000,-441000,-441000,-1446000,-1887000,18243000,110817000,91263000,0.22647,0.01347,0.00997,0.01202,0.00579,15.96624,1.82108,1.07695,0.11222,0.13931,0.13819,13.97273,11.58739,2.22425,0.00711,0.11356,5.09993,12.04687
"22","2015_Q3",25.64625,"Down",627714000,-475748000,151966000,-128256000,-117859000,-10397000,23710000,-202000,-881000,23508000,23508000,-6235000,17273000,17273000,17273000,17273000,21288000,21288000,324021000,324021000,22253000,15811000,6442000,367562000,62928000,577487000,126835000,241855000,208797000,640415000,1007977000,127672000,55377000,72295000,64444000,64444000,192116000,219675000,200764000,319425000,511541000,1000,495835000,6e+05,496436000,496436000,1007977000,17273000,10397000,4367000,-21099000,10938000,-4001000,6699000,2697999.99999999,-11067000,426000,426000,-61000.0000000005,-10702000,2934000,2934000,575000.000000001,3509000,34107000,99750000,15242000,0.24209,0.03777,0.02752,0.03479,0.01714,0.88242,1.91323,1.03043,0.09896,0.41884,0.41647,15.221,12.03773,0.36959,0.02117,0.01868,2.30047,3.30924
"23","2015_Q4",26.98140625,"Up",683918000,-515051000,168867000,-135615000,-125117000,-10498000,33252000,-366000,-933000,32886000,32886000,-12796000,20090000,20090000,20090000,20090000,23232000,23232000,362016000,362016000,20954000,18977000,1977000,406202000,63587000,592123000,122241000,241855000,228027000,655710000,1061912000,146910000,66903000,80007000,66332000,66332000,213242000,219699000,203812000,331388000,544630000,1000,518397000,-1116000,517282000,517282000,1061912000,20090000,10498000,-2129000,-14840000,13619000,-5131000,-17473000,-22604000,11939000,327000,327000,-369000,11897000,2912000,2912000,-968000,1944000,43750000,111689000,36575000,0.24691,0.04862,0.02937,0.03884,0.01892,1.82056,1.90489,1.05287,0.10518,0.48649,0.4827,16.56136,12.5262,0.88568,0.02367,0.0431,2.02187,2.6602
"24","2016_Q1",23.1498360655738,"Down",810733000,-625729000,185004000,-151847000,-141419000,-10428000,33157000,-293000,-1180000,32864000,32864000,-4696000,28168000,28168000,28168000,28168000,29781000,29781000,461476000,461476000,51708000,23553000,28155000,542965000,57530000,658947000,153859000,268495000,236593000,716477000,1259442000,155797000,69727000,86070000,72179000,72179000,227976000,252496000,232997000,495893000,723869000,1000,549585000,-14013000,535573000,535573000,1259442000,28168000,10428000,17100000,-103941000,-48245000,-5804000,-5931000,-79235000,131707000,399000,399000,-199000,131907000,4427000,4427000,2122000,6549000,43585000,243397000,-61464000,0.22819,0.0409,0.03474,0.05259,0.02237,-2.18205,2.38168,1.35158,0.19326,0.68142,0.67017,19.61277,12.95626,-1.4869,0.02731,-0.05959,4.90114,6.44256
"25","2016_Q2",20.8796875,"Down",645980000,-495468000,150512000,-141913000,-130624000,-11289000,8599000,-1019000,-1969000,7580000,7580000,-612000,6968000,6968000,6968000,6968000,27873172.555383,27864349.7729214,474196822.052693,474196822.052693,64766919.7536209,25039970.5879251,39726949.1656958,566836914.361697,54295547.062098,674527070.773594,163292070.466219,268614830.906778,242015329.253338,728822617.835693,1295659532.19739,155479366.255621,68307851.1940698,87171515.0196914,76799543.6352612,76799543.6352612,234063257.372314,264434493.499557,253728250.109226,529039131.640917,763102389.013231,1000.00000002841,550187997.253776,-17631854.0696177,532557143.184158,532557143.184158,1295659532.19739,6968000,11289000,4418000,137830000,160505000,-3876000,-11650000,-87526000,-79744000,477000,477000,-2058000,-81325000,-8346000,-8346000,453000,-7893000,19888000,0,154454000,0.233,0.01331,0.01079,0.0583260398175637,0.0241457927668493,22.16619,2.43628649362349,1.43322455183174,0.20838771284178,0.1679,0.16671,15.56503,12.8334857119109,3.7216,0.0294913252049665,-0.0934754103034186,5.55291854152983,7.48124983465221
"26","2016_Q3",21.841875,"Up",672612000,-502688000,169924000,-246750000,-135787000,-110963000,-76826000,-887000,-1740000,-77713000,-77713000,13978000,-63735000,-63735000,-63735000,-63735000,22319338.1274742,22314066.9446901,415597775.852135,415597775.852135,57585392.5777997,23938429.2545026,33646963.3232971,495502506.557409,55778528.719519,648198843.593465,148994571.863961,246067984.417721,251103843.243233,703977372.312984,1199479878.87039,152260435.588087,67024776.2411562,85235659.3219216,81899523.013905,81899523.013905,237146557.684074,251798691.842147,253571525.875349,444012511.693755,681159069.377829,1000.00000001698,531489615.211577,-13169805.7190133,518320809.492564,518320809.492564,1199479878.87039,-63735000,11694000,85974000,-10102000,23831000,-7554000,-2275000,-9692000,-15574999.9999999,363000,363000,-238000,-15450000,-1311000,-1311000,1195000,-116000,-65132000,0,-96766000,0.25263,-0.11422,-0.09476,0.0533062652639339,0.0229794080262352,1.51826,2.09819482121745,1.31151662692699,0.160432769036871,-1.52886,-1.52886,16.13443,12.4313463259314,-2.3212,0.0286585215966784,-0.0397223739732586,4.20535021125576,6.08510672760663
"27","2016_Q4",21.0765079365079,"Down",697097000,-518702000,178395000,-150644000,-134679000,-15965000,27751000,-867000,-1721000,26884000,26884000,-3455000,23429000,23429000,23429000,23429000,24781000,24781000,364618000,364618000,46437000,22280000,24157000,435836000,59898000,628374000,131828000,225905000,266267000,688272000,1124108000,151709000,67868000,83841000,91718000,91718000,243427000,231095000,231095000,368206000,611633000,1000,522200000,-9726000,512475000,512475000,1124108000,23429000,11690000,8685000,-14891000,28913000,-6336000,-9010000,-15346000,-10967000,343000,343000,-376000,-1.1e+07,2567000,2567000,442000,3009000,39441000,137111000,21669000,0.25591,0.03981,0.03361,0.04572,0.02084,0.92488,1.79042,1.19349,0.12197,0.56101,0.55709,16.69214,12.27132,0.51887,0.0266,0.0246,2.84805,4.04778
"28","2017_Q1",25.5241935483871,"Up",734951000,-554064000,180887000,-157406000,-145387000,-12019000,23481000,-572000,-1736000,22909000,22909000,-4822000,18087000,18087000,18087000,18087000,34970000,34970000,352606000,352606000,40227000,21373000,18854000,427803000,63998000,638644000,125671000,224223000,281980000,702642000,1130445000,146540000,66758000,79782000,104595000,104595000,251135000,218769000,203823000,354131000,605266000,1000,536611000,-11433000,525179000,525179000,1130445000,18087000,12019000,3641999.99999999,13706000,47454000,-11276000,509999.999999998,-11379000,-1749000.00000001,-5389000,359000,-208000,-7346000,28729000,28729000,-318000,28411000,35500000,135362000,42752000,0.24612,0.03195,0.02461,0.03444,0.016,2.36369,1.70348,1.15249,0.11974,0.43437,0.44061,17.65012,12.61237,1.02671,0.02057,0.04862,2.82794,4.27546
"29","2017_Q2",26.6873015873016,"Up",568244000,-428815000,139429000,-133018000,-121844000,-11174000,6411000,74000,-1232000,6485000,6485000,-1811000,4674000,4674000,4674000,4674000,26083000,26083000,302082000,302082000,29311000,20005000,9306000,357476000,64118000,629173000,120569000,225952000,276648000,693291000,1050767000,115140000,51429000,63711000,98998000,98998000,238694000,223148000,223148000,278288000,516982000,1000,542680000,-8896000,533785000,533785000,1050767000,4674000,11174000,6556000,31714000,54118000,-6167000,-10552000,-16719000,-57934000,491000,491000,-2400000,-59843000,-22444000,-22444000,-339000,-22783000,17585000,79696000,44943000,0.24537,0.01128,0.00823,0.00876,0.00445,9.61553,1.49763,0.96852,0.07585,0.11226,0.11145,13.64757,12.81997,1.0794,0.00559,0.05372,3.04879,8.36266
"30","2017_Q3",22.6119047619048,"Down",610122000,-454842000,155280000,-137041000,-124754000,-12287000,18239000,155000,-1296000,18394000,18394000,-5260000,13134000,13134000,13134000,13134000,29123000,29123000,337058000,337058000,28524000,18430000,10094000,394705000,61821000,622347000,115244000,226191000,277683000,684168000,1078873000,130214000,54992000,75222000,76604000,76604000,230807000,227288000,227288000,314492000,545299000,1000,542020000,-8447000,533574000,533574000,1078873000,13134000,12287000,7206000,-22538000,10089000,-2970000,3386000,416000,31498000,-15163000,367000,-18773000,-2438000,8067000.00000001,8067000.00000001,185000,8252000,30526000,111193000,10278000,0.25451,0.02989,0.02153,0.02462,0.01217,0.78255,1.71011,1.02197,0.10306,0.31588,0.31379,14.6738,12.83278,0.24719,0.01506,0.01179,2.68853,4.4997
