"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2013_Q2",2.9128125,"Down",20870000,-17523000,3347000,-4294000,-3631000,-663000,-947000,90000,90000,-857000,-857000,-862000,-862000,-862000,-862000,19422000,10177000,12639000,12639000,1317000,1021000,33378000,626000,7974000,971000,8600000,41978000,12340000,276000,12064000,998000,998000,13338000,339000,339000,13677000,128730000,-99598000,-831000,28301000,28301000,41978000,-862000,210000,252000,205000,-195000,-18000,561000,1000,367000,367000,-93000,274000,-737000,0,0.16037,-0.04538,-0.0413,-0.03046,-0.02053,2.50247,0.48327,0,-0.07761,-0.07761,1.879,2.54803,-0.0301,26.35278,20.50898
"12","2013_Q3",2.81015625,"Down",21837000,-18044000,3793000,-4579000,-3841000,-738000,-786000,25000,25000,-761000,-761000,-805000,-805000,-805000,-805000,20102000,10771000,13614000,13614000,1364000,1069000,35080000,520000,7917000,972000,8437000,43517000,14614000,510000,14104000,872000,872000,15486000,322000,322000,15808000,128991000,-100403000,-879000,27709000,27709000,43517000,-805000,195000,254000,1108000,752000,-31000,-120000,7000,639000,639000,-45000,593999.999999999,-591000,1.65436122510606e-24,0.1737,-0.03599,-0.03686,-0.02905,-0.0185,2.26527,0.5705,0,-0.0722,-0.0722,1.95865,2.48534,-0.02872,34.01354,25.57506
"13","2013_Q4",3.1521875,"Up",23572000,-20203000,3369000,-4764000,-3960000,-804000,-1395000,-15000,-15000,-1410000,-1410000,-3567000,-3567000,-3567000,-3567000,21289000,13236000,12811000,12811000,1460000,1300000,35560000,561000,5188000,343000,5749000,41309000,15151000,778000,14373000,1074000,1074000,16225000,628000,628000,16853000,129215000,-103968000,-791000,24456000,24456000,41309000,-3567000,181000,2401000,1620000,635000,-167000,1737000,4000,2376000,2376000,89000,2465000,-1214000,0,0.14292,-0.05918,-0.15132,-0.14585,-0.08635,2.19168,0.68912,0,-0.31865,-0.31865,2.10577,2.18474,-0.1422,17.53624,15.26093
"14","2014_Q1",3.41213114754098,"Up",25829000,-21313000,4516000,-4491000,-3940000,-551000,25000,-60000,-60000,-35000,-34999.9999999998,-23000,-23000,-23000,-23000,20805000,13510000,15893000,15893000,2325000,2313000,39023000,411000,5214000,309000,5625000,44648000,17012000,634000,16378000,2177000,2177000,19189000,788000,788000,19977000,129423000,-103993000,-759000,24671000,24671000,44648000,-23000,115000,193000,-858000,-573000,22000,783000,39000,249000,249000,25000,274000,140000,0,0.17484,0.000970000000000013,-0.000890000000000002,-0.000929999999999959,-0.000520000000000007,2.03361,0.80974,-3.94430452610506e-31,-0.00204999999999994,-0.00205,2.29673,2.19376,-0.000900000000000012,-148.60714,-832.2
"15","2014_Q2",3.26301587301587,"Down",22731000,-19196000,3535000,-3732000,-3300000,-432000,-197000,-91000,-91000,-288000,-288000,-393000,-393000,-393000,-393000,22976000,16845000,13130000,13130000,1820000,1808000,37926000,1496000,5179000,307000,6675000,44601000,15044000,187000,14857000,2707000,2707000,17751000,1971000,1971000,19722000,129946000,-104385000,-682000,24879000,24879000,44601000,-393000,163000,277000,1848000,1895000,-80000,1083000,280000,3258000,3258000,77000,3335000,-34000,0,0.15551,-0.00867,-0.01729,-0.0158,-0.00881,2.13656,0.79272,0,-0.0345,-0.0345,1.9957,2.18428,-0.01464,675.76471,116.62944
"16","2014_Q3",3.49,"Up",23055000,-18790000,4265000,-3595000,-3172000,-423000,670000,-11000,-11000,659000,659000,651000,651000,651000,651000,24131000,11102000,11235000,11235000,1575000,1575000,36941000,1342000,5145000,307000,6487000,43428000,13410000,61000,13349000,2008000,2008000,15418000,1924000,1924000,17342000,130449000,-103735000,-628000,26086000,26086000,43428000,651000,162000,219000,-201000,831000,-13000,-6911000,283000,-5797000,-5797000,54000,-5743000,832000,4.2351647362715e-22,0.18499,0.02906,0.02824,0.02496,0.01499,2.39597,0.6648,-6.3108872417681e-30,0.05656,0.05557,2.00304,2.26638,0.02324,-29.0036100000002,-36.0164199999999
"17","2014_Q4",4.0596875,"Up",24535000,-20572000,3963000,-3240000,-2880000,-360000,723000,-16000,-16000,707000,707000,691000,691000,691000,691000,25221000,12575000,11749000,11749000,457000,457000,37427000,1405000,5110000,306000,6515000,43942000,13562000,171000,13391000,1504000,1504000,15066000,1936000,1936000,17002000,130709000,-103044000,-725000,26940000,26940000,43942000,691000,154000,228000,265000,1338000,-183000,2e+05,32000,1570000,1570000,-97000,1473000,877000,0,0.16152,0.02947,0.02816,0.02565,0.01573,2.4842,0.63111,0,0.05929,0.0584,2.10511,2.31145,0.02393,-28.75827,-34.88382
"18","2015_Q1",4.58262295081967,"Up",25595000,-20831000,4764000,-3476000,-3011000,-465000,1288000,17000,17000,1305000,1305000,1396000,1396000,1396000,1396000,26390000,13127000,13626000,13626000,717000,717000,40733000,1336000,5172000,304000,6508000,47241000,16057000,165000,15892000,987000,987000,17044000,1620000,1620000,18664000,131071000,-101648000,-846000,28577000,28577000,47241000,1396000,145000,206000,-485000,1262000,-44000,-661000,71000,672000.000000001,672000.000000001,-120000,552000,1433000,0,0.18613,0.05032,0.05454,0.04885,0.02955,2.38987,0.65311,0,0.1189,0.11429,2.17997,2.43395,0.04623,-18.41591,-20.48913
"19","2015_Q2",5.73047619047619,"Up",26265000,-20816000,5449000,-3573000,-3007000,-566000,1876000,24000,24000,1900000,1900000,1823000,1823000,1823000,1823000,26594000,9948000,13490000,13490000,715000,705000,40799000,1234000,5128000,304000,6362000,47161000,14116000,211000,13905000,835000,835000,14951000,1548000,1548000,16499000,131410000,-99825000,-923000,30662000,30662000,47161000,1823000,146000,264000,-2017000,216000,-11000,-3388000,75000,-3097000,-3097000,-82000,-3179000,2022000,0,0.20746,0.07143,0.06941,0.05945,0.03865,2.72885,0.53809,0,0.15478,0.1512,2.23001,2.60333,0.0566,-13.15232,-14.17591
"20","2015_Q3",6.5540625,"Up",28873000,-23641000,5232000,-3361000,-2939000,-422000,1871000,68000,68000,1939000,1939000,1885000,1885000,1885000,1885000,29430000,11966000,15418000,15418000,709000,698000,45557000,1159000,5097000,305000,6256000,51813000,16226000,191000,16035000,921000,921000,17147000,1477000,1477000,18624000,131962000,-97940000,-833000,33189000,33189000,51813000,1885000,142000,305000,2e+05,2532000,-33000,-853000,247000,1926000,1926000,92000,2018000,2013000,-5.42101086242752e-20,0.18121,0.0648,0.06529,0.0568,0.03638,2.65685,0.56115,1.61558713389263e-27,0.15899,0.15331,2.43531,2.79934,0.05438,-14.61997,-15.72956
"21","2015_Q4",7.9221875,"Up",26435000,-21562000,4873000,-3486000,-3174000,-312000,1387000,32000,32000,1419000,1419000,1245000,1245000,1245000,1245000,29311000,13385000,15560000,15560000,524000,514000,45395000,1236000,4962000,302000,6198000,51593000,14122000,285000,13837000,998000,998000,15120000,1396000,1396000,16516000,132601000,-96695000,-829000,35077000,35077000,51593000,1245000,137000,453000,-1963000,-128000,-181000,1363000,186000,1421000,1421000,-2000,1419000,1524000,0,0.18434,0.05247,0.0471,0.03549,0.02413,3.00231,0.47085,0,0.10411,0.09987,2.21047,2.9331,0.03413,-19.23294,-21.13266
"22","2016_Q1",5.54819672131148,"Down",25028000,-20112000,4916000,-3619000,-3280000,-339000,1297000,8000,8000,1305000,1305000,1140000,1140000,1140000,1140000,29723000,16443000,19009000,19009000,580000,580000,49312000,1167000,4779000,302000,5946000,55258000,15644000,188000,15456000,1433000,1433000,17077000,1274000,1274000,18351000,133331000,-95555000,-869000,36907000,36907000,55258000,1140000,150000,703000,-1730000,263000,-47000,2598000,208000,3069000,3069000,-11000,3058000,1447000,0,0.19642,0.05182,0.04555,0.03089,0.02063,2.88763,0.49722,0,0.09376,0.08866,2.05839,3.03536,0.02986,-20.54112,-22.91673
"23","2016_Q2",5.71484375,"Up",25439000,-21143000,4296000,-3647000,-3206000,-441000,649000,21000,21000,670000,670000,5e+05,5e+05,5e+05,5e+05,27626000,12342000,21323000,21323000,734000,734000,49683000,1088000,4618000,303000,5706000,55389000,15276000,470000,14806000,1046000,1046000,16322000,1194000,1194000,17516000,133774000,-95055000,-846000,37873000,37873000,55389000,5e+05,151000,413000,-3176000,-2112000,-38000,-2026000,58000,-4080000,-4080000,-21000,-4101000,8e+05,0,0.16887,0.02551,0.01965,0.0132,0.00903,3.04393,0.46249,0,0.04132,0.0399,2.10205,3.12948,0.0128,-34.5325,-42.56703
"24","2016_Q3",5.00828125,"Down",22738000,-18845000,3893000,-3978000,-3204000,-774000,-85000,55000,55000,-30000,-30000,-185000,-185000,-185000,-185000,26898000,10619000,19377000,19377000,784000,784000,47059000,1037000,4584000,303000,5621000,52680000,12539000,328000,12211000,868000,868000,13407000,1107000,1107000,14514000,134264000,-95240000,-858000,38166000,38166000,52680000,-185000,152000,215000,-1106000,-924000,-67000,-1055000,275000,-1704000,-1704000,-19000,-1723000,67000,-6.93889390390723e-18,0.17121,-0.00374,-0.00814,-0.00485,-0.00351,3.51003,0.38029,-2.06795153138257e-25,-0.01522,-0.01522,1.87113,3.14072,-0.00471,-401.46269,316.44706
"25","2016_Q4",5.10428571428571,"Up",22467000,-18790000,3677000,-4092000,-3283000,-809000,-415000,128000,128000,-287000,-287000,-106000,-106000,-106000,-106000,31577000,12346000,19808000,19808000,459000,459000,51844000,1194000,4317000,54000,5511000,57355000,14017000,284000,13733000,1485000,1485000,15502000,3063000,3063000,18565000,135043000,-95346000,-907000,38790000,38790000,57355000,-106000,139000,280000,3929000,4242000,-263000,-2996000,499000,1745000,1745000,-18000,1727000,-276000,0,0.16366,-0.01847,-0.00472,-0.00273,-0.00185,3.34434,0.4786,0,-0.00861,-0.00861,1.8251,3.1511,-0.00253,114.40942,76.08916
"26","2017_Q1",5.54209677419355,"Up",26797000,-22843000,3954000,-5261000,-4426000,-835000,-1307000,43000,43000,-1264000,-1264000,-1261000,-1261000,-1261000,-1261000,33200000,14312000,21579000,21579000,878000,878000,55657000,1089000,4262000,53000,5351000,61008000,17836000,283000,17553000,2385000,2385000,20221000,2675000,2675000,22896000,135660000,-96607000,-941000,38112000,38112000,61008000,-1261000,156000,339000,2167000,1401000,-22000,320999.999999999,278000,2e+06,2e+06,-34000,1966000,-1151000,0,0.14755,-0.04877,-0.04706,-0.03309,-0.02067,2.75244,0.60076,3.30872245021211e-24,-0.10107,-0.10467,2.14788,3.05483,-0.03092,28.84448,25.4016800000001
"27","2017_Q2",5.10238095238095,"Down",22841000,-16588000,6253000,-6212000,-4865000,-1347000,41000,55000,55000,96000,96000,202000,202000,202000,202000,30984000,9704000,15751000,15751000,2357000,1474000,49092000,1040000,4271000,87000,5311000,54403000,12075000,372000,11703000,2235000,2235000,14310000,887000,887000,15197000,136150000,-96016000,-928000,39206000,39206000,54403000,202000,153000,399000,-2977000,-2223000,-83000,-2479000,91000,-4611000,-4611000,3000,-4608000,194000,0,0.27376,0.0018,0.00884,0.00515,0.00371,3.43061,0.38762,0,0.0161,0.01572,1.82,3.12398,0.00504,-159.71134,-755.70732
"28","2017_Q3",5.19507936507936,"Up",18848000,-14975000,3873000,-6492000,-5046000,-1446000,-2619000,59000,59000,-2560000,-2560000,-2560000,-2560000,-2560000,-2560000,27296000,9468000,17949000,17949000,1832000,1196000,47077000,1077000,4241000,82000,5318000,52395000,11827000,390000,11437000,2618000,2618000,14445000,851000,851000,15296000,136591000,-98576000,-916000,37099000,37099000,52395000,-2560000,167000,411000,-1567000,-3549000,-181000,3273000,27000,-249000,-249000,13000,-236000,-2452000,0,0.20549,-0.13895,-0.13582,-0.069,-0.04886,3.25905,0.4123,5.29395592033938e-23,-0.20355,-0.20355,1.49861,2.94975,-0.06746,11.13214,10.4223000000001
"29","2017_Q4",4.90269841269841,"Down",19653000,-15273000,4380000,-6926000,-5338000,-1588000,-2546000,34000,34000,-2512000,-2512000,-2468000,-2468000,-2468000,-2468000,26758000,13131000,16609000,16609000,1654000,957000,45021000,1019000,4207000,72000,5226000,50247000,11394000,393000,11001000,2957000,2957000,14351000,658000,658000,15009000,137187000,-101044000,-905000,35238000,35238000,50247000,-2468000,163000,540000,1239000,-526000,-80000,4124000,56000,3654000,3654000,9000,3663000,-2383000,0,0.22287,-0.12955,-0.12558,-0.07004,-0.04912,3.13713,0.42593,0,-0.19576,-0.19576,1.5589,2.79511,-0.06875,11.2287,10.50982
"30","2018_Q1",4.12524590163934,"Down",19469000,-15853000,3616000,-7913000,-5733000,-2180000,-4297000,66000,66000,-4231000,-4231000,-4232000,-4232000,-4232000,-4232000,24754000,12859000,18014000,18014000,1485000,548000,44253000,989000,4192000,89000,5181000,49434000,13869000,375000,13494000,3558000,3558000,17427000,577000,577000,18004000,137622000,-105276000,-916000,31430000,31430000,49434000,-4232000,151000,391000,1765000,-1925000,-95000,1631000,28000,-266000,-266000,-6000,-272000,-4146000,0,0.18573,-0.22071,-0.21737,-0.13465,-0.08561,2.53934,0.57283,4.2351647362715e-22,-0.33476,-0.34284,1.54003,2.48616,-0.13222,5.97057,5.76075999999999
"31","2018_Q2",3.7296875,"Down",20678000,-15478000,5200000,-7678000,-5448000,-2230000,-2478000,44000,44000,-2434000,-2434000,-2434000,-2434000,-2434000,-2434000,21435000,10692000,16712000,16712000,1766000,832000,39913000,954000,4243000,164000,5197000,45110000,13984000,279000,13705000,1305000,1305000,15289000,481000,481000,15770000,137965000,-107710000,-915000,29340000,29340000,45110000,-2434000,141000,331000,-1288000,-3250000,-82000,1060000,12000,-2178000,-2178000,11000,-2167000,-2337000,0,0.25147,-0.11984,-0.11771,-0.08296,-0.05396,2.61057,0.53749,0,-0.19206,-0.19206,1.63166,2.31516,-0.08162,9.17202,8.65012
"32","2018_Q3",2.34190476190476,"Down",19203000,-15942000,3261000,-6979000,-4901000,-2078000,-3718000,47000,47000,-3671000,-3671000,-3683000,-3683000,-3683000,-3683000,17861000,10238000,16219000,16219000,1434000,511000,35514000,1220000,4266000,212000,5486000,4.1e+07,12617000,382000,12235000,1572000,1572000,14189000,1176000,1176000,15365000,137932000,-111393000,-904000,25635000,25635000,4.1e+07,-3683000,164000,-16000,383000,-3152000,-406000,2720000,5000,-427000,-427000,-27000,-454000,-3554000,0,0.16982,-0.19362,-0.19179,-0.14367,-0.08983,2.50292,0.59938,-6.7762635780344e-21,-0.29007,-0.29007,1.5124,2.01898,-0.13737,5.0256,4.80393
"33","2018_Q4",2.11190476190476,"Down",16694000,-13335000,3359000,-5491000,-3199000,-2292000,-2132000,65000,65000,-2067000,-2067000,-2087000,-2087000,-2087000,-2087000,17271000,11392000,13124000,13124000,1707000,677000,32102000,1306000,4240000,211000,5546000,37648000,10762000,329000,10433000,1982000,1982000,12744000,1046000,1046000,13790000,138223000,-113480000,-885000,23858000,23858000,37648000,-2087000,161000,305000,1225000,-396000,-221000,1544000,-8000,1140000,1140000,14000,1154000,-1971000,0,0.20121,-0.12771,-0.12501,-0.08748,-0.05543,2.51899,0.578,0,-0.16406,-0.16406,1.31232,1.87548,-0.0838,8.76256,8.10084
"34","2019_Q1",2.07491803278689,"Down",16839000,-13149000,3690000,-5555000,-3526000,-2029000,-1865000,51000,51000,-1814000,-5552000,-5533000,-5533000,-5533000,-5533000,16414000,10005000,11581000,11581000,2008000,685000,30003000,911000,1080000,813000,1991000,31994000,10467000,565000,9902000,1652000,1652000,12119000,1534000,1534000,13653000,138280000,-119013000,-926000,18341000,18341000,31994000,-5533000,173000,3796000,1003000,-561000,246000,-257000,0,-818000,-818000,-43000,-861000,-1692000,0,0.21913,-0.11075,-0.32858,-0.30167,-0.17294,2.4757,0.7444,-1.0842021724855e-19,-0.43372,-0.43372,1.31998,1.43772,-0.27839,9.70095,8.80107
"35","2019_Q2",1.66412698412698,"Down",15096000,-12705000,2391000,-5270000,-2934000,-2336000,-2879000,33000,33000,-2846000,-2846000,-2846000,-2846000,-2846000,-2846000,14662000,7489000,9713000,9713000,2053000,874000,26428000,989000,2256000,2007000,3245000,29673000,9782000,221000,9561000,2682000,1551000,12464000,1162000,1536000,1.4e+07,138448000,-121859000,-916000,15673000,15673000,29673000,-2846000,194000,168000,1025000,-1459000,-246000,-983000,9000,-2433000,-2433000,-8000,-2441000,-2685000,374000,0.15839,-0.19071,-0.18853,-0.18159,-0.09591,2.12035,0.89326,0.0126,-0.22243,-0.22243,1.17984,1.22493,-0.16538,5.32142,4.96283
"36","2019_Q3",1.2446875,"Down",14180000,-11757000,2423000,-4976000,-3082000,-1894000,-2553000,61000,61000,-2492000,-3868000,-3868000,-3868000,-3868000,-3868000,11960000,6333000,8957000,8957000,1980000,592000,22897000,450000,1620000,1395000,2070000,24967000,9708000,680000,9028000,1104000,1104000,11882000,1250000,1250000,13132000,138562000,-125727000,-1e+06,11835000,11835000,24967000,-3868000,286000,390000,534000,-2658000,-18000.0000000001,1588000,-9000.00000000001,-1079000,-1079000,-78000,-1157000,-2267000,1070000,0.17087,-0.18004,-0.27278,-0.32683,-0.15492,1.92703,1.10959,0.04286,-0.29839,-0.29839,1.09388,0.91298,-0.27326,4.80371,4.26557
"37","2019_Q4",1.22390625,"Down",14641000,-12009000,2632000,-3508000,-2462000,-1046000,-876000,22000,22000,-854000,-1107000,-1107000,-1107000,-1107000,-1107000,11010000,6763000,8777000,8777000,1655000,426000,21442000,351000,1263000,1063000,1614000,23056000,8585000,203000,8382000,1806000,1806000,11226000,942000,942000,12168000,138726000,-126834000,-1004000,10888000,10888000,23056000,-1107000,216000,188000,-174000,-877000,-36000,1365000,614610.496195726,488000,488000,-58000,430000,-660000,835000,0.17977,-0.05983,-0.07561,-0.10167,-0.04801,1.91003,1.11756,0.03622,-0.08394,-0.08394,1.11018,0.8256,-0.08741,15.41667,11.6153
