"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_investment_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","accrued_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_acquisitions_divestitures","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"12","2013_Q1",57.0975,"Down",1.293e+09,-1.91e+08,1.102e+09,-8.49e+08,-5.81e+08,-2.68e+08,2.53e+08,7e+06,-1e+06,7e+06,1e+06,2.6e+08,2.6e+08,-5.4e+07,2.06e+08,2.06e+08,2.06e+08,2.06e+08,4.631e+09,1.609e+09,1.151e+09,1.151e+09,3.38e+08,1.59e+08,6.12e+09,6.65e+08,3.811e+09,7.32e+08,2.848e+09,1.03e+08,1.28e+08,4.476e+09,1.0596e+10,7.34e+08,9e+07,6.44e+08,2.196e+09,2.196e+09,2.93e+09,1.926e+09,1.265e+09,6.61e+08,1.926e+09,4.856e+09,3.436e+09,2.298e+09,6e+06,5.74e+09,5.74e+09,1.0596e+10,2.06e+08,9.3e+07,9.6e+07,9.8e+07,4.93e+08,-8.1e+07,-1.59e+08,0,-2.27e+08,-1.21e+08,3.9e+07,-1.6e+08,-1.6e+07,-1.37e+08,1.29e+08,1.29e+08,1.29e+08,3.46e+08,0,4.17e+08,0.85228,0.19567,0.15932,0.03589,0.01944,2.02427,2.08874,0.84599,0,0.48472,0.47552,3.04243,13.50623,0.9812,0.02687,0.0544,-13.38439,-18.30435
"13","2013_Q2",50.88625,"Down",1.191e+09,-1.82e+08,1.009e+09,-7.86e+08,-5.15e+08,-2.71e+08,2.23e+08,4e+06,-1e+06,8e+06,-3e+06,2.27e+08,1.64e+08,9e+06,1.73e+08,1.73e+08,1.73e+08,1.73e+08,4936680000,1840149000,773204000,773204000,347899000,146995000,6057783000,693993000,3929454000,701375000,3003068000,107846000,117165000,4623447000,10681230000,636615000,58830000,577785000,2191159000,2191159000,2827774000,1940531000,1299049000,641482000,1940531000,4768305000,3435547000,2471877000,5501000,5912925000,5912925000,10681230000,1.73e+08,9.1e+07,7.8e+07,3.34e+08,6.76e+08,-7.8e+07,-69000000.0000001,-1.84e+08,-3.31e+08,-1.14e+08,6.8e+07,-1.82e+08,0,-1.14e+08,2.31e+08,2.31e+08,2.31e+08,3.14e+08,0,5.61e+08,0.84719,0.18724,0.14526,0.02926,0.0162,3.24277,2.14224,0.80642,-1.61558713389263e-27,0.40392,0.40046,2.78076,13.80557,1.30983,0.02203,0.07143,-15.72191,-22.13758
"14","2013_Q3",56.21828125,"Up",1.244e+09,-1.73e+08,1.071e+09,-7.99e+08,-5.38e+08,-2.61e+08,2.72e+08,2.2e+07,-1e+06,7e+06,1.6e+07,2.94e+08,2.94e+08,-4.9e+07,2.45e+08,2.45e+08,2.45e+08,2.45e+08,5.323e+09,1839700000,940900000,940900000,3.2e+08,161500000,6583900000,742800000,3819800000,627300000,2966400000,118800000,107300000,4562600000,11146500000,748700000,87300000,661400000,2230200000,2230200000,2978900000,2011300000,1366200000,645100000,2011300000,4990200000,3.445e+09,2.716e+09,-4700000,6156300000,6156300000,11146500000,2.45e+08,8.8e+07,9.6e+07,1.05e+08,5.34e+08,-7.5e+07,-3.99e+08,3.1e+07,-4.44e+08,-7.3e+07,4.7e+07,-1.2e+08,-1.7e+07,-9e+07,0,0,0,3.6e+08,0,4.39e+08,0.86093,0.21865,0.19695,0.0398,0.02198,1.79184,2.21018,0.81058,0,0.56977,0.56582,2.89302,14.31698,1.02093,0.03,0.05375,-14.78611,-19.56985
"15","2013_Q4",57.42546875,"Up",1.289e+09,-1.83e+08,1.106e+09,-8.18e+08,-5.53e+08,-2.65e+08,2.88e+08,2.1e+07,-1e+06,6e+06,1.6e+07,3.09e+08,3.08e+08,-4.7e+07,2.61e+08,2.61e+08,2.61e+08,2.61e+08,5.837e+09,2.263e+09,7.89e+08,7.89e+08,2.99e+08,1.16e+08,6.925e+09,7.93e+08,3.736e+09,6.02e+08,2.958e+09,6.3e+07,1.13e+08,4.529e+09,1.1454e+10,6.3e+08,8.4e+07,5.46e+08,2.241e+09,2.225e+09,2.871e+09,2.056e+09,1.411e+09,6.45e+08,2.056e+09,4.927e+09,3.549e+09,2.977e+09,1e+06,6.527e+09,6.527e+09,1.1454e+10,2.61e+08,8.2e+07,1.26e+08,1.69e+08,6.38e+08,-9.4e+07,-97000000.0000001,6e+06,-1.88e+08,-2e+07,7e+07,-9e+07,-7e+06,-2.7e+07,4.23e+08,4.23e+08,4.23e+08,3.7e+08,0,4.92e+08,0.85803,0.22343,0.20248,0.03999,0.02279,1.88506,2.41205,0.75486,0,0.60673,0.60191,2.99646,15.17293,1.14372,0.03041,0.05732,-15.77568,-20.26736
"16","2014_Q1",68.1593442622951,"Up",1.483e+09,-1.92e+08,1.291e+09,-9.13e+08,-6.28e+08,-2.85e+08,3.78e+08,7e+06,-1e+06,9e+06,-1e+06,3.85e+08,3.81e+08,-4.6e+07,3.35e+08,3.35e+08,3.35e+08,3.35e+08,6.175e+09,2.305e+09,1.22e+09,1.22e+09,2.86e+08,9.6e+07,7.681e+09,8.45e+08,3.801e+09,6.07e+08,3.027e+09,6e+07,1.07e+08,4.646e+09,1.2327e+10,7.17e+08,1.09e+08,6.08e+08,2.576e+09,2.558e+09,3.293e+09,2.218e+09,1.534e+09,6.84e+08,2.218e+09,5.511e+09,3.5e+09,3.312e+09,4e+06,6.816e+09,6.816e+09,1.2327e+10,3.35e+08,7.6e+07,1.31e+08,1.45e+08,6.87e+08,-9.8e+07,-3.08e+08,-1.05e+08,-5.09e+08,-1.04e+08,1.2e+07,-1.16e+08,-3.2e+07,-1.36e+08,42000000.0000001,42000000.0000001,4.2e+07,4.54e+08,8.88178419700125e-16,5.47e+08,0.87053,0.25489,0.22589,0.04915,0.02718,1.63284,2.33252,0.80854,0,0.7827,0.77433,3.46491,15.92505,1.27802,0.03708,0.06055,-13.60132,-16.33598
"17","2014_Q2",67.5871428571429,"Down",1.36e+09,-2.01e+08,1.159e+09,-9.18e+08,-6.25e+08,-2.93e+08,2.41e+08,4e+06,-5e+06,9e+06,0,2.45e+08,2.45e+08,-4.6e+07,1.99e+08,1.99e+08,1.99e+08,1.99e+08,6.616e+09,2.788e+09,8.3e+08,8.3e+08,3.51e+08,1.5e+08,7.797e+09,8.86e+08,5.016e+09,8.31e+08,3.906e+09,8.9e+07,1.9e+08,5.902e+09,1.3699e+10,6.89e+08,9.3e+07,5.96e+08,2.598e+09,2.572e+09,3.287e+09,3.342e+09,1.6e+09,1.742e+09,3.342e+09,6.629e+09,3.554e+09,3.511e+09,5e+06,7.07e+09,7.07e+09,1.3699e+10,1.99e+08,8.3e+07,8.5e+07,3.83e+08,7.5e+08,-7.7e+07,33000000.0000001,-1.068e+09,-1.198e+09,-8.1e+07,8.8e+07,-1.69e+08,-3.8e+07,9.31e+08,4.83e+08,4.83e+08,4.83e+08,3.24e+08,0,6.76e+08,0.85221,0.17721,0.14632,0.02815,0.01453,3.39698,2.37207,0.93762,-2.06795153138257e-25,0.46256,0.45832,3.1612,16.43361,1.5713,0.01911,0.06493,-20.41975,-27.45228
"18","2014_Q3",67.63640625,"Up",1.457e+09,-2.18e+08,1.239e+09,-1.04e+09,-7.23e+08,-3.17e+08,1.99e+08,2e+06,-7e+06,9e+06,0,2.01e+08,2.02e+08,-3.5e+07,1.67e+08,1.67e+08,1.67e+08,1.67e+08,6.637e+09,2.054e+09,1.119e+09,1.119e+09,4.05e+08,1.9e+08,8.161e+09,9.36e+08,5.062e+09,7.99e+08,3.898e+09,1.35e+08,2.3e+08,5.998e+09,1.4159e+10,9.28e+08,1.02e+08,8.26e+08,2.713e+09,2.713e+09,3.641e+09,3.429e+09,1.676e+09,1.753e+09,3.429e+09,7.07e+09,3.403e+09,3.678e+09,8e+06,7.089e+09,7.089e+09,1.4159e+10,1.67e+08,8.1e+07,7.9e+07,81999999.9999999,4.09e+08,-7.6e+07,-7.86e+08,-1.19209289550781e-07,-8.62e+08,-2.27e+08,1.1e+07,-2.38e+08,-5.4e+07,-2.81e+08,-7.34e+08,-7.34e+08,-7.34e+08,2.8e+08,-1.4210854715202e-14,3.21e+08,0.85038,0.13658,0.11462,0.02356,0.01179,1.92216,2.24142,0.99732,0,0.38795,0.38469,3.38473,16.46831,0.74571,0.01588,0.03052,-23.70357,-33.35176
"19","2014_Q4",59.31421875,"Down",1.516e+09,-2.43e+08,1.273e+09,-1.026e+09,-7e+08,-3.26e+08,2.47e+08,2e+06,-6e+06,1e+07,-2e+06,2.49e+08,2.44e+08,-5e+07,1.94e+08,1.94e+08,1.94e+08,1.94e+08,7.094e+09,2.293e+09,9.57e+08,9.57e+08,4.81e+08,2.49e+08,8.532e+09,9.69e+08,5.018e+09,7.72e+08,3.935e+09,1.56e+08,1.55e+08,5.987e+09,1.4519e+10,9.29e+08,1.5e+08,7.79e+08,2.742e+09,2.725e+09,3.671e+09,3.412e+09,1.65e+09,1.762e+09,3.412e+09,7.083e+09,3.557e+09,3.872e+09,1e+06,7.43e+09,7.436e+09,1.4519e+10,1.94e+08,9.1e+07,8.6e+07,2.35e+08,6.06e+08,-1.01e+08,-2.28e+08,-4.4e+07,-3.73e+08,1.6e+07,5.9e+07,-4.3e+07,-1e+07,6e+06,2.39e+08,2.39e+08,2.39e+08,3.38e+08,0,5.22e+08,0.83971,0.16293,0.12797,0.02609,0.01336,2.69072,2.32416,0.95253,-3.30872245021211e-24,0.45096,0.44782,3.52396,17.27112,1.21339,0.01788,0.04812,-20.98817,-28.72065
"20","2015_Q1",56.8665573770492,"Down",1.702e+09,-2.55e+08,1.447e+09,-1.091e+09,-7.88e+08,-3.03e+08,3.56e+08,1.3e+07,-6e+06,1e+07,9e+06,3.69e+08,3.57e+08,-3.1e+07,3.26e+08,3.26e+08,3.26e+08,3.26e+08,7.075e+09,2.071e+09,1.52e+09,1.52e+09,2.87e+08,2.87e+08,8.882e+09,1.035e+09,5.299e+09,7.48e+08,3.964e+09,4.13e+08,1.74e+08,6.334e+09,1.5216e+10,1.014e+09,2.03e+08,8.11e+08,2.982e+09,2.982e+09,3.996e+09,3.634e+09,1.851e+09,1.783e+09,3.634e+09,7.63e+09,3.384e+09,4.198e+09,-1e+06,7.581e+09,7.586e+09,1.5216e+10,3.26e+08,9e+07,1.08e+08,-1.09e+08,4.15e+08,-9.8e+07,-2.15e+08,-5.6e+07,-3.52e+08,-2.44e+08,5999999.99999999,-2.5e+08,-4.1e+07,-2.85e+08,-2.22e+08,-2.22e+08,-2.22e+08,4.46e+08,-4.54747350886464e-13,2.7e+08,0.85018,0.20917,0.19154,0.04297,0.02142,0.82822,2.22272,1.0058,0,0.75718,0.74989,3.95312,17.60787,0.62711,0.02906,0.02406,-15.86323,-19.8736
"21","2015_Q2",60.6415873015873,"Up",1.511e+09,-2.43e+08,1.268e+09,-1.028e+09,-7.23e+08,-3.05e+08,2.4e+08,4e+06,-6e+06,1.2e+07,-2e+06,2.44e+08,2.22e+08,-2.6e+07,1.96e+08,1.96e+08,1.96e+08,1.96e+08,7.226e+09,1.941e+09,9.88e+08,9.88e+08,4.91e+08,2.41e+08,8.705e+09,1.059e+09,5.043e+09,7.19e+08,3.981e+09,1.75e+08,1.68e+08,6.102e+09,1.4807e+10,8.04e+08,1.24e+08,6.8e+08,2.97e+09,2.97e+09,3.774e+09,3.549e+09,1.774e+09,1.775e+09,3.549e+09,7.323e+09,3.086e+09,4.394e+09,0,7.48e+09,7.484e+09,1.4807e+10,1.96e+08,7.6e+07,1.02e+08,3.09e+08,6.83e+08,-1.06e+08,-2.71e+08,-2.1e+07,-3.97e+08,-3.84e+08,5.4e+07,-4.38e+08,-3.2e+07,-4.16e+08,-1.3e+08,-1.3e+08,-1.3e+08,3.16e+08,0,5.45e+08,0.83918,0.15884,0.12972,0.02619,0.01324,2.78061,2.30657,0.97849,0,0.46208,0.45923,3.56226,17.63448,1.28487,0.01776,0.0494,-22.86709,-30.10833
"22","2015_Q3",57.803125,"Down",1.521e+09,-2.5e+08,1.271e+09,-1.066e+09,-7.44e+08,-3.22e+08,2.05e+08,8e+06,-7e+06,1.3e+07,2e+06,2.13e+08,2.14e+08,-4.2e+07,1.72e+08,1.72e+08,1.72e+08,1.72e+08,6.996e+09,1.791e+09,1.214e+09,1.214e+09,5.02e+08,2.62e+08,8.712e+09,1.112e+09,5.029e+09,6.82e+08,3.981e+09,1.95e+08,1.71e+08,6.141e+09,1.4853e+10,9.25e+08,1.63e+08,7.62e+08,3.03e+09,3.022e+09,3.955e+09,3.587e+09,1.791e+09,1.796e+09,3.587e+09,7.542e+09,2.741e+09,4.566e+09,-3e+06,7.304e+09,7.311e+09,1.4853e+10,1.72e+08,8.3e+07,9.1e+07,-29999999.9999999,3.16e+08,-7.8e+07,6.9e+07,0,-7e+06,-3.97e+08,1.5e+07,-4.12e+08,-6.2e+07,-4.59e+08,-1.5e+08,-1.5e+08,-1.5e+08,2.88e+08,0,2.22e+08,0.83563,0.13478,0.11308,0.02353,0.01158,1.2907,2.20278,1.0316,0,0.40727,0.40568,3.60146,17.29457,0.52566,0.01578,0.02037,-24.29167,-34.12683
"23","2015_Q4",43.2409375,"Down",1.671e+09,-2.58e+08,1.413e+09,-1.088e+09,-7.57e+08,-3.31e+08,3.25e+08,-2e+06,-7e+06,1.3e+07,-8e+06,3.23e+08,3.24e+08,-6.9e+07,2.55e+08,2.55e+08,2.55e+08,2.55e+08,7.222e+09,2.083e+09,1.011e+09,1.011e+09,4.29e+08,1.75e+08,8.662e+09,1.124e+09,5.005e+09,6.45e+08,3.981e+09,2.04e+08,1.75e+08,6.129e+09,1.4791e+10,7.61e+08,1.39e+08,6.22e+08,2.989e+09,2.989e+09,3.75e+09,3.507e+09,1.697e+09,1.81e+09,3.507e+09,7.257e+09,2.711e+09,4.821e+09,-3e+06,7.529e+09,7.534e+09,1.4791e+10,2.55e+08,8.7e+07,1.09e+08,-3.9e+07,4.12e+08,-9e+07,5.6e+07,0,4.2e+07,-1.46e+08,5.4e+07,-2e+08,-1.6e+07,-1.62e+08,2.92e+08,2.92e+08,2.92e+08,4.12e+08,0,3.52e+08,0.8456,0.19449,0.1526,0.03385,0.01724,1.38039,2.30987,0.96323,0,0.60478,0.60304,3.9631,17.85647,0.83484,0.0231,0.03188,-17.52913,-22.22154
