"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","long_term_investments_receivables","other_long_term_assets","intangible_assets","prepaid_pension_costs","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","dividends_per_share","return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2017_Q4",33.1838095238095,"Up",1.595e+09,-5.19e+08,1.076e+09,-4.54e+08,-1.62e+08,-2.92e+08,6.22e+08,-1e+07,-1.15e+08,1.05e+08,6.12e+08,6.8e+08,-1.7e+08,5.1e+08,5.1e+08,5.1e+08,5.1e+08,1.42e+08,1.42e+08,6.28e+08,6.28e+08,1.57e+08,6.5e+07,6.5e+07,9.92e+08,1.67e+10,1.67e+10,1.85e+08,1.602e+09,1.87e+08,1.356e+09,5.9e+07,1.8487e+10,1.9479e+10,1.139e+09,7.49e+08,1.888e+09,7.384e+09,4.642e+09,7.26e+08,3.695e+09,2.21e+08,1.2026e+10,1.3914e+10,2.067e+09,5.213e+09,-1.715e+09,5.565e+09,5.565e+09,1.9479e+10,5.1e+08,1.62e+08,-1.45e+08,5.27e+08,-3.06e+08,0,-3.06e+08,-8.3e+07,-3e+06,-2.24e+08,2e+06,-3.1e+08,-8.9e+07,-8.9e+07,-7e+06,-9.6e+07,7.84e+08,8.133e+09,0.67461,0.38997,0.31975,0.09164,0.02618,0.52542,2.50027,0.41753,0.70103,0.69959,2.19244,7.64948,0.11409,0.03233,0.16275,10.1926,12.84727
"12","2018_Q1",34.4560655737705,"Up",1.713e+09,-5.85e+08,1.128e+09,-4.46e+08,-1.68e+08,-2.78e+08,6.82e+08,-1.32e+08,-1.16e+08,-1.6e+07,5.5e+08,6.21e+08,3.63e+08,9.84e+08,9.84e+08,9.84e+08,9.84e+08,3.38e+08,3.38e+08,6.87e+08,6.87e+08,1.52e+08,9.7e+07,9.7e+07,1.274e+09,1.7016e+10,1.7016e+10,1.82e+08,1.663e+09,1.87e+08,1.407e+09,6.9e+07,1.8861e+10,2.0135e+10,1.238e+09,7.46e+08,1.984e+09,7.413e+09,4.301e+09,7.49e+08,3.321e+09,2.31e+08,1.1714e+10,1.3698e+10,2.075e+09,6.103e+09,-1.741e+09,6.437e+09,6.437e+09,2.0135e+10,9.84e+08,1.68e+08,-4.19e+08,7.33e+08,-4.32e+08,-2e+06,-4.34e+08,-8.1e+07,-1.5e+07,-7000000.00000003,6e+06,-1.03e+08,1.96e+08,1.96e+08,-1.86264514923096e-09,1.96e+08,8.5e+08,8.159e+09,0.65849,0.39813,0.57443,0.15287,0.04887,0.64214,2.12801,0.40521,1.35631,1.35351,2.36113,8.8725,0.11165,0.05636,0.08232,9.20118,11.46774
"13","2018_Q2",35.19546875,"Up",1.662e+09,-6.44e+08,1.018e+09,-4.78e+08,-1.7e+08,-3.08e+08,5.4e+08,-1.66e+08,-1.15e+08,-5.1e+07,3.74e+08,4.7e+08,-1.22e+08,3.48e+08,3.48e+08,3.48e+08,3.48e+08,1.25e+08,1.25e+08,6.99e+08,6.99e+08,1.54e+08,1.39e+08,1.39e+08,1.117e+09,1.7234e+10,1.7234e+10,1.86e+08,1.781e+09,1.92e+08,1.507e+09,8.2e+07,1.9201e+10,2.0318e+10,1.183e+09,7.56e+08,1.939e+09,7.601e+09,4.344e+09,7.49e+08,3.39e+09,2.05e+08,1.1945e+10,1.3884e+10,2.067e+09,6.072e+09,-1.705e+09,6.434e+09,6.434e+09,2.0318e+10,3.48e+08,1.7e+08,-1.21e+08,3.97e+08,-2.37e+08,-1e+06,-2.38e+08,-8.2e+07,-5e+06,-2.9e+08,8e+06,-3.77e+08,-2.18e+08,-2.18e+08,5e+06,-2.13e+08,7.1e+08,8.357e+09,0.61252,0.32491,0.20939,0.05409,0.01713,0.57607,2.15791,0.41131,0.48199,0.48066,2.30194,8.91136,0.11357,0.02247,0.23563,11.59437,15.24444
"14","2018_Q3",38.395873015873,"Up",1.75e+09,-6.34e+08,1.116e+09,-4.89e+08,-1.72e+08,-3.17e+08,6.27e+08,-1.64e+08,-1.12e+08,-5.2e+07,4.63e+08,5.58e+08,-1.22e+08,4.36e+08,4.36e+08,4.36e+08,4.36e+08,5.1e+07,5.1e+07,6.86e+08,6.86e+08,1.6e+08,1.03e+08,1.03e+08,1e+09,1.7616e+10,1.7616e+10,1.93e+08,1.876e+09,1.96e+08,1.616e+09,6.4e+07,1.9685e+10,2.0685e+10,1.213e+09,5.47e+08,1.76e+09,7.936e+09,4.415e+09,7.49e+08,3.448e+09,2.18e+08,1.2351e+10,1.4111e+10,2.058e+09,6.189e+09,-1.673e+09,6.574e+09,6.574e+09,2.0685e+10,4.36e+08,1.72e+08,1.03e+08,7.11e+08,-4.08e+08,0,-4.08e+08,-8.1e+07,-4.3e+07,-2.57e+08,4e+06,-3.81e+08,-7.8e+07,-7.8e+07,4e+06,-73999999.9999999,7.99e+08,8.483e+09,0.63771,0.35829,0.24914,0.06632,0.02108,0.56818,2.14649,0.4101,0.61064,0.60894,2.45098,9.20728,0.11345,0.02655,0.18578,10.55319,13.44817
"15","2018_Q4",38.4604761904762,"Up",1.898e+09,-6.38e+08,1.26e+09,-4.7e+08,-1.74e+08,-2.96e+08,7.9e+08,-6.5e+07,-1.12e+08,4.7e+07,7.25e+08,8.21e+08,-1.99e+08,6.22e+08,6.22e+08,6.22e+08,6.22e+08,1.5e+08,1.5e+08,7.59e+08,7.59e+08,1.56e+08,6.5e+07,6.5e+07,1.13e+09,1.7792e+10,1.7792e+10,2.01e+08,1.986e+09,1.92e+08,1.726e+09,6.8e+07,1.9979e+10,2.1109e+10,1.189e+09,4.8e+08,1.669e+09,7.806e+09,4.506e+09,7.46e+08,3.528e+09,2.32e+08,1.2312e+10,1.3981e+10,2.064e+09,6.718e+09,-1.654e+09,7.128e+09,7.128e+09,2.1109e+10,6.22e+08,1.74e+08,-1.23e+08,6.73e+08,-4.23e+08,0,-4.23e+08,-9.2e+07,-5.8e+07,4e+06,4e+06,-1.46e+08,1.04e+08,1.04e+08,-5e+06,9.9e+07,9.64e+08,8.286e+09,0.66386,0.41623,0.32771,0.08726,0.02947,0.67705,1.96142,0.39253,0.87237,0.86932,2.66199,9.99719,0.12903,0.03584,0.14791,8.43983,10.29873
"16","2019_Q1",38.6734426229508,"Up",2.006e+09,-6.71e+08,1.335e+09,-3.31e+08,-1.8e+08,-1.51e+08,1.004e+09,-2.32e+08,-1.14e+08,-1.18e+08,7.72e+08,7.39e+08,-1.94e+08,5.45e+08,5.45e+08,5.45e+08,5.45e+08,6.1e+07,6.1e+07,8.15e+08,8.15e+08,1.73e+08,6.8e+07,6.8e+07,1.117e+09,1.8418e+10,1.8418e+10,2.03e+08,1.516e+09,2.02e+08,1.243e+09,7.1e+07,2.0137e+10,2.1254e+10,1.449e+09,5.06e+08,1.955e+09,8.19e+09,4.473e+09,7.18e+08,3.518e+09,2.37e+08,1.2663e+10,1.4618e+10,2.044e+09,6.635e+09,-2.043e+09,6.636e+09,6.636e+09,2.1254e+10,5.45e+08,1.8e+08,2.06e+08,9.31e+08,-4.05e+08,1.6e+07,-3.89e+08,-9.3e+07,-9e+06,-5.36e+08,8e+06,-6.38e+08,-9.6e+07,-9.6e+07,7e+06,-89000000.0000001,1.184e+09,8.696e+09,0.6655,0.5005,0.27168,0.08213,0.02564,0.57136,2.20283,0.40915,0.76869,0.76707,2.82934,9.35966,0.13117,0.03221,0.17064,7.29307,8.6006
"17","2019_Q2",43.1714285714286,"Up",1.767e+09,-6.72e+08,1.095e+09,-5.52e+08,-1.6e+08,-3.92e+08,5.43e+08,-6.7e+07,-1.14e+08,4.7e+07,4.76e+08,5.73e+08,-1.39e+08,4.34e+08,4.34e+08,4.34e+08,4.34e+08,3.52e+08,3.52e+08,7.44e+08,7.44e+08,1.82e+08,9.8e+07,9.8e+07,1.376e+09,1.8312e+10,1.8312e+10,2.01e+08,2.021e+09,1.98e+08,1.352e+09,4.71e+08,2.0534e+10,2.191e+10,1.312e+09,4.96e+08,1.808e+09,8.427e+09,4.861e+09,7.14e+08,3.549e+09,5.98e+08,1.3288e+10,1.5096e+10,2.043e+09,6.798e+09,-2.027e+09,6.814e+09,6.814e+09,2.191e+10,4.34e+08,1.6e+08,-1.81e+08,4.13e+08,-2.18e+08,-1e+06,-2.19e+08,-9.1e+07,3.92e+08,-2.03e+08,4e+06,9.8e+07,2.92e+08,2.92e+08,-1e+06,2.91e+08,7.03e+08,8.923e+09,0.61969,0.3073,0.24561,0.06369,0.01981,0.76106,2.21544,0.40726,0.61956,0.61779,2.52248,9.72734,0.12991,0.02549,0.20968,12.19203,15.78453
"18","2019_Q3",45.605625,"Up",1.977e+09,-6.73e+08,1.304e+09,-4.82e+08,-1.83e+08,-2.99e+08,8.22e+08,-7.2e+07,-1.12e+08,4e+07,7.5e+08,8.48e+08,-1.24e+08,7.24e+08,7.24e+08,7.24e+08,7.24e+08,4.5e+07,4.5e+07,7.95e+08,7.95e+08,1.95e+08,8e+07,8e+07,1.115e+09,1.8489e+10,1.8489e+10,2.1e+08,2.119e+09,1.93e+08,1.46e+09,4.66e+08,2.0818e+10,2.1933e+10,1.401e+09,2.73e+08,1.674e+09,8.266e+09,4.836e+09,7.13e+08,3.525e+09,5.98e+08,1.3102e+10,1.4776e+10,2.041e+09,7.125e+09,-2.009e+09,7.157e+09,7.157e+09,2.1933e+10,7.24e+08,1.83e+08,-1.86e+08,7.21e+08,-4.51e+08,-4e+06,-4.55e+08,-9.1e+07,-2.34e+08,-2.47e+08,1e+07,-5.72e+08,-3.06e+08,-3.06e+08,-1e+06,-3.07e+08,1.005e+09,8.539e+09,0.65959,0.41578,0.36621,0.10116,0.03301,0.66607,2.06455,0.38932,1.03651,1.03207,2.83035,10.24624,0.13028,0.03969,0.12569,8.45174,10.33333
"19","2019_Q4",45.5784375,"Down",1.979e+09,-6.15e+08,1.364e+09,-4.95e+08,-1.85e+08,-3.1e+08,8.69e+08,-1.39e+08,-1.1e+08,-2.9e+07,7.3e+08,8.29e+08,-2.11e+08,6.18e+08,6.18e+08,6.18e+08,6.18e+08,1.45e+08,1.45e+08,7.7e+08,7.7e+08,1.88e+08,8.3e+07,8.3e+07,1.186e+09,1.8909e+10,1.8909e+10,2.15e+08,2.229e+09,1.95e+08,1.572e+09,4.62e+08,2.1353e+10,2.2539e+10,1.415e+09,6.75e+08,2.09e+09,8.308e+09,4.926e+09,7.12e+08,3.635e+09,5.79e+08,1.3234e+10,1.5324e+10,2.027e+09,7.18e+09,-1.992e+09,7.215e+09,7.215e+09,2.2539e+10,6.18e+08,1.85e+08,2e+07,8.23e+08,-4.6e+08,-1e+06,-4.61e+08,-1.16e+08,3.49e+08,-4.94e+08,6e+06,-2.63e+08,9.9e+07,9.9e+07,1e+06,1e+08,1.054e+09,8.983e+09,0.68924,0.43911,0.31228,0.08565,0.02742,0.56746,2.12391,0.39855,0.895,0.89177,2.86604,10.44895,0.16799,0.03475,0.1877,8.3852,10.17031
"20","2020_Q1",47.9659677419355,"Up",2.069e+09,-8.09e+08,1.26e+09,-3.7e+08,-1.78e+08,-1.92e+08,8.9e+08,-8.1e+07,-1.12e+08,3.1e+07,8.09e+08,8.96e+08,-2.32e+08,6.64e+08,6.64e+08,6.64e+08,6.64e+08,1.33e+08,1.33e+08,8.05e+08,8.05e+08,1.82e+08,9e+07,9e+07,1.21e+09,1.9156e+10,1.9156e+10,3.41e+08,1.66e+09,2.06e+08,1.003e+09,4.51e+08,2.1157e+10,2.2367e+10,1.693e+09,5.99e+08,2.292e+09,8.158e+09,4.848e+09,7.85e+08,3.501e+09,5.62e+08,1.3006e+10,1.5298e+10,2.041e+09,7.55e+09,-2.522e+09,7.069e+09,7.069e+09,2.2367e+10,6.64e+08,1.78e+08,2.17e+08,1.033e+09,-4.92e+08,-1.76e+08,-6.68e+08,-1.14e+08,-8.6e+07,-1.64e+08,6e+06,-3.74e+08,-8999999.99999994,-8999999.99999994,-3e+06,-1.2e+07,1.068e+09,8.757e+09,0.60899,0.43016,0.32093,0.09393,0.02969,0.52792,2.1641,0.39151,0.96723,0.96372,3.01384,10.29716,0.16606,0.03763,0.17169,8.07491,9.68989
