"","YQ","p","d","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","foreign_exchange_gain_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","prepaid_expenses","total_current_assets","other_long_term_assets","goodwill","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","total_debt","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","equity_per_share","return_on_invested_capital","net_debt_ebit"
"11","2017_Q2",64.7238095238095,"Down",-10485073,-2870742,-7614331,-10485073,-159523,-16683,-10644596,-10644596,-10644596,-10644596,-10644596,-10644596,85359363,68894824,871513,791513,86230876,49069399,14869399,49075737,135306613,8027076,3275442,4751634,12986042,13433760,0,16034318,29020360,249789083,-143502830,106286253,106286253,135306613,-10644596,1375180,3221517,-6044597,8436273,-14085785,-14085785,-14085785,7559524,-0.10015,-0.07867,6.64027,0.27304,0.05587,-2.40763,-2.40763,24.04014,-0.08363,7.42006
"12","2017_Q3",57.3587301587302,"Down",-9745541,-2601408,-7144133,-9745541,-34583,-20115,-9780124,-9780124,-9780124,-9780124,-9780124,-9780124,77572854,50191362,501693,421693,78074547,49302379,14869399,49305415,127379962,9521144,1431466,8089678,14587644,13433760,0,14760239,29347883,251315033,-153282954,98032079,98032079,127379962,-9780124,1250349,1682380,-6844093,-970415,-18703462,-18703462,-18703462,6392979,-0.09976,-0.07678,5.3521,0.29937,0.05019,-2.13077,-2.13077,21.35802,-0.08298,7.30384
"13","2017_Q4",49.5873015873016,"Down",-11407056,-2450588,-8956468,-11407056,146481,-9417,-11260575,-11260575,-11260575,-11260575,-11260575,-11260575,132929836,36254748,1152559,1072559,134082395,49069399,14869399,59424821,193507216,44701417,1503412,43198005,49895754,13433760,0,13433760,63329514,294721231,-164543529,130177702,130177702,193507216,-11260575,1237494,34913574,24893199,40968162,-13936614,-13936614,-13936614,5194337,-0.0865,-0.05819,2.68725,0.48649,0.02684,-2.20362,-2.20362,25.47486,-0.07567,11.19794
"14","2018_Q1",48.0491803278689,"Down",-9532491,-2991531,-6540960,-9532491,318307,-10672,-9214184,-9214184,162088.000000002,162088.000000002,162088.000000002,162088.000000002,128161240,26051821,1379184,1299184,129540424,49084207,14869399,54158134,183698558,2875484,1435636,1439848,6838147.99999999,45262966,41205478,45262966,52101114,295978885,-164381441,131597444,131597444,183698558,162088.000000002,-8185098,-890419,-8911644.99999999,-1267413,-10202927,-10202927,-10202927,3962664,0.00123,0.000879999999999999,18.94379,0.39591,0.02157,0.0334400000000006,0.0334400000000001,27.148,0.000899999999999998,13.02897
"15","2018_Q2",60.728125,"Up",-12743812,-4294545,-8449267,-12743812,325549,-18109,-12418263,-12418263,-12418263,-12418263,-12418263,-12418263,120996820,45125725,4343406,4243406,125340226,49084207,14869399,49130785,174471011,46393099,2824931,43568168,49090133,4087761,30273,4087761,53177894,298092821,-176799704,121293117,121293117,174471011,-12418263,2083976,-601812,-10931732,-1289882,19093904,19093904,19093904,2697034,-0.10238,-0.07118,2.55327,0.43842,0.01546,-2.56381,-2.56381,25.04158,-0.09696,9.28292
"16","2018_Q3",75.1460317460317,"Up",-12934543,-3872309,-9062234,-12934543,405035,29274,-12529508,-12529508,-12529508,-12529508,-12529508,-12529508,108487357,68688605,3329438,3229438,111816795,49084207,14869399,49126418,160943213,44796905,1309843,43487062,46193575,4088156,30667.9999999925,4088156,50281731,299990694,-189329212,110661482,110661482,160943213,-12529508,1881602,-581831,-11225370,-1312750,23562880,23562880,23562880,1396670,-0.11322,-0.07785,2.42061,0.45437,0.00868,-2.58678,-2.58678,22.84663,-0.10788,8.27943
"17","2018_Q4",73.2,"Down",-12424026,-4054575,-8369451,-12424026,403342,-10987,-12020684,-12020684,-12020684,-12020684,-12020684,-12020684,97605228,87296544,3799556,3699556,101404784,49084207,14869399,49122052,150526836,3870264,874749,2995515,3870264,45263164,41205676,45263164,49133428,302743304,-201349896,101393408,101393408,150526836,-12020684,2253251,-221751,-9984818,-907243,18607939,18607939,18607939,0,-0.11855,-0.07986,26.201,0.48458,0,-2.47965,-2.47965,20.91565,-0.08196,7.85617
"18","2019_Q1",60.1022950819672,"Down",-13627501,-4619879,-9007622,-13627501,424669,-5025,-13202832,-13202832,-13202832,-13202832,-13202832,-13202832,87997310,50234871,2021050,1921050,90018360,49084207,14869399,49117685,139136045,3609198,1799666,1809532,3609198,45262078,41204590,45262078,48871276,304817497,-214552728,90264769,90264769,139136045,-13202832,1882275,1516354,-9799836,165105,-37061673,-37061673,-37061673,0,-0.14627,-0.09489,24.94137,0.54142,0,-2.71595,-2.71595,18.56832,-0.09742,6.45733
"19","2019_Q2",50.0520634920635,"Down",-16311871,-4705674,-11606197,-16311871,484671,-6313,-15827200,-15827200,-15827200,-15827200,-15827200,-15827200,79164426,30607868,1154034,1054034,80318460,49455577,14869399,49484688,129803148,6746518,3025563,3720955,6902677,45233088,41175600,45476203,52378880,307804196,-230379928,77424268,77424268,129803148,-15827200,2233206,3989035,-9600592,525000,-19627003,-19627003,-19627003,243115,-0.20442,-0.12193,11.63584,0.67652,0.00187,-3.24926,-3.24926,15.8949,-0.12878,4.83827
"20","2019_Q3",56.631875,"Up",-12903973,-4584361,-8319612,-12903973,427502,-6718,-12476471,-12476471,-12476471,-12476471,-12476471,-12476471,69293305,27844692,1553233,1453233,70846538,49420056,14869399,49444800,120291338,7427393,2941788,4485605,7588995,45233088,41175600,45434154,53023149,310124588,-242856399,67268189,67268189,120291338,-12476471,2060788,281676,-10129640,0,-2763176,-2763176,-2763176,201066,-0.18547,-0.10372,9.33543,0.78824,0.00167,-2.55758,-2.55758,13.78948,-0.1107,5.35434
"21","2019_Q4",44.09625,"Down",-14281772,-4607462,-9674310,-14281772,319769,-4766,-13962003,-13962003,-13962003,-13962003,-13962003,-13962003,59932786,37905972,1476637,1376637,61409423,49383599,14869399,49403977,110813400,9728800,5330450,4398350,9895981,45233088,41175600,45390044,55286025,312345777,-256818402,55527375,55527375,110813400,-13962003,2058512,2378003,-9521122,0,10061280,10061280,10061280,156956,-0.25144,-0.126,6.20549,0.99565,0.00142,-2.86211,-2.86211,11.38271,-0.13835,4.18546
"22","2020_Q1",60.3393548387097,"Up",-32367480,-3843245,-28524235,-32367480,195532,-10748,-32171948,-32171948,-29917816,-29917816,-29917816,-29917816,45854143,21412623,1282483,1182483,47136626,30346159,14869399,30362170,77498796,6456167,2317004,4139163,6629068,42978956,41175600,43090185,49719253,314515761,-286736218,27779543,27779543,77498796,-29917816,18946610,-3214030,-14180869,-1.00000000001455,-16493349,-16493349,-16493349,111229,-1.07697,-0.38604,7.1106,1.78978,0.00144,-6.13109,-6.13109,5.69289,-0.42215,1.41324
"23","2020_Q2",58.6552380952381,"Down",-12271578,-4189068,-8082510,-12271578,120413,-9392,-12151165,-12151165,-12151165,-12151165,-12151165,-12151165,37514334,30036149,951864,851864,38466198,30307710,14869399,30319354,68785552,6939287,3003054,3936233,7118052,42978956,41175600,43043306,50161358,317511577,-298887383,18624194,18624194,68785552,-12151165,2171677,772724,-9202397,797629,8623526,8623526,8623526,64350,-0.65244,-0.17665,5.40403,2.69334,0.00094,-2.48125,-2.48125,3.80303,-0.19704,3.05177
"24","2020_Q3",27.026875,"Down",-11667502,-5900518,-5766984,29508098,21278,-3661,29529376,29529376,29529376,29529376,29529376,29529376,35248399,32252075,642746,542746,35891145,30268227,14869399,30275505,66166650,7218208,3138559,4079649,7402985,1803356,0,1819644,9222629,326302028,-269358007,56944021,56944021,66166650,29529376,3506826,-40629611,-7589043,5304969,2215926,2215926,2215926,16288,0.51857,0.44629,4.8482,0.161960000000001,0.00025,5.98318,5.74608,11.53788,0.50251,-1.19398
"25","2020_Q4",25.18875,"Down",-8090281,-3451667,-4638614,-8090281,-22332,-27496,-8112613,-8112613,-8112613,-8112613,-8112613,-8112613,32515833,32515833,2474294,2374294,34990127,30227672,14869399,30230583,65220710,5237495,701585,4535910,5394451,1803356,-1053157.43071301,1803356,7197807,335493523,-277470620,58022903,58022903,65220710,-8112613,2092914,-3856370,-9871702,7135460,263758,263758,263758,0,-0.13982,-0.12439,6.48632,0.12405,0,-1.54759,-1.57743,11.06863,-0.1356,4.01912
"26","2021_Q1",24.9862295081967,"Down",-7299492,-3748160,-3551332,-7299492,-25335,-26634,-7324827,-7324827,-7324827,-7324827,-7324827,-7324827,25356952,25356952,2083264,1983264,27440216,14985993,14869399,30185993,57626209,3049023,995614,2053409,3160252,1803356,32267505.783717,1803356,4963608,337458048,-284795447,52662601,52662601,57626209,-7324827,2006204,-1843169,-7158881,0,-7158881,-7158881,-7158881,0,-0.13909,-0.12711,8.68292,0.0942499999999999,0,-1.37242,-1.38747,9.86716,-0.13448,3.4738
"27","2021_Q2",21.5250793650794,"Down",-7507521,-4248814,-3258707,-7507521,-756,-4856,-7508277,-8804733,-8804733,-8804733,-8804733,-8804733,80139593,80139593,1549625,1449625,81689218,30143160,14869399,30143160,111832378,3294284,1129627,2164657,3358634,63099812,61296456,63099812,66458446,338974112,-293600180,45373932,45373932,111832378,-8804733,2855353,732021,-5217359,6e+07,54782641,54782641,54782641,0,-0.19405,-0.07873,24.32216,1.46468,0,-1.64877,-1.64877,8.49668,-0.08117,10.67457
"28","2021_Q3",15.04125,"Down",-8963293,-3442365,-5520928,-8963293,-14431,-18997,-8977724,-10589163,-10589163,-10589163,-10589163,-10589163,74214767,74214767,1010577,910577,75225344,30099146,14869399,30099146,105324490,4428122,1593697,2834425,4444410,64711251,62907895,64711251,69155661,340358172,-304189343,36168829,36168829,105324490,-10589163,3039513,1624824,-5924826,0,-5924826,-5924826,-5924826,5.6843418860808e-14,-0.29277,-0.10054,16.92583,1.91202,0,-1.98292,-1.98292,6.77294,-0.10497,8.27986
"29","2021_Q4",9.414375,"Down",-7517618,-3004765,-4512853,-7517618,-699,-4855,-7518317,-9205407,-9205407,-9205407,-9205407,-9205407,65588119,65588119,1850451,1750451,67438570,14920479,14869399,30120479,97559049,3082760,1200509,1882251,3082760,66398341,64594985,66398341,69481101,341472698,-313394750,28077948,28077948,97559049,-9205407,2816555,-2237796,-8626648,0,-8626648,-8626648,-8626648,0,-0.32785,-0.09436,21.87604,2.47458,0,-1.7238,-1.7238,5.25785,-0.09744,8.72459
"30","2022_Q1",6.13451612903226,"Down",-21377225,-2630766,-18746459,-21377225,-444.000000000002,-4138,-21377669,-23110005,-21306649,-21306649,-21306649,-21306649,60755080,60755080,1446359,1346359,62201439,14920479,14869399,14920479,77121918,2818954,1853215,965739,2818954,66327321,66327321,66327321,69146275,342677042,-334701399,7975643,7975643,77121918,-21306649,16282244,191366,-4833039,1.86264514923096e-09,-4833039,-4833039,-4833039,-3.5527136788005e-15,-2.67146,-0.27627,22.06543,8.66968,5.29395592033938e-23,-3.98986,-3.98986,1.49351,-0.28675,2.84205
"31","2022_Q2",4.08564516129032,"Down",-7989258,-3029395,-4959863,-7989258,3623,-3794,-7985635,-9764429,-9764429,-9764429,-9764429,-9764429,54946711,54946711,750481,650481,55697192,14920479,14869399,14920479,70617671,3247686,1586168,1661518,3247686,68106115,68106115,68106115,71353801,343729698,-344465828,-736130,-736130,70617671,-9764429,2831450,1124610,-5808369,-2705674.90049241,-5808369,-5808369,-5808369,0,13.26454,-0.13827,17.14981,-96.93098,0,-1.82848,-1.82848,-0.13785,-0.14494,6.87757
"32","2022_Q3",5.92296875,"Up",-6965189,-2833211,-4131978,-6965189,73974,1596,-6891215,-8717714,-8717714,-8717714,-8717714,-8717714,49753998,49753998,284821,184821,50038819,14920479,14869399,14920479,64959298,3408928,1519729,1889199,3408928,69932614,69932614,69932614,73341542,344801298,-353183542,-8382244,-8382244,64959298,-8717714,2898104,626902,-5192708,-5.00000000186265,-5192713,-5192713,-5192713,0,1.04002,-0.1342,14.67876,-8.74962999999997,0,-1.63247,-1.63247,-1.56965,-0.14164,7.14324
