"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","long_term_investments_receivables","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",5.28177419354839,"Up",1.308e+09,-6.71e+08,6.37e+08,-5.24e+08,-3.13e+08,-6.6e+07,-1.45e+08,1.13e+08,-4e+07,-4.2e+07,2e+06,7.3e+07,7.3e+07,-2.8e+07,4.5e+07,4.5e+07,4.5e+07,4.5e+07,1.064e+09,5.42e+08,5.22e+08,1.37e+08,1.37e+08,2.86e+08,2.86e+08,1.487e+09,5.026e+09,6.298e+09,-1.272e+09,1.5e+08,4.78e+08,4.78e+08,5.654e+09,7.141e+09,4.86e+08,1.39e+08,3.47e+08,3.2e+08,7.19e+08,7.19e+08,1.525e+09,2.603e+09,1.11e+09,4.71e+08,6.39e+08,3.713e+09,5.238e+09,1.491e+09,4.32e+08,1.903e+09,1.903e+09,7.141e+09,4.5e+07,6.8e+07,3.6e+07,-9.8e+07,5.1e+07,-4.2e+07,9e+07,-2.33e+08,-1.85e+08,3e+07,0,0,-6e+06,2.4e+07,-1.1e+08,-1.1e+08,-1.1e+08,1.81e+08,2.923e+09,6.9e+07,0.487,0.08639,0.0344,0.02365,0.0063,1.53333,0.97508,2.7525,0.40933,0.15907,0.13051,4.62374,6.72704,0.24391,0.00758,0.01162,10.27072,16.45133
"12","2013_Q1",6.228,"Up",1.194e+09,-6.2e+08,5.74e+08,-5.3e+08,-3.14e+08,-6.8e+07,-1.48e+08,4.4e+07,-4.3e+07,-4.5e+07,2e+06,1e+06,1e+06,0,1e+06,1e+06,1e+06,1e+06,7.31e+08,1.82e+08,5.49e+08,1.06e+08,1.06e+08,2.27e+08,1.19e+08,1.1e+09,5.343e+09,6.652e+09,-1.309e+09,1.36e+08,4.91e+08,4.91e+08,5.97e+09,7.07e+09,5.21e+08,1.53e+08,3.68e+08,3.94e+08,6.93e+08,6.93e+08,1.608e+09,2.457e+09,1.117e+09,4.81e+08,6.36e+08,3.574e+09,5.182e+09,1.498e+09,4.33e+08,1.888e+09,1.888e+09,7.07e+09,1e+06,7.1e+07,1.2e+07,7.3e+07,1.57e+08,-1.86e+08,1.7e+07,-2.5e+08,-4.19e+08,-7.5e+07,3e+06,3e+06,-2.6e+07,-9.8e+07,-3.6e+08,-3.6e+08,-3.6e+08,1.15e+08,2.851e+09,2e+06,0.48074,0.03685,0.00084,0.00053,0.00014,2,0.68408,2.7447,0.40325,0.00354000000000002,0.00289999999999999,4.22487,6.68054,0.00708,0.00017,0.00034,18.43478,48.18182
"13","2013_Q2",6.5425,"Up",1.299e+09,-6.83e+08,6.16e+08,-5.57e+08,-3.3e+08,-6.8e+07,-1.59e+08,5.9e+07,-3.6e+07,-3.9e+07,3e+06,2.3e+07,2.3e+07,-9e+06,1.4e+07,1.4e+07,1.4e+07,1.4e+07,8.49e+08,3.46e+08,5.03e+08,1.41e+08,1.41e+08,2.96e+08,2.96e+08,1.286e+09,5.35e+09,6.718e+09,-1.368e+09,9.8e+07,5e+08,5e+08,5.948e+09,7.234e+09,5.54e+08,1.81e+08,3.73e+08,5.75e+08,8.33e+08,8.33e+08,1.962e+09,2.251e+09,1.124e+09,4.89e+08,6.35e+08,3.375e+09,5.337e+09,1.5e+09,4.47e+08,1.897e+09,1.897e+09,7.234e+09,1.4e+07,7.2e+07,1e+07,1.09e+08,2.05e+08,-7.4e+07,1.51e+08,-7.9e+07,-2e+06,-2.8e+07,6102019.66925991,6102009.43496925,-1.1e+07,-3.9e+07,1.64e+08,1.64e+08,1.64e+08,1.31e+08,2.826e+09,1.75e+08,0.47421,0.04542,0.01078,0.00738,0.00194,12.5,0.65545,2.81339,0.39066,0.05004,0.04533,4.64313,6.78062,0.62552,0.00239,0.02993,15.0916,33.50847
"14","2013_Q3",6.46125,"Down",1.335e+09,-6.89e+08,6.46e+08,-5.44e+08,-3.32e+08,-7.1e+07,-1.41e+08,1.02e+08,-4.2e+07,-4.6e+07,4e+06,6e+07,6e+07,-2.4e+07,3.6e+07,3.6e+07,3.6e+07,3.6e+07,8.67e+08,3.33e+08,5.34e+08,1.6e+08,1.6e+08,2.98e+08,2.98e+08,1.325e+09,5.474e+09,6.899e+09,-1.425e+09,7.6e+07,4.93e+08,4.93e+08,6.043e+09,7.368e+09,5.73e+08,1.76e+08,3.97e+08,6.47e+08,9.02e+08,9.02e+08,2.122e+09,2.173e+09,1.141e+09,5.12e+08,6.29e+08,3.314e+09,5.436e+09,1.507e+09,4.83e+08,1.932e+09,1.932e+09,7.368e+09,3.6e+07,7.4e+07,3e+07,5.7e+07,1.97e+08,-1.85e+08,3e+07,-4.4e+07,-1.99e+08,-7999999.99999999,4e+06,4e+06,-7e+06,-1.1e+07,-1.3e+07,-1.3e+07,-1.3e+07,1.76e+08,2.82e+09,7.2e+07,0.4839,0.0764,0.02697,0.01863,0.00489,2,0.62441,2.81366,0.38274,0.12829,0.09571,4.75732,6.88476,0.25657,0.00611,0.01222,11.09659,19.14706
"15","2013_Q4",7.9409375,"Up",1.442e+09,-7.23e+08,7.19e+08,-5.67e+08,-3.43e+08,-7.3e+07,-1.51e+08,1.52e+08,-3.3e+07,-3.7e+07,4e+06,1.19e+08,1.19e+08,-4.8e+07,7.1e+07,7.1e+07,7.1e+07,7.1e+07,9.54e+08,3.73e+08,5.81e+08,1.2e+08,1.2e+08,3.08e+08,3.08e+08,1.382e+09,5.484e+09,6.973e+09,-1.489e+09,8.6e+07,4.92e+08,4.92e+08,6.062e+09,7.444e+09,5.46e+08,1.76e+08,3.7e+08,6.36e+08,8.51e+08,8.51e+08,2.033e+09,2.206e+09,1.187e+09,5.59e+08,6.28e+08,3.393e+09,5.426e+09,1.511e+09,5.54e+08,2.018e+09,2.018e+09,7.444e+09,7.1e+07,7.7e+07,6.7e+07,-5.2e+07,1.63e+08,-7.5e+07,-2.8e+07,-3.6e+07,-1.39e+08,2e+07,0,0,-4e+06,1.6e+07,4e+07,4e+07,4e+07,2.29e+08,2.842e+09,1.5e+08,0.49861,0.10541,0.04924,0.03518,0.00954,2.11268,0.67978,2.6888,0.38178,0.25272,0.20654,5.13275,7.183,0.53392,0.01174,0.02481,8.24454,12.42105
"16","2014_Q1",8.7655737704918,"Up",1.365e+09,-6.69e+08,6.96e+08,-5.81e+08,-3.53e+08,-7.8e+07,-1.5e+08,1.15e+08,-3.8e+07,-4e+07,2e+06,7.7e+07,7.7e+07,-3e+07,4.7e+07,4.7e+07,4.7e+07,4.7e+07,6.27e+08,2.25e+08,4.02e+08,1.29e+08,1.29e+08,2.52e+08,1.26e+08,1.056e+09,5.656e+09,7.208e+09,-1.552e+09,1.14e+08,5.24e+08,5.24e+08,6.294e+09,7.35e+09,5.8e+08,1.8e+08,4e+08,4.69e+08,8.25e+08,8.25e+08,1.874e+09,2.116e+09,1.226e+09,6.05e+08,6.21e+08,3.342e+09,5.216e+09,1.576e+09,6.01e+08,2.134e+09,2.134e+09,7.35e+09,4.7e+07,8.3e+07,3e+07,3.3e+07,1.93e+08,-2.81e+08,2.42e+08,-9.7e+07,-1.36e+08,-2.03e+08,6e+06,6e+06,-8e+06,-2.05e+08,-1.48e+08,-1.48e+08,-1.48e+08,1.98e+08,2.585e+09,-2e+07,0.50989,0.08425,0.03443,0.02202,0.00639,-0.42553,0.5635,2.44424,0.3517,0.16214,0.13613,4.70899,7.3619,-0.069,0.00791,-0.00336,9.88889,17.02609
"17","2014_Q2",9.24412698412698,"Up",1.349e+09,-6.66e+08,6.83e+08,-6.42e+08,-3.83e+08,-7.8e+07,-1.81e+08,4.1e+07,-3.5e+07,-3.8e+07,3e+06,6e+06,6e+06,-2e+06,4e+06,4e+06,4e+06,4e+06,7.71e+08,5.01e+08,2.7e+08,1.33e+08,1.33e+08,4.52e+08,4.52e+08,1.356e+09,5.652e+09,7.227e+09,-1.575e+09,9.7e+07,5.4e+08,5.4e+08,6.289e+09,7.645e+09,6.61e+08,1.88e+08,4.73e+08,3.07e+08,1.007e+09,1.007e+09,1.975e+09,2.332e+09,1.202e+09,6.07e+08,5.95e+08,3.534e+09,5.509e+09,1.583e+09,6.05e+08,2.136e+09,2.136e+09,7.645e+09,4e+06,8.2e+07,2.3e+07,2.13e+08,3.22e+08,-1.58e+08,2.12e+08,-1e+08,-4.6e+07,1.1e+07,0,0,-1.1e+07,0,2.76e+08,2.76e+08,2.76e+08,1.23e+08,2.639e+09,1.8e+08,0.5063,0.03039,0.00297,0.00186999999999999,0.000519999999999998,45,0.68658,2.57912,0.34519,0.01357,0.01346,4.57598,7.24559,0.61058,0.00067,0.03012,15.18699,45.56098
"18","2014_Q3",11.418125,"Up",1.493e+09,-7.13e+08,7.8e+08,-6.39e+08,-3.85e+08,-7.7e+07,-1.77e+08,1.41e+08,-3.7e+07,-4.1e+07,4e+06,1.04e+08,3.45e+08,-1.15e+08,2.3e+08,2.3e+08,2.3e+08,2.3e+08,7.97e+08,4.54e+08,3.43e+08,1.55e+08,1.55e+08,3.13e+08,3.13e+08,1.265e+09,5.778e+09,7.417e+09,-1.639e+09,1.27e+08,4.87e+08,4.87e+08,6.392e+09,7.657e+09,6.28e+08,2.1e+08,4.18e+08,2.78e+08,1.028e+09,1.028e+09,1.934e+09,2.108e+09,1.3e+09,7.12e+08,5.88e+08,3.408e+09,5.342e+09,1.589e+09,8.35e+08,2.315e+09,2.315e+09,7.657e+09,2.3e+08,7.9e+07,-1.18e+08,2.8e+07,2.19e+08,-1.52e+08,-3.7e+07,2.84e+08,9.5e+07,-2.91e+08,9e+06,9e+06,-7.9e+07,-3.61e+08,-4.7e+07,-4.7e+07,-4.7e+07,2.2e+08,2.386e+09,2.11e+08,0.52244,0.09444,0.15405,0.09935,0.03004,0.91739,0.65408,2.30756,0.31161,0.78365,0.6688,5.08688,7.88756,0.71891,0.03833,0.03516,7.22273,11.2695
"19","2014_Q4",12.96765625,"Up",1.529e+09,-7.43e+08,7.86e+08,-6.22e+08,-3.77e+08,-7.9e+07,-1.66e+08,1.64e+08,-3.2e+07,-3.6e+07,4e+06,1.32e+08,1.32e+08,-5.3e+07,7.9e+07,7.9e+07,7.9e+07,7.9e+07,7.42e+08,4.49e+08,2.93e+08,1.45e+08,1.45e+08,3.28e+08,3.28e+08,1.215e+09,5.906e+09,7.594e+09,-1.688e+09,1.22e+08,4.98e+08,4.98e+08,6.526e+09,7.741e+09,6.2e+08,1.96e+08,4.24e+08,2.74e+08,1.021e+09,1.021e+09,1.915e+09,2.088e+09,1.352e+09,7.69e+08,5.83e+08,3.44e+09,5.355e+09,1.609e+09,9.14e+08,2.386e+09,2.386e+09,7.741e+09,7.9e+07,7.9e+07,5.7e+07,-3.2e+07,1.83e+08,-1.88e+08,1.14e+08,-8.8e+07,-1.62e+08,-2.6e+07,4e+06,4e+06,-4e+06,-2.6e+07,-5e+06,-5e+06,-5e+06,2.43e+08,2.362e+09,7.6e+07,0.51406,0.10726,0.05167,0.03311,0.01021,0.962030000000001,0.63446,2.24434,0.30513,0.27194,0.2316,5.26334,8.21343,0.26162,0.01295,0.01246,6.66667,9.87805
"20","2015_Q1",17.0218032786885,"Up",1.446e+09,-6.53e+08,7.93e+08,-6.24e+08,-3.8e+08,-8.6e+07,-1.58e+08,1.69e+08,-2.9e+07,-3.2e+07,3e+06,1.4e+08,1.4e+08,-5.2e+07,8.8e+07,8.8e+07,8.8e+07,8.8e+07,7.08e+08,3.41e+08,3.67e+08,1.36e+08,1.36e+08,3.1e+08,1.36e+08,1.2e+09,6.072e+09,7.817e+09,-1.745e+09,6e+07,5.07e+08,5.07e+08,6.639e+09,7.839e+09,6.98e+08,2.08e+08,4.9e+08,2.65e+08,9.73e+08,9.73e+08,1.936e+09,1.968e+09,1.406e+09,8.32e+08,5.74e+08,3.374e+09,5.31e+09,1.715e+09,1.002e+09,2.529e+09,2.529e+09,7.839e+09,8.8e+07,8.5e+07,5.3e+07,-3.8e+07,1.88e+08,-2.32e+08,1.53e+08,-1.87e+08,-2.66e+08,-5.4e+07,2.8e+07,2.8e+07,-4e+06,-30000000.0000001,-1.08e+08,-1.08e+08,-1.08e+08,2.54e+08,2.233e+09,3.6e+07,0.54841,0.11687,0.06086,0.0348,0.01123,0.40909,0.61983,2.09964,0.28486,0.29333,0.22506,4.82,8.43,0.12,0.01427,0.00584,6.00394,9.02367
"21","2015_Q2",20.2506349206349,"Up",1.523e+09,-5.62e+08,9.61e+08,-7.08e+08,-4.35e+08,-8.7e+07,-1.86e+08,2.53e+08,-3.1e+07,-3.3e+07,2e+06,2.22e+08,2.22e+08,-8.5e+07,1.37e+08,1.37e+08,1.37e+08,1.37e+08,9.98e+08,5.99e+08,3.99e+08,1.55e+08,1.55e+08,3.58e+08,3.58e+08,1.511e+09,6.161e+09,7.974e+09,-1.813e+09,9.8e+07,5.34e+08,5.34e+08,6.793e+09,8.304e+09,8e+08,2.48e+08,5.52e+08,2.64e+08,1.139e+09,1.139e+09,2.203e+09,1.917e+09,1.475e+09,8.97e+08,5.78e+08,3.392e+09,5.595e+09,1.758e+09,1.139e+09,2.709e+09,2.709e+09,8.304e+09,1.37e+08,8.7e+07,6e+07,2.44e+08,5.28e+08,-1.48e+08,5.9e+07,-1.48e+08,-2.37e+08,-5.5e+07,3e+07,3e+07,-8e+06,-3.3e+07,2.58e+08,2.58e+08,2.58e+08,3.4e+08,2.181e+09,5.21e+08,0.63099,0.16612,0.08995,0.05057,0.0165,3.80292,0.68588,2.06534,0.26264,0.44165,0.39573,4.90974,8.73308,1.67956,0.02152,0.08185,3.47941,4.67589
"22","2015_Q3",23.56671875,"Up",1.612e+09,-6.18e+08,9.94e+08,-7.12e+08,-4.45e+08,-8.1e+07,-1.86e+08,2.82e+08,-3.2e+07,-3.4e+07,2e+06,2.5e+08,2.5e+08,-9.8e+07,1.52e+08,1.52e+08,1.52e+08,1.52e+08,9.15e+08,4.22e+08,4.93e+08,1.44e+08,1.44e+08,3.46e+08,3.46e+08,1.405e+09,6.308e+09,8.193e+09,-1.885e+09,5.6e+07,5.48e+08,5.48e+08,6.912e+09,8.317e+09,8.21e+08,2.66e+08,5.55e+08,2.29e+08,1.136e+09,1.136e+09,2.186e+09,1.803e+09,1.535e+09,9.61e+08,5.74e+08,3.338e+09,5.524e+09,1.785e+09,1.291e+09,2.793e+09,2.793e+09,8.317e+09,1.52e+08,8.1e+07,8e+07,4.9e+07,3.62e+08,-2.24e+08,8.3e+07,-1.52e+08,-2.93e+08,-1.23e+08,2.7e+07,2.7e+07,-1.5e+08,-2.46e+08,-1.77e+08,-1.77e+08,-1.77e+08,3.63e+08,2.032e+09,2.86e+08,0.61663,0.17494,0.09429,0.05442,0.01828,1.88158,0.64273,1.9778,0.24432,0.47965,0.43728,5.08678,8.81351,0.90249,0.0239,0.04497,3.07713,3.96099
"23","2015_Q4",24.906875,"Up",1.687e+09,-5.95e+08,1.092e+09,-7.41e+08,-4.58e+08,-8.4e+07,-1.99e+08,3.51e+08,-2.9e+07,-3.1e+07,2e+06,3.22e+08,3.22e+08,-1.24e+08,1.98e+08,1.98e+08,1.98e+08,1.98e+08,1.132e+09,5.44e+08,5.88e+08,1.49e+08,1.49e+08,3.45e+08,3.45e+08,1.626e+09,6.36e+09,8.317e+09,-1.957e+09,4.7e+07,5.61e+08,5.61e+08,6.968e+09,8.594e+09,8.86e+08,2.64e+08,6.22e+08,2.38e+08,1.101e+09,1.101e+09,2.225e+09,1.744e+09,1.608e+09,1.04e+09,5.68e+08,3.352e+09,5.577e+09,1.835e+09,1.489e+09,3.017e+09,3.017e+09,8.594e+09,1.98e+08,8.4e+07,7.1e+07,5.1e+07,4.04e+08,-1.21e+08,-1.5e+07,-9.7e+07,-2.33e+08,-5.4e+07,1.1e+07,1.1e+07,-6e+06,-4.9e+07,1.22e+08,1.22e+08,1.22e+08,4.35e+08,1.982e+09,4.89e+08,0.6473,0.20806,0.11737,0.06563,0.02304,2.4697,0.73079,1.84853,0.23063,0.63098,0.57642,5.37604,9.6144,1.55832,0.02997,0.07401,1.95402,2.42165
"24","2016_Q1",21.0347540983607,"Down",1.594e+09,-5.27e+08,1.067e+09,-7.37e+08,-4.66e+08,-9.3e+07,-1.78e+08,3.3e+08,-2.7e+07,-2.9e+07,2e+06,3.03e+08,3.03e+08,-1.13e+08,1.9e+08,1.9e+08,1.9e+08,1.9e+08,8.76e+08,3.18e+08,5.58e+08,1.36e+08,1.36e+08,3.17e+08,1.72e+08,1.373e+09,6.652e+09,8.679e+09,-2.027e+09,4.9e+07,5.7e+08,5.7e+08,7.271e+09,8.644e+09,7.74e+08,2.05e+08,5.69e+08,4.48e+08,1.053e+09,1.053e+09,2.275e+09,1.379e+09,1.78e+09,1.218e+09,5.62e+08,3.159e+09,5.434e+09,1.9e+09,1.679e+09,3.21e+09,3.21e+09,8.644e+09,1.9e+08,9.3e+07,1.63e+08,-1.42e+08,3.04e+08,-3.44e+08,5.6e+07,-8.3e+07,-3.71e+08,-9.6e+07,1.6e+07,1.6e+07,-7.9e+07,-1.59e+08,-2.26e+08,-2.26e+08,-2.26e+08,4.23e+08,1.827e+09,5e+07,0.66939,0.20703,0.1192,0.05919,0.02198,0.26316,0.60352,1.69283,0.21136,0.59468,0.55572,4.98905,10.04695,0.15649,0.02787,0.00733,2.24823,2.88182
"25","2016_Q2",18.57953125,"Down",1.616e+09,-4.63e+08,1.153e+09,-8.04e+08,-4.99e+08,-9.1e+07,-2.14e+08,3.49e+08,-2.6e+07,-2.8e+07,2e+06,3.23e+08,3.23e+08,-1.16e+08,2.07e+08,2.07e+08,2.07e+08,2.07e+08,1.287e+09,7.57e+08,5.3e+08,1.45e+08,1.45e+08,3.42e+08,3.42e+08,1.774e+09,6.722e+09,8.832e+09,-2.11e+09,-7.45058059692383e-09,5.66e+08,5.66e+08,7.288e+09,9.062e+09,8.69e+08,2.6e+08,6.09e+08,4.48e+08,1.157e+09,1.157e+09,2.474e+09,1.332e+09,1.842e+09,1.276e+09,5.66e+08,3.174e+09,5.648e+09,1.918e+09,1.878e+09,3.414e+09,3.414e+09,9.062e+09,2.07e+08,9.1e+07,6.5e+07,2.22e+08,5.85e+08,-1.43e+08,7.6e+07,-2.3e+07,-9e+07,-5.1e+07,-1.1e+07,2e+06,6e+06,-5.6e+07,4.39e+08,4.39e+08,4.39e+08,4.4e+08,1.78e+09,6.35e+08,0.71349,0.21597,0.12809,0.06063,0.02284,3.06763,0.71706,1.65436,0.19642,0.64366,0.60579,5.02488,10.61567,1.9745,0.02942,0.09025,1.12045,1.41261
"26","2016_Q3",17.094375,"Down",1.644e+09,-5.33e+08,1.111e+09,-7.98e+08,-4.88e+08,-9.7e+07,-2.13e+08,3.13e+08,-2.4e+07,-2.6e+07,2e+06,2.89e+08,2.89e+08,-1.08e+08,1.81e+08,1.81e+08,1.81e+08,1.81e+08,1.51e+09,9.35e+08,5.75e+08,1.53e+08,1.53e+08,4.15e+08,4.15e+08,2.078e+09,6.791e+09,8.983e+09,-2.192e+09,3e+07,5.59e+08,5.59e+08,7.38e+09,9.458e+09,9.74e+08,3.41e+08,6.33e+08,4.46e+08,1.193e+09,1.193e+09,2.613e+09,1.3e+09,1.901e+09,1.341e+09,5.6e+08,3.201e+09,5.814e+09,1.95e+09,2.058e+09,3.644e+09,3.644e+09,9.458e+09,1.81e+08,9.7e+07,5.1e+07,93000000.0000001,4.22e+08,-1.33e+08,1.9e+07,-1.15e+08,-2.29e+08,-3.6e+07,3.6e+07,2.3e+07,-1.5e+07,-1.5e+07,1.78e+08,1.78e+08,1.78e+08,4.1e+08,1.746e+09,4.78e+08,0.67579,0.19039,0.1101,0.04967,0.01914,2.64088,0.79525,1.5955,0.18461,0.56002,0.52816,5.08663,11.27475,1.47896,0.02483,0.06556,0.57561,0.75399
"27","2016_Q4",19.7546031746032,"Up",1.731e+09,-5.73e+08,1.158e+09,-8.04e+08,-4.8e+08,-1.01e+08,-2.23e+08,3.54e+08,-2.4e+07,-2.6e+07,2e+06,3.3e+08,3.3e+08,-1.31e+08,1.99e+08,1.99e+08,1.99e+08,1.99e+08,1.454e+09,8.73e+08,5.81e+08,1.45e+08,1.45e+08,4.09e+08,4.09e+08,2.008e+09,6.953e+09,9.235e+09,-2.282e+09,5.5e+07,5.63e+08,5.63e+08,7.571e+09,9.579e+09,9.25e+08,2.67e+08,6.58e+08,4.39e+08,1.141e+09,1.141e+09,2.505e+09,1.25e+09,1.978e+09,1.423e+09,5.55e+08,3.228e+09,5.733e+09,1.959e+09,2.257e+09,3.846e+09,3.846e+09,9.579e+09,1.99e+08,1.01e+08,9e+07,-8e+07,3.1e+08,-2.04e+08,2.5e+07,-1.32e+08,-3.11e+08,-6.1e+07,1e+06,1e+06,-1e+06,-6.1e+07,-6.2e+07,-6.2e+07,-6.2e+07,4.55e+08,1.689e+09,3.02e+08,0.66898,0.20451,0.11496,0.05174,0.02077,1.51759,0.8016,1.49064,0.17632,0.61477,0.57984,5.34754,11.88137,0.93296,0.02649,0.0402,0.51648,0.66384
"28","2017_Q1",20.3914516129032,"Up",1.593e+09,-5.35e+08,1.058e+09,-8.14e+08,-4.94e+08,-1.04e+08,-2.16e+08,2.44e+08,-2.2e+07,-2.4e+07,2e+06,2.22e+08,2.22e+08,-8.2e+07,1.4e+08,1.4e+08,1.4e+08,1.4e+08,9.71e+08,4.33e+08,5.38e+08,1.72e+08,1.72e+08,2.13e+08,2.13e+08,1.403e+09,7.271e+09,9.624e+09,-2.353e+09,9e+07,5.59e+08,5.59e+08,7.92e+09,9.323e+09,9.05e+08,2.42e+08,6.63e+08,1.89e+08,1.12e+09,1.12e+09,2.214e+09,1.195e+09,1.901e+09,1.354e+09,5.47e+08,3.096e+09,5.31e+09,2.054e+09,2.446e+09,4.013e+09,4.013e+09,9.323e+09,1.4e+08,1.04e+08,5.1e+07,2e+07,3.15e+08,-3.7e+08,1.33e+08,-1.79e+08,-4.16e+08,-2.2e+08,1.9e+07,1.9e+07,-1.39e+08,-3.4e+08,-4.41e+08,-4.41e+08,-4.41e+08,3.48e+08,1.384e+09,8e+07,0.66416,0.15317,0.08788,0.03489,0.01502,0.57143,0.63369,1.3232,0.14845,0.41481,0.41032,4.72,11.89037,0.23704,0.01918,0.01096,1.18678,1.69262
"29","2017_Q2",21.981746031746,"Up",1.6e+09,-5.96e+08,1.004e+09,-8.62e+08,-5.27e+08,-1.05e+08,-2.3e+08,1.42e+08,-2.1e+07,-2.3e+07,2e+06,1.21e+08,1.21e+08,-3.9e+07,8.2e+07,8.2e+07,8.2e+07,8.2e+07,1.046e+09,4.38e+08,6.08e+08,1.69e+08,1.69e+08,2.54e+08,2.54e+08,1.469e+09,7.458e+09,9.904e+09,-2.446e+09,0,5.46e+08,5.46e+08,8.004e+09,9.473e+09,8.9e+08,2.7e+08,6.2e+08,1.97e+08,1.335e+09,1.335e+09,2.422e+09,1.14e+09,1.919e+09,1.379e+09,5.4e+08,3.059e+09,5.481e+09,2.045e+09,2.532e+09,3.992e+09,3.992e+09,9.473e+09,8.2e+07,1.05e+08,3.9e+07,2.06e+08,4.32e+08,-2.45e+08,8.3e+07,-1.05e+08,-2.67e+08,-5e+07,-1.07e+08,2e+06,-4e+06,-1.61e+08,4e+06,4e+06,4e+06,2.47e+08,1.337e+09,2.47e+08,0.6275,0.08875,0.05125,0.02054,0.00866,3.0122,0.60652,1.373,0.14114,0.24383,0.24246,4.75766,11.87035,0.73446,0.01131,0.03408,1.17814,2.0493
"30","2017_Q3",20.9628571428571,"Down",1.837e+09,-6.16e+08,1.221e+09,-8.73e+08,-5.33e+08,-1.09e+08,-2.31e+08,3.48e+08,-2.2e+07,-2.4e+07,2e+06,3.26e+08,3.26e+08,-1.19e+08,2.07e+08,2.07e+08,2.07e+08,2.07e+08,1.02e+09,5.5e+08,4.7e+08,1.78e+08,1.78e+08,2.51e+08,2.51e+08,1.449e+09,7.65e+09,1.0186e+10,-2.536e+09,0,5.45e+08,5.45e+08,8.195e+09,9.644e+09,9.19e+08,2.94e+08,6.25e+08,2.28e+08,1.351e+09,1.351e+09,2.498e+09,1.077e+09,1.989e+09,1.457e+09,5.32e+08,3.066e+09,5.564e+09,2.067e+09,2.742e+09,4.08e+09,4.08e+09,9.644e+09,2.07e+08,1.09e+08,6.4e+07,6e+07,4.4e+08,-2.74e+08,1.38e+08,-3e+07,-1.66e+08,-3.4e+07,1.35e+08,2.6e+07,-2.64e+08,-1.63e+08,1.11e+08,1.11e+08,1.11e+08,4.57e+08,1.305e+09,3.62e+08,0.66467,0.18944,0.11268,0.05074,0.02146,1.74879,0.58006,1.36373,0.13532,0.62708,0.62443,5.56498,12.35989,1.09664,0.02807,0.04909,0.62363,0.81897
"31","2017_Q4",20.43,"Down",1.817e+09,-6.25e+08,1.192e+09,-8.79e+08,-5.35e+08,-1.14e+08,-2.3e+08,3.13e+08,-1.7e+07,-2e+07,3e+06,2.96e+08,2.96e+08,-1.15e+08,1.81e+08,1.81e+08,1.81e+08,1.81e+08,8.14e+08,3.94e+08,4.2e+08,1.87e+08,1.87e+08,3.23e+08,3.23e+08,1.324e+09,7.742e+09,1.0377e+10,-2.635e+09,0,5.31e+08,5.31e+08,8.273e+09,9.597e+09,8.65e+08,2.95e+08,5.7e+08,2.24e+08,1.262e+09,1.262e+09,2.351e+09,1.031e+09,2.075e+09,1.555e+09,5.2e+08,3.106e+09,5.457e+09,2.104e+09,2.921e+09,4.139e+09,4.139e+09,9.596e+09,1.81e+08,1.14e+08,1e+08,-2.01e+08,1.94e+08,-1.86e+08,7.9e+07,-5.5e+07,-1.62e+08,-5.4e+07,0,0,-1.34e+08,-1.88e+08,-1.56e+08,-1.56e+08,-1.56e+08,4.27e+08,1.255e+09,1.55e+08,0.65603,0.17226,0.09961,0.04373,0.01886,0.85635,0.56316,1.31843,0.13077,0.55504,0.55217,5.57191,12.69243,0.47531,0.02423,0.02075,1.03279,1.40895
