"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","preferred_equity","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","disposition_of_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_acquisitions_divestitures","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repayment_of_long_term_debt_net","repayments_of_long_term_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",29.1987096774194,"Down",190438000,-120828000,69610000,-50781000,-50781000,18829000,-1415000,-1473000,58000,17414000,17414000,-6159000,11255000,11255000,11255000,11255000,7562000,7562000,2576000,2576000,115334000,35039000,22608000,160511000,240482000,464540000,268871000,227762000,14885000,509353000,669864000,95621000,53351000,42270000,3584000,23386000,23386000,122591000,169618000,22354000,16632000,191972000,314563000,49000,129498000,-89832000,319141000,-3555000,355301000,355301000,669864000,11255000,6799000,754000,14735000,33543000,-8922000,24000,-8946000,-8946000,-88479000,-97401000,-6387000,75416000,75416000,-47411000,463000,463000,69506000,5648000,5648000,5648000,25628000,173202000,37600000,0.36553,0.09887,0.0591,0.03168,0.0168,3.34074,1.30932,0.88534,0.25856,0.36173,0.34704,6.12065,11.41775,1.20846,0.20528,0.03203,0.06826,0.56748,6.46324,8.79707
"12","2013_Q1",32.8368333333333,"Up",195909000,-125335000,70574000,-55111000,-55111000,15463000,-2990000,-3072000,82000,12473000,12473000,-4346000,8127000,8127000,8127000,8127000,1463000,1463000,2835000,2835000,118210000,43902000,28412000,166410000,275046000,504080000,297977000,249803000,10458000,573023000,739433000,108806000,61006000,47800000,6833000,22491000,22491000,138130000,214809000,21452000,21452000,236261000,374391000,49000,131833000,-90064000,327267000,-4043000,365042000,365042000,739433000,8127000,8078000,461000,4598000,21264000,-13079000,40000.0000000001,-13119000,-13119000,-17359000,-30438000,-1000,2023000.00000001,2023000.00000001,-84333000,882000,882000,3075000,-6099000,-6099000,-6099000,23541000,221642000,19406000,0.36024,0.07893,0.04148,0.02226,0.01099,2.38784,1.20473,1.02561,0.29975,0.26041,0.25106,6.27752,11.69549,0.62183,3.000000000003e-05,0.01337,0.03191,0.000119999999999898,9.353,14.23909
"13","2013_Q2",38.66140625,"Up",206172000,-127294000,78878000,-55770000,-55770000,23108000,-1757000,-1809000,52000,21351000,21351000,-7779000,13572000,13572000,13572000,13572000,1441000,1441000,2961000,2961000,115046000,40295000,26414000,159743000,270983000,505331000,272887000,237241000,9320000,543870000,703613000,112338000,60739000,47599000,4847000,21834000,21834000,139019000,161135000,24229000,20813000,185364000,324383000,49000,135980000,-90064000,337308000,-4043000,379230000,379230000,703613000,13572000,7587000,828000,11546000,33533000,-7408000,37000,-7445000,-7445000,0,-7408000,-3531000,-25117000,-25117000,-86889000,2408000,2408000,-26147000,-22000,-22000,-22000,30695000,165982000,42612000,0.38258,0.11208,0.06583,0.03579,0.01929,3.1397,1.14907,0.85537,0.2359,0.43358,0.41778,6.58654,12.11363,1.36132,0.1128,0.03003,0.07483,0.26017,5.36051,7.12052
"14","2013_Q3",40.1746875,"Up",205320000,-123572000,81748000,-57837000,-57837000,23911000,-1870000,-2049000,179000,22041000,22041000,-8392000,13649000,13649000,13649000,13649000,2067000,2067000,3092000,3092000,120827000,43875000,28764000,169861000,274201000,513177000,290300000,252542000,10271000,564501000,734362000,110124000,59705000,50419000,5221000,23834000,23834000,139179000,179255000,24747000,21073000,204002000,343181000,49000,137995000,-90064000,347421000,-4220000,391181000,391181000,734362000,13649000,7744000,2114000,-10120000,13387000,-6431000,37000.0000000001,-6468000,-6468000,-17013000,-23444000,-3536000,13805000,13805000,-92522000,410000,410000,10683000,626000,626000,626000,31655000,184476000,23496000,0.39815,0.11646,0.06648,0.03489,0.01859,1.72144,1.22045,0.87729,0.25121,0.43482,0.4192,6.54094,12.4604,0.74852,0.11265,0.02862,0.03913,0.25907,5.76241,7.62866
"15","2013_Q4",43.5409375,"Up",216696000,-134372000,82324000,-55398000,-55398000,26926000,-2864000,-3216000,352000,24062000,24062000,-8733000,15329000,15329000,15329000,15329000,4905000,4905000,3158000,3158000,124067000,40913000,25919000,173043000,278657000,523708000,309699000,266497000,9567000,588356000,761399000,111169000,60144000,50383000,7489000,23884000,23884000,142542000,193132000,21316000,21316000,214448000,356990000,49000,139524000,-90064000,359209000,-4309000,404409000,404409000,761399000,15329000,8424000,1184000,3176000,28113000,-3949000,3824000,-7773000,-7773000,-9321000,-13270000,-3541000,-9148000,-9148000,-76029000,648000,648000,-12005000,2838000,2838000,2838000,35350000,200621000,43310000,0.37991,0.12426,0.07074,0.0379,0.02013,2.82536,1.21398,0.88274,0.26349,0.48795,0.46942,6.89785,12.87156,1.37864,0.11272,0.03013,0.06915,0.231,5.53652,7.26866
"16","2014_Q1",50.5749180327869,"Up",203244000,-126220000,77024000,-55622000,-55622000,21402000,-2320000,-2396000,76000,19082000,19082000,-7173000,11909000,11909000,11909000,11909000,1205000,1205000,2728000,2728000,124920000,39263000,23382000,168116000,281883000,531505000,309957000,270039000,10547000,591840000,759956000,105880000,53321000,52559000,7552000,23309000,23309000,136741000,187040000,20191000,20051000,207231000,343972000,49000,141741000,-90241000,367570000,-3135000,415984000,415984000,759956000,11909000,7933000,3906000,-4838000,18910000,-10446000,18000,-10464000,-10464000,-1133000,-11579000,-3548000,-8393000,-8393000,-77734000,848000,848000,-11031000,-3700000,-3700000,-3700000,29335000,194592000,21224000,0.37897,0.1053,0.05859,0.02863,0.01567,1.78218,1.22945,0.82689,0.25606,0.37844,0.36234,6.45855,13.21729,0.67444,0.11275,0.02451,0.03365,0.29793,6.59236,9.03593
"17","2014_Q2",48.58,"Down",217507000,-127485000,90022000,-60612000,-60612000,29410000,-2057000,-2137000,80000,27353000,27353000,-10421000,16932000,16932000,16932000,16932000,2349000,2349000,2774000,2774000,127243000,36236000,22699000,168602000,290770000,545595000,318266000,278379000,10283000,609036000,777638000,111596000,54419000,49745000,7497000,23062000,23062000,142155000,184380000,20164000,20096000,204544000,346699000,49000,144024000,-90241000,380304000,-3197000,430939000,430939000,777638000,16932000,8217000,1104000,7853000,34106000,-8936000,38000,-8974000,-8974000,-18360000,-27296000,-4198000,-2715000,-2715000,-78127000,1205000,1205000,-5666000,1144000,1144000,1144000,37627000,191877000,46965000,0.41388,0.13521,0.07785,0.03929,0.02177,2.77374,1.18604,0.80452,0.24674,0.53725,0.51658,6.90148,13.6721,1.4902,0.1332,0.03286,0.07304,0.24793,5.03702,6.44434
"18","2014_Q3",45.69234375,"Down",221299000,-131826000,89473000,-60546000,-60546000,28927000,-2546000,-2771000,225000,26381000,26381000,-10051000,16330000,16330000,16330000,16330000,7763000,7763000,3153000,3153000,142775000,44124000,30153000,197815000,310648000,569862000,395628000,334649000,11031000,706276000,904091000,125466000,70968000,52821000,9302000,23639000,23639000,158407000,279300000,21046000,21046000,300346000,458753000,49000,146356000,-90241000,392432000,-3258000,445338000,445338000,904091000,16330000,8857000,2043000,-6660000,20570000,-9612000,134000,-9746000,-9746000,-45797000,-55409000,-4202000,43870000,43870000,-74868000,578000,578000,40253000,5414000,5414000,5414000,37784000,288602000,31563000,0.40431,0.13071,0.07379,0.03667,0.01806,1.93282,1.24878,1.03012,0.31922,0.51739,0.49803,7.01156,14.10839,1.00003,0.13313,0.0272,0.04181,0.25732,7.43275,9.70854
"19","2014_Q4",47.419375,"Up",236552000,-146356000,90196000,-62237000,-62237000,27959000,-2423000,-2929000,506000,25536000,25536000,-9550000,15986000,15986000,15986000,15986000,4622000,4622000,3218000,3218000,136436000,40318000,26187000,184594000,316832000,580541000,407865000,345743000,12608000,724697000,909291000,122100000,67581000,49644000,8596000,24676000,24676000,155372000,274297000,21242000,21242000,295539000,450911000,49000,152452000,-95009000,404208000,-3320000,458380000,458380000,909291000,15986000,9098000,1161000,7695000,33940000,-7604000,193000,-7797000,-7797000,-18501000,-26105000,-4210000,-7139000,-7139000,-88612000,341000,341000,-10976000,-3141000,-3141000,-3141000,37057000,282893000,46698000,0.38129,0.11819,0.06758,0.03487,0.01758,2.92118,1.18808,0.98371,0.31111,0.50595,0.48545,7.48677,14.50598,1.47797,0.13324,0.02649,0.06124,0.26336,7.50927,9.95282
"20","2015_Q1",54.616393442623,"Up",219134000,-135475000,83659000,-60166000,-60166000,23493000,-3408000,-3505000,97000,20085000,20085000,-7534000,12551000,12551000,12551000,12551000,7730000,7730000,2561000,2561000,129727000,21324000,21324000,161342000,326752000,592206000,419700000,349088000,11947000,746452000,907794000,117943000,62920000,54638000,8908000,28942000,28942000,155793000,255688000,22702000,22702000,278390000,434183000,49000,161260000,-95638000,412524000,-4584000,473611000,473611000,907794000,12551000,9549000,5052000,10581000,37733000,-8189000,44000,-8233000,-8233000,-1709000,-9898000,-4235000,-27072000,-27072000,-95010000,6540000,6540000,-24727000,3108000,3108000,3108000,33042000,264596000,42968000,0.38177,0.10721,0.05728,0.0265,0.01383,3.42347,1.03562,0.91675,0.29147,0.39536,0.37713,6.90273,14.91722,1.35349,0.1334,0.02206,0.05647,0.33742,7.77392,10.93372
"21","2015_Q2",55.7690476190476,"Up",236520000,-136802000,99718000,-66111000,-66111000,33607000,-3286000,-3392000,106000,30321000,30321000,-11522000,18799000,18799000,18799000,18799000,7711000,7711000,4085000,4085000,132970000,36962000,22791000,181728000,328645000,600015000,421835000,359703000,11721000,750480000,932208000,126869000,67053000,49841000,8861000,26211000,26211000,161941000,249662000,27627000,27627000,277289000,439230000,49000,166822000,-95638000,426434000,-4689000,492978000,492978000,932208000,18799000,9631000,948000,2243000,31621000,-9222000,220000,-9442000,-9442000,-15233000,-24455000,-4889000,-6466000,-6466000,-92538000,4162000,4162000,-7185000,-19000,-19000,-19000,43238000,258523000,47781000,0.4216,0.14209,0.07948,0.03813,0.02017,2.54168,1.12219,0.89097,0.27732,0.59014,0.56781,7.42489,15.47415,1.49995,0.15348,0.0304,0.06133,0.26007,5.80073,7.46309
"22","2015_Q3",57.35203125,"Up",239155000,-138430000,100725000,-66632000,-66632000,34093000,-3655000,-3758000,103000,30438000,30438000,-11566000,18872000,18872000,18872000,18872000,1303000,1303000,4473000,4473000,134543000,43985000,29035000,184304000,343214000,619410000,470301000,399231000,1.4e+07,813515000,997819000,117327000,57048000,56827000,10472000,28080000,28080000,155879000,305322000,27705000,27705000,333027000,488906000,49000,169173000,-95912000,440397000,-4794000,508913000,508913000,997819000,18872000,10035000,787000,-15838000,13856000,-7842000,2217000,-10059000,-10059000,-31738000,-39580000,-4909000,23748000,23748000,-86942000,477000,477000,19316000,-6408000,-6408000,-6408000,44128000,315794000,32014000,0.42117,0.14256,0.07891,0.03708,0.01891,1.69638,1.18235,0.96069,0.31648,0.59047,0.56884,7.48271,15.9214,1.00166,0.15359,0.0279,0.03756,0.26012,7.12679,9.2245
"23","2015_Q4",63.8928125,"Up",238942000,-145575000,93367000,-66937000,-66937000,26430000,-3655000,-3853000,198000,22775000,22775000,-7544000,15231000,15231000,15231000,15231000,4165000,4165000,4475000,4475000,131315000,49832000,32739000,189787000,349084000,630754000,463748000,399353000,12474000,812832000,1002619000,121906000,69241000,52665000,10770000,28640000,28640000,161316000,289214000,28038000,28038000,317252000,478568000,49000,184069000,-105856000,450688000,-4899000,524051000,524051000,1002619000,15231000,9736000,4878000,6419000,36264000,-9324000,16000,-9340000,-9340000,-1186000,-10510000,-4940000,-20255000,-20255000,-103499000,2303000,2303000,-22892000,2862000,2862000,2862000,36166000,299984000,40805000,0.39075,0.11061,0.06374,0.02906,0.01519,2.67908,1.17649,0.91321,0.2992,0.47475,0.45168,7.44785,16.33321,1.2719,0.15398,0.02367,0.04789,0.32434,8.17948,11.19255
"24","2016_Q1",59.563606557377,"Down",229034000,-137141000,91893000,-65434000,-65434000,26459000,-4572000,-4539000,-33000,21887000,21887000,-7984000,13903000,13903000,13903000,13903000,7985000,7985000,4301000,4301000,129035000,28754000,28674000,170075000,351582000,639936000,477781000,400132000,12774000,829363000,999438000,129843000,69887000,59956000,11244000,26484000,26484000,167571000,269045000,26627000,26627000,295672000,463243000,49000,186936000,-105856000,459642000,-4576000,536195000,536195000,999438000,13903000,10367000,2677000,17816000,44763000,-7821000,172000,-7993000,-7993000,-861000,-8682000,-4949000,-26792000,-26792000,-83728000,1660000,1660000,-32261000,3820000,3820000,3820000,36826000,280289000,54805000,0.40122,0.11552,0.0607,0.02593,0.01391,3.94195,1.01494,0.86395,0.28045,0.43169,0.41617,7.11153,16.64739,1.7017,0.15367,0.02236,0.065,0.35597,7.39434,10.29155
"25","2016_Q2",59.6765625,"Up",235290000,-137222000,98068000,-66773000,-66773000,31295000,-4331000,-4485000,154000,26964000,26964000,-10209000,16755000,16755000,16755000,16755000,4724000,4724000,6008000,6008000,135160000,27509000,27509000,173401000,360588000,656963000,522370000,438472000,12567000,882958000,1056359000,120410000,59876000,53912000,12334000,26152000,26152000,158896000,320827000,26752000,26752000,347579000,506475000,49000,189925000,-106212000,470779000,-4657000,549884000,549884000,1056359000,16755000,10813000,3557000,-9416000,21709000,-8123000,79000,-8202000,-8202000,-47361000,-55484000,-5618000,34493000,34493000,-98142000,1639000,1639000,30514000,-3261000,-3261000,-3261000,42108000,333161000,34778000,0.4168,0.13301,0.07121,0.03047,0.01586,2.07568,1.09129,0.92106,0.31539,0.51941,0.50275,7.294,17.04492,1.07812,0.17416,0.02459,0.03823,0.3353,7.79987,10.49487
"26","2016_Q3",54.89703125,"Down",245927000,-145930000,99997000,-68073000,-68073000,31924000,-4361000,-4487000,126000,27563000,27563000,-10019000,17544000,17544000,17544000,17544000,7226000,7226000,11907000,11907000,146376000,35489000,35312000,200998000,373906000,678005000,578800000,487923000,11140000,952706000,1153704000,136462000,76156000,60306000,12757000,30781000,30781000,1.8e+08,383594000,26605000,26605000,410199000,590199000,49000,191667000,-106212000,482705000,-4704000,563505000,563505000,1153704000,17544000,10732000,2865000,15296000,46437000,-9901000,7999.99999999994,-9909000,-9909000,-82112000,-92013000,-5618000,53411000,53411000,-114389000,285000,285000,48078000,2502000,2502000,2502000,42656000,396351000,58070000,0.40661,0.12981,0.07134,0.03113,0.01521,3.30996,1.11666,1.04737,0.34355,0.54333,0.52645,7.6162,17.44986,1.79839,0.17399,0.02348,0.05887,0.32022,9.1224,12.18911
