"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_compensation","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2018_Q4",8.9784126984127,"Down",32806000,-25923000,6883000,-5801000,-5801000,1082000,-280000,-280000,802000,802000,-934000,-132000,-132000,-132000,-132000,9582000,9582000,32280000,32280000,14330000,8238000,3345000,4893000,64430000,31020000,8280000,5966000,39300000,103730000,16520000,9788000,1348000,5384000,1046000,23272000,23272000,40838000,6892000,5187000,3504000,534000,12079000,52917000,58444000,-4627000,-3004000,50813000,50813000,103730000,-132000,1138000,509000,1315000,2830000,-314000,-314000,4444000,-923000,3518000,6034000,6034000,-271000,5763000,2220000,7938000,4155000,0.20981,0.03298,-0.00402,-0.0026,-0.00127,-31.47727,1.5777,1.04141,0.07653,-0.01676,-0.01676,4.16478,6.45081,0.52749,-0.00206,0.06498,-0.74054,-1.51941
"12","2019_Q1",8.68852459016393,"Down",34945000,-28607000,6338000,-4426000,-4426000,1912000,-292000,-292000,1620000,1620000,-625000,995000,995000,995000,995000,10156000,10156000,32508000,32508000,12289000,8007000,3773000,4234000,62960000,30398000,8847000,6120000,39245000,102205000,18672000,12006000,1266000,5400000,640000,17776000,17776000,37088000,6751000,6006000,3883000,688000,12757000,49845000,58872000,-3632000,-2880000,52360000,52360000,102205000,995000,1093000,92000,3424000,5604000,-476000,-476000,-5201000,707000,-4743000,385000,385000,234000,619000.000000004,3005000,7391000,6578000,0.18137,0.05471,0.02847,0.019,0.00974,6.61106,1.69758,0.95197,0.07232,0.12703,0.12703,4.46125,6.68454,0.83978,0.01513,0.10003,-0.92013,-1.44613
"13","2019_Q2",9.0268253968254,"Up",24276000,-19554000,4722000,-5702000,-5702000,-980000,-210000,-210000,-1190000,-1190000,-312000,-1502000,-1502000,-1502000,-1502000,7960000,7960000,24800000,24800000,16126000,8267000,3682000,4585000,57153000,29568000,19793000,17114000,49361000,106514000,18113000,11582000,7e+05,5831000,1125000,15005000,15005000,34243000,6484000,15013000,3666000,9930000,21497000,55740000,59105000,-5134000,-3197000,50774000,50774000,106514000,-1502000,1154000,115000,1607000,1374000,-505000,-505000,-2895000,-111000,-3006000,-2137000,-2137000,-38000,-2175000,174000,7609000,1588000,0.19451,-0.04037,-0.06187,-0.02958,-0.0141,-1.05726,1.66904,1.09781,0.07144,-0.19044,-0.19044,3.07798,6.43768,0.20134,-0.02046,0.02164,-2.01724,0.35816
"14","2019_Q3",8.74359375,"Down",36667000,-27014000,9653000,-5989000,-5989000,3664000,-209000,-209000,3455000,3455000,265000,3720000,3720000,3720000,3720000,8052000,8052000,30384000,30384000,16555000,9116000,4475000,4641000,64107000,29125000,21269000,18599000,50394000,114501000,17986000,11084000,338000,6564000,1480000,16085000,16085000,35551000,6460000,17188000,3667000,12076000,23648000,59199000,59555000,-1414000,-2839000,55302000,55302000,114501000,3720000,1148000,504000,-7689000,-2317000,-476000,-476000,1331000,103000,1434000,-1359000,-1359000,16000,-1343000,4812000,7940000,-3618000,0.26326,0.09993,0.10145,0.06727,0.03249,-0.972580000000004,1.80324,1.07047,0.06934,0.46576,0.45583,4.59084,6.924,-0.45299,0.04625,-0.04498,-0.0232799999999997,-0.03057
"15","2019_Q4",9.175625,"Up",34457000,-26814000,7643000,-6246000,-6246000,1397000,158000,-193000,1555000,1555000,-1700000,-145000,-145000,-145000,-145000,12221000,12221000,28235000,28235000,16270000,9121000,3620000,5501000,65847000,29357000,22246000,19235000,51603000,117450000,18996000,12735000,1352000,4909000,1644000,17029000,17029000,37669000,6931000,17402000,3731000,12237000,24333000,62002000,59834000,-1559000,-2827000,55448000,55448000,117450000,-145000,1047000,82000,2757000,3741000,-442000,-442000,771000,22000,793000,4092000,4092000,48000,4140000,2444000,8575000,6459000,0.22181,0.04054,-0.00421,-0.00262,-0.00123,-44.54483,1.74804,1.1182,0.07301,-0.01804,-0.01792,4.28783,6.89995,0.80376,-0.00178,0.07932,-1.49182,-2.60988
"16","2020_Q1",8.60403225806452,"Down",32263000,-25235000,7028000,-6228000,-6228000,8e+05,415000,-293000,1215000,1215000,288000,1503000,1503000,1503000,1503000,13371000,13371000,29402000,29402000,14498000,6984000,3531000,3453000,64255000,28629000,19341000,16794000,47970000,112225000,14875000,9577000,664000,4634000,1458000,16506000,16506000,32839000,6717000,17040000,4199000,11789000,23757000,56596000,60104000,-715000,-3760000,55629000,55629000,112225000,1503000,1088000,516000,-1815000,1292000,-479000,-479000,4e+05,78000,478000,1291000,1291000,7999.99999999999,1299000,1888000,8175000,-694000.000000002,0.21783,0.0248,0.04659,0.02702,0.01339,-0.461739999999999,1.95667,1.01738,0.07284,0.1868,0.16709,4.00982,6.91387,-0.0862499999999999,0.01859,-0.00858,-2.75212,-6.495
"17","2020_Q2",5.78142857142857,"Down",22741000,-19275000,3466000,-5951000,-5951000,-2485000,-251000,-186000,-2736000,-2736000,215000,-2521000,-2521000,-2521000,-2521000,12450000,12450000,25284000,25284000,13912000,8319000,4314000,4005000,59965000,27553000,19275000,16729000,46828000,106793000,14326000,8557000,765000,5004000,1521000,14978000,14978000,30825000,6244000,16764000,4241000,11772000,23008000,53833000,60323000,-3236000,-4127000,52960000,52960000,106793000,-2521000,1111000,-205000,2211000,596000,-775000,-775000,-1001000,-44000,-1045000,-1224000,-1224000,120000,-1104000,-1374000,7765000,-153000,0.15241,-0.10927,-0.11086,-0.0476,-0.02361,0.06069,1.94534,1.01648,0.07271,-0.31325,-0.31325,2.82567,6.58052,-0.01901,-0.03253,-0.00197,3.40975,1.88531
"18","2020_Q3",5.76359375,"Down",20365000,-1.8e+07,2365000,-5819000,-5819000,-3454000,3621000,-118000,167000.000000001,167000,1e+05,266999.999999999,267000.000000001,267000.000000001,267000.000000001,9106000,9106000,23884000,23884000,12137000,9933000,7033000,2900000,55060000,27306000,17632000,14844000,44938000,99998000,13025000,7943000,750000,4332000,1715000,9238000,9238000,23978000,6293000,16278000,4415000,11191000,22571000,46549000,60392000,-2969000,-3974000,53449000,53449000,99998000,267000,1130000,-40999.9999999999,665999.999999999,2022000,14000.0000000001,13999.9999999998,-5184000,-49000,-5233000,-3197000,-3197000,-101000,-3298000,-2324000,8008000,-1744000,0.11613,-0.1696,0.0131100000000001,0.005,0.00267000000000001,-6.53184,2.29627,0.8709,0.08008,0.0328600000000001,0.0328600000000001,2.50615,6.57753,-0.21462,0.00343,-0.02244,0.47246,0.31789
"19","2020_Q4",5.7196875,"Down",20293000,-17355000,2938000,-5703000,-5703000,-2765000,-109000,-107000,-2874000,-2874000,24000,-2850000,-2850000,-2850000,-2850000,6593000,6593000,26441000,26441000,12094000,7538000,5022000,2516000,52666000,26958000,20135000,17294000,47093000,99759000,13667000,7905000,1e+06,4762000,1732000,7964000,7964000,23363000,6194000,19208000,4487000,14138000,25402000,48765000,60677000,-5819000,-3864000,50994000,50994000,99759000,-2850000,1375000,251000,575000,-649000,-870000,-870000,-8e+05,-148000,-948000,-2467000,-2467000,-42000,-2509000,-1390000,7926000,-1709000,0.14478,-0.13625,-0.14044,-0.05589,-0.02857,0.59965,2.25425,0.95629,0.07945,-0.34905,-0.34905,2.48536,6.24544,-0.20931,-0.03648,-0.02187,-0.95899,-0.4821
"20","2021_Q1",6.46459016393443,"Up",21295000,-18885000,2410000,-5083000,-5083000,-2673000,341000,30000,-2332000,-2332000,-206000,-2538000,-2538000,-2538000,-2538000,7174000,7174000,25226000,25226000,12157000,9318000,3863000,5455000,53875000,26897000,21919000,18764000,48816000,102691000,15584000,10365000,1155000,4064000,3941000,8727000,8727000,28252000,6268000,18858000,4120000,13824000,25126000,53378000,60957000,-8357000,-3287000,49313000,49313000,102691000,-2538000,1123000,5e+05,-889000,-1804000,-330000,-330000,3032000,50000,3082000,948000,948000,-320000,628000,-1550000,10209000,-2563000,0.11317,-0.12552,-0.11918,-0.05147,-0.02471,1.00985,1.90694,1.08243,0.09941,-0.31084,-0.31084,2.60808,6.03956,-0.3139,-0.03238,-0.0327,-1.95806,-1.13543
"21","2021_Q2",6.60587301587302,"Up",24423000,-19918000,4505000,-5446000,-5446000,-941000,263000,-178000,-678000,-678000,-165000,-843000,-843000,-843000,-843000,8483000,8483000,27305000,27305000,15069000,13715000,9078000,4637000,64572000,26223000,20821000,17483000,47044000,111616000,2e+07,13644000,1409000,4947000,2723000,7762000,5782000,30485000,14490000,17859000,4116000,12875000,32349000,62834000,61229000,-9200000,-3247000,48782000,48782000,111616000,-843000,1122000,137000,-2843000,-2427000,-424000,-424000,3931000,16000,3947000,1096000,1096000,176000,1272000,181000,17213000,-2921000,0.18446,-0.03853,-0.03452,-0.01728,-0.00755,3.46501,2.11816,1.28806,0.15422,-0.10325,-0.10325,2.99118,5.97453,-0.35775,-0.01005,-0.03483,48.23204,-9.27736
"22","2021_Q3",7.1209375,"Up",39804000,-29061000,10743000,-6656000,-6656000,4087000,190000,-268000,4277000,4277000,-861000,3416000,3416000,3416000,3416000,5509000,5509000,43699000,43699000,14603000,12055000,9125000,2930000,75866000,25626000,20193000,16926000,45819000,121685000,24359000,16735000,1470000,6154000,3177000,9398000,9398000,36934000,14815000,17867000,4167000,12643000,32682000,69616000,61250000,-5784000,-3397000,52069000,52069000,121685000,3416000,1139000,550000,-7903000,-2798000,-476000,-476000,666000,-272000,394000,-2880000,-2880000,-41000.0000000001,-2921000,5226000,17992000,-2292000,0.2699,0.10268,0.08582,0.06561,0.02807,-0.670960000000001,2.0541,1.337,0.14786,0.41909,0.40594,4.88333,6.38805,-0.28119,0.03885,-0.02607,2.38863,3.05432
"23","2021_Q4",8.3878125,"Up",35199000,-27570000,7629000,-5938000,-5938000,1691000,-172000,-270000,1519000,1519000,-1024000,495000,495000,495000,495000,10018000,10018000,37741000,37741000,15431000,12479000,4996000,7483000,75669000,25599000,21228000,17964000,46827000,122496000,23673000,16216000,1802000,5655000,4822000,8938000,8938000,37433000,14691000,17990000,4224000,12438000,32681000,70114000,61542000,-5289000,-3375000,52382000,52382000,122496000,495000,998000,625000,3075000,5193000,-1007000,-1007000,1399000,15000,918000,5104000,5104000,-66000,5038000,2689000,19513000,5781000,0.21674,0.04804,0.01406,0.00945,0.00404,11.67879,2.02145,1.33851,0.15929,0.06068,0.05971,4.31466,6.42094,0.70863,0.00551,0.06432,3.53105,5.61502
"24","2022_Q1",8.96677419354839,"Up",39126000,-29473000,9653000,-6379000,-6379000,3274000,-65000,-112000,3209000,3209000,-215000,2994000,2994000,2994000,2994000,8214000,8214000,44449000,44449000,13760000,11966000,5444000,6522000,78389000,24756000,20256000,17103000,45012000,123401000,21866000,13618000,2020000,6228000,6750000,9781000,9781000,38397000,14386000,16161000,3379000,12070000,30547000,68944000,61848000,-2295000,-3104000,54457000,54457000,123401000,2994000,1065000,-345000,-6256000,-2542000,-346000,-346000,2381000,89000,974000,-1914000,-1914000,-79000,-1993000,4339000,21136000,-2048000,0.24672,0.08368,0.07652,0.05498,0.02426,-0.684030000000002,2.04154,1.26603,0.17128,0.36845,0.36845,4.81492,6.70158,-0.25203,0.03263,-0.02232,2.97811,3.94685
"25","2022_Q2",11.1524193548387,"Up",31222000,-24173000,7049000,-6889000,-6889000,160000,-319000,-368000,-159000,-159000,-726000,-885000,-885000,-885000,-885000,6375000,6375000,38816000,38816000,15401000,20867000,6609000,14258000,81459000,23754000,16706000,13565000,40460000,121919000,21947000,15631000,1310000,5006000,6778000,14036000,14036000,42761000,14138000,12128000,3374000,7889000,26266000,69027000,62100000,-3180000,-4036000,52892000,52892000,121919000,-885000,995000,367000,-7585000,-7108000,-330000,-330000,5107000,-12000,5095000,-2343000,-2343000,471000,-1872000,1155000,20916000,-6034000,0.22577,0.00512,-0.02835,-0.01673,-0.00726,6.81808,1.90498,1.30506,0.17156,-0.10891,-0.10891,3.84223,6.50898,-0.74255,-0.0103,-0.07022,12.58961,90.88125
"26","2022_Q3",9.25078125,"Down",37003000,-27117000,9886000,-6561000,-6561000,3325000,-564000,-5e+05,2761000,2761000,-893000,1868000,1868000,1868000,1868000,6192000,6192000,47749000,47749000,16348000,21271000,5801000,15470000,91560000,24385000,14637000,11512000,39022000,130582000,22171000,14498000,1391000,6282000,9421000,18691000,18691000,50283000,14005000,11995000,3431000,7657000,2.6e+07,76283000,62135000,-3345000,-4491000,54299000,54299000,130582000,1868000,931000,419000,-7282000,-4064000,-1631000,-1631000,5856000,-189000,5624000,-71000,-71000,-135000,-206000,4256000,23426000,-3764000,0.26717,0.08986,0.05048,0.0344,0.01431,-2.01499,1.82089,1.40487,0.1794,0.22988,0.22988,4.55365,6.68213,-0.4632,0.02082,-0.04195,4.04934,5.18316
