"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","preferred_equity","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","dividends_per_share","return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",7.23032258064516,"Down",205041000,-100044000,104997000,-57272000,-22891000,-34381000,47725000,-19294000,-19312000,18000,28431000,-31477000,-3046000,-3046000,39556000,39556000,39556000,164469000,164469000,28534000,28534000,86344000,9554000,76790000,282011000,2800682000,52394000,39306000,2862931000,3144942000,55030000,25267000,29763000,77579000,46879000,46879000,179488000,1333732000,14789000,14789000,1348521000,1528009000,-76457000,1493880000,147329000,1560012000,56921000,1616933000,3144942000,39556000,38626000,-33309000,3160000,48880000,-28156000,45607000,-72858000,-7437000,-5015000,-2803000,-15255000,-39233000,-39233000,-39233000,86351000,1411311000,0.51208,0.23276,0.19292,0.02446,0.01258,1.5712,0.945,0.44876,0.2925,0.2925,1.51617,12.10084,0.05499,0.01544,0.18801,14.43923,26.12555
"12","2013_Q1",8.13483333333333,"Up",232967000,-112739000,120228000,-84885000,44096000,-34339000,35343000,-18579000,-18721000,142000,16764000,-6346000,10418000,9270000,11114000,11114000,11114000,157217000,157217000,27498000,27498000,221468000,10739000,78394000,407560000,2681877000,47238000,37833000,2729115000,3136675000,84091000,22646000,61445000,76723000,39191000,30963000,200005000,1302287000,15070000,15070000,1317357000,1517362000,-83894000,1494749000,158376000,1563896000,55417000,1619313000,3136675000,11114000,37664000,1888000.00000001,-8658000,42748000,-32682000,-1817000,-34499000,-7437000,-5309000,-1583000,-14329000,-6080000,-6080000,-6080000,73007000,1379010000,0.51607,0.15171,0.04771,0.00686,0.00354,2.03775,0.93704,0.43964,0.08207,0.08207,1.72037,12.16827,0.05492,0.00616,0.66916,16.73529,34.56959
"13","2013_Q2",8.5765625,"Up",194921000,-102614000,92307000,-63793000,-6171000,-34016000,28514000,-16851000,-17414000,563000,11663000,-24990000,-13327000,-19484000,28926000,28926000,28926000,208313000,208313000,33490000,33490000,219040000,10183000,208857000,462078000,2689283000,52287000,42882000,2741570000,3203648000,52740000,29801000,22939000,19757000,35193000,35193000,107690000,1296727000,32583000,32583000,1329310000,1.437e+09,-271047000,1795433000,187005000,1711391000,55257000,1766648000,3203648000,28926000,35158000,-46417000,-4683000,13416000,-37149000,59349000,22200000,-9787000,-90169000,-3565000,15480000,51096000,51096000,51096000,63672000,1316484000,0.47356,0.14628,0.1484,0.01637,0.00903,4.29082,0.8134,0.41093,0.19147,0.19147,1.29022,13.12212,0.06478,0.01243,0.33835,17.40437,38.8641
"14","2013_Q3",8.99140625,"Up",234638000,-105126000,129512000,-64822000,-7359000.00000001,-32175000,64690000,-16484000,-17272000,788000,48206000,-28068000,20138000,20009000,20009000,20009000,20009000,123217000,123217000,34463000,34463000,155278000,6280000,148998000,314158000,2740949000,62049000,52644000,2802998000,3117156000,48873000,24156000,24717000,20571000,33356000,33356000,102800000,1291229000,38955000,38955000,1330184000,1432984000,-374558000,1796904000,205788000,1628134000,56038000,1684172000,3117156000,20009000,33318000,-7441000.00000001,15183000,61069000,-31940000,55027000,-36050000,-4993000,-4672000,-450000,-110115000,-85096000,-85096000,-85096000,98008000,1311800000,0.55197,0.2757,0.08528,0.01188,0.00642,3.05601,0.85085,0.42083,0.12436,0.12436,1.4583,12.44697,0.03103,0.00824,0.24954,12.12741,18.37352
"15","2013_Q4",9.29859375,"Up",250370000,-118094000,132276000,-68703000,-6586000,-35050000,63573000,-18127000,-18854000,727000,45446000,-29205000,16241000,15817000,15817000,15817000,15817000,100225000,100225000,41223000,41223000,94954000,10815000,84139000,237690000,2977049000,40947000,31542000,3017996000,3255686000,64900000,25806000,39094000,23351000,36097000,36097000,124348000,1402600000,39901000,39901000,1442501000,1566849000,-385001000,1798265000,219837000,1633101000,55736000,1688837000,3255686000,15817000,36124000,-662000,-851000,50428000,-22563000,87663000,-63782000,-2300000,-5030000,-2308000,-9638000,-22992000,-22992000,-22992000,99697000,1425951000,0.52832,0.25392,0.06317,0.00937,0.00486,1.91149,0.92777,0.43799,0.0983,0.0983,1.55596,12.54181,0.01429,0.00574,0.14541,13.29755,20.8536
"16","2014_Q1",9.47344262295082,"Up",243895000,-119255000,124640000,-70283000,-6555000,-36235000,54357000,-17956000,-18699000,743000,36401000,-29717000,6684000,5249000,5249000,5249000,5249000,104363000,104363000,29941000,29941000,101918000,12612000,89306000,237686000,3231382000,39730000,30325000,3271112000,3508798000,66492000,25116000,41376000,23289000,30288000,30288000,120069000,1396372000,39958000,39958000,1436330000,1556399000,-396444000,2070530000,224364000,1898450000,53949000,1952399000,3508798000,5249000,37308000,1946000,1703000,46206000,-26042000,-5151000,-293718000,-10444000,-6597000,-2509000,251650000,4138000,4138000,4138000,91665000,1419661000,0.51104,0.22287,0.02152,0.00269,0.0015,1.97958,0.79717,0.4046,0.03012,0.03012,1.39967,13.16997,0.05994,0.0046,1.98971,14.34897,24.1974
"17","2014_Q2",10.2022222222222,"Up",243483000,-128963000,114520000,-73096000,-6559000,-37615000,41424000,-17567000,-18283000,716000,23857000,-27129000,-3272000,-3496000,-3496000,-3496000,-3496000,94792000,94792000,38891000,38891000,95374000,12626000,82748000,230392000,3227779000,38871000,29466000,3266650000,3497042000,65259000,31470000,33789000,24008000,37061000,37061000,126328000,1389971000,40610000,40610000,1430581000,1556909000,-407911000,2073235000,218642000,1883966000,56167000,1940133000,3497042000,-3496000,38689000,8256000,-4166000,39283000,-33346000,397000,-32949000,-11443000,-5846000,-8000,-15905000,-9571000,-9571000,-9571000,80113000,1413979000,0.47034,0.17013,-0.01436,-0.0018,-0.001,1.82376,0.80248,0.40434,-0.01931,-0.01931,1.34476,12.65804,0.0632,0.00234,-3.27317,16.46658,31.84596
"18","2014_Q3",10.3646875,"Up",300852000,-135682000,165170000,-77610000,-7674000,-37973000,87560000,-17440000,-18331000,891000,70120000,-31674000,38446000,38336000,43535000,43535000,43535000,360702000,360702000,43093000,43093000,99546000,11571000,87975000,504616000,3230895000,47449000,38044000,3278344000,3782960000,69025000,30192000,38833000,122835000,38173000,38173000,230033000,1285163000,34106000,34106000,1319269000,1549302000,-420281000,2337703000,260518000,2177940000,55718000,2233658000,3782960000,43535000,39049000,-10800000,6769000,78553000,-32490000,-12002000,-55492000,-11467000,-6376000,-2108000,242849000,265910000,265910000,265910000,126609000,1407998000,0.54901,0.29104,0.14471,0.01949,0.01151,2.19367,0.69362,0.37219,0.2384,0.2384,1.6475,14.22817,0.06279,0.01496,0.263399999999999,8.27189,11.9609
"19","2014_Q4",11.08390625,"Up",307783000,-144294000,163489000,-80085000,-7177000,-4e+07,83404000,-17071000,-18052000,981000,66333000,-33103000,33230000,33643000,33643000,33643000,33643000,135427000,135427000,48149000,48149000,105595000,12471000,93124000,290510000,3546528000,32292000,22887000,3578820000,3869330000,75928000,32491000,43437000,159696000,43755000,43755000,279379000,1242372000,34934000,34934000,1277306000,1556685000,-432851000,2399231000,292366000,2258746000,53899000,2312645000,3869330000,33643000,41066000,3726000,4003000,82438000,-27528000,8689000,-284397000,-12370000,-5975000,-4971000,-23316000,-225275000,-225275000,-225275000,124470000,1402068000,0.53118,0.27098,0.10931,0.01455,0.00869,1.03984,0.67312,0.36235,0.1657,0.1657,1.51594,13.25707,0.06093,0.01227,0.36768,10.17628,15.18681
"20","2015_Q1",12.5650819672131,"Up",289880000,-142059000,147821000,-80530000,-7329000,-40257000,67291000,-16758000,-17649000,891000,50533000,-35668000,14865000,14607000,14257000,14257000,14257000,222096000,222096000,34227000,34227000,96983000,14909000,82074000,354745000,3538129000,24543000,15138000,3562672000,3917417000,141190000,32577000,108613000,119607000,36466000,36466000,297263000,1317713000,33607000,33607000,1351320000,1648583000,-509545000,2420615000,305503000,2216573000,52261000,2268834000,3917417000,14257000,41320000,21386000,5132000,82095000,-32611000,-1285000,-33895999.9999999,-12570000,42414000,-11572000,38470000,86669000,86669000,86669000,108611000,1437320000,0.50994,0.23213,0.04918,0.00628,0.00364,1.19337,0.72662,0.36691,0.06989,0.06989,1.42103,13.36378,0.06162,0.00717,0.88167,11.18877,18.05924
"21","2015_Q2",11.5436507936508,"Down",284385000,-145095000,139290000,-89409000,-14253000,-40707000,49881000,-16380000,-17326000,946000,33501000,-32213000,1288000,1203000,1203000,1203000,1203000,156972000,156972000,50907000,50907000,103150000,15890000,87260000,312400000,3537125000,31832000,22427000,3568957000,3881357000,71509000,35811000,35698000,235970000,44159000,44159000,351638000,1203023000,34670000,34670000,1237693000,1589331000,-522279000,2456795000,304525000,2239041000,52985000,2292026000,3881357000,1203000,41514000,9785000,-14296000,38206000,-36120000,-11299000,-47419000,-39345000,-5875000,-10691000,-55911000,-65124000,-65124000,-65124000,91395000,1438993000,0.48979,0.1754,0.00423,0.00052,0.000310000000000001,0.88841,0.69342,0.37074,0.00582,0.00582,1.3765,13.36554,0.19044,0.01077,32.70574,14.02726,25.70159
"22","2015_Q3",10.61671875,"Down",339267000,-151042000,188225000,-84903000,-6923000,-40873000,103322000,-15461000,-17289000,1828000,87861000,-33971000,53890000,53657000,53657000,53657000,53657000,98760000,98760000,52174000,52174000,100072000,11616000,88456000,252356000,3532156000,36286000,26881000,3568442000,3820798000,74427000,35806000,38621000,135825000,44174000,44174000,254426000,1198408000,35265000,35265000,1233673000,1488099000,-535014000,2458680000,355702000,2279368000,53331000,2332699000,3820798000,53657000,41944000,776000,2848000,99225000,-36869000,3223000,-33646000,-12734000,-104760000,-6297000,-123791000,-58212000,-58212000,-58212000,145266000,1334233000,0.5548,0.30454,0.15816,0.023,0.01404,0.99186,0.63793,0.3492,0.25849,0.25849,1.63438,13.55793,0.06134,0.01793,0.23731999999999,8.5049,11.9575
"23","2015_Q4",10.50109375,"Down",324595000,-150876000,173719000,-85205000,-6046000,-41331000,88514000,-15829000,-16405000,576000,72685000,-24558000,48127000,47189000,63084000,63084000,63084000,176190000,176190000,47818000,47818000,103418000,11877000,91541000,328789000,3523290000,19704000,18714000,3542994000,3871783000,76626000,33401000,43225000,206822000,50341000,50341000,333789000,1121916000,35258000,35258000,1157174000,1490963000,-547744000,2459642000,416804000,2328702000,52118000,2380820000,3871783000,63084000,42401000,-27951000,14080000,91614000,-33586000,41603000,8017000,-12735000,-5494000,-3972000,-22201000,77430000,77430000,77430000,130915000,1328738000,0.53519,0.27269,0.19435,0.0265,0.01629,0.98502,0.62624,0.34319,0.30386,0.30386,1.56348,13.85505,0.06134,0.02025,0.20187,8.80379,13.02108
"24","2016_Q1",10.0183606557377,"Down",300933000,-146281000,154652000,-80870000,-6117000,-41805000,73782000,-14961000,-15496000,535000,58821000,178932000,237753000,237575000,237575000,237575000,237575000,499067000,499067000,32024000,32024000,87059000,10879000,76180000,619545000,3230852000,14696000,14696000,3245548000,3865093000,323340000,30193000,293147000,85776000,42174000,42174000,451290000,1026394000,36289000,36289000,1062683000,1513973000,-812868000,2460965000,652704000,2300801000,50319000,2351120000,3865093000,237575000,41025000,-201511000,3191000,80280000,-57657000,530058000,472401000,-12730000,-211683000,-5391000,-229804000,322877000,322877000,322877000,114807000,1112170000,0.51391,0.24518,0.78946,0.10105,0.06147,1.37283,0.64394,0.28775,1.14434,1.14434,1.44953,14.99783,0.06132,0.07152,0.0535800000000006,5.34029,8.30966
"25","2016_Q2",10.22078125,"Up",274292000,-140800000,133492000,-81477000,-6717000,-40047000,52015000,-19521000,-20010000,489000,32494000,-31041000,1453000,1216000,1216000,1216000,1216000,396669000,396669000,46311000,46311000,81091000,12778000,68313000,525427000,3243975000,12388000,12388000,3256363000,3781790000,71963000,39460000,32503000.0000001,149021000,45479000,45479000,266463000,944965000,41052000,41052000,986017000,1252480000,-711460000,2537306000,652270000,2478116000,51194000,2529310000,3781790000,1216000,40106000,16954000,-15185000,43091000,-48818000,-302000,-49120000,-186301000,-21574000,-3494000,-96369000,-102398000,-102398000,-102398000,92121000,1093986000,0.48668,0.18963,0.00443,0.000480000000000008,0.000319999999999994,1.97186,0.49519,0.28928,0.00571,0.00571,1.28844,14.98248,0.87512,0.05117,153.20806,7.56958,13.40608
"26","2016_Q3",10.74046875,"Up",322160000,-145212000,176948000,-85471000,-6809000,-40680000,91477000,-15517000,-15872000,355000,75960000,-9986000,65974000,65736000,65736000,65736000,65736000,354682000,354682000,46528000,46528000,70654000,8319000,62335000,473171000,3231669000,12300000,12300000,3243969000,3717140000,69857000,35017000,34840000,251719000,44401000,44401000,365977000,766671000,44945000,44945000,811616000,1177593000,-769072000,2541444000,716351000,2488723000,50824000,2539547000,3717140000,65736000,40763000,-4496000,4057000,106060000,-51216000,39559000,-14104000,-13254000,-78512000,-2177000,-133943000,-41987000.0000001,-41987000.0000001,-41987000.0000001,132240000,1018390000,0.54926,0.28395,0.20405,0.02588,0.01768,1.2929,0.4637,0.27397,0.3052,0.3052,1.49574,15.12545,0.06154,0.02192,0.201619999999991,5.01897,7.25546
"27","2016_Q4",11.4955555555556,"Up",303304000,-142269000,161035000,-81837000,-6392000,-40442000,79198000,-10853000,-11136000,283000,68345000,-30352000,37993000,39427000,39427000,39427000,39427000,367117000,367117000,46260000,46260000,78221000,10973000,67248000,492963000,3234814000,11684000,11684000,3246498000,3739461000,73539000,37020000,36519000,251276000,44372000,44372000,369187000,764341000,42677000,42677000,807018000,1176205000,-783105000,2542947000,753725000,2513567000,49689000,2563256000,3739461000,39427000,40831000,2988000,-3878000,79368000,-39812000,-6969000,-46781000,-13898000,-3058000,-3196000,-20152000,12435000,12435000,12435000,120029000,1015617000,0.53094,0.26112,0.12999,0.01538,0.01054,1.33527,0.45887,0.27159,0.18302,0.18302,1.40795,15.30325,0.06451,0.01472,0.3525,5.40286,8.18834
"28","2017_Q1",12.6859677419355,"Up",289584000,-139269000,150315000,-82964000,-6073000,-41847000,67351000,-2592000,-3265000,673000,64759000,-30118000,34641000,34298000,34298000,34298000,34298000,369537000,369537000,39337000,39337000,157525000,10489000,67923000,567624000,3158219000,13391000,13391000,3171610000,3739234000,180853000,36110000,144743000,184929000,43022000,39869000,408804000,761948000,36650000,36650000,798598000,1207402000,-902952000,2598821000,786901000,2482770000,49062000,2531832000,3739234000,34298000,41962000,-25035000,8044000,59269000,-42339000,9549000,-32790000,-14033000,-69973000,-3443000,-32316000,-5837000,-5837000,-5837000,109313000,946877000,0.51907,0.23258,0.11844,0.01355,0.00917,1.3885,0.47689,0.25323,0.15866,0.15866,1.33962,15.66238,0.06492,0.01375,0.409149999999998,5.28153,8.57211
"29","2017_Q2",13.4653968253968,"Up",280743000,-138795000,141948000,-82324000,-6779000,-40807000,59624000,-10528000,-11249000,721000,49096000,14939000,64035000,63827000,63827000,63827000,63827000,441830000,441830000,50229000,50229000,77666000,13252000,64414000,570977000,3149472000,12032000,12032000,3161504000,3732481000,67633000,36327000,31306000,8897999.99999997,43786000,43786000,120317000,998034000,36917000,36917000,1034951000,1155268000,-917180000,2596928000,848736000,2528484000,48729000,2577213000,3732481000,63827000,40969000,-42765000,-21896000,40135000,-29872000,123098000,93226000,-119847000,61401000,-6131000,-64577000,68784000,68784000,68784000,100593000,1006932000,0.50562,0.21238,0.22735,0.02477,0.0171,4.74561,0.44826,0.26978,0.29132,0.29132,1.28139,15.72695,0.54701,0.05072,1.87768,5.61771,9.47776
