"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","interest_income","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","income_taxes_receivable","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","pension_liabilities","deferred_revenue_long_term","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"14","2013_Q3",25.81671875,"Up",92097000,-19704000,72393000,-56511000,-39016000,-16638000,-857000,15882000,-59000,-130000,-187000,57000,71000,15823000,15823000,-5940000,9883000,9883000,9883000,9883000,137011000,94917000,42094000,55672000,55672000,10728000,19646000,1920000,223057000,21797000,274109000,60896000,202863000,2285000,318344000,541401000,39777000,8719000,31058000,88319000,88319000,128096000,30518000,1575000,21294000,979000,6670000,30518000,158614000,263937000,-99829000,216597000,2082000,382787000,382787000,541401000,9883000,4653000,5171000,-11219000,8488000,-4128000,-4398000,-8442000,-8777000,1006000,-7771000,-7725000,-7725000,-85000,-7810000,20535000,-4.65661287307739e-10,11128000,0.78605,0.17245,0.10731,0.02582,0.01825,1.12597,1.74133,0.41437,0,0.23877,0.23565,2.22505,9.24807,0.26885,6,0.02391,0.02692,-6.67207,-8.62681
"15","2013_Q4",28.3125,"Up",110428000,-23602000,86826000,-59562000,-40354000,-18348000,-860000,27264000,44000,-132000,-198000,66000,176000,27308000,27308000,-10014000,17294000,17294000,17294000,17294000,144991000,88648000,56343000,74263000,74263000,11128000,18219000,2093189.05403891,248601000,21350000,270704000,59827000,203201000,2047000,329276000,577877000,48781000,8679000,39397000,102010000,102010000,150791000,31488000,1578000,22285000,991000,6634000,31488000,182279000,267699000,-108513000,233891000,2521000,395598000,395598000,577877000,17294000,4262000,5622000,6488000,33666000,-2914000,-29030000,-31945000,-8244000,306000,-7938000,-6217000,-6217000,-52000,-6269000,31526000,0,45114000,0.78627,0.24689,0.15661,0.04372,0.02993,2.60865,1.64865,0.46077,0,0.41718,0.41275,2.6638,9.54283,1.08826,7,0.04049,0.10563,-4.59909,-5.31804
"16","2014_Q1",35.2511475409836,"Up",112317000,-24285000,88032000,-62047000,-41683000,-19503000,-861000,25985000,-70000,-94000,-193000,99000,24000,25915000,25915000,-9239000,16676000,16676000,16676000,16676000,177310000,102076000,75234000,60518000,60518000,12580000,28354000,1012000,278762000,23098000,264419000,58513000,203446000,2460000,329001000,607763000,53663000,11541000,41331000,109301000,109301000,162964000,35638000,1581000,24639000,2757000,6661000,35638000,198602000,273624000,-117802000,250567000,2772000,409161000,409161000,607763000,16676000,4486000,3933000,25084000,50179000,-4730000,-23155000,-27799000,-9232000,349000,-8883000,13497000,13497000,-69000,13428000,30471000,-2.91038304567337e-11,60064000,0.78378,0.23135,0.14847,0.04076,0.02744,3.60182,1.71057,0.48539,5.42101086242752e-20,0.40463,0.39787,2.72528,9.92796,1.4574,7,0.03749,0.13504,-5.81898,-6.82355
"17","2014_Q2",38.8401587301587,"Up",107852000,-22596000,85256000,-65654000,-46025000,-18767000,-862000,19602000,-131000,-90000,-194000,104000,-41000,19471000,19471000,-7995000,11476000,11476000,11476000,11476000,177864000,88974000,88890000,32955000,32955000,11026000,24949000,1207000,246794000,22742000,262021000,56643000,203034000,2344000,341343000,588137000,39819000,9888000,29931000,101871000,101871000,141690000,33821000,1582000,22848000,2747000,6644000,33821000,175511000,278156000,-129989000,262043000,2416000,412626000,412626000,588137000,11476000,4876000,4768000,7080000,28200000,-1936000,-28708000,-30627000,-12179000,1431000,-10748000,-13175000,-13175000,73000,-13102000,24478000,0,37617000,0.79049,0.18175,0.10641,0.02781,0.01951,3.27788,1.74179,0.42535,0,0.27935,0.27449,2.62535,10.04421,0.91568,7,0.02571,0.08426,-7.26628,-9.07377
"18","2014_Q3",44.78515625,"Up",103599000,-21595000,82004000,-63360000,-43263000,-19241000,-856000,18644000,-543000,-98000,-196000,98000,-445000,18101000,18101000,-6868000,11233000,11233000,11233000,11233000,169769000,78986000,90783000,49786000,49786000,14505000,30166000,6742000,264226000,21721000,258052000,54465000,201457000,2130000,327315000,591541000,50433000,10193000,40240000,95022000,95022000,145455000,33464000,1584000,22540000,2708000,6632000,33464000,178919000,287846000,-148696000,273276000,196000,412622000,412622000,591541000,11233000,4877000,4941000,-20261000,790000.000000004,-2172000,7122000,5034000,-18648000,2602000,-16046000,-10222000,-10222000,234000,-9988000,23521000,2.3283064365387e-10,7956000,0.79155,0.17996,0.10843,0.02722,0.01899,0.70827,1.81655,0.43361,5.42101086242752e-20,0.27312,0.26951,2.51894,10.03263,0.19344,7,0.02518,0.01784,-7.21776,-9.10582
"19","2014_Q4",37.695,"Down",122833000,-26982000,95851000,-67912000,-48227000,-18864000,-821000,27939000,-512000,-94000,-190000,96000,-418000,27427000,27427000,-9798000,17629000,17629000,17629000,17629000,194671000,106704000,87967000,83415000,83415000,10274000,26884000,2864000,315244000,23016000,254613000,52469000,200271000,1873000,323684000,638928000,61322000,10927000,50395000,107595000,107595000,168917000,37893000,1586000,27036000,2679000,6592000,37893000,206810000,292110000,-149345000,290905000,-1552000,432118000,432118000,638928000,17629000,4696000,5114000,893000,28332000,-4653000,4228000,-423000,-611000,289000,-322000,27587000,27587000,131000,27718000,32635000,0,38673000,0.78034,0.22746,0.14352,0.0408,0.02759,2.19371,1.86627,0.4786,0,0.42864,0.42297,2.9866,10.50666,0.94031,6,0.03751,0.08228,-5.9651,-6.96772
"20","2015_Q1",38.707868852459,"Up",119385000,-23388000,95997000,-65409000,-46227000,-18370000,-812000,30588000,-622000,-46000,-193000,147000,-576000,29966000,29966000,-9112000,20854000,20854000,20854000,20854000,206285000,104893000,101392000,82226000,82226000,12130000,36643000,1393000,337284000,23864000,249329000,50180000,197445000,1704000,331765000,669049000,64211000,13077000,51027000,123422000,123422000,187633000,45666000,1587000,26961000,10639000,6479000,45666000,233299000,298152000,-169516000,311759000,-4645000,435750000,435750000,669049000,20854000,5260000,5104000,18393000,49611000,-4221000,-25900000,-30169000,-20136000,-1508000,-21644000,-2201999.99999999,-2201999.99999999,391000,-1811000,35848000,1.86264514923096e-09,59132000,0.8041,0.25621,0.17468,0.04786,0.03117,2.83552,1.79757,0.5354,-4.33680868994202e-19,0.50705,0.50035,2.90277,10.59497,1.43776,7,0.04332,0.12283,-5.75444,-6.74398
"21","2015_Q2",41.0533333333333,"Up",100743000,-21296000,79447000,-67058000,-48191000,-18058000,-809000,12389000,-146000,-34000,-192000,158000,-112000,12243000,12243000,-4574000,7669000,7669000,7669000,7669000,207209000,94352000,112857000,58496000,58496000,12710000,29478000,20323839.9690485,307893000,24902000,248654000,48815000,198222000,1617000,333859000,641752000,40639000,11203000,29289000,108179000,108179000,148818000,46540000,1589000,27919000,10653000,6379000,46540000,195358000,302507000,-172683000,319428000,-2858000,446394000,446394000,641752000,7669000,4986000,4923000,-8288000,9290000,-3503000,-13255000,-16758000,-3167000,-728363.347796622,-3167000,-10635000,-10635000,94000,-10541000,17375000,0,10158000,0.78861,0.12298,0.07612,0.01718,0.01195,1.32455,2.06892,0.43764,0,0.18808,0.18537,2.47064,10.94747,0.24912,5,0.01556,0.02061,-11.9257,-16.72524
"22","2015_Q3",37.86140625,"Down",261110000,-100187000,160923000,-196193000,-120454000,-65896000,-9843000,-35270000,-828000,-1614000,-1786000,172000,786000,-36098000,-36098000,28183000,-7915000,-7915000,-7915000,-7915000,318677000,215539000,103138000,165092000,165092000,71066000,142708000,40694000,697543000,60398000,2813422000,1102717000,1702705000,7588000,2906528000,3604071000,138567000,37425000,101142000,235657000,233405000,374224000,406227000,28988000,39224000,328010000,10005000,656227000,1030451000,2619532000,-354511000,311513000,-2914000,2573620000,2573620000,3604071000,-7915000,46811000,18276000,-59519000,-2347000,-5762000,37431000,59416000,-181827000,1699000,64495000,121564000,121564000,-377000,121187000,11541000,2.5e+08,-81923000,0.6163,-0.13508,-0.03031,-0.00308,-0.0022,10.35035,1.86397,0.40039,0.06937,-0.10262,-0.10262,3.3855,33.36903,-1.0622,2,-0.00245,-0.02536,-5.9507,1.94718
"23","2015_Q4",34.38578125,"Down",307679000,-106115000,201564000,-198843000,-122463000,-65131000,-11249000,2721000,-2903000,-1880000,-2069000,189000,-1023000,-182000,-650000,-23857000,-24507000,-24507000,-24507000,-24507000,358272000,230521000,127751000,244957000,244957000,63427000,87216000,37795000,753872000,58663000,2804618000,1075532000,1693876000,7775000,2881242000,3635114000,177305000,52660000,124645000,255822000,255822000,433127000,422690000,28977000,56570000,330254000,6889000,672690000,1105817000,2627921000,-381942000,287006000,-3688000,2529297000,2529297000,3635114000,-24507000,45871000,11011000,17280000,49655000,-4896000,-9991000,-7356000,-27431000,87000,-27344000,14955000,14955000,27000,14982000,48592000,2.5e+08,84833000,0.65511,0.00884,-0.07965,-0.00969,-0.00674,-3.46158,1.74053,0.4372,0.06877,-0.31775,-0.31775,3.9893,32.79435,1.09993,2,-0.00765,0.02649,-2.22819,-39.79125
"24","2016_Q1",22.5354098360656,"Down",285887000,-100851000,185036000,-189958000,-119941000,-59545000,-10472000,-4922000,-3012000,-2110000,-2282000,172000,-902000,-7934000,-7934000,4317999.99999999,-3616000,-3616000,-3616000,-3616000,338714000,210711000,128003000,247199000,247199000,58029000,96536000,18137000,740478000,62033000,2776971000,1054040000,1709369000,7356000,2852365000,3592843000,160408000,43969000,114348000,296648000,296648000,457056000,392405000,31378000,68129000,285359000,7539000,692405000,1149461000,2642859000,-481366000,283390000,-1501000,2443382000,2443382000,3592843000,-3616000,42403000,-41397000,43223000,40613000,-14584000,4418000,-10213000,-90358000,-10852000,-51210000,-20810000,-20810000,1e+06,-19810000,37481000,3e+08,61802000,0.64723,-0.01722,-0.01265,-0.00148,-0.00101,-17.09126,1.6201,0.47044,0.0835,-0.0375399999999999,-0.03754,2.96779,25.3647,0.64157,2,-0.00115,0.01971,-1.0329,7.86550000000001
"25","2016_Q2",23.1534375,"Up",268952000,-87034000,181918000,-190638000,-112515000,-60551000,-17572000,-8720000,-2904000,-2140000,-2331000,191000,-764000,-11624000,-13658000,4660000,-8998000,-8998000,-8998000,-8998000,319613000,210870000,108743000,196227000,196227000,58842000,94257000,28402000,668939000,64058000,2746152000,1023968000,1710286000,6858000,2825519000,3494458000,144606000,45607000,96908000,279974000,279974000,424580000,378226000,31158000,67025000,272763000,7280000,678226000,1102806000,2650429000,-531434000,274392000,-1735000,2391652000,2391652000,3494458000,-8998000,40174000,-3137000,9694000,37733000,-9238000,17353000,12896000,-5e+07,-68000,-50068000,561000,561000,-402000,159000,31454000,3e+08,27250000,0.6764,-0.03242,-0.03346,-0.00376,-0.00257,-3.02845,1.57553,0.46111,0.08585,-0.0964,-0.0964,2.8813,25.62191,0.29193,2,-0.00293,0.00888,-0.62355,2.2492
"26","2016_Q3",27.44015625,"Up",272048000,-84510000,187538000,-186838000,-108233000,-61046000,-17559000,7e+05,-2430000,-1964000,-2194000,230000,-466000,-1730000,-1625000,359000.000000002,-1266000,-1266000,-1266000,-1266000,294720000,195423000,99297000,240599000,240599000,95304000,34435000,34435000,665058000,64003000,2722049000,998169000,1714539000,6078000,2794727000,3459785000,140533000,45853000,94680000,282045000,282045000,422578000,363255000,31493000,64201000,259625000,7936000,663255000,1085833000,2667112000,-564581000,273126000,-1705000,2373952000,2373952000,3459785000,-1266000,40407000,-2492000,-22154000,14495000,-7530000,1.6e+07,3592000,-26591000,-6555000,-33146000,-15059000,-15059000,272000,-14787000,41107000,3e+08,11064000,0.68936,0.00257,-0.00464999999999999,-0.00053,-0.00037,-8.73934,1.57381,0.45739,0.08671,-0.01377,-0.01377,2.95987,25.82853,0.12038,4,-0.000420000000000001,0.00364,0.12845,7.54286
"27","2016_Q4",30.6763492063492,"Up",302192000,-81678000,220514000,-187351000,-111752000,-58084000,-17515000,33163000,-2748000,-2052000,-2258000,206000,-696000,30415000,30614000,-9369000,21245000,21245000,21245000,21245000,359703000,244833000,114870000,284055000,284055000,82959000,18913000,18913000,745630000,61900000,2688161000,959042000,1720911000,5723000,2767267000,3512897000,153803000,41660000,112143000,299218000,299218000,453021000,361991000,29745000,78206000,246192000,7848000,661991000,1115012000,2676968000,-569499000,294371000,-3955000,2397885000,2397885000,3512897000,21245000,40308000,-2515000,19569000,78607000,-5953000,-24153000,-22415000,-2696000,-2221000,-4917000,51275000,51275000,-1865000,49410000,73471000,3e+08,96456000,0.72971,0.10974,0.0703,0.00886,0.00605,4.54017,1.64591,0.465,0.0854,0.23154,0.22665,3.29347,26.13356,1.05123,5,0.00694,0.03152,-0.81261,-1.80029
"28","2017_Q1",35.3190322580645,"Up",318920000,-92917000,226003000,-185081000,-114566000,-53020000,-17495000,40922000,-1797000,-2007000,-2401000,394000,210000,39125000,36854000,-14544000,22310000,22310000,22310000,22310000,442772000,304880000,137892000,294374000,294374000,40002000,77318000,40346000,854466000,61393000,2663721000,931269000,1718162000,7710000,2747047000,3601513000,149593000,37407000,107129000,310594000,310594000,460187000,405076000,32117000,86595000,277599000,8765000,705076000,1165263000,2693962000,-570921000,316681000,-3472000,2436250000,2436250000,3601513000,22310000,39974000,36638000,-2993000,95929000,-8006000,-27720000,-35694000,-707000,-714999.999999999,-1422000,58813000,58813000,1234000,60047000,80896000,3e+08,84441000,0.70865,0.12831,0.06995,0.00916,0.00619,3.78489,1.85678,0.4783,0.0833,0.24278,0.2407,3.47056,26.51181,0.91891,8,0.0071,0.02688,-1.76488,-3.48888
