"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","interest_income","foreign_exchange_gain_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",36.6908064516129,"Up",2.302e+09,-1.933e+09,3.69e+08,-9.2e+07,-9.2e+07,2.77e+08,-5.3e+07,-5.5e+07,-5.7e+07,2e+06,2e+06,2.24e+08,7e+06,2.31e+08,1.11e+08,3.44e+08,3.44e+08,-1.9e+07,3.25e+08,3.25e+08,2.4e+08,2.4e+08,1.397e+09,1.397e+09,1.207e+09,2.09e+08,2.09e+08,3.053e+09,1.845e+09,2.712e+09,7.36e+08,4.557e+09,7.61e+09,1.975e+09,1.975e+09,4.01e+08,2.376e+09,3.596e+09,1.411e+09,9.17e+08,4.94e+08,5.007e+09,7.383e+09,-2.5e+07,2.52e+08,2.27e+08,7.61e+09,3.44e+08,4.6e+07,-1.3e+07,-2.78e+08,9.9e+07,-7.4e+07,-3e+06,-7.7e+07,1.9e+08,-1.97e+08,3e+06,-2e+08,-1.3e+07,-2e+07,2e+06,2e+06,8e+06,1e+07,3.23e+08,3.997e+09,-1.4e+08,0.1603,0.12033,0.14118,1.43172,0.04271,-0.43077,1.28493,32.52423,0.52523,2.23368,2.19892,15.82131,-0.17182,-0.9622,0.05768,-0.02484,11.63158,13.56318
"12","2013_Q1",38.3823333333333,"Up",2.037e+09,-1.756e+09,2.81e+08,-9.4e+07,-9.4e+07,1.87e+08,-5.7e+07,-5.4e+07,-5.6e+07,2e+06,-3e+06,1.3e+08,-4.9e+07,8.1e+07,-1.1e+07,7.3e+07,7.3e+07,-4.2e+07,30999999.9999999,30999999.9999999,3.5e+08,3.5e+08,1.057e+09,1.057e+09,1.166e+09,1.77e+08,1.77e+08,2.75e+09,2.005e+09,2.745e+09,7.47e+08,4.75e+09,7.5e+09,2.146e+09,2.146e+09,3.76e+08,2.522e+09,3.289e+09,1.56e+09,1.098e+09,4.62e+08,4.849e+09,7.371e+09,-1.6e+08,2.89e+08,1.29e+08,7.5e+09,7.3e+07,4.7e+07,-7.8e+07,6.96e+08,7.38e+08,-1.1e+08,3.1e+07,-1.57e+08,-4.02e+08,-4.2e+07,8e+06,-5e+07,-2.8e+07,-4.72e+08,1.09e+08,1.09e+08,1e+06,1.1e+08,2.34e+08,3.665e+09,8.31e+08,0.13795,0.0918,0.01522,0.24031,0.00413,26.80645,1.0904,57.13953,0.48867,0.21663,0.21335,14.2348,-1.1181,5.80713,0.00579,0.15521,14.16667,17.72727
"13","2013_Q2",41.42625,"Up",1.973e+09,-1.674e+09,2.99e+08,-1.04e+08,-1.04e+08,1.95e+08,-6e+07,-5.8e+07,-6e+07,2e+06,-2e+06,1.35e+08,-4.2e+07,9.3e+07,-2.4e+07,6.7e+07,6.7e+07,-2.6e+07,4.1e+07,4.1e+07,3.04e+08,3.04e+08,1.175e+09,1.175e+09,1.352e+09,1.93e+08,1.93e+08,3.024e+09,1.988e+09,2.689e+09,7.52e+08,4.677e+09,7.701e+09,1.93e+09,1.93e+09,3.96e+08,2.326e+09,3.708e+09,1.503e+09,1.042e+09,4.61e+08,5.211e+09,7.537e+09,-1.28e+08,2.92e+08,1.64e+08,7.701e+09,6.7e+07,3.4e+07,1.3e+07,-5.46e+08,-4.32e+08,-6.3e+07,1.1e+07,-5.2e+07,4.6e+08,2e+06,8e+06,-6e+06,-2.3e+07,4.39e+08,-4.5e+07,-4.5e+07,-1e+06,-4.6e+07,2.29e+08,4.104e+09,-3.56e+08,0.15155,0.09883,0.02078,0.25,0.00532,-8.68293,1.30009,45.95732,0.53292,0.28772,0.28472,13.84561,-0.89825,-2.49825,0.0071,-0.0616899999999999,16.59389,19.48718
"14","2013_Q3",42.99359375,"Up",2.223e+09,-1.848e+09,3.75e+08,-1.02e+08,-1.02e+08,2.73e+08,-6e+07,-6e+07,-6.1e+07,1e+06,0,2.13e+08,-4e+06,2.09e+08,-5.5e+07,1.57e+08,1.57e+08,-2.2e+07,1.35e+08,1.35e+08,2.27e+08,2.27e+08,1.302e+09,1.302e+09,1.424e+09,2.19e+08,2.19e+08,3.172e+09,2.018e+09,2.679e+09,7.35e+08,4.697e+09,7.869e+09,2.177e+09,2.177e+09,4.54e+08,2.631e+09,3.672e+09,1.441e+09,9.9e+08,4.51e+08,5.113e+09,7.744e+09,-1.61e+08,2.86e+08,1.25e+08,7.869e+09,1.55e+08,3e+07,3000000.00000001,-7000000.00000024,1.81e+08,-5.6e+07,-8e+06,-6.4e+07,1.9e+07,-1.83e+08,5e+06,-1.88e+08,-2.6e+07,-1.9e+08,-7.3e+07,-7.3e+07,-4e+06,-7.7e+07,3.03e+08,4.126e+09,2.95e+08,0.16869,0.12281,0.06073,1.08,0.01716,2.18519,1.20563,61.952,0.52434,0.95609,0.94737,15.74363,-1.14023,2.08924,0.02372,0.05183,12.86799,14.28205
"15","2013_Q4",42.06921875,"Down",2.389e+09,-1.995e+09,3.94e+08,-1.13e+08,-1.13e+08,2.81e+08,-5.5e+07,-5.7e+07,-5.8e+07,1e+06,2e+06,2.26e+08,-3.1e+07,1.95e+08,-6.7e+07,1.25e+08,1.25e+08,-2.6e+07,9.9e+07,9.9e+07,2.36e+08,2.36e+08,1.459e+09,1.459e+09,1.331e+09,2.18e+08,2.18e+08,3.244e+09,2.087e+09,2.701e+09,6.91e+08,4.788e+09,8.032e+09,2.175e+09,2.175e+09,5.35e+08,2.71e+09,3.718e+09,1.429e+09,9.84e+08,4.45e+08,5.147e+09,7.857e+09,-1.06e+08,2.81e+08,1.75e+08,8.032e+09,1.27e+08,3.4e+07,3.5e+07,-6.9e+07,1.27e+08,-5.6e+07,-6e+06,-6.2e+07,7e+07,-1.03e+08,3e+06,-1.06e+08,-2.9e+07,-6.2e+07,3e+06,3e+06,6e+06,9e+06,3.15e+08,4.253e+09,2.57e+08,0.16492,0.11762,0.04144,0.56571,0.01233,2.59596,1.19705,44.89714,0.52951,0.71843,0.71121,17.33672,-0.76923,1.86502,0.0169,0.04388,12.75238,14.29537
"16","2014_Q1",42.7016393442623,"Up",2.071e+09,-1.797e+09,2.74e+08,-1.06e+08,-1.06e+08,1.68e+08,-5.9e+07,-5.6e+07,-5.7e+07,1e+06,-3e+06,1.09e+08,-3e+07,7.9e+07,-1999999.99999999,7.9e+07,7.9e+07,-3e+07,4.9e+07,4.9e+07,6.89e+08,6.89e+08,1.064e+09,1.064e+09,1.213e+09,2.14e+08,2.14e+08,3.18e+09,2.152e+09,2.698e+09,6.58e+08,4.85e+09,8.03e+09,2.547e+09,2.547e+09,3.73e+08,2.92e+09,3.469e+09,1.352e+09,8.91e+08,4.61e+08,4.821e+09,7.741e+09,4e+06,2.85e+08,2.89e+08,8.03e+09,7.9e+07,3.6e+07,8.6e+07,8.08e+08,1.009e+09,-7.1e+07,9e+06,-6.8e+07,-4.7e+08,5e+06,5e+06,-1.49011611938477e-08,-2.8e+07,-4.93e+08,4.48e+08,4.48e+08,5e+06,4.53e+08,2.04e+08,3.842e+09,9.43e+08,0.1323,0.08112,0.02366,0.16955,0.0061,19.2449,1.08904,26.78547,0.47846,0.3595,0.35793,15.19442,0.02935,6.91856,0.00894,0.17199,15.45588,18.76786
"17","2014_Q2",47.1557142857143,"Up",1.993e+09,-1.696e+09,2.97e+08,-1.04e+08,-1.04e+08,1.93e+08,-6.2e+07,-5.6e+07,-5.8e+07,2e+06,-6e+06,1.31e+08,-5.2e+07,7.9e+07,-3.3e+07,4.6e+07,4.6e+07,-2.2e+07,2.4e+07,2.4e+07,2.67e+08,2.67e+08,1.199e+09,1.199e+09,1.334e+09,2.79e+08,2.16e+08,3.079e+09,2.16e+09,2.646e+09,6.3e+08,4.806e+09,7.885e+09,2.165e+09,2.165e+09,3.39e+08,2.561e+09,3.765e+09,1.301e+09,8.55e+08,4.46e+08,5.066e+09,7.627e+09,3000000.00000001,2.55e+08,2.58e+08,7.885e+09,4.6e+07,3.5e+07,5.5e+07,-6.31e+08,-4.95e+08,-8.4e+07,1.1e+07,-7.3e+07,2.59e+08,2e+06,4e+06,-2e+06,-1.14e+08,1.47e+08,-4.21e+08,-4.21e+08,-1e+06,-4.22e+08,2.28e+08,4.104e+09,-4.54e+08,0.14902,0.09684,0.01204,0.09302,0.00304,-18.91667,1.20226,29.56202,0.52048,0.17544,0.17404,14.56871,0.0219300000000001,-3.31871,0.00424,-0.08017,16.82895,19.88083
"18","2014_Q3",47.31125,"Up",2.383e+09,-2.007e+09,3.76e+08,-1.03e+08,-1.03e+08,2.73e+08,-6.5e+07,-6.5e+07,-6.6e+07,1e+06,0,2.08e+08,-3.1e+07,1.77e+08,-5e+07,1.27e+08,1.27e+08,-2.1e+07,1.06e+08,1.06e+08,2.44e+08,2.44e+08,1.264e+09,1.264e+09,1.615e+09,3.64e+08,3.64e+08,3.487e+09,2.496e+09,3.912e+09,6.4e+08,6.408e+09,9.895e+09,2.587e+09,2.587e+09,2.62e+08,2.849e+09,5.23e+09,1.404e+09,8.36e+08,5.68e+08,6.634e+09,9.483e+09,1.44e+08,2.68e+08,4.12e+08,9.895e+09,1.27e+08,4.7e+07,3.1e+07,1.73e+08,3.78e+08,-6.5e+07,-5e+06,-7.81e+08,4.23e+08,6e+06,6e+06,-1.86264514923096e-09,-4.8e+07,3.81e+08,-2.2e+07,-2.2e+07,-1e+06,-2.3e+07,3.2e+08,5.492e+09,4.78e+08,0.15778,0.11456,0.04448,0.25728,0.01071,4.50943,1.22394,23.01699,0.55503,0.77259,0.76479,17.3688,1.04956,3.48397,0.0145,0.06541,16.4,19.22344
"19","2014_Q4",47.380625,"Up",2.594e+09,-2.172e+09,4.22e+08,-9.5e+07,-9.5e+07,3.27e+08,-6e+07,-6.2e+07,-6.4e+07,2e+06,2e+06,2.67e+08,-4.2e+07,2.25e+08,4.1e+07,2.66e+08,2.66e+08,-2.2e+07,2.44e+08,2.44e+08,3.8e+08,3.8e+08,1.385e+09,1.385e+09,1.473e+09,3.7e+08,3.7e+08,3.608e+09,2.447e+09,3.762e+09,6.95e+08,6.209e+09,9.817e+09,2.519e+09,2.519e+09,2.47e+08,2.766e+09,5.2e+09,1.303e+09,7.67e+08,5.36e+08,6.503e+09,9.269e+09,2.7e+08,2.78e+08,5.48e+08,9.817e+09,2.66e+08,5.3e+07,1e+06,-1.94e+08,1.26e+08,-5.4e+07,-4e+06,-5.8e+07,1.08e+08,1e+06,1e+06,0,-3.1e+07,7.8e+07,1.46e+08,1.46e+08,-1e+07,1.36e+08,3.8e+08,5.447e+09,9.1e+07,0.16268,0.12606,0.09406,0.44526,0.02485,0.37295,1.30441,16.91423,0.55485,1.77584,1.75919,18.87918,1.96507,0.6623,0.03343,0.01247,13.33421,15.49541
"20","2015_Q1",48.8665573770492,"Up",2.127e+09,-1.84e+09,2.87e+08,-9.6e+07,-9.6e+07,1.91e+08,-7.3e+07,-6.3e+07,-6.5e+07,2e+06,-1e+07,1.18e+08,-7.8e+07,4e+07,-999999.999999985,3.9e+07,3.9e+07,-2.3e+07,1.6e+07,1.6e+07,9.65e+08,9.65e+08,1.031e+09,1.031e+09,1.324e+09,2.99e+08,2.51e+08,3.619e+09,2.437e+09,3.587e+09,6.61e+08,6.024e+09,9.643e+09,2.651e+09,2.651e+09,2.5e+08,2.924e+09,4.944e+09,1.388e+09,8.71e+08,5.17e+08,6.332e+09,9.256e+09,1.19e+08,2.68e+08,3.87e+08,9.643e+09,3.9e+07,5.5e+07,-4.2e+07,8.51e+08,9.03e+08,-1.09e+08,9.31322574615479e-10,-1.09e+08,-1.19e+08,3e+06,3e+06,2.3283064365387e-10,-4.5e+07,-1.61e+08,6.33e+08,6.33e+08,-4.8e+07,5.85e+08,2.46e+08,5.194e+09,9.89e+08,0.13493,0.0898,0.00752000000000001,0.04134,0.00166,61.8125,1.23769,23.91731,0.53863,0.11635,0.11514,15.46684,0.86533,7.19168,0.0023,0.14191,17.19106,22.14136
