"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","goodwill","other_intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2013_Q4",21.33640625,"Up",225970000,-202844000,23126000,-14695000,-14695000,8431000,-157000,-2e+05,43000,8274000,8274000,-1753000,6521000,6521000,6521000,6521000,50675000,50675000,131734000,131734000,2905000,79849000,74428000,265163000,67953000,155023000,-87070000,46059000,30910000,7970000,7179000,114012000,379175000,89275000,59497000,29197000,54241000,54241000,143516000,5650000,5650000,0,5650000,149166000,117955000,-22715000,134060000,709000,230009000,230009000,379175000,6521000,3415000,1569000,13738000,25243000,-4501000,-4501000,-3428000,465000,465000,-4000,-2967000,17775000,17775000,-309000,17466000,11846000,0,22836000,0.10234,0.03731,0.02886,0.02835,0.0172,3.50192,1.84762,0.64852,0,0.25043,0.2469,8.67814,8.83325,0.87699,0.02767,0.0969,-4.27782,-6.01056
"12","2014_Q1",29.9444262295082,"Up",235560000,-208561000,26999000,-15412000,-15412000,11587000,-311000,-188000,-123000,11276000,11276000,-3909000,7367000,7367000,7367000,7367000,63750000,63750000,140840000,140840000,2988000,88696000,80007000,296274000,71301000,161519000,-90218000,42403000,30836000,7551000,4016000,113704000,409978000,98479000,68961000,29518000,65887000,65887000,164366000,7450000,7450000,0,7450000,171816000,118469000,-21961000,141427000,227000,238162000,238162000,409978000,7367000,3571000,3069000,5736000,19743000,-6576000,-6576000,-3000.00000000047,336000,336000,-85000.0000000001,248000,13415000,13415000,-340000,13075000,15158000,0,18227000,0.11462,0.04919,0.03127,0.03093,0.01797,2.47414,1.80253,0.72142,0,0.28244,0.27624,9.03117,9.13093,0.69881,0.02999,0.07421,-4.2057,-5.50186
"13","2014_Q2",33.0071428571429,"Up",226217000,-200741000,25476000,-14714000,-14714000,10762000,-306000,-218000,-88000,10456000,10456000,-3904000,6552000,6552000,6552000,6552000,79762000,79762000,150473000,150473000,3172000,79403000,73340000,312810000,73327000,166247000,-92920000,42851000,30887000,7378000,4586000,116178000,428988000,93901000,67799000,25501000,78341000,78341000,172242000,7844000,7844000,-5.55111512312578e-17,10270000,182512000,119342000,-21374000,147979000,529000,246476000,246476000,428988000,6552000,3720000,972000,7206000,18450000,-5484000,-5484000,2426000,374000,374000,0,2800000,15766000,15766000,246000,16012000,14482000,2426000,20108000,0.11262,0.04757,0.02896,0.02658,0.01527,3.06899,1.81611,0.74049,0.00566,0.25088,0.24588,8.66201,9.43774,0.76995,0.02552,0.07832,-5.34015,-7.18602
"14","2014_Q3",27.7690625,"Down",310998000,-276848000,34150000,-19333000,-19333000,14817000,-411000,-343000,-68000,14406000,14406000,-4095000,10311000,10311000,10306000,10306000,73292000,73292000,161502000,161502000,3193000,108360000,98193000,346347000,86812000,182680000,-95868000,102748000,67122000,31091000,4535000,189560000,535907000,147539000,115894000,31645000,99392000,99392000,246931000,7643000,7643000,0,30834000,277765000,117322000,-18222000,158285000,52000,257437000,258142000,535907000,10311000,3831000,517000,17355000,32014000,-6155000,-57553000,20765000,266000,266000,-1632000,19399000,-6140000,-6140000,-330000,-6470000,18648000,23191000,33943000,0.10981,0.04764,0.03314,0.03992,0.01923,3.29352,1.40261,1.07602,0.04327,0.39268,0.38335,11.8498,9.80899,1.29331,0.03566,0.11746,-2.68667,-3.38132
"15","2014_Q4",22.4921875,"Down",381516000,-341572000,39944000,-21125000,-21125000,18819000,-271000,-280000,9000,18548000,18548000,-6756000,11792000,11792000,11396000,11396000,59758000,59758000,232167000,232167000,3143000,112183000,103285000,407251000,88097000,187781000,-99684000,102467000,66589000,29705000,6173000,190564000,597815000,171539000,121802000,48266000,104255000,104255000,275794000,6365000,6365000,8.88178419700125e-16,51468000,327262000,118443000,-16959000,169681000,-1713000,269452000,270553000,597815000,11792000,5394000,-3652000,-43843000,-30309000,-5868000,-5868000,21912000,512000,512000,1044000,23468000,-12709000,-12709000,-825000,-13534000,24213000,45103000,-18742000,0.1047,0.04933,0.02987,0.04212,0.01906,-1.64461,1.47665,1.2096,0.07545,0.43209,0.42145,14.46561,10.21658,-0.71062,0.03539,-0.0582,-0.60525,-0.77873
"16","2015_Q1",18.8296721311475,"Down",344358000,-307455000,36903000,-22694000,-22694000,14209000,-808000,-483000,-325000,13401000,13401000,-5179000,8222000,8222000,8623000,8623000,77115000,77115000,204692000,204692000,3045000,90696000,81905000,375548000,89172000,192487000,-103315000,104212000,69837000,28676000,5699000,193384000,568932000,157175000,111863000,44831000,112686000,112686000,269861000,5167000,5167000,0,16788000,286649000,120056000,-16595000,177237000,-182000,280516000,282283000,568932000,8222000,5573000,2427000,40611000,56833000,-5529000,-5738000,-33482000,159000,159000,-115000,-33438000,17657000,17657000,-3e+05,17357000,19782000,11621000,60043000,0.10716,0.04126,0.02504,0.03055,0.01516,6.96312,1.39163,1.01547,0.02043,0.32642,0.31548,13.03547,10.61877,2.27289,0.02883,0.20077,-3.31079,-4.60933
"17","2015_Q2",19.5933333333333,"Up",321683000,-293304000,28379000,-19832000,-19832000,8547000,-252000,-309000,57000,8295000,8295000,-3624000,4671000,4671000,5914000,5914000,72754000,72754000,175506000,175506000,3006000,104557000,97461000,355823000,88646000,195054000,-106408000,103845000,72065000,28158000,3622000,192491000,548314000,138618000,95231000,38767000,107413000,107413000,246031000,4300000,4300000,-7.105427357601e-15,15644000,261675000,120408000,-15492000,183151000,-1952000,286115000,286639000,548314000,4671000,5771000,-795000,-4535000,5112000,-3508000,-8758000,-277000,251000,251000,-253000,-279000,-3925000,-3925000,-436000,-4361000,14318000,11344000,9899000,0.08822,0.02657,0.01838,0.02063,0.01079,1.67382,1.44625,0.91291,0.02069,0.22342,0.21796,12.15274,10.80903,0.37397,0.01956,0.03275,-4.28901,-7.18498
"18","2015_Q3",20.25125,"Up",342880000,-326925000,15955000,-19626000,-19626000,-3671000,-21000,7000,-28000,-3692000,-3692000,-1155000,-4847000,-4847000,3286000,3286000,68568000,68568000,215142000,215142000,3013000,89321000,76894000,376044000,87225000,197069000,-109844000,102813000,72212000,26797000,3804000,190038000,566082000,128811000,93154000,33644000,136948000,136948000,265759000,6740000,6740000,0,18529000,284288000,120131000,-13712000,186437000,-3453000,289403000,281794000,566082000,-4847000,5769000,3692000,-4348000,266000.000000007,-3913000,-4214000,445000,247000,247000,-455000,237000.000000004,-3711000,-3711000,-475000,-4186000,2098000,11789000,-5008000,0.04653,-0.01071,0.00958,0.01166,0.0058,-1.52404,1.41498,1.00885,0.02083,0.12353,0.121,12.89023,10.87981,-0.18827,0.01094,-0.01668,-27.06339,15.4669
"19","2015_Q4",22.425625,"Up",314155000,-311523000,2632000,-17080000,-17080000,-14448000,-2000,-254000,252000,-14450000,-14450000,1508000,-12942000,-12942000,-2959000,-2959000,103183000,103183000,188579000,188579000,2875000,98202000,84171000,392839000,85763000,197997000,-112234000,100404000,71377000,25156000,3871000,186167000,579006000,133446000,90478000,41013000,154441000,154441000,287887000,5484000,5484000,0,15418000,303305000,121741000,-13550000,183478000,-6178000,285491000,275701000,579006000,-12942000,5792000,-665000,39412000,31597000,-3001000,-3001000,-1855000,210000,210000,7802000,6157000,34753000,34753000,-138000,34615000,-8656000,9934000,26247000,0.00838,-0.04599,-0.00942,-0.01073,-0.00511,-8.87023,1.36456,1.10012,0.01716,-0.11078,-0.11078,11.76126,10.68814,0.98263,-0.01016,0.09016,10.77276,6.45411
"20","2016_Q1",18.0537704918033,"Down",364417000,-324013000,40404000,-22030000,-22030000,18374000,-335000,-212000,-123000,18039000,18039000,-6819000,11220000,11220000,10916000,10916000,79239000,79239000,199149000,199149000,2773000,92310000,91731000,373471000,85063000,201845000,-116782000,103155000,71518000,23961000,3947000,188218000,561689000,163885000,125792000,34825000,103202000,103202000,267087000,1244000,1244000,0,10048000,277135000,123317000,-18489000,194394000,-5926000,293296000,284554000,561689000,11220000,6148000,3361000,-31464000,-10735000,-4601000,-4601000,-1130000,-4917000,83000,-1076000,-7123000,-22459000,-22459000,-1485000,-23944000,24522000,8804000,-4724000,0.11087,0.05042,0.02995,0.03836,0.01943,-0.43276,1.39831,0.97393,0.01567,0.4099,0.39398,13.68394,11.01333,-0.17739,0.03705,-0.01604,-2.87232,-3.83341
"21","2016_Q2",16.86375,"Down",319331000,-284747000,34584000,-19483000,-19483000,15101000,-286000,-232000,-54000,14815000,14815000,-5076000,9739000,9739000,9941000,9941000,69180000,69180000,182634000,182634000,2863000,99831000,92098000,354508000,83953000,204103000,-120150000,98110000,70940000,22926000,2126000,182063000,536571000,135708000,99759000,31455000,81824000,80961000,217532000,7244000,7244000,1.81898940354586e-12,17010000,234542000,124425000,-17845000,204335000,-8375000,302540000,302029000,536571000,9739000,5429000,3358000,-32957000,-14431000,-3806000,-3806000,962000,456000.000000001,456000,8051000,9469000,-8768000,-8768000,-1291000,-10059000,20530000,9766000,-11157000,0.1083,0.04729,0.03113,0.03291,0.01853,-1.12232,1.62968,0.77655,0.0182,0.37547,0.3675,12.06115,11.42695,-0.4214,0.03116,-0.03497,-2.89401,-3.93444
"22","2016_Q3",17.5078125,"Up",323529000,-293524000,30005000,-25070000,-25070000,4935000,-340000,-192000,-148000,4595000,4595000,-1477000,3118000,3118000,5431000,5431000,82431000,82431000,207425000,207425000,2688000,94102000,88979000,386646000,82841000,206257000,-123416000,102661000,70605000,21986000,6603000,185502000,572148000,137166000,109336000,27773000,120850000,120850000,258016000,1988000,1988000,0,9214000,267230000,124447000,-16730000,209766000,-9741000,307742000,304918000,572148000,3118000,5291000,7167000,8542000,24118000,-3565000,-3565000,-2540000,167000,167000,-4106000,-6479000,14074000,14074000,-823000,13251000,10226000,7226000,16680000,0.09274,0.01525,0.01679,0.01781,0.00949,3.07126,1.49853,0.8764,0.01263,0.20325,0.19932,12.10767,11.51686,0.62423,0.01729,0.0531,-7.35429,-15.23911
"23","2016_Q4",19.9046031746032,"Up",309422000,-282119000,27303000,-20956000,-20956000,6347000,-294000,-185000,-109000,6053000,6053000,-2507000,3546000,3546000,4357000,4357000,73403000,73403000,170713000,170713000,3464000,103520000,100650000,351100000,87345000,214872000,-127527000,111197000,78845000,21936000,6847000,198542000,549642000,160900000,122941000,37486000,72202000,72202000,233102000,2823000,2620000,203000,6668000,239770000,125934000,-22022000,214123000,-6987000,311048000,309872000,549642000,3546000,5419000,1663000,4227000,14855000,-4117000,-17166000,-5239000,-5244000,216000,2407000,-8076000,-10387000,-10387000,1359000,-9028000,11766000,3845000,14383000,0.08824,0.02051,0.01408,0.01406,0.00793,3.30112,1.50621,0.77377,0.007,0.16283,0.16105,11.56372,11.62449,0.53752,0.01376,0.04544,-5.91178,-10.95919
"24","2017_Q1",18.7822580645161,"Down",359635000,-325536000,34099000,-19600000,-19600000,14499000,-309000,-53000,-256000,14190000,14190000,-5056000,9134000,9134000,9134000,9134000,71656000,71656000,190434000,190434000,3935000,109421000,109412000,375446000,84731000,215708000,-130977000,104790000,78293000,20999000,1779000,189521000,564967000,181082000,141445000,36962000,64948000,64948000,246030000,3371000,3198000,173000,3371000,249401000,127237000,-26907000,223257000,-6845000,316742000,315566000,564967000,9134000,5302000,2235000,-7626000,9045000,-2029000,-2029000,-3845000,-4867000,134000,-48000,-8760000,-1744000,-1744000,-3000,-1747000.00000001,19801000,0,15202000,0.09482,0.04032,0.0254,0.02894,0.01617,1.66433,1.52602,0.79033,0,0.34555,0.3377,13.60553,11.98282,0.57511,0.02864,0.04766,-3.61881,-4.94213
"25","2017_Q2",11.2374603174603,"Down",341781000,-309503000,32278000,-17977000,-17977000,14301000,-224000,-231000,7000,14077000,14077000,-4735000,9342000,9342000,9342000,9342000,35579000,35579000,230975000,230975000,3767000,113954000,113949000,384275000,82416000,216447000,-134031000,102532000,78274000,20151000,1395000,184948000,569223000,164271000,127734000,32861000,59821000,59821000,224092000,3413000,3198000,215000,20599000,244691000,124743000,-24410000,232499000,-7124000,325708000,324532000,569223000,9342000,4904000,2675000,-66509000,-49588000,-1673000,-1673000,17186000,129000,129000,-1878000,15437000,-35824000,-35824000,-253000,-36077000,19205000,17186000,-44242000,0.09444,0.04184,0.02733,0.02879,0.01641,-4.73582,1.71481,0.75398,0.03019,0.35404,0.34863,12.95263,12.3435,-1.67666,0.02707,-0.12819,-0.95772,-1.28613
"26","2017_Q3",11.3761904761905,"Up",312655000,-284443000,28212000,-19975000,-19975000,8237000,-424000,-471000,47000,7813000,7813000,-2563000,5250000,5250000,5250000,5250000,66230000,66230000,248712000,248712000,4194000,89100000,88614000,408236000,81284000,218698000,-137414000,146270000,113019000,29351000,1388000,227554000,635790000,139886000,108260000,30333000,90397000,90397000,230283000,3266000,2855000,411000,75678000,305961000,124938000,-22840000,237749000,-8842000,331005000,329829000,635790000,5250000,5084000,1810000,6536000,18680000,-2339000,-42137000,55226000,262000,262000,-560000,54928000,31471000,31471000,-820000,30651000,13321000,72412000,20081000,0.09023,0.02635,0.01679,0.01592,0.00826,3.82495,1.77276,0.92764,0.11389,0.19772,0.19566,11.77475,12.46582,0.75626,0.01295,0.04952,0.46408,0.75052
"27","2017_Q4",15.7231746031746,"Up",251237000,-253851000,-2614000,-18596000,-18596000,-21210000,-811000,-760000,-51000,-22021000,-22021000,8521000,-13500000,-13500000,-13821000,-13821000,39697000,39697000,223338000,223338000,3926000,82673000,77359000,349634000,81963000,223271000,-141308000,148671000,113182000,27781000,2045000,230634000,580268000,131325000,97271000,33906000,83738000,83738000,215063000,849000,377000,472000,44988000,260051000,126792000,-22696000,223928000,-7807000,320217000,320217000,580268000,-13500000,5851000,-2938000,15886000,5299000,-3318000,-4339000,-28273000,95999.9999999999,96000,183000,-27994000,-27034000,-27034000,501000,-26533000,-15359000,44139000,-11312000,-0.0104,-0.08442,-0.05501,-0.04316,-0.02382,0.81846,1.62573,0.81211,0.07607,-0.5197,-0.5197,9.44713,12.04095,-0.42536,-0.03784,-0.03097,-0.28921,-0.20943
"28","2018_Q1",16.4475409836066,"Up",291836000,-268709000,23127000,-19596000,-19596000,3531000,-954000,-617000,-337000,2577000,2577000,-3531000,-953999.999999998,-953999.999999998,-954000,-954000,43805000,43805000,210953000,210953000,3737000,100135000,96093000,358630000,80274000,224296000,-144022000,147126000,113501000,26296000,3944000,227400000,586030000,136150000,105649000,30332000,82826000,82826000,218976000,563000,128000,435000,45245000,264221000,128698000,-22539000,222974000,-7324000,321809000,321809000,586030000,-953999.999999998,5763000,5253000,-3199000,6863000,-3270000,-3270000,542999.999999985,71000,71000,-253000,360999.999999985,3954000,3954000,154000,4108000.00000001,9294000,44682000,6356000,0.07925,0.0121,-0.00327000000000002,-0.00296,-0.00163,-6.66247,1.63776,0.82105,0.07625,-0.03587,-0.03682,10.9721,12.09899,0.23897,-0.0026,0.01732,0.09436,0.24837
