"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","foreign_exchange_gain_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","decrease_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"14","2014_Q3",5.4078125,"Down",16475000,-13950000,2525000,-2261000,-2261000,264000,999.999999999993,7000,-7000,1000,265000,265000,-71000,194000,194000,194000,194000,16415000,16415000,5639000,5639000,11777000,1823000,858000,35654000,9298000,2273000,746000,11571000,47225000,6494000,4129000,431000,1934000,6494000,234000,234000,234000,6728000,19837000,-2656000,23949000,-633000,40497000,40497000,47225000,194000,772000,52000,1888000,2906000,-1261000,-1261000,-12000,-12000,-12000,1633000,1633000,1633000,1036000,-6.61744490042422e-24,1734000,0.15326,0.01602,0.01178,0.00479,0.00411,8.93814000000001,5.4903,0.16614,0,0.02846,0.02832,2.41662,5.94027,0.25435,0.00476,0.04257,-15.84459,-62.17803
"15","2014_Q4",5.7440625,"Up",19127000,-15685000,3442000,-2274000,-2274000,1168000,-115000,4000,-25000,-94000,1053000,1053000,-431000,622000,622000,622000,622000,15217000,15217000,6843000,6843000,14367000,2209000,1253000,38636000,8875000,2018000,902000,10893000,49529000,8183000,4658000,462000,3063000,8183000,171000,171000,171000,8354000,19883000,-2693000,24571000,-586000,41175000,41175000,49529000,622000,788000,553000,-2726000,-763000,-398000,-398000,-37000,-37000,-37000,-1198000,-1198000,-1198000,1956000,0,-737000,0.17996,0.06107,0.03252,0.01511,0.01256,-1.18489,4.7215,0.20289,-1.97215226305253e-31,0.09121,0.0909,2.80493,6.03821,-0.10808,0.01504,-0.01783,-7.77965,-13.02825
"16","2015_Q1",5.37,"Down",21185000,-17148000,4037000,-2782000,-2782000,1255000,-27000,3000,-14000,-16000,1228000,1228000,-138000,1090000,1090000,1090000,1090000,19512000,19512000,6835000,6835000,12840000,1716000,1144000,40903000,8811000,2544000,951000,11355000,52258000,9600000,6418000,379000,2803000,9600000,220000,37000,220000,9820000,19939000,-2693000,25661000,-469000,42438000,42438000,52258000,1090000,580000,-77000,3183000,4776000,-481000,-481000,7.27595761418343e-12,0,7.27595761418343e-12,4295000,4295000,4295000,1835000,-1.05879118406788e-22,4675000,0.19056,0.05924,0.05145,0.02568,0.02086,4.28899,4.26073,0.2314,0,0.15961,0.15752,3.10224,6.21444,0.68459,0.02555,0.10959,-10.63324,-15.54741
"17","2015_Q2",5.6047619047619,"Up",18695000,-15898000,2797000,-2228000,-2228000,569000,92000,5000,96000,-9000,661000,661000,-174000,487000,487000,487000,487000,16398000,16398000,7893000,7893000,13064000,3230000,2575000,40585000,8653000,2560000,967000,11213000,51798000,7728000,4182000,803000,2743000,7728000,342000,342000,342000,8070000,20022000,-2693000,26148000,251000,43728000,43728000,51798000,487000,599000,101000,-3823000,-2636000,-478000,-478000,0,0,0,-3114000,-3114000,-3114000,1168000,0,-2959000,0.14961,0.03044,0.02605,0.01114,0.0094,-6.07598,5.25168,0.18455,3.15544362088405e-30,0.07124,0.07085,2.73491,6.39701,-0.43288,0.01105,-0.06714,-14.03938,-28.81898
"18","2015_Q3",5.93,"Up",18618000,-14641000,3977000,-2596000,-2596000,1381000,15000,4000,26000,-15000,1396000,1396000,-315000,1081000,1081000,1081000,1081000,20117000,20117000,4702000,4702000,12609000,3225000,2505000,40653000,8471000,2510000,917000,10981000,51634000,6761000,2982000,1002000,2777000,6761000,402000,402000,402000,7163000,20106000,-3135000,27229000,271000,44471000,44471000,51634000,1081000,618000,104000,2804000,4607000,-446000,-446000,-442000,-442000,-442000,3719000,3719000,3719000,1999000,8.470329472543e-22,4672000,0.21361,0.07418,0.05806,0.02431,0.02094,4.32192,6.01287,0.16107,0,0.15878,0.15753,2.73463,6.53195,0.68623,0.02409,0.10412,-10.06353,-14.56698
"19","2015_Q4",7.31765625,"Up",19613000,-15941000,3672000,-2633000,-2633000,1039000,35000,4000,30000,1000,1074000,1074000,-286000,788000,788000,788000,788000,19418000,19418000,7947000,7947000,11702000,4241000,3510000,43308000,8287000,2504000,911000,10791000,54099000,8642000,3842000,1016000,3784000,8642000,6e+05,6e+05,6e+05,9242000,20198000,-3668000,28017000,310000,44857000,44857000,54099000,788000,621000,92000,-1242000,259000,-425000,-425000,-533000,-533000,-533000,-699000,-699000,-699000,1660000,0,279000,0.18722,0.05298,0.04018,0.01757,0.01457,0.35406,5.01134,0.20603,0,0.11678,0.11656,2.90656,6.6476,0.04135,0.01734,0.00613999999999999,-11.69759,-18.68912
"20","2016_Q1",10.167868852459,"Up",22582000,-18689000,3893000,-2723000,-2723000,1170000,5999.99999999999,11000,-25000,20000,1176000,1176000,-186000,990000,990000,990000,990000,18551000,18551000,9895000,9895000,12564000,2590000,1907000,43600000,7633000,2583000,920000,10216000,53816000,9093000,4647000,489000,3957000,9093000,863000,424000,863000,9956000,20333000,-4714000,29007000,-766000,43860000,43860000,53816000,990000,593000,393000,-1528000,448000,-269000,-269000,-1046000,-1046000,-1046000,-867000.000000001,-867000.000000001,-867000.000000001,1763000,1.35525271560688e-20,152000,0.17239,0.05181,0.04384,0.02257,0.0184,0.153539999999999,4.7949,0.22699,0,0.14952,0.14713,3.41057,6.62419,0.02296,0.02214,0.0034,-10.5224,-15.85556
"21","2016_Q2",12.104375,"Up",21585000,-16852000,4733000,-3005000,-3005000,1728000,14000,30000,-8000,-7999.99999999999,1742000,1742000,-529000,1213000,1213000,1213000,1213000,16440000,16440000,9367000,9367000,18786000,2485000,2046000,47078000,7044000,2552000,889000,9596000,56674000,10747000,5644000,1006000,4097000,10747000,877000,877000,877000,11624000,20438000,-4886000,30220000,-722000,45050000,45050000,56674000,1213000,478000,-89000,-3870000,-2268000,329000,329000,-172000,-172000,-172000,-2111000,-2111000,-2111000,2206000,0,-806000,0.21927,0.08006,0.0562,0.02693,0.0214,-0.66447,4.38057,0.25802,-4.03896783473158e-28,0.18602,0.18117,3.31024,6.9088,-0.12361,0.02641,-0.01755,-7.4524,-9.51389
"22","2016_Q3",10.7725,"Down",26911000,-21242000,5669000,-2934000,-2934000,2735000,-74999.9999999999,23000,-96000,-2000,2660000,2660000,-792000,1868000,1868000,1868000,1868000,22626000,22626000,7574000,7574000,18221000,2119000,1469000,50540000,7762000,2544000,881000,10306000,60846000,12676000,7382000,1893000,3401000,12676000,912000,912000,912000,13588000,20588000,-4926000,32088000,-492000,47258000,47258000,60846000,1868000,466000,162000,4901000,7397000,-1171000,-1171000,-40000,-40000,-40000,6186000,6186000,6186000,3201000,-4.33680868994202e-19,7723000,0.21066,0.10163,0.06941,0.03953,0.0307,4.13437,3.98706,0.28753,0,0.28695,0.2818,4.13386,7.25941,1.18635,0.03878,0.16033,-7.06842,-8.27276
"23","2016_Q4",12.5288888888889,"Up",30006000,-23549000,6457000,-3352000,-3352000,3105000,1502000,28000,-137000,1611000,4607000,4607000,-1584000,3023000,3023000,3023000,3023000,16304000,16304000,12368000,12368000,19728000,2291000,1614000,50691000,12076000,2326000,916000,14402000,65093000,14198000,9061000,1147000,3990000,14198000,1340000,948000,1340000,15538000,20771000,-5362000,35111000,-965000,49555000,49555000,65093000,3023000,420000,-775000,-5437000,-2769000,-3117000,-3117000,-436000,-436000,-436000,-6322000,-6322000,-6322000,3525000,0,-3445000,0.21519,0.10348,0.10075,0.061,0.04644,-1.1396,3.57029,0.31355,0,0.4643,0.46064,4.60858,7.61108,-0.52911,0.0594,-0.06769,-4.62525,-5.25089
"24","2017_Q1",10.1516129032258,"Down",35699000,-27300000,8399000,-3709000,-3709000,4690000,-127000,52000,-184000,5000,4563000,4563000,-1121000,3442000,3442000,3442000,3442000,19747000,19747000,13217000,13217000,20768000,2150000,2136000,55882000,15167000,3126000,899000,18293000,74175000,19205000,12821000,1340000,5044000,19205000,1244000,486000,1244000,20449000,21215000,-5362000,38553000,-680000,53726000,53726000,74175000,3442000,408000,-522000,3597000,6925000,-3482000,-3482000,0,0,0,3443000,3443000,3443000,5098000,3.46944695195361e-18,6334000,0.23527,0.13138,0.09642,0.06407,0.0464,1.84021,2.90976,0.38062,0,0.52528,0.51556,5.44794,8.19899,0.96662,0.06262,0.11523,-3.87348,-4.21045
"25","2017_Q2",9.9131746031746,"Down",34067000,-26398000,7669000,-4133000,-4133000,3536000,50000,116000,-59000,-7000,3586000,3586000,-1096000,2490000,2490000,2490000,2490000,17847000,17847000,12568000,12568000,23313000,1886000,1872000,55614000,16425000,3068000,841000,19493000,75107000,17801000,11993000,1634000,4174000,17801000,1309000,1309000,1309000,19110000,21465000,-5441000,41043000,-1070000,55997000,55997000,75107000,2490000,458000,281000,-3317000,-88000,-1697000,-1733000,-79000,-79000,-79000,-1900000,-1900000,-1900000,3994000,0,76000,0.22512,0.1038,0.07309,0.04447,0.03315,0.03052,3.12421,0.34127,-1.03397576569128e-25,0.37967,0.37461,5.19441,8.53822,0.01159,0.04345,0.00133,-4.46845,-5.04723
"26","2017_Q3",10.3446031746032,"Up",30559000,-24064000,6495000,-3382000,-3382000,3113000,387000,133000,262000,-8000,3500000,3500000,-1034000,2466000,2466000,2466000,2466000,21362000,21362000,9838000,9838000,17067000,3999000,3985000,52266000,17469000,3059000,832000,20528000,72794000,11464000,6291000,2076000,3097000,11464000,1374000,1374000,1374000,12838000,21721000,-5446000,43509000,172000,59956000,59956000,72794000,2466000,601000,302000,2247000,5616000,-1641000,-2096000,-4999.99999999994,-4999.99999999994,-4999.99999999994,3515000,3515000,3515000,3714000,0,5354000,0.21254,0.10187,0.0807,0.04113,0.03388,2.17113,4.55914,0.21412,0,0.37549,0.36898,4.65309,9.12924,0.81523,0.04021,0.0873,-5.75175,-6.86219
"27","2017_Q4",10.4280952380952,"Up",25135000,-20017000,5118000,-4125000,-4125000,993000,57000,108000,-45000,-6000,1050000,1050000,-305000,745000,745000,745000,745000,22593000,22593000,7919000,7919000,15966000,2713000,2699000,49191000,17788000,3008000,781000,20796000,69987000,8636000,4073000,1207000,3356000,8636000,1438000,1438000,1438000,10074000,22012000,-6074000,44254000,-279000,59913000,59913000,69987000,745000,652000,272000,937000,2606000,-970000,-747000,-628000,-628000,-628000,1231000,1231000,1231000,1645000,0,1917000,0.20362,0.03951,0.02964,0.01243,0.01064,2.57315,5.69604,0.16814,1.65436122510606e-24,0.11319,0.11264,3.81896,9.10306,0.29127,0.01214,0.03125,-13.73435,-22.75227
"28","2018_Q1",11.2306557377049,"Up",32185000,-25263000,6922000,-4862000,-4862000,2060000,-85000,99000,-186000,2000,1975000,1975000,-441000,1534000,1534000,1534000,1534000,27843000,27843000,8410000,8410000,13729000,1717000,1456000,51699000,18136000,2776000,774000,20912000,72611000,9848000,5116000,1207000,3525000,10270000,1193000,636000,1193000,11463000,22339000,-6074000,45788000,-905000,61148000,61148000,72611000,1534000,673000,746000,3050000,6003000,-1021000,-753000,0,0,-1.16415321826935e-10,5250000,5250000,5250000,2733000,-4.44089209850063e-16,5203000,0.21507,0.064,0.04766,0.02509,0.02113,3.39179,5.03398,0.18746,0,0.23245,0.22971,4.877,9.26576,0.78841,0.02461,0.08346,-10.18771,-13.51602
"29","2018_Q2",10.54765625,"Down",28074000,-21704000,6370000,-4487000,-4487000,1883000,108000,250000,-143000,1000,1991000,1991000,-557000,1434000,1434000,1434000,1434000,27706000,27706000,9209000,9209000,18996000,3873000,1825000,59784000,18369000,2796000,794000,21165000,80949000,15578000,10892000,1345000,3341000,17204000,1841000,1233000,1841000,19045000,22803000,-6082000,47222000,-2039000,61904000,61904000,80949000,1434000,717000,516000,-353000,2314000,-951000,-2451000,0,0,0,-137000,-137000,-137000,2600000,0,1853000,0.2269,0.06707,0.05108,0.02316,0.01771,1.29219,3.47501,0.30765,-2.64697796016969e-23,0.21706,0.20992,4.24944,9.37014,0.28048,0.0225,0.02907,-10.65615,-14.71375
"30","2018_Q3",9.92857142857143,"Down",33335000,-26713000,6622000,-4341000,-4341000,2281000,202000,304000,-88000,-14000,2483000,2483000,-3801000,-1318000,-1318000,-1318000,-1318000,28843000,28843000,12895000,12895000,17879000,3085000,1585000,62702000,18733000,3152000,709000,21885000,84587000,17122000,12182000,1636000,3304000,19210000,4519000,1160000,4519000,23729000,23350000,-6160000,45904000,-2236000,60858000,60858000,84587000,-1318000,762000,651000,1731000,1826000,-1123000,-603000,-86000,-86000,-86000,1137000,1137000,1137000,3043000,7.105427357601e-15,7452000,0.19865,0.06843,-0.03954,-0.02166,-0.01558,-5.65402,3.26403,0.38991,0,-0.19923,-0.19923,5.03903,9.19951,1.12647,-0.02016,0.11399,-9.47848,-12.64489
"31","2018_Q4",9.60730158730159,"Down",31815000,-25105000,6710000,-4187000,-4187000,2523000,76000,263000,-182000,-5000,2599000,2599000,-548000,2051000,2051000,2051000,2051000,27618000,27618000,11325000,11325000,23785000,3345000,1789000,66073000,18832000,3192000,749000,22024000,88097000,18180000,13799000,1041000,3340000,20811000,4448000,1038000,4448000,25259000,23917000,-6579000,47955000,-2455000,62838000,62838000,88097000,2051000,743000,611000,-3571000,-166000,-835000,-640000,-419000,-419000,-419000,-1225000,-1225000,-1225000,3266000,0,-592000,0.21091,0.0793,0.06447,0.03264,0.02328,-0.28864,3.17491,0.40197,2.11758236813575e-22,0.30893,0.29684,4.79207,9.46484,-0.08917,0.03048,-0.0088,-8.45622,-10.94649
"32","2019_Q1",11.1732786885246,"Up",39213000,-32595000,6618000,-3772000,-3772000,2846000,694000,259000,431000,4000,3540000,3540000,-656000,2884000,2884000,2884000,2884000,23613000,23613000,14621000,14621000,23567000,3382000,1882000,65183000,19290000,734000,734000,20024000,85207000,14280000,9649000,787000,3844000,14280000,2679000,556000,2679000,16959000,24571000,-6584000,50839000,-578000,68248000,68248000,85207000,2884000,686000,2475000,-8507000,-2462000,-1144000,-1538000,-5000.00000000006,-5000,-5000,-4005000,-4005000,-4005000,3532000,-1.13686837721616e-13,-5463000,0.16877,0.07258,0.07355,0.04226,0.03385,-1.89424,4.56464,0.24849,0,0.43036,0.4012,5.8515,10.1842,-0.81521,0.04066,-0.07702,-6.68545,-8.29691
