"","YQ","p","d","revenue","net_interest_income","total_interest_income","total_interest_expense","total_non_interest_income","commissions_fees_earned","other_non_interest_income","net_revenue_after_provisions","total_non_interest_expense","commissions_fees_paid","other_operating_expenses","operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","interbank_assets","short_long_term_investments","accounts_notes_receivable","other_assets","total_assets","short_term_debt","other_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",12.1987096774194,"Up",318599000,51211000,65410000,-14199000,267388000,100584000,17104000,318599000,-145979000,-61646000,-84333000,172620000,172620000,172620000,-14747000,157873000,157873000,-145385000,12488000,12488000,1659505000,344165000,20996815000,10287913000,573298000,33861696000,6509149000,22197705000,28706854000,492889000,-7784000,125203000,19301000,629609000,4525233000,5154842000,33861696000,157873000,4451000,20740000,-490903000,-307839000,-4242000,-16154000,-39884000,3421000,-36463000,-360456000,-360456000,16456000,-3.44e+08,177071000,6509149000,-303327000,0.54181,0.0392,0.00242,0.00037,-24.28948,5.56891,0.19223,0.26297,0.26191,6.70898,13.25815,-6.38738,0.83987,0.00155,-0.00896,3.19379,27.38813,28.09433
"12","2013_Q1",13.1425,"Up",247111000,57237000,69712000,-12475000,189874000,103074000,-7186000,247111000,-150915000,-58549000,-92366000,96196000,96196000,96196000,4444000,100640000,100640000,-91528000,9112000,9112000,1380599000,428904000,20094262000,10719051000,576741000,33199557000,6235954000,22150456000,28386410000,494390000,-7718000,82072000,29754000,598498000,4214649000,4813147000,33199557000,100640000,5068000,9214000,398823000,513745000,-4026000,-6071000,-472232000,77759000,-394473000,113201000,113201000,18846000,132047000,101264000,6235954000,491617000,0.38928,0.03687,0.00189,0.00027,53.9527,5.89768,0.18783,0.1918,0.19105,5.20156,12.59809,10.3483,9.94025,0.0145,0.01481,51.82529,47.94749,50.47356
"13","2013_Q2",14.01921875,"Up",216074000,57631000,70502000,-12871000,158443000,119538000,19911000,216074000,-133851000,-59540000,-74311000,82223000,82223000,82223000,-6935000,75288000,75288000,-68731000,6557000,6557000,1184868000,461942000,20907614000,12017656000,572024000,35144104000,6.585e+09,23733169000,30318169000,495301000,-7666000,83879000,26012000,597526000,4228409000,4825935000,35144104000,75288000,4969000,18816000,-307984000,-208911000,-3702000,7104000,-39887000,-91573000,-131460000,-333267000,-333267000,-31364000,-364631000,87192000,6.585e+09,-217559000,0.38053,0.03035,0.00136,0.00019,-33.17966,6.28234,0.18737,0.13804,0.1375,4.54894,12.57952,-4.5802,0.83973,0.00132,-0.00619,6.08312,61.9338,65.67666
"14","2013_Q3",15.6921875,"Up",283956000,62496000,76070000,-13574000,221460000,138092000,24262000,283956000,-150030000,-64727000,-85303000,133926000,133926000,133926000,-13890000,120036000,120036000,-109658000,10378000,10378000,1414849000,587569000,20214939000,12285678000,553519000,35056554000,6522279000,23639147000,30161426000,517180000,-2534000,89262000,22408000,626316000,4268812000,4895128000,35056554000,120036000,4470000,15422000,-103330000,36598000,-4244000,28972000,-40264000,-6021000.00000003,-46285000,19284999.9999999,19284999.9999999,-31597000,-12311999.9999999,138396000,6522279000,44712000,0.47164,0.03655,0.00212,3e-04,4.30834,6.16152,0.18605,0.2121,0.21174,5.80339,12.80042,0.91381,0.8229,0.00144,0.00128,3.87975,36.90446,38.13621
"15","2013_Q4",20.53890625,"Up",326252000,61809000,7.4e+07,-12191000,264443000,120331000,20826000,326252000,-129870000,-56016000,-73854000,196382000,196382000,196382000,-10414000,185968000,185968000,-169521000,16447000,16447000,1548520000,487774000,20469585000,13243298000,527867000,36277044000,5788879000,25415283000,31204162000,518366000,-2518000,100712000,26038000,642598000,4430284000,5072882000,36277044000,185968000,4475000,4756000,-150398000,44801000,-4060000,-24717000,-42289000,-10247000,-52536000,-32452000,-32452000,29644000,-2808000,200857000,5788879000,56813000,0.60193,0.05041,0.00324,0.00045,3.45431,6.15117,0.15957,0.32916,0.32256,6.52947,12.86069,1.13703,0.84635,0.00162,0.00157,2.57123,21.11133,21.5924
"16","2014_Q1",20.4396721311475,"Down",249718000,70064000,83428000,-13364000,179654000,124039000,-73999000,249718000,-211249000,-62717000,-148532000,38469000,38469000,38469000,-1761000,36708000,36708000,-33090000,3618000,3618000,1213241000,386316000,21192056000,14481328000,597759000,37870700000,5741961000,27036613000,32778574000,583860000,-2492000,98868000,27028000,707264000,4384862000,5092126000,37870700000,36708000,5086000,86006000,139712000,267512000,-4994000,-44359000,-39560000,21841000,-17719000,205434000,205434000,6317000.00000001,211751000,43555000,5741961000,180034000,0.15405,0.01449,0.00071,1e-04,49.76064,6.43711,0.15162,0.0688199999999999,0.0646,4.7498,13.45263,3.42437,0.75246,0.00114,0.00475,10.93422,103.97704,117.72388
"17","2014_Q2",21.3188888888889,"Up",3.55e+08,7.3e+07,8.7e+07,-1.4e+07,2.82e+08,1.37e+08,4e+07,3.55e+08,-1.37e+08,-5.4e+07,-8.3e+07,2.18e+08,2.18e+08,2.18e+08,-1.7e+07,2.01e+08,2.01e+08,-1.82e+08,1.9e+07,1.9e+07,991439000,282748000,21854418000,15351933000,499838000,38980376000,6135377000,27600793000,33736170000,585618000,-2462000,112491000,27396000,723043000,4521163000,5244206000,38980376000,2.01e+08,5e+06,1.3e+07,-4.78e+08,-2.59e+08,-5e+06,8.7e+07,-6.2e+07,9e+06,-5.3e+07,-2.25e+08,-2.25e+08,3e+06,-2.22e+08,2.23e+08,6135377000,-2.43e+08,0.61408,0.05352,0.00362,0.00049,-12.78947,6.43304,0.1574,0.34758,0.33904,6.49419,13.22699,-4.44532,1.1342,0.00208,-0.00623,3.26316,23.06699,23.59605
"18","2014_Q3",22.15859375,"Up",3.09e+08,8.4e+07,9.6e+07,-1.2e+07,2.25e+08,1.24e+08,3.7e+07,3.09e+08,-1.35e+08,-5.2e+07,-8.3e+07,1.74e+08,1.74e+08,1.74e+08,-1.3e+07,1.61e+08,1.61e+08,-1.46e+08,1.5e+07,1.5e+07,999630000,274321000,22257394000,16124960000,499194000,40155499000,5578382000,29301526000,34879908000,613958000,-2420000,121942000,28874000,762354000,4513237000,5275591000,40155499000,1.61e+08,4e+06,2.2e+07,-1.32e+08,5.5e+07,-5e+06,1.28e+08,-1.52e+08,-3.4e+07,-1.86e+08,-2999999.99999994,-2999999.99999994,1.2e+07,9e+06,1.78e+08,5578382000,54000000.0000001,0.56311,0.04854,0.00284,0.00037,3.6,6.61156,0.13892,0.26744,0.26174,5.50924,13.59219,0.962779999999999,2.71004,0.00416,0.00134,10.13333,25.72333,26.31467
"19","2014_Q4",25.00453125,"Up",1.71e+08,9.8e+07,1.23e+08,-2.5e+07,7.3e+07,1.33e+08,-1.02e+08,1.71e+08,-1.31e+08,-5.2e+07,-7.9e+07,4e+07,4e+07,4e+07,-9e+06,3.1e+07,3.1e+07,-2.8e+07,3e+06,3e+06,1010759000,273536000,21642538000,18193106000,488267000,41608206000,5825421000,30590159000,36415580000,616515000,-3167000,119423000,18089000,750860000,4441766000,5192626000,41608206000,3.1e+07,5e+06,2.3e+07,1.84e+08,2.43e+08,-4e+06,-1.51e+08,-4.7e+07,4.4e+07,-3e+06,8.9e+07,8.9e+07,-7.8e+07,1.1e+07,4.5e+07,5825421000,2.34e+08,0.23392,0.01754,0.00058,7e-05,78,7.01294,0.14001,0.05252,0.05151,2.9938,13.14577,4.09678,0.82286,0.0012,0.00562,15.66667,106.99249,120.36655
"20","2015_Q1",29.8045901639344,"Up",2.08e+08,8.9e+07,1.1e+08,-2.1e+07,1.19e+08,1.55e+08,-8.6e+07,2.08e+08,-1.34e+08,-5.4e+07,-8e+07,7.4e+07,7.4e+07,7.4e+07,-8e+06,6.6e+07,6.6e+07,-5.8e+07,8e+06,8e+06,1.269e+09,3.86e+08,2.3042e+10,1.8219e+10,4.69e+08,4.3385e+10,5.802e+09,3.2398e+10,3.82e+10,6.35e+08,-3e+06,1.21e+08,1.2e+07,7.65e+08,4.419e+09,5.184e+09,4.3384e+10,6.6e+07,6e+06,1.4e+07,2.92e+08,3.78e+08,-5e+06,-9999999.99999994,-4.1e+07,-2.5e+07,-6.6e+07,3.02e+08,3.02e+08,-4.4e+07,2.58e+08,8e+07,5.802e+09,3.75e+08,0.35577,0.03846,0.00154,0.00018,46.875,7.36883,0.13373,0.13769,0.13502,3.58005,13.16703,6.45442,0.70568,0.00113,0.00864,5.125,56.6625,61.25676
"21","2015_Q2",34.1546031746032,"Up",1.72e+08,9.3e+07,1.08e+08,-1.5e+07,7.9e+07,1.49e+08,-1.32e+08,1.72e+08,-2.83e+08,-5.5e+07,-2.28e+08,-1.11e+08,-1.11e+08,-1.11e+08,2e+06,-1.09e+08,-1.09e+08,9.6e+07,-1.3e+07,-1.3e+07,9.9e+08,1.67e+08,2.3121e+10,1.8506e+10,5.1e+08,4.3294e+10,5.372e+09,3.2884e+10,3.8256e+10,6.37e+08,-3e+06,1.02e+08,1.1e+07,7.47e+08,4.29e+09,5.037e+09,4.3293e+10,-1.09e+08,5e+06,1.38e+08,-2.54e+08,-2.2e+08,-6e+06,-4e+06,-4.1e+07,-4e+06,-4.5e+07,-2.69e+08,-2.69e+08,-1e+07,-2.79e+08,-1.06e+08,5.372e+09,-3.68e+08,-0.64535,-0.07558,-0.00258,-3e-04,28.30769,7.595,0.12408,-0.22232,-0.22232,2.94151,12.77505,-6.29347,0.70117,0.00065,-0.0085,-3.15385,-41.33962,-39.47748
"22","2015_Q3",38.82640625,"Up",3.87e+08,1.08e+08,1.26e+08,-1.8e+07,2.79e+08,1.57e+08,5.5e+07,3.87e+08,-1.47e+08,-5.9e+07,-8.8e+07,2.4e+08,2.4e+08,2.4e+08,-1.9e+07,2.21e+08,2.21e+08,-1.98e+08,2.3e+07,2.3e+07,1.041e+09,1.48e+08,2.3209e+10,2.0256e+10,5.05e+08,4.5159e+10,5.333e+09,3.4592e+10,3.9925e+10,6.67e+08,-2.8e+07,1.19e+08,1.5e+07,7.73e+08,4.46e+09,5.233e+09,4.5158e+10,2.21e+08,6e+06,1.1e+07,-1.17e+08,1.21e+08,-1.4e+07,-1.3e+07,-4e+07,-2.1e+07,-8.5e+07,2.3e+07,2.3e+07,2.8e+07,51000000.0000001,2.46e+08,5.333e+09,1.34e+08,0.62016,0.05943,0.0044,0.00051,5.82609,7.62947,0.11809,0.38664,0.36859,6.50559,12.99436,2.25258,0.67241,0.0014,0.00297,1.73913,17.44715,17.88333
"23","2015_Q4",39.46671875,"Up",3.59e+08,1.06e+08,1.22e+08,-1.6e+07,2.53e+08,1.67e+08,-1e+06,3.59e+08,-1.57e+08,-6.3e+07,-9.4e+07,2.02e+08,2.02e+08,2.02e+08,-2e+07,1.82e+08,1.82e+08,-1.6e+08,2.2e+07,2.2e+07,1.588e+09,2.15e+08,2.8136e+10,1.6803e+10,4.84e+08,4.7226e+10,5.78e+09,3.6164e+10,4.1944e+10,7.11e+08,-1.3e+07,1.35e+08,7e+06,8.4e+08,4.441e+09,5.281e+09,4.7225e+10,1.82e+08,5e+06,5.1e+07,4.88e+08,7.26e+08,-3e+06,-9e+06,-1.18e+08,-1.8e+07,-1.18e+08,5.99e+08,5.99e+08,-5.2e+07,5.47e+08,2.07e+08,5.78e+09,7.12e+08,0.56267,0.06128,0.00417,0.00047,32.36364,7.94244,0.12239,0.35202,0.34339,5.74429,13.44067,11.39257,1.88809,0.00296,0.01508,5.36364,20.25121,20.75248
"24","2016_Q1",33.4686885245902,"Down",2.71e+08,1.18e+08,1.36e+08,-1.8e+07,1.53e+08,1.44e+08,-4.4e+07,2.71e+08,-1.44e+08,-5.4e+07,-9e+07,1.27e+08,1.27e+08,1.27e+08,-6e+06,1.21e+08,1.21e+08,-1.04e+08,1.7e+07,1.7e+07,1.601e+09,1.95e+08,2.8653e+10,1.7805e+10,4.8e+08,4.8734e+10,5.511e+09,3.7879e+10,4.339e+10,7.18e+08,-3e+06,1.45e+08,2e+06,8.62e+08,4.481e+09,5.343e+09,4.8733e+10,1.21e+08,6e+06,1.8e+07,-4.7e+07,9.8e+07,-7e+06,-9e+06,-5.3e+07,-4e+06,-4.7e+07,4.2e+07,4.2e+07,-2.9e+07,12999999.9999999,1.33e+08,5.511e+09,8.5e+07,0.46863,0.06273,0.00318,0.00035,4.99999999999999,8.12091,0.11308,0.26681,0.26114,4.25333,13.52906,1.33407,0.83183,0.00144,0.00174,3.11765,29.3985,30.7874
"25","2016_Q2",36.25171875,"Up",4.89e+08,1.27e+08,1.45e+08,-1.8e+07,3.62e+08,1.66e+08,1.44e+08,4.89e+08,-1.52e+08,-6.2e+07,-9e+07,3.37e+08,3.37e+08,3.37e+08,-2.7e+07,3.1e+08,3.1e+08,-2.77e+08,3.3e+07,3.3e+07,1.747e+09,8.05e+08,3.1165e+10,1.5999e+10,4.7e+08,5.0186e+10,5.365e+09,3.9158e+10,4.4523e+10,7.2e+08,-3e+06,1.71e+08,8e+06,8.96e+08,4.766e+09,5.662e+09,5.0185e+10,3.1e+08,6e+06,2.4e+07,-2.18e+08,1.22e+08,-7e+06,2.3e+07,-4.2e+07,4e+06,-3.8e+07,1.07e+08,1.07e+08,3.9e+07,1.46e+08,3.43e+08,5.365e+09,1.45e+08,0.68916,0.06748,0.00583,0.00066,4.39394,7.86348,0.1069,0.51574,0.5057,7.64236,14.00318,2.26614,0.6564,0.00149,0.00289,1.27273,10.5481,10.73591
"26","2016_Q3",33.7509375,"Down",3.69e+08,1.26e+08,1.44e+08,-1.8e+07,2.43e+08,1.52e+08,5.7e+07,3.69e+08,-1.56e+08,-5.9e+07,-9.7e+07,2.13e+08,2.13e+08,2.13e+08,-1.3e+07,2e+08,2e+08,-1.73e+08,2.7e+07,2.7e+07,1.443e+09,1.13e+08,3.3271e+10,1.6546e+10,4.56e+08,5.1829e+10,6.152e+09,3.9985e+10,4.6137e+10,7.46e+08,-2.9e+07,1.92e+08,5e+06,9.14e+08,4.777e+09,5.691e+09,5.1828e+10,2e+08,6e+06,2.6e+07,-3.42e+08,-1.1e+08,-7e+06,-5e+06,-1.31e+08,-1.3e+07,-1.7e+08,-2.85e+08,-2.85e+08,-1.9e+07,-3.04e+08,2.19e+08,6.152e+09,-1.17e+08,0.57724,0.07317,0.00474,0.00052,-4.33333,8.10701,0.1187,0.41559,0.40619,5.67977,14.0686,-1.8009,2.0164,0.00305,-0.00226,4.85185,21.50228,22.10798
"27","2016_Q4",34.7901587301587,"Up",3.45e+08,1.36e+08,1.57e+08,-2.1e+07,2.09e+08,1.44e+08,2.7e+07,3.45e+08,-1.62e+08,-6.2e+07,-1e+08,1.83e+08,1.83e+08,1.83e+08,-1.5e+07,1.68e+08,1.68e+08,-1.48e+08,2e+07,2e+07,1.55e+09,1.48e+08,3.3858e+10,1.9053e+10,4.55e+08,5.5064e+10,6.1e+09,4.3094e+10,4.9194e+10,7.73e+08,-3e+06,2.05e+08,5e+06,9.8e+08,4.889e+09,5.869e+09,5.5063e+10,1.68e+08,6e+06,1.6e+07,-8.8e+07,1.02e+08,-7e+06,-7e+06,-3.1e+07,1.6e+07,1e+07,1.05e+08,1.05e+08,2e+06,1.07e+08,1.89e+08,6.1e+09,1.09e+08,0.53043,0.05797,0.00341,0.00036,5.45,8.38201,0.11078,0.29805,0.29202,5.14137,14.60448,1.62438,0.46198,0.00093,0.00198,1.55,24.07407,24.86339
"28","2017_Q1",35.6948387096774,"Up",1.93e+08,1.38e+08,1.6e+08,-2.2e+07,5.5e+07,1.5e+08,-1.34e+08,1.93e+08,-1.65e+08,-6.1e+07,-1.04e+08,2.8e+07,2.8e+07,2.8e+07,-7e+06,2.1e+07,2.1e+07,-1.7e+07,4e+06,4e+06,1.925e+09,1.11e+08,3.1683e+10,2.0506e+10,4.48e+08,5.4673e+10,6.512e+09,4.2341e+10,4.8853e+10,7.75e+08,-3e+06,2.03e+08,-2e+06,9.73e+08,4.846e+09,5.819e+09,5.4672e+10,2.1e+07,7e+06,1.9e+07,3.83e+08,4.3e+08,-6e+06,-1.7e+07,-4.1e+07,5e+07,9e+06,4.22e+08,4.22e+08,-4.7e+07,3.75e+08,3.5e+07,6.512e+09,4.19e+08,0.14508,0.02073,0.00069,7e-05,104.75,8.39543,0.11911,0.05883,0.05799,2.83834,14.30936,6.16199,0.60296,0.00082,0.00766,10.25,131.05714,163.82143
"29","2017_Q2",34.1255555555556,"Down",3.74e+08,1.42e+08,1.77e+08,-3.5e+07,2.32e+08,1.54e+08,7.6e+07,3.74e+08,-1.61e+08,-6.1e+07,-1e+08,2.13e+08,2.13e+08,2.13e+08,-1.8e+07,1.95e+08,1.95e+08,-1.71e+08,2.4e+07,2.4e+07,1.656e+09,1.12e+08,3.1656e+10,2.2387e+10,4.46e+08,5.6257e+10,5.371e+09,4.4876e+10,5.0247e+10,7.77e+08,-3e+06,2.2e+08,2e+06,9.96e+08,5.013e+09,6.009e+09,5.6256e+10,1.95e+08,6e+06,1.9e+07,5.59e+08,7.79e+08,-6e+06,-6e+06,-4.1e+07,-3.6e+07,-7.7e+07,6.96e+08,6.96e+08,2.3e+07,7.19e+08,2.19e+08,5.371e+09,7.9e+08,0.56952,0.06417,0.00399,0.00043,32.91667,8.36196,0.09547,0.35302,0.34703,5.5012,14.65027,11.62019,0.60307,0.00116,0.01404,1.70833,16.96347,17.44131
