"","YQ","p","d","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"18","2018_Q3",15.124126984127,"Down",-12148902,-2846637,-9302265,-12148902,870139,-11278763,-11278763,-11278763,-11278763,-11278763,-11278763,229434724,229434724,3483516,3483516,232918240,1010468,2777759,235695999,6950714,3239504,3711210,7037351,7701096,403063616,-175068713,227994903,227994903,235695999,-11278763,69560,1150557,-2999356,-13058002,-25436,-25436,-25436,-25436,-113922.999999985,-113922.999999985,-113922.999999985,-13197361,-13197361,-13197361,-12079342,0,-0.04947,-0.04785,33.09743,0.03378,0,-0.26346,-0.26346,5.32576,-0.04933,18.99398,18.88522
"19","2018_Q4",12.0336507936508,"Down",-12519521,-2790432,-9729089,-12519521,944410,-11575111,-11575111,-11575111,-11575111,-11575111,-11575111,219828634,219828634,2605186,2605186,222433820,968551,2735842,225169662,6341587,659395,5682192,6434241,7073974,404739512,-186643824,218095688,218095688,225169662,-11575111,68477,1171122,251208,-10084304,-26560,-26560,-26560,-26560,504774,504774,504774,-9606090,-9606090,-9606090,-12451044,0,-0.05307,-0.05141,34.57033,0.03244,0,-0.26876,-0.26876,5.06383,-0.05292,17.65544,17.55887
"20","2019_Q1",11.4496721311475,"Down",-14959852,-2920856,-12038996,-14959852,1052937,-13906915,-13906915,-13906915,-13906915,-13906915,-13906915,209917595,209917595,2351524,2351524,212269119,957226,2570153,214839272,8664383,2663579,6000804,8763154,9374777,406015234,-200550739,205464495,205464495,214839272,-13906915,68329,1149757,2708829,-9980000,-57004,-57004,-57004,-57004,125965,125965,125965,-9911039,-9911039,-9911039,-14891523,0,-0.06769,-0.06473,24.22291,0.04563,0,-0.32234,-0.32234,4.76238,-0.06748,14.09645,14.03206
"21","2019_Q2",11.9579365079365,"Up",-16815969,-3750610,-13065359,-16815969,986154,-15829815,-15829815,-15829815,-15829815,-15829815,-15829815,195560926,195560926,2828959,2828959,198389885,4438693,6051620,204441505,7566924,1866937,5699987,8306854,11647910,407428231,-214634636,192793595,192793595,204441505,-14083897,70441,1532129,-1866358,-14347685,-39538,-39538,-39538,-39538,30554,30554,30554,-14356669,-14356669,-14356669,-16745528,0,-0.08211,-0.07743,23.88267,0.06042,0,-0.36658,-0.36658,4.46457,-0.08071,11.6784,11.62948
"22","2019_Q3",6.43125,"Down",-16815969,-3750610,-13065359,-16815969,986154,-15829815,-15829815,-15829815,-15829815,-15829815,-15829815,184167114,184167114,2301610,2301610,186468724,4253192,5866119,192334843,9871576,3026746,6844830,10632887,13775900,409023394,-230464451,178558943,178558943,192334843,-15829815,71190,1672553,2691260,-11394812,-74767,-74767,-74767,-74767,75766.9999999995,75766.9999999995,75766.9999999995,-11393812,-11393812,-11393812,-16744779,0,-0.08865,-0.0823,17.53698,0.07715,0,-0.36671,-0.36671,4.13647,-0.08712,10.99848,10.95192
"23","2019_Q4",5.41296875,"Down",-12422255,-2990771,-9431484,-12422255,916291,-11505964,-11505964,-11505964,-11505964,-11505964,-11505964,170886792,170886792,3909979,3909979,174796771,4044945,5657872,180454643,9652414,1407548,8244866,10436339,13373666,410797310,-243716333,167080977,167080977,180454643,-13251882,69760,1743902,-2010606,-13448826,-18266,-18266,-18266,-18266,186770,186770,186770,-13280322,-13280322,-13280322,-12352495,0,-0.06886,-0.06376,16.74886,0.08004,0,-0.26575,-0.26575,3.85909,-0.06767,13.83419,13.7565
"24","2020_Q1",3.82241935483871,"Down",-15335109,-3868047,-11467062,-15335109,608792,-14726317,-14726317,-14726317,-14726317,-14726317,-14726317,158201441,158201441,4326322,4326322,162527763,822920,5441916,167969679,10146450,1435660,8710790,10950576,13769092,412643237,-258442650,154200587,154200587,167969679,-14726317,67843,1886574,-20916,-12792816,-12357,-12357,-12357,-12357,119822,119822,119822,-12685351,-12685351,-12685351,-15267266,0,-0.0955,-0.08767,14.84194,0.08929,0,-0.33952,-0.33952,3.55516,-0.09379,10.36213,10.31629
"25","2020_Q2",2.83142857142857,"Down",-17108020,-4439760,-12668260,-8108020,445416,-7662604,-7662604,-7662604,-7662604,-7662604,-7662604,154823138,154823138,2058681,2058681,156881819,3604672,5217599,162099418,9785394,3134282,6651112,10612336,13609315,414595357,-266105254,148490103,148490103,162099418,-7662604,68191,1986410,2107864,-3500139,-8136,-8136,-8136,-8136,129972,129972,129972,-3378303,-3378303,-3378303,-8039829,0,-0.0516,-0.04727,14.78297,0.09165,0,-0.17585,-0.17585,3.40764,-0.05058,19.25702,19.09506
"26","2020_Q3",3.8221875,"Up",-14105730,-4234917,-9870813,-14105730,26701,-14079029,-14079029,-14079029,-14079029,-14079029,-14079029,149844590,149844590,3513405,3513405,153357995,3381815,4994742,158352737,8851101,1371308,7479793,9701289,12600241,425936779,-280184283,145752496,145752496,158352737,-14079029,67681,1929825,-2470390,-14551913,-6383,-6383,-6383,-6383,9579748,9579748,9579748,-4978548,-4978548,-4978548,-14038049,0,-0.0966,-0.08891,15.808,0.08645,0,-0.32143,-0.32143,3.32759,-0.09471,10.67417,10.62296
"27","2020_Q4",3.5040625,"Down",-14727297,-4057530,-10669767,-13727297,4762,-13722535,-13722535,-13722535,-13722535,-13722535,-13722535,142870347,142870347,2772793,2772793,145643140,3163106,4776033,150419173,8944197,1073610,7870587,9818355,12153445,432172546,-293906818,138265728,138265728,150419173,-13722535,66527,1862442,289720,-11503846,-15813,-15813,-15813,-15813,4545416,4545416,4545416,-6974243,-6974243,-6974243,-13660770,0,-0.09925,-0.09123,14.83376,0.0879,0,-0.28882,-0.28882,2.91013,-0.0976,10.45844,10.40776
"28","2021_Q1",3.5816393442623,"Up",-15731278,-4010920,-11720358,-15568343,5607.99999999999,-15562735,-15562735,-15562735,-15562735,-15562735,-15562735,137035017,137035017,1238328,1238328,138273345,620673,4558824,142832169,11529820,2089939,9439881,12428369,14612713,437689009,-309469553,128219456,128219456,142832169,-15562735,68355,1803926,4004421,-9686033,-38175,-38175,-38175,-38175,3888878,3888878,3888878,-5835330,-5835330,-5835330,-15499988,0,-0.12138,-0.10896,11.12562,0.11397,0,-0.32425,-0.32425,2.67147,-0.11934,8.84098,8.80216
"29","2021_Q2",2.54492063492064,"Down",-15335346,-4188110,-11147236,-14279905,5846,-14274059,-14274059,-14274059,-14274059,-14274059,-14274059,132470624,132470624,1238243,1238243,133708867,553471,4311036,138019903,9918718,2140800,7777918,10842151,12896383,448867132,-323743612,125123520,125123520,138019903,-14274059,68088,1796945,-1716245,-14125271,-3060,-3060,-3060,-3060,9563938,9563938,9563938,-4564393,-4564393,-4564393,-14211817,0,-0.11408,-0.10342,12.33232,0.10307,0,-0.28156,-0.28156,2.46806,-0.11224,9.32116,9.27672
"30","2021_Q3",2.11765625,"Down",-14404623,-4237342,-10167281,-14404482,5221,-14399261,-14399261,-14399261,-14399261,-14399261,-14399261,118854094,118854094,1460867,1460867,120314961,491088,4063718,124378679,9300130,1174589,8125541,10248917,12092259,450429293,-338142873,112286420,112286420,124378679,-14399261,67485,1747096,-1026748,-13611428,-5102,-5102,-5102,-5102,-1.86264514923096e-09,-1.86264514923096e-09,-1.86264514923096e-09,-13616530,-13616530,-13616530,-14336997,0,-0.12824,-0.11577,11.73929,0.10769,0,-0.28402,-0.28402,2.21485,-0.12617,8.29003,8.25119
"31","2021_Q4",1.8146875,"Down",-17423506,-4141952,-13281554,-17336946,4625,-17332321,-17332321,-17332321,-17332321,-17332321,-17332321,101924284,101924284,2209391,2209391,104133675,428038,3811228,107944903,8685596,1390431,7295165,9660412,11379155,452040942,-355475194,96565748,96565748,107944903,-17332321,67384,1780299,-1461628,-16946266,-4334,-20319.1529900381,-20319.1529900381,-4334,20790,20790,20790,-16929810,-16929810,-16929810,-17269562,0,-0.17949,-0.16057,10.77942,0.11784,0,-0.33808,-0.33808,1.88359,-0.17635,5.90196,5.87902
"32","2022_Q1",1.17338709677419,"Down",-17443497,-4548001,-12895496,-17425872,4076,-17421796,-17421796,-17421796,-17421796,-17421796,-17421796,90254890,90254890,533804,533804,90788694,368842,3557954,94346648,10822983,2107615,8715368,11824390,12742997,454500641,-372896990,81603651,81603651,94346648,-17421796,61643,1514159,3039429,-12806565,-2447,-32720.8337209333,-32720.8337209333,-2447,1139618,1139618,1139618,-11669394,-11669394,-11669394,-17364229,0,-0.21349,-0.18466,7.67809,0.15616,0,-0.33211,-0.33211,1.5556,-0.21112,5.19775,5.17936
"33","2022_Q2",0.740645161290323,"Down",-14660110,-5056188,-9603922,-14660110,7069,-14653041,-14653041,-14653041,-14653041,-14653041,-14653041,76516226,76516226,947392,947392,77463618,350055,4001153,81464771,11753199,2276173,9477026,12781733,13433519,455581283,-387550031,68031252,68031252,81464771,-14653041,59308,1279456,-383866,-13698143,-40521,-40521,-40521,-40521,-7782249.42587844,-7782249.42587844,-7782249.42587844,-13738664,-13738664,-13738664,-14600802,0,-0.21539,-0.17987,6.06049,0.19746,0,-0.28172,-0.28172,1.30799,-0.21334,5.24055,5.21935
"34","2022_Q3",0.71859375,"Down",-13428155,-5454877,-7973278,-13353155,85588,-13267567,-13267567,-13267567,-13267567,-13267567,-13267567,60244377,60244377,1019240,1019240,61263617,332971,3780404,65044021,7881610,1270945,6610665,8937786,9316578,456545041,-400817598,55727443,55727443,65044021,-13267567,54772,1170921,-4188789,-16230663,-41186,-41186,-41186,-41186,-35231502.2776353,-35231502.2776353,-35231502.2776353,-16271849,-16271849,-16271849,-13298383,0,-0.23808,-0.20398,6.85445,0.16718,0,-0.25509,-0.25509,1.07144,-0.23647,4.5302,4.51162
