"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","pension_liabilities","pensions","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",67.0188709677419,"Up",172099000,-123071000,49028000,-20241000,-17714000,-2527000,28787000,-2e+05,34000,-234000,28587000,28587000,-9764000,18823000,18823000,18823000,18823000,119785000,119785000,95693000,95693000,62119000,13177000,13177000,290774000,56143000,70031000,25709000,29866000,9399000,5057000,126174000,416948000,38820000,38820000,4286000,45502000,45502000,88608000,25088000,6057000,6057000,10458000,8573000,26159000,114767000,59993000,-90961000,333819000,-670000,302181000,302181000,416948000,18823000,3149000,-2172000,1231000,21031000,-2850000,-311000,-3161000,-1145000,-1072000,111000,111000,-17000,-2123000,15747000,15747000,-915000,14832000,31936000,5357000,40081000,0.28488,0.16727,0.10937,0.06229,0.04514,2.12936,3.28158,0.3798,0.01285,1.48026,1.46905,13.53405,23.76384,3.15201,0.09004,7,0.06003,0.1205,0.06083,-3.58304,-3.97499
"12","2013_Q1",79.2483333333333,"Up",127817000,-95069000,32748000,-20056000,-24627000,4571000,12692000,-38999.9999999999,61000,-1e+05,12653000,12653000,-3894000,8759000,8759000,8759000,8759000,143444000,143444000,82565000,82565000,52873000,10478000,10478000,289360000,56180000,69991000,25070000,29961000,9505000,5455000,126171000,415531000,31372000,31372000,4285000,44781000,44781000,80438000,24255000,6821000,6821000,9984000,7450000,24255000,104693000,61561000,-90961000,341115000,-876999.999999999,310838000,310838000,415531000,8759000,3084000,2335000,12365000,26543000,-2308000,1688000,-619999.999999999,-1463000,-1072000,180000,180000,131000,-2224000,23699000,23699000,-40000,23659000,15776000,4285000,29727000,0.25621,0.0993,0.06853,0.02818,0.02108,3.39388,3.5973,0.33681,0.01031,0.68882,0.68201,10.05167,24.44464,2.33776,0.11505,6,0.03012,0.08759,0.16703,-8.82093,-10.96431
"13","2013_Q2",70.13,"Down",147370000,-104513000,42857000,-20593000,-17439000,-3154000,22264000,119000,-5000,124000,22383000,22383000,-7655000,14728000,14728000,14728000,14728000,152173000,152173000,88893000,88893000,67250000,10719000,10719000,319035000,56085000,67758000,24410000,30114000,8171000,5063000,123843000,442878000,50662000,50662000,3214000,39141000,39141000,93017000,23788000,6749000,6749000,9622000,7417000,23788000,116805000,63526000,-90961000,354367000,-859000,326073000,326073000,442878000,14728000,3130000,793000,-5194000,13457000,-2215000,-1093000,-3308000,-1476000,-1072000,1082000,1082000,-256000,-1722000,8427000,8427000,302000,8729000,25394000,3214000,25640000,0.29081,0.15108,0.09994,0.04517,0.03326,1.7409,3.42986,0.35822,0.00726,1.15459,1.14588,11.55299,25.56232,2.01003,0.11571,7,0.04589,0.07262,0.10022,-5.86591,-6.69058
"14","2013_Q3",69.55140625,"Down",175539000,-125175000,50364000,-20918000,-18155000,-2763000,29446000,42000,46000,-4000,29488000,29488000,-10137000,19351000,19351000,19351000,19351000,159583000,159583000,105399000,105399000,78071000,15020000,15020000,358073000,56869000,67540000,23729000,30211000,9110000,4490000,124409000,482482000,63651000,63651000,2143000,45724000,45724000,111518000,23807000,6676000,6676000,9716000,7415000,23807000,135325000,65589000,-90961000,372242000,287000,347157000,347157000,482482000,19351000,3110000,128000,-9854000,12735000,-3113000,-826000,-3939000,-1476000,-1070000,537000,537000,444000,-1565000,7231000,7231000,179000,7410000,32556000,2143000,29726000,0.28691,0.16775,0.11024,0.05574,0.04011,1.53615,3.2109,0.38981,0.00444,1.50685,1.50229,13.66913,27.03294,2.31475,0.11494,6,0.05582,0.07967,0.07628,-4.83597,-5.34674
"15","2013_Q4",69.3475,"Down",219542000,-156506000,63036000,-23486000,-20457000,-3029000,39550000,2e+05,68000,132000,39750000,39750000,-13687000,26063000,26063000,26063000,26063000,170215000,170215000,130924000,130924000,72458000,18307000,18307000,391904000,56906000,69311000,22974000,30111000,11810000,4416000,126217000,518121000,56902000,56902000,1071000,65259000,65259000,123232000,23127000,6603000,6603000,8809000,7715000,23127000,146359000,66952000,-90961000,396825000,-1054000,371762000,371762000,518121000,26063000,3140000,-1095000,-13414000,14694000,-2800000,1404000,-1396000,-1480000,-1072000,162000,162000,122000,-2268000,11030000,11030000,-398000,10632000,42690000,1071000,40163000,0.28713,0.18015,0.11872,0.07011,0.0503,1.541,3.18021,0.39369,0.00207,2.02683,2.0129,17.07302,28.91065,3.12334,0.11509,6,0.06956,0.10143,0.05679,-3.96215,-4.27671
"16","2014_Q1",75.553606557377,"Up",148397000,-109820000,38577000,-22776000,-20327000,-2449000,15801000,-115000,83000,-198000,15686000,15686000,-5258000,10428000,10428000,10428000,10428000,151927000,151927000,120291000,120291000,68607000,15261000,15261000,356086000,65064000,91146000,36007000,37414000,12705000,5020000,156210000,512296000,42276000,42276000,277725.82523657,59816000,59816000,102092000,29566000,6324000,6324000,15415000,7827000,29566000,131658000,68335000,-90961000,405580000,-2316000,380638000,380638000,512296000,10428000,3220000,2039000,931999.999999998,16619000,-3008000,-423000,-32438000,-1673000,-1071000,255000,255000,49000.0000000002,-2440000,-18259000,-18259000,-29000,-18288000,19021000,0,22203000,0.25996,0.10648,0.07027,0.0274,0.02036,2.12917,3.48789,0.34589,0,0.8107,0.807,11.53673,29.5917,1.72611,0.13006,4,0.0295,0.05413,0.16043,-7.98733,-9.61502
"17","2014_Q2",77.4246031746032,"Up",147671000,-107520000,40151000,-24159000,-21499000,-2660000,15992000,-175000,96000,-271000,15817000,15817000,-5583000,10234000,10234000,10234000,10234000,151803000,151803000,122093000,122093000,75614000,15989000,15989000,365499000,65252000,90952000,35029000,37193000,13469000,5261000,156204000,521703000,45902000,45902000,-185483.038094488,57132000,57132000,103034000,2.9e+07,6263000,6263000,14715000,8022000,2.9e+07,132034000,67908000,-90961000,414133000,-1411000,389669000,389669000,521703000,10234000,3707000,13000,-8026000,5928000,-2353000,-934000,-3287000,-1681000,33936624.6184448,-2391489.91174804,411977.772563715,-1562000,-3243000,-602000,-602000,478000,-124000,19699000,0,14903000,0.27189,0.10829,0.0693,0.02626,0.01962,1.45622,3.54736,0.33884,0,0.79401,0.79021,11.45713,30.23268,1.15626,0.13042,3,0.02846,0.0356,0.16426,-7.70613,-9.49243
"18","2014_Q3",70.901875,"Down",152804000,-110132000,42672000,-21759000,-18888000,-2871000,20913000,-124000,101000,-225000,20789000,20789000,-7339000,13450000,13450000,13450000,13450000,165509000,165509000,111211000,111211000,80994000,18216000,18216000,375930000,65446000,89243000,34084000,37282000,13916000,3961000,154689000,530619000,53954000,53954000,-381743.321138425,54204000,54204000,108158000,27767000,6202000,6202000,13975000,7590000,27767000,135925000,69427000,-97566000,424241000,-1408000,394694000,394694000,530619000,13450000,3677000,350000,9042000,26519000,-3e+06,-597000,-3597000,-3342000,94504170.7484687,-6234000,371000,230000,-9346000,13576000,13576000,130000,13706000,24590000,0,37971000,0.27926,0.13686,0.08802,0.03408,0.02535,2.82312,3.47575,0.34438,0,1.04191,1.03917,11.83701,30.5751,2.94144,0.25889,4,0.03975,0.08988,0.24848,-6.73074,-7.91417
"19","2014_Q4",76.53625,"Up",169936000,-121687000,48249000,-23027000,-19956000,-3071000,25222000,278000,250000,28000,25500000,25500000,-9001000,16499000,16499000,16499000,16499000,182051000,182051000,103513000,103513000,79010000,19992000,19992000,384566000,65029000,88976000,33060000,37211000,14748000,3957000,154005000,538571000,47352000,47352000,-374171.75504049,65173000,65173000,112525000,28009000,6141000,6141000,13999000,7869000,28009000,140534000,70532000,-108714000,437415000,-1196000,398037000,398037000,538571000,16499000,3747000,-376000,13602000,33472000,-2483000,-187000,-2670000,-3325000,156762159.870854,-11064000,84000,47000,-14342000,16460000,16460000,82000,16542000,28969000,0,49089000,0.28392,0.14842,0.09709,0.04145,0.03063,2.97527,3.4176,0.35307,0,1.28447,1.28028,13.22974,30.9877,3.82164,0.25886,5,0.04653,0.11522,0.20153,-6.28434,-7.21794
"20","2015_Q1",75.9349180327869,"Down",147522000,-107599000,39923000,-23692000,-21169000,-2523000,16231000,318000,95000,223000,16549000,16549000,-5220000,11329000,11329000,11329000,11329000,171842000,171842000,94135000,94135000,71696000,18671000,14939000,356344000,72457000,97750000,31980000,37021000,17714000,11035000,170207000,526551000,42424000,42424000,-225885.070945931,73943000,73943000,116367000,27537000,6600000,6600000,12992000,7945000,27537000,143904000,71502000,-132020000,445366000,-2201000,382647000,382647000,526551000,11329000,3662000,-2215000,13103000,25879000,-9879000,957000,-8922000,-3378000,196841113.466383,-23306000,0,19999.9999999999,-26664000,-9707000,-9707000,-502000,-10209000,19893000,-9.31322574615479e-10,28337000,0.27062,0.11002,0.0768,0.02961,0.02152,2.50128,3.06224,0.37608,-1.73472347597681e-18,0.8931,0.88876,11.62964,30.16531,2.2339,0.2663,6,0.03585,0.06908,0.29817,-8.63831,-10.58727
"21","2015_Q2",71.9644444444444,"Down",134845000,-97931000,36914000,-25012000,-22288000,-2724000,11902000,-241000,101000,-342000,11661000,11661000,-4093000,7568000,7568000,7568000,7568000,139287000,139287000,89165000,89165000,77010000,18853000,18853000,324315000,70901000,94861000,30821000,36634000,17107000,10299000,165762000,490077000,48648000,48648000,0,60972000,60972000,109620000,27623000,6530000,6530000,11903000,9190000,27623000,137243000,71324000,-162006000,449658000,-6142000,352834000,352834000,490077000,7568000,3748000,1862000,-7483000,5695000,-3649000,1560000,-2089000,-3276000,190871553.015837,-29986000,-2887.92837728788,-1198000,-34460000,-30854000,-30854000,-1701000,-32555000,15650000,0,8611000,0.27375,0.08826,0.05612,0.02145,0.01544,1.13782,2.95854,0.38897,0,0.61911,0.61659,11.03117,28.86404,0.70443,0.268,4,0.0285,0.02263,0.43288,-8.90013,-11.70282
"22","2015_Q3",72.12640625,"Up",141089000,-101533000,39556000,-25020000,-21911000,-3109000,14536000,-398000,-47000,-351000,14138000,14138000,-5143000,8995000,8995000,8995000,8995000,167165000,167165000,93293000,93293000,82263000,21936000,21936000,364657000,75663000,158460000,53900000,74808000,16224000,13528000,234123000,598780000,50293000,50293000,192000,58838000,58838000,109323000,36246000,6460000,6460000,20940000,8846000,153516000,262839000,72293000,-181383000,455439000,-10408000,335941000,335941000,598780000,8995000,4269000,4286000,-7661000,9889000,-2927000,-1133000,-71236000,-3214000,114984000,-19311000,66000,-674000,91785000,30438000,30438000,-2560000,27878000,18805000,117462000,13360000,0.28036,0.10303,0.06375,0.02678,0.01502,1.48527,3.33559,0.7824,0.19617,0.75071,0.74908,11.77508,28.03714,1.11501,0.26824,5,0.02493,0.02728,0.35731,-2.64307,-3.4193
"23","2015_Q4",63.19453125,"Down",160707000,-114321000,46386000,-24898000,-21401000,-3497000,21488000,-1065000,-1010000,-55000,20423000,20423000,-7496000,12927000,12927000,12927000,12927000,154018000,154018000,93399000,93399000,79123000,17641000,17641000,344181000,76854000,156859000,52103000,75124000,16922000,12710000,233713000,577894000,46560000,46560000,182000,64343000,64343000,111085000,34892000,6389000,6389000,18685000,9818000,152114000,263199000,72946000,-210484000,465246000,-13013000,314695000,314695000,577894000,12927000,4131000,-325000,3068000,19801000,-4652000,4606000,-46000,-3120000,-59000,-28911000,190000,58000,-32032000,-12277000,-12277000,-870000,-13147000,25619000,117404000,31531000,0.28864,0.13371,0.08044,0.04108,0.02237,2.43916,3.09836,0.83636,0.20316,1.10591,1.10317,13.74857,26.92232,2.69749,0.26692,5,0.03436,0.06752,0.24136,-1.42917,-1.70393
"24","2016_Q1",65.8011475409836,"Up",123540000,-90075000,33465000,-30696000,-27177000,-3519000,2769000,-2240000,-1039000,-1201000,529000,529000,-3710000,-3181000,-3181000,-3181000,-3181000,139093000,139093000,74063000,74063000,74930000,18274000,13077000,306360000,78656000,151452000,51920000,76801000,15807000,6924000,230108000,536468000,38814000,38814000,193000,56105000,56105000,95112000,35623000,6569000,6569000,18971000,10083000,152796000,247908000,73868000,-228903000,458903000,-15308000,288560000,288560000,536468000,-3181000,4264000,8562000,4263000,13908000,-4016000,147000,-6214000,-3162000,-37000,-18281000,138000,-512000,-21992000,-14298000,-14298000,-627000,-14925000,7033000,117366000,10990000,0.27088,0.02241,-0.02575,-0.01102,-0.00593,-3.45489,3.22104,0.85912,0.21878,-0.2796,-0.27855,10.85875,25.36345,0.96598,0.27793,5,-3.99999999999984e-05,0.02489,-0.99403,-3.08929,-7.84651
"25","2016_Q2",65.47640625,"Down",121622000,-87208000,34414000,-22666000,-19007000,-3659000,11748000,-1352000,-1032000,-320000,10396000,10396000,-3452000,6944000,6944000,6944000,6944000,129260000,129260000,70403000,70403000,78246000,18494000,14924000,296403000,78989000,135877000,50598000,76497000,3242000,5540000,214866000,511269000,39106000,39106000,194000,48254000,48254000,87554000,24899000,6500000,6500000,8237000,10162000,142023000,229577000,7.4e+07,-238152000,462713000,-16869000,281692000,281692000,511269000,6944000,4295000,4767000,-7503000,8503000,-4705000,468000,-4237000,-3134000,-48000,-9177000,72000,-719000,-13078000,-8812000,-8812000,-1021000,-9833000,16043000,117318000,7287000,0.28296,0.09659,0.05709,0.02465,0.01358,1.0494,3.38537,0.81499,0.22946,0.61675,0.61517,10.8022,25.01927,0.64722,0.27836,6,0.02377,0.01719,0.45132,-0.74437,-1.01651
"26","2016_Q3",65.52171875,"Up",120573000,-88128000,32445000,-37139000,-33391000,-3748000,-4694000,-1499000,-972000,-527000,-6193000,-6193000,2064000,-4129000,-4129000,-4129000,-4129000,89522000,89522000,79225000,79225000,82078000,19248000,14830000,270073000,78916000,134281000,49475000,76628000,3108000,5070000,213197000,483270000,36371000,36371000,195000,47971000,47971000,84537000,30039000,6431000,6431000,1020000,22588000,147114000,231651000,74621000,-261118000,455535000,-17419000,251619000,251619000,483270000,-4129000,4241000,-6671000,-6918000,-13477000,-2687000,2410000,-277000.000000001,-3049000,-48000,-22925000,41000,6999.99999999988,-26015000,-39769000,-39769000,31000,-39738000,-453000,117270000,-12122000,0.26909,-0.03893,-0.03424,-0.01641,-0.00854000000000001,2.93582,3.19473,0.92064,0.24266,-0.37451,-0.37407,10.93633,22.82259,-1.0995,0.27655,1,-0.00271000000000001,-0.03039,-0.73844,-61.25386,-5.91138
"27","2016_Q4",73.5253968253968,"Up",141319000,-99511000,41808000,-26483000,-22488000,-3995000,15325000,-1260000,-1052000,-208000,14065000,14065000,-4421000,9644000,9644000,9644000,9644000,91498000,91498000,81915000,81915000,82845000,20470000,16402000,276728000,79160000,133672000,48367000,76778000,3473000,5054000,212832000,489560000,40805000,40805000,196000,55651000,55651000,96652000,30947000,6362000,6362000,1278000,23307000,147972000,244624000,75479000,-277238000,462201000,-15506000,244936000,244936000,489560000,9644000,4235000,-799000,12196000,25276000,-2681000,-2162000,-4843000,-2978000,-48000,-16120000,0,0,-19146000,1287000,1287000,689000,1976000,19560000,117221000,33496000,0.29584,0.10844,0.06824,0.03937,0.0197,3.47325,2.86314,0.99873,0.23944,0.90072,0.8987,13.19875,22.87625,3.12842,0.27814,5,0.03211,0.08521,0.30879,1.31508,1.6785
