"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","total_current_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","disposition_of_fixed_assets_intangibles","disposition_of_fixed_assets","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",11.4164516129032,"Up",78628000,-44785000,33843000,-19250000,-17171000,-909000,-1170000,14593000,-1847000,-1830000,-17000,12746000,12746000,-2940000,9806000,9806000,9806000,9806000,21909000,21909000,44035000,44035000,42175000,5646000,4875000,113765000,52423000,51947000,104370000,218135000,30106000,19370000,9489000,55064000,85170000,4037000,89207000,191372000,-2164000,-60220000,-60000,128928000,128928000,218135000,9806000,2967000,4381000,-770000,16384000,-5009000,758000,758000,-5767000,-5765000,-5009000,-293000,29000,36000,61000,-203000,11172000,11172000,12000,11184000,17560000,55952000,14721000,0.43042,0.1856,0.12471,0.07606,0.04495,1.50122,1.33574,0.69191,0.2565,0.20268,0.19213,1.62515,2.66479,0.30427,0.05215,0.07829,1.93867,2.33283
"12","2013_Q1",14.0111666666667,"Up",76702000,-45402000,31300000,-20618000,-18555000,-819000,-1244000,10682000,-1943000,-1858000,-85000.0000000001,8739000,8877000,14324000,23201000,23201000,23201000,23201000,2700000,2700000,42259000,42259000,45177000,6078000,4804000,96214000,56499000,67154000,123653000,219867000,32469000,22373000,6503000,9462000,41931000,23206000,65137000,195490000,-3701000,-37019000,-40000,154730000,154730000,219867000,23201000,3115000,-13426000,-1832000,11058000,-3302000,2145000,2145000,-5447000,-5458000,-3302000,-25610000,-1218000,319000,-157000,-26985000,-19229000,-19229000,20000,-19209000,13797000,31917000,-5661000,0.40807,0.13927,0.30248,0.14995,0.10552,-0.244,2.29458,0.42097,0.14517,0.4776,0.37418,1.57895,3.18519,-0.11653,0.12381,-0.03021,2.11763,2.73516
"13","2013_Q2",16.6609375,"Up",78243000,-45613000,32630000,-20082000,-18017000,-875000,-1190000,12548000,-546000,-434000,-112000,12002000,12002000,-4237000,7765000,7765000,7765000,7765000,248000,248000,46167000,46167000,44836000,4119000,2839000,95370000,57158000,65955000,123113000,218483000,28367000,18565000,6664000,5432000,33799000,22067000,55866000,200647000,-8716000,-29254000,-60000,162617000,162617000,218483000,7765000,3033000,1025000,-3814000,8009000,-2995000,1388000,1388000,-4383000,-4383000,-2995000,-5347000,-2501000,157000,402000,-7446000,-2432000,-2432000,-20000,-2452000,15581000,27105000,13009000,0.41703,0.16037,0.09924,0.04775,0.03554,1.67534,2.82168,0.34354,0.12406,0.15983,0.1516,1.61053,3.34727,0.26777,0.04084,0.06843,1.7237,2.14034
"14","2013_Q3",20.21375,"Up",93586000,-55992000,37594000,-24063000,-21081000,-979000,-2003000,13531000,-361000,-531000,170000,13170000,13170000,-4730000,8440000,8440000,8440000,8440000,5503000,5503000,58264000,58264000,74467000,4725000,3123000,142959000,79167000,160984000,240151000,383110000,43568000,31570000,10230000,45770000,89338000,68622000,157960000,257127000,-10979000,-20814000,-184000,225150000,225150000,383110000,8440000,3890000,1590000,-10446000,3474000,-3098000,1638000,1638000,-4736000,-4736000,-56494000,61445000,-1872000,329000,-1161000,58412000,5392000,5392000,-137000,5255000,17421000,88761000,8607000,0.40171,0.14458,0.09018,0.03749,0.02203,1.01979,1.6002,0.70158,0.23169,0.16517,0.15726,1.83143,4.40607,0.16843,0.02486,0.02535,4.77917,6.15313
"15","2013_Q4",21.11421875,"Up",98388000,-60886000,37502000,-22415000,-19542000,-835000,-2038000,15087000,-471000,-530000,59000,14616000,14616000,-5648000,8968000,8968000,8968000,8968000,4369000,4369000,62244000,62244000,70857000,6544000,4953000,144014000,77269000,159696000,236965000,380979000,41008000,23884000,13613000,35529000,76537000,66601000,143138000,261893000,-12005000,-11846000,-201000,237841000,237841000,380979000,8968000,4025000,1750000,-4866000,9877000,703000,1569000,1569000,-866000,-866000,703000,-12308000,429000,895000,187000,-11692000,-1112000,-1112000,-22000,-1134000,19112000,76639000,20597000,0.38116,0.15334,0.09115,0.03771,0.02354,2.29672,1.88163,0.60182,0.20116,0.16993,0.16208,1.86429,4.5067,0.39028,0.02638,0.06058,3.78139,4.79022
"16","2014_Q1",23.4350819672131,"Up",100848000,-61047000,39801000,-22662000,-19557000,-1063000,-2042000,17139000,-398000,-597000,199000,16741000,17162000,-6157000,11005000,11005000,11005000,11005000,2730000,2730000,65016000,65016000,63132000,6783000,4261000,137661000,79114000,158806000,237920000,375581000,36149000,19899000,12778000,26415000,62564000,63265000,125829000,266128000,-15176000,-841000,-359000,249752000,249752000,375581000,11005000,4161000,3383000,-672000,17877000,-3914000,1193000,1193000,-5107000,-5022000,-3914000.00000001,-14534000,-1986000,257000,747000,-15773000,-1810000,-1810000,171000,-1639000,21300000,62105000,22871000,0.39466,0.16995,0.10912,0.04406,0.0293,2.07824,2.20032,0.50382,0.16536,0.20793,0.19957,1.90542,4.7188,0.43212,0.03242,0.06738,2.78756,3.46432
"17","2014_Q2",29.2485714285714,"Up",102575000,-58894000,43681000,-24883000,-21572000,-1026000,-2285000,18798000,-4e+05,-454000,54000,18398000,18398000,-6380000,12018000,12018000,12018000,12018000,1664000,1664000,65882000,65882000,72009000,6179000,3679000,145734000,81677000,163105000,244782000,390516000,42413000,26356000,9574000,24068000,66481000,58256000,124737000,275336000,-20226000,11177000,-508000,265779000,265779000,390516000,12018000,4219000,292000,-1024000,15505000,-3418000,832000,832000,-4250000,-4115000,-8704000,-7133000,-1826000,2219000,1241000,-7718000,-917000,-917000,-149000,-1066000,23017000,54973000,24955000,0.42584,0.18326,0.11716,0.04522,0.03077,2.07647,2.19212,0.46933,0.14077,0.22277,0.21694,1.90137,4.92658,0.46258,0.03452,0.07169,2.31607,2.83589
"18","2014_Q3",28.51078125,"Down",105318000,-63009000,42309000,-24634000,-20854000,-1280000,-2500000,17675000,-654000,-382000,-272000,17021000,17021000,-5981000,11040000,11040000,11040000,11040000,2226000,2226000,65906000,65906000,82231000,12567000,9989000,162930000,82392000,162899000,245291000,408221000,44082000,30775000,11690000,24939000,69021000,59193000,128214000,280262000,-22142000,22217000,-330000,280007000,280007000,408221000,11040000,4595000,-596000,-12104000,2935000,-4440000,1150000,1150000,-5590000,-5130000,-4858000,1937000,-1635000,281000,2005000,2307000,384000,384000,178000,562000,22270000,56909000,11707000,0.40173,0.16783,0.10483,0.03943,0.02704,1.06042,2.36059,0.4579,0.13941,0.20201,0.19875,1.92714,5.12364,0.21422,0.03032,0.03215,2.45546,3.0938
"19","2014_Q4",20.56875,"Down",116760000,-70682000,46078000,-25231000,-21498000,-1293000,-2440000,20847000,-511000,-423000,-88000,20336000,20336000,-6064000,14272000,14272000,14272000,14272000,5257000,5257000,69253000,69253000,81439000,13263000,10423000,169212000,83270000,159936000,243206000,412418000,47218000,32656000,13468000,11367000,58585000,56232000,114817000,283577000,-22419000,36489000,-397000,297250000,297601000,412418000,14272000,4462000,1800000,923000,21457000,-3094000,1340000,1340000,-4434000,-4249000,-3094000,-15358000,170000.000000001,269000,-77000,-15265000,3098000,3098000,-67000,3031000,25309000,41551000,29202000,0.39464,0.17855,0.12223,0.04796,0.03461,2.0461,2.88832,0.38581,0.10075,0.26047,0.2564,2.13089,5.42486,0.53294,0.03908,0.07996,1.43404,1.74097
"20","2015_Q1",16.2952459016393,"Down",-4801000.00000003,3497000,-1303999.99999999,2584000,2688000,-1188000,1084000,1280000,-184000,-114000,-70000,1096000,1115000,1177000,2292000,16273000,16273000,16273000,1266000,1266000,78624000,78624000,85958000,13751000,11055000,179599000,86111000,157566000,243677000,423276000,46899000,33185000,12314000,18643000,65542000,51380000,116922000,254238000,-495000,52762000,-502000,306003000,306354000,423276000,2292000,-5563000,6144000,-126000,2747000,996000,-3263000,-3263000,4259000,4155000,996000.000000001,2490000,-10485000,144000,231000,-7764000,-4021000,-4021000,30000,-3991000,-4283000,44041000,-4590000,0.27161,-0.26661,-3.3895,0.05312,0.03845,-0.28206,2.74021,0.38166,0.10405,0.29776,0.29323,-0.08785,5.59912,-0.0839900000000002,0.04324,-0.0122,-9.98716,33.41797
"21","2015_Q2",13.485873015873,"Down",82373000,-55846000,26527000,-27816000,-23568000,-1572000,-2676000,-1289000,-632000,-407000,-225000,-1921000,-1921000,406000,-1515000,-1515000,-1515000,-1515000,2499000,2499000,56011000,56011000,98162000,11074000,9275000,167746000,88239000,159022000,247261000,415007000,37939000,28427000,7651000,24417000,62356000,46910000,109266000,259145000,-4267000,51247000,-742000,305383000,305741000,415007000,-1515000,4570000,-129000,3302000,6228000,-4390000,1315000,1315000,-5705000,-5590000,-5640000,3989000,-3428000,278000,94000,655000,1243000,1243000,-10000,1233000,3281000,48030000,1787000,0.32204,-0.01565,-0.01839,-0.00496,-0.00365,-1.17954,2.69013,0.35738,0.11573,-0.02782,-0.02782,1.51287,5.60871,0.03282,-0.00402,0.00474,13.87717,-35.32273
"22","2015_Q3",16.8884375,"Up",87031000,-57779000,29252000,-27487000,-23020000,-1670000,-2797000,1765000,-423000,-421000,-1999.99999999997,1342000,-19030000,6483000,-12547000,-12547000,-12547000,-12547000,2475000,2475000,56466000,56466000,84601000,9560000,6011000,153102000,86996000,163295000,250291000,403393000,38522000,27140000,11276000,30332000,68854000,44364000,113218000,266003000,-14220000,38700000,-666000,289817000,290175000,403393000,-12547000,4611000,14097000,-1086000,5075000,-2677000,873000,873000,-3550000,-3373000,-2677000,4129000,-8606000,287000,2052000,-2425000,-27000,-27000,3000.00000000001,-23999.9999999991,6376000,52159000,-3870000,0.33611,0.02028,-0.14417,-0.04324,-0.0311,0.30844,2.22357,0.39017,0.1293,-0.23122,-0.23122,1.60384,5.34087,-0.07132,-0.03439,-0.01061,7.79235,28.14958
"23","2015_Q4",14.28125,"Down",87942000,-56715000,31227000,-28451000,-23635000,-2031000,-2785000,2776000,-402000,-475000,73000,2374000,2374000,-399000,1975000,1975000,1975000,1975000,2998000,2998000,52069000,52069000,84421000,12956000,9417000,152444000,85835000,162666000,248501000,400945000,34750000,22046000,12611000,27727000,62477000,42951000,105428000,269813000,-14296000,40675000,-1033000,295159000,295517000,400945000,1975000,4432000,3283000,-3697000,5993000,-1220000,1037000,1037000,-2257000,-2115000,-1220000,-4391000,160000,236000,5000,-4226000,547000,547000,-24000,523000,7208000,47768000,2690000,0.35509,0.03157,0.02246,0.00668,0.00493,1.36203,2.44,0.35676,0.11914,0.03619,0.03619,1.61131,5.40802,0.04929,0.00539,0.00735,6.21115,16.12752
"24","2016_Q1",7.32049180327869,"Down",12620000,-1693000.00000001,10927000,-1914000,-53000,-1384000,-477000,9013000,-187000,-218000,31000,8826000,29211000,-9966000,19245000,-1375000,-1375000,-1375000,2208000,2208000,35511000,35511000,50870000,63153000,6949000,151742000,60006000,191342000,251348000,403090000,30075000,17221000,10480000,32291000,67003000,42078000,109081000,273457000,-17869000,39300000,-1237000,293651000,294009000,403090000,19245000,-4878000,-12669000,6478000,8176000,-8718000,-3212000,-3212000,-5506000,-5313000,-7468000,2778000,-3250000,117000,-881000,-1353000,-645000,-645000,-145000,-790000,4135000,50546000,11861000,0.86585,0.71418,-0.10895,-0.00468,-0.00341,-8.62618,2.2647,0.37101,0.1254,-0.02521,-0.02426,0.23136,5.38355,0.21745,-0.00373,0.0322,11.68996,5.36314
"25","2016_Q2",10.65734375,"Up",63812000,-40018000,23794000,-23426000,-19577000,-1947000,-1902000,368000,-414000,-408000,-6000,-46000,-46000,17000,-29000,-30185000,-30185000,-30185000,2480000,2480000,45631000,45631000,81084000,25235000,6148000,154430000,78337000,131815000,210152000,364582000,35258000,25244000,9676000,44765000,80023000,18225000,98248000,275803000,-18023000,9115000,-919000,265976000,266334000,364582000,-29000,2250000,-4388000,-4216000,-6383000,-3921000,-2679832.00567153,-2679832.00567153,-3921000,-3790000,-3921000,10689000,192000.000000001,346000,-365000,10516000,212000,212000,60000,272000,2618000,61235000,-5536000,0.37288,0.00577,-0.47303,-0.11334,-0.08279,0.1834,1.92982,0.36889,0.16796,-0.55138,-0.55138,1.16564,4.85854,-0.10113,-0.09166,-0.01681,22.4427,159.66033
"26","2016_Q3",14.42875,"Up",64078000,-42361000,21717000,-21576000,-17624000,-2048000,-1904000,141000,-657000,-610000,-47000,-516000,-501000,389999.999999998,-111000,-2280000,-2280000,-2280000,3840000,3840000,45528000,45528000,78253000,25978000,6602000,153599000,80759000,130986000,211745000,365344000,33258000,23795000,9278000,50228000,83486000,15210000,98696000,278846000,-18478000,6835000,-913000,266290000,266648000,365344000,-110999.999999998,2401000,2584000,-1786000,3088000,-4433000,24000,24000,-4457000,-4448000,-4433000,3677000,-221000,234000,-736000,2720000,1375000,1367000,-7000.00000000003,1360000,2542000,64912000,-4067000,0.33892,0.00219999999999987,-0.0355800000000001,-0.00855000000000003,-0.00624,1.78377,1.83982,0.37014,0.17767,-0.0415200000000001,-0.04152,1.16696,4.84957,-0.07407,-0.00687000000000001,-0.01225,24.02518,433.13475
"27","2016_Q4",12.1706349206349,"Down",64337000,-41983000,22354000,-24622000,-20076000,-2328000,-2218000,-2268000,-559000,-518000,-41000,-2827000,-2813000,942000,-1871000,-2746000,-2746000,-2746000,3474000,3474000,53652000,53652000,73986000,29643000,9099000,160755000,89154000,132631000,221785000,382540000,38054000,26072000,11826000,34562000,72616000,9205000,81821000,316097000,-18844000,4089000,-981000,300361000,300719000,382540000,-1871000,2729000,5248000,-3636000,2470000,-2537000,14000,14000,-2551000,-2380000,-10400000,-22350000,29848000,30164000,71000,7569000,-361000,-361000,-5000,-366000,461000,42562000,-6654000,0.34745,-0.03525,-0.04268,-0.00913,-0.00718,2.42316,2.21377,0.27208,0.11126,-0.04825,-0.04825,1.1304,5.27736,-0.11691,-0.00797,-0.01932,84.78959,-17.23457
"28","2017_Q1",11.4227419354839,"Down",-3994000,-19621000,-23615000,8388000,13532000,-2996000,-2148000,-15227000,-783000,-443000,-340000,-16010000,-3291000,855000,-2436000,-13919000,-13919000,-13919000,4823000,4823000,47152000,47152000,58283000,78360000,21708000,188618000,74691000,119906000,194597000,383215000,42154000,29960000,12170000,40566000,87681000,7833000,95514000,318398000,-20269000,-9830000,-956000,287343000,287701000,383215000,-2436000,792000,-8281000,11942000,2017000,-2665000,77000,77000,-2742000,-2454000,-2665000,5837000,-1112000,313000,-2679000,2046000,1398000,1400000,-51000,1349000,-14435000,48399000,-6013000,5.91262,3.81247,3.48498,-0.04838,-0.03632,0.432,2.15118,0.33199,0.1263,-0.2409,-0.23659,-0.0691299999999999,4.97314,-0.10407,-0.04141,-0.01789,-3.01877,-2.86176000000004
"29","2017_Q2",10.4860317460317,"Down",79954000,-51625000,28329000,-28754000,-22581000,-3141000,-3032000,-425000,-440000,-594000,154000,-865000,-1063000,320000,-743000,-11978000,-11978000,-11978000,1826000,1826000,62934000,62934000,64677000,46856000,6694000,176293000,74327000,126430000,200757000,377050000,43525000,35635000,7841000,42603000,90766000,7083000,97849000,321986000,-20371000,-21808000,-964000,278843000,279201000,377050000,-743000,3032000,-3909000,-937000,-2557000,-1803000,158000,158000,-1961000,-1877000,-1803000,1287000,156000,258000,-106000,1337000,-3023000,-3023000,26000,-2997000,2607000,49686000,-453000,0.35432,-0.00532,-0.14981,-0.0429,-0.03177,0.03782,1.94228,0.35046,0.13178,-0.20769,-0.20769,1.38633,4.8349,-0.00785,-0.03642,-0.00138,18.35827,-112.61176
"30","2017_Q3",6.59444444444444,"Down",85177000,-58574000,26603000,-27640000,-20540000,-4109000,-2991000,-1037000,-314000,-551000,237000,-1351000,-1565000,442000,-1123000,-3825000,-3825000,-3825000,3422000,3422000,60089000,60089000,78410000,17148000,6079000,159069000,74396000,125712000,200108000,359177000,37063000,28554000,8488000,42716000,82195000,6357433.05462199,82195000,331132000,-27905000,-25633000,-970000,276624000,276982000,359177000,-1123000,2991000,4493000,-11047000,-4686000,-2642000,152000,152000,-2794000,-2631000,14848000,-6970000,-1590000,130000,-4.65661287307739e-10,-8560000,1602000,1602000,-6000,1596000,1954000,42716000,-12177000,0.312329999999999,-0.01217,-0.0449100000000002,-0.01381,-0.01065,3.18353,1.93526,0.29675,0.11893,-0.06611,-0.06611,1.47225,4.78133,-0.21047,-0.01196,-0.03809,20.10952,-37.892
