"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2018_Q2",27.64453125,"Up",65049000,-46886000,18163000,-7099000,-7099000,11064000,-491000,-491000,10573000,10573000,-3527000,7046000,7046000,7046000,7046000,12680000,12680000,6705000,6705000,11569000,2624000,2624000,33578000,14627000,46785000,29593000,576000,61412000,94990000,38823000,15678000,20368000,43005000,3581000,3220000,32957000,75962000,113352000,-94324000,19028000,19028000,94990000,7046000,732000,207000,2181000,10166000,-505000,-505000,-976000,-43000,-1019000,8642000,8642000,8642000,11796000,33558000,16999000,0.27922,0.17009,0.10832,0.3703,0.07418,2.41257,0.78079,3.99212,0.35328,0.37851,0.37706,3.49442,1.02218,0.91318,0.12545,0.30265,1.76992,1.88702
"12","2018_Q3",29.2646031746032,"Up",78435000,-58501000,19934000,-9152000,-9152000,10782000,-1139000,-1139000,9643000,9643000,-1634000,8009000,8009000,8009000,8009000,6250000,6250000,1917000,1917000,18283000,3021000,3021000,29471000,19533000,119638000,66818000,730000,139171000,168642000,42659000,12800000,27446000,47731000,3705000,3439000,93610000,141341000,113616000,-86315000,27301000,27301000,168642000,8009000,1478000,-133000,2932000,12286000,-969000,-80001000,62607000,-1322000,61285000,-6430000,-6430000,-6430000,12260000,94977000,15857000,0.25415,0.13746,0.10211,0.29336,0.04749,1.9799,0.61744,5.17714,0.56319,0.43013,0.42823,4.21244,1.46623,0.85162,0.06357,0.12587,7.23711,8.22918
"13","2018_Q4",27.8111111111111,"Down",93811000,-69429000,24382000,-9183000,-9183000,15199000,-897000,-897000,14302000,14302000,-2848000,11454000,11454000,11454000,11454000,8500000,8500000,5975000,5975000,20290000,3657000,3596000,38422000,19728000,118982000,66713000,703000,138710000,177132000,49705000,18082000,30343000,54806000,2306000,2134000,83252000,138058000,113935000,-74861000,39074000,39074000,177132000,11454000,1455000,-1063000,1990000,13836000,-1126000,-2509000,-9124000,47000,-9077000,2250000,2250000,2250000,16654000,86047000,20366000,0.25991,0.16202,0.1221,0.29314,0.06466,1.77807,0.70105,3.53324,0.48578,0.61508,0.61158,5.03762,2.09826,1.09365,0.08989,0.15982,4.65636,5.10211
"14","2019_Q1",22.1218032786885,"Down",95430000,-67545000,27885000,-8947000,-8947000,18938000,-947000,-947000,17991000,17991000,-4847000,13144000,13144000,13144000,13144000,7909000,7909000,5515000,5515000,20467000,3295000,3295000,37186000,22265000,117473000,65792000,635000,139738000,176924000,45837000,17266000,27866000,50906000,3409000,1982000,73496000,124402000,114239000,-61717000,52522000,52522000,176924000,13144000,1421000,1844000,-3300000,13109000,-2705000,-2705000.00000001,-10995000,0,-10995000,-591000.000000002,-591000.000000002,-591000.000000002,20359000,75156000,19201000,0.2922,0.19845,0.13773,0.25026,0.07429,1.46082,0.73048,2.36857,0.42479,0.70583,0.70136,5.12454,2.8204,1.03108,0.10027,0.14648,3.30306,3.5509
"15","2019_Q2",22.7947619047619,"Up",93641000,-70438000,23203000,-11592000,-11592000,11611000,-920000,-920000,10691000,10691000,-2226000,8465000,8465000,8465000,8465000,6093000,6093000,9310000,9310000,21729000,4263000,3587000,41395000,23929000,116922000,65792000,614000,140851000,182246000,48164000,18609000,29555000,53685000,2302000,2097000,70386000,124071000,114518000,-56343000,58175000,58175000,182246000,8465000,1435000,416000,-6949000,3367000,-3425000,-3422000,-1656000,-105000,-1761000,-1816000,-1816000,-1816000,13046000,73605000,4898000,0.24779,0.12399,0.0904,0.14551,0.04645,0.57862,0.77107,2.13272,0.40388,0.45398,0.45102,5.02203,3.11997,0.26268,0.06313,0.03653,5.17492,5.81449
"16","2019_Q3",16.29515625,"Down",121541000,-94467000,27074000,-12352000,-12352000,14722000,-2042000,-2042000,12680000,12680000,-2492000,10188000,10188000,10188000,10188000,18494000,18494000,6394000,6394000,27685000,4562000,3505000,57135000,27540000,186922000,101389000,760000,214462000,271597000,53436000,13945000,39491000,64081000,3271000,2294000,138791000,202872000,114881000,-46156000,68725000,68725000,271597000,10187000,1924000,1909000,10474000,24494000,-2597000,-84324000,72272000,-41000,72231000,12401000,12401000,12401000,16646000,146165000,27015000,0.22276,0.12113,0.08382,0.14824,0.03751,2.65165,0.89161,2.95194,0.53817,0.54618,0.54271,6.51586,3.68437,1.44828,0.0467,0.12383,7.66977,8.67212
"17","2019_Q4",15.765625,"Down",128390000,-97034000,31356000,-12893000,-12893000,18463000,-1867000,-1867000,16596000,16596000,-3834000,12762000,12762000,12762000,12762000,5461000,5461000,17669000,17669000,3e+07,4976000,4547000,58106000,30804000,186279000,101760000,733000,217083000,275189000,64234000,20684000,42337000,73729000,3179000,2628000,119601000,193330000,115252000,-33393000,81859000,81859000,275189000,12763000,2091000,744000,-3907000,11691000,-4365000,-4365000,-20359000,0,-20359000,-13033000,-13033000,-13033000,20554000,125917000,16116000,0.24422,0.1438,0.0994,0.1559,0.04638,1.26281,0.7881,2.36174,0.45757,0.68401,0.6804,6.88133,4.38741,0.86377,0.0605,0.0764,5.86047,6.52418
"18","2020_Q1",14.6467741935484,"Down",122809000,-91315000,31494000,-12031000,-8539000,19463000,-1684000,-1684000,17779000,-13221000,3160000,-10061000,-10061000,-10061000,-10061000,5826000,5826000,12463000,12463000,30660000,5415000,4464000,54364000,33636000,160773000,74030000,704000,194409000,248773000,59821000,17974000,41421000,68546000,2895000,2895000,107911000,176457000,115770000,-43454000,72316000,72316000,248773000,-10061000,2337000,24341000,-283000,16334000,-3670000,-3675000,-11563000,-731000,-12294000,364999.999999996,364999.999999996,364999.999999996,21800000,113741000,14687000,0.25645,0.15848,-0.08192,-0.13913,-0.04044,-1.4598,0.7931,2.44008,0.45721,-0.53921,-0.53587,6.58186,3.87573,0.78714,-0.05325,0.07773,4.95023,5.54462
"19","2020_Q2",12.5869841269841,"Down",109789000,-84256000,25533000,-12836000,-11849000,12697000,-1344000,-1344000,11353000,11353000,-2730000,8623000,8623000,8623000,8623000,6411000,6411000,9287000,9287000,34914000,5975000,4560000,56587000,35982000,164665000,74030000,5734000,200647000,257234000,58555000,16974000,41581000,67289000,3715000,3715000,108836000,176125000,115940000,-34831000,81109000,81109000,257234000,8623000,2371000,1182000,-6934000,5242000,-4314000,-4314000,-14806298.6642806,-343000,-343000,585000,585000,585000,15068000,113855000,6550000,0.23256,0.11565,0.07854,0.10631,0.03352,0.7596,0.84095,2.17146,0.44261,0.46054,0.45938,5.86359,4.33186,0.34982,0.0434,0.03297,7.13061,8.46216
"20","2020_Q3",20.0225,"Up",99628000,-78486000,21142000,-10807000,-9820000,10335000,-1237000,-1237000,9098000,9098000,-2219000,6879000,6879000,6879000,6879000,5448000,5448000,4383000,4383000,29486000,6021000,4259000,45338000,41562000,158918000,74030000,1505000,200480000,245818000,48440000,9637000,38803000,57434000,3791000,3791000,100474000,157908000,115862000,-27952000,87910000,87910000,245818000,6879000,2682000,883999.999999996,4157000,14602000,-7163000,-7163000,-8292000,-110000,-8402000,-963000.000000002,-963000.000000002,-963000.000000002,13017000,105677000,12230000,0.21221,0.10374,0.06905,0.07825,0.02798,1.77787,0.78939,1.79625,0.4299,0.36726,0.36647,5.31897,4.69337,0.65294,0.03485,0.06196,7.69985,9.69802
"21","2020_Q4",22.29875,"Up",102562000,-81288000,21274000,-12014000,-11027000,9260000,-1086000,-1086000,8174000,-48263000,11550000,-36713000,-36713000,-36713000,-36713000,40991000,40991000,10148000,10148000,37159000,10682000,4979000,98980000,41669000,109619000,29593000,1398000,151288000,250268000,56920000,14008000,42912000,65924000,3559000,3559000,132988000,198912000,116021000,-64665000,51356000,51356000,250268000,-36713000,2633000,49016000,-10880000,4056000,-2099000,-2099000,32645000,941000,33586000,35543000,35543000,35543000,11893000,138433000,-12636000,0.20743,0.09029,-0.35796,-0.71487,-0.14669,0.34418,1.50143,3.8732,0.55314,-1.95913,-1.96826,5.47304,2.74052,-0.6743,-0.18988,-0.06535,8.19321999999999,10.52289
"22","2021_Q1",27.726393442623,"Up",51094000,-43687000,7407000,-9829000,-8842000,-2422000,-1378000,-1378000,-3800000,-3800000,964000,-2835999.99999999,-2836000,-2836000,-2836000,16319000,16319000,6145000,6145000,25636000,8643000,3719000,56743000,40481000,110699000,29593000,1177000,151180000,207923000,46495000,10510000,35985000,55427000,3960000,3960000,103626000,159053000,116371000,-67501000,48870000,48870000,207923000,-2836000.00000001,2841000,-2728000,9021000,6298000,-642000,-641999.999999999,-29710000,-618000,-30328000,-24672000,-24672000,-24672000,419000,108598000,7834000,0.14497,-0.0474,-0.05551,-0.05803,-0.01364,-2.76234,1.02374,3.25461,0.5223,-0.1513,-0.151299999999999,2.7259,2.60725,0.41795,-0.01757,0.04853,220.23628,-38.10033
"23","2021_Q2",27.9349206349206,"Up",103745000,-77515000,26230000,-12826000,-11839000,13404000,-1019000,-1019000,12385000,12385000,-2818000,9567000,9567000,9567000,9567000,8858000,8858000,12993000,12993000,32601000,6448000,3644000,60900000,40659000,109661000,29593000,1086000,150320000,211220000,51566000,15675000,35891000,60509000,4362000,4362000,91788000,152297000,116857000,-57934000,58923000,58923000,211220000,9567000,2739000,1803000,-6737000,7372000,-2042000,-2042000,-12355000,-436000,-12791000,-7461000,-7461000,-7461000,16143000,96369000,10182000,0.25283,0.1292,0.09222,0.16236,0.04529,1.06428,1.00646,2.58468,0.45625,0.50958,0.50708,5.52589,3.13849,0.54234,0.05992,0.06378,5.42098999999999,6.52871999999999
"24","2021_Q3",25.62984375,"Down",118677000,-89404000,29273000,-12328000,-11341000,16945000,-870000,-870000,16075000,16075000,-3574000,12501000,12501000,12501000,12501000,12074000,12074000,7403000,7403000,34570000,8524000,3696000,62571000,55976000,108496000,29593000,1247000,164472000,227043000,55983000,14393000,41590000,65722000,4921000,4921000,89320000,155042000,117434000,-45433000,72001000,72001000,227043000,12501000,2860000,1425000,5997000,22783000,-16861000,-16861000,-2355000,-351000,-2706000,3216000,3216000,3216000,19805000,94138000,12515000,0.24666,0.14278,0.10534,0.17362,0.05506,1.00112,0.95206,2.15333,0.41463,0.66469,0.66044,6.31015,3.82835,0.66543,0.07308,0.07316,4.1436,4.84296
"25","2021_Q4",27.31078125,"Up",147854000,-110627000,37227000,-14664000,-13677000,22563000,-755000,-755000,21808000,21808000,-4240000,17568000,17568000,17568000,17568000,28970000,28970000,10508000,10508000,44954000,7016000,6345000,91448000,58430000,106545000,29593000,1004000,164975000,256423000,70025000,23195000,46830000,80562000,4040000,4040000,85407000,165969000,118319000,-27865000,90454000,90454000,256423000,17568000,2948000,1528000,2194000,24238000,-4876000,-4876000,-2355000,-111000,-2466000,16896000,16896000,16896000,25511000,91904000,27069000,0.25178,0.1526,0.11882,0.19422,0.06851,1.54081,1.13513,1.83484,0.35841,0.93358,0.92514,7.85706,4.80679,1.43847,0.09425,0.14522,2.46693999999999,2.78926
"26","2022_Q1",26.5720967741935,"Down",155532000,-118291000,37241000,-14200000,-13213000,23041000,-748000,-748000,22293000,21560000,-5026000,16534000,16534000,16534000,16534000,39252000,39252000,12080000,12080000,53481000,5414000,5059000,110227000,60495000,105738000,29593000,1116000,166233000,276460000,71423000,23861000,46836000,74289000,4106000,4106000,94383000,168672000,119119000,-11331000,107788000,107788000,276460000,16534000,3083000,801000,-6273000,14145000,-4053000,-4053000,8e+05,-610000,190000,10282000,10282000,10282000,26124000,93143000,20824000,0.23944,0.14814,0.10631,0.15339,0.05981,1.25947,1.48376,1.56485,0.33691,0.87947,0.87351,8.27303,5.73344,1.10767,0.08064,0.10156,2.06289,2.33892
"27","2022_Q2",23.2095161290323,"Down",130650000,-100068000,30582000,-13102000,-12613000,17480000,-382000,-382000,17098000,15998000,-3766000,12232000,10386000,10386000,10386000,11651000,11651000,19105000,19105000,75536000,6459000,5524000,112751000,62335000,103778000,28493000,1033000,166113000,278864000,72511000,28642000,43869000,75379000,4533000,4533000,86092000,161471000,118338000,-945000,117393000,117393000,278864000,12232000,2459000,2690000,-24831000,-13555000,-2550000,-3618000,-8750000,-191000,-10428000,-27601000,-27601000,-27601000,19939000,84427000,-3676000,0.23408,0.13379,0.07949,0.08847,0.03724,-0.35394,1.49579,1.37547,0.30275,0.55097,0.54651,6.93092,6.22765,-0.19501,0.05033,-0.01781,3.64993,4.16339
"28","2022_Q3",22.994375,"Down",144400000,-108039000,36361000,-12742000,-12253000,23619000,-357000,-357000,23262000,23262000,-5403000,17859000,15402000,15402000,15402000,13647000,13647000,8907000,8907000,78382000,4415000,3870000,105351000,62737000,102802000,28493000,994000,165539000,270890000,68146000,18292000,49677000,71016000,4967000,4967000,75808000,146824000,109609000,14457000,124066000,124066000,270890000,32386000,2752000,4539000,47536000,91453000,-9365000,-68485000,7250000,-274000,-509000,22459000,22459000,22459000,26371000,73711000,69945000,0.25181,0.16357,0.10666,0.12414,0.05686,4.54129,1.48348,1.18343,0.27211,0.81707,0.81046,7.66036,6.58165,3.71055,0.07597,0.34499,2.27765,2.54304
