"","YQ","p","d","revenue","sales_services_revenue","other_revenue","cost_of_revenue","cost_of_goods_services","gross_profit","operating_expenses","selling_general_administrative","provision_for_doubtful_accounts","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_payables_accruals","short_term_debt","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","stock_based_compensation","deferred_income_taxes","other_non_cash_adjustments","change_in_working_capital","change_in_accounts_receivable","change_in_inventories","change_in_accounts_payable","change_in_other","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repayment_of_short_term_debt_net","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"21","2015_Q4",23.6803125,"Down",395233000,322634000,72599000,-202901000,-202901000,192332000,-174416000,-113668000,-58208000,17916000,-19702000,-19702000,-1786000,-3153000,732000,-2421000,-2421000,-2421000,-2421000,109071000,109071000,706934000,706934000,238153000,223472000,17958000,182069000,1277630000,139163000,595127000,76923000,33880000,811213000,2088843000,186173000,139429000,4004000,42740000,830000,16636000,16636000,203639000,1158746000,91250000,91250000,1249996000,1453635000,183503000,451705000,635208000,635208000,2088843000,-2421000,11203000,73080000,1151000,-2598000,74527000,-133710000,-103806000,-64576000,35132000,-460000,-51848000,-11437000,-17011000,-17011000,-11437000,346778000,-748257000,-51334000,346000,-129956000,165488000,102203000,102203000,102203000,29119000,1159576000,-116760000,0.48663,0.04533,-0.00613,-0.00381,-0.00116,48.228,6.27399,2.28844,0.55513,-0.06781,-0.06781,11.06971,17.79095,-3.27022,-0.00128,-0.06191,36.07627,58.63502
"22","2016_Q1",15.8139344262295,"Down",456819000,312619352.123085,72631057.1988702,-240631000,-240631000,216188000,-190592000,-121940000,-64780000,25596000,-23921000,-23921000,1675000,1675000,-614000,1061000,1061000,1061000,1061000,12254000,12254000,743931000,743931000,201969000,204846000,20092000,173980000,1.163e+09,151483000,631645000,79172000,8953000,862300000,2025300000,128994000,86797000,2823000,39374000,799000,16332000,16332000,146125000,1248879000,92015000,92015000,1340894000,1487019000,85515000,452766000,538281000,538281000,2025300000,1061000,12695000,81180000,2129000,-3730000,82781000,-201427000,-161536000,36184000,-54716000,-21359000,-106491000,-16700000,-16738000,-16738000,-16700000,112839000,112839000,-99482000,619000,13017000,26374000,-96816999.9999999,-96816999.9999999,-96816999.9999999,38291000,1249678000,-179222000,0.47325,0.05603,0.00232,0.00197,0.00052,-168.918,7.95894,2.76253,0.61703,0.03336,0.03254,14.36493,16.92654,-5.63573,0.00056,-0.09533,32.31631,48.34443
"23","2016_Q2",10.82109375,"Down",389113000,318542000,70571000,-204466000,-204466000,184647000,-171991000,-113247000,-58218000,12656000,-25896000,-25896000,-13240000,-13240000,3491000,-9749000,-9749000,-9749000,-9749000,11542000,11542000,727079000,727079000,181543000,213323000,19300000,178630000,1133487000,163626000,596889000,102823000,33559000,863338000,1996825000,144414000,97515000,2999000,43900000,769000,17298000,17298000,162481000,1203361000,100768000,100768000,1304129000,1466610000,87198000,443017000,530215000,530215000,1996825000,-9749000,14366000,76906000,1297000,955000,74654000,27131000,-4508000,20426000,8718000,2495000,108654000,-16300000,-16996000,-16996000,-16300000,-47441000,-540981000,385000,385000,-46010000,-93066000,-712000,-712000,-712000,27022000,1204130000,34362000,0.47453,0.03253,-0.02505,-0.01839,-0.00488,-3.52467,6.97612,2.76607,0.60302,-0.31796,-0.31796,12.69081,17.29281,1.12071,-0.00531,0.01872,44.13396,94.23104
"24","2016_Q3",7.8475,"Down",398157000,331999000,66158000,-208869000,-208869000,189288000,-182937000,-119846000,-60196000,6351000,-24138000,-24138000,-17787000,-17787000,5863000,-11924000,-11924000,-11924000,-11924000,15535000,15535000,733718000,733718000,191642000,190087000,16482000,153905000,1130982000,174815000,586870000,104511000,33592000,866196000,1997178000,165823000,117628000,1692000,46503000,761000,19701000,19701000,186285000,1181948000,109305000,109305000,1291253000,1477538000,88547000,431093000,519640000,519640000,1997178000,-11924000,13219000,78429000,1589000,-1655000,78495000,-56439000,-67837000,-10099000,20113000,1384000,23285000,-15034000,-15024000,-15024000,-15034000,-26545000,-26545000.0000002,233000,233000,22054000,-4257999.99999999,3992999.99999999,3992999.99999999,3992999.99999999,19570000,1182709000,-57765999.9999999,0.47541,0.01595,-0.02995,-0.02295,-0.00597,4.84452,6.07125,2.84339,0.59219,-0.38801,-0.38801,12.9562,16.90931,-1.87973,-0.00658,-0.03189,59.64098,183.77799
"25","2016_Q4",11.0328571428571,"Up",376773000,308033000,68740000,-192374000,-192374000,184399000,-168008000,-114457000,-51564000,16391000,-23470000,-23470000,-7079000,-7079000,3264000,-3815000,-3815000,-3815000,-3815000,59065000,59065000,688011000,688011000,204537000,227925000,13810000,204185000,1179538000,171753000,619159000,110184000,43274000,901096000,2080634000,170972000,116469000,2435000,52068000,752000,21360000,21360000,193084000,1259009000,111848000,111848000,1370857000,1563941000,89415000,427278000,516693000,516693000,2080634000,-3815000,12788000,78600000,1042000,4009000,73549000,-36501000,-46317000,-12895000,3511000,19200000,51072000,-9784000,-9784000,-9784000,-9784000,76363000,-497947000,206000,206000,-74327000,2242000,43530000,43530000,43530000,29179000,1259761000,-20370000,0.48942,0.0435,-0.01013,-0.00738,-0.00183,5.33945,6.10894,3.02683,0.60547,-0.1238,-0.1238,12.22641,16.76686,-0.66101,-0.00202,-0.01079,41.14932,73.25337
"26","2017_Q1",10.0556451612903,"Down",432805000,285824480.108896,72708879.5875588,-217373000,-217373000,215432000,-186732000,-113346000,-72316000,28700000,-25111000,-25111000,3589000,3589000,-3663000,-74000,-74000,-74000,-74000,23566000,23566000,702162000,702162000,164856000,197089000,14955000,179984000,1087673000,159202000,615904000,78355000,6913000,853461000,1941134000,144711000,101612000,3318000,39781000,849000,21821000,21821000,167381000,1144393000,111570000,111570000,1255963000,1423344000,90586000,427204000,517790000,517790000,1941134000,-74000,12517000,78574000,1073000,-4532000,82033000,-68857000,-89100000,39681000,-13908000,-5530000,22160000,5368000,-4752000,-4752000,5368000,-119076000,-119076000,444000,444000,55605000,-63027000,-35499000,-35499000,-35499000,41217000,1145242000,-18609000,0.49776,0.06631,-0.00017,-0.000139999999999999,-4.00000000000005e-05,251.47297,6.49819,2.74888,0.58999,-0.00240000000000001,-0.00239999999999999,14.00859,16.7593,-0.60232,-4.00000000000001e-05,-0.01049,27.21392,39.08279
"27","2017_Q2",16.1790476190476,"Up",355826000,279285000,76541000,-171950000,-171950000,183876000,-163694000,-106537000,-55930000,20182000,-24008000,-24008000,-3826000,-4175000,1595000,-2580000,-2580000,-2580000,-2580000,112819000,112819000,652046000,652046000,170999000,242194000,16737000,221238000,1178058000,158928000,593329000,80291000,8963000,832548000,2010606000,152047000,104915000,4207000,42925000,1190000,21390000,21390000,174627000,1206452000,112479000,112479000,1318931000,1493558000,92424000,424624000,517048000,517048000,2010606000,-2580000,13245000,69426000,1583000,114000,67729000,10673000,13239000,-6143000,3428000,149000,90764000,-4286000,-4286000,-4286000,-4286000,59383000,-410431000,256000,256000,-7521000,52118000,138596000,138596000,138596000,33427000,1207642000,38219000,0.51676,0.05672,-0.00725,-0.00499,-0.00128,-14.81357,6.74614,2.88863,0.60064,-0.0833,-0.0833,11.48863,16.69405,1.23399,-0.0014,0.0208,32.75266,54.2475
"28","2017_Q3",20.955873015873,"Up",366647000,286413000,80234000,-172306000,-172306000,194341000,-165149000,-111632000,-49449000,29192000,-20039000,-20039000,9153000,7056000,-2783000,4273000,4273000,4273000,4273000,35018000,35018000,644148000,644148000,196768000,161720000,14530000,145837000,1037654000,154788000,601990000,80631000,8196000,837409000,1875063000,156947000,100268000,2138000,54541000,906000.000000004,20955000,20955000,178808000,1060720000,110258000,110258000,1170978000,1349786000,96380000,428897000,525277000,525277000,1875063000,4273000,13135000,61275000,2605000,-1106000,59776000,-78906000,-58265000,-25769000,-6488000,11616000,-222999.999999985,-1849000,-1849000,-1849000,-1849000,-150368000,-150368000,1649000,1649000,-615000,-149334000,-151406000,-151406000,-151406000,42327000,1061626000,-35645000,0.53005,0.07962,0.01165,0.00813,0.00228,-8.34191000000001,5.80317,2.56967,0.56618,0.13742,0.13593,11.79157,16.89319,-1.14636,0.00252,-0.021,24.25421,35.16744
"29","2017_Q4",30.5714285714286,"Up",373172000,291808000,81364000,-175591000,-175591000,197581000,-176728000,-114355000,-56512000,20853000,-18095000,-18095000,2758000,2297000,-728000,1569000,1569000,1569000,1569000,12742000,12742000,635700000,635700000,235479000,150217000,14721000,134302000,1034138000,144747000,616665000,78839000,6285000,840251000,1874389000,174654000,109738000,2513000,62403000,65651000,22018000,22018000,262323000,973278000,109397000,109397000,1082675000,1344998000,98925000,430466000,529391000,529391000,1874389000,1569000,9915000,77576000,1711000,-120000,75985000,-97702000,-75987000,-38711000,11246000,5750000,-8642000,-5860000,-5860000,-5860000,-5860000,-22395000,-79269000,1106000,1106000,-1822000,-23111000,-37613000,-37613000,-37613000,30768000,1038929000,-72066000,0.52946,0.05588,0.0042,0.00296,0.00084,-45.93117,3.94223,2.54065,0.55428,0.05014,0.04939,11.92513,16.91728,-2.30295,0.00094,-0.04295,33.35241,49.21052
"30","2018_Q1",33.2959016393443,"Up",420386000,277315801.560924,80704301.722721,-200497000,-200497000,219889000,-175048000,-117889000,-54984000,44841000,-18018000,-18018000,26823000,26456000,-23255000,3201000,3201000,3201000,3201000,9286000,9286000,636825000,636825000,211894000,222012000,31592000,158058000,1080017000,143152000,650608000,27022000,5457000,820782000,1900799000,140729000,71617000,2939000,66173000,907000.000000015,22475000,22475000,164111000,1090105000,111515000,111515000,1201620000,1365731000,101401000,433667000,535068000,535068000,1900799000,3201000,8788000,129307000,2781000,50990000,75536000,-171834000,-112105000,23585000,-39406000,-43908000,-30538000,-4923000,-4923000,-4923000,-4923000,53212000,-462134000,307000,307000,18085000,71604000,36143000,36143000,36143000,53629000,1091012000,-99873000,0.52306,0.10667,0.00761,0.00598,0.00168,-31.20056,6.58102,2.55244,0.57398,0.10191,0.09718,13.38347,17.0345,-3.17957,0.00184,-0.05748,20.17054,24.12359
"31","2018_Q2",28.7046875,"Down",358387000,275756000,82631000,-166589000,-166589000,191798000,-159034000,-114878000,-44156000,32764000,-16820000,-16820000,15944000,15538000,-2806000,12732000,12732000,12732000,12732000,6190000,6190000,618160000,618160000,190312000,166551000,15664000,150267000,981213000,141314000,635508000,26714000,4662000,803536000,1784749000,149433000,82362000,9752000,57319000,23180000,21361000,21361000,193974000,929535000,111585000,111585000,1041120000,1235094000,102299000,447356000,549655000,549655000,1784749000,12732000,10952000,59364000,2520000,-742000,57586000,52291000,-22518000,21582000,11055000,42172000,135339000,-6169000,-6169000,-6169000,-6169000,-139713000,-162034000,267000,267000,-2968000,-142414000,-13244000,-13244000,-13244000,43716000,952715000,92644000,0.53517,0.09142,0.03553,0.02316,0.00713,7.27647,5.05848,2.24703,0.53381,0.40367,0.39232,11.36269,17.42686,2.93729,0.00789,0.0574,21.65168,28.88918
"32","2018_Q3",35.7626984126984,"Up",384620000,296313000,88307000,-173627000,-173627000,210993000,-171741000,-120690000,-50751000,39252000,-15566000,-15566000,23686000,22319000,-5308000,17011000,17011000,17011000,17011000,4435000,4435000,622009000,622009000,195728000,153989000,13831000,139454000,976161000,142631000,647494000,30215000,7129000,820340000,1796501000,178071000,85001000,3149000,89921000,1149000,22763000,22763000,201983000,916081000,108790000,108790000,1024871000,1226854000,105281000,464366000,569647000,569647000,1796501000,17011000,10864000,67147000,3042000,-1034000.00000001,65139000,-74709000,-92492000,-5415000,36000,23162000,20313000,-5997000,-5997000,-5997000,-5997000,-36910000,-135649000,567000,567000,-4795000,-41138000,-26822000,-26822000,-26822000,50116000,917230000,-25282000,0.54858,0.10205,0.04423,0.02986,0.00947,-1.48621,4.83289,2.15371,0.51056,0.53744,0.5276,12.15152,17.99718,-0.79875,0.01066,-0.01584,18.21364,23.25474
"33","2018_Q4",27.0553968253968,"Down",373824000,283874000,89950000,-166886000,-166886000,206938000,-171465000,-118380000,-47548000,35473000,-15098000,-15098000,20375000,20375000,-5745000,14630000,14630000,14630000,14630000,3492000,3492000,630396000,630396000,227164000,149515000,15164000,133795000,1010567000,146326000,654320000,29799000,6642000,830445000,1841012000,197966000,110359000,7339000,80268000,804000,22206000,22206000,220976000,920366000,112636000,112636000,1033002000,1253978000,108037000,478997000,587034000,587034000,1841012000,14630000,10241000,68770000,2952000,-71000,65889000,-67199000,-50596000,-31436000,24266000,-9433000,26442000,-10443000,-10443000,-10443000,-10443000,5709000,-315941000,221000,221000,-4486000,1444000,17443000,17443000,17443000,45714000,921170000,-26183000,0.55357,0.09489,0.03914,0.02492,0.00795,-1.78968,4.5732,2.13612,0.50036,0.46133,0.45263,11.78777,18.51091,-0.82563,0.00903,-0.01615,20.07433,25.86976
"34","2019_Q1",21.552131147541,"Down",432982000,338731000,94251000,-195033000,-195033000,237949000,-184183000,-126613000,-55627000,53766000,-15220000,-15220000,38546000,38546000,-9070000,29476000,29476000,29476000,29476000,5912000,5912000,652769000,652769000,220034000,135679000,9169000,126103000,1014394000,148983000,686344000,35186000,7651000.00000001,870513000,1884907000,161453000,71118000,8902000,81433000,54109000,22006000,22006000,237568000,901222000,126142000,126142000,1027364000,1264932000,111503000,508472000,619975000,619975000,1884907000,29476000,-473000,87440000,3703000,-4377000,88114000,-146736000,-129557000,7129000,-35856000,11548000,-30293000,-10205000,-10205000,-10205000,-10205000,32475000,63249000,182000,182000,-757000,31900000,-8598000,-8598000,-8598000,53293000,955331000,-94578000,0.54956,0.12418,0.06808,0.04754,0.01564,-3.20864,4.26991,2.0403,0.50683,0.92785,0.90749,13.62954,19.51576,-2.97715,0.01732,-0.05559,17.81508,17.65835
"35","2019_Q2",21.9804761904762,"Up",353512000,261979000,91533000,-157228000,-157228000,196284000,-157265000,-117914000,-40046000,39019000,-14497000,-14497000,24522000,24522000,-5013000,19509000,19509000,19509000,19509000,9767000,9767000,642385000,642385000,213102000,153948000,14279000,135703000,1019202000,153696000,652879000,264507000,239644000,1071082000,2090284000,127982000,57266000,1830000,68886000,25191000,35275000,11317000,188448000,919250000,334767000,334767000,1254017000,1442465000,113678000,534141000,647819000,647819000,2090284000,19509000,10625000,67622000,3217000,1224000,63181000,-48096000,-6852000,6932000,-13852000,-34324000,49660000,-13119000,-13119000,-13119000,-13119000,-8875000,-361714000,403000,403000,-5196000,-13668000,22873000,22873000,22873000,49644000,944441000,-6558000,0.55524,0.11038,0.05519,0.03011,0.00933,-0.33615,5.4084,2.22665,0.45182,0.61191,0.60132,11.08814,20.31927,-0.2057,0.01012,-0.0034,18.82753,23.95433
"36","2019_Q3",21.021875,"Down",401059000,306062000,94997000,-182065000,-182065000,218994000,-177220000,-127484000,-49736000,41774000,-14396000,-14396000,27378000,27378000,-7404000,19974000,19974000,19974000,19974000,7563000,7563000,664980000,664980000,213513000,145986000,9948000,135275000,1032042000,174225000,653831000,286127000,260515000,1114183000,2146225000,158914000,73205000,4308000,81401000,2558000,44627000,11229000,206099000,945981000,357410000,357410000,1303391000,1509490000,116965000,554114000,636735000,636735000,2146225000,19974000,11267000,83098000,3419000,-749000.000000001,80428000,-74555000,-106333000,-411000.000000002,14615000,17574000,39784000,-20211000,-20211000,-20211000,-20211000,1941999.99999999,24551999.9999999,-32825000,194000.000000001,-718000,-31601000,-12028000,-12028000,-12028000,53041000,948539000,-34321000,0.54604,0.10416,0.0498,0.03137,0.00931,-1.71828,5.00751,2.37067,0.44196,0.63533,0.62512,12.75688,20.25326,-1.09168,0.01028,-0.01767,17.74054,22.5254
"37","2019_Q4",20.94796875,"Down",376127000,280122000,96005000,-170453000,-170453000,205674000,-175370000,-125608000,-45925000,30304000,-15051000,-15051000,15253000,15253000,-3784000,11469000,11469000,11469000,11469000,4672000,4672000,666922000,666922000,247614000,128544000,10861000,115995000,1047752000,172341000,660521000,276211000,253303000,1109073000,2156825000,162685000,85908000,2184000,74593000,607000,49539000,10998000,212831000,965063000,348554000,348554000,1313617000,1526448000,120190000,569258000,630377000,630377000,2156825000,11469000,5279000,91021000,3216000,2371000,85434000,-104684000,-52028000,-34102000,13550000,-32104000,3085000,-14994000,-14994000,-14994000,-14270000,15464000,17538000,-25814000,238000,-328000,-10678000,-21863000,-21863000,-21863000,35583000,965670000,-80311000,0.54682,0.08057,0.03049,0.01819,0.00532,-7.00244,4.92293,2.42148,0.44773,0.39456,0.38661,12.93969,21.68651,-2.76289,0.0059,-0.0413,27.00722,31.71192
"38","2020_Q1",8.16032258064516,"Down",412988000,315072000,97916000,-188038000,-188038000,224950000,3689000,-132018000,135707000,228639000,-15163000,-15163000,213476000,7165000,-2113000,5052000,5052000,5052000,5052000,5484999.99999999,5484999.99999999,673742000,673742000,219756000,159883000,11445000,144123000,1058866000,173031000,663761000,273111000,254512000,1109903000,2168769000,114038000,48554000,2394000,63090000,605000,47627000,12237000,162270000,1025535000,353784000,353784000,1379319000,1541589000,122834000,570636000,627180000,627180000,2168769000,5052000,9670000,114143000,2698000,4642000,106803000,-141328000,-107130000,27859000,-37354000,-24703000,-12463000,-8498000,-9222000,-9222000,-9222000,60513000,-425447000,-7066000,-67125000,-4826000,48621000,26936000,26936000,26936000,238309000,1026140000,90596000,0.54469,0.55362,0.01223,0.00805999999999999,0.00233,17.9327,6.52533,2.45797,0.47314,0.17594,0.17303,14.38266,21.84207,3.15508,0.00252,0.04514,4.28291,4.46405
"39","2020_Q2",6.60666666666667,"Down",317160000,230330000,86830000,-147014000,-147014000,170146000,-232388000,-113007000,-117326000,-62242000,-14993000,-14993000,-77235000,-77235000,21033000,-56202000,-56202000,-56202000,-56202000,287337000,287337000,548169000,548169000,204923000,156441000,7725000,126319000,1196870000,186655000,530385000,323376000,276630000,1040416000,2237286000,140019000,61437000,3187000,75395000,772000,44588000,13221000,185379000,1172987000,383111000,383111000,1556098000,1741477000,124156000,437943000,495809000,495809000,2237286000,-56202000,9817000,149518000,2430000,-5975000,153063000,49391000,38721000,14833000,12884000,-17047000,152524000,-16682000,-16682000,-16682000,-16682000,145366000,145366000,177000,177000,-1448000,144095000,279937000,279937000,279937000,-52425000,1173759000,-40749000,0.53647,-0.19625,-0.1772,-0.11335,-0.02512,0.72505,6.45634,3.51239,0.52464,-1.94994,-1.94994,11.00394,17.20221,-1.4138,-0.02738,-0.01985,-16.90838,-14.24154
"40","2020_Q3",10.795625,"Up",366916000,279736000,87180000,-176623000,-176623000,190293000,-148857000,-115278000,-32045000,41436000.0000001,-13222000,-13222000,28213999.9999999,28214000,-7694000,20520000,20520000,20520000,20520000,6385000,6385000,514528000,514528000,180893000,144150000,9440000,119171000,845956000,192300000,479632000,323812000,280569000,995744000,1841700000,139137000,63269000,2149000,73719000,758000,53938000,15935000,193833000,748902000,380379000,380379000,1129281000,1323114000,126412000,458464000,518586000,518586000,1841700000,20520000,10112000,67410000,2253000,3503000,61654000,55159000,38092000,24030000,558000,-7521000,153201000,-15777000,-15777000,-15777000,-15777000,-427846000,-427846000,161000,161000,-310000,-427995000,-290571000,-290571000,-290571000,51548000,749660000,98624000,0.51863,0.11293,0.05593,0.03957,0.01114,4.80624,4.36435,2.55139,0.40705,0.70578,0.70578,12.62006,17.83674,3.39217,0.01245,0.05982,14.41909,17.9379
"41","2020_Q4",11.38828125,"Up",334158000,259772000,74386000,-160378000,-160378000,173780000,-149651000,-122158000,-27493000,24129000,-11563000,-11563000,12566000,12566000,-5147000,7419000,7419000,7419000,7419000,107822000,107822000,489841000,489841000,216161000,155363000,9944000,134788000,969187000,191079000,444352000,328838000,284113000,964269000,1933456000,165565000,74338000,1036000,90191000,769000,50428000,12765000,216762000,800586000,387637000,387637000,1188223000,1404985000,128878000,465883000,528471000,528471000,1933456000,7419000,10577000,59057000,2305000,-1482000,58234000,2684000,14462000,-35268000,9981000,13509000,79737000,-14185000,-14185000,-14185000,-14185000,50387000,-189713000,195000,195000,-159000,50423000,115975000,115975000,115975000,34706000,801355000,28352000,0.52005,0.07221,0.0222,0.01404,0.00384,3.82154,4.4712,2.65858,0.41447,0.25456,0.25456,11.46542,18.13257,0.9728,0.00432,0.01651,19.98309,28.74272
"42","2021_Q1",14.7395081967213,"Up",367791000,294473000,73318000,-184300000,-184300000,183491000,45803000,-128324000,176864000,229294000,-10603000,-10603000,218691000,17128000,7998000,25126000,25126000,25126000,25126000,9703000,9703000,478734000,478734000,196463000,159163000,8831000,112273000,844063000,190962000,430749000,289310000,279862000,911021000,1755084000,153804000,69367000,1447000,82990000,934000,57018000,13007000,211756000,608635000,377538000,377538000,986173000,1197929000,132435000,491010000,557155000,557155000,1755084000,25126000,10562000,96687000,2342000,35277000,59068000,-55722000,-20809000,19698000,-5916000,-48695000,76653000,-9283000,-9283000,-9283000,-9283000,-188375000,-104051000,165000,-533000,-5096000,-193306000,-125936000,-125936000,-125936000,239856000,609569000,166853000,0.4989,0.62344,0.06832,0.0451,0.01432,6.64065,3.98602,2.15008,0.34732,0.86046,0.86046,12.59525,19.08015,5.71399,0.01627,0.10805,2.50094,2.61614
"43","2021_Q2",23.0977777777778,"Up",363702000,291296000,72406000,-184879000,-184879000,178823000,-108913000,-126049000,17136000,69910000,-9204000,-9204000,60706000,59488000,-14090000,45398000,45398000,45398000,45398000,6568000,6568000,457215000,457215000,202900000,147329000,10948000,101896000,814012000,186613000,404335000,277202000,277202000,868150000,1682162000,150066000,64947000,1843000,83276000,898000,66554000,15452000,217518000,492055000,368815000,368815000,860870000,1078388000,133656000,536408000,603774000,603774000,1682162000,45398000,11342000,21261000,2039000,9448000,9774000,52772000,69012000,-6438000,-4421000,-5381000,130773000,-9457000,-9457000,-9457000,-9457000,18956000,-43944000,180000,180000,-142497000,-123361000,-2045000,-2045000,-2045000,81252000,492953000,138657000,0.49167,0.19222,0.12482,0.07519,0.02699,3.05425,3.74227,1.78608,0.29305,1.56219,1.56219,12.51533,20.77644,4.77132,0.03098,0.09461,5.98613,6.9573
"44","2021_Q3",23.7596875,"Up",418383000,346785000,71598000,-216042000,-216042000,202341000,-148132000,-137870000,-10262000,54209000,-6088000,-6088000,48121000,48121000,-11117000,37004000,37004000,37004000,37004000,8736000,8736000,461491000,461491000,223662000,139169000,20725000,86221000,833058000,186072000,415208000,274609000,274609000,875889000,1708947000,190312000,89001000,2233000,99078000,1371000,69737000,14937000,261420000,438242000,366835000,366835000,805077000,1066497000,135328000,573412000,642450000,642450000,1708947000,37004000,11494000,40258000,1677270.6937195,-48594557.0896477,-54725956.8349233,-42590000,209330225.829931,-78771625.8232743,8225625.02395549,90634202.3589237,46166000,-9705000,-9705000,-9705000,-9705000,-54643000,17170062.1363932,187000,187000.000000001,-523000,-54979000,-18518000.0000001,-18518000.0000001,-18518000.0000001,65703000,439613000,24525000,0.48363,0.12957,0.08845,0.0576,0.02165,0.66277,3.18667,1.66005,0.25724,1.2594,1.2305,14.23935,21.86531,0.83469,0.02554,0.01693,6.55795,7.94844
"45","2021_Q4",22.55046875,"Down",405458000,334583000,70875000,-211298000,-220928861.854532,194160000,-138081000,-138081000,365737.827768125,56079000,-5206000,-5206000,50873000,24341000,-6102000,18239000,18239000,18239000,18239000,10597000,10597000,460808000,460808000,263134000,118871000,9745000,100339000,853410000,188502000,426220000,318447000,318447000,933169000,1786579000,221856000,91084000,2718000,128054000,942000,64074000,13684000,286872000,459319000,376873000,376873000,836192000,1123064000,138154000,591651000,663515000,663515000,1786579000,18239000,11397000,51401000,1585627.591626,-93539676.1195303,-95413009.1132311,-90300000,304118834.439908,-133719501.097699,18621166.6986073,160450603.145232,-9263000,-13988000,-12555894.1728202,-12555894.1728202,-13988000,19773000,49475082.8485242,220000,220000,-314000,19679000,-3572000,-3572000,-3572000,67476000,460261000,-30710000,0.47887,0.13831,0.04498,0.02749,0.01021,-1.68375,2.97488,1.6926,0.25762,0.62075,0.6065,13.79946,22.58224,-1.04519,0.01215,-0.02046,6.66406,8.0184
"46","2022_Q1",21.5429032258065,"Down",402488000,332725000,69763000,-213768000,-199513812.089248,188720000,-152041000,-142490000,-6874000,36679000,-5260000,-5260000,31419000,9767000,-2203000,7564000,7564000,7564000,7564000,7707000,7707000,455787000,455787000,246826000,110486000,8756000,94985000,820806000,192763000,432431000,308466000,308466000,933660000,1754466000,187424000,74705000,3007000,109712000,889000,54534000,13970800.1028178,242847000,522149000,374651000,351731000,896800000,1139647000,140749000,599215000,614819000,614819000,1754466000,7564000,11217000,56047000,2063170.6937195,-89411707.0896477,-75828806.8349233,-66102000,270746025.829931,-125622625.823274,17839375.0239555,141470202.358924,8725999.99999999,-11709000,-16709678.1099765,-16709678.1099765,-11709000,-71559000,58391312.1363932,-55162000,-55971000,133216000,6495000,3512000,3512000,3512000,47896000,523038000,-27712000,0.46888,0.09113,0.01879,0.0123,0.00431,-3.66367,3.37993,1.85363,0.29812,0.26028,0.26028,13.85,21.15651,-0.9536,0.005,-0.01832,10.75937,14.04976
"47","2022_Q2",13.1383870967742,"Down",339821000,272264000,67557000,-178382000,-178382000,161439000,-147514000,-132783000,-14731000,13925000,-5521000,-5521000,8404000,8404000,-2183000,6221000,6221000,6221000,6221000,10456000,10456000,434639000,434639000,255648000,106699000,10361000,91837000,807442000,208619000,407072000,304600000,304600000,920291000,1727733000,173340000,71659000,3378000,98303000,882000,71040000,14494000,245262000,572350000,355730000,355730000,928080000,1173342000,142325000,605436000,554391000,554391000,1727733000,6221000,11429000,43659000,3409000,-234999.99999997,40485000,-14193000,26580000,-8821999.99999997,-3045999.99999999,-28905000.0000001,47116000,-18957000,-18957000,-18957000,-18957000,49339000,49339000,-71502000,194000,-2251000,-24414000,3745000,3745000,3745000,25354000,573232000,-5613000,0.47507,0.04098,0.01831,0.01122,0.0036,-0.90227,3.29216,2.11645,0.33178,0.25083,0.24576,13.70136,22.35268,-0.22631,0.00419,-0.00378,22.19673,40.41479
