"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2012_Q4",21.145,"Up",550511000,-469579000,-438312000,-28727000,-2540000,80932000,-2571000,-2860000,289000,78361000,78361000,-27317000,51044000,51044000,51044000,51044000,6901999.99999999,6901999.99999999,248254000,248254000,50583000,25495000,5570000,305739000,1351358000,57525000,38062000,1408883000,1714622000,157655000,56930000,100725000,40659000,40659000,237628000,243497000,247009000,146843000,100166000,490506000,728134000,143017000,843471000,986488000,986488000,1714622000,51044000,28727000,14158000,-15613000,78316000,-97295000,-97295000,14866000,-4113000,-4113000,-4113000,109659000,282811000,24068000,0.14701,0.09272,0.05174,0.02977,0.47151,1.28663,0.73811,0.16494,0.39493,0.39493,4.25936,7.63255,0.18622,0.03366,0.01587,2.51606,3.40915
"12","2013_Q1",23.6828333333333,"Up",533797000,-466281000,-434801000,-29948000,-1532000,67516000,-3237000,-2749000,-488000,64279000,64279000,-24798000,39481000,39481000,39481000,39481000,12857000,12857000,219039000,219039000,43132000,21754000,1324000,275028000,1379305000,58181000,38718000,1437486000,1712514000,145844000,44891000,100953000,40317000,33990000,225139000,201429000,259977000,153186000,106791000,461406000,686545000,143017000,882952000,1025969000,1025969000,1712514000,39481000,29948000,5096000,30793000,105318000,-56959000,-56959000,-42404000,5955000,5955000,5955000,97464000,240407000,96096000,0.12648,0.07396,0.03848,0.02305,2.43398,1.22159,0.66917,0.14038,0.30547,0.30547,4.13004,7.93803,0.7435,0.02587,0.06296,2.33471,3.37031
"13","2013_Q2",26.1865625,"Up",538416000,-472472000,-441041000,-29834000,-1597000,65944000,-2460000,-2386000,-74000,63484000,63484000,-22931000,40553000,40553000,40553000,40553000,29183000,29183000,248225000,248225000,47556000,26140000,2092000,324964000,1375749000,60479000,41016000,1436228000,1761192000,143533000,41471000,102062000,71978000,34681000,254130000,180714000,259826000,148720000,111106000,440540000,694670000,143017000,923505000,1066522000,1066522000,1761192000,40553000,29834000,-3689000,-3164000,63534000,-26134000,-26134000,-21074000,16326000,16326000,16326000,95778000,219333000,89411000,0.12248,0.07532,0.03802,0.02303,2.20479,1.27873,0.65134,0.12454,0.31376,0.31376,4.16578,8.25179,0.69178,0.02624,0.05785,1.98532,2.88351
"14","2013_Q3",29.02921875,"Up",590304000,-492731000,-462197000,-30517000,-17000,97573000,-2695000,-2361000,-334000,94878000,94878000,-36623000,58255000,58255000,58255000,58255000,7370000,7370000,267690000,267690000,49022000,26264000,3153000,324082000,1469392000,61256000,41793000,1530648000,1854730000,177309000,66718000,110591000,57416000,34070000,273128000,190394000,266431000,154804000,111627000,456825000,729953000,143017000,981760000,1124777000,1124777000,1854730000,58255000,30517000,3424000,-1866000,90330000,-121607000,-121607000,9464000,-21813000,-21813000,-21813000,128090000,228797000,41240000,0.16529,0.09869,0.05179,0.03141,0.70792,1.18656,0.64898,0.12336,0.45072,0.45072,4.56724,8.70251,0.31908,0.03596,0.02546,1.72868,2.26935
"15","2013_Q4",32.04453125,"Up",616458000,-518382000,-482581000,-32914000,-2887000,98076000,-2823000,-2434000,-389000,95253000,95253000,-35104000,60149000,60149000,60149000,60149000,12104000,12104000,268223000,268223000,52949000,23713000,7261000,333276000,1508617000,62786000,43323000,1571403000,1904679000,173876000,54512000,119364000,36532000,36307000,248811000,167710000,303232000,185408000,117824000,470942000,719753000,143017000,1041909000,1184926000,1184926000,1904679000,60149000,32914000,28372000,-21913000,99522000,-72104000,-72104000,-22684000,4734000,4734000,4734000,130990000,206113000,72077000,0.1591,0.09757,0.05076,0.03158,1.19831,1.33947,0.60742,0.10821,0.46538,0.46538,4.7696,9.16789,0.55767,0.0355,0.04254,1.4811,1.97815
"16","2014_Q1",35.4345901639344,"Up",592470000,-515625000,-483926000,-33807000,2108000,76845000,-1774000,-2292000,518000,75071000,75071000,-27915000,47156000,47156000,47156000,47156000,30174000,30174000,248069000,248069000,54736000,21262000,10225000,332979000,1543059000,56051000,36588000,1599110000,1932089000,155455000,36788000,118667000,40952000,38784000,232122000,155714000,312171000,189117000,123054000,467885000,700007000,143017000,1089065000,1232082000,1232082000,1932089000,47156000,33807000,-1114000.00000001,17431000,97280000,-64526000,-64526000,-14684000,18070000,18070000,18070000,110652000,191429000,91472000,0.1297,0.07959,0.03827,0.02441,1.93977,1.4345,0.56815,0.09908,0.36485,0.36485,4.584,9.53274,0.70773,0.02717,0.0527,1.45732,2.09844
"17","2014_Q2",39.3925396825397,"Up",620276000,-540224000,-502009000,-34092000,-4123000,80052000,-2818000,-2043000,-775000,77234000,77234000,-31347000,45887000,45887000,45887000,45887000,41244000,41244000,285249000,285249000,62481000,33432000,3323000,388974000,1586076000,56718000,37255000,1642794000,2031768000,192251000,71764000,120487000,65540000,39525000,293505000,1.45e+08,315294000,189892000,125402000,460294000,753799000,143017000,1134952000,1277969000,1277969000,2031768000,45887000,34092000,-854000,20443000,99568000,-77783000,-77783000,-10715000,11070000,11070000,11070000,114144000,180714000,88151000,0.12906,0.07398,0.03591,0.02258,1.92105,1.32527,0.58984,0.08894,0.35503,0.35503,4.79914,9.88778,0.68203,0.02587,0.04969,1.22188,1.74224
"18","2014_Q3",43.0265625,"Up",702987000,-580292000,-543341000,-35121000,-1830000,122695000,-1631000,-1596000,-35000.0000000002,121064000,121064000,-47215000,73849000,73849000,73849000,73849000,19789000,19789000,302262000,302262000,60322000,29657000,3943000,382373000,1676357000,65333000,45870000,1741690000,2124063000,195584000,63783000,131801000,66265000,40764000,297563000,1.64e+08,310682000,178115000,132567000,474682000,772245000,143017000,1208801000,1351818000,1351818000,2124063000,73849000,35121000,-16017000,-10848000,82105000,-122560000,-122560000,1.9e+07,-21455000,-21455000,-21455000,157816000,199714000,71623000,0.17453,0.10505,0.05463,0.03477,0.96986,1.28502,0.57126,0.09402,0.57138,0.57138,5.43908,10.45915,0.55415,0.03966,0.03846,1.14009,1.46644
"19","2014_Q4",48.45140625,"Up",743586000,-617324000,-572267000,-37707000,-7350000,126262000,-2395000,-1444000,-951000,123867000,123867000,-45958000,77909000,77909000,77909000,77909000,8169000,8169000,322395000,322395000,64037000,29841000,7086000,394601000,1730894000,63044000,43581000,1793938000,2188539000,196331000,47285000,149046000,54556000,41948000,286601000,148203000,324008000,185828000,138180000,472211000,758812000,143017000,1286710000,1429727000,1429727000,2188539000,77909000,37707000,7421000,-26695000,96342000,-92165000,-92165000,-15797000,-11620000,-11620000,-11620000,163969000,183917000,91067000,0.1698,0.10477,0.05449,0.0356,1.16889,1.37683,0.53074,0.08404,0.60279,0.60279,5.7532,11.06194,0.70459,0.04021,0.047,1.07184,1.39193
"20","2015_Q1",49.3931147540984,"Up",721048000,-608750000,-564560000,-39546000,-4644000,112298000,-1949000,-1419000,-530000,110349000,110349000,-40480000,69869000,69869000,69869000,69869000,34787000,34787000,303170000,303170000,65815000,21085000,44730000,403772000,1743245000,59849000,40386000,1803094000,2206866000,177653000,45314000,132339000,42271000,42271000,255638000,1.2e+08,337164000,191412000,145752000,457164000,712802000,143010000,1351054000,1494064000,1494064000,2206866000,69869000,39546000,34278000,-30034000,113659000,-53306000,-53306000,-33735000,26618000,26618000,26618000,151844000,155714000,108984000,0.15574,0.0969,0.04676,0.03166,1.55983,1.57947,0.47709,0.07056,0.54065,0.54065,5.57954,11.56122,0.84333,0.03516,0.05485,0.79639,1.07684
"21","2015_Q2",46.46,"Down",696245000,-592680000,-549300000,-38788000,-4592000,103565000,-1735000,-1498000,-237000,101830000,101830000,-39306000,62524000,62524000,62524000,62524000,113038000,113038000,317705000,317705000,69150000,28711000,7445000,499893000,1778471000,62020000,42557000,1840491000,2340384000,201824000,48955000,152869000,91902000,43964000,321682000,120596000,354845000,205617000,149228000,475441000,797123000,142992000,1400269000,1543261000,1543261000,2340384000,62524000,38788000,-33000,71315000,172594000,-70302000,-70302000,-24041000,78251000,78251000,78251000,142353000,148552000,182672000,0.14875,0.0898,0.04051,0.02672,2.92163,1.554,0.51652,0.06347,0.48485,0.48485,5.39908,11.96732,1.41654,0.03055,0.08925,0.24948,0.34292
"22","2015_Q3",44.36265625,"Down",762151000,-621252000,-579882000,-39771000,-1599000,140899000,-1527000,-1086000,-441000,139372000,139372000,-53798000,85574000,85574000,85574000,85574000,12789000,12789000,330091000,330091000,78785000,34449000,9688000,421665000,1891465000,64937000,45474000,1956402000,2378067000,219283000,61042000,158241000,51235000,44734000,298862000,1.18e+08,361442000,211609000,149833000,479442000,778304000,142951000,1456812000,1599763000,1599763000,2378067000,85574000,39771000,-1667000,-42047000,81631000,-150600000,-150600000,-31280000,-100249000,-100249000,-100249000,180670000,146344000,41821000,0.18487,0.11228,0.05349,0.03598,0.48871,1.4109,0.48651,0.06154,0.66548,0.66548,5.92697,12.44077,0.32523,0.0406,0.01984,0.73922,0.94788
"23","2015_Q4",40.51765625,"Down",779474000,-639620000,-593833000,-42561000,-3226000,139854000,-2996000,-1130000,-1866000,136858000,136858000,-52490000,84368000,84368000,84368000,84368000,11412000,11412000,337706000,337706000,87088000,30352000,20090000,436206000,1971210000,67069000,47606000,2038279000,2474485000,227439000,58258000,169181000,46356000,46356000,364172000,9.5e+07,367900000,218770000,149130000,462900000,827072000,142897000,1504516000,1647413000,1647413000,2474485000,84368000,42561000,-477000,-8403000,118049000,-121741000,-121741000,2315000,-1377000,-1377000,-1377000,182415000,185377000,104761000,0.17942,0.10824,0.05121,0.0341,1.24171,1.1978,0.50204,0.07492,0.65979,0.65979,6.09577,12.88338,0.81927,0.03834,0.0476,0.95368,1.2439
"24","2016_Q1",40.0009836065574,"Down",734572000,-620650000,-573466000,-44223000,-2961000,113922000,-1965000,-1287000,-678000,111957000,111957000,-39733000,72224000,72224000,72224000,72224000,11472000,11472000,310501000,310501000,59757000,25210000,34547000,381730000,2023448000,61326000,41863000,2084774000,2466504000,213997000,66774000,147223000,44917000,44917000,285402000,107317000,389148000,235054000,154094000,496465000,781867000,142842000,1541795000,1684637000,1684637000,2466504000,72224000,44223000,42227000,22932000,181606000,-94974000,-94974000,-86572000,60000,60000,60000,158145000,133805000,125836000,0.15509,0.09832,0.04287,0.02928,1.7423,1.33752,0.46412,0.05425,0.56935,0.56935,5.79073,13.28023,0.99198,0.03272,0.057,0.77355,1.07383
"25","2016_Q2",41.76875,"Up",707733000,-608185000,-558589000,-44772000,-4824000,99548000,-1683000,-1167000,-516000,97865000,97865000,-37580000,60285000,60285000,60285000,60285000,7133000,7133000,311650000,311650000,36841000,32287000,4554000,355624000,2098158000,61658000,42195000,2159816000,2515440000,224249000,81079000,143170000,73378000,44497000,323223000,99726000,392215000,235054000,157161000,491941000,815164000,142766000,1557510000,1700276000,1700276000,2515440000,60285000,44772000,2e+05,63136000,168393000,-119603000,-119603000,-53129000,-4339000,-4339000,-4339000,144320000,125322000,125433000,0.14066,0.08518,0.03546,0.02397,2.08067,1.10024,0.47943,0.04982,0.47855,0.47855,5.61806,13.49698,0.9957,0.02718,0.05656,0.81894,1.18726
"26","2016_Q3",44.124375,"Up",755435000,-621999000,-572033000,-46480000,-3486000,133436000,-1312000,-1052000,-260000,132124000,132124000,-50736000,81388000,81388000,81388000,81388000,10673000,10673000,319019000,319019000,42167000,33687000,8480000,371859000,2224883000,63060000,43597000,2287943000,2659802000,247802000,79230000,168572000,43549000,43549000,291351000,218332000,408350000,252501000,155849000,626682000,918033000,142846000,1598923000,1741769000,1741769000,2659802000,81388000,46480000,746000,-4776000,123838000,-172933000,-172933000,52635000,3540000,3540000,3540000,179916000,218332000,52943000,0.17663,0.10774,0.04673,0.0306,0.6505,1.27633,0.52707,0.08209,0.65094,0.65073,6.04198,13.9307,0.42344,0.03436,0.02235,1.1542,1.55624
"27","2016_Q4",52.3577777777778,"Up",782611000,-645207000,-591164000,-49041000,-5002000,137404000,-1127000,-1121000,-6000,136277000,136277000,-50696000,85581000,85581000,85581000,85581000,15014000,15014000,333041000,333041000,41100000,31316000,9784000,389155000,2229673000,65520000,46057000,2295193000,2684348000,222598000,55145000,167453000,46376000,46376000,268974000,193129000,428770000,266348000,162422000,621899000,890873000,143258000,1650217000,1793475000,1793475000,2684348000,85581000,49041000,540000,-17265000,117897000,-54014000,-54014000,-59542000,4341000,4341000,4341000,186445000,193129000,165862000,0.17557,0.10935,0.04772,0.03188,1.93807,1.44681,0.49673,0.07195,0.68954,0.68896,6.30563,14.45033,1.33638,0.03543,0.06867,0.95532,1.29629
"28","2017_Q1",57.8158064516129,"Up",745738000,-632291000,-580054000,-49574000,-2663000,113447000,-2126000,-934000,-1192000,111321000,111321000,-42810000,68511000,68511000,68511000,68511000,10171000,10171000,320087000,320087000,52364000,37962000,14402000,382622000,2241402000,72223000,52760000,2313625000,2696247000,241219000,89216000,152003000,47417000,47417000,288636000,104975000,451478000,272599000,178879000,556453000,845089000,143708000,1707450000,1851158000,1851158000,2696247000,68511000,49574000,34900000,2470000,155455000,-60850000,-60850000,-99448000,-4843000,-4843000,-4843000,163021000,104975000,147451000,0.15213,0.09187,0.03701,0.02541,2.15222,1.32562,0.45652,0.03893,0.55451,0.55404,6.03575,14.98265,1.19342,0.02846,0.06124,0.58154,0.83567
"29","2017_Q2",57.6292063492063,"Down",754096000,-645974000,-590719000,-50287000,-4968000,108122000,-969000,-560000,-409000,107153000,107153000,-41361000,65792000,65792000,65792000,65792000,47551000,47551000,332157000,332157000,45366000,39632000,5734000,425074000,2246286000,73650000,54187000,2319936000,2745010000,205669000,56843000,148826000,79116000,47693000,334785000,4.5e+07,455862000,272599000,183263000,500862000,835647000,144418000,1764945000,1909363000,1909363000,2745010000,65792000,50287000,787000,-6057000,110809000,-55169000,-55169000,-18260000,37380000,37380000,37380000,158409000,9.5e+07,138544000,0.14338,0.08725,0.03446,0.02397,2.10579,1.26969,0.43766,0.03461,0.53263,0.53201,6.10488,15.45748,1.1216,0.03009,0.05631,0.29953,0.43885
"30","2017_Q3",64.7363492063492,"Up",839912000,-679480000,-622906000,-50449000,-6125000,160432000,-142000,-573000,431000,160290000,160290000,-61872000,98418000,98418000,98418000,98418000,33833000,33833000,363807000,363807000,46972000,40579000,6393000,444612000,2321243000,74343000,54880000,2395586000,2840198000,225835000,54234000,171601000,68575000,47897000,344410000,4.5e+07,457797000,272599000,185198000,502797000,847207000,144946000,1848045000,1992991000,1992991000,2840198000,98418000,50449000,1288000,-22450000,127705000,-125760000,-125760000,-15663000,-13718000,-13718000,-13718000,210881000,9.5e+07,124543000,0.19101,0.11718,0.04938,0.03465,1.26545,1.29094,0.42509,0.03345,0.79705,0.79599,6.80212,16.14046,1.00863,0.04189,0.04892,0.29005,0.38126
"31","2017_Q4",78.8892063492063,"Up",872987000,-709112000,-652621000,-51934000,-4557000,163875000,650000,-327000,977000,164525000,164525000,-62211000,102314000,102314000,102314000,102314000,78091000,78091000,391858000,391858000,43146000,35617000,7529000,513095000,2367403000,75672000,56209000,2443075000,2956170000,237853000,59702000,178151000,67796000,48089000,355649000,4.5e+07,468505000,274414000,194091000,513505000,869154000,145771000,1941245000,2087016000,2087016000,2956170000,102314000,51934000,2861000,-7610000,149499000,-98274000,-96135000,-9106000,44258000,44258000,44258000,215809000,9.5e+07,172136000,0.18772,0.1172,0.04902,0.03461,1.68243,1.4427,0.41646,0.03214,0.82893,0.82797,7.07276,16.90858,1.39461,0.04171,0.06494,0.07835,0.10318
"32","2018_Q1",93.0496721311475,"Up",891117000,-747660000,-687706000,-53093000,-6861000,143457000,407000,46000,361000,143864000,143864000,53386000,197250000,197250000,197250000,197250000,127462000,127462000,394169000,394169000,63022000,41410000,21612000,584653000,2404459000,79312000,59849000,2483771000,3068424000,251100000,73729000,177371000,49949000,49949000,351049000,4.5e+07,395521000,189960000,205561000,440521000,791570000,146597000,2130257000,2276854000,2276854000,3068424000,197250000,53093000,-83059000,-19003000,148281000,-90682000,-90682000,-8228000,49371000,49371000,49371000,196550000,9.5e+07,33479000,0.16099,0.22135,0.08663,0.06428,0.16973,1.66545,0.34766,0.03096,1.59821,1.59636,7.22022,18.44808,0.27126,0.07425,0.0121,-0.16516,-0.22628
"33","2018_Q2",97.535625,"Up",925020000,-775680000,-713896000,-53481000,-8303000,149340000,-1854000,445000,-2299000,147486000,147486000,-38153000,109333000,109333000,109333000,109333000,159937000,159937000,412932000,412932000,42581000,37039000,5542000,615450000,2450834000,77720000,58257000,2528554000,3144004000,262188000,78498000,183690000,83097000,51792000,345285000,4.5e+07,394968000,179354000,215614000,439968000,785253000,147150000,2211601000,2358751000,2358751000,3144004000,109333000,53481000,1496000,46937000,211247000,-100211000,-100211000,-78561000,32475000,32475000,32475000,202821000,4.5e+07,187700000,0.16145,0.1182,0.04635,0.03478,1.71677,1.78244,0.33291,0.01431,0.88615,0.88504,7.49731,19.11774,1.52131,0.04289,0.06707,-0.56669,-0.76963
