"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","interest_expense","income_loss_from_affiliates","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","free_cash_flow_to_net_income","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","free_cash_flow_per_share"
"22","2015_Q3",61.921875,"Down",101990000,-83538000,18452000,-10490000,-10490000,7962000,1734000,32000,-11000,-121000,1823000,9696000,9696000,-2795000,6901000,6901000,-1123000,5778000,5778000,6901000,2149000,-1171000,569999.999999999,8449000,-9992000,-10376000,-5e+05,274000,274000,-653000,-2580000,-2580000,-122000,-2702000,10111000,3500000,3484000,0.18092,0.07807,0.05665,0.60298,1.64241,1.59967,28.9909,0.99034
"23","2015_Q4",57.0753125,"Down",88817000,-73066000,15751000,-9847000,-9847000,5904000,535000,44000,-17000,-207000,698000,6439000,6439000,-1064000,5375000,5375000,-999000,4376000,4376000,5375000,2206000,-48000,-1622000,5911000,-4696000,-4696000,7500000,20000,20000,7092000,8307000,8307000,-115000,8192000,8110000,1.1e+07,2856000,0.17734,0.06647,0.04927,0.65265,1.24318,1.21454,25.2321,0.81136
"24","2016_Q1",48.5372131147541,"Down",98426000,-88026000,10400000,-8010000,-8010000,2390000,-451000,27000,-32000,-650000,172000,1939000,1939000,-4000,1935000,1935000,-735000,1200000,1200000,1935000,2348000,-2152000,5733000,7864000,-4445000,-8545000,-1e+06,-181000,-181000,-1243000,-1924000,-1924000,-416000,-2340000,4738000,1e+07,6030000,0.10566,0.02428,0.01219,5.025,0.34043,0.33259,27.92227,1.71064
"25","2016_Q2",46.36109375,"Down",96513000,-80014000,16499000,-10574000,-10574000,5925000,-339000,-14000,-21000,-293000,-32000,5586000,5586000,-1754000,3832000,3832000,-559000,3273000,3273000,3832000,2396000,765000,-2982000,4011000,-3865000,-4015000,-3500000,483000,483000,-5051000,-5055000,-5055000,-673000,-5728000,8321000,6500000,3228000,0.17095,0.06139,0.03391,0.98625,0.92379,0.90489,27.24047,0.91109
"26","2016_Q3",39.32234375,"Down",102511000,-83901000,18610000,-11196000,-11196000,7414000,313000,-15000,-23000,-22000,350000,7727000,7727000,-2514000,5213000,5213000,-1810000,3403000,3403000,5213000,2679000,-33999.9999999995,-8649000,-791000.000000001,-4230000,-4450000,3500000,101000,101000,3135000,-2106000,-2106000,62000,-2044000,10093000,1e+07,-272000,0.18154,0.07232,0.0332,-0.0799300000000002,0.95509,0.93902,28.77098,-0.0763399999999999
"27","2016_Q4",35.5331746031746,"Down",94048000,-79527000,14521000,-10680000,-10680000,3841000,26000,-47000,-51000,-171000,244000,3867000,3867000,-589000,3278000,3278000,-1389000,1889000,1889000,3278000,2528000,-237000,-371000,5198000,-6168000,-7668000,8e+06,25000,25000,7560000,5090000,5090000,145000,5235000,6369000,1.8e+07,419000,0.1544,0.04084,0.02009,0.22181,0.52987,0.52197,26.38093,0.11753
"28","2017_Q1",30.8848387096774,"Down",108347000,-92251000,16096000,-11097000,-11097000,4999000,-2989000,-75000,-81000,-1749000,-1165000,2010000,2010000,-211000,1799000,1799000,-1215000,584000,584000,1799000,2518000,4991000,-9508000,-200000.000000001,-9157000,-9132000,2e+06,-136000,-136000,1566000,-7766000,-7766000,85000,-7681000,7517000,2e+07,-10937000,0.14856,0.04614,0.00539,-18.72774,0.16381,0.16115,30.39187,-3.06788
"29","2017_Q2",29.6330158730159,"Down",100244000,-85441000,14803000,-11283000,-11283000,3520000,-217000,-37000,-78000,62000,-242000,3303000,3303000,-898000,2405000,2405000,-863000,1542000,1542000,2405000,2760000,404000,-540000,5029000,-7446000,-8221000,4e+06,74000,74000,4747000,1555000,1555000,37000,1592000,6280000,2.4e+07,-808000,0.14767,0.03511,0.01538,-0.52399,0.43121,0.4212,28.03244,-0.22595
"30","2017_Q3",34.1433333333333,"Up",98945000,-85251000,13694000,-11243000,-11243000,2451000,596000,-59000,-98000,229000,426000,3047000,3047000,-1410000,1637000,1637000,-1239000,398000,398000,1637000,2887000,-985000,1433000,4972000,-8883000,-9533000,-4e+06,86000,86000,-4417000,-8978000,-8978000,99000,-8879000,5338000,2e+07,-701999.999999998,0.1384,0.02477,0.00402,-1.76382,0.11089,0.10854,27.56896,-0.1956
"31","2017_Q4",41.4207936507936,"Up",109706000,-92105000,17601000,-11782000,-11782000,5819000,981000,-48000,-1e+05,-163000,1192000,6800000,6800000,-1752000,5048000,5048000,-1566000,3482000,3482000,5048000,2807000,-1458000,-4241000,2156000,-10313000,-10988000,6e+06,27000,27000,5524000,-3308000,-3308000,109000,-3199000,8626000,2.6e+07,-4176000,0.16044,0.05304,0.03174,-1.19931,0.96938,0.94852,30.54176,-1.16258
"32","2018_Q1",36.8106557377049,"Down",108430000,-93573000,14857000,-11805000,-11805000,3052000,192000,-137000,-141000,538000,-209000,3244000,3244000,-224000,3020000,3020000,-1245000,1775000,1775000,3020000,2964000,1484000,3517000,10985000,-10366000,-10796000,4e+06,54000,54000,3372000,3561000,3561000,-191000,3370000,6016000,3e+07,-609000,0.13702,0.02815,0.01637,-0.3431,0.49374,0.48221,30.16134,-0.1694
"33","2018_Q2",33.24828125,"Down",102460000,-88997000,13463000,-10042000,-10042000,3421000,914000,-199000,-203000,1026000,87000,4335000,4335000,-1066000,3269000,3269000,-813000,2456000,2456000,3269000,3095000,-265000,-5745000,354000,-7571000,-7571000,1e+07,25000,25000,7500000,283000,283000,-146000,137000,6516000,4e+07,-5734000,0.1314,0.03339,0.02397,-2.33469,0.68014,0.66721,28.37441,-1.58793
"34","2018_Q3",31.9571428571429,"Down",103182000,-90536000,12646000,-10152000,-10152000,2494000,1332000,-250000,-253000,1473000,109000,3826000,3826000,8999.99999999977,3835000,3835000,-953000,2882000,2882000,3835000,3572000,-2696000,-4027000,684000,-6776000,-6626000,6e+06,165000,165000,5656000,-286000,-286000,173000,-113000,6066000,4.6e+07,-4746000,0.12256,0.02417,0.02793,-1.64677,0.79372,0.77577,28.41697,-1.30708
"35","2018_Q4",31.0387301587302,"Down",116823000,-101626000,15197000,-10839000,-10839000,4358000,473000,-304000,-305000,619000,158000,4831000,4831000,-899000,3932000,3932000,-963000,2969000,2969000,3932000,3884000,-180000,-4972000,2664000,-5023000,-4998000,2e+06,27000,27000,1319000,-1015000,-1015000,-333000,-1348000,8242000,4.8e+07,-854000,0.13009,0.0373,0.02541,-0.28764,0.81701,0.8007,32.14722,-0.235
"36","2019_Q1",30.7731147540984,"Down",116730000,-103593000,13137000,-10135000,-10135000,3002000,1704000,-376000,-376000,1414000,666000,4706000,4706000,-114000,4592000,4592000,-616000,3976000,3976000,4592000,4034000,1325000,-6713000,3238000,-4723000,-4723000,3e+06,25000,25000,1916000,431000,431000,622000,1053000,7036000,5.1e+07,-4286000,0.11254,0.02572,0.03406,-1.07797,1.09351,1.07228,32.10396,-1.17877
"37","2019_Q2",26.5177777777778,"Down",117159000,-101976000,15183000,-11031000,-11031000,4152000,257000,-407000,-407000,909000,-245000,4409000,4409000,20000,4429000,4429000,-962000,3467000,3467000,4429000,4047000,-693000,14000,7797000,-3969000,-3969000,0,23000,23000,-1275000,2553000,2553000,-298000,2255000,8199000,5.1e+07,4224000,0.12959,0.03544,0.02959,1.21834,0.94934,0.93425,32.08078,1.15663
"38","2019_Q3",20.84375,"Down",112913000,-100177000,12736000,-10470000,-10470000,2266000,810000,-404000,-404000,1476000,-262000,3076000,-29358000,7760000,-21598000,-21598000,-566000,-22164000,-22164000,-21598000,4076000,22929000,6518000,11925000,-5421000,-5421000,-5e+06,49000,49000,-5666000,838000,838000,190000,1028000,6342000,4.6e+07,-321000,0.11279,0.02007,-0.19629,0.0144800000000003,-6.03266,-5.95967,30.73299,-0.0873700000000002
"39","2019_Q4",21.514375,"Up",128230000,-112548000,15682000,-11721000,-11721000,3961000,-138000,-413000,-413000,66000,209000,3823000,3823000,-786000,3037000,3037000,-1307000,1730000,1730000,3037000,4420000,347000,-2805000,4999000,-4148000,-4348000,-2e+06,172000,172000,-2745000,-2094000,-2094000,-77000,-2171000,8381000,4.4e+07,2214000,0.1223,0.03089,0.01349,1.27977,0.4696,0.48324,34.80727,0.60098
"40","2020_Q1",20.6196774193548,"Down",128704000,-114505000,14199000,-13964000,-13964000,235000,-97999.9999999999,-391000,-391000,332000,-39000,137000,692999.999999996,746000,1439000,1439000,-1501000,-62000,-62000,1439000,4616000,1896000,-2731000,5220000,-3862000,-3862000,-2e+06,27000,27000,-2490000,-1132000,-1132000,-261000,-1393000,4851000,4.2e+07,-2488000,0.11032,0.00183,-0.000480000000000038,40.12903,-0.0167799999999996,-0.016780000000001,34.84136,-0.67352
"41","2020_Q2",15.2504761904762,"Down",119962000,-104076000,15886000,-12954000,-12954000,2932000,47000,-340000,-340000,484000,-97000,2979000,2979000,-299000,2680000,2680000,-1436000,1244000,1244000,2680000,4733000,1957000,5638000,15008000,-4283000,-4283000,-6e+06,239000,239000,-7263000,3462000,3462000,-30000,3432000,7665000,3.6e+07,9319000,0.13243,0.02444,0.01037,7.49116,0.33531,0.33369,32.33477,2.51186
"42","2020_Q3",21.05609375,"Up",133632000,-104766000,28866000,-8662000,-8662000,20204000,31000,144000,144000,1416000,-1529000,20235000,20235000,-3269000,16966000,16966000,-3089000,13877000,13877000,-1095000,4847000,1863000,-15000,5600000,-3086000,-3086000,-4e+06,280000,280000,-4245000,-1731000,-1731000,-225000,-1956000,25051000,3.2e+07,25219000,0.21601,0.15119,0.10384,1.81732,3.71043,3.72837,35.73048,6.74305
"43","2020_Q4",35.6034375,"Up",89589000,-91112000,-1523000,-14159000,-14159000,-15682000,160000,-596000,-596000,-1845000,2601000,-15522000,-15522000,2374000,-13148000,-13148000,924000,-12224000,-12224000,4913000,4769000,-142000,-214000,9326000,-2909000,-2909000,-5e+06,24000,24000,-5501000,916000,916000,-28000,888000,-10913000,2.7e+07,-16410000,-0.017,-0.17504,-0.13645,1.34244,-3.2606,-3.21177,23.89677,-4.37717
"44","2021_Q1",51.354262295082,"Up",42117000,-49900000,-7783000,-8333000,-8333000,-16116000,301000,-128000,-128000,-264000,693000,-15815000,-15815000,3460000,-12355000,-12355000,1853000,-10502000,-10502000,-12355000,4980000,-2342000,5207000,-4510000,-2071000,-2071000,8e+06,17000,17000,8017000,1436000,1436000,165000,1601000,-11136000,3.5e+07,-11460000,-0.18479,-0.38265,-0.24935,1.09122,-2.80128,-2.84453,11.2342,-3.05682
"45","2021_Q2",47.8312698412698,"Down",126234000,-103723000,22511000,-11314000,-11314000,11197000,453000,-112000,-112000,825000,-260000,11650000,11650000,-1577000,10073000,10073000,-2065000,8008000,8008000,10073000,4885000,-215000,-7443000,7300000,-1511000,-1511000,-5e+06,19000,19000,-5471000,318000,318000,-109000,209000,16082000,3e+07,8705000,0.17833,0.0887,0.06344,1.08704,2.12696,2.11404,33.52829,2.31208
"46","2021_Q3",40.1290625,"Down",112908000,-97975000,14933000,-11301000,-11301000,3632000,458000,-57000,-358718.702222587,615000,-99999.9999999999,4090000,4090000,-253000,3837000,3837000,-446000,3391000,3391000,-6011000,5083000,559000,-6913000,-7282000,-3851000,-3851000,1e+07,620000,620000,10510000,-623000,-623000,20000,-603000,8715000,1.7e+07,-1796000,0.13226,0.03217,0.03003,-0.52964,0.8959,0.88261,29.83038,-0.4745
"47","2021_Q4",38.65109375,"Down",136096000,-110134000,25962000,-10928000,-10928000,15034000,-497000,-90000,-426818.702222587,404000,-811000,14537000,14537000,-2891000,11646000,11646000,-3439000,8207000,8207000,21494000,4762000,1422000,-2300000,25378000,-1131000,-1131000,-2.4e+07,-54000,-54000,-23944000,303000,303000,-348000,-45000,19796000,1.6e+07,19256000,0.19076,0.11047,0.0603,2.34629,2.17404,2.15125,36.05192,5.10093
"48","2022_Q1",38.8054838709677,"Up",110057000,-94805000,15252000,-11200000,-11200000,4052000,679000,-43000,-43000,716000,5999.99999999988,4731000,4731000,-390000,4341000,4341000,-1415000,2926000,2926000,4341000,5056000,1262000,-904999.999999999,9754000,-2428000,-2528000,-4e+06,19000,19000,-3981000,3245000,3245000,-115000,3130000,9108000,1.2e+07,6165000,0.13858,0.03682,0.02659,2.10697,0.7751,0.76697,29.15417,1.63311
"49","2022_Q2",34.0632258064516,"Down",100341000,-87792000,12549000,-12121000,-12121000,428000,-169000,-48000,1066037.40444517,-251000,130000,259000,259000,-37000,222000,222000,-121000,101000,101000,222000,5057000,606000,-15532000,-9647000,-2789000,-2789000,5e+06,619000,619000,5019000,-7417000,-7417000,-24000,-7441000,5485000,1.7e+07,-12799000,0.12506,0.00427,0.00101,-126.72277,0.02609,0.02579,25.92121,-3.30638
"50","2022_Q3",27.8965625,"Down",133203000,-125869000,7334000,-12660000,-12660000,-5326000,718000,-277000,3173593.51111293,1366000,-371000,-4608000,-4608000,1808000,-2800000,-2800000,985000,-1815000,-1815000,-2800000,3741000,-239000,17680000,18382000,-6684000,-6788000,1e+06,-473000,-473000,527000,12121000,12121000,124000,12245000,-1585000,3.72529029846191e-09,7603000,0.05506,-0.03998,-0.01363,-4.18898,-0.46887,-0.46348,34.41049,1.96409
