"","YQ","p","d","revenue","operating_expenses","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","misc_short_term_assets","total_current_assets","long_term_investments_receivables","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accrued_taxes","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","net_income_2","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","net_change_in_long_term_investment","other_investing_activities","net_cash_from_investing_activities","cash_from_repurchase_of_equity","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"11","2018_Q3",37.2468253968254,"Up",4796000,-8242000,-2444000,-3446000,3126000,3126000,-320000,16571000,16251000,-3388000,12863000,12863000,-1039000,11824000,11824000,273770000,273770000,22675000,22675000,297782000,695403000,5743000,2224000,701146000,998928000,22353000,1685000,20668000,13332000,13332000,35685000,15685000,1010602000,-86471000,7805000,931936000,51307000,983243000,998928000,12863000,12863000,5000,-3407000,-31641000,-22180000,0,0,0,-5380000,-5380000,-336000,11978000,-10202000,-10202000,-10202000,-3441000,-2e+07,-0.71852,2.46539,0.01203,0.01184,8.34474,0.01595,-0.02002,0.51231,0.51231,0.2078,40.37851,0.01467,85.37344,85.24956
"12","2018_Q4",39.001746031746,"Up",4666000,-8165000,-2186000,-3499000,3396000,3396000,-103000,-7976999.99999999,-8080000.00000001,858000.000000002,-7222000,-7221999.99999999,-157000,-7378999.99999999,-7378999.99999999,348887000,348887000,18767000,18767000,369021000,644412000,7556000,4037000,651968000,1020989000,23692000,827000,22865000,22353000,22353000,46045000,46045000,1010602000,-87203000,426000,923825000,51119000,974944000,1020989000,-7222000,-7222000.00000001,6000,-789000,64190000,56185000,0,0,0,-732000,-732000,-345000,18932000,75117000,75117000,75117000,-3493000,0,-0.74989,-1.58144,-0.00756999999999999,-0.00723,8.01436,0.04723,3.46944695195361e-18,-0.32112,-0.3212,0.20305,40.20301,-0.00758,99.88176,99.71049
"13","2019_Q1",39.9960655737705,"Up",8614000,-10899000,-2465000,-2285000,3926000,3926000,1641000,-49567000,-47926000,7274000,-40652000,-40652000,337000,-40315000,-40315000,409564000,409564000,30332000,30332000,439896000,490824000,23713000,10772000,514537000,954433000,28811000,3577000,25234000,9574000,9574000,38385000,38385000,1008344000,-102207000,-39889000,866248000,49800000,916048000,954433000,-40652000,-40652000,6000,49807000,63202000,72363000,-10392000,128000,-10264000,-440000,-440000,-982000,-1422000,60677000,60677000,60677000,-2279000,0,-0.26527,-4.68017,-0.04401,-0.04224,11.4601,0.0419,0,-1.77497,-1.94018,0.37925,38.13886,-0.04401,179.71215,179.24026
"14","2019_Q2",37.5480952380952,"Down",4652000,-9268000,-2957000,-4616000,3742000,3742000,-874000.000000001,31719000,30845000,-6191000,24654000,24654000,-1507000,23147000,23147000,396020000,396020000,28899000,28899000,424919000,557644000,12133000,1743000,569777000,994696000,37793000,7222000,30571000,17118000,17118000,54911000,54911000,1008344000,-102598000,-16742000,889004000,50781000,939785000,994696000,24654000,24654000,6000,-22941000,-14424000,-12705000,1766000,571000,2337000,-391000,-391000,-526000,-3176000,-13544000,-13544000,-13544000,-4610000,4.65661287307739e-10,-0.99226,4.97571,0.02463,0.02327,7.73832,0.05843,-4.33680868994202e-19,1.02493,1.02493,0.20599,39.36433,0.02703,85.90456,85.7928900000001
"15","2019_Q3",35.749375,"Down",4821000,-11232000,-6063000,-6411000,3260000,3260000,-3151000,3026000,-125000,277000,152000,152000,-1084000,-932000,-932000,361564000,361564000,26048000,26048000,387612000,602712000,13836000,7319000,616548000,1004160000,24294000,872000,23422000,46010000,46010000,70304000,70304000,1006090000,-104228000,-17674000,884188000,49668000,933856000,1004160000,152000,152000,6000,2517000,-26050000,-23375000,-104000,-6089000,-6193000,-1630000,-1630000,1060000,-4950000,-34518000,-34518000,-34518000,-6405000,0,-1.32981,-0.19332,-0.001,-0.00093,5.51337,0.07528,0,-0.04133,-0.04133,0.21377,39.20663,0.00142,56.45027,56.39744
"16","2019_Q4",36.90375,"Up",-1262000,1141000,-51999.9999999991,-121000,2391000,2391000,2270000,7612999.99999999,9883000,-2150000,7733000,5592000,359000,5950999.99999999,5950999.99999999,350934000,350934000,25727000,25727000,376661000,600147000,16317000,8395000,616464000,993125000,29154000,3888000,25266000,25475000,25475000,54629000,54629000,1006090000,-105570000,-11723000,888797000,49699000,938496000,993125000,7733000,5592000,-2000,-19021000,5049000,-6241000,-329000,594000,264999.999999998,-1342000,-1342000,-743000,-2085000,-8061000,-10568000,-10568000,-123000,0,0.09588,-4.71553,0.00634,0.00599,6.89489,0.05821,2.71050543121376e-20,0.26432,0.26432,-0.05605,39.47753,0.00634,2853.12195,2900.28099
"17","2020_Q1",39.4103225806452,"Up",13994000,-10393000,3130000,3601000,3605000,3605000,7206000,9414000,16620000,-4563000,12057000,12308000,-1286000,11022000,11022000,342001000,342001000,27479000,27479000,369480000,38619000,602807000,21465000,641426000,1010906000,44567000,3622000,40945000,18519000,16419000,63086000,63086000,1003475000,-106342000,-701000,896432000,51388000,947820000,1010906000,12057000,12308000,9000,-73307000,61598000,357000,-1394000,-73000,-1467000,-772000,-772000,-601000,-1373000,-2483000,-2346000,-2346000,3610000,0,0.25732,0.78762,0.01163,0.0109,5.85677,0.06656,0,0.49537,0.49537,0.62894,40.28908,0.01163,-94.73712,-94.9739
"18","2020_Q2",35.205873015873,"Down",2962000,-3602000,-3602000,-640000,-99864000,2225000,-100504000,-226999.999999998,-100731000,23662000,-77069000,-77300000,3945000,-73355000,-73355000,358594000,358594000,19341000,19341000,377935000,258671000,267484000,19030000,526155000,904090000,19956000,0,19956000,17422000,17422000,37378000,37378000,1003475000,-109567000,-74056000,819852000,46860000,866712000,904090000,-77069000,-77300000,799000,100934000,2870999.99999999,27535000,-10956000,349000.000000002,-10607000,-3225000,-3225000,-530999.999999998,-6004000,10924000,10006000,10006000,159000,0,-0.21607,-24.76536,-0.08464,-0.08114,10.11116,0.04313,0,-3.26879,-3.26879,0.13199,36.53367,-0.08204,-2255.30818,560.30312
"19","2020_Q3",37.62828125,"Up",2067000,-5728000,-5728000,-3661000,103239000,1150000,99578000,-50402000,49176000,-11241000,37935000,37673000,-2436000,35237000,35237000,393781000,74405000,20188000,20188000,413969000,279508000,233147000,20286000,512655000,926624000,16926000,0,16926000,9833000,9833000,26759000,26759000,1003475000,-110635000,-41056000,851784000,48081000,899865000,926624000,37935000,37673000,-777000,-318770000,1031000,-280581000,75000,516000,591000,-1068000,-1068000,110000,-3196000,-283186000,-282268000,-282268000,-4438000,0,-1.77117,17.04741,0.03916,0.03803,15.47027,0.02974,0,1.57456,1.57456,0.09236,38.06175,0.04165,88.72938,107.56105
"20","2020_Q4",35.23890625,"Down",1945000,-5497000,-5497000,-3552000,1153999.99999997,1154000,-2398000,12852000,10454000,-3563000,6891000,6752000,-937000,5815000.00000001,5815000.00000001,378273000,47331000,21653000,21653000,401086000,175002000,524523000,23003000,699525000,1100611000,23328000,897000,22431000,18952000,18952000,42280000,42280000,999072000,-111736000,-35241000,852095000,206236000,1058331000,1100611000,6891000,6752000,18000,-40733000,14667000,-19157000,18853000,-185629000,-166776000,-1102000,-1102000,164513000,163411000,-22521999.9999999,-22407999.9999999,-22407999.9999999,-3534000,0,-1.82622,2.98971999999999,0.00549,0.00527999999999997,9.48642,0.03995,0,0.260140000000001,0.260140000000001,0.08701,38.11994,0.00549,107.0382,106.49578
"21","2021_Q1",35.1003278688525,"Down",12009000,-16625000,-16625000,-4616000,40830000,3966000,36214000,34770000,70984000,-18232000,52752000,52752000,-1633000,51119000,51119000,39509000,39509000,29420000,29420000,68929000,519493000,586123000,35911000,1105616000,1174545000,42632000,9746000,32886000,23696000,23696000,66328000,66328000,999066000,-113783000,13649000,898938000,209279000,1108217000,1174545000,52752000,52752000,12000,-73287000,13243000,-7280000,2394000,326000,2720000,-2046000,-2046000,1014000,-3262000,-7822000,-7822000,-7822000,-4604000,0,-0.38438,4.25672,0.04613,0.04352,1.03921,0.05985,0,2.33175,2.33175,0.54778,41.00433,0.04814,8.58145,8.55914
"22","2021_Q2",35.9612698412698,"Up",2325000,-8690000,-8690000,-6365000,1098000,1098000,-5267000.00000001,29584000,24317000,-5590000,18727000,18727000,-172000,18555000,18555000,354725000,279725000,32659000,32659000,387384000,175074000,608808000,21922000,783882000,1171266000,37623000,13181000,24442000,22827000,22827000,60450000,60450000,999072000,-117981000,32204000,913295000,197521000,1110816000,1171266000,18727000,18727000,12000,228164000,-3335000,243568000,555000,155000,710000,-4198000,-4198000,135999.999999985,-4061999.99999999,240216000,240216000,240216000,-6353000,0,-2.73763,7.98065,0.0167,0.01584,6.40834,0.05442,0,0.83498,0.83498,0.10463,41.09869,0.0167,55.83583,55.73056
"23","2021_Q3",36.9309375,"Up",2489000,-12900000,-12900000,-10411000,6748000,6748000,-3663000,41867000,38204000,-9020000,29184000,29184000,532000,29716000,29716000,344264000,269271000,38310000,38310000,383875000,175076000,6.49e+08,26843000,824076000,1207951000,48818000,14370000,34448000,30099000,22591000,78917000,78917000,993071000,-119874000,59709000,932906000,196128000,1129034000,1207951000,29184000,29184000,188000,-41255000,-24000,-11907000,4805000,87000,4892000,-1893000,-1893000,665000,-3439000,-10454000,-10454000,-10454000,-10223000,0,-4.1828,11.93893,0.02632,0.0246,4.86429,0.0699,0,1.33723,1.33723,0.11201,41.98119,0.02828,33.67544,33.06733
"24","2021_Q4",39.3884375,"Up",2112000,538000,538000,-169000,1022000,1022000,853000.000000007,5135000,5988000,-484000,5504000,5504000,-4001000,1503000,1503000,569776000,569776000,49142000,49142000,618918000,225081000,590234000,20770000,815315000,1434233000,277934000,12406000,265528000,25318000,19728000,303252000,303252000,992037000,-121270000,61212000,931985000,198996000,1130981000,1434233000,5504000,31866480.0898898,89000,21839000.0000001,228978000,256410000,8912000,38740000,47652000,-1396000,-1396000,-2161000,-3557000,300505000,300505000,300505000,-80000,0,-0.0800200000000002,0.711650000000002,0.00133,0.00105,2.04094,0.26813,8.27180612553028e-25,0.0678799999999999,0.0678800000000002,0.0953900000000001,42.09318,0.00133,7122.2,3371.45562
"25","2022_Q1",41.2511290322581,"Up",13998000,-18948000,-18948000,-2131000,96336000,2931000,94205000,-81375000,12830000,-2611000,10219000,10219000,-790000,9429000,9429000,380044000,556874131.457749,42478000,42478000,422522000,175109000,605705000,40091000,780814000,1203336000,41224000,8376587.9755703,41224000,12905000,12905000,54129000,65534000,990094000,-121427000,68435000,937102000,200700000,1137802000,1203336000,10219000,12118541.8753844,90000,-25199000,-234987000,-249877000,12319000,-288000,12031000,-157000,-157000,-973000,-3336000,-241182000,-241182000,-241182000,-2041000,0,-0.15224,0.6736,0.00829,0.00784,7.80583,0.0576,0,0.43227,0.43227,0.64173,42.96071,0.01012,186.2048,178.34069
"26","2022_Q2",38.1570967741935,"Down",2582000,-5888000,-5888000,-3306000,771000,771000,-2534999.99999999,-15818000,-18353000,4848000,-13505000,-13505000,-2681000,-16186000,-16186000,348629000,348629000,182206000,182206000,530835000,175151000,578206000,20813000,753357000,1284192000,146602000,3703000,142899000,14082000,11937000,160684000,160684000,989504000,-121720000,52249000,920039000,203469000,1123508000,1284192000,-13505000,-13505000,90000,54239000,-12266000.0000001,28557999.9999999,-2601000,828000,-1773000.00000001,-293000,-293000,-486000,-779000,26006000.0000001,26006000,26006000,-3216000,-5.55111512312578e-17,-1.2804,-6.26878,-0.01441,-0.0126,3.3036,0.14302,0,-0.73376,-0.73376,0.11705,41.7081,-0.01441,108.404539999999,105.45342
"27","2022_Q3",39.11421875,"Up",2546000,-4757000,-4757000,-2211000,1886000,1886000,-325000,-37803000,-38128000,8036000,-30092000,-30092000,205000,-29887000,-29887000,369237000,344258000,22184000,22184000,391421000,175420000,553174000,30692000,728594000,1120015000,20229000,-443763.92671089,20229000,10602000,9694000,30831000,30831000,990166000,-123037000,20159000,887294000,201890000,1089184000,1120015000,-30092000,-30092000,71000,-4236000,34971000,714000,-1554000,462000,-1092000,-1317000,-1317000,-711000,-4231000,-4609000,-4609000,-4609000,-2140000,0,-0.86842,-11.73881,-0.02744,-0.02668,12.6957,0.02831,0,-1.35628,-1.35628,0.11554,40.26566,-0.02542,172.54065,167
