"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","operating_margin","net_profit_margin","free_cash_flow_to_net_income","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","free_cash_flow_per_share"
"14","2018_Q4",20.4031746031746,"Up",295123000,-192614000,-17254000,-22379000,-152981000,102509000,-68558000,-68558000,33951000,-4526000,29424999.9999999,-13815000,15610000,15610000,-6998000,8612000,8612000,1384611000,7238530000,15610000,16012000,-66405000,37997000,3214000,-4522000.00000003,160072000,155550000,-145154000,-209502000,-402232000,-243468000,-243468000,-665999.999999999,-244134000,118521000,918594000,165811000,0.34734,0.02918,19.25348,0.0805900000000001,0.0804099999999999,2.76165,1.55159
"15","2019_Q1",21.8767213114754,"Up",440416000,126056000,-12986000,-19676000,158718000,190048000,-38596000,-38596000,151452000,-2672000,148780000,-842000,147938000,147938000,-67069000,80869000,80869000,1494699000,7380978000,147937000,13596000,-90357000,329908000,401084000,-407944000,-26720000,-34472000,0,-10842000,-45084000,321528000,321528000,-1414000,320114000,203644000,922165000,126450000,0.43152,0.18362,1.56364,0.76013,0.75614,4.13968,1.18856
"16","2019_Q2",20.2584126984127,"Down",362991000,-286715000,-22078000,-27372000,-237265000,76276000,-68157000,-68157000,8119000,-24323000,-16204000,2585000,-13619000,-13619000,6946000,-6673000,-6673000,397053000,397053000,-13619000,16450000,201727000,-414527000,-209969000,-4662000,-43441000,-885184000,1220116000,-35021000,1150837000,55683999.9999999,55683999.9999999,-3404000,52280000,92726000,0,-329048000,0.21013,-0.01838,49.31036,-0.06218,-0.0621800000000001,3.38233,-3.06605
"17","2019_Q3",17.43796875,"Down",375101000,-204994000,-31453000,-35416000,-138125000,70620000,-71513000,-71513000,-893000,-65686000,-66579000,11094000,-55485000,-55485000,25594000,-29891000,-29891000,356904000,356904000,-55485000,14810000,132261000,-258942000,-167356000,-4513000,-25274000,-31287000,-61371000,-681000,-93136000,-291779000,-291779000,1013000,-290766000,85430000,0,-189119000,0.18827,-0.07969,6.32695,-0.26491,-0.26491,3.32439,-1.6761
"18","2019_Q4",14.56765625,"Down",382340000,-212201000,-25333000,-36506000,-150362000,71350000,-68737000,-68737000,2613000,-8440999.99999999,-5828000,643999.999999998,-5184000.00000001,-5184000.00000001,872000,-4312000,-4312000,969014000,8859042000,-5184000,17599000,-358788000,377476000,31103000,-7926000,-38958000,-43883999.9999999,-52496999.9999999,0,-82355999.9999998,-95137000,-95137000,-7605000,-102742000,88949000,0,457855000,0.18661,-0.01128,-106.18159,-0.0366500000000001,-0.03665,3.24964,3.89147
"19","2020_Q1",16.5638709677419,"Up",397060000,-129077000,-24778000,-36945000,-67354000,79371000,-71491000,-71491000,7880000,-35251000,-27371000,-2046000,-29417000,-29417000,11698000,-17719000,-17719000,931374000,9311808000,-29417000,16785000,-524408000,1052033000,514993000,7781000,52931000,60712000,-73813000,-211635000,-205765000,369940000,369940000,8521000,378461000,96156000,0,1158016000,0.1999,-0.04463,-65.35448,-0.15033,-0.15033,3.36881,9.82505
"20","2020_Q2",21.187619047619,"Up",1000621000,-288833000,-27130000,-36318000,-225385000,537970000,-67110000,-67110000,470860000,-4635000,466225000,-77987000,388238000,388238000,-167169000,221069000,221069000,416920000,416920000,388238000,17360000,720124000,-1344383000,-218661000,-10750000,-8111000,-20011000,358900000,-71316000,280989000,42317000.0000001,42317000.0000001,-10396000,31921000,555330000,-5.96046447753906e-08,-721816000,0.53764,0.22093,-3.26512,1.84598,1.84549,8.35542,-6.02733
"21","2020_Q3",22.961875,"Up",905903000,-2.34e+08,-21737000,-35667000,-176596000,468400000,-50577000,-50577000,417823000,-13288000,404535000,-69250000,335285000,335285000,-136143000,199142000,199142000,1701007000,10288875000,335285000,16713000,-215331000,581271000,717938000,-9332000,-3784000,-16682000,-596768000,-175450000,-764886000,-63630000,-63630000,6444000,-57186000,485113000,1758790000,1126302000,0.51705,0.21983,5.65577,1.63866,1.62912,7.45429,9.26786
"22","2020_Q4",21.41609375,"Down",656112000,-146978000,-24612000,-34921000,-87445000,312686000,-47732000,-47732000,264954000,-12439000,252515000,-52807000,199708000,199708000,-82999000,116709000,116709000,1806807000,9442725000,199705000,16655000,246790000,-478829000,-15679000.0000001,58957000,-23536000,40137000,-1244000.00000012,-114265000,-114323000,-89865000,-89865000,7812000,-82053000,329341000,1760822000,-37724000,0.47657,0.17788,-0.32323,0.95116,0.94278,5.34721,-0.307439999999998
"23","2021_Q1",25.7565573770492,"Up",676695000,-173028000,-21079000,-34089000,-117860000,318593000,-47965000,-47965000,270628000,-11066000,259562000,-61880000,197682000,197682000,-85405000,112277000,112277000,1468540000,9579300000,197685000,16013000,-339285000,702873000,577286000,-7171000,-6452000,-6003000,-59902000,-146449000,-241698000,329585000,329585000,11458000,341043000,334606000,0,1092188000,0.47081,0.16592,9.72762,0.91443,0.90906,5.5113,8.89526
"24","2021_Q2",28.0061904761905,"Up",1012572000,-216971000,-25655000,-34855000,-156461000,536269000,-43520000,-43520000,492749000,-2962000,489787000,-80555000,409232000,409232000,-169827000,239405000,239405000,2044079000,10890631000,409232000,16778000,71264000,-363384000,133890000,-3487999.99999999,-22154000,-25642000,176460000,-192044000,-89744000,18503999.9999999,18503999.9999999,-3676000,14828000,553047000,1876665000,266730000,0.52961,0.23643,1.11414,1.96133,1.94024,8.29552,2.18519
"25","2021_Q3",24.11796875,"Down",548965000,-192535000,-21753000,-34426000,-136356000,185739000,-45084000,-45084000,140655000,-5653000,135002000,-26095000,108907000,108907000,-45997000,62910000,62910000,1578081000,9996670000,108907000,16349000,-138965000,235260000,221551000,-9101000,-7995000,-17096000,-61801000,-149050000,-311099000,-106644000,-106644000,66000,-106578000,202088000,0,454342000,0.33834,0.1146,7.2221,0.52564,0.51914,4.58687,3.79625
"26","2021_Q4",26.125625,"Up",544344000,-191976000,-18228000,-33569000,-140179000,193506000,-46765000,-46765000,146741000,-1642000,145099000,-21961000,123138000,123138000,-52631000,70507000,70507000,1485328000,10114092000,123137000,16637000,171851000,-292544000,19081000.0000001,-3737000,-18965000,-22702000,98226000,-108699000,-149479000,-153100000,-153100000,-7842000,-160942000,210143000,0,-64177000,0.35548,0.12953,-0.910220000000002,0.60902,0.60457,4.70192,-0.554350000000002
"27","2022_Q1",31.9309677419355,"Up",705604000,-212421000,-22513000,-34634000,-155274000,336634000,-84304000,-84304000,252330000,-25314000,227016000,-41059000,185957000,185957000,-81901000,104056000,104056000,1549388000,10005741000,185958000,18052000,-1076061000,1669155000,797104000,-8236000,-13673000,-21909000,-251639000,-48447000,-407537000,367658000,367658000,-1018000,366640000,354686000,0,2056664000,0.47709,0.14747,19.76497,0.93037,0.92493,6.30886,18.3888
"28","2022_Q2",27.8459677419355,"Down",701262000,-218487000,-25215000,-33957000,-159315000,332395000,-63871000,-63871000,268524000,-26813000,241711000,-41786000,199925000,199925000,-87668000,112257000,112257000,1379105000,12199451000,199925000,17477000,-322722000,-149865000,-255185000,-9958000,-25072000,-35030000,279171000,-182975000,-212882000,-503097000,-503097000,-5168000,-508265000,349872000,0,231835000,0.474,0.16008,2.06522,1.02678,1.0199,6.41421,2.12052
"29","2022_Q3",22.53125,"Down",604738000,-200492000,-13577000,-32612000,-154303000,247260000,-70805000,-70805000,176455000,-2672000,173783000,-24888000,148895000,148895000,-63729000,85166000,85166000,1740408000,11415614000,148895000,16335000,416404000,-268827000,312807000,-4288000,43321000,39033000,1.6e+07,-63828000,-94948000,256892000,256892000,-19810000,237082000,263595000,1949497000,15368000,0.40887,0.14083,0.18045,0.81141,0.80743,5.76156,0.14642
