"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","preferred_dividends","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","long_term_investments_receivables","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","interest_dividends_payable","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","preferred_equity","share_capital_additional_paid_in_capital","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","net_change_in_long_term_investment","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","dividends_per_share","return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"11","2019_Q4",67.30734375,"Down",12139000,-5318000,-3097000,-2221000,6821000,-301000,-301000,6520000,6520000,6520000,6520000,6520000,-338000,6182000,99917000,99917000,99917000,303983000,312608000,-8625000,208828000,10422000,10422000,523233000,623150000,10248000,1044000,9204000,12700000,12700000,22948000,150357000,62000,62000,150419000,173367000,14009000,452645000,449783000,449783000,623150000,6520000,2221000,117000,1611000,10469000,-45481000,-92709000,-138190000,-6223000,185761000,185761000,0,179538000,51817000,51817000,51817000,9042000,150357000,0.56191,0.50927,0.01374,0.00992,4.35406,0.38545,0.24129,0.56548,0.55837,1.11039,39.86136,0.56923,0.02067,1.00663,5.57841,7.39481
"12","2020_Q1",74.275,"Up",17672000,-7070000,-2210000,-3545000,10602000,-7e+05,-7e+05,9902000,9902000,9902000,9902000,9902000,-338000,9564000,82244000,82244000,82244000,505861000,518031000,-12170000,119595000,38157000,38157000,663613000,745857000,16392000,3417000,12975000,24968000,24968000,41360000,155285000,1202000,1202000,156487000,197847000,14009000,553945000,548010000,548010000,745857000,9902000,3545000,283000,6118000,19848000,-152245000,49041000,-103204000,-9204000,100605000,100605000,1.16415321826935e-10,91401000,8044999.99999999,8044999.99999999,8044999.99999999,14147000,155285000,0.59993,0.5412,0.01745,0.01282,1.98849,0.36103,0.2082,0.80235,0.79306,1.48256,44.79891,0.77215,0.02664,0.96236,5.163,6.88936
"13","2020_Q2",72.467619047619,"Down",21130000,-8853000,-3346000,-4907000,12277000,-405000,-405000,11872000,11872000,11872000,11872000,11872000,-338000,11534000,108261000,108261000,108261000,672876000,689953000,-17077000,272907000,26426000,26426000,972209000,1080470000,18712000,1305000,17407000,41185000,41185000,59897000,160390000,1204000,1204000,161594000,221491000,14009000,870450000,858979000,858979000,1080470000,11872000,4907000,391000,2400000,19570000,-72457000,-235839000,-308296000,-12976000,317845000,317845000,-2166000,302703000,13977000,13977000,13977000,17184000,160390000,0.58102,0.54586,0.01343,0.01067,1.80745,0.25785,0.14844,0.73073,0.7255,1.33867,53.53232,0.82208,0.02402,1.12502,3.03358,4.24607
"14","2020_Q3",100.70359375,"Up",24346000,-10170000,-3010000,-6746000,14176000,-866000,-866000,13310000,13310000,13310000,13310000,13310000,-338000,12972000,50174000,50174000,50174000,791569000,815392000,-23823000,323255000,14150000,14150000,1128974000,1179148000,23343000,3235000,20108000,22781000,22781000,46124000,161904000,1149000,1149000,163053000,209177000,14009000,988239000,969971000,969971000,1179148000,13310000,6746000,451000,3033000,23540000,-65862000,-126890000,-192752000,-17406000,116967000,116967000,0,99561000.0000001,-69651000,-69651000,-69651000,20922000,161904000,0.58227,0.53282,0.01337,0.011,1.08781,0.21565,0.13731,0.73996,0.73517,1.38876,54.53067,0.99289,0.02681,1.34181,5.34031,7.88163
"15","2020_Q4",136.0871875,"Up",34327000,-13904000,-3339000,-7646000,20423000,-1208000,-1208000,19215000,19215000,19215000,19215000,19215000,-338000,18877000,161074000,161074000,161074000,885027000,916496000,-31469000,451178000,2571000,2571000,1338776000,1499850000,27661000,1336000,26325000,30583000,30583000,58244000,170497000,1113000,1113000,171610000,229854000,14009000,1295374000,1269996000,1269996000,1499850000,19215000,7646000,807000,5800000,33468000,-43767000,-176469000,-220236000,-20108000,306308000,306308000,0,286200000,99432000,99432000,99432000,28069000,170497000,0.59495,0.54992,0.01486,0.01259,2.7655,0.18099,0.11368,0.8727,0.86812,1.58696,58.06509,0.92961,0.02704,1.06521,0.33571,0.46139
"16","2021_Q1",175.454918032787,"Up",37093000,-14232000,-4487000,-8726000,22861000,-1528000,-1528000,21333000,21333000,21333000,21333000,21333000,-338000,20995000,126006000,126006000,126006000,1020044000,1060239000,-40195000,619275000,2756000,2756000,1642075000,1768081000,34706000,4641000,30065000,37557000,37557000,72263000,136693000,34153000,34153000,170846000,243109000,14009000,1559083000,1524972000,1524972000,1768081000,21333000,8726000,1092000,3085000,34236000,-58423000,-247408000,-305831000,-26326000,262853000,262853000,0,236527000,-35068000,-35068000,-35068000,31587000,136693000,0.61632,0.56601,0.01377,0.01187,1.74371,0.15942,0.07731,0.91968,0.9151,1.62484,66.18695,1.1532,0.0279,1.25392,0.33834,0.46748
"17","2021_Q2",169.149523809524,"Down",42885000,-15209000,-5600000,-8839000,27676000,-1749000,-1749000,25927000,25927000,25927000,25927000,25927000,-338000,25589000,122133000,122133000,122133000,1133530000,1182563000,-49033000,539323000,2944000,2944000,1675797000,1797930000,34356000,2358000,31998000,66074000,66074000,100430000,178884000,998000,998000,179882000,280312000,14009000,-54167000,1517618000,1517618000,1797930000,25927000,8839000,2532000,5310000,42608000,-28390000,15358000,-13032000,-30065000,106688779.28442,106688779.28442,-3384000,-33449000,-3873000,-3873000,-3873000,36515000,178884000,0.64535,0.59669,0.01686,0.01423,1.2161,0.18471,0.09949,1.07114,0.97845,1.79515,62.94043,1.25851,0.03279,1.17492,1.55418,2.05055
"18","2021_Q3",209.521875,"Up",48867000,-15927000,-5604000,-9841000,32940000,-3601000,-3601000,29339000,29339000,29339000,29339000,29339000,-338000,29001000,156314000,156314000,162314000,1276859000,1335734000,-58875000,649352000,2323000,2323000,1928534000,2090848000,38787000,4865000,33922000,201610000,201610000,240397000,335284000,15235085.4658879,15235085.4658879,335284000,575681000,14009000,1559932000,1515167000,1515167000,2090848000,29339000,9841000,2723000,4881000,46784000,-70683000,-203438000,-274121000,-31998000,-34416710.8512932,-34416710.8512932,-6484000,261518000,34181000,34181000,34181000,42781000,335284000,0.67407,0.59347,0.01914,0.01387,0.67519,0.37995,0.16036,1.21397,1.10892,2.04555,62.83783,1.33942,0.03296,1.10334,4.1834,5.43321
"19","2021_Q4",239.7721875,"Up",53856000,-17563000,-5307000,-10891000,36293000,-6199000,-6199000,30094000,30094000,30094000,30094000,30094000,-338000,29756000,127298000,127298000,136223000,1400882000,1470648000,-69766000,554420000,10560000,10560000,1965862000,2102085000,44770000,8449000,36321000,63082000,63082000,107852000,431880000,51222000,51222000,483102000,590954000,14009000,1562123000,1511131000,1511131000,2102085000,30094000,10891000,2994000,7588000,51567000,-31780000,-14541000,-46321000,-33922000,-121615090.629217,-121615090.629217,-340000,-34262000,-29016000,-29016000,-29016000,47184000,431880000,0.67389,0.55251,0.01969,0.01416,1.26305,0.39107,0.20545,1.24555,1.13324,2.25434,62.66756,1.41993,0.03193,1.14001,6.4552,8.39231
"20","2022_Q1",185.047258064516,"Down",58943000,-20481000,-6450000,-12205000,38462000,-6140000,-6140000,32322000,28630000,28630000,28630000,28630000,-338000,28292000,81096000,81096000,81096000,1640166000,1722104000,-81938000,324889000,38451000,29303000,2003506000,2084602000,46565000,7718000,38847000,46274000,46274000,92839000,326092000,53972000,53972000,380064000,472903000,14009000,1672908000,1611699000,1611699000,2084602000,28630000,12205000,6665000,288000.000000001,47788000,-156732000,106113000,-50619000,-36321000,-116057980.271427,-116057980.271427,-1727000,-38048000.0000001,-40879000,-40879000,-40879000,50667000,326092000,0.65253,0.47999,0.01755,0.01357,0.87351,0.29342,0.15643,1.18414,1.07696,2.46701,66.87011,1.52019,0.03244,1.28379,4.83542,6.36982
"21","2022_Q2",134.513548387097,"Down",64504000,-24627000,-8777000,-13868000,39877000,-4709000,-4709000,35168000,35050000,35050000,35050000,35050000,-338000,34712000,43094000,43094000,43094000,1816524000,1912132000,-95608000,209935000,38555000,29340000,2065014000,2108108000,55158000,8990000,46168000,45952000,45952000,101110000,303536000,56801000,56801000,360337000,461447000,14009000,1718260000,1646661000,1646661000,2108108000,35050000,13868000,4886000,6080000,59884000,-47820000,-33274000,-81094000,-38847000,21103000.0000001,21103000.0000001,-2441000,-20185000,-41395000,-41395000,-41395000,53745000,303536000,0.61821,0.53814,0.02108,0.01647,0.42621,0.28023,0.14399,1.44984,1.32168,2.69419,68.19216,1.62255,0.03665,1.11912,4.84588,6.53113
"22","2022_Q3",93.4725,"Down",70511000,-26367000,-8707000,-15233000,44144000,-3923000,-3923000,40221000,40214000,40214000,40214000,40214000,-338000,39876000,45432000,45432000,45432000,2034307000,2143407000,-109100000,309442000,36501000,26966000,2380250000,2425682000,55867000,6428000,49439000,33292000,33292000,89159000,300852000,59899000,59899000,360751000,449910000,14009000,2056596000,1975772000,1975772000,2425682000,40214000,15233000,4358000,2292000,62097000,-81742000,-264134000,-345876000,-46168000,330885000,330885000,0,284717000,938000,938000,938000,59377000,300852000,0.62606,0.56553,0.02018,0.01644,0.50956,0.22771,0.12403,1.43178,1.42228,2.53176,70.4389,1.6577,0.03683,1.15779,4.30167,5.78606
